Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_79.pdb,2,4,0,0,4,2,7,2,11,0,0,1,2,0,1,0.585,0.0,0.5625,0.465,0.0,0.37999999999999995,0.4414285714285714,0.45999999999999996,0.4136363636363635,0.55,0.0,0.46,0.0,0.0,0.57,2.25,0.93,0.0,1.5199999999999998,3.09,0.9199999999999999,4.549999999999999,0.55,0.0,0.92,0.0,0.0,0.57,23.79,31.65,1393.0499999999993,618.9599999999991,774.0900000000001,1.4142135623730951,0.0,2.6457513110645907,1.0,1.4142135623730951,3.3166247903554,2.0,0.0,2.0,1.4142135623730951,0.0,0.0,1.0,1.4142135623730951,0.0,-0.5164,-6.926,-4.92,-10.6,-11.2,-82.8,2.66,-52.72,56.66,-4.94,-0.014794,-8.82,25.0,8.6,-13.4,71.39,-0.8,5.6,15.4,3.24,5.08,1.56,-98.4,-0.8590266548000001,8.3,-8.530159,-9.72,-21.525,-33.28,-24.59,-3072.26,-6.1,1.46,24.95,20.61,-918.33,-601.56,0.0,0.0,0.0,0.0,0.0,-27.028000000000002,-35.7426,0.00037999999999999997,5.196000000000001,11.027999999999999,-43.138999999999996,11.91,-86.885,-5.327000000000001,-3.677,-8.103,-66.67,187.75,-60.13,47.43,597.773,31.441722371599997,-2.136,2.204,1.0959999999999999,-0.5948,560.0,-2820.0,6.579,-10.03,-2277.0,-1.32,0.9731,0.135,2.602,99.05,-382.5,3.786,6.239,-281.0,-4389.291328,-4438.342648,2302.56,-1091.09,3393.65,0.0338,0.0,0.0,0.0,0.9065979999999999,2.533156,0.00231999999996,-2.342839,-13.0461243497,5.28883,0.004333,36
swarm_100_119.pdb,4,3,7,6,5,3,6,4,2,0,10,4,0,0,0,0.4325,0.4366666666666667,0.41,0.5599999999999999,0.4499999999999999,0.418,0.5583333333333333,0.44,0.75,0.0,0.0,0.0,0.6519999999999999,0.0,0.625,1.23,1.68,3.1499999999999995,2.09,3.35,1.76,1.5,0.0,0.0,0.0,6.52,0.0,2.5,23.94,30.22,1685.6799999999967,780.210000000001,905.4699999999993,2.0,2.449489742783178,2.449489742783178,0.0,2.0,1.4142135623730951,1.7320508075688772,2.6457513110645907,2.23606797749979,1.7320508075688772,3.1622776601683795,0.0,2.0,0.0,0.0,-3.1284,-4.474,-4.12,-6.2,-21.6,-176.0,-3.46,-179.8,141.16,-2.24,0.039344,-3.68,15.2,7.8,-21.2,30.866,3.6,8.2,9.2,-10.16,-3.58,-5.86,-259.0,-1.0059002104,-7.1,-7.421036999999999,-15.58,-24.575,-46.41,-38.52,-5345.92,-13.78,-23.2,-30.21,-5.03,-928.53,-139.27,0.0,0.0,0.0,0.0,0.0,-53.0728,693.9110000000001,0.000379,-15.357999999999999,6.841,-16.875999999999998,-10.205,-168.92700000000002,-1.579,1.631,-15.217,-51.06,27.68,-474.81,67.68,-6023.7519999999995,43.7467120383,-2.234,2.135,-1.376,-0.3355,52.22,-3096.0,-7.979,-3.995,-3040.0,-1.436,1.136,-1.514,0.5815,55.74,-440.7,0.5232,0.282,-385.2,-4770.694125,-4850.772506,745.45,-1267.36,2012.82,-0.2531,0.0,0.0,0.0,-4.437321,-9.798063,-6.620272,-21.820335,-17.548211958699998,4.87162,0.005481000000000001,54
swarm_100_198.pdb,9,7,4,2,3,3,19,17,6,0,0,2,2,0,0,0.46666666666666656,0.34,0.42857142857142866,0.5466666666666666,0.4325,0.44333333333333336,0.4694736842105263,0.46823529411764714,0.4283333333333334,0.0,0.0,0.675,0.0,0.0,0.615,3.0000000000000004,1.64,1.73,1.33,8.92,7.960000000000002,2.5700000000000003,0.0,0.0,1.35,0.0,0.0,1.23,23.94,31.24,2179.720000000001,1088.880000000001,1090.8400000000001,3.0,1.4142135623730951,4.358898943540674,0.0,4.123105625617661,2.449489742783178,2.6457513110645907,2.0,1.7320508075688772,1.7320508075688772,0.0,0.0,1.4142135623730951,1.4142135623730951,0.0,3.7914,-3.4360000000000004,3.24,-16.4,-16.2,-182.6,6.1,-144.56,165.96,-4.78,-0.022694,-6.88,32.0,14.6,-24.4,51.076,14.4,24.0,31.4,5.6,14.62,9.04,-269.6,-0.10092123019999999,18.9,-8.883596,-14.27,-32.383,-42.45,-36.98,-4580.6,-24.09,-9.35,4.62,21.03,-1502.65,-353.2,0.0,0.0,0.0,0.0,0.0,-28.8695,599.851,0.00027400000000000005,-12.655,22.059,-19.499000000000002,7.454,37.356,-6.789,-7.499,-33.65,-112.93,265.05,-434.47,107.99,-105.34399999899999,66.1413750767,-3.878,3.699,-1.2,-0.1055,49.54,-4681.0,-9.933,-22.97,-4645.0,-2.395,1.9580000000000002,0.2173,3.141,15.97,-528.4,8.375,-0.099,-520.9,-5477.835511,-5588.14505,3054.73,-1623.46,4678.18,0.0608,0.0,0.0,0.0,-12.021042999999999,-14.284348999999999,-14.133269,-24.628137,-24.4494566789,6.40911,0.002581,74
swarm_100_24.pdb,0,3,0,2,2,6,13,2,3,1,0,7,0,0,0,0.0,0.53,0.4366666666666667,0.54,0.0,0.345,0.46846153846153843,0.46499999999999997,0.10666666666666667,0.0,0.0,0.0,0.0,0.78,0.7114285714285715,1.31,3.24,0.0,0.69,6.09,0.9299999999999999,0.32,0.0,0.0,0.0,0.0,0.78,4.98,23.63,31.98,1406.6100000000006,671.4899999999998,735.1299999999992,0.0,1.4142135623730951,3.605551275463989,0.0,1.4142135623730951,1.7320508075688772,1.7320508075688772,0.0,1.4142135623730951,2.449489742783178,0.0,1.0,2.6457513110645907,0.0,0.0,1.1614,-6.562,0.56,-7.8,-13.4,-121.6,4.8,-96.82,103.02,-2.04,0.051542,-4.48,28.4,12.6,-14.4,72.896,7.0,12.4,19.2,-0.32,1.6,2.66,-171.8,-0.9893595848000001,2.0,-7.896238,-10.89,-22.275,-41.22,-28.03,-3306.96,0.98,-8.92,-9.33,30.35,-996.83,-246.05,0.0,0.0,0.0,0.0,0.0,0.675826,365.839,0.000471,8.509,8.532,-20.292,15.012,-121.73700000000001,-2.251,0.062,10.892999999999999,-93.34,162.65,-25.45,-57.14,-4221.6759999999995,39.4452443258,-2.654,2.7489999999999997,1.5330000000000001,0.09199,432.7,-2949.0,13.02,-4.59,-2534.0,-2.395,2.28,0.7808,2.05,153.5,-556.1,7.562,2.494,-407.7,-4471.541177,-4513.479571,1753.28,-1152.99,2906.27,-0.0297,0.0,0.0,0.0,-2.7260720000000003,-2.884674,-5.7652410000000005,-17.842213,-14.9148175407,12.2105,0.005256,39
swarm_100_71.pdb,2,1,3,2,6,4,9,5,3,0,3,4,0,3,2,0.32,0.49,0.63,0.62,0.38333333333333336,0.35000000000000003,0.49666666666666676,0.4699999999999999,0.58,0.39,0.4333333333333333,0.0,0.6033333333333334,0.0,0.6775,0.63,2.48,1.1500000000000001,2.1,4.470000000000001,2.3499999999999996,1.74,0.78,1.2999999999999998,0.0,1.81,0.0,2.71,23.78,30.89,1475.4500000000007,731.0500000000011,744.3900000000012,1.4142135623730951,1.4142135623730951,3.0,1.4142135623730951,2.23606797749979,1.7320508075688772,1.0,1.7320508075688772,2.449489742783178,2.0,1.7320508075688772,0.0,2.0,0.0,1.7320508075688772,-1.2972,-1.824,-3.24,-8.0,-18.0,-135.4,0.1,-135.72,112.64,-1.84,0.071742,-4.16,19.8,8.0,-17.8,65.154,4.4,11.0,13.4,-3.26,7.18,-0.78,-205.6,-0.829490084,3.5,-5.231699,-12.9,-24.198,-32.35,-23.96,-3579.74,-10.0,-9.9,-14.5,9.16,-944.2,-359.09,0.0,0.0,0.0,0.0,0.0,-25.8597,434.44,0.00054,-9.797,14.458,-23.649,2.296,-97.72,-3.1919999999999997,-1.3359999999999999,-19.102,-64.2,66.77,-360.56,26.81,-7124.382,36.704811354099995,-2.635,2.6189999999999998,0.01891,0.006745,149.9,-3062.0,2.932,-3.448,-2919.0,-1.194,1.273,0.3557,-0.01652,64.46,-399.2,6.18,-3.784,-344.7,-4645.050979,-4694.602595,1812.6,-1241.8,3054.4,-0.0901,0.0,0.0,0.0,0.742521,-3.220712,-5.0604510000000005,-16.567536999999998,-12.2748709518,8.30482,0.0057020000000000005,47
swarm_10_100.pdb,4,5,3,4,5,5,8,1,6,2,0,2,2,4,2,0.445,0.40750000000000003,0.45999999999999996,0.546,0.42333333333333334,0.30799999999999994,0.435,0.56,0.5483333333333332,0.44,0.39249999999999996,0.83,0.0,0.6950000000000001,0.7,2.3,2.7300000000000004,1.27,1.5399999999999998,3.48,0.56,3.2899999999999996,0.88,1.5699999999999998,1.66,0.0,1.3900000000000001,1.4,23.57,31.35,1740.5400000000009,801.8999999999996,938.6399999999994,2.0,2.0,2.8284271247461903,1.4142135623730951,1.0,2.449489742783178,2.23606797749979,1.7320508075688772,2.23606797749979,2.23606797749979,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,2.0,-0.163,1.32,-2.06,-8.8,-24.0,-182.2,4.74,-162.92,157.44,-1.1,-0.030004000000000003,-1.14,30.6,15.0,-20.6,104.944,6.6,15.2,22.4,6.18,9.44,-1.6,-282.4,0.8211108565999999,0.4,-7.845012,-15.73,-26.633000000000003,-58.57,-45.28,-4861.53,-18.71,-20.84,-26.21,2.5,-1146.03,-22.26,0.0,0.0,0.0,0.0,0.0,-34.1155,784.3560000000001,0.00048600000000000005,5.1739999999999995,14.454,11.237,20.752,-113.42200000000001,-3.665,-1.51,3.517,-110.07,74.67,-326.06,-96.46,-440.18800000000005,47.6059320662,-3.383,3.4010000000000002,1.3030000000000002,-0.1963,411.9,-3719.0,10.92,9.71,-3309.0,-2.431,2.31,0.4695,1.064,52.98,-550.1,8.777999999999999,-3.6039999999999996,-509.5,-4927.965031000001,-4992.704183,1476.39,-1392.26,2868.65,-0.0389,0.0,0.0,0.0,1.028414,-0.44254499999999997,-9.949005,-14.41579,-18.8865636187,5.09668,0.005075,53
swarm_101_10.pdb,2,3,7,4,6,3,19,7,2,1,0,0,0,1,0,0.45999999999999996,0.3975,0.47333333333333333,0.4833333333333334,0.42428571428571427,0.37000000000000005,0.47052631578947374,0.5014285714285714,0.535,0.0,0.41,0.0,0.0,0.9,0.0,1.42,1.4500000000000002,2.9699999999999998,2.22,8.940000000000001,3.51,1.07,0.0,0.41,0.0,0.0,0.9,0.0,23.89,31.38,1740.2899999999972,741.6799999999985,998.6099999999988,1.4142135623730951,2.0,4.358898943540674,0.0,2.6457513110645907,1.4142135623730951,1.7320508075688772,2.6457513110645907,2.449489742783178,1.7320508075688772,0.0,1.0,0.0,0.0,1.0,3.8716,-10.564,3.1,-11.6,-6.4,-155.0,10.58,-114.52,144.68,-3.34,-0.013174000000000002,-4.88,46.8,26.6,-9.6,67.22399999999999,18.6,26.6,39.2,3.52,20.36,11.2,-223.6,-0.0125666376,22.7,-8.657544999999999,-13.72,-24.491,-42.74,-50.2,-3118.89,1.49,-9.91,3.65,30.64,-986.95,-361.19,0.0,0.0,0.0,0.0,0.0,-67.5077,17.1668,0.00035,-6.98,12.899000000000001,-25.284000000000002,3.391,-49.57,-8.306000000000001,-7.364,5.975,-118.31,248.8,-246.65,106.34,2404.803,47.537767377600005,-3.696,3.641,-0.9721,-2.109,-258.3,-3150.0,-8.57,0.2996,-3400.0,-2.819,2.838,0.7513,0.9658,-25.76,-449.3,9.207,0.5641,-483.7,-4709.348147,-4768.109956,1876.66,-1245.62,3122.28,-0.0303,0.0,0.0,0.0,-5.653501,-8.015065,-7.03569,-15.201735000000001,-20.656347221500003,6.2936,0.001982,55
swarm_101_51.pdb,5,9,4,1,2,3,10,4,4,0,1,5,0,0,0,0.42000000000000004,0.54,0.49888888888888894,0.5,0.42000000000000004,0.29,0.4880000000000001,0.4775,0.405,0.0,0.0,0.0,0.46,0.0,0.718,4.49,1.5,1.6800000000000002,0.58,4.880000000000001,1.91,1.62,0.0,0.0,0.0,0.46,0.0,3.59,24.07,31.07,1490.7200000000012,662.7399999999998,827.9799999999977,2.23606797749979,1.0,3.1622776601683795,0.0,2.0,2.0,3.0,2.0,1.4142135623730951,1.7320508075688772,1.0,0.0,2.23606797749979,0.0,0.0,0.1248,2.02,0.92,-2.6,-16.4,-141.4,1.28,-130.7,109.68,1.54,0.001594,2.22,9.2,5.8,-16.8,5.95,2.0,9.0,11.6,-2.9,-2.42,-2.44,-201.4,0.5751183184,-2.7,-7.556176,-16.27,-26.445999999999998,-49.03,-49.21,-4657.01,-16.39,-15.3,-20.3,5.79,-1193.5,-434.82,0.0,0.0,0.0,0.0,0.0,-38.6962,15.7684,0.000426,-0.9440000000000001,3.392,-15.364,0.9129999999999999,-190.197,-1.855,1.7590000000000001,-61.647,-140.16,53.82,-367.79,6.5,-4987.0509999999995,28.6481110762,-3.174,3.077,-0.6954,0.6808,447.2,-3666.0,-1.0270000000000001,-9.525,-3227.0,-2.239,2.0269999999999997,-0.512,1.196,72.74,-434.1,3.705,-0.434,-365.5,-4908.698453,-4964.876949,807.48,-1337.56,2145.03,-0.0196,0.0,0.0,0.0,-1.93297,-4.753749,-6.563746000000001,-17.431371,-16.3174571103,5.70107,0.003771,48
swarm_10_155.pdb,7,2,5,2,2,3,15,10,7,0,1,1,1,1,1,0.44428571428571434,0.42500000000000004,0.55,0.5766666666666667,0.446,0.39,0.4446666666666667,0.4789999999999999,0.47714285714285715,0.51,0.47,0.53,0.62,0.0,0.7,1.1,1.73,2.23,0.78,6.670000000000001,4.789999999999999,3.34,0.51,0.47,0.53,0.62,0.0,0.7,24.39,30.94,1637.2400000000016,866.0300000000007,771.2099999999973,2.6457513110645907,1.4142135623730951,3.872983346207417,1.0,3.1622776601683795,2.6457513110645907,1.4142135623730951,2.23606797749979,1.4142135623730951,1.7320508075688772,1.0,0.0,1.0,1.0,1.0,4.0282,-12.852,0.58,-11.2,-17.4,-162.0,3.42,-140.88,142.4,-4.0,0.045328,-7.02,31.8,17.4,-18.0,38.238,13.8,21.8,26.8,1.96,5.8,4.9,-240.2,-0.7388339722,14.0,-9.697182000000002,-12.32,-22.176,-50.72,-46.81,-4104.76,-28.66,-6.61,-48.18,-16.64,-994.96,-398.65,0.0,0.0,0.0,0.0,0.0,-62.6301,-58.1802,0.000414,-12.309000000000001,23.12,-48.849,5.926,54.174,-4.13,-5.16,-54.833999999999996,-166.46,132.72,-355.36,51.09,2388.195,44.9543945021,-4.296,4.203,-0.1935,-0.7847,556.0,-3512.0,1.202,6.704,-2951.0,-3.398,3.44,0.127,0.552,151.8,-564.3,6.531000000000001,0.91,-418.1,-4428.051847,-4506.506482,1956.86,-1106.64,3063.5,-0.0919,0.0,0.0,0.0,0.744689,-3.0442720000000003,-8.640176,-15.534591,-11.8412398919,7.5391,0.002448,58
swarm_10_198.pdb,1,2,4,3,6,2,20,6,9,0,0,0,1,3,0,0.44,0.34,0.35,0.57,0.39250000000000007,0.37666666666666665,0.4920000000000001,0.48666666666666675,0.47111111111111115,0.0,0.4766666666666666,0.83,0.0,0.0,0.0,0.7,1.14,1.5700000000000003,2.26,9.840000000000002,2.9200000000000004,4.24,0.0,1.43,0.83,0.0,0.0,0.0,23.67,31.43,1770.3300000000017,997.2199999999993,773.0999999999985,1.0,1.7320508075688772,4.47213595499958,0.0,2.449489742783178,3.0,1.4142135623730951,2.0,2.449489742783178,1.4142135623730951,0.0,0.0,0.0,1.0,1.7320508075688772,2.4106,-5.89,-1.78,-12.2,-12.2,-107.2,5.78,-79.5,95.66,-4.44,0.0031780000000000003,-7.18,29.8,12.4,-14.4,93.72200000000001,12.8,19.4,26.4,4.78,8.18,7.86,-155.4,-0.4336755196,23.9,-8.327064,-12.44,-25.353,-39.41,-33.72,-2788.67,-9.57,0.01,9.36,21.8,-1173.9,-374.87,0.0,0.0,0.0,0.0,0.0,-45.5636,49.1327,0.000394,-11.535,37.065,-49.496,20.581,71.686,-4.404,-5.766,-28.531,-159.52,260.81,-1.55,-7.7,-1311.378,84.4459278831,-2.6519999999999997,2.716,1.474,-0.1956,450.7,-4050.0,11.84,-9.222999999999999,-3620.0,-1.347,0.7508,0.1798,3.263,101.9,-513.6,5.72,3.7710000000000004,-413.6,-4733.319929,-4800.618604,2316.42,-1273.33,3589.75,-0.0581,0.0,0.0,0.0,-0.9708120000000001,-1.306664,-13.472866,-20.651445000000002,-15.6713904644,6.45489,0.0021579999999999998,57
