Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_100_163.pdb,2,9,5,1,6,6,20,2,3,0,0,2,2,7,2,0.48,0.37,0.5466666666666666,0.5783333333333333,0.402,0.3916666666666666,0.462,0.495,0.25333333333333335,0.585,0.48857142857142855,0.47,0.0,0.0,0.53,4.92,3.4699999999999998,2.0100000000000002,2.3499999999999996,9.24,0.99,0.76,1.17,3.42,0.94,0.0,0.0,1.06,27.75,36.7,1892.579999999998,922.0799999999999,970.5100000000002,1.4142135623730951,1.0,4.47213595499958,1.4142135623730951,1.4142135623730951,1.7320508075688772,3.0,2.23606797749979,2.449489742783178,2.449489742783178,0.0,0.0,1.4142135623730951,1.4142135623730951,2.6457513110645907,1.8868,-3.904,2.02,-13.0,-29.0,-190.4,4.5,-160.88,165.18,-2.76,0.002334,-7.84,29.6,7.2,-27.8,79.916,10.8,21.0,28.8,-0.52,3.52,13.88,-295.0,-0.5166978808,3.3,-9.442489,-18.62,-35.094,-47.26,-49.5,-6044.88,-9.22,-15.33,25.73,37.99,-1406.83,-16.59,0.0,0.0,0.0,0.0,0.0,-17.837,324.65,0.000397,-3.403,10.107000000000001,12.244000000000002,7.928,-128.605,-5.3229999999999995,-2.8789999999999996,0.0,-110.52,160.97,-424.1,-61.78,1971.735,5.1157552718699995,-3.3139999999999996,3.319,0.7384,-0.94,-249.1,-3900.0,6.787999999999999,14.94,-4141.0,-2.37,1.75,-0.5074,2.966,-45.09,-535.3,4.3469999999999995,2.439,-582.3,-6259.839283,-6322.870772,1785.16,-2034.32,3819.49,-0.0724,0.0,0.0,0.0,1.6438400000000002,-1.733952,-16.02992,-25.339119,-17.749256635,16.7253,0.0054329999999999995,67
swarm_100_175.pdb,8,3,8,6,7,1,5,11,2,0,2,3,4,4,4,0.43374999999999997,0.45,0.5733333333333334,0.28,0.44749999999999995,0.35571428571428576,0.47800000000000004,0.49545454545454554,0.535,0.42500000000000004,0.4275,0.7075,0.765,0.0,0.8333333333333334,1.7200000000000002,0.28,3.5799999999999996,2.49,2.39,5.450000000000001,1.07,1.7000000000000002,1.71,2.83,1.53,0.0,2.5,28.28,34.94,1816.2099999999991,809.4299999999985,1006.789999999999,2.8284271247461903,2.449489742783178,2.23606797749979,2.0,3.3166247903554,1.4142135623730951,1.7320508075688772,2.8284271247461903,2.6457513110645907,1.0,1.4142135623730951,0.0,1.7320508075688772,2.0,2.0,8.2106,7.778,8.46,-3.6,0.2,-151.6,6.62,-173.6,189.98,-0.56,-0.023136,-1.68,39.4,29.2,-1.4,40.118,35.8,49.4,51.8,8.42,22.16,6.02,-316.4,0.6790472592,5.5,-7.287489,-15.31,-31.214000000000002,-54.73,-44.55,-2804.32,11.58,3.21,-14.66,11.28,-1205.56,-160.94,0.0,0.0,0.0,0.0,0.0,-51.6881,525.486,0.000332,-10.862,12.622,-16.97,0.063,-154.981,-5.0969999999999995,-2.1519999999999997,0.0,-92.83,95.86,-545.88,143.75,911.34,11.341325958299999,-3.653,3.5660000000000003,-0.19399999999999998,-1.006,-415.9,-3869.0,-1.22,18.16,-4266.0,-2.9939999999999998,3.0010000000000003,1.232,1.476,-22.73,-451.4,8.816,2.4459999999999997,-480.5,-5949.255145,-6027.342356,2411.08,-1789.42,4200.5,0.1001,0.0,0.0,0.0,1.389816,-1.6308049999999998,-1.632996,-16.253647,-17.307394134000003,13.9351,0.007103,68
swarm_100_192.pdb,13,6,10,3,2,3,15,18,2,1,2,0,2,8,1,0.40692307692307694,0.3666666666666667,0.545,0.5266666666666667,0.45299999999999996,0.37,0.466,0.47944444444444456,0.505,0.34,0.46875000000000006,0.5900000000000001,0.73,0.78,0.0,3.2700000000000005,1.58,4.529999999999999,0.74,6.99,8.630000000000003,1.01,0.34,3.7500000000000004,1.1800000000000002,1.46,0.78,0.0,28.64,35.21,2155.8700000000026,925.6999999999989,1230.17,3.605551275463989,1.7320508075688772,3.872983346207417,1.0,4.242640687119285,1.4142135623730951,2.449489742783178,3.1622776601683795,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.0,0.0,1.4142135623730951,2.8284271247461903,7.4674,-4.08,6.62,-12.0,-11.8,-205.8,7.48,-202.1,217.6,-1.78,-0.048583999999999995,-1.94,39.0,24.4,-14.4,39.336,29.0,42.4,47.6,12.2,12.8,7.94,-362.2,1.481881592,10.0,-10.622836999999999,-19.05,-35.694,-75.35,-67.31,-5614.43,-37.45,-7.31,38.97,39.67,-1376.93,90.91,0.0,0.0,0.0,0.0,0.0,-63.7544,445.959,0.000304,-9.277000000000001,17.368,-12.440999999999999,6.847,-169.299,-5.968,-2.752,0.0,-104.23,185.87,-684.73,182.03,-697.2560000000001,17.5248547568,-3.7739999999999996,3.548,-1.328,-0.5842,-495.9,-4387.0,-13.09,0.7829999999999999,-4869.0,-2.602,2.6839999999999997,1.358,1.041,-27.98,-567.4,11.78,-1.635,-608.8,-6495.759169,-6579.337622999999,2847.1,-2035.78,4882.87,-0.0465,0.0,0.0,0.0,-8.119145,-11.996144000000001,-15.668458,-29.426491,-23.8304740332,17.1381,0.004953,86
swarm_100_23.pdb,5,3,9,3,9,8,4,5,10,0,4,3,3,8,6,0.382,0.34,0.5266666666666667,0.5575,0.4144444444444445,0.3577777777777778,0.485,0.506,0.515,0.5083333333333334,0.4787499999999999,0.7266666666666666,0.7525000000000001,0.0,0.6333333333333333,1.58,4.46,3.7300000000000004,3.22,1.94,2.5300000000000002,5.15,3.0500000000000003,3.829999999999999,2.1799999999999997,3.0100000000000002,0.0,1.9,28.11,35.48,2211.1899999999987,988.5799999999999,1222.6099999999988,2.23606797749979,1.7320508075688772,2.0,2.449489742783178,2.23606797749979,3.1622776601683795,1.7320508075688772,3.0,3.0,2.8284271247461903,2.0,0.0,1.7320508075688772,1.7320508075688772,2.8284271247461903,1.5554,1.3219999999999998,-2.18,-8.8,-15.2,-173.0,2.68,-167.28,166.88,-2.94,0.069534,-1.28,34.0,16.8,-14.4,97.304,14.4,27.8,31.8,-2.48,6.82,8.96,-281.6,-0.52113846,-1.8,-12.231061,-22.5,-40.091,-67.81,-63.98,-5680.22,-4.38,6.27,-66.81,-12.82,-1588.45,-490.47,0.0,0.0,0.0,0.0,0.0,4.63921,1186.34,0.000177,-12.947000000000001,6.23,-19.516,-8.669,-187.984,-8.549,-4.978,0.0,-204.98,78.82,-552.59,30.53,-2073.909,12.2800809502,-3.553,3.555,1.147,-0.7939,-223.2,-4293.0,10.77,16.15,-4511.0,-2.698,2.6889999999999996,0.7155,1.095,-10.13,-585.0,9.469,-3.497,-608.1,-6839.974023000001,-6910.567662,1959.43,-2299.3,4258.72,-0.0915,0.0,0.0,0.0,-3.7520629999999997,-3.249529,-13.430551999999999,-19.814487,-20.9578552533,13.8049,0.009025,80
swarm_100_46.pdb,2,7,10,3,8,4,17,6,8,1,4,3,2,4,1,0.47,0.4166666666666667,0.5171428571428571,0.5674999999999999,0.4079999999999999,0.4625,0.44294117647058817,0.4633333333333334,0.4225,0.44,0.475,0.525,0.71,0.49,0.7033333333333333,3.62,2.2699999999999996,4.079999999999999,3.7,7.5299999999999985,2.7800000000000002,3.38,0.44,1.9,1.05,2.84,0.49,2.11,27.69,36.38,2301.8700000000026,1048.819999999998,1253.0400000000009,1.4142135623730951,1.7320508075688772,4.123105625617661,1.0,2.449489742783178,2.8284271247461903,2.6457513110645907,3.1622776601683795,2.8284271247461903,2.0,2.0,1.0,1.7320508075688772,1.4142135623730951,2.0,2.4244,-3.926,2.12,-7.6,-32.0,-240.2,3.04,-243.48,219.7,-0.48,0.10685599999999999,-1.24,37.6,17.4,-30.6,124.35,7.8,20.2,24.6,-4.32,13.2,18.56,-399.2,0.18826081760000002,-4.4,-12.453483,-24.05,-41.361000000000004,-61.02,-46.13,-6090.77,-28.56,-20.52,-44.68,-0.89,-1544.16,-384.05,0.0,0.0,0.0,0.0,0.0,-91.698,117.28200000000001,0.00025699999999999996,-6.515,20.91,-27.424,11.652999999999999,-131.079,-6.075,-3.5839999999999996,0.0,-236.03,103.01,-467.41,58.88,871.9110000000001,36.082097122600004,-4.258,4.248,0.4964,-0.8294,-218.2,-4198.0,6.587000000000001,-42.07,-4465.0,-2.68,2.3930000000000002,0.0122,1.855,-12.87,-573.9,7.865,-2.766,-597.4,-6969.935635,-7058.661851999999,1871.46,-2299.41,4170.86,-0.0522,0.0,0.0,0.0,-7.085374000000001,-12.433010000000001,-10.397491,-22.922601,-23.0290482927,13.9896,0.004563,80
swarm_100_91.pdb,5,2,9,3,7,10,6,6,11,1,1,0,0,3,1,0.4,0.6566666666666667,0.44,0.631,0.4344444444444444,0.34142857142857136,0.41333333333333333,0.44,0.6272727272727273,0.34,0.47333333333333333,0.0,0.88,0.49,0.0,0.88,6.31,3.9099999999999997,2.3899999999999997,2.48,2.64,6.9,0.34,1.42,0.0,0.88,0.49,0.0,27.63,36.07,1924.1900000000023,868.5599999999995,1055.619999999999,2.23606797749979,1.7320508075688772,2.449489742783178,1.0,2.449489742783178,3.3166247903554,1.4142135623730951,3.0,2.6457513110645907,3.1622776601683795,1.0,1.0,0.0,0.0,1.7320508075688772,1.077,-4.148,-2.7,-4.8,-23.4,-160.2,2.78,-156.02,141.84,-1.74,0.103672,-2.9,28.0,14.2,-20.8,141.50799999999998,8.6,13.0,16.2,1.96,10.94,6.74,-253.8,-0.6453626043999999,-2.9,-9.957058,-15.13,-30.334,-57.61,-54.59,-5729.78,-19.16,-13.03,6.18,3.85,-1163.35,196.24,0.0,0.0,0.0,0.0,0.0,-48.8173,759.054,0.000275,-17.582,16.832,45.218999999999994,3.772,-82.685,-2.079,-0.508,0.0,-114.32,90.81,-365.39,-15.34,551.914,11.618379996199998,-3.412,3.478,1.063,-1.456,-262.0,-3412.0,7.619,6.405,-3676.0,-2.278,2.064,-0.499,0.7995,-39.92,-460.3,4.662,-2.419,-507.3,-5845.139206,-5912.592144,2610.52,-1822.85,4433.37,0.0248,0.0,0.0,0.0,-13.945032999999999,-18.415747,-17.737662,-26.058017,-25.024968041199998,14.4634,0.006092,65
swarm_100_93.pdb,14,6,11,4,6,5,16,9,2,1,11,2,3,11,3,0.43928571428571417,0.415,0.48666666666666664,0.55,0.43363636363636365,0.29666666666666663,0.463125,0.48222222222222233,0.53,0.43,0.46727272727272723,0.6666666666666666,0.5863636363636364,0.78,0.8200000000000001,2.92,2.75,4.7700000000000005,1.7799999999999998,7.41,4.340000000000001,1.06,1.29,5.14,2.0,6.45,0.78,1.6400000000000001,28.74,34.81,2474.1200000000026,1014.8899999999994,1459.2199999999993,3.7416573867739413,2.0,4.0,1.7320508075688772,3.0,1.4142135623730951,2.449489742783178,3.3166247903554,2.449489742783178,2.23606797749979,3.3166247903554,1.0,1.4142135623730951,1.7320508075688772,3.3166247903554,6.1696,-8.134,4.74,-12.2,-13.2,-243.8,4.54,-241.18,228.92,-1.9,-0.010579999999999999,-4.62,46.2,31.0,-10.0,16.848,28.2,41.8,44.0,4.9,8.94,10.4,-396.6,0.4204412128,0.6,-7.962762,-23.01,-41.151,-74.37,-67.98,-5625.19,-29.36,-12.8,45.87,53.27,-1557.14,365.64,0.0,0.0,0.0,0.0,0.0,-34.3775,2198.05,0.000234,-22.233,11.115,92.685,-1.849,-247.264,-6.051,-1.3530000000000002,0.0,-103.9,55.17,-1037.53,299.38,316.211,10.312369426,-3.675,3.489,-0.2255,0.209,-635.0,-5328.0,-0.4301,10.2,-5952.0,-2.524,2.56,0.1408,-0.3492,-32.8,-638.0,6.942,-6.358,-684.1,-6975.415051000001,-7074.715862000001,3063.0,-2360.5,5423.5,-0.0416,0.0,0.0,0.0,4.062855,7.100372,-9.815074000000001,-22.90181,-25.309028583499998,14.1782,0.007481,104
swarm_101_0.pdb,4,4,6,10,12,5,6,4,10,0,2,3,0,6,2,0.45999999999999996,0.362,0.525,0.526,0.47833333333333333,0.35833333333333334,0.4833333333333334,0.465,0.6760000000000002,0.41000000000000003,0.39166666666666666,0.0,0.65,0.0,0.7833333333333333,2.1,2.63,2.87,4.3,2.9000000000000004,1.86,6.760000000000002,0.8200000000000001,2.35,0.0,1.3,0.0,2.35,27.38,36.43,1729.8300000000017,668.3900000000012,1061.4500000000007,2.0,3.1622776601683795,2.449489742783178,1.4142135623730951,2.0,3.1622776601683795,2.0,2.449489742783178,3.4641016151377544,2.23606797749979,1.4142135623730951,0.0,1.7320508075688772,0.0,2.449489742783178,2.6278,-7.886,0.18,-5.0,-8.8,-233.0,8.36,-198.2,208.16,-1.32,0.057491999999999994,-2.32,43.6,28.6,-12.0,105.26799999999999,21.8,34.0,40.0,3.74,4.44,0.6,-345.0,1.3342120888,15.1,-7.059483,-12.45,-26.79,-60.94,-48.77,-6048.17,43.34,-3.76,32.29,37.16,-1120.46,77.02,0.0,0.0,0.0,0.0,0.0,-51.946000000000005,1265.02,0.00041500000000000006,-25.142,8.638,17.272000000000002,-14.777000000000001,-102.39,-5.972,-4.027,0.0,-99.26,191.8,-464.07,85.27,-281.874,33.0199995649,-1.724,1.695,0.2918,0.1968,-258.9,-3367.0,4.032,-17.93,-3648.0,-1.0759999999999998,0.7166,-0.3673,1.6380000000000001,-24.04,-578.0,5.265,-4.897,-612.2,-5519.536602,-5574.819463,2253.25,-1644.81,3898.07,-0.0238,0.0,0.0,0.0,-3.060498,-1.044234,-8.107796,-22.413785999999998,-20.4739319723,20.1193,0.005392,74
swarm_10_113.pdb,5,6,9,5,11,12,11,3,15,0,2,7,5,8,6,0.446,0.358,0.4816666666666667,0.5433333333333333,0.41555555555555557,0.3354545454545455,0.4563636363636364,0.5,0.4606666666666666,0.44333333333333336,0.45,0.7060000000000001,0.66,0.0,0.6385714285714287,2.89,6.52,3.74,3.6900000000000004,5.0200000000000005,1.5,6.909999999999999,2.66,3.6,3.5300000000000002,1.32,0.0,4.470000000000001,27.91,35.81,2492.5099999999948,1103.6200000000008,1388.8899999999994,2.23606797749979,2.23606797749979,3.3166247903554,2.449489742783178,1.7320508075688772,3.872983346207417,2.449489742783178,3.0,3.3166247903554,3.4641016151377544,1.4142135623730951,0.0,2.6457513110645907,2.23606797749979,2.8284271247461903,2.8178,6.966,3.2,-4.4,-28.2,-268.8,2.98,-259.3,235.02,1.16,0.044058,1.4,34.4,17.4,-22.2,95.486,14.0,29.6,34.4,0.68,9.08,2.06,-413.6,0.4079394946,-6.0,-6.9718279999999995,-20.09,-38.93,-69.04,-60.43,-6222.23,-35.38,-14.3,57.73,59.73,-1624.45,263.1,0.0,0.0,0.0,0.0,0.0,-1.46104,1650.67,0.00021899999999999998,-13.222999999999999,14.993,37.711,5.541,-113.969,-11.290999999999999,-9.125,0.0,-131.88,115.14,-940.55,110.37,-423.341,12.0530256713,-3.14,3.137,-0.3894,-1.5730000000000002,-307.3,-4902.0,0.53,2.532,-5207.0,-2.036,2.21,0.4188,-0.5148,13.92,-737.3,9.311,-13.61,-746.3,-6824.606559000001,-6914.380056,2741.12,-2322.12,5063.24,-0.1004,0.0,0.0,0.0,-8.097049,-7.218792,-8.924876,-22.453539000000003,-21.8863683025,20.2181,0.006229,105
swarm_10_131.pdb,7,1,7,3,7,9,8,6,13,1,1,2,2,4,3,0.42,0.46666666666666673,0.53,0.5822222222222222,0.4471428571428572,0.37142857142857144,0.39125,0.4616666666666667,0.6507692307692307,0.47666666666666674,0.5,0.7649999999999999,0.67,0.49,0.685,0.53,5.24,3.1300000000000003,2.6,3.13,2.7700000000000005,8.459999999999999,1.4300000000000002,2.0,1.5299999999999998,0.67,0.49,1.37,27.27,36.82,1826.3400000000038,811.8899999999994,1014.4500000000007,2.6457513110645907,1.7320508075688772,2.8284271247461903,1.7320508075688772,2.449489742783178,3.605551275463989,1.0,2.6457513110645907,2.6457513110645907,3.0,1.0,1.0,1.4142135623730951,1.4142135623730951,2.0,1.1216,-13.214,-5.0,-12.0,-24.4,-194.0,4.98,-168.34,170.12,-4.66,0.022742,-7.46,33.8,14.0,-24.0,136.83,12.8,21.6,26.0,4.42,1.0,-3.16,-298.8,-0.30497148820000003,8.3,-8.822485,-14.08,-30.194000000000003,-40.04,-47.23,-5923.64,4.56,-1.3,-16.65,3.59,-1097.23,398.67,0.0,0.0,0.0,0.0,0.0,-71.0932,781.072,0.00037999999999999997,-28.114,15.964,28.209,-9.329,-102.72,-3.452,-1.5,0.0,-88.16,98.15,-425.73,9.46,-66.0099999998,25.688198261700002,-2.0869999999999997,2.123,1.297,0.3259,-290.5,-3333.0,9.889,1.6340000000000001,-3632.0,-0.8403,0.4828,0.02754,2.233,-32.45,-528.9,6.604,-0.3429,-568.3,-5851.6389420000005,-5902.564765,2427.32,-1822.94,4250.26,-0.1437,0.0,0.0,0.0,-17.322741,-19.75625,-15.155407,-26.505779999999998,-22.9631126412,13.9864,0.007338,74
