Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_189.pdb,1,3,1,4,7,4,10,1,9,0,0,2,0,1,0,0.49,0.49500000000000005,0.5499999999999999,0.5650000000000001,0.42,0.39857142857142863,0.45,0.44,0.59,0.0,0.27,0.0,0.0,0.0,0.57,1.65,2.2600000000000002,0.42,2.7900000000000005,4.5,0.44,5.31,0.0,0.27,0.0,0.0,0.0,1.14,30.66,38.68,1392.1100000000006,670.8300000000017,721.289999999999,1.0,2.0,3.1622776601683795,0.0,1.0,3.0,1.7320508075688772,1.0,2.6457513110645907,2.0,0.0,0.0,1.4142135623730951,0.0,1.0,0.2042,-2.6719999999999997,-0.74,-9.2,-8.4,-119.2,6.38,-83.38,98.76,-2.22,0.079954,-4.28,25.0,10.0,-12.6,81.482,7.2,15.0,22.8,2.94,6.98,7.78,-164.6,-0.080807716,8.6,-7.682861,-8.11,-18.258,-42.75,-33.07,-2976.52,13.92,3.07,-25.4,-25.87,-774.66,-152.94,0.0,0.0,0.0,0.0,0.0,-22.4773,2.93285,0.00046399999999999995,2.728,13.007,-29.107,12.825,-41.129,-2.105,-1.324,0.0,-126.88,137.58,-106.18,-50.82,1001.378,21.8010657765,-2.0580000000000003,2.12,0.2795,-0.8028,-150.2,-2099.0,7.528,-13.48,-2270.0,-2.04,1.6469999999999998,-0.3724,1.7180000000000002,-42.34,-285.9,3.115,-4.249,-335.6,-3499.4472659999997,-3530.6748340000004,2061.57,-1080.65,3142.21,0.0491,0.0,0.0,0.0,1.8551529999999998,5.381041000000001,-5.92678,-10.304787,-9.813077496739998,8.4671,0.007418999999999999,43
swarm_0_190.pdb,2,1,6,5,8,4,9,3,6,0,4,2,0,5,1,0.49,0.42400000000000004,0.58,0.5725,0.47500000000000003,0.445,0.42444444444444446,0.49,0.5033333333333334,0.51,0.438,0.0,0.6325000000000001,0.0,0.53,0.58,2.29,2.85,3.56,3.8200000000000003,1.47,3.0200000000000005,0.51,2.19,0.0,2.5300000000000002,0.0,1.06,30.47,37.87,1309.6100000000006,580.7600000000002,728.8499999999985,1.4142135623730951,2.23606797749979,3.0,1.0,1.7320508075688772,2.449489742783178,1.0,2.449489742783178,2.8284271247461903,2.0,2.0,0.0,1.4142135623730951,0.0,2.23606797749979,2.324,-0.266,-0.56,-5.6,-6.4,-112.0,4.02,-97.56,106.98,-3.04,-0.00868,-5.14,28.6,17.0,-8.2,56.373999999999995,18.8,28.4,32.2,3.34,8.02,12.26,-170.8,0.295703414,9.3,-6.239402,-10.58,-19.094,-51.71,-39.6,-2723.86,-15.15,1.53,-0.49,13.87,-680.1,112.41,0.0,0.0,0.0,0.0,0.0,-58.7164,269.47900000000004,0.000446,-4.363,7.894,-29.941,0.537,-96.338,-5.324,-3.4939999999999998,0.0,-117.68,89.04,-410.24,100.46,23.35,5.42257741001,-2.363,2.147,-1.195,0.3851,-423.6,-2463.0,-2.201,10.68,-2874.0,-2.374,2.129,0.5214,1.49,-34.97,-330.1,5.112,-0.1168,-370.3,-3659.4625520000004,-3697.819495,1857.4,-1133.32,2990.72,-0.0037,0.0,0.0,0.0,3.847854,0.7673840000000001,5.2191849999999995,-5.652805,-9.72513372107,4.773630000000001,0.006143,56
swarm_0_28.pdb,3,3,3,9,9,4,8,1,12,0,1,2,1,0,0,0.4366666666666667,0.3777777777777778,0.5533333333333333,0.52,0.42,0.38000000000000006,0.495,0.56,0.39916666666666667,0.0,0.0,0.68,0.65,0.0,0.94,1.6600000000000001,2.08,1.26,3.4200000000000004,3.96,0.56,4.79,0.0,0.0,0.68,0.65,0.0,1.88,30.9,38.19,1892.0400000000009,922.0799999999999,969.9599999999991,1.7320508075688772,3.0,2.8284271247461903,0.0,1.0,3.4641016151377544,1.7320508075688772,1.7320508075688772,3.0,2.0,1.0,0.0,1.4142135623730951,1.0,0.0,1.306,1.214,3.58,-8.8,-12.4,-111.2,7.98,-85.38,105.46,-1.46,0.09009400000000001,-1.96,33.2,16.4,-9.4,134.966,4.8,17.2,25.4,5.56,10.96,1.22,-178.4,0.201618512,10.2,-9.384174,-12.64,-23.243000000000002,-37.18,-31.81,-2593.42,-1.99,0.34,8.98,42.45,-991.98,-442.76,0.0,0.0,0.0,0.0,0.0,-29.8307,92.294,0.000296,-0.31,19.875,-32.385,16.327,-17.926,-4.967,-4.626,0.0,-164.98,157.42,-152.72,-56.36,912.679,25.8844841699,-2.142,2.217,0.8913,-0.8488,-268.8,-2827.0,12.11,-10.56,-3119.0,-2.1180000000000003,1.821,-0.1517,1.702,-6.443,-498.5,5.303999999999999,-3.9530000000000003,-514.2,-4079.6083399999998,-4125.604835,2041.79,-1296.44,3338.23,0.045,0.0,0.0,0.0,-3.1467,-2.451704,-0.299647,-7.776743,-12.9046732905,9.64938,0.005375,56
swarm_0_52.pdb,3,1,3,1,7,1,6,2,11,0,6,1,2,6,1,0.48333333333333334,0.52,0.53,0.57,0.49666666666666665,0.4542857142857143,0.4716666666666666,0.5,0.5336363636363637,0.51,0.41,0.52,0.61,0.0,0.7,0.53,0.57,1.49,3.18,2.8299999999999996,1.0,5.87,0.51,2.46,1.04,3.66,0.0,0.7,30.7,38.01,1400.8199999999997,724.2099999999991,676.6100000000006,1.7320508075688772,1.0,2.449489742783178,1.0,1.4142135623730951,3.3166247903554,1.0,1.7320508075688772,2.6457513110645907,1.0,2.449489742783178,0.0,1.0,1.4142135623730951,2.449489742783178,1.5826,-0.7440000000000001,-0.76,-8.6,-23.0,-161.8,0.16,-171.7,161.14,-1.9,0.012996,-2.44,18.4,8.8,-19.0,89.77799999999999,13.4,23.4,24.8,-6.98,-0.02,8.86,-289.8,-0.6270982664,-3.1,-8.203846,-8.48,-21.369,-48.59,-42.98,-3044.96,-10.09,-15.4,-18.54,16.65,-731.46,187.66,0.0,0.0,0.0,0.0,0.0,-30.1106,222.263,0.000482,-2.978,18.234,-4.904,14.765999999999998,20.23,-1.454,-1.838,0.0,-127.19,57.62,-265.8,-89.44,1671.241,28.801096765300002,-2.8289999999999997,2.675,-1.334,1.365,-240.6,-2598.0,-0.5536,-40.79,-2879.0,-3.06,2.066,-2.028,3.7110000000000003,-48.04,-419.5,-2.161,-4.321000000000001,-469.7,-3818.6625280000003,-3852.5686049999995,2442.02,-1223.62,3665.64,0.1316,0.0,0.0,0.0,-5.050622,-9.409054,-1.493515,-10.016669,-10.6062265734,9.47579,0.002863,51
swarm_0_81.pdb,3,2,6,3,5,1,12,3,7,1,1,2,1,3,0,0.45,0.35000000000000003,0.5549999999999999,0.62,0.4583333333333333,0.43200000000000005,0.4808333333333333,0.5333333333333333,0.5814285714285715,0.0,0.5033333333333333,0.52,0.65,0.49,0.53,1.1099999999999999,0.62,2.75,2.16,5.77,1.6,4.07,0.0,1.51,0.52,0.65,0.49,1.06,30.72,38.26,1287.7700000000004,696.8899999999994,590.8900000000012,1.7320508075688772,1.7320508075688772,3.4641016151377544,0.0,1.7320508075688772,2.6457513110645907,1.4142135623730951,2.449489742783178,2.23606797749979,1.0,1.0,1.0,1.4142135623730951,1.0,1.7320508075688772,1.3756,2.6860000000000004,4.24,-4.4,-10.4,-105.8,4.72,-94.12,104.0,0.72,-0.06677000000000001,1.18,25.8,16.4,-7.0,56.456,8.6,16.2,20.8,4.1,13.02,15.52,-177.0,0.554410276,8.7,-9.582008,-8.6,-17.519000000000002,-41.6,-30.78,-3096.28,-4.1,-9.73,-20.62,0.32,-731.36,-278.81,0.0,0.0,0.0,0.0,0.0,-35.1476,14.7547,0.000502,-12.967,19.585,-37.778,2.84,-19.752,-2.6189999999999998,-2.244,0.0,-146.03,136.7,-165.95,-56.16,1196.395,0.7064319847050001,-2.1390000000000002,2.064,-1.249,-0.8727,-392.0,-2001.0,-0.5832,-10.73,-2403.0,-1.665,1.0070000000000001,-1.044,3.365,-36.51,-341.7,1.4780000000000002,-1.413,-381.1,-3490.5470579999997,-3533.4752719999997,1464.07,-1030.96,2495.02,-0.1704,0.0,0.0,0.0,2.720192,-2.281169,-4.403991,-7.55455,-12.249767866800001,8.64874,0.00476,50
swarm_100_135.pdb,4,0,4,5,6,1,11,1,13,0,1,1,0,0,0,0.53,0.358,0.0,0.94,0.4475,0.35833333333333334,0.48181818181818187,0.48,0.5115384615384615,0.0,0.0,0.0,0.83,0.0,0.67,0.0,0.94,1.79,2.15,5.300000000000001,0.48,6.6499999999999995,0.0,0.0,0.0,0.83,0.0,0.67,30.32,39.07,1522.4199999999983,866.8400000000001,655.5700000000015,2.0,2.23606797749979,3.3166247903554,0.0,1.0,3.605551275463989,0.0,2.0,2.449489742783178,1.0,1.0,0.0,1.0,0.0,0.0,2.3616,2.1959999999999997,5.38,-4.4,-17.4,-119.6,4.26,-105.16,104.62,1.02,-0.011271999999999999,1.66,21.4,10.2,-10.6,76.36,2.0,9.4,14.6,2.72,4.64,17.9,-186.0,0.26430322,6.7,-8.371962,-11.22,-21.732,-36.75,-24.62,-2531.37,8.12,3.99,-2.34,7.74,-874.09,-303.46,0.0,0.0,0.0,0.0,0.0,-22.3976,-5.8560300000000005,0.00044,-8.064,24.592,-31.136999999999997,13.414000000000001,51.93,-2.459,-3.446,0.0,-111.69,107.52,-72.23,-167.78,943.039,30.0990340514,-2.702,2.693,0.4882,-0.7548,51.7,-2342.0,3.762,-10.74,-2305.0,-1.7830000000000001,1.369,-1.1640000000000001,1.374,17.47,-442.8,1.05,-5.22,-431.6,-3862.5002200000004,-3908.186646,1424.72,-1222.97,2647.68,-0.0484,0.0,0.0,0.0,-1.598735,-4.978758999999999,-7.575153,-14.809034,-5.24782560453,9.27622,0.005298,47
swarm_100_185.pdb,5,3,9,8,7,5,13,5,6,0,3,1,1,3,0,0.52,0.47250000000000003,0.6066666666666666,0.614,0.47777777777777775,0.39,0.4784615384615385,0.542,0.6233333333333334,0.0,0.41,0.52,0.69,0.0,0.67,1.8199999999999998,3.07,4.3,2.73,6.220000000000001,2.71,3.74,0.0,1.23,0.52,2.07,0.0,0.67,31.01,38.55,1753.0099999999984,1003.8700000000008,749.1499999999996,2.23606797749979,2.8284271247461903,3.605551275463989,0.0,2.23606797749979,2.449489742783178,1.7320508075688772,3.0,2.6457513110645907,2.23606797749979,1.7320508075688772,0.0,1.0,1.0,1.7320508075688772,-0.40399999999999997,-5.0280000000000005,2.7,-6.2,-25.6,-150.8,2.28,-152.74,144.58,-0.14,0.035236,-0.2,27.2,15.2,-13.6,60.894,1.2,9.8,13.6,-5.14,17.24,8.04,-277.6,-0.32557922,-3.9,-8.36538,-16.95,-25.531999999999996,-59.08,-44.66,-4433.8,1.16,-8.66,-0.45,16.11,-1073.18,200.11,0.0,0.0,0.0,0.0,0.0,-32.3052,324.301,0.00033,-4.375,20.003,-31.639,12.464,19.724,-1.071,-1.445,0.0,-110.35,115.47,-548.67,-60.54,603.521,33.3820971791,-3.5069999999999997,3.503,0.1727,-1.8530000000000002,-138.3,-2773.0,5.263999999999999,-14.89,-2932.0,-3.3569999999999998,2.8560000000000003,-1.618,1.237,-16.14,-499.7,-0.7708,-0.629,-515.7,-4412.000794,-4486.749008,1315.72,-1438.58,2754.31,-0.1028,0.0,0.0,0.0,-2.569,-7.750708,-3.337986,-11.658289,-15.128942838599999,15.0959,0.006594,69
swarm_100_18.pdb,2,2,3,4,3,4,13,3,11,0,0,5,1,0,0,0.58,0.42250000000000004,0.635,0.5,0.42,0.25333333333333335,0.4546153846153845,0.5333333333333333,0.49636363636363634,0.0,0.0,0.7,0.0,0.0,0.8280000000000001,1.27,2.0,1.26,0.76,5.909999999999998,1.6,5.46,0.0,0.0,0.7,0.0,0.0,4.140000000000001,30.23,38.37,1781.7000000000007,977.7799999999988,803.8999999999996,1.4142135623730951,2.0,3.605551275463989,0.0,1.7320508075688772,3.3166247903554,1.4142135623730951,1.7320508075688772,1.7320508075688772,2.0,0.0,0.0,2.23606797749979,1.0,0.0,-2.3662,-6.667999999999999,-3.76,-9.6,-24.6,-133.0,3.24,-113.3,101.86,-2.92,0.000606,-7.14,28.2,9.6,-18.4,120.484,-4.2,3.4,11.2,0.44,3.08,0.3,-195.6,-1.296007242,3.3,-7.937632000000001,-14.2,-25.166999999999998,-47.57,-43.5,-4962.64,-2.86,-7.14,35.04,35.15,-1061.62,83.68,0.0,0.0,0.0,0.0,0.0,-11.0538,498.205,0.000342,-8.306000000000001,17.221,17.459,10.661,5.195,-1.4769999999999999,-1.5759999999999998,0.0,-128.77,141.89,-545.44,-59.19,-272.442,25.681088434499998,-2.832,3.032,2.271,-1.974,-194.4,-2287.0,16.36,18.83,-2479.0,-2.44,1.983,-1.207,1.031,-55.2,-383.9,0.6324,1.3319999999999999,-438.4,-4205.1723090000005,-4267.874225,1255.87,-1439.34,2695.21,-0.0121,0.0,0.0,0.0,-2.570953,-3.441336,-2.106463,-8.03118,-11.7415842621,13.523,0.008961,51
swarm_100_81.pdb,2,2,3,4,13,1,17,5,7,0,1,0,2,1,0,0.49,0.51,0.46499999999999997,0.57,0.5099999999999999,0.38615384615384624,0.46882352941176464,0.504,0.5385714285714286,0.0,0.41,0.675,0.88,0.0,0.0,0.9299999999999999,0.57,1.5299999999999998,5.020000000000001,7.969999999999999,2.52,3.77,0.0,0.41,1.35,0.88,0.0,0.0,30.65,38.39,1810.5999999999985,951.7200000000012,858.8799999999992,1.4142135623730951,2.0,4.123105625617661,0.0,2.23606797749979,2.6457513110645907,1.4142135623730951,1.7320508075688772,3.605551275463989,1.0,1.0,0.0,0.0,1.4142135623730951,1.0,0.7194,-8.36,-0.78,-16.6,-28.4,-181.0,5.48,-138.28,141.56,-4.0,0.04216,-8.06,33.8,14.2,-23.6,99.23200000000001,2.8,10.4,19.4,0.92,7.3,12.8,-255.8,-0.4607678932,10.0,-8.872557,-16.06,-26.708000000000002,-61.14,-40.26,-3333.06,-7.92,-22.25,21.35,23.67,-1093.44,46.49,0.0,0.0,0.0,0.0,0.0,-48.4542,227.813,0.000405,-5.202000000000001,19.51,-0.087,14.3,17.095,-0.325,-0.65,0.0,-95.87,162.47,-288.45,-125.98,819.753,29.559830653000002,-2.875,2.937,0.7863,-0.7975,-203.8,-2975.0,13.43,-24.82,-3218.0,-2.72,1.966,-0.4607,3.7760000000000002,-38.77,-454.8,4.048,2.9219999999999997,-494.7,-4463.697436,-4531.040025,1848.64,-1499.72,3348.35,0.1178,0.0,0.0,0.0,-0.9306049999999999,-1.6873049999999998,-2.866197,-12.411626,-13.2568955413,23.9662,0.004517,58
swarm_100_85.pdb,7,2,8,4,4,4,8,3,5,0,2,3,1,6,3,0.47714285714285715,0.40750000000000003,0.58,0.4925,0.4475,0.4375,0.47125000000000006,0.53,0.602,0.37333333333333335,0.375,0.83,0.51,0.0,0.6133333333333334,1.16,1.97,3.58,1.75,3.7700000000000005,1.59,3.01,1.12,2.25,0.83,1.02,0.0,1.84,30.5,38.12,1393.0700000000033,645.1899999999987,747.8599999999988,2.6457513110645907,2.0,2.8284271247461903,1.7320508075688772,1.7320508075688772,2.23606797749979,1.4142135623730951,2.8284271247461903,2.0,2.0,1.4142135623730951,0.0,1.7320508075688772,1.0,2.449489742783178,3.4160000000000004,0.76,2.88,-4.8,-15.8,-135.4,1.86,-128.5,125.46,-0.4,0.033526,-0.76,15.0,8.0,-9.6,13.286,7.0,17.4,16.8,3.36,12.82,10.54,-230.4,0.6421459860000001,-1.1,-5.129975,-12.99,-20.323,-55.47,-36.94,-3626.65,39.46,-8.03,15.48,3.6,-710.99,495.85,0.0,0.0,0.0,0.0,0.0,-2.09685,908.815,0.000478,0.78,4.537,24.331,7.749,-111.447,-4.202,-2.084,0.0,-105.84,48.8,-538.37,29.94,79.098,3.4668985847400005,-2.9389999999999996,2.885,-1.1079999999999999,-2.08,-515.4,-2310.0,-0.6793,27.08,-2797.0,-1.7530000000000001,1.393,-0.8333,1.177,-56.32,-345.9,0.7117,1.228,-401.7,-3825.8821799999996,-3868.613012,1850.98,-1202.24,3053.23,0.0114,0.0,0.0,0.0,1.085158,0.023503,-4.928717,-12.823780000000001,-7.65810617875,5.891030000000001,0.005217,60
swarm_100_97.pdb,6,1,6,3,7,1,8,1,7,0,3,0,0,2,2,0.5266666666666667,0.3566666666666667,0.49,0.28,0.4733333333333334,0.33285714285714285,0.41374999999999995,0.53,0.5414285714285714,0.41000000000000003,0.545,0.0,0.7566666666666667,0.0,0.0,0.49,0.28,2.8400000000000003,2.33,3.3099999999999996,0.53,3.7899999999999996,0.8200000000000001,1.09,0.0,2.27,0.0,0.0,30.88,37.94,1397.8999999999978,697.8899999999994,700.0199999999986,2.449489742783178,1.7320508075688772,2.8284271247461903,1.4142135623730951,1.0,2.6457513110645907,1.0,2.449489742783178,2.6457513110645907,1.0,1.7320508075688772,0.0,0.0,0.0,1.4142135623730951,-0.5586,2.958,0.76,-3.6,-17.0,-124.8,1.98,-116.7,103.94,-0.06,0.089202,1.1,23.2,13.0,-12.4,78.16199999999999,0.2,6.0,11.2,-2.54,0.02,15.06,-197.6,0.153218228,1.6,-8.203644,-12.86,-21.456999999999997,-46.4,-45.64,-2525.42,2.07,5.7,-0.91,12.07,-902.85,-306.51,0.0,0.0,0.0,0.0,0.0,-39.3004,70.4758,0.000458,-7.322,16.114,-42.185,4.573,18.148,-5.072,-5.416,0.0,-102.46,55.47,-451.2,45.41,1300.5739999999998,33.516947130700004,-2.812,2.9410000000000003,1.087,-1.885,-137.1,-2440.0,10.87,-16.03,-2604.0,-1.445,1.291,-0.5983,0.02387,32.17,-381.1,1.83,-5.641,-356.4,-3864.707211,-3912.428249,1444.46,-1221.23,2665.68,0.0242,0.0,0.0,0.0,-0.7259869999999999,-2.0960400000000003,-6.081732,-9.169253999999999,-8.48196737832,10.2426,0.003043,47
