Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_118.pdb,8,2,9,4,2,7,25,11,5,1,0,2,3,1,1,0.45875,0.42250000000000004,0.44,0.76,0.4744444444444444,0.33499999999999996,0.45159999999999995,0.4845454545454546,0.27,0.51,0.47,0.6833333333333332,0.0,0.49,0.7,0.88,5.32,4.27,0.6699999999999999,11.29,5.330000000000001,1.35,0.51,0.47,2.05,0.0,0.49,1.4,31.05,40.26,2790.4000000000015,1318.2199999999975,1472.1800000000003,2.8284271247461903,2.0,5.0,1.0,3.3166247903554,2.23606797749979,1.4142135623730951,3.0,1.4142135623730951,2.6457513110645907,0.0,1.0,1.4142135623730951,1.7320508075688772,1.0,4.6458,-8.868,4.4,-12.2,-15.8,-182.0,5.34,-162.68,182.82,-4.2,-0.044636,-3.98,34.8,19.4,-21.6,25.122,19.8,29.6,34.4,5.94,24.14,13.74,-296.4,0.8758976042000001,7.1,-9.827983999999999,-25.29,-44.172,-55.3,-53.25,-5238.19,-39.28,-11.13,-61.35,-28.65,-2245.95,-1324.55,0.0,0.0,0.0,0.0,0.0,-79.2852,-56.7081,0.00018700000000000002,-14.957,19.198,-69.608,-2.719,-614.7769999999999,-4.242,7.438,0.0,-117.9,180.22,-269.29,-138.48,-22690.303,25.1523654179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7841.173016,-7954.033458,0.0,0.0,0.0,-0.1533,0.0,0.0,0.0,-0.408003,-2.347545,-7.171902,-14.139543,-35.8850795675,20.642,0.0020859999999999997,81
swarm_0_23.pdb,6,1,3,14,2,4,18,3,28,0,0,2,2,1,2,0.45,0.43857142857142856,0.35,0.6125,0.37333333333333335,0.44499999999999995,0.48055555555555557,0.4466666666666666,0.5700000000000001,0.34,0.41,0.675,0.0,0.0,0.7150000000000001,0.35,2.45,1.12,0.8899999999999999,8.65,1.3399999999999999,15.96,0.68,0.41,1.35,0.0,0.0,1.4300000000000002,30.6,39.98,3245.8899999999994,1662.630000000001,1583.260000000002,2.449489742783178,3.7416573867739413,4.242640687119285,1.4142135623730951,1.7320508075688772,5.291502622129181,1.0,1.7320508075688772,1.4142135623730951,2.0,0.0,0.0,1.4142135623730951,1.4142135623730951,1.0,3.696,-9.12,-0.78,-21.4,-31.6,-220.4,11.14,-174.56,205.44,-7.44,0.03411,-14.06,59.6,23.4,-28.2,174.75799999999998,17.8,29.6,39.6,10.34,12.66,1.66,-351.6,-0.4527022496,24.7,-12.30414,-21.47,-44.91,-55.04,-53.87,-5710.19,-17.03,-0.12,30.8,32.25,-1994.43,-902.81,0.0,0.0,0.0,0.0,0.0,-66.0523,-106.59700000000001,0.000168,-22.691,52.516999999999996,-86.26700000000001,21.199,-14.07,-2.112,-1.844,0.0,-216.76,362.68,-250.76,-189.41,-3134.289,75.0175725407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7814.983754000001,-7915.7978219999995,0.0,0.0,0.0,0.0194,0.0,0.0,0.0,-13.597401999999999,-11.923731,-13.856720000000001,-14.622138,-26.9715211681,20.9027,0.001605,86
swarm_0_83.pdb,5,6,2,8,13,6,28,7,10,0,0,0,2,1,3,0.32,0.5075000000000001,0.49666666666666665,0.4833333333333334,0.385,0.33615384615384614,0.44214285714285717,0.48857142857142855,0.532,0.51,0.48,0.525,0.0,0.0,0.0,2.98,2.9000000000000004,0.77,4.37,12.38,3.42,5.32,1.53,0.48,1.05,0.0,0.0,0.0,30.7,40.09,3061.7499999999927,1631.119999999999,1430.6399999999994,2.23606797749979,2.8284271247461903,5.291502622129181,1.7320508075688772,2.6457513110645907,3.1622776601683795,2.449489742783178,1.4142135623730951,3.605551275463989,2.449489742783178,0.0,0.0,0.0,1.4142135623730951,1.0,4.5256,-9.44,2.6,-13.0,-25.4,-209.2,7.72,-219.36,229.28,-5.0,0.01914,-10.42,49.2,20.6,-27.4,137.844,29.6,43.0,51.6,9.42,14.34,14.4,-393.8,-2.3991080522,21.7,-11.277137,-13.9,-36.876,-68.86,-68.21,-5340.66,8.71,-15.3,-37.77,-23.16,-1564.75,-689.08,0.0,0.0,0.0,0.0,0.0,-73.6332,-53.1164,0.000162,-14.744000000000002,46.915,-89.762,23.194000000000003,-79.458,-7.763,-6.254,0.0,-191.86,301.22,-261.18,-160.65,-2907.96000001,73.95955583140001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7007.884181,-7085.546172,0.0,0.0,0.0,0.0084,0.0,0.0,0.0,-2.9983720000000003,-6.100006,-10.922979,-22.695569,-28.4290922089,19.9069,0.002374,91
swarm_0_98.pdb,4,1,5,13,17,3,18,4,21,0,1,0,1,1,2,0.445,0.43692307692307697,0.54,0.6266666666666667,0.43999999999999995,0.3805882352941175,0.4694444444444445,0.45249999999999996,0.578095238095238,0.34,0.41,0.52,0.46,0.0,0.0,0.54,1.8800000000000001,2.1999999999999997,6.469999999999998,8.450000000000001,1.8099999999999998,12.139999999999999,0.68,0.41,0.52,0.46,0.0,0.0,30.49,39.98,3164.6700000000055,1648.0800000000017,1516.5999999999985,2.0,3.605551275463989,4.242640687119285,1.4142135623730951,2.0,4.58257569495584,1.0,2.23606797749979,4.123105625617661,1.7320508075688772,1.0,0.0,0.0,1.0,1.0,4.7804,-9.798,3.7,-18.0,-21.6,-246.4,14.02,-196.7,229.78,-4.6,0.101756,-8.52,62.8,30.0,-25.2,183.262,24.6,37.6,48.6,7.94,27.36,2.46,-375.0,-0.5606595508,20.3,-7.016226,-25.47,-45.06100000000001,-71.4,-74.63,-5251.1,-0.47,-19.2,30.53,29.87,-1936.68,-140.13,0.0,0.0,0.0,0.0,0.0,-78.0934,769.265,0.000134,-29.195,44.778,-10.059,14.577,-273.85400000000004,-8.064,-2.86,0.0,-165.87,199.48,-509.64,-127.63,-18143.213,53.083633561599996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7950.771801000001,-8048.985651999999,0.0,0.0,0.0,-0.1376,0.0,0.0,0.0,-10.334458999999999,-10.109996,-15.678673999999999,-27.459439,-29.1586011737,23.4297,0.002297,91
swarm_100_119.pdb,13,5,25,15,11,7,35,19,28,0,3,0,1,4,2,0.4369230769230769,0.4053333333333334,0.5,0.5985714285714286,0.4271999999999999,0.3936363636363636,0.46371428571428575,0.47052631578947374,0.5189285714285713,0.34,0.48,0.52,0.6266666666666666,0.0,0.0,2.5,4.19,10.679999999999998,4.33,16.23,8.940000000000001,14.529999999999998,0.68,1.92,0.52,1.88,0.0,0.0,31.26,40.09,4169.330000000002,1964.4599999999991,2204.869999999999,3.605551275463989,3.872983346207417,5.916079783099616,1.4142135623730951,4.358898943540674,5.291502622129181,2.23606797749979,5.0,3.3166247903554,2.6457513110645907,1.7320508075688772,0.0,0.0,1.0,2.0,10.3116,-13.352,11.48,-29.8,-33.2,-455.6,22.9,-386.14,450.52,-8.9,0.076002,-12.06,111.2,56.6,-48.6,238.33599999999998,57.6,85.4,105.2,15.88,45.38,27.36,-730.8,0.9845093340000001,37.4,-8.976382000000001,-29.52,-56.335,-115.72,-111.0,-8153.16,17.82,-5.52,167.56,115.15,-2232.33,1128.98,0.0,0.0,0.0,0.0,0.0,-66.3218,2088.44,0.00013000000000000002,-13.997,56.908,87.785,51.68899999999999,-467.494,-13.547,-4.665,0.0,-306.94,557.73,-646.44,92.16,3382.3509999999997,109.793618539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9382.428714,-9528.145691,0.0,0.0,0.0,-0.0232,0.0,0.0,0.0,-2.825262,-7.077947,-14.489976,-37.714299,-42.3210855366,29.6467,0.005797999999999999,168
swarm_100_147.pdb,12,8,18,16,10,4,31,23,25,0,0,2,0,2,0,0.44250000000000006,0.41750000000000004,0.47875,0.71,0.421111111111111,0.43,0.47935483870967743,0.48434782608695653,0.5648,0.0,0.675,0.0,0.0,0.0,0.625,3.83,2.84,7.579999999999998,4.3,14.860000000000001,11.14,14.12,0.0,1.35,0.0,0.0,0.0,1.25,30.99,40.33,4387.239999999998,2041.5900000000001,2345.66,3.4641016151377544,4.0,5.5677643628300215,0.0,4.795831523312719,5.0,2.8284271247461903,4.242640687119285,3.1622776601683795,2.0,0.0,0.0,1.4142135623730951,0.0,1.4142135623730951,7.2166,-23.241999999999997,5.72,-39.4,-48.2,-470.8,18.64,-380.36,431.78,-12.64,0.012106,-16.76,92.8,40.4,-61.8,248.862,41.4,65.8,88.4,8.66,59.18,24.2,-703.6,-1.2567511394,30.3,-16.164018,-40.99,-68.622,-130.33,-125.69,-9001.7,-25.2,-15.96,6.35,34.51,-2862.06,-1284.71,0.0,0.0,0.0,0.0,0.0,-95.3222,338.585,0.000103,-21.775,45.077,-103.03399999999999,12.998,-671.1080000000001,-8.766,3.985,0.0,-338.36,555.83,-524.01,-137.9,6366.975,99.9799268136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10555.458008,-10711.368881999999,0.0,0.0,0.0,-0.0609,0.0,0.0,0.0,-11.661227,-14.027047,-18.607881,-35.00165,-47.9141623609,32.0837,0.006874,151
swarm_100_165.pdb,7,3,11,10,8,3,32,8,24,0,1,1,1,3,0,0.49714285714285705,0.369,0.5,0.6900000000000001,0.41727272727272724,0.36250000000000004,0.4765625,0.49875,0.4966666666666666,0.0,0.5,0.83,0.58,0.0,0.53,1.5,2.0700000000000003,4.59,2.9000000000000004,15.25,3.99,11.919999999999998,0.0,1.5,0.83,0.58,0.0,0.53,30.99,39.96,3840.1400000000067,1918.2599999999984,1921.8700000000026,2.6457513110645907,3.1622776601683795,5.656854249492381,0.0,2.8284271247461903,4.898979485566356,1.7320508075688772,3.3166247903554,2.8284271247461903,1.7320508075688772,1.0,0.0,1.0,1.0,1.7320508075688772,7.3622,-6.314,10.18,-23.4,-19.2,-322.8,20.84,-232.44,294.78,-5.34,0.17509,-9.02,85.6,40.8,-31.0,193.206,38.6,57.8,75.2,13.82,41.22,23.34,-466.0,-0.21220896600000003,43.0,-10.908106,-24.94,-50.785,-102.47,-89.63,-6397.69,10.01,-9.19,9.93,19.26,-2216.45,-659.8,0.0,0.0,0.0,0.0,0.0,-28.7284,874.1489999999999,0.000131,-14.446,55.847,-90.773,32.323,-155.025,-9.652999999999999,-6.707999999999999,0.0,-245.9,494.73,-438.7,-33.8,4765.473,123.46154438200001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8503.205161,-8622.652684,0.0,0.0,0.0,0.1077,0.0,0.0,0.0,0.258307,-4.1496580000000005,-16.873609,-23.699269,-33.2412296662,22.4785,0.004723,112
swarm_102_71.pdb,10,7,10,15,22,10,45,19,28,0,0,0,1,2,2,0.3849999999999999,0.4453333333333333,0.5228571428571428,0.689,0.49800000000000005,0.35,0.4662222222222222,0.4931578947368422,0.45142857142857146,0.42500000000000004,0.375,0.53,0.0,0.0,0.0,3.6599999999999997,6.89,4.98,7.699999999999999,20.98,9.370000000000001,12.64,0.8500000000000001,0.75,0.53,0.0,0.0,0.0,30.88,39.87,5161.419999999998,2475.899999999998,2685.519999999997,3.1622776601683795,3.872983346207417,6.708203932499369,1.4142135623730951,4.358898943540674,5.291502622129181,2.6457513110645907,3.1622776601683795,4.69041575982343,3.1622776601683795,0.0,0.0,0.0,1.0,1.4142135623730951,9.6332,-13.504000000000001,11.06,-30.2,-36.2,-405.6,25.16,-335.54,407.28,-8.6,-0.034886,-13.22,116.8,57.0,-45.4,238.324,47.2,70.6,93.2,23.02,67.94,41.44,-663.2,-0.057393722800000005,54.8,-3.417616,-26.59,-64.805,-128.85,-112.34,-9877.92,19.67,5.58,90.56,81.54,-2829.27,135.13,0.0,0.0,0.0,0.0,0.0,26.3408,3551.65,7.8e-05,-26.604,62.067,59.18600000000001,41.381,-530.896,-18.394000000000002,-8.307,0.0,-281.05,644.0,-1070.65,127.91,2175.84,144.25518571799998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10129.841203,-10296.357754999999,0.0,0.0,0.0,0.3405,0.0,0.0,0.0,2.734594,-3.500682,-6.563624000000001,-28.787049,-45.85935471,31.4842,0.0028710000000000003,171
swarm_102_89.pdb,16,4,17,20,13,5,51,13,25,0,0,0,2,9,6,0.4093750000000001,0.4145,0.45500000000000007,0.51,0.4417647058823529,0.3561538461538462,0.4760784313725493,0.46923076923076934,0.5052,0.4016666666666666,0.40888888888888897,0.605,0.0,0.0,0.0,1.8200000000000003,2.55,7.509999999999999,4.630000000000001,24.280000000000015,6.100000000000001,12.629999999999999,2.4099999999999997,3.6800000000000006,1.21,0.0,0.0,0.0,31.17,39.83,5589.010000000002,2614.420000000002,2974.579999999998,4.0,4.47213595499958,7.14142842854285,2.449489742783178,3.605551275463989,5.0,2.0,4.123105625617661,3.605551275463989,2.23606797749979,0.0,0.0,0.0,1.4142135623730951,3.0,12.4152,-9.347999999999999,10.42,-27.6,-22.8,-347.0,17.6,-320.02,381.24,-8.16,0.038633999999999995,-15.9,90.8,49.8,-28.0,149.77200000000002,58.4,81.6,86.8,18.72,61.12,29.34,-622.8,0.07812947,58.3,-14.860701999999998,-33.13,-75.608,-105.58,-88.79,-8168.75,-22.64,1.73,77.86,63.61,-3473.85,-1316.22,0.0,0.0,0.0,0.0,0.0,-78.1173,1045.88,6.8e-05,-28.451999999999998,64.0,-84.791,27.068,-330.042,-22.416999999999998,-16.146,0.0,-226.39,525.41,-863.89,88.31,1518.16,162.554752492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11088.704799,-11266.987061,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,-3.672282,-6.847916000000001,-18.906437,-37.642082,-48.1203835442,27.4762,0.005065999999999999,181
swarm_103_156.pdb,4,3,3,10,9,2,13,2,18,0,5,1,0,11,3,0.46249999999999997,0.42000000000000004,0.6233333333333334,0.585,0.41,0.37777777777777777,0.47230769230769226,0.44,0.5744444444444443,0.37333333333333335,0.440909090909091,0.0,0.606,0.0,0.7,1.87,1.17,1.23,3.4,6.14,0.88,10.339999999999998,1.12,4.8500000000000005,0.0,3.03,0.0,0.7,30.5,40.28,2449.0499999999956,1156.2000000000007,1292.8400000000038,2.0,3.1622776601683795,3.605551275463989,1.7320508075688772,1.4142135623730951,4.242640687119285,1.7320508075688772,1.7320508075688772,3.0,1.4142135623730951,2.23606797749979,0.0,1.0,0.0,3.3166247903554,3.4648,-8.34,2.4,-11.0,-14.6,-207.2,10.28,-211.64,224.44,-2.56,-0.017518000000000002,-4.42,59.8,34.8,-14.0,114.902,24.2,39.0,46.6,10.94,33.02,9.56,-390.0,1.4077256468000001,10.8,-9.9472,-19.61,-38.217,-76.85,-64.9,-6677.75,24.42,-11.96,92.3,36.11,-1457.99,-75.65,0.0,0.0,0.0,0.0,0.0,-20.5831,1383.98,0.000225,-10.155,24.471,-5.1610000000000005,13.799000000000001,-658.052,-3.715,8.788,0.0,-96.15,216.88,-358.03,-42.1,-232.463,22.6566360006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7336.225006999999,-7401.220654000001,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,3.451106,-1.1391069999999999,-1.6172600000000001,-12.884114,-18.3412652447,20.4978,0.003786,84
