Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_119.pdb,0,2,2,0,1,5,8,0,15,1,0,1,0,0,0,0.0,0.0,0.49,0.57,0.36,0.41,0.4475,0.0,0.544,0.0,0.0,0.0,0.0,0.49,0.67,0.98,2.8499999999999996,0.72,0.41,3.58,0.0,8.16,0.0,0.0,0.0,0.0,0.49,0.67,33.83,35.33,1820.1800000000003,929.119999999999,891.0400000000009,0.0,0.0,2.8284271247461903,0.0,0.0,3.872983346207417,1.4142135623730951,1.4142135623730951,1.0,2.23606797749979,0.0,1.0,1.0,0.0,0.0,-1.5782,-2.096,-3.88,-17.6,-27.4,-134.2,2.52,-95.94,97.14,-6.12,0.032756,-10.02,26.0,4.0,-24.2,129.746,-1.8,4.8,10.6,3.08,7.0,-3.16,-181.8,-0.875144052,4.9,-7.815706,-14.79,-24.756999999999998,-42.55,-36.94,-3403.17,-4.69,-8.49,43.79,42.1,-1016.28,-337.2,0.0,0.0,0.0,0.0,0.0,-20.7032,414.504,0.000399,-13.533,9.669,-43.948,-8.259,-89.663,-1.273,0.43,0.0,-160.38,178.73,-331.78,-95.09,-3456.4509999999996,26.857453455199998,-1.266,1.338,0.8578,-0.8856,422.1,-3084.0,11.52,-11.95,-2686.0,-1.248,0.8741,-0.1395,2.031,98.75,-516.8,3.397,3.344,-418.1,-4847.5854469999995,-4902.949753,2129.61,-1291.81,3421.43,-0.0658,0.0,0.0,0.0,-7.279914999999999,-7.462142,-9.689447999999999,-18.706270999999997,-10.4085651543,7.76475,0.004343,35
swarm_0_125.pdb,3,6,2,4,2,7,12,2,22,0,0,2,1,0,0,0.43,0.39,0.47500000000000003,0.5999999999999999,0.475,0.59,0.44749999999999995,0.5,0.5186363636363636,0.0,0.0,0.83,0.0,0.0,0.72,2.85,4.199999999999999,0.95,1.18,5.369999999999999,1.0,11.409999999999998,0.0,0.0,0.83,0.0,0.0,1.44,33.62,35.33,2492.0699999999997,1345.039999999999,1147.0299999999988,1.7320508075688772,2.0,3.4641016151377544,0.0,1.4142135623730951,4.69041575982343,2.449489742783178,1.4142135623730951,1.4142135623730951,2.6457513110645907,0.0,0.0,1.4142135623730951,1.0,0.0,-0.3916,-5.23,-1.16,-21.8,-45.2,-214.6,2.64,-170.04,167.76,-6.02,0.10218200000000001,-11.2,26.2,-1.8,-39.4,175.48,-3.0,8.0,14.2,2.66,4.56,3.98,-316.6,-1.8212109948,5.3,-14.067267999999999,-23.67,-39.049,-70.62,-60.85,-5038.9,-20.75,-11.43,-20.59,-18.01,-1567.1,-91.85,0.0,0.0,0.0,0.0,0.0,-66.609,35.3264,0.00016,-21.289,19.093,-67.793,-8.975,-18.919,-1.485,-1.125,0.0,-187.85,154.66,-470.44,-234.9,-1907.69,22.1927573722,-3.968,3.966,0.816,-2.025,323.2,-4569.0,13.02,5.7989999999999995,-4253.0,-3.531,2.698,-1.787,3.755,20.26,-651.3,-1.537,14.4,-615.1,-6276.146479999999,-6381.055027,3384.92,-1964.89,5349.82,-0.1252,0.0,0.0,0.0,-16.547892,-16.194743,-25.514369,-36.072216,-19.3716180311,10.4245,0.005143,63
swarm_0_151.pdb,8,7,8,4,9,4,31,9,18,1,1,2,4,3,1,0.43374999999999997,0.3975,0.4742857142857143,0.4975,0.41375,0.3433333333333334,0.45161290322580655,0.48000000000000004,0.6088888888888888,0.58,0.63,0.7925,0.83,0.49,0.74,3.3200000000000003,1.99,3.31,3.0900000000000003,14.000000000000004,4.32,10.959999999999999,0.58,1.8900000000000001,3.17,0.83,0.49,1.48,34.16,35.51,3802.3200000000033,1878.6499999999978,1923.67,2.8284271247461903,2.0,5.5677643628300215,1.0,3.0,4.242640687119285,2.6457513110645907,2.8284271247461903,3.0,2.0,1.0,1.0,1.4142135623730951,2.0,1.7320508075688772,-3.1408,-12.25,-8.8,-31.4,-79.6,-404.0,4.98,-348.7,325.82,-10.88,-0.046782,-15.12,59.0,11.8,-73.2,295.21,-4.0,13.6,32.4,7.98,8.84,-6.08,-602.0,-2.0297445998,1.9,-17.675945000000002,-40.95,-58.976000000000006,-121.73,-103.2,-13405.94,-28.91,-20.57,-24.07,-5.67,-2160.36,-247.63,0.0,0.0,0.0,0.0,0.0,-170.248,625.321,0.000149,-55.16,29.766,-63.195,-31.714000000000002,-174.933,-5.433,-2.109,0.0,-562.38,78.85,-1152.74,-277.09,1082.672,40.366064458400004,-2.9939999999999998,3.0580000000000003,0.3663,-1.861,579.8,-6761.0,22.8,-119.4,-6324.0,-2.6430000000000002,2.282,-0.03782,2.823,136.6,-1217.0,13.96,0.3756,-1094.0,-8550.550873,-8704.032565000001,3074.36,-3000.72,6075.08,-0.0096,0.0,0.0,0.0,-20.486944,-29.712103000000003,-29.219210999999998,-48.982343,-42.567123566599996,13.5426,0.004654999999999999,110
swarm_0_46.pdb,1,1,1,3,6,3,10,1,14,0,0,0,1,1,0,0.46,0.37333333333333335,0.53,0.52,0.43,0.34,0.43400000000000005,0.48,0.5271428571428571,0.0,0.48,0.83,0.0,0.0,0.0,0.53,1.56,0.43,2.04,4.340000000000001,0.48,7.38,0.0,0.48,0.83,0.0,0.0,0.0,33.69,35.38,1984.9999999999964,1061.2699999999986,923.739999999998,1.0,1.7320508075688772,3.1622776601683795,0.0,1.0,3.7416573867739413,1.0,1.0,2.449489742783178,1.7320508075688772,0.0,0.0,0.0,1.0,1.0,-0.4712,-8.762,-1.36,-18.6,-26.4,-132.8,4.56,-106.76,119.22,-5.66,0.017325999999999998,-11.46,32.6,7.8,-22.2,130.35,2.8,9.6,16.4,4.36,11.34,0.64,-220.0,-1.7310957694,16.5,-11.304109,-19.6,-33.342,-43.12,-33.37,-3288.1,-12.71,-5.78,-54.96,-23.82,-1319.72,-657.71,0.0,0.0,0.0,0.0,0.0,-56.0965,56.0377,0.000177,-20.875999999999998,25.151,-60.53,-1.778,25.065,-1.6469999999999998,-2.123,0.0,-174.9,191.89,-333.04,-103.85,-6573.201,37.0781915709,-4.291,4.294,1.109,-1.565,68.51,-3630.0,15.06,-8.655,-3585.0,-2.938,2.3209999999999997,-0.6553,3.529,26.7,-527.5,3.31,8.307,-495.8,-5619.8194140000005,-5687.216375999999,3060.7,-1684.75,4745.46,-0.3204,0.0,0.0,0.0,-10.212611,-13.291135,-8.609952,-17.853012,-10.2841999556,9.143360000000001,0.006595,42
swarm_0_50.pdb,1,2,1,1,4,2,10,6,8,1,0,0,0,0,0,0.46,0.34,0.635,0.65,0.34,0.27499999999999997,0.42899999999999994,0.5000000000000001,0.58375,0.0,0.0,0.0,0.0,0.49,0.0,1.27,1.3,0.34,1.0999999999999999,4.289999999999999,3.0000000000000004,4.67,0.0,0.0,0.0,0.0,0.49,0.0,34.11,34.96,1555.3300000000017,828.8000000000029,726.5400000000009,1.0,1.0,3.1622776601683795,0.0,2.449489742783178,2.8284271247461903,1.4142135623730951,1.0,2.0,1.4142135623730951,0.0,1.0,0.0,0.0,0.0,-1.042,-4.926,-3.3,-13.6,-22.4,-108.6,1.7,-73.44,75.64,-5.04,0.015672,-8.36,17.4,4.6,-19.6,74.732,-2.2,2.8,7.8,-3.46,-0.76,-1.22,-139.6,-1.0384924764,4.0,-9.034813,-13.47,-24.019000000000002,-34.69,-33.13,-2814.79,-19.88,-9.66,-4.4,7.53,-997.7,-493.5,0.0,0.0,0.0,0.0,0.0,-45.7388,-13.6772,0.00041,-18.836,20.526,-43.757,-2.685,-13.793,-2.815,-2.553,0.0,-146.78,119.33,-214.8,-162.61,-4651.609,30.9848797843,-2.6430000000000002,2.65,0.2144,-0.9421,341.0,-2665.0,6.247000000000001,-30.08,-2361.0,-3.037,2.237,-1.18,3.2289999999999996,31.31,-402.2,-1.057,6.53,-363.3,-4676.482968,-4732.6161649999995,1898.31,-1224.47,3122.77,0.1378,0.0,0.0,0.0,-9.568453,-12.438104,-10.277602,-15.127673999999999,-10.440808414600001,8.10918,0.004444,36
swarm_10_103.pdb,2,1,2,8,8,3,14,3,20,0,1,0,0,1,0,0.55,0.48750000000000004,0.64,0.6900000000000001,0.44,0.38499999999999995,0.4821428571428571,0.54,0.588,0.0,0.55,0.0,0.62,0.0,0.0,0.64,2.0700000000000003,0.88,3.0799999999999996,6.749999999999999,1.62,11.76,0.0,0.55,0.0,0.62,0.0,0.0,34.32,34.96,2150.140000000003,1205.4699999999993,944.6800000000003,1.4142135623730951,2.8284271247461903,3.7416573867739413,0.0,1.7320508075688772,4.47213595499958,1.0,1.4142135623730951,2.8284271247461903,1.7320508075688772,1.0,0.0,0.0,0.0,1.0,-2.8806,-9.81,-5.14,-19.2,-39.8,-145.2,2.64,-119.84,117.5,-6.92,-0.044180000000000004,-13.1,26.8,3.4,-33.6,132.81799999999998,-5.8,1.6,9.8,3.34,17.82,-0.08,-240.2,-2.85431588,2.6,-9.833412,-16.96,-29.914,-62.54,-46.58,-4382.72,-10.3,-8.17,-40.93,-29.96,-1358.92,-648.6,0.0,0.0,0.0,0.0,0.0,-52.2793,201.887,0.00023500000000000002,-18.154,27.926,-61.723,3.5989999999999998,27.061,0.139,-0.375,0.0,-221.35,138.04,-425.49,-218.14,3889.792,41.3661373383,-4.244,4.3580000000000005,2.638,-1.7269999999999999,-9.19,-3342.0,19.68,12.97,-3358.0,-3.6660000000000004,2.753,-1.7619999999999998,3.772,-14.96,-472.7,-0.9618,11.3,-475.4,-5359.278779,-5430.0876960000005,2454.83,-1471.77,3926.6,-0.2352,0.0,0.0,0.0,-9.213725,-12.131003,-9.947595,-19.671951,-9.45376628008,8.7166,0.0025399999999999997,63
swarm_10_140.pdb,5,0,7,4,11,6,14,4,10,0,1,0,1,1,1,0.47000000000000003,0.435,0.0,0.6383333333333334,0.44142857142857145,0.3909090909090909,0.47357142857142864,0.495,0.732,0.51,0.48,0.52,0.67,0.0,0.0,0.0,3.8300000000000005,3.0900000000000003,4.3,6.630000000000001,1.98,7.32,0.51,0.48,0.52,0.67,0.0,0.0,34.2,35.06,2044.3899999999994,999.3899999999994,1045.0,2.23606797749979,2.0,3.7416573867739413,1.0,2.0,3.1622776601683795,0.0,2.6457513110645907,3.3166247903554,2.449489742783178,1.0,0.0,0.0,1.0,1.0,0.2426,-5.216,0.14,-4.4,-21.6,-121.6,2.0,-120.52,109.34,-0.88,-0.023954,-2.8,12.2,6.4,-18.4,88.836,4.0,8.6,11.2,-2.22,3.76,-0.34,-209.2,-1.220706802,1.6,-7.725672,-14.59,-28.980999999999998,-45.49,-45.4,-5004.01,6.01,-12.16,37.13,30.82,-1225.88,67.39,0.0,0.0,0.0,0.0,0.0,-48.7519,494.207,0.00022999999999999998,-26.101,24.47,-5.359,-2.167,-31.034000000000002,-0.067,0.523,0.0,-134.84,63.79,-370.17,-126.55,3670.795,34.5602024213,-3.1260000000000003,3.011,-0.4311,-0.6761,313.3,-3562.0,3.263,-10.47,-3262.0,-2.081,1.6,-1.385,1.4380000000000002,114.2,-683.5,-0.8101,2.252,-566.2,-5297.636417000001,-5356.372754,3115.26,-1445.61,4560.87,0.0734,0.0,0.0,0.0,-1.929256,-4.051578,-12.684386,-18.519775,-15.418129998,8.75486,0.002031,65
swarm_101_51.pdb,1,0,1,3,8,0,8,4,7,0,2,0,1,2,0,0.46,0.2833333333333334,0.0,0.0,0.53,0.39,0.445,0.4975,0.46142857142857147,0.0,0.27,0.83,0.485,0.0,0.0,0.0,0.0,0.53,3.12,3.56,1.99,3.2300000000000004,0.0,0.54,0.83,0.97,0.0,0.0,34.25,34.88,1424.8899999999994,773.1299999999974,651.75,1.0,1.7320508075688772,2.8284271247461903,0.0,2.0,2.6457513110645907,0.0,1.0,2.8284271247461903,0.0,1.4142135623730951,0.0,0.0,1.0,1.4142135623730951,-1.9888,-8.342,-2.84,-12.6,-19.8,-124.4,2.48,-101.5,101.54,-4.2,-0.052467999999999994,-5.84,20.8,7.4,-19.0,100.99799999999999,3.0,9.4,12.4,1.26,3.5,-1.38,-180.4,-1.355384168,6.4,-8.67051,-12.87,-23.805999999999997,-45.88,-42.0,-3452.21,17.67,-8.83,-6.36,-6.01,-1081.79,-573.21,0.0,0.0,0.0,0.0,0.0,-27.4344,30.8072,0.00041500000000000006,-12.905,18.639,-34.599000000000004,2.274,-15.487,-4.132,-3.838,0.0,-111.11,89.49,-331.54,-78.81,2780.7729999999997,18.8400844404,-3.05,2.888,-1.2570000000000001,-0.2682,-141.9,-2494.0,-1.3619999999999999,0.018430000000000002,-2634.0,-2.596,1.901,-1.051,3.95,-7.285,-344.8,0.4726,5.557,-347.0,-4706.463339,-4743.9635450000005,2596.44,-1200.93,3797.37,0.0425,0.0,0.0,0.0,-3.411936,-3.4227309999999997,-4.105101,-8.746578999999999,-8.03491179269,9.0751,0.004297,37
swarm_101_94.pdb,0,2,4,1,8,6,9,3,10,0,1,0,0,0,0,0.0,0.34,0.44,0.595,0.49,0.41125,0.4566666666666667,0.47333333333333333,0.5039999999999999,0.0,0.0,0.0,0.62,0.0,0.0,0.88,3.57,1.96,3.29,4.11,1.42,5.039999999999999,0.0,0.0,0.0,0.62,0.0,0.0,34.18,35.23,1708.6500000000087,937.1300000000028,771.510000000002,0.0,1.0,3.0,0.0,1.7320508075688772,3.1622776601683795,1.4142135623730951,2.0,2.8284271247461903,2.449489742783178,1.0,0.0,0.0,0.0,0.0,2.1616,-1.01,5.26,-6.6,-13.2,-105.8,7.06,-78.1,91.52,-0.06,-0.002856,-1.86,29.0,12.8,-11.8,87.74600000000001,4.6,10.6,16.4,5.26,9.26,9.92,-157.6,-0.4993969482,8.4,-7.5203679999999995,-11.24,-22.129,-38.15,-40.15,-3435.11,1.89,3.05,26.41,23.53,-996.27,-37.83,0.0,0.0,0.0,0.0,0.0,-16.3709,49.8951,0.00036,-5.678999999999999,18.757,-22.607,10.818,-68.612,-2.93,-1.6269999999999998,0.0,-112.25,118.62,-348.13,-92.81,1566.495,27.1867618952,-3.347,3.378,0.6153,-1.237,-169.3,-2317.0,10.18,-2.366,-2499.0,-3.0010000000000003,2.44,-0.2619,2.543,-32.58,-378.1,3.241,2.722,-411.2,-4545.184771,-4597.55156,2555.78,-1119.94,3675.73,0.0593,0.0,0.0,0.0,-4.235628,-3.577471,-2.85229,-11.423819,-5.54582595243,7.99039,0.0034770000000000005,44
swarm_102_176.pdb,1,0,3,5,8,2,13,4,20,0,1,0,0,0,0,0.46,0.33599999999999997,0.0,0.615,0.45999999999999996,0.34500000000000003,0.42999999999999994,0.52,0.5499999999999999,0.0,0.0,0.0,0.51,0.0,0.0,0.0,1.23,1.38,2.7600000000000002,5.589999999999999,2.08,10.999999999999998,0.0,0.0,0.0,0.51,0.0,0.0,34.19,35.48,1831.5299999999988,913.3400000000001,918.2099999999991,1.0,2.23606797749979,3.605551275463989,0.0,2.0,4.47213595499958,0.0,1.7320508075688772,2.8284271247461903,1.4142135623730951,1.0,0.0,0.0,0.0,0.0,0.4966,-0.322,0.54,-10.4,-16.6,-166.0,9.22,-115.14,137.62,-2.64,0.008808,-2.72,41.4,19.6,-17.8,134.516,7.4,18.0,29.0,3.86,16.18,8.5,-225.8,0.022428132000000003,16.8,-6.779114999999999,-9.86,-24.589000000000002,-55.73,-46.57,-4070.73,5.74,0.59,1.04,25.13,-899.58,-161.28,0.0,0.0,0.0,0.0,0.0,-34.8091,147.69899999999998,0.000354,-9.306000000000001,33.029,-16.04,22.119,67.52,-3.605,-4.888,0.0,-117.43,204.62,-127.34,-109.14,237.55700000000002,46.1119060114,-3.14,3.102,1.359,0.4508,37.71,-3386.0,16.66,-8.852,-3373.0,-2.154,1.56,0.1019,3.159,43.54,-569.3,4.798,5.952999999999999,-524.6,-4669.738317,-4721.82272,3178.35,-1250.53,4428.88,0.0105,0.0,0.0,0.0,-9.509798,-10.684859,-13.905466,-20.389746,-15.2276895111,9.531310000000001,0.005281,57
