Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_124.pdb,2,4,4,3,9,1,4,2,1,0,8,6,0,3,1,0.485,0.3733333333333333,0.53,0.62,0.455,0.33666666666666667,0.45,0.5,0.24,0.44,0.41,0.0,0.55875,0.0,0.67,2.12,0.62,1.82,3.0300000000000002,1.8,1.0,0.24,0.44,1.23,0.0,4.47,0.0,4.0200000000000005,27.25,41.61,1171.0999999999985,394.0500000000011,777.0500000000011,1.4142135623730951,1.7320508075688772,2.0,1.0,1.4142135623730951,1.0,2.0,2.0,3.0,1.0,2.8284271247461903,0.0,2.449489742783178,0.0,1.7320508075688772,2.2046,-1.14,-1.36,-2.2,-9.8,-123.0,1.0,-126.02,112.72,0.2,0.012584,0.62,17.4,15.8,-2.8,13.626,10.2,16.4,15.0,-2.08,1.84,2.06,-200.8,0.8746534708,-2.4,-8.126107000000001,-16.71,-23.801,-41.73,-38.04,-3841.68,-5.25,-14.95,18.91,16.71,-937.05,-181.62,0.0,0.0,0.0,0.0,0.0,-61.3795,76.4758,0.000668,-1.673,-9.193,-15.289000000000001,-12.395,-76.207,-4.3660000000000005,-2.918,0.0,-102.44,-22.48,-613.15,158.0,310.357,2.0461565163,-1.7730000000000001,1.774,0.2854,0.0417,-308.9,-2360.0,7.9670000000000005,14.97,-2662.0,-1.197,1.206,-0.1191,-0.5612,-12.43,-287.9,3.6839999999999997,-4.888999999999999,-308.9,-4579.925499,-4633.612005,1284.03,-1212.98,2497.02,0.0198,0.0,0.0,0.0,-0.42433699999999996,-1.8549810000000002,0.386164,-12.767346,-13.722086431300001,9.64965,0.005083,48
swarm_0_128.pdb,2,2,2,6,7,3,9,3,3,2,1,0,4,0,0,0.5349999999999999,0.3466666666666667,0.505,0.5033333333333333,0.475,0.40857142857142864,0.41999999999999993,0.51,0.4033333333333333,0.0,0.0,0.645,0.67,0.8400000000000001,0.0,1.01,1.51,0.95,2.8600000000000003,3.7799999999999994,1.53,1.21,0.0,0.0,2.58,0.67,1.6800000000000002,0.0,26.76,42.09,1458.5199999999968,565.1700000000001,893.3599999999988,1.4142135623730951,2.449489742783178,3.0,0.0,1.7320508075688772,1.7320508075688772,1.4142135623730951,1.4142135623730951,2.6457513110645907,1.7320508075688772,1.0,1.4142135623730951,0.0,2.0,0.0,0.608,-4.352,-1.24,-5.6,-14.0,-92.2,4.38,-87.62,92.0,-0.3,0.006809999999999999,-1.36,20.8,11.4,-8.4,61.233999999999995,2.2,9.4,12.0,1.46,2.4,2.68,-173.0,-0.05512286,4.6,-4.014525,-9.81,-18.813,-38.14,-40.05,-2762.0,-3.73,-10.35,-15.39,12.58,-847.3,215.76,0.0,0.0,0.0,0.0,0.0,-31.8685,147.957,0.00043,3.185,-6.317,39.061,0.774,-241.2,-1.9609999999999999,2.622,0.0,-34.99,86.05,-345.65,7.09,-306.026,0.0743500804529,-2.7319999999999998,2.8760000000000003,1.882,-1.192,-275.1,-2038.0,13.51,16.07,-2310.0,-1.801,1.42,-1.954,-0.4477,-29.71,-335.5,-1.069,-7.06,-371.2,-4046.405161,-4096.842935000001,1672.06,-1002.17,2674.24,0.0091,0.0,0.0,0.0,-5.1393949999999995,-3.659271,-3.215348,-12.397822999999999,-15.6223705936,5.40747,0.010931999999999999,44
swarm_0_157.pdb,4,2,6,8,7,2,7,3,1,1,4,2,3,4,0,0.4375,0.39125000000000004,0.605,0.45,0.4083333333333334,0.33285714285714285,0.4971428571428572,0.48,0.26,0.0,0.425,0.4266666666666667,0.62,0.78,0.77,1.21,0.9,2.45,2.33,3.4800000000000004,1.44,0.26,0.0,1.7,1.28,2.48,0.78,1.54,27.14,41.81,1425.9799999999996,613.090000000002,812.8999999999996,2.0,2.8284271247461903,2.6457513110645907,0.0,1.7320508075688772,1.0,1.4142135623730951,2.449489742783178,2.6457513110645907,1.4142135623730951,2.0,1.0,1.4142135623730951,1.7320508075688772,2.0,2.2569999999999997,-1.128,3.46,-4.0,1.0,-123.8,5.76,-110.12,116.18,0.68,0.051716,-0.7,26.8,20.4,-2.0,21.816,16.6,23.0,24.8,-0.14,10.72,9.44,-189.8,0.9125430640000001,5.3,-7.588261999999999,-15.47,-23.415,-28.71,-32.16,-3282.0,30.47,5.7,49.42,36.16,-1009.11,-333.2,0.0,0.0,0.0,0.0,0.0,-37.6532,343.30699999999996,0.000554,-1.203,5.024,28.058000000000003,6.627000000000001,-64.982,-5.21,-3.9760000000000004,0.0,-79.58,114.19,-325.45,132.57,659.322,12.8348020399,-2.205,2.17,-0.1749,-0.5661,-270.3,-2731.0,5.078,24.45,-2982.0,-1.521,1.75,1.452,0.4549,-21.9,-347.5,9.005,-1.09,-379.5,-4535.217772999999,-4596.484163,1744.57,-1203.29,2947.87,0.1833,0.0,0.0,0.0,4.962389,2.751049,-1.09346,-13.686839,-12.475791622000001,13.9298,0.005796,54
swarm_0_48.pdb,3,5,6,4,4,1,8,3,1,0,2,2,0,2,1,0.4466666666666667,0.39,0.5599999999999999,0.28,0.42500000000000004,0.3125,0.45125,0.51,0.25,0.44,0.43999999999999995,0.0,0.78,0.0,0.6,2.8,0.28,2.5500000000000003,1.25,3.61,1.53,0.25,0.44,0.8799999999999999,0.0,1.56,0.0,1.2,26.81,42.03,1292.8700000000026,530.3599999999988,762.5200000000004,1.7320508075688772,2.0,2.8284271247461903,1.0,1.7320508075688772,1.0,2.23606797749979,2.449489742783178,2.0,1.0,1.4142135623730951,0.0,1.4142135623730951,0.0,1.4142135623730951,1.4212,6.837999999999999,2.56,-1.2,-3.8,-100.8,4.1,-97.52,96.52,2.08,-0.022775999999999998,3.1,19.0,16.4,-0.4,62.276,6.2,16.6,18.6,1.12,2.9,6.58,-166.6,-0.132518862,4.5,-4.857963,-14.92,-21.146,-39.6,-28.73,-3123.08,-22.84,-9.78,-12.77,27.96,-900.31,-260.92,0.0,0.0,0.0,0.0,0.0,-28.7534,227.614,0.000528,-4.789,-2.593,11.597000000000001,-6.222,-142.33700000000002,-3.238,-0.5329999999999999,0.0,-56.46,28.54,-352.68,49.22,448.64,8.72664823529,-1.406,1.422,-0.2234,-1.3359999999999999,-55.29,-2576.0,3.927,13.42,-2622.0,-1.599,1.527,-0.6173,-0.3214,-19.17,-309.5,2.342,-4.388999999999999,-335.4,-4252.9947520000005,-4299.734286,1104.08,-1072.48,2176.57,-0.1498,0.0,0.0,0.0,-2.5468319999999998,-5.9736,-5.501799,-12.530333,-12.1481971881,6.06119,0.0050479999999999995,42
swarm_100_136.pdb,4,2,4,3,1,5,4,3,4,2,1,5,1,4,2,0.54,0.36000000000000004,0.48,0.5599999999999999,0.395,0.41,0.52,0.45999999999999996,0.62,0.42500000000000004,0.4725,0.83,0.46,0.635,0.674,0.96,2.8,1.58,0.41,2.08,1.38,2.48,0.8500000000000001,1.89,0.83,0.46,1.27,3.37,26.99,42.17,1569.8399999999965,649.1899999999987,920.6399999999976,2.0,1.7320508075688772,2.0,1.4142135623730951,1.7320508075688772,2.0,1.4142135623730951,2.0,1.0,2.23606797749979,1.0,1.4142135623730951,2.23606797749979,1.0,2.0,-1.2434,-5.836,-4.38,-3.8,-15.8,-99.8,-2.26,-106.3,86.14,-1.52,0.017078,-2.58,2.8,2.22044604925e-16,-16.8,37.064,-0.6,7.6,7.6,-9.1,-4.02,-0.68,-172.4,-0.833979914,-9.0,-7.562755,-11.26,-20.519000000000002,-51.39,-37.22,-4013.02,0.1,-12.12,31.84,35.74,-807.1,-74.74,0.0,0.0,0.0,0.0,0.0,-63.7231,87.1836,0.00042199999999999996,-5.96,-6.81,12.19,-11.552,-261.16900000000004,-0.919,4.043,0.0,-78.72,-35.62,-242.74,-8.83,-196.957,-6.7412883490799995,-2.861,2.7939999999999996,-1.25,-1.5190000000000001,-351.4,-2035.0,-1.8659999999999999,25.48,-2359.0,-1.581,1.492,0.258,1.271,-6.172000000000001,-375.2,4.772,-0.156,-386.3,-4177.854179,-4224.948952000001,1519.66,-1082.44,2602.1,-0.0169,0.0,0.0,0.0,-5.1502040000000004,-2.184948,-10.705919999999999,-17.092116,-17.332475355,1.19265,0.0061329999999999996,45
swarm_101_38.pdb,2,3,5,15,11,9,18,3,12,1,1,3,0,3,3,0.47,0.33533333333333337,0.49,0.5011111111111111,0.36,0.3363636363636364,0.4288888888888888,0.47333333333333333,0.47166666666666673,0.7466666666666666,0.49333333333333335,0.0,0.88,0.49,0.6699999999999999,1.47,4.51,1.7999999999999998,3.7000000000000006,7.719999999999999,1.42,5.660000000000001,2.2399999999999998,1.48,0.0,0.88,0.49,2.01,27.41,41.73,3139.8499999999985,1439.5699999999997,1700.2700000000004,1.4142135623730951,3.872983346207417,4.242640687119285,1.7320508075688772,1.7320508075688772,3.4641016151377544,1.7320508075688772,2.23606797749979,3.3166247903554,3.0,1.0,1.0,1.7320508075688772,0.0,1.7320508075688772,1.9528,-1.706,4.04,-5.6,-17.6,-154.8,5.56,-185.44,187.22,0.16,0.015780000000000002,0.36,40.2,24.8,-11.8,145.438,12.4,32.8,44.2,-0.72,5.78,8.4,-339.0,-0.45325562119999996,14.7,-12.374931,-20.42,-38.786,-81.01,-62.38,-4744.22,-32.93,-4.66,-58.86,-22.79,-1737.92,-1028.47,0.0,0.0,0.0,0.0,0.0,-39.2972,86.2941,0.000152,-12.923,26.051,-95.07,3.6210000000000004,-552.455,-11.148,-0.6509999999999999,0.0,-175.47,237.76,-273.93,26.91,273.418999999,27.9695845027,-3.025,3.053,0.6915,-0.6633,-328.5,-4790.0,16.87,11.72,-5124.0,-1.52,1.355,-0.7659,0.01075,38.34,-720.6,5.62,-5.724,-693.6,-6008.003289,-6099.262005,2490.36,-1867.97,4358.33,-0.0421,0.0,0.0,0.0,-7.986304,-14.185623000000001,-8.089302,-19.542322,-23.669548482600003,6.819780000000001,0.006045,89
swarm_102_52.pdb,5,0,4,7,1,3,4,6,2,0,1,2,5,5,9,0.446,0.31714285714285717,0.0,0.49666666666666665,0.39749999999999996,0.49,0.4775,0.48833333333333334,0.345,0.5588888888888889,0.5419999999999999,0.6679999999999999,0.73,0.0,0.515,0.0,1.49,1.5899999999999999,0.49,1.91,2.93,0.69,5.03,2.7099999999999995,3.34,0.73,0.0,1.03,26.75,42.65,1296.6299999999974,542.5599999999995,754.0599999999995,2.23606797749979,2.6457513110645907,2.0,3.0,2.449489742783178,1.4142135623730951,0.0,2.0,1.0,1.7320508075688772,1.0,0.0,1.4142135623730951,2.23606797749979,2.23606797749979,2.8722,4.018,3.28,2.0,-13.4,-126.6,-3.42,-168.44,137.76,2.44,0.063582,0.78,13.4,11.6,-6.4,40.994,3.0,20.6,22.2,-8.74,2.14,-2.92,-254.0,0.3348314892,-12.7,-8.809496000000001,-13.64,-20.393,-35.13,-39.99,-2832.21,2.18,-1.39,-17.2,10.65,-870.38,-163.59,0.0,0.0,0.0,0.0,0.0,-51.6776,16.278,0.000513,-9.252,-3.9810000000000003,-30.861,-16.319000000000003,-352.585,-5.5760000000000005,1.123,0.0,-31.12,11.17,-373.9,175.48,-4639.76,-35.0494523434,-2.912,2.6719999999999997,-1.328,0.2455,-262.6,-2689.0,-6.0760000000000005,44.9,-2901.0,-1.073,1.153,0.6191,-0.02041,22.04,-358.7,6.044,1.406,-341.3,-4249.383971,-4304.4177469999995,1313.23,-1063.73,2376.96,0.0777,0.0,0.0,0.0,-3.657168,-5.084878,-1.007998,-9.912633,-11.5785776845,1.2607899999999999,0.00937,54
swarm_104_129.pdb,8,1,6,5,4,7,5,2,3,1,1,3,2,2,3,0.49875,0.28600000000000003,0.61,0.6,0.5349999999999999,0.3,0.514,0.48,0.2733333333333334,0.64,0.44499999999999995,0.7050000000000001,0.46,1.0,0.68,0.61,4.2,3.2099999999999995,1.2,2.57,0.96,0.8200000000000001,1.92,0.8899999999999999,1.4100000000000001,0.46,1.0,2.04,26.99,42.41,1625.140000000003,559.3200000000015,1065.8399999999983,2.8284271247461903,2.23606797749979,2.23606797749979,1.7320508075688772,1.4142135623730951,1.7320508075688772,1.0,2.449489742783178,2.0,2.6457513110645907,1.0,1.0,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.9364,0.718,0.8,-1.6,-22.0,-121.8,-1.26,-171.36,144.7,1.62,-0.033277999999999995,-1.44,14.6,12.4,-8.0,34.45,7.4,22.0,23.4,-4.62,-6.54,6.24,-286.2,-0.7188337640000001,-1.1,-4.523398,-13.39,-21.581,-47.94,-42.41,-3365.4,11.88,-7.29,7.53,16.95,-737.93,469.45,0.0,0.0,0.0,0.0,0.0,22.575,1686.12,0.00043799999999999997,-5.336,-21.741,59.73,-21.104,-468.897,-3.076,5.832999999999999,0.0,-31.69,-1.97,-577.04,47.71,99.934,0.35493692476300004,-3.213,3.193,0.7555,-0.4882,-384.3,-2673.0,9.415,28.4,-3038.0,-1.9809999999999999,1.83,-0.9393,-1.226,-17.45,-360.5,1.229,0.077,-379.1,-4356.7869200000005,-4401.709213,1234.34,-1165.73,2400.08,-0.1048,0.0,0.0,0.0,-0.826023,-3.4448,-2.114218,-12.383815,-16.7861799727,2.27901,0.011113,53
swarm_104_70.pdb,4,5,6,3,9,2,7,3,4,0,1,2,5,7,4,0.48749999999999993,0.3499999999999999,0.514,0.405,0.4066666666666667,0.34333333333333343,0.46714285714285714,0.56,0.495,0.5125,0.41,0.6719999999999999,0.65,0.0,0.78,2.57,0.81,2.44,3.0900000000000007,3.27,1.6800000000000002,1.98,2.05,2.8699999999999997,3.36,0.65,0.0,1.56,27.38,41.32,1532.9699999999975,607.130000000001,925.840000000002,2.0,1.7320508075688772,2.6457513110645907,2.0,1.7320508075688772,2.0,2.23606797749979,2.449489742783178,3.0,1.4142135623730951,1.0,0.0,1.4142135623730951,2.23606797749979,2.6457513110645907,3.1808,0.762,1.06,-2.8,-6.2,-119.8,4.4,-132.1,131.06,0.58,-0.015708,0.24,28.8,18.6,0.4,35.614000000000004,17.4,25.6,26.0,0.98,1.46,11.38,-226.6,0.8217700640000001,3.9,-9.15896,-17.91,-23.81,-43.62,-38.34,-4291.36,3.67,-0.34,2.81,19.48,-911.36,42.19,0.0,0.0,0.0,0.0,0.0,-37.3931,663.59,0.000521,-8.073,-10.116,19.037,-16.285,-157.27,-3.905,-0.917,0.0,-60.65,63.01,-709.31,139.23,211.628,13.399744936,-2.7039999999999997,2.782,1.9669999999999999,0.2303,-288.5,-2700.0,19.81,25.33,-2983.0,-1.9469999999999998,1.806,0.5874,1.765,-16.94,-363.4,6.987,1.325,-386.0,-4592.182729,-4640.0491329999995,1358.77,-1238.72,2597.49,-0.0533,0.0,0.0,0.0,0.597796,0.7987989999999999,-7.143532,-14.589728,-15.147517491099999,5.80469,0.006177,62
swarm_104_96.pdb,2,4,2,6,5,9,6,1,8,0,1,3,2,0,0,0.43499999999999994,0.5183333333333333,0.5875,0.5522222222222222,0.385,0.396,0.455,0.5,0.5175000000000001,0.0,0.0,0.675,0.65,0.0,0.6633333333333333,2.35,4.97,0.77,1.98,2.73,0.5,4.140000000000001,0.0,0.0,1.35,0.65,0.0,1.99,26.94,42.23,1757.0499999999993,663.6599999999999,1093.3900000000012,1.4142135623730951,2.449489742783178,2.449489742783178,0.0,1.0,2.8284271247461903,2.0,1.4142135623730951,2.23606797749979,3.0,1.0,0.0,1.7320508075688772,1.4142135623730951,0.0,-0.7170000000000001,-2.68,-1.68,-7.0,-19.4,-110.4,4.18,-101.08,99.36,-0.82,0.033786000000000004,-4.92,15.2,4.2,-15.6,75.192,-1.8,8.4,12.6,1.14,-3.08,-3.76,-191.8,-1.21834498,-1.0,-8.33685,-16.3,-23.331999999999997,-45.31,-33.13,-3296.09,3.54,1.03,-30.48,-16.99,-1009.41,-469.64,0.0,0.0,0.0,0.0,0.0,-50.1203,35.8755,0.00037,-6.301,-9.52,-35.588,-19.38,-291.878,-1.66,3.886,0.0,-126.72,105.51,-333.8,-69.82,-166.378,11.327623548,-2.2030000000000003,2.385,1.426,-1.858,-273.4,-2489.0,15.27,-4.388999999999999,-2782.0,-0.5964,0.3075,-1.131,0.09186,-15.41,-321.0,0.8953,-5.396,-342.7,-4455.444974,-4510.914573,1524.39,-1171.44,2695.84,-0.0938,0.0,0.0,0.0,1.408949,0.110701,-3.296825,-8.520610000000001,-19.0279243093,2.36003,0.0050409999999999995,49
