Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_100_176.pdb,5,2,2,2,4,3,8,5,10,0,0,0,0,0,1,0.438,0.44,0.625,0.44333333333333336,0.5,0.34500000000000003,0.44125000000000003,0.542,0.43900000000000006,0.58,0.0,0.0,0.0,0.0,0.0,1.25,1.33,1.0,1.3800000000000001,3.5300000000000002,2.7100000000000004,4.390000000000001,0.58,0.0,0.0,0.0,0.0,0.0,27.36,41.34,1375.3400000000001,641.4500000000007,733.8799999999992,2.23606797749979,1.4142135623730951,2.8284271247461903,1.0,2.23606797749979,3.1622776601683795,1.4142135623730951,1.4142135623730951,2.0,1.7320508075688772,0.0,0.0,0.0,0.0,0.0,1.5014,-2.5580000000000003,2.58,-12.6,-14.6,-116.0,6.82,-82.66,102.74,-3.18,0.07418200000000001,-4.64,33.8,14.8,-14.6,82.93,2.8,13.8,20.6,2.72,15.7,18.66,-172.0,0.4617075352,11.5,-7.939453,-10.6,-18.12,-27.69,-25.98,-1865.45,2.35,10.22,21.67,10.4,-817.16,-507.94,0.0,0.0,0.0,0.0,0.0,-30.5476,45.9333,0.000542,-4.784,6.794,-42.512,-2.241,-243.476,-4.06,0.5660000000000001,0.0,-120.15,127.87,-357.95,-16.11,574.485,45.8068940006,-2.82,2.9,0.1638,-2.32,198.5,-2599.0,6.864,-35.38,-2443.0,-2.0669999999999997,1.73,-0.9022,1.952,57.18,-360.3,2.693,1.217,-304.6,-3459.185425,-3497.6988979999996,2130.49,-904.38,3034.87,-0.0655,0.0,0.0,0.0,0.607529,0.173218,-5.952437000000001,-8.912554,-8.05375611109,7.27937,0.003929,42
swarm_100_3.pdb,1,1,7,1,14,5,9,2,4,0,3,1,0,0,0,0.43,0.37,0.52,0.534,0.40142857142857136,0.34357142857142847,0.43555555555555553,0.495,0.63,0.0,0.0,0.0,0.51,0.0,0.53,0.52,2.67,2.8099999999999996,4.809999999999999,3.92,0.99,2.52,0.0,0.0,0.0,1.53,0.0,0.53,27.16,41.05,1330.3199999999997,679.9800000000014,650.3500000000004,1.0,1.0,3.0,0.0,1.4142135623730951,2.0,1.0,2.6457513110645907,3.7416573867739413,2.23606797749979,1.7320508075688772,0.0,1.0,0.0,0.0,2.0432,-0.408,3.58,-0.4,-11.8,-139.6,6.06,-113.6,114.12,1.02,0.005734,2.02,32.2,20.6,-9.8,66.706,8.6,13.4,19.4,-0.92,2.3,11.88,-191.6,0.9880173618000001,9.2,-7.468591,-7.46,-20.037,-30.15,-34.61,-3874.61,-1.01,-3.13,16.03,15.8,-850.83,84.88,0.0,0.0,0.0,0.0,0.0,-29.5871,403.369,0.00047400000000000003,-5.107,14.463,-13.23,8.033,-71.67699999999999,-6.704,-5.343,0.0,-10.65,151.04,-448.82,54.84,1360.5410000000002,21.189431214000003,-3.8489999999999998,3.91,0.2851,-2.086,155.3,-2682.0,7.885,-44.4,-2579.0,-2.371,2.244,-0.5492,0.7039,14.79,-329.3,3.8539999999999996,-5.736000000000001,-324.1,-3749.4346729999997,-3801.9871590000002,1786.41,-1024.2,2810.62,0.0744,0.0,0.0,0.0,2.849053,1.185206,-0.125057,-1.557317,-7.7844596325,16.4871,0.005958,48
swarm_100_40.pdb,0,0,7,1,10,1,6,2,5,0,1,0,1,1,1,0.0,0.44,0.0,0.53,0.46142857142857147,0.35,0.4266666666666667,0.435,0.7100000000000001,0.51,0.27,0.52,0.58,0.0,0.0,0.0,0.53,3.2300000000000004,3.5,2.56,0.87,3.5500000000000003,0.51,0.27,0.52,0.58,0.0,0.0,27.36,41.34,920.2599999999984,417.7399999999998,502.5100000000002,0.0,1.0,2.449489742783178,1.0,1.4142135623730951,2.23606797749979,0.0,2.6457513110645907,3.1622776601683795,1.0,1.0,0.0,0.0,1.0,1.0,0.7724,-4.67,0.42,-1.6,-2.2,-84.8,2.36,-69.76,74.02,-0.84,-0.000344,-0.8,16.0,10.0,-5.8,16.227999999999998,9.6,15.6,17.8,1.32,3.78,4.46,-117.0,-0.33029994739999996,9.7,-5.215694,-8.99,-16.099,-23.73,-19.39,-2597.44,8.11,-1.99,-5.62,0.55,-566.8,-50.69,0.0,0.0,0.0,0.0,0.0,-26.8121,129.316,0.000752,-6.204,2.58,-19.456,-5.57,8.52,-4.732,-4.893,0.0,-66.94,56.1,-274.92,78.08,344.444,13.770400211199998,-3.03,2.997,-1.177,-1.993,288.5,-2396.0,1.321,-17.97,-2126.0,-1.3230000000000002,1.099,-0.9722,0.7827,66.13,-248.1,2.605,-0.9275,-185.5,-3264.2683,-3293.548443,997.74,-820.33,1818.08,-0.1019,0.0,0.0,0.0,-0.138846,-0.875102,-2.564243,-8.717991,-8.92729946215,6.45425,0.005389,36
swarm_100_57.pdb,3,1,4,1,13,0,12,5,5,0,3,1,0,0,0,0.4666666666666666,0.31,0.64,0.0,0.47250000000000003,0.36538461538461536,0.44083333333333324,0.524,0.44000000000000006,0.0,0.0,0.0,0.5499999999999999,0.0,0.53,0.64,0.0,1.8900000000000001,4.75,5.289999999999999,2.62,2.2,0.0,0.0,0.0,1.65,0.0,0.53,27.24,40.87,1442.1800000000003,715.3199999999997,726.8500000000004,1.7320508075688772,1.0,3.4641016151377544,0.0,2.23606797749979,2.23606797749979,1.0,2.0,3.605551275463989,0.0,1.7320508075688772,0.0,1.0,0.0,0.0,1.2068,-2.9139999999999997,1.88,-3.6,-5.6,-134.8,7.24,-104.6,120.52,-1.18,-0.006926000000000001,-2.56,35.8,23.6,-9.6,56.336000000000006,14.4,21.8,28.6,-0.32,16.9,12.12,-191.2,0.026861982799999996,23.2,-7.295285000000001,-12.12,-23.113000000000003,-41.16,-31.49,-4202.71,-7.5,-2.79,3.34,6.54,-809.83,-11.2,0.0,0.0,0.0,0.0,0.0,-40.8163,238.628,0.000453,-12.28,12.424000000000001,-27.81,-2.636,-59.321999999999996,-6.131,-5.004,0.0,-124.26,150.3,-434.2,117.53,1357.555,29.759135441399998,-3.466,3.51,-0.414,-2.289,292.9,-3088.0,7.185,-28.82,-2831.0,-1.899,1.6780000000000002,-0.4098,1.2990000000000002,84.56,-420.5,5.531000000000001,-2.6239999999999997,-344.1,-4087.2730509999997,-4136.217938000001,1667.97,-1165.76,2833.74,-0.0407,0.0,0.0,0.0,3.042582,2.142819,-1.967759,-7.990542,-7.9587194012,7.75197,0.005063000000000001,48
swarm_101_104.pdb,3,0,4,2,4,3,10,1,6,0,1,0,0,0,0,0.5333333333333333,0.49,0.0,0.8033333333333333,0.44,0.48250000000000004,0.472,0.56,0.585,0.0,0.0,0.0,0.58,0.0,0.0,0.0,2.41,1.76,1.9300000000000002,4.72,0.56,3.51,0.0,0.0,0.0,0.58,0.0,0.0,27.38,41.54,1309.6899999999987,666.75,642.9300000000003,1.7320508075688772,1.4142135623730951,3.1622776601683795,0.0,1.0,2.449489742783178,0.0,2.0,2.0,1.7320508075688772,1.0,0.0,0.0,0.0,0.0,0.1622,-9.228,-0.62,-11.8,-19.2,-108.4,4.14,-85.04,96.92,-3.7,-0.07395,-5.84,26.0,9.4,-13.0,71.372,2.2,10.8,16.2,-1.12,-0.02,4.8,-173.8,-0.4434668728,5.8,-7.354889,-9.48,-17.322,-40.11,-32.15,-3168.74,-14.19,-5.91,-26.92,-0.25,-630.3,176.81,0.0,0.0,0.0,0.0,0.0,-43.3936,-39.8769,0.000583,-13.425999999999998,10.565999999999999,-10.645999999999999,-3.924,-145.811,1.155,3.925,0.0,-105.6,84.5,-306.31,-188.0,591.819,30.428465043200003,-3.137,3.1630000000000003,-0.07214,-2.685,113.0,-2610.0,3.075,12.58,-2488.0,-2.481,1.885,-1.228,2.821,21.49,-391.3,1.18,5.79,-365.2,-3355.4623979999997,-3390.47945,2552.58,-880.97,3433.57,-0.1346,0.0,0.0,0.0,-6.575786999999999,-5.372477,-8.75264,-13.807526999999999,-5.85625932581,5.69675,0.0045,34
swarm_101_140.pdb,1,0,4,3,5,5,9,1,14,0,0,0,0,0,0,0.46,0.40666666666666673,0.0,0.702,0.39000000000000007,0.2859999999999999,0.4977777777777777,0.44,0.5592857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,1.5600000000000003,1.4299999999999997,4.4799999999999995,0.44,7.83,0.0,0.0,0.0,0.0,0.0,0.0,27.69,40.92,1503.8300000000017,896.7600000000002,607.0799999999999,1.0,1.7320508075688772,3.0,0.0,1.0,3.7416573867739413,0.0,2.0,2.23606797749979,2.23606797749979,0.0,0.0,0.0,0.0,0.0,-0.0776,-10.262,-2.38,-15.0,-20.0,-100.2,3.7,-77.84,88.6,-5.56,-0.01866,-9.48,29.0,9.8,-17.0,104.24600000000001,4.2,9.2,15.8,4.54,6.12,1.68,-160.8,-1.8327239212,13.2,-8.666289,-14.22,-21.413,-32.63,-25.98,-3006.87,1.95,-0.28,12.01,9.04,-782.45,-284.13,0.0,0.0,0.0,0.0,0.0,-40.8234,-95.6936,0.00041500000000000006,-10.902000000000001,24.724,-60.515,7.77,-108.346,-2.371,-0.312,0.0,-138.89,162.17,-209.4,-115.73,766.5889999999999,28.206305216599997,-2.766,2.8819999999999997,1.253,-2.187,128.6,-2833.0,10.95,6.135,-2709.0,-2.477,1.9369999999999998,-1.53,1.615,25.3,-408.4,1.025,1.722,-382.4,-3741.933297,-3785.8693740000003,2256.1,-1073.31,3329.42,-0.0802,0.0,0.0,0.0,-9.76452,-7.760096000000001,-14.014996,-14.500175,-4.71304407823,5.05842,0.005476,42
swarm_101_187.pdb,4,1,2,2,9,2,8,1,6,0,1,0,0,2,0,0.4525,0.305,0.52,0.405,0.38,0.3211111111111112,0.41875,0.49,0.6566666666666667,0.0,0.54,0.0,0.83,0.0,0.0,0.52,0.81,0.76,2.8900000000000006,3.35,0.49,3.9400000000000004,0.0,1.08,0.0,0.83,0.0,0.0,27.81,40.31,1615.010000000002,670.8300000000017,944.1800000000003,2.0,1.4142135623730951,2.8284271247461903,0.0,1.0,2.449489742783178,1.0,1.4142135623730951,3.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.4142135623730951,1.1274,-5.5520000000000005,-0.66,-9.2,-18.6,-120.2,3.12,-99.72,99.14,-3.06,-0.042174,-3.64,22.8,9.6,-14.8,102.1,3.6,9.8,16.0,1.24,1.88,8.68,-178.0,-0.5213717992,2.8,-7.387186,-14.08,-21.721,-40.02,-38.24,-3066.76,-22.95,-4.3,-6.6,6.98,-812.92,-220.95,0.0,0.0,0.0,0.0,0.0,-47.9868,29.5712,0.000359,-13.925999999999998,5.417000000000001,-27.965,-11.305,-74.305,-2.166,-0.754,0.0,-129.52,53.63,-328.81,18.49,2762.8520000000003,40.5709252723,-3.6239999999999997,3.728,0.5764,-3.47,116.7,-3142.0,8.245,-14.02,-3047.0,-2.506,2.496,-0.1057,-0.3417,79.94,-442.8,4.632,-0.2032,-367.7,-3881.247061,-3938.1244890000003,2430.07,-1089.7,3519.77,-0.1034,0.0,0.0,0.0,-9.093921,-13.343757,-5.653807,-13.349829999999999,-15.218014356400001,5.56177,0.004,38
swarm_101_199.pdb,0,0,0,4,11,4,4,2,5,0,3,2,1,3,3,0.0,0.39249999999999996,0.0,0.435,0.0,0.3481818181818182,0.45999999999999996,0.56,0.608,0.5366666666666666,0.5,0.53,0.6266666666666666,0.0,0.82,0.0,1.74,0.0,3.83,1.8399999999999999,1.12,3.04,1.6099999999999999,1.5,0.53,1.88,0.0,1.64,27.69,40.0,1294.0099999999984,616.7299999999996,677.2799999999988,0.0,2.0,2.0,1.7320508075688772,1.4142135623730951,2.23606797749979,0.0,0.0,3.3166247903554,2.0,1.7320508075688772,0.0,1.4142135623730951,1.0,1.7320508075688772,1.8842,0.488,4.32,2.4,-6.0,-88.2,2.82,-112.36,107.52,2.98,0.010332,4.64,21.0,17.6,-0.4,64.312,9.4,20.2,22.6,-1.86,7.4,2.62,-200.4,0.27453601,4.2,-7.67517,-14.52,-18.827,-42.99,-40.41,-2156.72,-5.6,0.79,-17.72,-9.24,-680.35,-255.25,0.0,0.0,0.0,0.0,0.0,-31.4276,177.15099999999998,0.00047000000000000004,-5.129,10.789000000000001,-40.315,1.6280000000000001,-138.30700000000002,-3.4960000000000004,-0.8690000000000001,0.0,-108.3,80.58,-218.87,95.83,46.604,11.6126863799,-4.177,4.257,2.0909999999999997,-0.6091,-259.5,-2281.0,19.03,-6.162999999999999,-2566.0,-3.35,3.437,0.9818,0.6713,7.587999999999999,-268.7,5.769,0.28,-266.6,-3610.0121259999996,-3647.9241859999997,1331.18,-947.78,2278.96,-0.152,0.0,0.0,0.0,-1.193771,-6.714972,2.759289,-8.006297,-8.33176670455,10.1517,0.005952000000000001,42
swarm_102_3.pdb,9,1,0,11,8,3,3,0,2,0,1,2,0,4,1,0.43333333333333335,0.42090909090909084,0.61,0.6533333333333333,0.0,0.28875,0.4666666666666666,0.0,0.26,0.58,0.5425,0.0,0.62,0.0,0.8,0.61,1.96,0.0,2.31,1.4,0.0,0.52,0.58,2.17,0.0,0.62,0.0,1.6,27.16,41.36,1486.7099999999991,591.9899999999998,894.7000000000007,3.0,3.3166247903554,1.7320508075688772,1.0,0.0,1.4142135623730951,1.0,0.0,2.8284271247461903,1.7320508075688772,1.0,0.0,1.4142135623730951,0.0,2.0,4.8974,5.034,8.94,2.4,-3.8,-90.4,7.32,-100.94,122.64,3.08,0.105202,5.88,27.6,20.8,2.8,43.618,15.4,28.4,33.0,5.44,19.16,7.52,-201.0,1.437435008,-1.2,-7.522335000000001,-18.06,-21.529,-50.65,-43.7,-3144.24,27.06,11.62,30.38,8.67,-838.92,-495.54,0.0,0.0,0.0,0.0,0.0,-48.013999999999996,59.398,0.00043200000000000004,4.5760000000000005,-3.5239999999999996,-48.099,-3.758,-171.146,-4.974,-1.723,0.0,-77.86,62.89,-436.54,45.19,2117.181,9.71493358933,-4.82,4.795,0.8640000000000001,-1.337,-276.9,-2514.0,10.95,-0.8437,-2803.0,-3.714,3.909,0.2303,-0.9024,-13.04,-321.0,5.016,-3.641,-342.7,-3917.790461,-3973.971665,601.82,-1092.0,1693.81,-0.0157,0.0,0.0,0.0,8.075301,1.319951,5.808344,-4.166519999999999,-11.9030429654,5.71338,0.004556,45
swarm_102_45.pdb,3,0,8,1,14,2,8,3,4,0,5,1,0,5,0,0.45999999999999996,0.31,0.0,0.55,0.42000000000000004,0.3178571428571429,0.43499999999999994,0.53,0.6275,0.0,0.516,0.0,0.5860000000000001,0.0,0.7,0.0,1.1,3.3600000000000003,4.45,3.4799999999999995,1.59,2.51,0.0,2.58,0.0,2.93,0.0,0.7,27.5,40.31,1295.359999999997,648.6599999999999,646.7000000000007,1.7320508075688772,1.0,2.8284271247461903,0.0,1.7320508075688772,2.0,0.0,2.8284271247461903,3.7416573867739413,1.4142135623730951,2.23606797749979,0.0,1.0,0.0,2.23606797749979,2.3172,4.7,4.7,2.6,-10.0,-165.4,1.56,-152.38,137.3,2.76,-0.00457,6.42,28.4,22.2,-6.0,39.078,12.6,18.4,21.0,-6.52,12.42,7.14,-224.6,1.1914282998,1.8,-4.483735,-7.98,-21.17,-34.36,-27.62,-3760.08,5.77,4.79,30.35,27.67,-694.64,430.76,0.0,0.0,0.0,0.0,0.0,21.1343,2097.78,0.000525,-10.588,11.286,24.916,3.19,-6.146,-4.827,-4.711,0.0,-58.74,59.16,-687.78,138.63,2126.547,18.368616816099998,-4.209,4.273,-0.1666,-2.04,20.4,-2636.0,4.244,-37.85,-2658.0,-3.3819999999999997,3.332,-0.3738,1.177,30.04,-372.0,6.345,-0.799,-349.1,-3885.9667299999996,-3932.688775,1948.9,-1123.67,3072.58,0.1401,0.0,0.0,0.0,2.9514169999999997,-1.0717780000000001,-4.328945,-10.578207,-7.313565903510001,10.837,0.006815000000000001,54
