Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_120.pdb,16,2,5,0,4,3,5,5,2,0,0,1,1,0,2,0.478125,0.0,0.465,0.6966666666666667,0.378,0.43999999999999995,0.42800000000000005,0.44000000000000006,0.505,0.34,0.0,0.82,0.0,0.0,0.84,0.93,2.09,1.8900000000000001,1.7599999999999998,2.14,2.2,1.01,0.68,0.0,0.82,0.0,0.0,0.84,15.35,40.47,1496.0599999999995,815.9100000000008,680.1400000000003,4.0,0.0,2.23606797749979,1.4142135623730951,2.23606797749979,1.4142135623730951,1.4142135623730951,2.23606797749979,2.0,1.7320508075688772,0.0,0.0,1.0,1.0,0.0,2.53,-1.2919999999999998,2.56,-6.6,-10.0,-110.8,2.32,-100.32,105.64,-1.44,0.077566,-2.0,18.8,13.6,-7.8,24.69,5.8,16.4,21.2,1.9,1.42,-8.88,-186.2,0.7071834459999999,0.2,-10.022174,-11.41,-17.5863,-39.57,-28.43,-3102.22,-14.29,-10.76,-54.27,-32.77,-671.4,-155.55,0.0,0.0,0.0,0.0,0.0,-27.0797,-75.0675,0.00043799999999999997,-1.305,14.341,-48.786,8.158,-32.678000000000004,-2.318,-1.6969999999999998,0.0,-66.82,135.63,-169.83,-20.14,38.626999999999995,-6.70598808792,-1.474,1.504,-0.8806,-2.311,-175.9,-2024.0,-2.8810000000000002,24.52,-2172.0,-1.5019999999999998,0.963,-1.834,1.96,2.088,-345.6,-0.408,1.104,-342.0,-2756.722938,-2819.3143019999998,1570.89,-940.63,2511.52,0.0233,0.0,0.0,0.0,-6.042955999999999,-9.132462,-7.795435,-15.43,-10.6520521145,15.2795,0.006609,46
swarm_0_153.pdb,7,3,1,2,1,2,9,4,4,0,0,0,2,1,0,0.5671428571428571,0.49,0.56,0.855,0.42,0.58,0.5,0.5075000000000001,0.685,0.0,0.41,0.855,0.0,0.0,0.0,1.6800000000000002,1.71,0.42,0.58,4.5,2.0300000000000002,2.74,0.0,0.41,1.71,0.0,0.0,0.0,15.42,40.19,1175.539999999999,627.1199999999999,548.4099999999999,2.6457513110645907,1.4142135623730951,3.0,0.0,2.0,2.0,1.7320508075688772,1.0,1.0,1.4142135623730951,0.0,0.0,0.0,1.4142135623730951,1.0,0.215,-6.056,-1.74,-11.4,-16.4,-114.6,0.88,-84.2,82.78,-3.28,0.007731999999999999,-6.0,13.8,3.4,-14.2,15.767999999999999,-0.6,5.6,10.0,-1.08,6.16,4.12,-147.8,-0.0977989644,0.9,-9.505549,-14.96,-18.6482,-32.43,-34.24,-2560.23,-34.05,-5.05,-65.63,-25.41,-801.85,-354.6,0.0,0.0,0.0,0.0,0.0,-32.3846,5.71115,0.00059,-11.632,8.112,-43.492,-7.869,6.902,2.395,2.2640000000000002,0.0,-95.62,42.36,-297.72,-60.33,140.714,1.0424112966299999,-3.205,3.148,-0.6082,-1.504,-159.3,-2089.0,-2.574,16.99,-2229.0,-2.557,2.0540000000000003,-2.445,1.5390000000000001,6.805,-242.9,-2.109,3.1860000000000004,-230.8,-2822.2390570000002,-2875.7046600000003,253.79,-1020.31,1274.1,-0.1989,0.0,0.0,0.0,-0.47261099999999995,0.052472000000000005,-8.167557,-4.855735,-12.699900096199999,15.2613,0.011944,36
swarm_0_190.pdb,9,1,7,1,2,1,3,2,1,0,1,3,6,3,2,0.4655555555555555,0.72,0.49,0.62,0.4414285714285714,0.305,0.54,0.555,0.26,0.705,0.48666666666666664,0.56,0.67,0.0,0.59,0.49,0.62,3.09,0.61,1.62,1.11,0.26,1.41,1.46,3.3600000000000003,0.67,0.0,1.77,15.42,40.65,1365.1800000000003,584.46,780.7300000000005,3.0,1.0,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.0,1.0,2.6457513110645907,1.4142135623730951,1.0,1.0,0.0,1.7320508075688772,2.449489742783178,1.7320508075688772,-1.327,2.204,-3.12,-1.8,-26.0,-147.0,-5.92,-160.92,115.56,0.84,1.93406,-2.82,0.6,-1.2,-17.4,-8.882,-9.2,3.4,4.0,-15.04,4.56,-2.88,-237.4,-1.394637572,-18.8,-7.5110149999999996,-16.09,-20.0708,-47.28,-38.95,-3477.22,13.36,-2.63,-20.19,-2.53,-765.21,206.57,0.0,0.0,0.0,0.0,0.0,-53.2058,38.3133,0.00047699999999999994,-5.696000000000001,-3.826,-5.222,-10.045,-44.937,-2.905,-2.051,0.0,-91.23,-108.65,-628.54,22.17,-364.29900000000004,-16.1364500741,-1.879,1.791,-0.5251,-0.3299,-197.5,-2420.0,-3.179,23.52,-2591.0,-1.59,1.229,-2.249,-0.7387,5.377999999999999,-354.8,-2.283,-2.661,-349.8,-3072.665958,-3129.791331,398.46,-1117.97,1516.44,-0.0976,0.0,0.0,0.0,-6.30541,-11.244251,-5.842566000000001,-11.350096,-12.6516092126,15.9677,0.014214,42
swarm_100_143.pdb,8,3,1,2,2,1,9,2,3,0,0,0,3,0,0,0.515,0.405,0.61,0.77,0.42,0.495,0.508888888888889,0.49,0.7566666666666667,0.0,0.0,0.7666666666666666,0.0,0.0,0.0,1.83,0.77,0.42,0.99,4.58,0.98,2.27,0.0,0.0,2.3,0.0,0.0,0.0,14.88,40.47,1073.9900000000016,617.3500000000004,456.6299999999992,2.8284271247461903,1.4142135623730951,3.0,0.0,1.4142135623730951,1.7320508075688772,1.7320508075688772,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.7320508075688772,0.0,-0.3928,-7.612,-3.6,-11.8,-13.6,-88.6,0.48,-61.28,62.92,-4.26,-0.015380000000000001,-7.14,9.6,0.2,-13.6,30.805999999999997,-0.4,4.2,8.0,-0.7,3.22,1.96,-112.4,-0.5375467443999999,2.9,-9.567629,-10.25,-16.3096,-26.7,-24.42,-2485.65,-2.35,-14.7,-24.51,-3.0,-689.02,-279.55,0.0,0.0,0.0,0.0,0.0,-53.5898,-88.2371,0.000525,-12.712,9.948,-27.884,-5.553,28.508000000000003,1.663,1.122,0.0,-81.04,74.52,-241.3,-25.6,178.63400000000001,-1.1628344677200002,-3.392,3.3139999999999996,-0.4872,-1.245,-130.0,-2014.0,-2.5580000000000003,20.76,-2121.0,-3.4530000000000003,2.697,-2.294,3.0810000000000004,-19.83,-206.2,-2.271,5.1610000000000005,-218.6,-2578.5109399999997,-2625.57166,829.95,-895.18,1725.12,-0.1326,0.0,0.0,0.0,0.750596,2.158127,-7.388951,-7.964134,-10.8239063391,14.9433,0.012118,34
swarm_100_14.pdb,11,5,7,1,1,0,4,3,0,0,4,1,2,4,0,0.5245454545454545,0.51,0.534,0.0,0.43571428571428567,0.49,0.3775,0.5133333333333333,0.0,0.0,0.41,0.88,0.6575,0.0,0.72,2.67,0.0,3.05,0.49,1.51,1.54,0.0,0.0,1.64,1.76,2.63,0.0,0.72,15.42,40.19,1189.590000000002,469.8099999999995,719.7799999999997,3.3166247903554,1.0,2.0,0.0,1.7320508075688772,0.0,2.23606797749979,2.6457513110645907,1.0,0.0,2.0,0.0,1.0,1.4142135623730951,2.0,0.42,-0.11599999999999999,1.04,-2.6,-13.2,-104.8,-0.94,-122.78,97.42,-0.06,-0.027977999999999996,-0.6,14.6,11.4,-7.8,-11.042,2.8,8.4,10.2,-3.62,-4.06,3.5,-190.2,-0.0737015634,-8.9,-9.772441,-14.71,-17.3381,-52.89,-44.21,-2125.53,-24.17,-7.98,-34.53,1.99,-696.02,-198.42,0.0,0.0,0.0,0.0,0.0,-43.4874,-28.1166,0.000566,3.963,0.004,-12.789000000000001,2.688,-20.289,1.403,1.7890000000000001,0.0,-12.57,-4.91,-462.37,99.95,-150.567,2.49004870851,-1.6130000000000002,1.526,-0.9369,-0.1685,-227.9,-2150.0,-4.433,6.385,-2367.0,-0.8749,0.6951,-1.278,-0.4089,0.498,-255.3,0.07200000000000001,-4.226,-259.1,-2676.9776469999997,-2743.373862,956.85,-911.8,1868.65,-0.0907,0.0,0.0,0.0,3.10407,2.6212400000000002,-0.979389,-8.264024000000001,-11.8865635475,15.0974,0.007162999999999999,43
swarm_100_188.pdb,14,4,14,2,3,1,5,8,0,1,3,6,1,6,1,0.4864285714285715,0.53,0.5625,0.62,0.45714285714285713,0.38999999999999996,0.454,0.4725,0.0,0.83,0.47833333333333333,0.88,0.6533333333333333,0.9,0.7016666666666667,2.25,0.62,6.3999999999999995,1.17,2.27,3.78,0.0,0.83,2.87,0.88,1.96,0.9,4.21,16.02,38.83,1664.0699999999997,728.6300000000001,935.4399999999996,3.7416573867739413,1.4142135623730951,2.23606797749979,1.0,2.8284271247461903,0.0,2.0,3.7416573867739413,1.7320508075688772,1.0,1.7320508075688772,1.0,2.449489742783178,1.0,2.449489742783178,0.46299999999999997,-1.526,3.18,-1.8,-11.0,-130.8,-1.66,-152.44,128.96,1.12,0.036275999999999996,2.84,7.6,7.8,-11.4,-8.264,4.8,18.2,19.8,-3.8,-0.02,0.04,-236.4,0.0015172060000000001,-23.2,-10.851499,-16.46,-22.9326,-53.82,-58.02,-3685.16,24.22,-10.5,-0.66,-1.72,-848.78,-151.88,0.0,0.0,0.0,0.0,0.0,-42.2393,361.597,0.000334,6.434,2.219,-20.183,6.635,-46.876000000000005,0.191,1.082,0.0,-107.67,-26.08,-541.92,87.54,-520.298,-19.7881871809,-1.422,1.305,-1.729,-1.0290000000000001,-220.5,-2727.0,-11.4,22.5,-2914.0,-0.9384,0.762,-0.5576,0.5457,21.01,-436.5,3.3139999999999996,0.604,-418.2,-3383.4101600000004,-3448.458768,1195.74,-1204.88,2400.62,-0.1106,0.0,0.0,0.0,0.484436,-0.45118,-1.513616,-12.794732000000002,-15.799110439200001,22.7235,0.011551,69
swarm_100_88.pdb,7,1,11,2,0,2,7,7,1,0,3,1,2,2,1,0.5257142857142857,0.44,0.4,0.78,0.4581818181818182,0.0,0.4071428571428571,0.5371428571428573,0.75,0.58,0.375,0.735,0.88,0.0,0.74,0.4,1.56,5.04,0.0,2.8499999999999996,3.7600000000000007,0.75,0.58,0.75,1.47,2.64,0.0,0.74,15.71,40.0,1400.2799999999988,652.7600000000002,747.5100000000002,2.6457513110645907,1.4142135623730951,2.6457513110645907,1.0,2.6457513110645907,1.0,1.0,3.3166247903554,0.0,1.4142135623730951,1.7320508075688772,0.0,1.0,1.4142135623730951,1.4142135623730951,0.9372,0.794,1.22,-6.4,-12.4,-114.0,1.44,-111.06,101.9,-0.82,0.001416,-1.04,22.2,12.6,-8.4,18.226,6.6,11.6,15.2,-0.18,5.24,14.62,-176.8,0.8072185288,-7.0,-4.214535,-10.15,-16.253,-45.17,-48.95,-3336.88,-11.66,-7.72,56.86,34.52,-572.36,265.58,0.0,0.0,0.0,0.0,0.0,-28.7019,484.79900000000004,0.0005549999999999999,-2.7910000000000004,6.992000000000001,27.843000000000004,6.986000000000001,20.482,-0.47600000000000003,-0.865,0.0,-80.39,46.3,-456.04,94.5,-103.816,-10.2594124376,-2.042,2.033,-0.4277,-1.6869999999999998,-281.3,-2145.0,-1.959,30.71,-2394.0,-1.147,0.7421,-1.15,1.349,-28.93,-309.2,0.7994,0.8290000000000001,-338.1,-2587.298725,-2648.229183,1203.86,-934.89,2138.75,0.0056,0.0,0.0,0.0,2.556685,1.105582,-7.29214,-14.248462,-11.3866195786,22.8402,0.007956999999999999,47
swarm_100_93.pdb,7,1,4,4,2,3,3,1,2,0,0,0,2,2,2,0.4185714285714286,0.49750000000000005,0.54,0.7066666666666667,0.4975,0.38,0.52,0.44,0.26,0.83,0.515,0.675,0.0,0.0,0.0,0.54,2.12,1.99,0.76,1.56,0.44,0.52,1.66,1.03,1.35,0.0,0.0,0.0,15.17,40.28,1005.2700000000004,373.8100000000004,631.4699999999993,2.6457513110645907,2.0,1.7320508075688772,1.4142135623730951,1.0,1.4142135623730951,1.0,2.0,1.4142135623730951,1.7320508075688772,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,0.9626,1.16,3.54,0.8,-6.4,-67.2,-0.52,-105.56,95.62,1.68,-0.023728,2.18,2.2,-0.4,-10.4,10.716,9.0,18.6,20.6,-3.78,3.74,3.82,-177.8,-0.0196800934,-6.4,-7.342507,-13.96,-16.7029,-32.82,-35.61,-1840.64,-7.72,-8.11,-50.14,-11.39,-649.02,-416.16,0.0,0.0,0.0,0.0,0.0,-13.8886,38.1677,0.000679,5.309,-5.85,-28.250999999999998,-3.366,-118.844,-1.9809999999999999,0.27699999999999997,0.0,-100.65,17.42,-75.55,-21.89,-259.762,-20.7798688071,-2.447,2.375,-0.7637,-0.7064,-83.53,-2045.0,-2.989,11.44,-2115.0,-1.33,1.43,0.2757,-1.3769999999999998,33.31,-327.5,4.346,-1.568,-300.1,-2635.0156030000003,-2676.748916,297.71,-900.73,1198.44,-0.0194,0.0,0.0,0.0,-4.030614,-3.574837,-0.640057,-3.64709,-12.2685160844,15.8404,0.012879,33
swarm_101_167.pdb,9,1,8,0,5,1,4,0,1,1,11,3,4,5,2,0.5444444444444445,0.0,0.49,0.77,0.42875,0.304,0.4975,0.0,0.26,0.34,0.41600000000000004,0.72,0.629090909090909,0.9,0.7366666666666667,0.49,0.77,3.43,1.52,1.99,0.0,0.26,0.68,2.08,2.88,6.92,0.9,2.21,15.79,38.76,1795.0900000000001,595.4300000000003,1199.6600000000008,3.0,0.0,2.0,1.4142135623730951,0.0,1.0,1.0,2.8284271247461903,2.23606797749979,1.0,3.3166247903554,1.0,1.7320508075688772,2.0,2.23606797749979,0.3772,3.2119999999999997,2.24,3.4,-12.8,-211.8,-3.8,-234.18,181.84,4.18,0.10108400000000001,4.2,11.4,10.4,-13.8,5.382000000000001,6.8,22.8,20.6,-12.5,-6.26,-7.82,-345.4,0.32323156399999997,-15.3,-10.78345,-24.87,-29.8479,-63.76,-66.44,-5161.72,-12.25,-5.84,-10.79,-16.32,-1017.29,-368.76,0.0,0.0,0.0,0.0,0.0,-47.1488,265.448,0.000286,5.061,-8.464,-10.662,-4.468999999999999,-219.048,-1.8330000000000002,2.329,0.0,-45.85,-99.76,-523.19,50.63,-113.459,-33.472882739,-2.484,2.35,-0.7807,0.4632,-541.3,-3216.0,-5.127999999999999,14.5,-3738.0,-1.473,1.521,-0.3261,-0.7906,-37.22,-401.5,5.888999999999999,-6.992999999999999,-451.6,-4068.6842850000003,-4128.583904,490.64,-1570.27,2060.9,-0.2398,0.0,0.0,0.0,2.029459,-0.209296,-2.778051,-11.472101,-21.7273416374,15.4428,0.017345,55
swarm_101_168.pdb,1,1,10,1,3,2,2,1,0,0,5,7,0,5,0,0.36,0.52,0.49,0.5900000000000001,0.383,0.3666666666666667,0.42000000000000004,0.44,0.0,0.0,0.466,0.0,0.722,0.0,0.7342857142857142,0.49,1.1800000000000002,3.83,1.1,0.8400000000000001,0.44,0.0,0.0,2.33,0.0,3.61,0.0,5.14,15.42,40.19,1388.75,458.02999999999975,930.71,1.0,1.0,1.4142135623730951,0.0,1.0,0.0,1.0,3.1622776601683795,1.7320508075688772,1.4142135623730951,2.23606797749979,0.0,2.6457513110645907,0.0,2.23606797749979,-2.5854,6.292000000000001,-0.78,5.4,-19.0,-155.2,-6.26,-181.32,121.34,3.3,-0.025660000000000002,4.38,1.2,3.6,-17.2,8.777999999999999,-0.2,7.4,6.2,-13.26,-7.86,4.0,-253.2,-0.44010687200000004,-25.9,-1.705353,-13.24,-20.4586,-41.06,-37.97,-3968.58,14.31,-3.87,48.6,28.57,-577.29,499.44,0.0,0.0,0.0,0.0,0.0,13.2535,1910.12,0.000518,4.9830000000000005,-7.5520000000000005,111.396,8.57,-161.444,-1.4409999999999998,1.6269999999999998,0.0,13.37,-127.02,-437.85,38.01,-1097.3419999999999,-28.3459691519,-1.171,1.043,-0.9259999999999999,0.34700000000000003,-104.9,-2948.0,-9.141,38.67,-3006.0,0.2454,-0.4797,-0.9917,0.4704,40.07,-374.9,1.045,1.875,-334.0,-3126.506207,-3174.670766,1079.11,-1211.23,2290.34,-0.0395,0.0,0.0,0.0,-2.02055,-0.728358,-0.646463,-15.913382999999998,-19.6035796935,22.5548,0.020026,38
