Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_38.pdb,1,1,0,4,3,4,4,1,16,1,0,1,0,0,0,0.44,0.48000000000000004,0.63,0.685,0.0,0.49666666666666665,0.49749999999999994,0.5,0.5449999999999999,0.0,0.0,0.0,0.0,0.49,0.7,0.63,2.74,0.0,1.49,1.9899999999999998,0.5,8.719999999999999,0.0,0.0,0.0,0.0,0.49,0.7,34.46,35.59,1723.8600000000006,886.960000000001,836.8999999999978,1.0,2.0,2.0,0.0,1.0,4.0,1.0,0.0,1.7320508075688772,2.0,0.0,1.0,1.0,0.0,0.0,-1.1924,-5.24,-4.32,-13.4,-25.2,-101.4,1.74,-71.28,73.88,-4.56,0.087272,-5.46,12.6,-1.4,-21.8,90.72200000000001,-7.0,-1.0,3.0,3.3,2.86,-6.9,-139.6,-0.845542728,-3.0,-7.8672770000000005,-10.23,-23.737,-36.19,-30.61,-3517.56,-16.27,-7.56,-7.32,-2.18,-987.56,-434.7,0.0,0.0,0.0,0.0,0.0,-35.335,2.93929,0.000246,-15.610999999999999,20.585,-31.52,1.821,-39.855,1.824,2.5810000000000004,0.0,-114.52,75.31,19.68,-255.91,1233.788,21.8819995146,-2.241,2.267,-0.08001,-1.895,-78.83,-2301.0,3.133,8.357999999999999,-2374.0,-2.9210000000000003,1.808,-1.719,3.125,-44.89,-323.9,-2.374,4.615,-361.8,-4216.9984079999995,-4264.911554,2711.77,-1143.53,3855.31,0.0614,0.0,0.0,0.0,-4.331723,-0.9956459999999999,-7.6885259999999995,-5.905035,-12.320994893599998,-1.07992,0.006944,36
swarm_0_78.pdb,0,2,0,5,5,4,7,3,15,0,0,0,0,1,1,0.0,0.518,0.445,0.735,0.0,0.372,0.47714285714285715,0.48,0.46933333333333327,0.48,0.87,0.0,0.0,0.0,0.0,0.89,2.94,0.0,1.86,3.34,1.44,7.039999999999999,0.48,0.87,0.0,0.0,0.0,0.0,35.04,35.61,1730.5999999999985,917.0699999999997,813.5400000000009,0.0,2.23606797749979,2.6457513110645907,1.0,1.7320508075688772,3.872983346207417,1.4142135623730951,0.0,2.23606797749979,2.0,0.0,0.0,0.0,0.0,1.0,0.6368,-0.146,1.4,-9.8,-16.2,-104.2,5.1,-75.04,85.4,-1.58,0.044032,-3.34,22.2,8.8,-14.8,137.304,-1.0,9.4,14.8,4.9,23.04,5.22,-150.2,-0.0756883552,3.9,-6.889722,-9.3,-23.746,-47.28,-38.57,-2402.02,-5.65,-10.57,27.96,11.74,-1124.19,-453.59,0.0,0.0,0.0,0.0,0.0,37.766,251.206,0.000324,11.482999999999999,28.491,-30.846,36.889,-2.657,-0.501,-0.451,0.0,-116.05,77.86,-0.24,-226.54,-683.419,13.6821241991,-2.021,1.9609999999999999,-0.6622,-0.9708,-78.33,-2323.0,3.958,-6.614,-2412.0,-2.062,1.551,0.04863,3.352,-21.71,-410.8,4.7669999999999995,3.88,-433.4,-4286.170771,-4342.058037,3349.4,-1130.71,4480.11,-0.0035,0.0,0.0,0.0,2.637167,0.229658,0.221063,-0.940332,-15.056244612999999,0.0151113,0.007372,43
swarm_101_107.pdb,1,0,0,12,12,3,11,0,15,0,3,0,0,5,1,0.58,0.4266666666666666,0.0,0.64,0.0,0.3583333333333334,0.42545454545454553,0.0,0.5446666666666666,0.55,0.438,0.0,0.5166666666666667,0.0,0.0,0.0,1.9200000000000002,0.0,4.300000000000001,4.680000000000001,0.0,8.17,0.55,2.19,0.0,1.55,0.0,0.0,34.47,35.33,2233.3600000000006,1022.3500000000004,1211.0100000000002,1.0,3.4641016151377544,3.3166247903554,1.0,0.0,3.872983346207417,0.0,0.0,3.4641016151377544,1.7320508075688772,1.7320508075688772,0.0,0.0,0.0,2.23606797749979,3.2942,-3.138,4.92,-1.6,-12.8,-145.8,9.58,-131.38,140.26,1.7,-0.0047079999999999995,0.2,40.4,24.4,-7.0,110.79,15.4,22.0,29.2,5.4,12.56,12.14,-239.4,-0.36558696,16.9,-9.417219000000001,-20.88,-28.389,-62.8,-41.64,-3983.66,-3.99,7.45,-5.83,8.9,-1126.95,-287.38,0.0,0.0,0.0,0.0,0.0,-83.8098,-75.4085,0.000225,-14.956,34.499,-50.465,14.497,-27.375,-6.486000000000001,-5.965,0.0,-117.52,215.07,-205.12,-78.76,2672.955,15.271321618,-4.111000000000001,4.03,2.045,0.4992,-327.9,-3211.0,27.47,9.394,-3557.0,-2.668,2.8289999999999997,2.057,2.323,-0.3273,-538.5,13.07,2.594,-549.3,-4817.024307,-4881.959747,1817.84,-1353.83,3171.67,-0.1352,0.0,0.0,0.0,1.732003,-1.9604259999999998,-1.462604,-14.846069,-19.8702887792,0.504434,0.003778,63
swarm_101_144.pdb,5,1,4,3,10,2,9,3,6,0,0,0,6,1,2,0.44000000000000006,0.36000000000000004,0.52,0.62,0.37,0.36400000000000005,0.4166666666666667,0.4633333333333334,0.57,0.485,0.48,0.7066666666666667,0.0,0.0,0.0,0.52,1.24,1.48,3.6400000000000006,3.75,1.3900000000000001,3.42,0.97,0.48,4.24,0.0,0.0,0.0,35.45,35.45,1594.2599999999984,549.8400000000001,1044.4300000000003,2.23606797749979,1.7320508075688772,3.0,1.4142135623730951,1.7320508075688772,2.449489742783178,1.0,2.0,3.1622776601683795,1.4142135623730951,0.0,0.0,0.0,2.449489742783178,1.0,1.7369999999999999,-2.156,-1.88,-7.0,-22.2,-153.6,2.44,-138.82,128.22,-1.4,0.05625,-2.58,25.6,15.2,-14.0,79.46,3.2,12.4,14.8,-1.8,-0.8,-0.6,-241.0,0.092567966,6.1,-9.4391,-13.18,-22.684,-42.39,-24.93,-4027.14,-13.2,-4.13,-36.89,-12.73,-1022.55,-498.89,0.0,0.0,0.0,0.0,0.0,-72.6046,-42.123000000000005,0.000424,-19.214000000000002,4.1080000000000005,-48.965,-20.002,-207.875,-4.168,-0.218,0.0,-109.34,39.46,-418.81,60.05,520.991,12.1741583494,-4.873,4.694,0.2193,-0.4005,-321.7,-2561.0,10.12,-6.454,-2899.0,-3.55,3.6180000000000003,0.6533,1.14,-8.686,-362.8,6.3260000000000005,0.6116,-377.2,-4319.433537,-4371.048288,1886.56,-1126.73,3013.28,-0.2337,0.0,0.0,0.0,-14.630467999999999,-12.837477,-8.198324000000001,-13.506989,-19.5987910339,0.393531,0.003961999999999999,52
swarm_101_171.pdb,1,2,1,4,3,7,9,0,10,0,0,0,2,5,0,0.43,0.41000000000000003,0.53,0.5714285714285714,0.42,0.3433333333333333,0.42999999999999994,0.0,0.536,0.0,0.41,0.7649999999999999,0.0,0.0,0.0,1.06,4.0,0.42,1.03,3.8699999999999997,0.0,5.36,0.0,2.05,1.5299999999999998,0.0,0.0,0.0,34.67,36.1,1548.7900000000009,764.7699999999986,784.0200000000023,1.0,2.0,3.0,0.0,0.0,3.1622776601683795,1.4142135623730951,1.0,1.7320508075688772,2.6457513110645907,0.0,0.0,0.0,1.4142135623730951,2.23606797749979,-0.8968,-0.23,-4.02,-11.0,-21.6,-127.6,3.62,-106.3,109.08,-2.54,0.020002000000000002,-3.1,19.4,5.8,-16.6,93.068,3.4,10.0,13.2,5.26,3.98,8.88,-202.4,-0.007695436,7.7,-9.652028,-10.79,-20.948,-45.76,-40.65,-3382.35,-3.73,-6.14,24.22,20.11,-974.69,-511.65,0.0,0.0,0.0,0.0,0.0,-4.03595,111.975,0.000543,-10.575999999999999,20.147000000000002,-23.726,7.1979999999999995,-38.830999999999996,-2.252,-1.515,0.0,-91.31,132.86,-38.62,-160.79,1823.984,18.1720235217,-3.182,3.036,0.1051,0.1379,-180.9,-2169.0,4.603,5.772,-2349.0,-2.252,2.032,-0.08847000000000001,2.153,-33.22,-400.0,3.638,2.153,-434.7,-3992.508051,-4022.8854869999996,2770.86,-1029.59,3800.44,0.1957,0.0,0.0,0.0,-11.901398,-9.715877,-6.713141,-10.152946,-12.452372155199999,0.719759,0.002841,44
swarm_10_158.pdb,1,2,3,5,8,4,9,0,8,1,3,4,3,3,0,0.48,0.388,0.51,0.5225,0.37000000000000005,0.37125,0.4466666666666666,0.0,0.43875,0.0,0.5,0.68,0.64,0.98,0.8724999999999999,1.02,2.09,1.11,2.97,4.02,0.0,3.51,0.0,1.5,2.04,1.92,0.98,3.4899999999999998,34.84,35.69,1818.5399999999972,740.8299999999999,1077.7000000000007,1.0,2.23606797749979,3.0,0.0,0.0,2.8284271247461903,1.4142135623730951,1.7320508075688772,2.8284271247461903,2.0,1.7320508075688772,1.0,2.0,1.7320508075688772,1.7320508075688772,2.728,0.6559999999999999,4.1,-1.6,-11.4,-129.0,2.86,-147.4,132.72,1.2,-0.030348000000000003,1.92,38.2,27.2,-4.0,84.946,15.6,23.4,25.4,-3.48,4.14,13.28,-240.4,0.687518882,0.4,-8.097487,-15.95,-28.88,-46.76,-37.57,-4248.39,-10.94,1.18,-19.15,-6.93,-1087.4,-540.65,0.0,0.0,0.0,0.0,0.0,-5.23116,191.676,0.000356,-9.495,11.479000000000001,-51.902,-3.2060000000000004,-168.016,-4.524,-1.331,0.0,-78.43,71.3,-399.68,34.65,1125.921,1.86615648028,-4.357,4.329,0.1641,-1.393,-131.8,-3247.0,13.06,-31.11,-3423.0,-3.766,3.872,0.1671,0.039169999999999996,23.67,-421.0,4.46,-2.905,-404.7,-4938.597795000001,-5002.5288789999995,3059.87,-1409.62,4469.5,-0.1845,0.0,0.0,0.0,-2.723546,-4.170177,-2.216032,-9.38688,-16.4769443187,-0.45714099999999996,0.005185,54
swarm_10_166.pdb,1,1,1,7,18,4,9,3,13,0,3,1,1,2,0,0.32,0.3828571428571429,0.45,0.5075000000000001,0.53,0.3644444444444445,0.4344444444444444,0.54,0.636923076923077,0.0,0.535,0.53,0.6699999999999999,0.0,0.94,0.45,2.0300000000000002,0.53,6.560000000000001,3.9099999999999997,1.62,8.280000000000001,0.0,1.07,0.53,2.01,0.0,0.94,35.06,35.63,2425.9399999999987,973.4400000000005,1452.4799999999996,1.0,2.6457513110645907,3.0,0.0,1.7320508075688772,3.605551275463989,1.0,1.0,4.242640687119285,2.0,1.7320508075688772,0.0,1.0,1.0,1.4142135623730951,-0.2636,-9.532,-3.04,-5.8,-29.6,-222.2,5.16,-217.02,188.16,-1.84,-0.074392,-3.4,47.8,30.8,-18.8,191.59599999999998,8.4,15.6,25.8,-3.94,6.32,1.62,-361.0,-0.9350848979999999,12.4,-11.1488,-19.99,-35.578,-61.33,-62.95,-5076.25,-3.77,-13.89,-26.05,-8.34,-1506.35,-920.77,0.0,0.0,0.0,0.0,0.0,-73.9797,-31.5877,0.00017900000000000001,-21.426,13.212,-56.691,-13.882,-307.046,-3.6919999999999997,2.142,0.0,-163.53,120.03,-336.16,-78.46,2234.042,18.0074916421,-3.759,3.7739999999999996,0.3886,-2.073,-202.0,-4013.0,14.55,-19.11,-4248.0,-2.656,2.68,0.4137,0.5774,20.6,-600.8,7.17,-1.528,-588.9,-5592.285949,-5657.589494,3424.66,-1700.35,5125.0,0.0591,0.0,0.0,0.0,2.545208,-2.6457,-11.679442,-21.565495000000002,-20.3675223182,1.19849,0.003375,64
swarm_10_186.pdb,0,1,2,6,9,5,8,1,14,0,1,4,2,2,0,0.0,0.41666666666666674,0.53,0.54,0.425,0.34888888888888886,0.37374999999999997,0.49,0.5107142857142858,0.0,0.54,0.755,0.51,0.0,0.72,0.53,2.7,0.85,3.1399999999999997,2.9899999999999998,0.49,7.150000000000001,0.0,1.08,1.51,0.51,0.0,2.88,34.66,35.8,2391.869999999999,1000.3199999999997,1391.5599999999995,0.0,2.449489742783178,2.8284271247461903,0.0,1.0,3.7416573867739413,1.0,1.4142135623730951,3.0,2.23606797749979,1.0,0.0,2.0,1.4142135623730951,1.4142135623730951,-2.2262,-0.9540000000000001,-4.14,-5.4,-35.6,-195.8,-3.33066907388e-16,-204.5,164.62,-2.26,-0.100876,-3.38,38.2,20.2,-23.4,207.69,1.2,12.2,17.4,-9.72,3.92,-2.18,-330.6,-0.08699947,4.6,-11.066905,-17.66,-36.012,-62.29,-72.79,-7539.37,-3.28,-8.33,-12.38,13.62,-1452.24,-560.45,0.0,0.0,0.0,0.0,0.0,-82.5505,-126.256,0.000193,-17.519000000000002,11.008,-50.104,-11.520999999999999,-254.265,-3.082,1.749,0.0,-83.81,-39.24,-610.4,-127.85,519.69,23.0959641309,-3.804,3.8539999999999996,1.129,-1.376,-145.2,-3465.0,21.7,-45.64,-3678.0,-3.326,3.003,-0.7490000000000001,1.724,-0.9086,-530.8,2.86,-0.3318,-534.9,-5674.0166039999995,-5732.469282,4031.03,-1709.28,5740.31,0.2381,0.0,0.0,0.0,-10.325785,-13.433138,-7.192071,-17.846443,-21.683269225300002,4.51912,0.006364,55
swarm_10_195.pdb,0,1,2,1,5,5,3,0,5,0,1,2,3,3,0,0.0,0.37,0.61,0.508,0.39,0.278,0.48333333333333334,0.0,0.546,0.0,0.5,0.7200000000000001,0.46,0.0,0.76,0.61,2.54,0.78,1.3900000000000001,1.45,0.0,2.73,0.0,1.5,2.16,0.46,0.0,1.52,35.14,34.86,1345.0200000000004,521.1800000000003,823.8400000000001,0.0,1.0,1.7320508075688772,0.0,0.0,2.23606797749979,1.0,1.4142135623730951,2.23606797749979,2.23606797749979,1.0,0.0,1.4142135623730951,1.7320508075688772,1.7320508075688772,0.5529999999999999,-0.08199999999999999,-1.66,-3.0,-12.0,-73.6,1.1,-85.9,73.48,-0.44,-0.055066,-1.14,17.6,8.8,-8.0,67.884,4.2,8.0,10.2,-3.74,1.44,7.24,-141.2,0.248467026,-0.1,-7.148735,-15.11,-23.116,-21.3,-23.52,-3387.22,-8.29,-6.66,-23.72,-3.29,-902.5,-456.08,0.0,0.0,0.0,0.0,0.0,-45.2454,-94.1925,0.00042199999999999996,-11.029000000000002,-8.863,-41.075,-23.999000000000002,-154.252,-2.381,0.5489999999999999,0.0,-40.63,-17.19,-360.84,-66.57,446.65,9.13972142618,-3.8560000000000003,3.833,1.7269999999999999,-0.345,-105.1,-2347.0,16.32,7.796,-2461.0,-3.528,3.417,-0.2351,0.8695,-2.474,-304.5,1.9809999999999999,2.255,-306.7,-4281.051579,-4314.750128,1674.75,-1092.77,2767.53,-0.0626,0.0,0.0,0.0,-1.274502,-3.99594,-8.93647,-11.197194,-14.156081991199999,-0.024272400000000003,0.004516,31
swarm_102_27.pdb,2,1,0,3,5,10,8,1,8,1,0,5,0,0,0,0.5,0.2833333333333333,0.35,0.5800000000000001,0.0,0.358,0.44249999999999995,0.56,0.45000000000000007,0.0,0.0,0.0,0.0,0.49,0.6619999999999999,0.35,5.800000000000001,0.0,1.79,3.5399999999999996,0.56,3.6000000000000005,0.0,0.0,0.0,0.0,0.49,3.3099999999999996,34.57,35.43,1407.170000000002,717.6999999999989,689.4599999999991,1.4142135623730951,1.7320508075688772,2.8284271247461903,0.0,1.0,2.8284271247461903,1.0,0.0,2.23606797749979,3.1622776601683795,0.0,1.0,2.23606797749979,0.0,0.0,-2.9484,-3.24,-3.92,-10.0,-32.6,-134.4,-1.72,-115.54,98.96,-2.76,-0.001322,-3.48,11.2,-1.8,-25.2,91.33200000000001,-8.6,-3.0,0.6,0.74,-1.5,-5.98,-196.0,-0.5461694708,0.6,-7.161445,-10.0,-20.811,-45.35,-36.49,-3185.37,-31.41,-8.01,-66.19,-34.22,-1047.78,-323.54,0.0,0.0,0.0,0.0,0.0,-40.0216,-82.7092,0.00044400000000000006,-12.798,3.542,-37.719,-13.027999999999999,-161.03799999999998,-1.911,1.149,0.0,-114.37,113.22,31.72,-268.11,86.728,11.7538184407,-0.9283,0.9079999999999999,-0.2196,-0.5416,89.92,-1957.0,2.219,-13.0,-1883.0,-1.4169999999999998,0.4499,-1.5390000000000001,2.556,-15.48,-392.8,-1.94,0.0362,-406.3,-4056.252207,-4086.650646,2255.69,-1027.47,3283.16,-0.022000000000000002,0.0,0.0,0.0,-6.122783999999999,-8.441697,-8.562981,-12.659844999999999,-15.66906035,-0.10966500000000001,0.005432,44
