Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_128.pdb,3,0,1,9,16,4,10,1,5,0,1,0,0,1,0,0.3933333333333333,0.36555555555555563,0.0,0.515,0.53,0.35875000000000007,0.382,0.43,0.6060000000000001,0.0,0.48,0.0,0.58,0.0,0.0,0.0,2.06,0.53,5.740000000000001,3.82,0.43,3.0300000000000002,0.0,0.48,0.0,0.58,0.0,0.0,31.48,38.33,1490.8600000000006,588.5299999999988,902.3199999999997,1.7320508075688772,3.0,3.1622776601683795,0.0,1.0,2.23606797749979,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.8914,-3.056,0.78,-3.0,-7.0,-114.4,8.36,-102.18,114.04,-0.54,-0.069438,-2.84,35.6,21.0,-7.8,97.53200000000001,9.8,18.6,28.8,2.3,14.74,10.1,-195.8,0.0007772539999999999,20.5,-5.683818,-13.82,-22.191,-44.73,-43.85,-3405.19,17.16,8.91,19.52,22.23,-740.26,174.92,0.0,0.0,0.0,0.0,0.0,-53.0751,519.318,0.000341,-14.225999999999999,3.8110000000000004,6.093999999999999,-9.805,-336.00199999999995,-9.283999999999999,-2.9,0.0,-65.17,188.04,-230.76,134.98,1945.227,18.7415382918,-1.2,1.5319999999999998,1.8090000000000002,-2.623,-129.4,-2999.0,24.11,-28.51,-3181.0,-0.3299,0.537,1.2409999999999999,0.3695,1.084,-384.6,10.29,-2.4930000000000003,-396.3,-4416.194599,-4482.145292,2581.51,-1156.91,3738.43,0.0388,0.0,0.0,0.0,0.95967,-3.8286849999999997,-3.7189,-12.282836,-17.4347852375,3.01962,0.002784,51
swarm_0_158.pdb,2,4,4,3,4,2,11,5,13,0,0,0,2,0,0,0.525,0.5366666666666667,0.5599999999999999,0.6950000000000001,0.49999999999999994,0.4,0.4236363636363636,0.522,0.49615384615384617,0.0,0.0,0.61,0.0,0.0,0.0,2.2399999999999998,1.3900000000000001,1.9999999999999998,1.6,4.659999999999999,2.6100000000000003,6.45,0.0,0.0,1.22,0.0,0.0,0.0,30.85,40.0,1754.7800000000025,923.0,831.7700000000004,1.4142135623730951,1.7320508075688772,3.3166247903554,0.0,2.23606797749979,3.605551275463989,2.0,2.0,2.0,1.4142135623730951,0.0,0.0,0.0,1.4142135623730951,0.0,0.1818,-1.7819999999999998,0.76,-9.6,-20.2,-145.0,8.2,-103.56,121.5,-2.84,0.029626,-4.56,39.8,19.2,-17.8,143.85,6.2,18.0,26.6,6.14,8.12,7.26,-204.6,0.24355581399999998,8.3,-9.181371,-11.77,-25.509,-56.47,-49.8,-3289.18,2.33,-6.61,-8.03,-25.88,-1089.02,-378.51,0.0,0.0,0.0,0.0,0.0,-66.4408,-115.609,0.000408,-22.469,21.866999999999997,-53.563,-5.957999999999999,-77.92399999999999,-2.474,-0.9940000000000001,0.0,-160.8,177.32,-104.69,-170.71,1286.474,34.4111365292,-2.5639999999999996,2.637,0.4451,-2.009,73.13,-3193.0,9.58,-31.35,-3161.0,-2.417,1.959,-0.7299,2.807,7.061,-487.5,4.72,2.759,-482.4,-4737.087337,-4780.1449920000005,2966.98,-1269.36,4236.34,-0.2071,0.0,0.0,0.0,-5.3825449999999995,-4.775062,-9.712571,-18.010532,-14.6087204754,6.05676,0.00346,50
swarm_100_122.pdb,2,2,3,6,8,3,10,1,9,1,0,2,0,1,1,0.525,0.39666666666666667,0.5549999999999999,0.52,0.41333333333333333,0.3175,0.4119999999999999,0.43,0.4155555555555555,0.51,0.55,0.0,0.0,0.9,0.8200000000000001,1.1099999999999999,1.56,1.24,2.54,4.119999999999999,0.43,3.7399999999999998,0.51,0.55,0.0,0.0,0.9,1.6400000000000001,31.12,39.48,1630.8700000000026,721.4499999999989,909.4099999999999,1.4142135623730951,2.449489742783178,3.1622776601683795,1.0,1.0,3.0,1.4142135623730951,1.7320508075688772,2.8284271247461903,1.7320508075688772,0.0,1.0,1.4142135623730951,0.0,1.0,1.7922,-1.55,4.26,-2.6,-16.6,-137.6,7.14,-122.44,121.24,1.58,0.022962,-0.22,34.2,18.8,-11.8,155.444,5.2,13.6,21.8,7.58,9.24,7.2,-215.6,0.632247452,10.9,-9.294456,-15.28,-26.991999999999997,-43.73,-33.51,-3767.78,14.18,-9.21,20.04,-8.85,-1197.95,-406.4,0.0,0.0,0.0,0.0,0.0,-23.2563,152.662,0.000396,-7.757999999999999,14.005999999999998,-49.713,1.2770000000000001,-8.427,-5.428999999999999,-5.269,0.0,-119.7,142.76,-208.51,-99.09,4151.373,10.3102952865,-2.169,2.292,1.234,-1.501,163.6,-3172.0,17.39,-28.36,-3055.0,-1.694,1.304,-0.3826,3.05,50.41,-499.2,6.185,4.175,-450.8,-4899.975528,-4943.331335,2169.76,-1363.48,3533.24,-0.0751,0.0,0.0,0.0,4.936632,2.997354,-0.711171,-12.052441,-17.6839297655,5.70129,0.002959,49
swarm_100_131.pdb,3,5,4,5,15,4,7,5,14,2,1,4,2,2,1,0.43,0.376,0.536,0.5325,0.53,0.35866666666666674,0.3942857142857143,0.49400000000000005,0.49785714285714294,0.48,0.41,0.69,0.83,0.9,0.8300000000000001,2.68,2.13,2.12,5.380000000000001,2.7600000000000002,2.47,6.9700000000000015,0.48,0.82,1.38,0.83,1.8,3.3200000000000003,31.61,39.14,2205.1300000000047,828.0499999999975,1377.0700000000033,1.7320508075688772,2.23606797749979,2.6457513110645907,1.0,2.23606797749979,3.7416573867739413,2.23606797749979,2.0,3.872983346207417,2.0,1.0,1.4142135623730951,2.0,1.4142135623730951,1.4142135623730951,-0.7666,-3.8339999999999996,-2.02,-2.2,-28.0,-233.2,6.56,-214.22,185.42,1.6,0.073764,3.04,37.6,23.4,-20.6,175.03599999999997,4.4,13.8,23.0,-1.6,14.24,9.98,-337.6,0.9047715159999999,-0.5,-8.294522,-23.26,-33.641999999999996,-68.35,-62.09,-7084.98,-10.27,-13.08,15.67,24.59,-1107.16,449.28,0.0,0.0,0.0,0.0,0.0,-53.2142,1010.64,0.00027400000000000005,-12.274000000000001,9.654,25.061999999999998,-0.113,-91.605,-3.0039999999999996,-1.263,0.0,-121.28,100.29,-529.12,-54.05,2420.205,12.864751537,-2.59,2.697,1.508,-1.091,0.5024,-3832.0,23.18,-26.22,-3881.0,-2.1830000000000003,2.004,-0.4715,1.1320000000000001,-9.066,-627.0,7.186,-2.448,-645.7,-5622.970881,-5696.622633,2380.64,-1780.01,4160.65,0.0064,0.0,0.0,0.0,0.741793,-10.026694,-7.535697,-20.55385,-28.035715992300002,6.7872,0.003986,74
swarm_100_139.pdb,3,5,5,8,13,4,8,1,15,2,1,5,2,3,0,0.43333333333333335,0.3075,0.548,0.55,0.42600000000000005,0.3576923076923077,0.39749999999999996,0.53,0.514,0.0,0.3633333333333333,0.565,0.83,0.9,0.756,2.74,2.2,2.1300000000000003,4.65,3.1799999999999997,0.53,7.71,0.0,1.0899999999999999,1.13,0.83,1.8,3.7800000000000002,31.44,39.08,2315.0699999999997,810.6999999999989,1504.380000000001,1.7320508075688772,2.8284271247461903,2.8284271247461903,0.0,1.0,3.872983346207417,2.23606797749979,2.23606797749979,3.605551275463989,2.0,1.0,1.4142135623730951,2.23606797749979,1.4142135623730951,1.7320508075688772,1.8986,4.336,3.74,-2.0,-28.0,-246.2,11.16,-237.12,227.8,3.78,0.065482,6.68,50.6,29.8,-18.0,190.05200000000002,11.2,24.6,33.8,4.04,23.08,20.74,-408.0,0.9332622678,-0.9,-10.214032000000001,-20.83,-34.859,-76.21,-73.85,-7446.33,-3.64,-13.77,-36.75,8.19,-1224.49,74.69,0.0,0.0,0.0,0.0,0.0,-34.6015,727.3789999999999,0.00022200000000000003,-3.1189999999999998,9.469,-8.435,5.506,-156.187,-4.658,-1.69,0.0,-165.81,42.36,-581.94,-125.27,3051.5209999999997,25.0571628145,-2.157,2.324,2.44,0.042460000000000005,-218.7,-3854.0,36.16,-40.81,-4150.0,-1.386,1.361,0.8854,1.611,-39.23,-591.7,15.84,-6.433,-653.2,-5781.336426,-5853.604733,2512.36,-1788.75,4301.12,-0.055999999999999994,0.0,0.0,0.0,-6.17894,-17.042667,-2.683478,-15.975406,-27.4517765567,8.86444,0.0041600000000000005,75
swarm_100_143.pdb,3,9,8,1,7,4,14,6,1,1,2,1,0,0,1,0.43,0.34,0.4811111111111112,0.51,0.43249999999999994,0.33428571428571424,0.3878571428571428,0.49333333333333335,0.26,0.48,0.0,0.0,0.7,0.9,0.9,4.330000000000001,2.04,3.4599999999999995,2.34,5.429999999999999,2.96,0.26,0.48,0.0,0.0,1.4,0.9,0.9,31.39,39.83,1822.619999999999,743.25,1079.3600000000006,1.7320508075688772,1.0,3.7416573867739413,1.0,2.449489742783178,1.0,3.0,2.8284271247461903,2.6457513110645907,2.0,1.4142135623730951,1.0,1.0,0.0,0.0,1.4098,-3.4360000000000004,2.9,-1.4,-18.2,-196.6,4.7,-160.34,145.3,1.06,0.125854,0.4,37.6,23.8,-15.0,94.37799999999999,5.2,11.0,17.0,-2.56,-3.64,6.94,-253.4,0.6800572836,6.4,-7.111095,-17.91,-28.61,-50.97,-46.8,-5325.17,-16.34,-5.7,2.18,15.47,-1199.75,-5.3,0.0,0.0,0.0,0.0,0.0,-41.0391,522.774,0.000352,-8.681000000000001,5.952000000000001,-4.143,-3.1439999999999997,-328.25,-5.2829999999999995,0.953,0.0,-158.51,91.92,-484.15,35.56,801.198,1.71367333829,-0.5472,0.4313,-0.8117,0.5606,-111.8,-3218.0,3.545,-53.98,-3388.0,0.366,-0.4414,1.324,2.1109999999999998,26.99,-546.8,12.78,-5.31,-537.9,-5192.503235,-5255.951009,1476.58,-1481.61,2958.2,-0.0551,0.0,0.0,0.0,1.7966090000000001,-2.698909,-9.114622,-28.010022999999997,-21.9554249623,5.30486,0.004397,58
swarm_100_186.pdb,3,4,3,4,9,7,12,7,3,1,1,4,0,3,1,0.52,0.3475,0.525,0.47714285714285715,0.4266666666666667,0.32888888888888895,0.4383333333333334,0.5271428571428572,0.3666666666666667,0.48,0.41,0.0,0.51,0.9,0.7275,2.1,3.34,1.28,2.9600000000000004,5.260000000000001,3.6900000000000004,1.1,0.48,1.23,0.0,0.51,0.9,2.91,31.68,39.66,2019.3100000000013,788.2299999999996,1231.0899999999965,1.7320508075688772,2.0,3.4641016151377544,1.0,2.6457513110645907,1.7320508075688772,2.0,1.7320508075688772,3.0,2.6457513110645907,1.0,1.0,2.0,0.0,1.7320508075688772,2.9962,-4.204,3.18,-10.0,-17.0,-214.2,9.34,-167.94,175.54,-0.84,0.045924,-3.68,47.8,29.0,-13.0,75.35,13.4,25.2,37.0,2.04,18.9,19.64,-289.2,0.1212382444,17.8,-9.915830999999999,-19.36,-31.546999999999997,-59.68,-57.54,-4695.01,-6.02,-22.52,-43.16,-6.66,-1209.93,-248.21,0.0,0.0,0.0,0.0,0.0,-73.9593,45.5978,0.000223,-11.323,-2.234,-50.357,-18.593,-299.243,-3.695,1.9909999999999999,0.0,-249.58,223.09,-641.76,70.91,517.1759999999999,29.1716100606,-0.8257,0.7863,-0.556,-0.5866,652.1,-4350.0,4.427,-71.34,-3773.0,-1.17,0.9566,0.5651,2.378,131.4,-613.1,11.05,2.145,-490.6,-5506.166475,-5574.92219,2042.69,-1592.1,3634.79,0.0068,0.0,0.0,0.0,1.814027,-1.788198,-0.755009,-15.211479,-22.9249614892,6.40451,0.0034189999999999997,62
swarm_102_66.pdb,1,0,5,0,15,9,11,4,13,0,3,3,2,2,3,0.32,0.0,0.0,0.5688888888888889,0.45600000000000007,0.36933333333333335,0.41363636363636364,0.4525,0.533076923076923,0.43,0.44499999999999995,0.605,0.7799999999999999,0.0,0.8466666666666667,0.0,5.12,2.2800000000000002,5.54,4.55,1.81,6.93,1.29,0.8899999999999999,1.21,2.34,0.0,2.54,31.12,39.06,2068.890000000003,960.3799999999992,1108.5099999999984,1.0,0.0,3.3166247903554,1.7320508075688772,2.0,3.605551275463989,0.0,2.23606797749979,3.872983346207417,3.0,1.7320508075688772,0.0,1.7320508075688772,1.4142135623730951,1.4142135623730951,-0.06,-2.79,-0.86,-5.8,-24.4,-196.8,4.68,-208.44,183.16,-0.5,0.023852,-0.58,38.2,19.6,-23.0,185.752,11.8,19.4,30.6,-2.08,9.92,12.64,-319.0,-1.2092959536,0.2,-8.852877000000001,-19.12,-26.491999999999997,-53.54,-50.82,-5215.91,-27.76,-16.22,-36.35,30.54,-901.48,432.93,0.0,0.0,0.0,0.0,0.0,-72.5308,367.582,0.000286,-25.682,23.691,38.887,1.8969999999999998,-38.738,-4.093999999999999,-3.358,0.0,-103.13,80.51,-265.26,-173.26,1819.2160000000001,34.9791270014,-2.5810000000000004,2.6660000000000004,1.945,-0.8416,-242.9,-3330.0,22.52,9.76,-3586.0,-2.803,2.37,0.078,2.818,-62.21,-531.2,7.797000000000001,4.01,-597.2,-4811.0299270000005,-4890.423277000001,223.14,-1389.17,1612.31,-0.0283,0.0,0.0,0.0,-11.89171,-16.321548999999997,-12.080057,-21.058208,-23.808025972,12.213,0.00238,71
swarm_103_139.pdb,7,8,3,8,5,3,10,5,11,0,0,2,1,4,1,0.4657142857142857,0.38749999999999996,0.5025000000000001,0.55,0.4833333333333334,0.422,0.4630000000000001,0.4880000000000001,0.49090909090909096,0.49,0.48,0.68,0.0,0.0,0.72,4.0200000000000005,1.6500000000000001,1.4500000000000002,2.11,4.630000000000001,2.4400000000000004,5.4,0.49,1.92,0.68,0.0,0.0,1.44,31.25,39.22,1754.0499999999993,797.2700000000004,956.7900000000009,2.6457513110645907,2.8284271247461903,3.1622776601683795,1.0,2.23606797749979,3.3166247903554,2.8284271247461903,1.7320508075688772,2.23606797749979,1.7320508075688772,0.0,0.0,1.4142135623730951,1.0,2.0,1.9612,0.106,2.06,-6.8,-26.2,-227.0,6.02,-204.32,198.6,0.68,-0.013712,2.28,39.4,24.4,-19.2,150.458,6.4,18.4,26.8,0.98,17.94,15.12,-341.0,1.0465963059999999,2.3,-5.667178,-11.71,-26.824,-54.86,-55.78,-5410.02,-11.9,-4.5,61.43,52.56,-1261.36,290.47,0.0,0.0,0.0,0.0,0.0,-35.7646,288.722,0.000413,-0.657,18.055,37.538000000000004,21.151999999999997,-91.92399999999999,-1.251,0.495,0.0,-101.07,125.31,-434.56,-48.95,445.639,10.8597067361,-1.5859999999999999,1.47,-0.7122,-0.2096,-82.14,-3503.0,3.568,-32.89,-3622.0,-0.9996,0.5643,-0.5989,1.939,3.8810000000000002,-574.6,7.545,-0.9361,-579.2,-4995.046421999999,-5058.973204,3972.28,-1406.84,5379.11,-0.3408,0.0,0.0,0.0,-5.536681,-8.559934,-13.805067999999999,-23.527097,-18.0607083277,9.575619999999999,0.006235,68
swarm_103_166.pdb,1,8,15,0,4,3,8,17,2,1,1,0,4,1,0,0.55,0.0,0.4750000000000001,0.58,0.4486666666666667,0.39,0.43,0.48352941176470593,0.535,0.0,0.87,0.6074999999999999,0.46,0.98,0.0,3.8000000000000007,1.74,6.73,1.56,3.44,8.22,1.07,0.0,0.87,2.4299999999999997,0.46,0.98,0.0,31.82,39.18,1668.8899999999994,729.6099999999988,939.2799999999988,1.0,0.0,2.8284271247461903,0.0,4.123105625617661,1.4142135623730951,2.8284271247461903,3.872983346207417,2.0,1.7320508075688772,1.0,1.0,0.0,2.0,1.0,1.1676,-1.162,2.92,-5.2,-20.2,-230.8,2.54,-189.12,175.26,0.3,0.099698,0.76,34.8,20.8,-21.6,74.02600000000001,8.4,17.2,22.8,-2.94,6.76,10.62,-293.6,0.3580526054,-2.5,-6.105522000000001,-14.49,-27.964000000000002,-57.22,-47.46,-5189.92,-21.13,0.44,20.99,23.65,-913.19,494.52,0.0,0.0,0.0,0.0,0.0,-6.62839,1457.36,0.000356,1.041,2.359,35.762,6.976,-343.06199999999995,-5.359,1.159,0.0,-93.16,124.21,-574.17,91.59,372.36699999999996,6.52571105678,-0.011559999999999999,-0.09602000000000001,-1.7069999999999999,-1.128,328.8,-3861.0,-6.279,-70.29,-3596.0,0.3671,-0.7952,-0.06404,2.372,76.38,-551.1,6.845,-6.0329999999999995,-487.6,-5173.297397,-5247.658264,2491.02,-1515.07,4006.09,-0.0176,0.0,0.0,0.0,-10.301055,-18.303038,-9.054959,-28.212002000000002,-18.0551660838,15.8989,0.005077,65
