Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_101.pdb,3,0,4,4,13,2,10,4,9,0,0,0,1,4,1,0.47000000000000003,0.235,0.0,0.505,0.44999999999999996,0.2530769230769231,0.44299999999999995,0.4775,0.4744444444444445,0.48,0.785,0.53,0.0,0.0,0.0,0.0,1.01,1.7999999999999998,3.29,4.43,1.91,4.2700000000000005,0.48,3.14,0.53,0.0,0.0,0.0,33.81,36.08,1797.9700000000012,763.9400000000005,1034.0099999999984,1.7320508075688772,2.0,3.1622776601683795,1.0,2.0,3.0,0.0,2.0,3.605551275463989,1.4142135623730951,0.0,0.0,0.0,1.0,2.0,4.2644,3.8939999999999997,10.22,0.6,-15.2,-176.4,8.84,-174.38,173.26,3.3,0.031248,3.7,57.8,38.0,-4.8,264.058,14.8,31.0,42.0,5.08,22.16,2.9,-291.8,0.23924038079999999,13.0,-5.898391999999999,-19.01,-27.115,-64.89,-65.13,-3068.98,7.0,19.59,15.79,26.1,-965.84,-156.2,0.0,0.0,0.0,0.0,0.0,-50.3102,239.5,0.000362,-24.061999999999998,5.843,-15.269,-19.745,-165.66400000000002,-7.412000000000001,-4.265,0.0,-56.0,138.21,-507.4,85.08,3312.591,15.2712776368,-2.425,2.461,0.6198,-0.9418,-347.4,-3275.0,14.08,-10.78,-3647.0,-1.686,1.507,0.7985,2.714,-34.62,-462.9,8.585,0.4075,-505.7,-5019.715227000001,-5095.66787,2376.38,-1189.93,3566.31,-0.0703,0.0,0.0,0.0,-3.270237,-1.0976139999999999,-3.2430220000000003,-12.714649,-17.5362527704,16.2983,0.002,55
swarm_100_101.pdb,2,3,2,1,5,5,6,3,4,3,2,4,1,0,0,0.495,0.52,0.58,0.592,0.41000000000000003,0.47000000000000003,0.445,0.5333333333333333,0.62,0.0,0.0,0.82,0.645,0.86,0.8,1.74,2.96,0.8200000000000001,2.35,2.67,1.6,2.48,0.0,0.0,0.82,1.29,2.58,3.2,34.7,35.32,1522.4999999999964,593.9399999999987,928.5700000000015,1.4142135623730951,1.0,2.449489742783178,0.0,1.7320508075688772,2.0,1.7320508075688772,1.4142135623730951,2.23606797749979,2.23606797749979,1.4142135623730951,1.7320508075688772,2.0,1.0,0.0,-2.8196,-1.858,-5.42,-2.6,-31.2,-123.2,-4.72,-142.06,100.16,-0.66,-0.053366,-2.58,-4.4,-10.2,-24.8,37.796,-11.0,-6.2,-5.6,-9.54,-4.42,-1.54,-224.6,-0.9005576142,-27.7,-7.336150999999999,-22.99,-29.581999999999997,-59.27,-53.87,-5659.43,-16.82,-20.18,-25.06,-13.97,-861.94,33.87,0.0,0.0,0.0,0.0,0.0,-16.3573,1271.18,0.00042,-8.833,-19.89,3.676,-28.355,-295.887,3.5460000000000003,9.168,0.0,-160.31,-211.86,-666.05,-277.15,-824.939,-5.9165888428699995,-2.158,2.124,-0.1285,-0.7111,107.4,-2606.0,3.6660000000000004,2.254,-2500.0,-2.1069999999999998,1.682,-2.7489999999999997,-0.3687,23.97,-398.7,-5.5329999999999995,-3.908,-373.1,-5405.341369,-5456.103198,-545.84,-1577.32,1031.47,-0.0575,0.0,0.0,0.0,-8.481185,-11.787488,-10.147488000000001,-23.185056,-19.2555170427,10.3361,0.005122,41
swarm_100_193.pdb,3,0,4,4,6,3,6,1,5,1,1,1,1,0,0,0.35000000000000003,0.40750000000000003,0.0,0.6666666666666666,0.5599999999999999,0.3066666666666667,0.435,0.5,0.57,0.0,0.0,0.24,0.58,0.9,0.74,0.0,2.0,2.2399999999999998,1.84,2.61,0.5,2.8499999999999996,0.0,0.0,0.24,0.58,0.9,0.74,33.88,36.33,1237.7400000000016,477.40999999999985,760.3300000000017,1.7320508075688772,2.0,2.449489742783178,0.0,1.0,2.23606797749979,0.0,2.0,2.449489742783178,1.7320508075688772,1.0,1.0,1.0,1.0,0.0,1.3642,1.224,3.44,2.4,-3.8,-62.4,3.24,-61.2,58.64,2.1,-0.007828,2.66,13.2,10.2,-2.0,41.832,2.2,8.8,13.4,0.16,6.22,-0.02,-102.0,0.64543774,-5.9,-6.657091,-13.19,-25.519000000000002,-32.46,-30.7,-3712.4,3.96,-0.96,-21.01,-2.81,-780.02,-400.06,0.0,0.0,0.0,0.0,0.0,-27.5626,146.18200000000002,0.00055,-6.462999999999999,0.53,-36.443000000000005,-9.578,-144.446,-1.73,1.015,0.0,-52.97,-48.75,-229.92,-52.91,2344.186,21.0805230346,-1.492,1.6219999999999999,1.61,-0.2934,-13.89,-2373.0,14.54,-36.47,-2438.0,-1.801,1.459,0.04285,2.0669999999999997,-33.8,-274.3,3.585,-2.6189999999999998,-314.3,-4834.381395,-4878.59805,1999.1,-1249.57,3248.67,0.0419,0.0,0.0,0.0,3.3750720000000003,3.4657709999999997,0.53161,-3.513332,-14.134577357000001,6.46685,0.0065829999999999994,36
swarm_100_197.pdb,0,1,1,2,5,4,5,0,1,1,3,4,1,0,0,0.0,0.5449999999999999,0.64,0.465,0.34,0.502,0.492,0.0,0.47,0.0,0.0,0.52,0.6233333333333334,0.98,0.815,0.64,1.86,0.34,2.5100000000000002,2.46,0.0,0.47,0.0,0.0,0.52,1.87,0.98,3.26,34.36,35.58,1070.7900000000009,382.9200000000001,687.8600000000006,0.0,1.4142135623730951,2.23606797749979,0.0,0.0,1.0,1.0,1.0,2.23606797749979,2.0,1.7320508075688772,1.0,2.0,1.0,0.0,-2.705,1.264,-3.56,3.2,-19.0,-90.8,-5.12,-115.38,71.86,1.42,-0.017038,1.72,-7.4,-7.6,-17.2,22.08,-8.6,-4.4,-5.6,-11.6,-11.48,-3.52,-161.2,-0.18523528,-21.9,-8.633946,-20.43,-24.613000000000003,-35.58,-30.95,-3810.38,-24.48,-9.12,-40.73,-34.57,-805.98,-504.78,0.0,0.0,0.0,0.0,0.0,-61.4223,-128.033,0.000763,-7.391,-9.058,-36.622,-20.112000000000002,-187.479,1.361,4.923,0.0,-107.19,-130.68,-287.37,-136.42,343.907,3.76879660506,-1.8880000000000001,1.848,-0.2041,-0.6229,44.05,-2025.0,1.52,-7.626,-1990.0,-1.578,1.043,-2.256,1.0270000000000001,3.55,-253.3,-3.3110000000000004,-0.9606,-247.4,-4804.643211,-4845.056455,-592.49,-1212.36,619.87,-0.1165,0.0,0.0,0.0,-4.322903,-5.598323000000001,-1.561654,-6.6602440000000005,-15.5400603444,9.28293,0.006143,28
swarm_100_24.pdb,2,5,3,2,4,4,9,4,2,1,1,2,0,2,0,0.445,0.62,0.602,0.465,0.5233333333333333,0.345,0.45999999999999996,0.54,0.365,0.0,0.44499999999999995,0.0,0.58,0.98,0.9199999999999999,3.01,1.86,1.5699999999999998,1.38,4.14,2.16,0.73,0.0,0.8899999999999999,0.0,0.58,0.98,1.8399999999999999,34.08,36.12,1262.2200000000012,455.630000000001,806.5800000000017,1.4142135623730951,1.4142135623730951,3.0,0.0,2.0,1.4142135623730951,2.23606797749979,1.7320508075688772,2.0,2.0,1.0,1.0,1.4142135623730951,0.0,1.4142135623730951,0.8548,0.574,1.8,-1.8,-16.6,-92.8,0.18,-111.3,95.16,1.22,-0.0274,0.2,9.2,2.0,-13.2,21.548000000000002,2.0,7.0,8.2,-0.06,7.44,5.46,-182.0,0.199467235,-11.1,-9.67886,-19.23,-25.396,-31.41,-30.92,-3871.45,-20.97,-9.19,-21.42,-16.78,-855.01,-348.92,0.0,0.0,0.0,0.0,0.0,-29.3083,-31.3088,0.000637,7.4110000000000005,-8.531,-35.768,-4.697,-371.952,1.369,8.436,0.0,-101.03,-59.95,-400.61,-93.16,-997.424,-11.6795102851,-0.2941,0.349,-0.3258,-2.079,-151.5,-2111.0,4.692,-30.26,-2298.0,0.1481,-0.511,-1.288,0.4641,14.13,-335.8,0.1066,-5.319,-327.1,-4874.721103,-4925.228221,30.41,-1240.96,1271.38,-0.0373,0.0,0.0,0.0,-1.805523,-3.5162440000000004,-4.008493,-7.087366,-15.0910022897,6.80742,0.0052439999999999995,41
swarm_100_98.pdb,2,1,7,3,7,4,6,2,8,0,4,1,0,4,1,0.235,0.3833333333333333,0.53,0.575,0.46142857142857147,0.32857142857142857,0.47500000000000003,0.495,0.47750000000000004,0.48,0.42749999999999994,0.0,0.855,0.0,0.9,0.53,2.3,3.2300000000000004,2.3,2.85,0.99,3.8200000000000003,0.48,1.7099999999999997,0.0,3.42,0.0,0.9,34.5,35.74,1722.0099999999984,675.0100000000002,1047.0,1.4142135623730951,1.7320508075688772,2.449489742783178,1.0,1.4142135623730951,2.8284271247461903,1.0,2.6457513110645907,2.6457513110645907,2.0,2.0,0.0,1.0,0.0,2.0,1.1458,9.54,2.34,-0.8,-22.8,-172.6,3.22,-162.94,143.84,2.44,0.129114,3.72,23.0,11.4,-18.4,82.016,-3.4,8.6,15.2,-1.78,5.8,-5.32,-267.6,0.77827263,-7.5,-7.829421000000001,-17.0,-26.064,-64.33,-54.26,-5319.64,9.05,1.43,-32.47,17.5,-838.47,17.91,0.0,0.0,0.0,0.0,0.0,-44.1555,112.79299999999999,0.000442,-0.9620000000000001,1.4569999999999999,-3.8819999999999997,0.106,-197.484,-3.8510000000000004,-0.098,0.0,-79.85,-24.38,-456.42,-109.41,1214.715,21.269960389,-2.312,2.385,1.112,0.1438,-232.4,-2742.0,15.15,-35.72,-3026.0,-1.626,1.555,0.9589,1.555,-49.75,-408.0,10.16,-8.392999999999999,-476.3,-4985.953441,-5050.800094,2095.74,-1265.66,3361.39,-0.0113,0.0,0.0,0.0,0.692483,2.177162,0.004954999999999999,-3.6589300000000002,-17.9878376922,6.64968,0.005,50
swarm_102_188.pdb,5,9,6,4,6,5,20,5,18,0,0,2,3,2,2,0.398,0.5075000000000001,0.5122222222222222,0.506,0.45,0.41333333333333333,0.4779999999999999,0.492,0.5577777777777777,0.44500000000000006,0.475,0.63,0.0,0.0,0.8200000000000001,4.61,2.53,2.7,2.48,9.559999999999999,2.46,10.04,0.8900000000000001,0.95,1.8900000000000001,0.0,0.0,1.6400000000000001,34.02,36.29,2577.340000000004,1391.0,1186.33,2.23606797749979,2.0,4.47213595499958,1.4142135623730951,2.23606797749979,4.242640687119285,3.0,2.449489742783178,2.449489742783178,2.23606797749979,0.0,0.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,0.6402,4.3839999999999995,-0.34,-20.0,-37.8,-217.2,5.46,-193.58,196.78,-4.38,-0.050868000000000003,-10.22,24.2,-0.8,-41.2,177.282,-0.6,19.8,29.0,2.7,10.0,14.84,-366.0,-1.92917324,3.7,-13.492773000000001,-20.47,-36.183,-74.1,-59.44,-5211.02,-11.8,-12.83,79.48,64.01,-1456.04,212.27,0.0,0.0,0.0,0.0,0.0,-83.427,86.9944,0.00021899999999999998,-27.35,19.930999999999997,-44.474,-11.867,-583.113,-4.145,6.934,0.0,-290.15,150.38,-570.81,-129.3,1067.004,39.462250255,-2.3609999999999998,2.329,-0.3763,-1.765,173.4,-4190.0,1.511,-5.319,-4024.0,-2.4819999999999998,1.6680000000000001,-1.6680000000000001,1.778,-7.0729999999999995,-595.7,-1.1179999999999999,2.555,-599.1,-6013.956602,-6098.777049,3526.19,-1766.52,5292.72,0.0107,0.0,0.0,0.0,-20.475979000000002,-21.676109,-21.25734,-35.686144,-17.781444253,21.4612,0.004425,87
swarm_102_76.pdb,3,3,5,3,11,6,12,3,5,0,1,0,0,1,0,0.48333333333333334,0.53,0.48333333333333334,0.5583333333333333,0.434,0.33727272727272734,0.48249999999999993,0.47333333333333333,0.5559999999999999,0.0,0.48,0.0,0.65,0.0,0.0,1.45,3.35,2.17,3.7100000000000004,5.789999999999999,1.42,2.78,0.0,0.48,0.0,0.65,0.0,0.0,34.36,35.99,1735.380000000001,947.880000000001,787.5,1.7320508075688772,1.7320508075688772,3.4641016151377544,0.0,1.7320508075688772,2.23606797749979,1.7320508075688772,2.23606797749979,3.3166247903554,2.449489742783178,1.0,0.0,0.0,0.0,1.0,5.5932,2.588,10.58,-1.8,-9.2,-156.4,10.5,-136.76,156.16,2.7,0.00238,2.0,36.8,22.0,-10.6,80.502,19.8,29.4,38.2,5.14,15.74,11.6,-255.2,0.0356943638,7.9,-9.939191000000001,-12.75,-23.269000000000002,-44.55,-34.74,-2532.78,-7.49,-11.48,0.42,21.08,-1048.49,-285.18,0.0,0.0,0.0,0.0,0.0,-35.5027,51.0395,0.00031299999999999996,-19.595,16.425,-50.678000000000004,-8.237,-118.059,-5.197,-2.9530000000000003,0.0,-104.4,165.52,-237.15,-99.64,680.88,26.680077619499997,-2.016,1.9869999999999999,-0.5679,-1.699,-98.8,-2577.0,0.1408,9.638,-2666.0,-1.659,1.482,-0.4682,0.4378,-11.6,-399.0,2.53,-2.6660000000000004,-415.8,-4620.6966600000005,-4664.046821,2116.57,-1126.96,3243.52,0.1889,0.0,0.0,0.0,-2.056678,-4.6124540000000005,-8.551688,-15.159623999999999,-10.9492435859,10.1276,0.002792,53
swarm_104_89.pdb,5,3,7,4,2,5,11,5,7,0,0,1,3,1,3,0.43200000000000005,0.37,0.6366666666666667,0.462,0.46714285714285714,0.44499999999999995,0.4527272727272727,0.49800000000000005,0.5828571428571429,0.4066666666666667,0.27,0.7866666666666666,0.0,0.0,0.5,1.9100000000000001,2.31,3.27,0.8899999999999999,4.9799999999999995,2.49,4.08,1.22,0.27,2.36,0.0,0.0,0.5,34.63,36.27,1728.2199999999975,806.8300000000017,921.3799999999992,2.23606797749979,2.0,3.3166247903554,1.7320508075688772,2.23606797749979,2.6457513110645907,1.7320508075688772,2.6457513110645907,1.4142135623730951,2.23606797749979,0.0,0.0,1.0,1.7320508075688772,1.0,2.7846,-4.03,-0.28,-12.2,-19.6,-140.6,4.5,-111.64,121.52,-2.98,0.017192,-4.52,21.2,9.4,-11.6,46.968,5.0,16.0,18.4,5.74,7.54,2.88,-214.6,-0.0023676402,7.2,-8.698056,-14.37,-24.555999999999997,-53.64,-45.87,-2841.6,-19.49,-10.31,-3.98,14.55,-1015.73,-151.95,0.0,0.0,0.0,0.0,0.0,-57.9667,19.389,0.00037200000000000004,-18.494,6.29,-35.049,-15.709000000000001,-421.615,-4.281000000000001,3.73,0.0,-139.19,91.94,-495.6,-35.66,-242.597,14.9662051629,-0.5485,0.584,-1.139,-2.271,296.2,-3301.0,-5.537000000000001,-11.87,-3012.0,-0.228,-0.1124,-0.6884,0.905,55.04,-431.1,1.8969999999999998,2.359,-375.6,-4763.179267,-4825.301715,2131.54,-1207.15,3338.69,-0.1121,0.0,0.0,0.0,-10.859002,-10.837708000000001,-8.878456,-9.933743,-19.2606105789,16.6837,0.004333,57
swarm_106_104.pdb,2,2,3,4,12,1,8,0,15,0,1,1,0,0,0,0.42500000000000004,0.3775,0.5700000000000001,0.55,0.45999999999999996,0.3458333333333334,0.47125,0.0,0.5193333333333333,0.0,0.0,0.0,0.51,0.0,0.74,1.1400000000000001,0.55,1.38,4.15,3.77,0.0,7.79,0.0,0.0,0.0,0.51,0.0,0.74,34.43,35.46,1890.4999999999964,835.0699999999997,1055.4199999999983,1.4142135623730951,2.0,2.8284271247461903,0.0,0.0,3.872983346207417,1.4142135623730951,1.7320508075688772,3.4641016151377544,1.0,1.0,0.0,1.0,0.0,0.0,0.3222,-1.584,0.14,-2.8,-17.8,-107.0,2.28,-119.84,109.28,-0.4,-0.050832,-2.8,17.8,8.8,-14.0,82.92200000000001,5.6,10.4,15.0,-1.7,12.76,6.86,-209.0,-0.582758384,10.5,-7.758991,-17.22,-26.035,-43.84,-42.65,-3780.25,0.32,-10.61,-28.47,5.39,-980.19,-379.65,0.0,0.0,0.0,0.0,0.0,-47.6617,98.8368,0.00037,-7.34,13.175999999999998,-35.294000000000004,2.307,-157.25799999999998,-6.063,-3.075,0.0,-151.1,89.69,-209.27,-5.43,2415.966,16.6688303666,-3.1430000000000002,3.2110000000000003,1.739,-1.2919999999999998,-46.78,-3222.0,18.63,-1.092,-3288.0,-2.105,2.148,0.4215,-0.1075,44.97,-455.9,5.287000000000001,0.221,-416.0,-4825.433602,-4884.189652,1540.17,-1216.62,2756.79,-0.1386,0.0,0.0,0.0,-4.962823,-8.619919,-2.472054,-10.49118,-15.3186065767,12.9324,0.003184,49
