Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_105.pdb,2,2,8,1,6,0,10,3,11,0,2,0,0,1,0,0.53,0.34,0.49,0.0,0.44125000000000003,0.36999999999999994,0.437,0.4533333333333333,0.4881818181818181,0.0,0.41,0.0,0.615,0.0,0.0,0.98,0.0,3.5300000000000002,2.2199999999999998,4.37,1.3599999999999999,5.369999999999999,0.0,0.41,0.0,1.23,0.0,0.0,27.39,37.77,1454.4700000000012,709.6599999999999,744.8099999999995,1.4142135623730951,1.0,3.1622776601683795,0.0,1.7320508075688772,3.3166247903554,1.4142135623730951,2.8284271247461903,2.449489742783178,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,2.2082,2.494,3.98,-2.6,-4.0,-118.6,6.22,-95.18,109.56,0.62,0.05633200000000001,2.1,21.4,10.8,-10.8,46.098,13.6,19.2,23.6,1.18,7.34,8.3,-170.8,0.1671201868,9.6,-7.911711,-9.17,-20.772,-33.12,-31.45,-2692.73,11.53,8.89,26.63,17.24,-915.82,-458.25,0.0,0.0,0.0,0.0,0.0,-25.3966,74.275,0.00044,1.5119999999999998,22.230999999999998,-21.06,21.636999999999997,59.926,-3.122,-4.26,0.0,-100.85,181.42,-152.48,5.05,739.955,40.7637345716,-2.2,2.184,-0.4064,-0.624,-7.4270000000000005,-2893.0,4.2860000000000005,-0.5871,-2905.0,-0.9601,0.6093,-0.3728,1.754,31.62,-421.7,2.872,-3.051,-396.0,-3922.6726020000006,-3972.442353,2135.68,-1027.27,3162.95,-0.122,0.0,0.0,0.0,-0.17291700000000002,0.728351,-2.505553,-3.453418,-9.718415631060001,-0.680057,0.002696,46
swarm_100_78.pdb,1,2,3,2,5,4,8,1,5,2,0,3,2,1,0,0.53,0.325,0.58,0.53,0.4333333333333333,0.332,0.43374999999999997,0.44,0.5640000000000001,0.0,0.48,0.7649999999999999,0.0,0.49,0.6333333333333334,1.16,2.12,1.2999999999999998,1.6600000000000001,3.4699999999999998,0.44,2.8200000000000003,0.0,0.48,1.5299999999999998,0.0,0.98,1.9000000000000001,27.78,38.1,1353.8899999999958,648.2000000000007,705.6900000000005,1.0,1.4142135623730951,2.8284271247461903,0.0,1.0,2.23606797749979,1.4142135623730951,1.7320508075688772,2.23606797749979,2.0,0.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.0,-0.3588,-2.95,-0.64,-6.4,-18.0,-97.2,2.52,-90.78,87.24,-1.02,0.010214,-1.46,19.2,8.6,-10.6,82.446,0.4,5.6,9.8,0.64,7.1,1.22,-168.8,-0.11733884,-0.5,-10.421495,-15.14,-23.096999999999998,-34.51,-29.52,-3234.11,-6.49,-1.48,-59.74,-21.01,-1159.99,-708.17,0.0,0.0,0.0,0.0,0.0,-40.0189,-67.3172,0.00047400000000000003,-10.147,5.322,-46.799,-9.506,-58.614,-2.474,-1.361,0.0,-221.99,34.42,-328.16,-80.42,-188.699,26.8974006069,-3.1439999999999997,3.19,2.13,-0.03543,218.9,-2433.0,13.85,7.441,-2221.0,-2.508,2.043,-1.47,1.7009999999999998,49.52,-337.2,-0.4765,0.604,-286.6,-4241.4021729999995,-4296.771944,486.06,-1169.65,1655.7,-0.1664,0.0,0.0,0.0,-4.489694,-4.648015,-5.2783940000000005,-7.139059,-13.0409454857,-1.88592,0.004795000000000001,39
swarm_101_12.pdb,0,0,1,5,5,2,4,3,6,0,1,1,5,5,1,0.0,0.42800000000000005,0.0,0.5549999999999999,0.54,0.29,0.415,0.49,0.7200000000000001,0.83,0.48,0.6180000000000001,0.46,0.0,0.94,0.0,1.1099999999999999,0.54,1.45,1.66,1.47,4.32,0.83,2.4,3.0900000000000007,0.46,0.0,0.94,27.93,37.5,1153.6000000000022,516.5499999999993,637.0499999999993,0.0,2.23606797749979,2.0,1.0,1.7320508075688772,2.449489742783178,0.0,1.0,2.23606797749979,1.4142135623730951,1.0,0.0,1.0,2.23606797749979,2.23606797749979,-0.1382,-2.8539999999999996,-2.94,-4.0,-11.2,-72.2,-1.12,-95.16,77.62,-1.44,-0.012036,-3.34,8.0,4.2,-10.0,24.544,4.2,8.8,11.8,-3.94,-1.72,6.84,-158.0,-0.55921374,3.3,-7.8933029999999995,-8.05,-18.698,-30.81,-24.05,-2437.38,-10.09,-3.59,-23.29,4.44,-727.81,-360.94,0.0,0.0,0.0,0.0,0.0,-65.4154,-60.5219,0.000624,-19.051,15.052999999999999,-24.198,-6.417999999999999,-51.806000000000004,-2.115,-1.131,0.0,-113.6,36.14,-127.62,-29.92,-3894.275,16.9670475414,-4.217,4.118,0.7912,1.022,91.1,-2367.0,6.3229999999999995,2.6210000000000004,-2279.0,-3.432,3.6919999999999997,1.3330000000000002,-0.06492,29.48,-363.9,7.315,-2.468,-344.2,-3762.0705359999997,-3790.1717350000004,1870.51,-955.02,2825.5,-0.0584,0.0,0.0,0.0,-2.982567,-4.259519,-7.347694000000001,-11.095383,-10.352791057100001,-1.84105,0.002821,39
swarm_10_13.pdb,1,1,7,4,6,1,7,0,3,0,3,1,0,2,1,0.58,0.46,0.64,0.53,0.4628571428571428,0.31,0.43857142857142856,0.0,0.77,0.48,0.5700000000000001,0.0,0.6933333333333334,0.0,0.76,0.64,0.53,3.2399999999999998,1.8599999999999999,3.07,0.0,2.31,0.48,1.1400000000000001,0.0,2.08,0.0,0.76,28.19,37.5,1335.6699999999983,546.4900000000016,789.1700000000019,1.0,2.0,2.6457513110645907,1.0,0.0,1.7320508075688772,1.0,2.6457513110645907,2.449489742783178,1.0,1.7320508075688772,0.0,1.0,0.0,1.4142135623730951,-0.6416,-0.792,0.26,-1.4,-18.6,-134.4,0.82,-135.48,108.3,0.32,0.035176,-0.68,16.8,9.6,-13.8,79.828,-0.4,5.0,9.8,-1.78,-1.44,0.64,-207.0,-0.17548134079999997,-4.9,-8.283287,-11.6,-18.235,-35.59,-30.4,-3385.75,6.54,2.53,3.64,5.68,-723.96,-301.3,0.0,0.0,0.0,0.0,0.0,-36.0545,293.875,0.00037,-8.72,1.2009999999999998,9.042,-6.614,-56.107,-1.426,-0.36,0.0,-115.36,17.02,-430.98,-3.85,194.75599999999997,3.14344561007,-0.7821,0.7947,0.8596,0.4358,389.9,-2656.0,8.033,8.263,-2266.0,-0.4186,0.2131,-0.4444,1.064,92.56,-399.0,1.9480000000000002,1.391,-307.0,-3796.8960159999997,-3832.7355740000003,1612.47,-941.75,2554.21,0.0104,0.0,0.0,0.0,3.369133,3.0498,-2.062953,-9.025378,-8.823256334869999,2.7215,0.005459,37
swarm_102_122.pdb,2,0,2,4,5,5,14,1,5,0,1,0,0,0,0,0.42000000000000004,0.235,0.0,0.556,0.42,0.32599999999999996,0.43071428571428566,0.56,0.5680000000000001,0.0,0.0,0.0,0.46,0.0,0.0,0.0,2.7800000000000002,0.84,1.63,6.029999999999999,0.56,2.8400000000000003,0.0,0.0,0.0,0.46,0.0,0.0,27.61,37.8,1507.9700000000012,832.8300000000017,675.1499999999996,1.4142135623730951,2.0,3.7416573867739413,0.0,1.0,2.23606797749979,0.0,1.4142135623730951,2.23606797749979,2.23606797749979,1.0,0.0,0.0,0.0,0.0,-0.3708,-4.1819999999999995,-2.5,-7.2,-13.6,-96.4,3.14,-67.58,69.26,-2.54,0.027788,-5.58,22.8,8.6,-10.6,110.426,1.2,5.4,11.4,1.92,7.16,6.52,-124.2,-1.09090787,13.8,-9.640539,-8.38,-18.385,-45.4,-39.46,-2570.73,-6.43,-10.0,18.1,23.61,-846.41,-392.55,0.0,0.0,0.0,0.0,0.0,-21.7547,-44.6122,0.000373,-7.355,24.139,-57.255,11.058,-16.101,-4.261,-3.955,0.0,-121.68,184.74,-49.7,-84.82,-5371.134,21.3773608841,-2.0540000000000003,2.125,0.9803,-0.7293,99.47,-2119.0,9.972999999999999,3.907,-2025.0,-1.5530000000000002,1.067,-0.8025,1.4269999999999998,45.54,-425.6,1.4769999999999999,-0.057999999999999996,-381.6,-3688.647707,-3721.409724,1713.48,-916.78,2630.26,0.0554,0.0,0.0,0.0,-4.044416,-5.509009,-6.325983,-12.747667999999999,-8.60694091197,-2.29358,0.003462,39
swarm_103_10.pdb,7,3,5,4,5,2,9,12,4,0,1,2,3,5,3,0.4742857142857143,0.3925,0.52,0.53,0.47800000000000004,0.302,0.48777777777777787,0.505,0.765,0.6166666666666666,0.656,0.7266666666666667,0.88,0.0,0.685,1.56,1.06,2.39,1.51,4.390000000000001,6.0600000000000005,3.06,1.8499999999999999,3.2800000000000002,2.18,0.88,0.0,1.37,28.53,37.23,1730.8700000000026,908.5300000000007,822.3500000000004,2.6457513110645907,2.0,3.0,1.7320508075688772,3.4641016151377544,2.0,1.7320508075688772,2.23606797749979,2.23606797749979,1.4142135623730951,1.0,0.0,1.4142135623730951,1.7320508075688772,2.23606797749979,0.7202,-7.156000000000001,-0.28,-10.6,-16.4,-121.0,0.5,-133.96,124.34,-2.3,-0.032428,-6.44,19.2,10.4,-12.4,31.516,2.8,14.2,18.6,-2.32,3.66,9.22,-236.4,-0.7518980972,-1.1,-12.283688,-14.96,-25.263,-51.5,-42.93,-3750.23,-12.74,-18.25,10.19,25.16,-979.57,-30.73,0.0,0.0,0.0,0.0,0.0,-56.5544,323.276,0.000346,-18.493,16.288,-15.958,-3.8,19.737000000000002,-0.986,-1.361,0.0,-191.4,98.28,-410.55,-55.03,1009.3489999999999,21.9943658565,-1.2830000000000001,1.242,0.1893,0.6505,238.6,-3278.0,9.97,-14.64,-3064.0,-1.253,0.5099,-2.026,2.53,73.48,-556.6,-1.124,-0.706,-482.7,-4429.547713,-4490.502972,1950.81,-1303.22,3254.04,0.013000000000000001,0.0,0.0,0.0,-0.8100229999999999,-2.236786,-11.653732000000002,-18.314452,-17.4316492994,3.15093,0.007354,65
swarm_103_177.pdb,6,8,3,8,6,5,6,7,2,1,0,2,1,4,2,0.47666666666666674,0.34124999999999994,0.545,0.5700000000000001,0.42,0.36166666666666664,0.38000000000000006,0.5285714285714286,0.375,0.55,0.42499999999999993,0.24,0.0,0.49,0.615,4.36,2.85,1.26,2.17,2.2800000000000002,3.7,0.75,1.1,1.6999999999999997,0.24,0.0,0.49,1.23,28.53,38.04,1861.9000000000015,914.7999999999993,947.0999999999985,2.449489742783178,2.8284271247461903,2.449489742783178,1.4142135623730951,2.6457513110645907,1.4142135623730951,2.8284271247461903,1.7320508075688772,2.449489742783178,2.23606797749979,0.0,1.0,1.4142135623730951,1.0,2.0,1.5882,-1.514,2.24,-3.6,-21.0,-168.8,4.88,-144.94,145.92,1.72,0.16009,1.12,25.8,15.2,-12.4,31.074,-1.6,13.8,18.0,-5.32,8.64,-1.1,-271.8,0.974644252,-3.1,-10.810253,-16.01,-28.726,-43.75,-38.07,-4157.72,3.27,-5.0,-21.7,13.86,-1340.49,-564.8,0.0,0.0,0.0,0.0,0.0,-22.9124,390.25199999999995,0.000301,0.225,8.142999999999999,-18.005,6.567,-64.785,-3.89,-2.659,0.0,-148.62,81.81,-260.13,-140.41,-290.069,20.6875425624,-2.46,2.445,1.641,1.652,338.0,-3481.0,19.78,19.69,-3144.0,-2.6830000000000003,2.0069999999999997,-0.39299999999999996,3.46,21.99,-480.4,4.627,1.538,-461.5,-4769.219906,-4832.530632999999,2083.06,-1480.24,3563.31,-0.0604,0.0,0.0,0.0,-1.4920280000000001,-0.604627,-8.101522000000001,-15.240271,-15.3832959668,2.56882,0.002902,61
swarm_103_182.pdb,13,4,15,6,5,3,24,17,9,0,4,3,4,3,5,0.4730769230769231,0.44,0.6,0.61,0.46666666666666673,0.42400000000000004,0.46374999999999994,0.5229411764705881,0.47333333333333333,0.512,0.38666666666666666,0.72,0.6775,0.0,0.59,2.4,1.83,7.000000000000001,2.12,11.129999999999999,8.889999999999999,4.26,2.56,1.16,2.88,2.71,0.0,1.77,28.85,38.38,2933.220000000001,1565.659999999998,1367.5600000000013,3.605551275463989,2.449489742783178,4.898979485566356,2.23606797749979,4.123105625617661,3.0,2.0,3.872983346207417,2.23606797749979,1.7320508075688772,2.0,0.0,1.7320508075688772,2.0,1.7320508075688772,1.0438,-12.958,3.18,-27.8,-39.2,-301.2,7.46,-235.84,249.66,-5.32,-0.025856,-12.02,56.6,28.8,-25.2,80.196,0.2,26.8,36.6,-4.18,7.9,8.4,-445.2,0.0310095188,16.6,-16.995222000000002,-31.55,-44.74100000000001,-103.01,-76.62,-6892.76,4.66,-9.2,-84.2,-17.88,-1817.19,-475.52,0.0,0.0,0.0,0.0,0.0,-62.6368,116.415,0.000182,-18.368,21.694000000000003,-75.355,-4.21,-39.681,-4.495,-3.741,0.0,-368.01,268.38,-1043.18,-121.6,595.161,68.0551051277,-2.323,2.244,-0.3791,0.2488,412.4,-5911.0,12.92,-2.986,-5515.0,-2.523,1.74,-1.281,4.215,92.06,-920.3,3.7769999999999997,2.9130000000000003,-829.1,-6583.716647,-6707.854138000001,2900.86,-2223.88,5124.73,0.1669,0.0,0.0,0.0,3.676043,0.069844,-14.713006,-23.988791,-22.765753061599998,1.3410600000000001,0.006426,115
swarm_103_189.pdb,7,3,3,9,6,3,9,6,6,1,0,0,1,2,3,0.48857142857142855,0.33555555555555555,0.5566666666666666,0.6699999999999999,0.5233333333333333,0.275,0.4644444444444445,0.5066666666666667,0.4266666666666667,0.63,0.48,0.52,0.0,0.78,0.0,1.67,2.01,1.5699999999999998,1.6500000000000001,4.180000000000001,3.04,2.56,1.8900000000000001,0.96,0.52,0.0,0.78,0.0,28.3,37.47,1727.2099999999991,905.9300000000003,821.2699999999986,2.6457513110645907,3.0,3.0,1.7320508075688772,2.449489742783178,2.449489742783178,1.7320508075688772,1.7320508075688772,2.449489742783178,1.7320508075688772,0.0,1.0,0.0,1.0,1.4142135623730951,3.8162,-1.876,3.82,-6.8,-12.0,-114.8,5.44,-101.78,113.06,-1.0,0.030774,-3.72,31.0,20.6,-5.0,47.832,6.8,18.2,26.6,5.58,6.52,7.74,-195.8,0.8612862746,5.7,-10.827928,-12.67,-22.752,-45.86,-36.24,-1764.12,-15.2,-11.34,-20.29,7.53,-1112.1,-349.4,0.0,0.0,0.0,0.0,0.0,-28.4015,120.235,0.00037999999999999997,-3.307,12.179,-45.315,4.34,-52.482,-5.723,-4.726,0.0,-209.93,132.04,-326.86,-27.74,802.13,47.620455056400004,-2.399,2.359,0.7403,0.8608,233.2,-3314.0,13.3,-3.012,-3097.0,-1.166,0.8874,-0.589,1.71,91.41,-529.4,4.165,-3.95,-446.1,-4219.52633,-4271.072066,2201.76,-1144.29,3346.04,-0.0879,0.0,0.0,0.0,-0.299606,-4.03196,-3.103783,-12.011369,-15.130735163699999,-1.11405,0.004627,59
swarm_103_190.pdb,8,2,6,8,5,2,8,3,5,0,1,0,1,2,0,0.48375,0.42750000000000005,0.5700000000000001,0.55,0.465,0.294,0.42999999999999994,0.55,0.47800000000000004,0.0,0.475,0.7,0.88,0.0,0.0,1.1400000000000001,1.1,2.79,1.47,3.4399999999999995,1.6500000000000001,2.39,0.0,0.95,0.7,0.88,0.0,0.0,28.07,37.43,1513.7099999999991,723.2000000000025,790.5,2.8284271247461903,2.8284271247461903,2.8284271247461903,0.0,1.7320508075688772,2.23606797749979,1.4142135623730951,2.449489742783178,2.23606797749979,1.4142135623730951,1.0,0.0,0.0,1.0,1.4142135623730951,3.6176,8.312000000000001,7.44,2.2,-4.8,-79.8,6.42,-92.08,106.38,3.06,0.08425,8.2,29.2,22.6,2.6,65.884,10.4,23.2,28.0,5.86,17.22,16.1,-172.8,1.446610994,9.6,-6.645267,-11.27,-20.973000000000003,-45.71,-39.89,-2665.79,-11.92,2.95,4.17,17.33,-876.42,-405.47,0.0,0.0,0.0,0.0,0.0,-38.3028,-2.82837,0.00040899999999999997,-14.245999999999999,14.388,-29.045,-2.762,10.662,-4.539,-4.742,0.0,-56.67,178.75,-140.39,11.32,388.767,36.170186437699996,-2.371,2.391,1.548,0.5248,174.0,-2969.0,15.72,7.537000000000001,-2803.0,-1.403,1.081,-0.8212,1.288,29.67,-412.7,1.5290000000000001,-2.845,-387.4,-4010.862603,-4062.3773509999996,3145.42,-1037.15,4182.57,0.0432,0.0,0.0,0.0,2.876121,-3.119313,-5.238642,-15.586232,-10.5788515888,-0.770319,0.002667,51
