Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_26.pdb,5,0,4,6,6,0,11,2,6,0,2,1,0,2,3,0.39,0.4716666666666667,0.0,0.0,0.45999999999999996,0.4183333333333334,0.45818181818181825,0.495,0.4133333333333333,0.34,0.48,0.0,0.565,0.0,0.53,0.0,0.0,1.8399999999999999,2.5100000000000002,5.040000000000001,0.99,2.4799999999999995,1.02,0.96,0.0,1.13,0.0,0.53,21.2,44.1,1510.420000000002,744.8000000000011,765.6200000000008,2.23606797749979,2.449489742783178,3.3166247903554,1.7320508075688772,1.4142135623730951,2.449489742783178,0.0,2.0,2.449489742783178,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,2.9004,-3.0380000000000003,2.74,-9.2,-13.6,-138.6,5.84,-111.16,125.74,-2.4,0.111852,-5.1,36.2,19.2,-8.6,63.716,10.8,20.2,23.0,4.66,9.3,-1.2,-215.2,1.21956712,11.3,-8.345921,-12.12,-20.63,-35.63,-30.35,-2460.85,13.15,19.46,32.9,9.43,-857.21,-380.02,0.0,0.0,0.0,0.0,0.0,-26.8278,11.1127,0.00040300000000000004,2.6910000000000003,16.136,-33.089,15.517999999999999,-8.061,-5.7010000000000005,-5.547999999999999,0.0,-79.51,129.97,-279.18,-44.98,274.598,16.7834320875,-2.792,2.667,-0.4849,0.4088,93.33,-2933.0,-0.4535,2.62,-2837.0,-1.629,1.222,0.06447,2.573,26.0,-412.1,7.071000000000001,1.571,-391.6,-3782.935462,-3822.780033,1628.17,-1045.07,2673.24,-0.0504,0.0,0.0,0.0,-1.8334080000000001,-4.296985,-5.4803690000000005,-12.121623,-11.4040469235,17.0664,0.003542,48
swarm_100_131.pdb,4,1,9,1,15,2,4,2,2,0,1,0,2,8,1,0.475,0.44,0.52,0.565,0.48444444444444446,0.3653333333333334,0.5025,0.485,0.395,0.44,0.34875,0.6000000000000001,0.58,0.0,0.0,0.52,1.13,4.36,5.480000000000001,2.01,0.97,0.79,0.44,2.79,1.2000000000000002,0.58,0.0,0.0,21.53,43.07,1581.1100000000006,698.5900000000001,882.5200000000004,2.0,1.0,2.0,1.0,1.4142135623730951,1.4142135623730951,1.0,3.0,3.872983346207417,1.4142135623730951,1.0,0.0,0.0,1.4142135623730951,2.8284271247461903,6.184,7.192,12.32,4.8,4.6,-157.2,9.52,-147.84,162.94,5.1,-0.06563200000000001,8.62,35.4,28.2,4.0,20.884,28.6,36.8,40.0,3.22,5.58,14.54,-245.4,1.9469043491999998,10.5,-7.599701,-20.01,-27.298000000000002,-39.93,-34.42,-2837.03,30.89,3.41,-26.06,-5.96,-876.01,-354.78,0.0,0.0,0.0,0.0,0.0,-45.3082,190.387,0.00035800000000000003,-3.154,6.803999999999999,-42.132,-0.563,-38.55,-6.7,-5.968,0.0,-157.69,49.59,-557.85,92.01,-247.233,14.3452561451,-1.3090000000000002,1.222,-0.8056,-0.07015,15.42,-3916.0,-0.08904,-6.407,-3907.0,0.10800000000000001,0.04554,0.6659999999999999,-0.2271,73.06,-428.8,7.075,-1.986,-364.8,-4536.257841,-4587.388956000001,1233.42,-1350.58,2584.0,-0.1028,0.0,0.0,0.0,6.295058,8.867455999999999,1.279518,-8.610074000000001,-12.3388158845,17.3533,0.00825,52
swarm_100_137.pdb,3,1,9,5,2,0,2,1,3,0,5,0,0,5,0,0.49666666666666665,0.446,0.64,0.0,0.43222222222222223,0.245,0.45499999999999996,0.56,0.3933333333333333,0.0,0.476,0.0,0.5660000000000001,0.0,0.0,0.64,0.0,3.89,0.49,0.9099999999999999,0.56,1.18,0.0,2.38,0.0,2.83,0.0,0.0,21.36,43.45,1073.0400000000009,422.0500000000011,650.9899999999998,1.7320508075688772,2.23606797749979,1.4142135623730951,0.0,1.0,1.7320508075688772,1.0,3.0,1.4142135623730951,0.0,2.23606797749979,0.0,0.0,0.0,2.23606797749979,1.4506,-1.3719999999999999,0.74,-2.0,-5.2,-100.8,0.14,-114.88,103.04,0.08,0.021134,-1.34,10.0,8.4,-2.8,-8.262,10.8,18.4,16.6,-4.1,1.02,0.92,-181.2,-0.12561944,0.5,-4.837944,-10.4,-19.494,-30.46,-29.17,-1546.13,14.07,5.1,27.35,8.58,-576.24,-104.37,0.0,0.0,0.0,0.0,0.0,-21.4507,344.088,0.000659,0.22699999999999998,1.064,-19.851,-0.6940000000000001,-24.381,-4.1160000000000005,-3.653,0.0,-35.38,5.01,-231.62,34.08,580.154,17.0050944821,-2.1959999999999997,2.06,-1.242,0.014819999999999998,457.6,-3731.0,-3.4539999999999997,4.439,-3266.0,-1.12,1.0390000000000001,-0.6843,-0.6306,60.54,-306.9,1.844,-0.29600000000000004,-248.5,-3609.2946439999996,-3624.152567,1103.63,-967.24,2070.85,-0.0911,0.0,0.0,0.0,1.6389029999999998,0.916782,4.019891,-6.902127,-8.457242798069998,15.8686,0.012417000000000001,36
swarm_100_175.pdb,2,0,3,2,11,1,5,2,5,0,5,0,1,10,1,0.45999999999999996,0.475,0.0,0.56,0.4366666666666667,0.38272727272727275,0.518,0.485,0.4720000000000001,0.34,0.43200000000000005,0.53,0.566,0.0,0.0,0.0,0.56,1.31,4.21,2.59,0.97,2.3600000000000003,0.34,4.32,0.53,2.8299999999999996,0.0,0.0,21.48,43.21,1420.0800000000017,645.0,775.0799999999999,1.4142135623730951,1.4142135623730951,2.23606797749979,1.0,1.4142135623730951,2.23606797749979,0.0,1.7320508075688772,3.3166247903554,1.0,2.23606797749979,0.0,0.0,1.0,3.1622776601683795,3.1982,7.8020000000000005,2.26,-1.2,-4.0,-141.6,-0.56,-156.42,141.24,0.94,0.010218000000000001,-2.04,14.0,10.8,-9.0,6.167999999999999,17.2,30.8,30.0,-1.92,2.88,11.42,-249.4,-0.8520974040000001,0.9,-8.221648,-15.28,-21.423000000000002,-36.94,-31.19,-2235.59,-29.73,5.31,-45.96,-12.74,-707.62,-209.67,0.0,0.0,0.0,0.0,0.0,-36.0422,201.59900000000002,0.000505,-0.152,6.191,-46.324,1.4069999999999998,-78.593,-5.395,-3.9019999999999997,0.0,-135.54,11.92,-292.01,55.54,844.419,9.3696198279,-0.2387,0.0555,-1.9280000000000002,0.8782,389.7,-3732.0,-6.4910000000000005,-8.423,-3344.0,0.07332999999999999,-0.059160000000000004,0.8464,1.284,127.3,-496.4,7.482,-1.854,-378.4,-3880.4638159999995,-3902.345097,1484.63,-1058.92,2543.55,-0.1976,0.0,0.0,0.0,1.5375780000000001,3.1135450000000002,-1.665011,-12.348274,-10.8700059401,16.5698,0.0034579999999999997,48
swarm_100_30.pdb,5,1,4,3,7,2,8,0,5,0,6,1,0,3,1,0.43599999999999994,0.27666666666666667,0.52,0.525,0.4275,0.2857142857142857,0.47875,0.0,0.58,0.51,0.49666666666666665,0.0,0.6216666666666667,0.0,0.9,0.52,1.05,1.71,1.9999999999999998,3.83,0.0,2.9,0.51,1.49,0.0,3.73,0.0,0.9,21.31,43.1,1189.1699999999983,586.6999999999989,602.4699999999993,2.23606797749979,1.7320508075688772,2.8284271247461903,1.0,0.0,2.23606797749979,1.0,2.0,2.6457513110645907,1.4142135623730951,2.449489742783178,0.0,1.0,0.0,1.7320508075688772,2.7252,-3.2,1.7,-2.4,-6.0,-118.2,1.34,-132.08,124.1,-1.46,-0.006504,-2.08,24.8,15.0,-3.4,75.562,21.0,29.0,30.2,-1.42,7.28,-0.86,-200.2,-1.1730867776,9.3,-6.480142,-12.13,-20.419,-34.29,-34.09,-2630.64,1.18,9.85,25.33,22.22,-586.3,256.34,0.0,0.0,0.0,0.0,0.0,-5.89015,786.533,0.000594,-2.9219999999999997,13.213,25.756999999999998,12.867,-45.17,-2.7560000000000002,-1.8980000000000001,0.0,-34.05,141.37,-386.78,178.44,802.177,17.9200521105,-2.478,2.529,0.8593,-0.6169,235.2,-3411.0,10.83,1.489,-3185.0,-1.1059999999999999,1.595,2.037,0.1598,75.4,-408.2,11.32,-0.977,-345.1,-3818.442776,-3866.890572,1439.62,-1063.85,2503.47,-0.0339,0.0,0.0,0.0,-2.52572,-6.092336,-0.044944,-13.028561999999999,-7.95548835255,19.0479,0.008217,46
swarm_100_59.pdb,3,3,10,4,9,0,10,3,4,0,10,2,0,8,0,0.48333333333333334,0.3425,0.5933333333333333,0.0,0.47000000000000003,0.44999999999999996,0.45600000000000007,0.5066666666666667,0.5925,0.0,0.38125,0.0,0.6440000000000001,0.0,0.735,1.7799999999999998,0.0,4.7,4.05,4.5600000000000005,1.52,2.37,0.0,3.05,0.0,6.440000000000001,0.0,1.47,21.41,43.07,1645.9599999999991,773.3600000000006,872.5999999999985,1.7320508075688772,2.0,3.1622776601683795,0.0,1.7320508075688772,2.0,1.7320508075688772,3.1622776601683795,3.0,0.0,3.1622776601683795,0.0,1.4142135623730951,0.0,2.8284271247461903,2.8080000000000003,3.9139999999999997,1.32,-3.8,-8.0,-201.2,1.96,-201.94,193.1,-1.5,-0.103626,-3.26,21.2,15.6,-11.6,19.826,28.2,41.4,41.4,-1.1,5.08,4.54,-315.2,-0.299592234,0.6,-7.630533,-19.04,-27.971,-60.18,-47.56,-4969.08,-9.66,-7.31,-34.17,-11.28,-804.16,48.28,0.0,0.0,0.0,0.0,0.0,-59.6686,507.49,0.000496,-10.605,8.869,8.704,-0.865,-45.11600000000001,-3.935,-3.0780000000000003,0.0,-190.35,-12.76,-643.48,23.81,576.437,22.062993168800002,-1.705,1.587,-0.9276,0.3589,621.5,-4734.0,0.1388,-9.408,-4122.0,-1.409,1.276,-0.2444,1.0290000000000001,139.6,-613.3,6.212000000000001,-3.0239999999999996,-482.9,-4591.3993789999995,-4631.058234,1031.46,-1421.18,2452.66,-0.1616,0.0,0.0,0.0,-1.486544,-4.639657,2.200252,-11.431473,-15.354624071,17.3716,0.006182,66
swarm_101_8.pdb,1,1,7,0,5,2,11,5,3,0,2,1,1,2,0,0.73,0.0,0.52,0.44000000000000006,0.47428571428571425,0.332,0.4772727272727273,0.506,0.5,0.0,0.35,0.6,0.5800000000000001,0.0,0.57,0.52,0.8800000000000001,3.32,1.6600000000000001,5.25,2.5300000000000002,1.5,0.0,0.7,0.6,1.1600000000000001,0.0,0.57,21.43,43.35,1162.7700000000004,526.2199999999993,636.5600000000013,1.0,0.0,3.3166247903554,0.0,2.23606797749979,1.7320508075688772,1.0,2.6457513110645907,2.23606797749979,1.4142135623730951,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,1.7882,-5.256,2.96,-5.8,-3.4,-144.0,4.14,-114.86,121.96,-1.76,-0.058398,-4.26,25.2,14.8,-12.6,39.996,16.0,23.8,29.4,0.62,7.5,4.42,-193.2,-1.0332196588,5.1,-7.294605000000001,-12.41,-18.433,-41.21,-32.57,-2796.17,21.52,3.48,-18.16,-7.95,-690.61,-143.64,0.0,0.0,0.0,0.0,0.0,-36.7492,128.721,0.000541,-7.22,10.925,-27.462,0.9590000000000001,-109.679,-4.346,-2.262,0.0,-110.28,134.6,-319.53,72.21,362.365,24.5709634591,-2.036,1.885,-2.001,-0.3766,-240.4,-2515.0,-8.868,-23.56,-2770.0,-0.8403,0.6578,0.4613,2.5,5.307,-336.5,7.157,-5.95,-344.3,-3548.6436049999998,-3592.761972,1566.76,-943.53,2510.29,0.0067,0.0,0.0,0.0,0.823189,-2.736316,-1.095056,-5.147808,-7.6934934675,16.3031,0.003317,41
swarm_102_103.pdb,3,1,7,13,15,5,14,3,12,0,2,3,0,2,2,0.42,0.36538461538461536,0.58,0.538,0.43857142857142856,0.33933333333333326,0.48999999999999994,0.5,0.46416666666666667,0.51,0.48,0.0,0.625,0.0,0.5866666666666667,0.58,2.6900000000000004,3.07,5.089999999999999,6.859999999999999,1.5,5.57,1.02,0.96,0.0,1.25,0.0,1.76,21.23,43.7,1967.3899999999994,1116.2199999999993,851.1700000000001,1.7320508075688772,3.605551275463989,3.7416573867739413,1.4142135623730951,1.7320508075688772,3.4641016151377544,1.0,2.6457513110645907,3.872983346207417,2.23606797749979,1.4142135623730951,0.0,1.7320508075688772,0.0,1.4142135623730951,8.3118,-9.238,13.16,-8.0,-15.6,-199.8,11.16,-230.12,259.92,-2.22,0.0545,-6.12,65.6,44.2,-7.6,126.57799999999999,50.0,66.6,73.2,-0.98,28.18,18.96,-429.8,-0.6975005459999999,29.3,-11.397567,-13.86,-27.712,-60.61,-57.19,-2582.34,19.27,-5.2,-10.09,26.48,-1308.78,-462.84,0.0,0.0,0.0,0.0,0.0,-12.6509,137.02700000000002,0.00034700000000000003,-11.808,29.033,-73.143,9.911,16.852,-11.66,-11.98,0.0,-170.64,294.61,-190.22,8.67,3137.921,34.798188599899994,-1.75,1.785,0.4985,-0.5881,274.3,-4713.0,11.46,-36.46,-4486.0,-1.7169999999999999,1.347,-1.2590000000000001,1.262,112.6,-753.9,5.257000000000001,-8.243,-654.8,-4517.102236,-4558.838272999999,3247.29,-1341.12,4588.4,0.0726,0.0,0.0,0.0,6.547305000000001,-3.8106199999999997,-1.391686,-14.767957999999998,-7.342193350880001,21.4905,0.003037,82
swarm_102_161.pdb,6,2,1,12,6,3,8,1,10,0,1,0,2,4,3,0.4950000000000001,0.36833333333333335,0.605,0.6233333333333334,0.57,0.38999999999999996,0.43875000000000003,0.56,0.5660000000000001,0.34,0.4275,0.52,0.65,0.0,0.0,1.21,1.87,0.57,2.34,3.5100000000000002,0.56,5.66,1.02,1.71,1.04,0.65,0.0,0.0,20.58,44.31,1859.079999999998,969.6499999999996,889.4300000000003,2.449489742783178,3.4641016151377544,2.8284271247461903,1.7320508075688772,1.0,3.1622776601683795,1.4142135623730951,1.0,2.449489742783178,1.7320508075688772,1.0,0.0,0.0,1.4142135623730951,2.0,6.2638,-5.6739999999999995,3.18,-9.8,-14.2,-135.2,6.1,-148.54,161.04,-3.58,0.065684,-6.96,39.6,24.6,-2.0,76.41,25.4,38.4,38.8,13.52,12.06,1.14,-280.4,-0.008285808,13.7,-4.242433999999999,-7.34,-19.471,-39.15,-35.63,-2435.02,-1.6,3.58,10.04,29.54,-680.96,471.49,0.0,0.0,0.0,0.0,0.0,46.9013,2293.46,0.000361,-18.237000000000002,21.406,38.383,7.007000000000001,-22.101,-3.94,-3.52,0.0,-82.75,158.94,-299.83,-31.23,2291.721,27.607622321100003,-3.1719999999999997,3.1719999999999997,0.6201,-0.9292,225.0,-3666.0,7.82,15.21,-3434.0,-2.6510000000000002,2.702,0.3298,1.176,76.75,-630.0,11.48,2.7319999999999998,-562.0,-3656.2691549999995,-3694.328202,2622.12,-1060.98,3683.11,-0.0501,0.0,0.0,0.0,-1.766789,-4.20104,0.524649,-12.233591,-13.920516510499999,15.8498,0.00278,59
swarm_102_16.pdb,6,3,5,7,13,0,9,1,7,0,3,3,1,4,2,0.505,0.36714285714285716,0.48666666666666664,0.0,0.38599999999999995,0.23000000000000004,0.4666666666666667,0.56,0.4042857142857143,0.51,0.4775,0.52,0.7633333333333333,0.0,0.7399999999999999,1.46,0.0,1.9299999999999997,2.9900000000000007,4.2,0.56,2.83,1.02,1.91,0.52,2.29,0.0,2.2199999999999998,21.03,43.52,1749.0699999999997,839.2299999999996,909.8400000000001,2.449489742783178,2.6457513110645907,3.0,1.4142135623730951,1.0,2.6457513110645907,1.7320508075688772,2.23606797749979,3.605551275463989,0.0,1.7320508075688772,0.0,1.7320508075688772,1.0,2.0,4.2052,1.43,4.82,-3.2,-16.4,-140.6,-0.52,-200.5,172.12,0.28,0.070448,-0.62,35.8,22.2,-8.4,92.572,22.0,35.6,38.4,-3.14,10.42,17.6,-308.4,-0.1466703356,7.6,-9.20609,-16.67,-28.969,-56.32,-52.56,-2622.04,-16.45,-7.63,37.19,29.72,-822.81,361.2,0.0,0.0,0.0,0.0,0.0,-2.14519,922.8539999999999,0.00042800000000000005,-10.804,13.613,0.07400000000000001,2.8160000000000003,2.4,-9.49,-9.535,0.0,-100.16,127.98,-248.16,44.48,2590.022,0.9688531033169999,-3.466,3.548,1.4469999999999998,-0.6217,-128.0,-4077.0,14.59,-5.896,-4226.0,-2.905,2.804,-0.2763,0.4641,-12.58,-516.8,6.157,-9.76,-545.3,-4675.605913,-4733.279348,2713.15,-1421.07,4134.22,-0.0574,0.0,0.0,0.0,2.39163,-3.253227,-7.680585000000001,-19.850125,-13.3345759394,20.0337,0.006875,64
