Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_169.pdb,6,2,7,5,20,6,17,6,20,1,2,2,2,2,0,0.4616666666666666,0.386,0.46499999999999997,0.5933333333333333,0.4271428571428571,0.35600000000000004,0.48117647058823526,0.4883333333333333,0.465,0.0,0.675,0.615,0.5449999999999999,0.9,0.9199999999999999,0.9299999999999999,3.5599999999999996,2.9899999999999998,7.120000000000001,8.18,2.9299999999999997,9.3,0.0,1.35,1.23,1.0899999999999999,0.9,1.8399999999999999,32.35,35.54,2606.5399999999972,1324.550000000001,1282.0,2.449489742783178,2.23606797749979,4.123105625617661,0.0,2.449489742783178,4.47213595499958,1.4142135623730951,2.6457513110645907,4.47213595499958,2.449489742783178,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,3.8302,5.568,13.04,-3.8,-14.8,-216.2,16.56,-174.7,203.52,3.18,0.0547,2.62,65.6,40.6,-12.6,197.43,19.4,34.8,48.8,2.84,38.84,33.42,-338.6,0.411126094,14.7,-12.0735,-17.47,-36.363,-83.05,-67.72,-4271.54,4.93,9.2,33.7,31.55,-1577.73,-80.25,0.0,0.0,0.0,0.0,0.0,23.1336,695.115,0.000206,16.375,37.139,-20.693,51.445,-136.17600000000002,-9.566,-6.978,0.0,-165.3,301.5,-176.47,-28.25,1729.381,52.5899639693,-0.9296,1.011,1.161,0.2706,190.9,-4882.0,26.31,-83.99,-4801.0,-0.2872,0.1381,1.649,2.842,56.58,-843.1,17.56,-10.62,-814.7,-6388.826105,-6476.826786,5008.48,-1951.86,6960.34,0.3141,0.0,0.0,0.0,1.213087,-8.635605,-2.4927080000000004,-12.203478,-20.4342306867,14.9834,0.004255,98
swarm_0_193.pdb,1,0,0,7,9,7,11,2,8,0,0,2,1,2,0,0.53,0.4071428571428572,0.0,0.49428571428571433,0.0,0.42555555555555563,0.5018181818181819,0.485,0.50625,0.0,0.48,0.53,0.0,0.0,0.82,0.0,3.4600000000000004,0.0,3.8300000000000005,5.520000000000001,0.97,4.05,0.0,0.96,0.53,0.0,0.0,1.64,31.66,35.59,1903.5699999999997,943.1100000000006,960.4499999999989,1.0,2.6457513110645907,3.3166247903554,0.0,1.4142135623730951,2.8284271247461903,0.0,0.0,3.0,2.6457513110645907,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,-1.047,-6.756,-2.38,-9.8,-22.6,-115.4,2.18,-101.12,95.84,-3.7,-0.031568,-6.92,15.6,1.0,-23.0,70.34,2.4,9.4,13.8,2.36,13.06,4.24,-187.6,-1.85245384,3.2,-10.346239,-11.13,-27.598000000000003,-45.4,-33.81,-2830.85,-7.94,-8.64,-7.57,-8.0,-1178.25,-594.15,0.0,0.0,0.0,0.0,0.0,0.560595,130.214,0.000307,5.686,23.838,-67.81,22.743000000000002,-36.23,-3.48,-2.792,0.0,-136.33,125.21,-61.02,-108.11,1277.66,34.065945529400004,-0.883,0.9591,1.3940000000000001,0.2063,189.2,-3141.0,16.42,-20.28,-2989.0,-1.2409999999999999,1.2819999999999998,0.797,1.0859999999999999,51.14,-518.5,7.957000000000001,-5.182,-480.5,-5400.054268,-5450.472763000001,3461.36,-1501.18,4962.54,0.1182,0.0,0.0,0.0,-1.2925280000000001,-4.085369,-2.1307169999999998,-11.028568,-12.8308471823,12.6187,0.00374,50
swarm_0_42.pdb,1,1,2,7,10,10,10,1,18,3,0,1,1,0,0,0.58,0.47714285714285715,0.61,0.5980000000000001,0.46,0.43199999999999994,0.466,0.53,0.5261111111111112,0.0,0.0,0.68,0.0,0.9,0.94,0.61,5.98,0.92,4.319999999999999,4.66,0.53,9.47,0.0,0.0,0.68,0.0,2.7,0.94,31.43,35.82,2416.2400000000016,1063.4500000000007,1352.7800000000007,1.0,2.6457513110645907,3.1622776601683795,0.0,1.0,4.242640687119285,1.0,1.4142135623730951,3.1622776601683795,3.1622776601683795,0.0,1.7320508075688772,1.0,1.0,0.0,-0.3296,-2.412,0.5,-9.6,-28.8,-160.2,8.88,-123.86,135.98,-0.16,0.062348,0.42,19.0,-6.66133814775e-16,-27.6,131.25,-2.6,8.4,15.4,1.78,18.18,9.7,-247.2,-0.505710392,-11.3,-12.555841000000001,-24.17,-37.695,-61.62,-55.82,-5144.14,-5.98,-8.99,-68.61,-29.35,-1448.15,-477.95,0.0,0.0,0.0,0.0,0.0,-42.6756,-15.09,0.000199,6.39,5.497999999999999,-57.018,6.187,-182.929,2.016,5.492000000000001,0.0,-250.58,52.4,-229.11,-357.26,1455.6670000000001,27.0469469186,-2.705,2.748,2.055,0.3128,-9.043,-2957.0,17.89,-14.67,-2998.0,-2.104,2.03,1.247,2.58,24.31,-519.4,8.913,-0.4936,-504.5,-6434.452413,-6509.119669,2568.02,-2041.7,4609.73,-0.1089,0.0,0.0,0.0,-3.5818559999999997,-6.447322,-0.508125,-3.8795589999999995,-23.6857969708,14.9519,0.0026920000000000004,65
swarm_0_61.pdb,1,3,1,7,1,9,15,1,9,0,0,0,2,2,0,0.44,0.37,0.6000000000000001,0.6388888888888888,0.42,0.58,0.4393333333333333,0.48,0.6488888888888888,0.0,0.33999999999999997,0.605,0.0,0.0,0.0,1.8000000000000003,5.75,0.42,0.58,6.59,0.48,5.84,0.0,0.6799999999999999,1.21,0.0,0.0,0.0,31.59,35.73,1955.8400000000001,1074.1400000000012,881.7000000000007,1.0,2.6457513110645907,3.872983346207417,0.0,1.0,3.0,1.7320508075688772,1.0,1.0,3.0,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,-0.23199999999999998,-5.386,-2.7,-15.0,-24.4,-113.0,2.94,-96.08,98.56,-5.24,-0.004264,-11.88,17.0,1.4,-23.0,68.14,-0.6,6.4,13.0,4.9,-0.18,9.58,-187.0,-2.240186876,-0.4,-9.742861,-15.73,-27.491,-40.66,-34.42,-4563.87,-12.02,-16.07,-6.36,-5.89,-950.09,-91.83,0.0,0.0,0.0,0.0,0.0,-52.3418,-29.4709,0.000271,-6.632999999999999,14.457,-55.224,2.302,-15.338,-0.27899999999999997,0.012,0.0,-170.92,144.25,-261.69,-179.86,876.073,29.5979608479,-1.443,1.48,1.17,-0.029089999999999998,310.3,-2902.0,11.39,0.8552,-2603.0,-1.567,0.7966,-1.24,2.8710000000000004,49.12,-497.4,-1.486,3.392,-443.4,-5354.367662,-5408.416158,2212.44,-1547.73,3760.17,0.061,0.0,0.0,0.0,-9.463509,-7.931006,-10.306764999999999,-11.965083,-13.3333792517,10.9535,0.004235,51
swarm_0_68.pdb,2,2,3,10,10,12,10,1,12,1,1,2,2,0,0,0.45499999999999996,0.55,0.5349999999999999,0.6741666666666668,0.39666666666666667,0.32700000000000007,0.4590000000000001,0.55,0.48750000000000004,0.0,0.0,0.76,0.67,0.9,0.94,1.0699999999999998,8.090000000000002,1.19,3.2700000000000005,4.590000000000001,0.55,5.8500000000000005,0.0,0.0,1.52,0.67,0.9,1.88,31.73,35.67,2279.6199999999953,1115.5000000000018,1164.1200000000008,1.4142135623730951,3.1622776601683795,3.1622776601683795,0.0,1.0,3.4641016151377544,1.4142135623730951,1.7320508075688772,3.1622776601683795,3.4641016151377544,1.0,1.0,1.4142135623730951,1.4142135623730951,0.0,-0.863,-1.09,-0.2,-6.0,-28.8,-137.8,1.34,-140.32,124.02,-0.34,0.014234,-2.08,9.4,0.4,-22.4,103.802,-4.6,4.8,8.2,-5.64,10.46,2.82,-249.2,-0.49211813600000004,-12.9,-10.618164,-16.26,-33.298,-45.86,-47.77,-4831.91,-39.49,-5.92,-52.34,-19.33,-1393.26,-459.52,0.0,0.0,0.0,0.0,0.0,-15.4686,239.815,0.000229,14.635,19.66,-64.814,27.814,-202.03,0.7979999999999999,4.636,0.0,-202.28,-8.0,-136.85,-287.54,916.916,33.3802716676,-1.652,1.703,0.7307,-0.6934,258.6,-3590.0,12.47,-16.55,-3361.0,-2.492,1.625,-2.27,2.235,28.0,-612.0,-3.59,-4.194,-584.6,-6013.359511,-6083.483968,4036.78,-1800.04,5836.8,-0.0537,0.0,0.0,0.0,-7.847142,-11.259196000000001,-6.088845,-13.858457999999999,-21.5273302427,11.3463,0.005265,68
swarm_100_194.pdb,0,4,6,6,1,4,8,5,9,0,0,0,0,0,0,0.0,0.37833333333333335,0.505,0.5499999999999999,0.49666666666666665,0.19,0.47375,0.522,0.5411111111111112,0.0,0.0,0.0,0.0,0.0,0.0,2.02,2.1999999999999997,2.98,0.19,3.79,2.6100000000000003,4.870000000000001,0.0,0.0,0.0,0.0,0.0,0.0,32.09,35.82,1346.0999999999985,686.130000000001,659.9699999999993,0.0,2.449489742783178,2.8284271247461903,0.0,2.23606797749979,3.0,2.0,2.449489742783178,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6148,-5.324,0.7,-8.4,-12.6,-105.8,3.78,-71.62,80.5,-1.94,0.026566000000000003,-3.66,18.4,8.2,-10.6,71.158,1.2,6.6,11.4,-0.56,5.98,2.2,-138.2,0.22844618,10.7,-2.661304,-6.94,-16.11,-36.21,-29.53,-2202.32,-1.63,-6.67,50.12,49.57,-577.32,635.87,0.0,0.0,0.0,0.0,0.0,58.5798,2106.89,0.00048600000000000005,4.459,8.552999999999999,47.071999999999996,17.719,-180.31,-2.495,0.9309999999999999,0.0,-9.14,142.43,-468.84,57.53,1099.823,22.9016680787,-1.633,1.594,-0.5753,-0.8841,-140.8,-2128.0,1.8130000000000002,-8.658,-2280.0,-2.161,1.744,-0.047939999999999997,2.276,-4.192,-292.6,2.061,-0.647,-299.5,-4280.950388,-4345.399902,1953.12,-1067.03,3020.15,0.4186,0.0,0.0,0.0,1.4546709999999998,2.002448,-4.5479959999999995,-9.260351,-6.05136750153,10.857999999999999,0.002744,43
swarm_10_105.pdb,4,2,1,5,7,2,11,0,2,2,1,2,3,4,2,0.505,0.396,0.4,0.565,0.57,0.32999999999999996,0.4445454545454546,0.0,0.495,0.51,0.44,0.7833333333333333,0.88,0.9,0.72,0.8,1.13,0.57,2.3099999999999996,4.890000000000001,0.0,0.99,1.02,1.76,2.35,0.88,1.8,1.44,31.59,35.95,1493.6500000000015,766.5699999999997,727.0700000000015,2.0,2.23606797749979,3.3166247903554,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.0,2.6457513110645907,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.7320508075688772,2.0,1.5764,2.602,-3.22,-1.2,-15.8,-98.0,-1.48,-121.54,100.82,-0.52,0.073048,-1.84,11.8,7.2,-11.8,41.79,5.8,12.6,12.4,-4.8,3.22,1.6,-197.2,-0.333962922,-2.8,-8.032449,-15.6,-23.590999999999998,-28.56,-25.73,-3251.42,-27.43,-6.95,-35.16,0.11,-1061.45,-416.84,0.0,0.0,0.0,0.0,0.0,-39.0615,47.7428,0.000357,-6.374,12.099,-35.248000000000005,2.2,-33.829,-2.265,-1.6219999999999999,0.0,-58.77,37.94,-441.69,-6.67,-359.12,0.404404286295,-1.419,1.335,-0.02118,0.7379,50.57,-2522.0,3.273,21.61,-2453.0,-0.9604,0.2885,-0.5241,3.063,-9.575,-326.7,0.6633,4.638,-332.3,-5111.959984,-5154.910419,1365.69,-1376.62,2742.31,-0.1321,0.0,0.0,0.0,-0.251911,-1.8982290000000002,-5.489668,-9.686169999999999,-11.0993002404,11.292,0.002708,48
swarm_10_120.pdb,3,6,4,5,7,4,8,5,2,4,4,8,4,9,3,0.4166666666666667,0.462,0.5116666666666666,0.5125,0.4425,0.38,0.4425,0.496,0.59,0.5966666666666667,0.5233333333333333,0.6150000000000001,0.6325,0.92,0.77125,3.07,2.05,1.77,2.66,3.54,2.48,1.18,1.79,4.71,2.4600000000000004,2.53,3.68,6.17,32.36,34.83,2217.9299999999967,897.4099999999999,1320.5100000000002,1.7320508075688772,2.23606797749979,2.8284271247461903,1.7320508075688772,2.23606797749979,1.4142135623730951,2.449489742783178,2.0,2.6457513110645907,2.0,2.0,2.0,2.8284271247461903,2.0,3.0,0.4216,-1.71,1.32,-0.8,-26.4,-193.4,-2.88,-235.14,182.72,1.48,-0.060462,0.68,6.0,3.2,-25.2,18.61,8.0,17.6,22.0,-11.92,-0.58,1.86,-349.0,0.0493098786,-26.0,-11.116007000000002,-25.42,-37.169000000000004,-57.8,-56.46,-6930.76,-49.45,-14.33,-27.25,7.01,-1596.95,-383.17,0.0,0.0,0.0,0.0,0.0,-102.10700000000001,-85.0534,0.000271,1.175,-9.418,-55.852,-13.828,-243.935,2.062,6.697,0.0,-141.71,-63.55,-827.82,64.29,-1223.001,11.6156503218,-2.549,2.318,-1.023,1.85,-235.2,-4041.0,3.503,12.37,-4267.0,-1.6869999999999998,1.5,0.4146,2.22,21.48,-558.2,5.109,-1.869,-543.7,-6633.067095,-6714.22335,2911.16,-2048.26,4959.42,-0.1543,0.0,0.0,0.0,-2.107243,-6.084012,-4.179519,-18.901903,-22.7952934164,11.6552,0.005079,76
swarm_10_127.pdb,5,7,10,2,5,3,10,6,4,1,8,1,2,5,2,0.48999999999999994,0.455,0.5228571428571428,0.48000000000000004,0.43999999999999995,0.40599999999999997,0.42499999999999993,0.47,0.65,0.585,0.5519999999999999,0.56,0.80875,0.9,0.7,3.6599999999999997,1.4400000000000002,4.3999999999999995,2.03,4.249999999999999,2.82,2.6,1.17,2.76,1.12,6.47,0.9,0.7,31.99,35.79,1660.859999999997,812.289999999999,848.5700000000015,2.23606797749979,1.4142135623730951,3.1622776601683795,1.4142135623730951,2.449489742783178,2.0,2.6457513110645907,3.1622776601683795,2.23606797749979,1.7320508075688772,2.8284271247461903,1.0,1.0,1.4142135623730951,2.23606797749979,-0.8374,-1.162,-0.46,-6.6,-25.8,-201.4,-1.64,-210.0,164.64,-0.66,0.033118,-3.56,24.0,12.4,-20.0,14.944,-2.8,9.0,12.2,-5.4,-1.66533453694e-16,0.16,-321.6,-1.204518192,-25.2,-8.604199000000001,-19.78,-27.901999999999997,-58.76,-54.03,-6667.34,-19.47,-28.17,-9.78,15.97,-1239.24,-33.11,0.0,0.0,0.0,0.0,0.0,-96.8851,344.971,0.000401,-8.525,10.825,19.412,4.242,-123.773,-1.8780000000000001,0.473,0.0,-79.59,-30.32,-829.22,41.62,14.6,-4.43501422554,-2.323,2.002,-1.989,1.585,-220.8,-3258.0,-6.835,-2.9210000000000003,-3475.0,-2.253,1.712,-1.574,1.099,-47.66,-540.5,-2.04,-8.577,-594.7,-5658.237624,-5743.148604,2368.96,-1593.34,3962.3,-0.1901,0.0,0.0,0.0,-4.841501,-4.7507589999999995,-8.334805000000001,-24.689633999999998,-17.511381271199998,21.9551,0.003437,71
swarm_102_119.pdb,6,2,1,3,3,3,10,4,6,0,1,1,0,4,0,0.5066666666666667,0.3966666666666667,0.56,0.6766666666666667,0.53,0.33,0.44800000000000006,0.5125,0.5066666666666667,0.0,0.5075000000000001,0.0,0.83,0.0,0.57,1.12,2.0300000000000002,0.53,0.9900000000000001,4.48,2.05,3.04,0.0,2.0300000000000002,0.0,0.83,0.0,0.57,31.88,35.37,1662.4399999999987,884.3400000000001,778.1100000000006,2.449489742783178,1.7320508075688772,3.1622776601683795,0.0,2.0,2.449489742783178,1.4142135623730951,1.0,1.7320508075688772,1.7320508075688772,1.0,0.0,1.0,0.0,2.0,-0.2048,-4.112,-1.62,-9.0,-19.4,-117.4,3.3,-96.78,99.04,-2.48,-0.04696,-3.78,22.6,10.4,-12.0,48.746,0.2,8.2,13.4,-3.42,5.2,3.58,-181.2,-0.3962977928,3.1,-5.983509,-10.7,-23.541,-39.37,-26.13,-3020.72,-24.26,-16.24,-13.3,16.16,-978.24,-298.87,0.0,0.0,0.0,0.0,0.0,-33.6724,40.6176,0.000364,-6.272,16.262999999999998,-37.027,6.287999999999999,-121.581,0.003,2.313,0.0,-120.71,153.43,-193.2,-102.23,666.0310000000001,15.3405657573,-1.4069999999999998,1.3230000000000002,-0.3349,0.3726,-43.1,-2328.0,1.541,11.04,-2362.0,-1.4969999999999999,0.8839,-1.305,3.06,7.504,-386.1,-0.6822,1.114,-376.8,-4992.671747,-5041.152725999999,3090.34,-1229.17,4319.52,0.1263,0.0,0.0,0.0,-5.1027,-4.757480999999999,0.080193,-2.6230990000000003,-10.0254204023,17.7173,0.004318,44
