Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_151.pdb,11,2,5,1,8,3,5,1,8,0,4,3,1,12,2,0.3909090909090909,0.29,0.45,0.28,0.446,0.27125,0.466,0.53,0.48,0.42500000000000004,0.44999999999999996,0.65,0.5900000000000001,0.0,0.6866666666666666,0.9,0.8400000000000001,2.23,2.17,2.33,0.53,3.84,0.8500000000000001,5.3999999999999995,0.65,2.3600000000000003,0.0,2.06,25.78,45.31,1754.0800000000017,808.3500000000004,945.7299999999996,3.3166247903554,1.0,2.23606797749979,1.4142135623730951,1.0,2.8284271247461903,1.4142135623730951,2.23606797749979,2.8284271247461903,1.7320508075688772,2.0,0.0,1.7320508075688772,1.0,3.4641016151377544,9.0638,8.72,9.84,2.0,0.4,-143.4,4.56,-215.2,209.74,2.52,-0.05322999999999999,4.14,42.2,33.4,6.6,117.52,49.6,64.4,60.6,7.6,17.3,11.76,-348.2,1.4401996519999998,15.6,-5.29379,-16.26,-27.816999999999997,-37.56,-37.7,-1136.6,9.01,-7.81,32.97,36.63,-1133.52,170.99,0.0,0.0,0.0,0.0,0.0,-8.60763,1016.3,0.00042800000000000005,-6.271,10.495,17.416,5.965,3.627,-8.594,-8.663,0.0,-42.55,145.89,-528.9,200.35,3601.0040000000004,48.0440222695,-4.457,4.313,0.8069,0.4875,30.16,-4682.0,10.91,2.349,-4661.0,-2.24,2.5869999999999997,2.126,0.3787,71.13,-594.3,13.77,-4.26,-541.2,-5162.366505,-5228.835395,4014.64,-1472.13,5486.76,0.0436,0.0,0.0,0.0,0.791745,-0.606954,-6.998651,-24.895986999999998,-8.05096195895,9.96739,0.010121,66
swarm_0_186.pdb,11,3,6,13,18,3,13,1,9,0,2,6,0,10,3,0.40090909090909094,0.3584615384615385,0.5333333333333333,0.28,0.4266666666666667,0.28666666666666674,0.4761538461538462,0.48,0.5477777777777777,0.45333333333333337,0.4499999999999999,0.0,0.52,0.0,0.7033333333333333,1.6,0.8400000000000001,2.56,5.160000000000001,6.19,0.48,4.93,1.36,4.499999999999999,0.0,1.04,0.0,4.22,24.93,45.93,2330.0099999999984,1099.6899999999987,1230.3099999999995,3.3166247903554,3.605551275463989,3.605551275463989,1.7320508075688772,1.0,3.0,1.7320508075688772,2.449489742783178,4.242640687119285,1.7320508075688772,1.4142135623730951,0.0,2.449489742783178,0.0,3.1622776601683795,11.7696,6.942,11.42,-4.4,-8.6,-193.8,9.48,-236.5,253.04,-0.48,-0.06051,0.78,66.6,40.6,0.4,144.822,48.4,68.8,75.6,14.14,37.2,23.48,-409.8,1.4392060102000002,28.1,-1.602292,-14.11,-31.44,-67.54,-52.99,-3045.84,20.45,11.05,124.16,118.18,-1009.15,1368.59,0.0,0.0,0.0,0.0,0.0,18.7397,3022.27,0.000246,-25.375999999999998,13.625,114.91,-0.26,-19.473,-14.630999999999998,-14.261,0.0,-1.04,228.68,-793.51,321.0,4239.778,65.11337462729999,-4.736000000000001,4.825,1.54,-1.242,25.36,-5884.0,23.12,-27.75,-5909.0,-2.906,3.053,-0.01847,-0.8575,50.56,-799.9,10.05,-13.51,-772.9,-5638.486339,-5730.279065,4188.26,-1742.0,5930.26,0.2,0.0,0.0,0.0,1.0583690000000001,-13.203593,-11.325548,-31.686283000000003,-15.717253080999999,12.0407,0.010378,98
swarm_0_1.pdb,2,0,1,3,2,11,4,4,5,4,0,4,3,1,0,0.485,0.3566666666666667,0.0,0.5736363636363637,0.39,0.425,0.4675,0.49,0.418,0.0,0.48,0.5666666666666668,0.0,0.895,0.6325000000000001,0.0,6.3100000000000005,0.39,0.85,1.87,1.96,2.09,0.0,0.48,1.7000000000000002,0.0,3.58,2.5300000000000002,25.13,46.11,1526.9900000000016,789.4499999999989,737.539999999999,1.4142135623730951,1.7320508075688772,2.0,0.0,2.0,2.23606797749979,0.0,1.0,1.4142135623730951,3.3166247903554,0.0,2.0,2.0,1.7320508075688772,1.0,0.1228,4.803999999999999,-0.8,-7.4,-18.8,-99.8,0.3,-88.48,82.18,-1.64,0.289452,-3.46,9.8,-2.22044604925e-16,-15.8,63.258,-1.4,5.4,8.8,-1.9,-0.48,1.62,-149.0,-0.39314067280000004,-9.3,-10.103069,-13.28,-25.316999999999997,-34.55,-29.8,-2697.47,-3.67,-8.38,-8.92,6.02,-1129.1,-552.16,0.0,0.0,0.0,0.0,0.0,-32.4551,165.52,0.000349,8.175,0.75,-22.151,6.71,-321.903,-0.536,5.58,0.0,-83.95,44.46,-256.08,-189.99,-3952.742,-8.3634024139,-3.1210000000000004,3.0860000000000003,-0.508,-1.66,-201.6,-2398.0,0.7204,19.62,-2581.0,-2.044,1.443,-1.87,1.601,-34.65,-398.6,-1.037,-1.2830000000000001,-433.5,-4815.085077000001,-4852.487081,2495.4,-1361.99,3857.39,-0.0395,0.0,0.0,0.0,-0.216917,-3.640026,0.6857,-7.193828999999999,-11.856966672,13.0019,0.006659,44
swarm_0_22.pdb,10,5,6,12,15,2,16,0,7,0,5,5,1,12,4,0.36,0.3691666666666667,0.508,0.28,0.4566666666666667,0.2873333333333334,0.5093749999999999,0.0,0.5642857142857143,0.425,0.4616666666666667,0.65,0.5780000000000001,0.0,0.7,2.54,0.56,2.74,4.3100000000000005,8.149999999999999,0.0,3.95,1.7,5.540000000000001,0.65,2.89,0.0,3.5,25.65,45.81,2227.760000000002,1045.9300000000003,1181.8400000000001,3.1622776601683795,3.4641016151377544,4.0,2.0,0.0,2.6457513110645907,2.23606797749979,2.449489742783178,3.872983346207417,1.4142135623730951,2.23606797749979,0.0,2.23606797749979,1.0,3.4641016151377544,10.741,3.78,11.18,-5.8,-10.0,-220.8,9.44,-273.6,285.54,0.02,-0.000516,0.46,64.4,40.8,-2.4,162.71,53.0,73.6,77.8,8.7,17.52,20.32,-477.6,1.7434984072,24.2,-6.670795,-20.83,-33.178000000000004,-75.83,-51.58,-2715.35,33.11,3.85,11.07,24.07,-1155.77,660.01,0.0,0.0,0.0,0.0,0.0,-65.14399999999999,1222.29,0.00025,-23.984,13.754000000000001,34.96,-6.735,1.9409999999999998,-13.23,-13.267000000000001,0.0,-125.18,214.03,-651.2,299.88,3379.039,59.7926063766,-4.652,4.709,1.8090000000000002,-1.26,342.6,-5929.0,24.82,11.96,-5599.0,-3.0380000000000003,3.1830000000000003,0.9025,0.6452,103.2,-775.4,13.65,-0.07400000000000001,-685.9,-5750.440223,-5829.547242000001,4202.98,-1722.81,5925.8,0.2721,0.0,0.0,0.0,0.21479600000000001,-6.799987,-10.183254,-33.127751,-13.637572193599999,14.2786,0.010329999999999999,100
swarm_0_57.pdb,2,3,1,0,5,15,10,5,8,1,0,3,2,0,0,0.48,0.0,0.5466666666666667,0.58,0.39,0.29000000000000004,0.47800000000000004,0.502,0.5112500000000001,0.0,0.0,0.525,0.0,0.9,0.7233333333333333,1.6400000000000001,8.7,0.39,1.4500000000000002,4.78,2.51,4.090000000000001,0.0,0.0,1.05,0.0,0.9,2.17,25.07,46.48,1799.2799999999988,862.6200000000008,936.6600000000017,1.4142135623730951,0.0,3.1622776601683795,0.0,2.23606797749979,2.8284271247461903,1.7320508075688772,1.0,2.23606797749979,3.872983346207417,0.0,1.0,1.7320508075688772,1.4142135623730951,0.0,-0.5466,0.8240000000000001,-1.56,-12.0,-22.8,-129.6,2.2,-102.14,103.96,-3.1,-0.018724,-3.62,13.8,-0.8,-22.0,130.298,-2.2,8.0,12.6,-3.58,0.78,3.9,-182.2,-0.7766431688,-5.1,-7.7950919999999995,-12.92,-25.125999999999998,-61.28,-57.56,-2683.22,-27.85,-10.9,-30.65,-26.61,-1148.93,-397.35,0.0,0.0,0.0,0.0,0.0,-23.7522,119.54,0.000294,2.359,-3.505,-19.253,-3.071,-451.005,-0.802,7.767,0.0,-155.91,125.77,-184.48,-204.87,-2026.108,2.15386729152,-3.091,3.0439999999999996,-1.0,-2.057,-238.1,-2519.0,-2.8760000000000003,11.94,-2742.0,-2.8710000000000004,2.075,-2.5069999999999997,2.329,-32.44,-469.8,-1.5830000000000002,0.6579999999999999,-500.0,-4782.449702,-4824.518996,2634.74,-1359.26,3994.0,-0.16399999999999998,0.0,0.0,0.0,-2.419616,-9.55585,-5.128253,-14.505856,-15.558516656199998,15.5948,0.005273,55
swarm_0_58.pdb,12,3,10,11,18,2,14,1,14,0,2,3,0,9,2,0.405,0.3627272727272728,0.5866666666666667,0.28,0.40800000000000003,0.29055555555555557,0.47714285714285715,0.48,0.5371428571428571,0.51,0.45333333333333325,0.0,0.52,0.0,0.7600000000000001,1.76,0.56,4.08,5.23,6.68,0.48,7.52,1.02,4.079999999999999,0.0,1.04,0.0,2.2800000000000002,25.26,45.26,2581.869999999999,1201.6900000000005,1380.1800000000003,3.4641016151377544,3.3166247903554,3.7416573867739413,1.4142135623730951,1.0,3.7416573867739413,1.7320508075688772,3.1622776601683795,4.242640687119285,1.4142135623730951,1.4142135623730951,0.0,1.7320508075688772,0.0,3.0,12.470999999999998,4.548,13.0,-1.2,-4.4,-210.2,10.82,-253.2,270.6,-0.18,0.005084,-0.3,68.0,42.8,-1.2,193.562,59.0,80.4,86.6,13.22,38.14,17.3,-434.4,-0.3151393262,31.1,-8.09837,-23.15,-36.484,-76.27,-63.86,-3193.25,7.58,10.91,92.38,73.52,-1305.25,581.13,0.0,0.0,0.0,0.0,0.0,-35.8362,1510.16,0.000194,-27.011,16.564,12.523,-9.193999999999999,24.928,-13.11,-13.584000000000001,0.0,-104.56,315.27,-742.1,351.81,4398.1720000000005,69.1373688515,-4.637,4.715,1.266,-1.7280000000000002,274.3,-6483.0,21.72,-6.638999999999999,-6237.0,-2.451,2.372,-0.4824,0.1699,130.1,-851.2,9.937000000000001,-3.805,-734.8,-6195.325635,-6296.701161999999,4460.47,-1871.92,6332.41,0.0109,0.0,0.0,0.0,9.809523,0.493521,-9.188457000000001,-32.640838,-17.9986556063,16.2441,0.011248000000000001,101
swarm_100_166.pdb,1,6,1,1,5,12,13,1,4,1,1,10,7,1,0,0.49,0.52,0.5683333333333334,0.5325000000000001,0.5,0.342,0.4592307692307693,0.44,0.4275,0.0,0.41,0.6157142857142858,0.67,0.9,0.7080000000000001,3.41,6.390000000000001,0.5,1.7100000000000002,5.970000000000001,0.44,1.71,0.0,0.41,4.3100000000000005,0.67,0.9,7.080000000000001,25.13,46.34,2066.290000000001,1034.75,1031.5299999999988,1.0,1.0,3.605551275463989,0.0,1.0,2.0,2.449489742783178,1.0,2.23606797749979,3.4641016151377544,1.0,1.0,3.1622776601683795,2.6457513110645907,1.0,-3.83,0.008,-7.26,-5.8,-39.6,-164.4,-5.56,-185.8,134.92,-0.2,-0.016468,-3.56,4.2,-6.0,-27.4,90.82600000000001,-12.6,-5.0,-6.2,-6.76,-10.54,-8.08,-288.8,-1.3500453747999999,-24.2,-14.006924,-17.12,-30.111,-63.97,-58.75,-4336.64,-35.94,-20.38,-61.16,-32.21,-1449.5,-594.13,0.0,0.0,0.0,0.0,0.0,-33.2512,-124.021,0.000264,1.959,-4.369,-29.307,-5.34,-356.44300000000004,0.068,6.84,0.0,-211.58,-62.25,-475.61,-351.11,-413.25300000000004,-12.9982196375,-2.477,2.535,1.807,-0.6759999999999999,27.4,-2665.0,9.671,3.372,-2644.0,-2.356,1.5090000000000001,-3.3930000000000002,2.109,-18.73,-650.3,-3.835,-6.005,-671.2,-5226.025859,-5275.228236,1491.21,-1594.36,3085.57,-0.1339,0.0,0.0,0.0,-3.0310639999999998,-1.898691,-14.128416,-23.317577,-19.8950141818,8.35342,0.006484,64
swarm_100_177.pdb,1,1,0,1,1,12,7,1,6,1,0,2,6,0,0,0.48,0.52,0.63,0.6991666666666666,0.0,0.4,0.49714285714285716,0.55,0.6566666666666666,0.0,0.0,0.6016666666666667,0.0,0.9,0.635,0.63,8.389999999999999,0.0,0.4,3.48,0.55,3.94,0.0,0.0,3.6100000000000003,0.0,0.9,1.27,25.59,45.17,1466.2099999999991,755.8700000000008,710.3400000000001,1.0,1.0,2.6457513110645907,0.0,1.0,2.449489742783178,1.0,0.0,1.0,3.4641016151377544,0.0,1.0,1.4142135623730951,2.449489742783178,0.0,-1.6518,-1.868,-2.48,-6.8,-25.0,-90.4,-2.12,-89.12,73.86,-0.7,0.00387,-2.42,-1.6,-8.2,-20.8,44.66,-7.6,-4.6,-4.4,-3.28,-2.02,-1.2,-155.6,-0.419589592,-18.1,-9.906258,-12.83,-23.363000000000003,-46.25,-41.45,-3435.45,-46.48,-18.72,-34.21,-23.77,-1014.48,-450.65,0.0,0.0,0.0,0.0,0.0,-35.8447,-143.35399999999998,0.000509,-4.632,-6.495,-40.899,-15.217,-328.19599999999997,4.417,10.652999999999999,0.0,-142.22,44.14,-185.94,-277.58,-818.8660000000001,-2.8526628613800002,-1.673,1.671,0.0775,-0.6003,-105.1,-1781.0,1.385,10.57,-1877.0,-1.368,0.3618,-3.04,4.01,-3.842,-372.2,-3.364,-0.022000000000000002,-372.7,-4544.401617,-4575.606003,1764.6,-1270.28,3034.9,-0.1585,0.0,0.0,0.0,-3.1129279999999997,-4.307030999999999,-11.421099,-11.274466,-14.0462941754,8.8272,0.006333,39
swarm_100_188.pdb,1,4,0,3,5,13,8,0,9,2,0,6,4,1,0,0.49,0.47666666666666674,0.47750000000000004,0.6415384615384615,0.0,0.34,0.47750000000000004,0.0,0.4033333333333333,0.0,0.41,0.6000000000000001,0.0,0.9,0.7416666666666667,1.9100000000000001,8.34,0.0,1.7000000000000002,3.8200000000000003,0.0,3.63,0.0,0.41,2.4000000000000004,0.0,1.8,4.45,25.07,46.48,1779.8199999999997,850.6900000000005,929.1299999999992,1.0,1.7320508075688772,2.8284271247461903,0.0,0.0,3.0,2.0,0.0,2.23606797749979,3.605551275463989,0.0,1.4142135623730951,2.449489742783178,2.0,1.0,-1.1892,-0.958,-1.88,-9.6,-31.8,-175.8,1.98,-156.82,147.82,-0.58,-0.071096,-1.58,22.8,4.8,-23.0,162.766,-2.8,7.2,11.2,-4.36,2.04,-5.8,-278.8,0.5552931164,-10.9,-9.463055,-15.98,-29.024,-53.92,-46.99,-3635.73,-43.06,-13.06,-74.85,-32.84,-1372.71,-386.16,0.0,0.0,0.0,0.0,0.0,-17.2151,15.7796,0.000338,6.178999999999999,-5.869,-24.438000000000002,-2.133,-251.815,1.808,6.593,0.0,-150.65,69.51,-246.45,-314.47,104.167,0.328437947668,-1.224,1.268,1.22,0.1675,-31.04,-2498.0,7.797999999999999,-8.66,-2545.0,-0.9207,-0.239,-2.906,2.574,-32.1,-518.2,-2.3080000000000003,-5.405,-553.4,-5111.596079,-5148.97663,1949.74,-1562.62,3512.37,0.3444,0.0,0.0,0.0,-8.767204,-10.209315,-15.756917999999999,-24.066746,-18.177977924,9.29968,0.007536,56
swarm_100_199.pdb,6,0,5,5,8,2,10,5,15,0,2,1,0,7,1,0.4833333333333334,0.30999999999999994,0.0,0.32,0.41600000000000004,0.36375,0.47400000000000003,0.506,0.49799999999999994,0.34,0.46714285714285714,0.0,0.7,0.0,0.9,0.0,0.64,2.08,2.91,4.74,2.53,7.469999999999999,0.34,3.27,0.0,1.4,0.0,0.9,24.93,45.93,2179.4799999999996,1104.550000000001,1074.92,2.449489742783178,2.23606797749979,3.1622776601683795,1.0,2.23606797749979,3.872983346207417,0.0,2.23606797749979,2.8284271247461903,1.4142135623730951,1.4142135623730951,0.0,1.0,0.0,2.6457513110645907,6.2798,-6.018,5.84,-12.0,-13.4,-172.6,9.64,-157.42,179.06,-3.72,0.096818,-7.84,57.2,31.6,-9.2,128.836,28.2,41.0,50.0,10.34,23.44,5.62,-292.4,-0.5514272588,30.9,-8.785391,-17.28,-31.365,-51.91,-49.9,-2652.06,25.88,7.11,12.53,23.28,-1413.81,-477.06,0.0,0.0,0.0,0.0,0.0,-37.4557,178.585,0.000263,-16.52,22.226999999999997,-36.437,2.063,31.129,-8.742,-9.334,0.0,-170.04,242.82,-484.96,72.65,4456.601,35.2350243557,-3.813,3.9010000000000002,0.5751,-2.4130000000000003,474.8,-5554.0,10.7,-40.53,-5131.0,-1.883,1.935,0.6595,1.7180000000000002,102.9,-685.1,14.67,-0.8325,-597.7,-5415.9656159999995,-5483.162725,3461.19,-1542.94,5004.12,0.0591,0.0,0.0,0.0,-9.935144000000001,-10.080079,-11.923271000000002,-25.450557999999997,-9.124602098919999,17.2869,0.009821,67
