Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_102.pdb,3,3,1,2,7,7,7,3,11,0,4,4,3,0,0,0.3433333333333333,0.475,0.5333333333333333,0.4985714285714286,0.43,0.4142857142857143,0.4757142857142857,0.5233333333333333,0.6000000000000001,0.0,0.0,0.5833333333333334,0.58,0.0,0.5825,1.5999999999999999,3.49,0.43,2.9000000000000004,3.33,1.57,6.6000000000000005,0.0,0.0,1.75,2.32,0.0,2.33,31.91,35.41,1788.9700000000012,798.6100000000006,990.3600000000006,1.7320508075688772,1.4142135623730951,2.6457513110645907,0.0,1.7320508075688772,3.3166247903554,1.7320508075688772,1.0,2.6457513110645907,2.6457513110645907,2.0,0.0,2.0,1.7320508075688772,0.0,-2.94,-11.164000000000001,-6.44,-12.8,-23.8,-129.0,-0.08,-102.82,94.72,-5.34,-0.100828,-8.06,22.2,4.8,-22.4,81.172,-3.0,1.4,7.2,-3.88,-5.66,-2.1,-178.8,-1.4009078019999999,-1.6,-8.652229,-16.57,-28.948,-40.96,-38.59,-4975.25,-22.73,0.99,29.54,16.13,-1299.26,-469.78,0.0,0.0,0.0,0.0,0.0,-67.7346,415.417,0.00035499999999999996,-16.37,-2.656,-16.965999999999998,-20.723000000000003,-227.007,-0.55,3.763,0.0,-102.74,27.37,-587.85,27.23,909.565,7.259407367560001,-0.6944,0.7127,0.2231,-0.4373,-210.4,-2795.0,7.75,27.25,-2986.0,-0.5782,0.02214,0.1503,3.135,-27.91,-380.4,2.346,6.657,-404.0,-5833.583347,-5901.633168,1602.56,-1493.98,3096.53,-0.0377,0.0,0.0,0.0,-6.476806,-5.5996,-6.716410000000001,-12.227594999999999,-13.7623547474,5.555969999999999,0.003,55
swarm_0_197.pdb,8,1,3,11,2,6,9,2,9,0,0,0,4,0,3,0.53125,0.4345454545454545,0.63,0.5883333333333334,0.42,0.365,0.42111111111111105,0.53,0.5633333333333332,0.43,0.0,0.6749999999999999,0.0,0.0,0.0,0.63,3.5300000000000002,1.26,0.73,3.7899999999999996,1.06,5.069999999999999,1.29,0.0,2.6999999999999997,0.0,0.0,0.0,32.54,35.11,1858.25,1022.1599999999999,836.1000000000022,2.8284271247461903,3.3166247903554,3.0,1.7320508075688772,1.4142135623730951,3.0,1.0,1.7320508075688772,1.4142135623730951,2.449489742783178,0.0,0.0,0.0,2.0,0.0,3.5346,-4.19,2.9,-4.0,-7.4,-80.0,6.7,-80.8,100.48,-0.88,0.05108,-2.22,35.0,20.4,1.0,67.608,14.0,23.6,27.2,5.52,10.4,4.5,-174.4,-0.10257277199999999,16.2,-11.059339,-9.48,-26.997,-37.36,-23.29,-3014.92,11.75,-5.08,-21.67,12.26,-1130.3,-347.91,0.0,0.0,0.0,0.0,0.0,-30.6634,3.5691699999999997,0.000281,-4.285,29.54,-38.993,21.355999999999998,-10.799000000000001,0.386,0.591,0.0,-86.67,203.31,-257.27,49.86,1717.881,23.188961309499998,-4.309,4.173,-0.1821,1.351,-403.5,-2426.0,4.427,33.55,-2801.0,-2.798,2.577,0.9470000000000001,2.519,-45.92,-414.5,5.222,3.64,-462.0,-5464.692965,-5521.7537,2675.76,-1350.84,4026.6,-0.0264,0.0,0.0,0.0,4.711789,4.234932,-5.303268,-8.454533999999999,-11.9197299554,5.50814,0.003517,58
swarm_0_23.pdb,2,2,4,8,8,11,14,0,12,1,0,1,2,0,0,0.505,0.40625,0.58,0.5909090909090909,0.44249999999999995,0.39625,0.46571428571428575,0.0,0.5333333333333333,0.0,0.0,0.7649999999999999,0.0,0.49,0.53,1.16,6.500000000000001,1.7699999999999998,3.17,6.5200000000000005,0.0,6.4,0.0,0.0,1.5299999999999998,0.0,0.49,0.53,32.41,35.19,2275.779999999999,1187.9900000000016,1087.7900000000009,1.4142135623730951,2.8284271247461903,3.7416573867739413,0.0,0.0,3.4641016151377544,1.4142135623730951,2.0,2.8284271247461903,3.3166247903554,0.0,1.0,1.0,1.4142135623730951,0.0,0.2006,-8.982000000000001,-0.4,-12.6,-33.2,-180.8,5.1,-145.04,149.84,-2.94,-0.057932000000000004,-4.28,36.6,13.0,-22.2,143.03,-3.33066907388e-16,10.8,20.0,0.86,7.62,18.7,-270.8,-0.674523054,8.0,-13.780370999999999,-20.17,-38.205,-59.98,-37.21,-5730.86,-1.0,1.75,-27.91,-2.45,-1680.36,-720.87,0.0,0.0,0.0,0.0,0.0,-87.7806,18.7581,0.000226,-23.804000000000002,21.166999999999998,-82.027,-10.84,-68.882,-2.852,-1.5430000000000001,0.0,-267.11,175.85,-285.34,-159.37,863.1519999999999,15.834876273299999,-3.623,3.641,0.7417,-1.217,-380.0,-3434.0,13.28,11.17,-3816.0,-2.52,1.69,-1.109,3.045,-58.88,-482.4,-1.409,4.169,-535.7,-6813.977817,-6894.447833,2389.02,-1904.07,4293.1,0.1031,0.0,0.0,0.0,-3.4637629999999997,-9.322139,-6.595249000000001,-11.940108,-19.1300855333,6.10544,0.0042,65
swarm_0_5.pdb,0,0,0,12,9,6,11,1,23,0,0,0,2,0,3,0.0,0.45416666666666666,0.0,0.58,0.0,0.4677777777777778,0.4881818181818181,0.55,0.4595652173913043,0.37333333333333335,0.0,0.53,0.0,0.0,0.0,0.0,3.48,0.0,4.21,5.369999999999999,0.55,10.569999999999999,1.12,0.0,1.06,0.0,0.0,0.0,32.11,35.2,2276.810000000005,1189.4299999999967,1087.3799999999974,0.0,3.4641016151377544,3.3166247903554,1.7320508075688772,1.0,4.795831523312719,0.0,0.0,3.0,2.449489742783178,0.0,0.0,0.0,1.4142135623730951,0.0,0.1922,-5.086,-1.22,-9.4,-24.4,-145.8,5.8,-117.28,130.84,-2.78,0.092014,0.04,19.4,4.6,-23.2,113.426,-2.2,10.0,15.8,0.82,2.28,7.28,-239.2,0.316437318,18.2,-10.566587,-8.11,-33.891,-55.56,-39.21,-4368.07,-15.29,-2.72,3.58,39.04,-1333.94,-434.13,0.0,0.0,0.0,0.0,0.0,-48.0744,83.4128,0.000254,-9.162,33.781,-69.362,17.683,-105.426,-3.721,-1.7180000000000002,0.0,-149.38,224.13,35.55,-65.4,1641.9820000000002,21.468028865999997,-3.429,3.465,1.001,-1.004,-274.6,-3409.0,12.22,28.27,-3668.0,-1.79,1.3769999999999998,0.3438,3.1889999999999996,-29.96,-491.4,3.032,4.39,-520.0,-6231.26704,-6285.985731000001,5105.45,-1700.39,6805.85,0.1501,0.0,0.0,0.0,-0.891173,2.16519,7.860276,-8.652597,-15.022765946600002,8.64012,0.003597,67
swarm_100_2.pdb,1,4,0,4,8,9,7,2,13,3,0,2,6,0,1,0.55,0.4525,0.5349999999999999,0.5533333333333333,0.0,0.43374999999999997,0.47428571428571425,0.46499999999999997,0.4515384615384615,0.58,0.0,0.6516666666666667,0.0,0.9266666666666666,0.8,2.1399999999999997,4.98,0.0,3.4699999999999998,3.32,0.9299999999999999,5.869999999999999,0.58,0.0,3.9100000000000006,0.0,2.78,1.6,32.42,35.16,1967.25,904.0099999999984,1063.2200000000012,1.0,2.0,2.6457513110645907,1.0,1.4142135623730951,3.605551275463989,2.0,0.0,2.8284271247461903,3.0,0.0,1.7320508075688772,1.4142135623730951,2.449489742783178,0.0,-2.0264,-2.41,-4.14,-8.6,-30.6,-148.0,-1.94,-157.82,121.58,-2.16,0.07155399999999999,-4.54,9.2,-1.8,-25.6,70.372,-5.0,0.6,5.8,-8.16,-2.06,-3.04,-242.2,-0.6137641822,-13.1,-6.231426,-16.25,-29.456999999999997,-49.34,-46.61,-5467.76,-55.73,-11.93,-12.61,-12.68,-1069.6,355.58,0.0,0.0,0.0,0.0,0.0,-62.0411,409.038,0.00023700000000000001,-7.894,-7.9510000000000005,-16.409000000000002,-17.487000000000002,-334.499,0.555,6.9110000000000005,0.0,-122.82,29.15,-601.64,-161.61,-20462.893,4.34864140209,-2.011,1.9969999999999999,0.6232,0.3616,88.53,-3145.0,14.75,18.92,-3053.0,-1.472,0.9624,-0.9840000000000001,1.6269999999999998,43.99,-564.8,-0.3781,2.029,-518.4,-6021.2210780000005,-6089.314003,2108.25,-1512.34,3620.59,-0.105,0.0,0.0,0.0,-10.812324,-12.10265,-7.771232,-15.991239000000002,-16.9978854523,8.70782,0.003783,60
swarm_101_175.pdb,3,2,1,4,2,3,7,3,5,1,0,0,2,1,1,0.44,0.4425,0.5800000000000001,0.6666666666666666,0.53,0.565,0.4700000000000001,0.4633333333333333,0.6619999999999999,0.34,0.41,0.7649999999999999,0.0,0.9,0.0,1.1600000000000001,2.0,0.53,1.13,3.2900000000000005,1.39,3.3099999999999996,0.34,0.41,1.5299999999999998,0.0,0.9,0.0,32.3,35.21,1319.25,602.0099999999984,717.2400000000016,1.7320508075688772,2.0,2.6457513110645907,1.0,1.7320508075688772,2.23606797749979,1.4142135623730951,1.0,1.4142135623730951,1.7320508075688772,0.0,1.0,0.0,1.4142135623730951,1.0,0.7194,-4.716,-4.16,-10.2,-22.4,-100.2,-0.56,-89.76,86.26,-4.14,0.03015,-7.14,5.4,-2.2,-18.4,31.388,-0.2,5.0,3.4,1.18,2.26,-0.84,-166.6,-0.924311432,-4.5,-7.268542,-14.59,-21.862,-34.75,-34.01,-3937.61,-17.95,-8.98,-29.84,-16.75,-773.03,-46.42,0.0,0.0,0.0,0.0,0.0,-35.0408,108.711,0.000407,-10.134,-2.844,-4.546,-13.432,-281.672,1.396,6.747999999999999,0.0,-124.96,-32.01,-317.77,-173.37,-972.7719999999999,-8.39497721568,-3.945,3.7460000000000004,-2.124,-0.4944,-264.9,-1872.0,-6.006,6.452000000000001,-2125.0,-3.616,3.0210000000000004,-0.4343,2.227,-60.44,-255.0,0.5097,0.7481,-315.2,-5119.784141,-5162.276379999999,739.06,-1135.41,1874.48,-0.0217,0.0,0.0,0.0,-5.628889,-5.293872,-6.405001,-9.000053999999999,-12.2376039419,5.456119999999999,0.003057,35
swarm_10_11.pdb,5,1,1,7,4,5,8,2,7,0,1,3,3,1,3,0.53,0.41285714285714287,0.64,0.5120000000000001,0.53,0.44,0.48625,0.49,0.6471428571428571,0.37333333333333335,0.55,0.6666666666666666,0.46,0.0,0.77,0.64,2.5600000000000005,0.53,1.76,3.89,0.98,4.53,1.12,0.55,2.0,0.46,0.0,2.31,32.62,34.77,1741.8099999999977,823.8199999999997,917.9799999999996,2.23606797749979,2.6457513110645907,2.8284271247461903,1.7320508075688772,1.4142135623730951,2.6457513110645907,1.0,1.0,2.0,2.23606797749979,1.0,0.0,1.7320508075688772,1.7320508075688772,1.0,0.6216,-5.23,0.02,-6.2,-18.4,-111.6,2.16,-137.52,126.1,-1.64,0.029804,-4.66,24.4,13.8,-10.4,41.128,7.8,16.2,18.6,1.14,6.7,-7.62,-258.2,-0.614941228,-1.1,-7.004919999999999,-10.19,-25.924,-47.92,-35.7,-3669.68,11.4,-6.54,-8.35,9.6,-1023.14,-203.96,0.0,0.0,0.0,0.0,0.0,-36.7085,460.074,0.000341,-4.6339999999999995,8.026,19.169,5.31,-280.345,-0.7020000000000001,4.625,0.0,-39.63,43.49,-424.58,-65.77,150.44799999999998,11.8051321527,-3.9789999999999996,3.918,-0.09949,0.406,-206.5,-2787.0,7.8660000000000005,19.55,-2982.0,-2.097,1.649,-0.4204,1.7180000000000002,-4.2860000000000005,-409.4,0.282,-2.332,-416.3,-5456.428804,-5500.384204999999,2776.86,-1315.26,4092.11,-0.0561,0.0,0.0,0.0,-2.369032,-3.168846,-5.301014,-9.104375,-12.546434574600001,11.0788,0.001843,51
swarm_10_132.pdb,2,2,0,9,11,5,12,1,11,0,0,2,3,1,2,0.49,0.4266666666666667,0.575,0.5599999999999999,0.0,0.36727272727272736,0.48333333333333334,0.48,0.6027272727272728,0.51,0.48,0.5233333333333333,0.0,0.0,0.62,1.15,2.8,0.0,4.040000000000001,5.8,0.48,6.630000000000001,1.02,0.48,1.57,0.0,0.0,1.24,32.54,34.91,2002.8799999999974,969.4900000000016,1033.3899999999994,1.4142135623730951,3.0,3.4641016151377544,1.4142135623730951,1.0,3.3166247903554,1.4142135623730951,0.0,3.3166247903554,2.23606797749979,0.0,0.0,1.4142135623730951,1.7320508075688772,1.0,0.9798,-0.948,1.2,-6.6,-23.6,-144.4,3.22,-152.6,143.64,-1.52,0.0067540000000000005,-5.86,29.4,13.6,-15.8,103.992,8.4,17.6,22.2,1.16,6.86,-1.72,-277.2,-1.20215769,5.8,-8.962512,-13.03,-28.605999999999998,-45.01,-38.84,-3637.01,-13.97,-15.56,-45.05,-22.76,-1221.97,-345.54,0.0,0.0,0.0,0.0,0.0,-61.2127,-49.4687,0.00025499999999999996,-18.68,12.708,-54.998999999999995,-11.472000000000001,-288.978,-2.937,2.5540000000000003,0.0,-178.28,125.71,-301.65,-74.7,2334.631,13.928321233299998,-2.78,2.6919999999999997,-0.4053,0.5851,-0.2318,-3431.0,7.825,23.26,-3416.0,-1.761,1.3769999999999998,-0.5217,2.0340000000000003,17.54,-528.0,1.89,1.649,-510.7,-5833.252055,-5895.889469,2608.36,-1403.89,4012.25,-0.0315,0.0,0.0,0.0,-3.120013,-7.034342999999999,-6.192344,-18.768567,-15.922416206300001,6.16489,0.003721,61
swarm_101_59.pdb,0,1,2,2,7,15,7,0,4,1,3,1,1,2,1,0.0,0.635,0.49,0.5400000000000001,0.345,0.4357142857142858,0.45285714285714285,0.0,0.4975,0.58,0.5549999999999999,0.52,0.77,0.98,0.7,0.49,8.100000000000001,0.69,3.0500000000000003,3.17,0.0,1.99,0.58,1.1099999999999999,0.52,2.31,0.98,0.7,32.22,34.97,1695.0900000000038,706.869999999999,988.2299999999996,0.0,1.4142135623730951,2.6457513110645907,1.0,0.0,2.0,1.0,1.4142135623730951,2.6457513110645907,3.872983346207417,1.7320508075688772,1.0,1.0,1.0,1.4142135623730951,-1.2412,2.122,0.3,0.4,-23.4,-106.4,-3.22,-122.66,85.5,1.88,0.08269800000000001,1.4,1.4,-2.8,-17.4,60.91,-6.6,-2.4,-1.6,-4.08,-6.26,-11.56,-183.0,0.059582112,-20.7,-8.822536,-19.1,-30.166,-46.46,-38.96,-4243.03,-51.11,-12.09,-98.94,-51.68,-1041.16,-431.97,0.0,0.0,0.0,0.0,0.0,-29.5069,-139.627,0.000349,-3.633,-13.307,-63.61,-23.301,-345.569,2.722,9.288,0.0,-192.35,-59.74,-266.7,-226.2,-393.12300000000005,-9.05349687045,-2.119,2.065,-0.2381,-0.2872,79.22,-2651.0,3.3510000000000004,-0.2678,-2575.0,-1.216,0.8503,-0.4447,2.096,34.17,-383.3,0.8607,-0.2047,-350.2,-6024.222629,-6089.228546,1355.62,-1530.11,2885.72,-0.1048,0.0,0.0,0.0,-4.535317,-6.802546,-2.719366,-6.654839999999999,-15.6910632691,5.13748,0.00483,47
swarm_102_132.pdb,3,0,3,4,2,6,13,3,23,0,0,1,0,0,1,0.5299999999999999,0.43000000000000005,0.0,0.7149999999999999,0.3566666666666667,0.5349999999999999,0.48846153846153856,0.54,0.4504347826086956,0.34,0.0,0.0,0.0,0.0,0.72,0.0,4.289999999999999,1.07,1.0699999999999998,6.350000000000001,1.62,10.36,0.34,0.0,0.0,0.0,0.0,0.72,32.36,35.28,2088.7000000000044,1240.2400000000016,848.4599999999991,1.7320508075688772,2.0,3.605551275463989,1.0,1.7320508075688772,4.795831523312719,0.0,1.7320508075688772,1.4142135623730951,2.449489742783178,0.0,0.0,1.0,0.0,0.0,1.7114,2.944,2.32,-13.4,-28.8,-146.8,6.08,-112.28,131.82,-3.4,0.130596,-3.52,19.0,0.4,-28.0,105.162,1.4,13.0,17.0,3.1,19.64,5.72,-235.4,-0.934496894,5.1,-8.762896000000001,-12.06,-28.605,-36.5,-46.06,-2410.64,-16.16,5.74,33.99,10.04,-1092.82,-487.26,0.0,0.0,0.0,0.0,0.0,-33.3318,10.8933,0.000254,-5.102,33.613,-65.148,21.996,-34.69,-0.469,0.19,0.0,-139.73,117.13,24.66,-288.74,6458.505,26.9215008742,-2.915,2.885,-0.3724,-1.94,-191.9,-2942.0,0.4587,29.02,-3105.0,-1.746,1.256,0.7494,3.6910000000000003,-30.93,-447.3,4.725,9.054,-473.9,-5659.095086,-5717.427657,3657.72,-1388.76,5046.47,0.1156,0.0,0.0,0.0,-3.7453,-5.3883790000000005,-1.273868,-0.625594,-15.072176452,5.54229,0.003017,59
