Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_106.pdb,18,8,14,13,12,8,10,14,5,0,5,3,5,16,9,0.5055555555555556,0.36000000000000004,0.55875,0.6425,0.42714285714285716,0.3841666666666667,0.45999999999999996,0.5028571428571429,0.604,0.4666666666666667,0.515625,0.6020000000000001,0.624,0.0,0.6900000000000001,4.47,5.14,5.98,4.61,4.6,7.040000000000001,3.02,4.2,8.25,3.0100000000000002,3.12,0.0,2.0700000000000003,28.54,40.45,3456.6899999999987,1555.2600000000002,1901.4500000000007,4.242640687119285,3.605551275463989,3.1622776601683795,3.0,3.7416573867739413,2.23606797749979,2.8284271247461903,3.7416573867739413,3.4641016151377544,2.8284271247461903,2.23606797749979,0.0,1.7320508075688772,2.23606797749979,4.0,6.4322,-1.784,-0.26,-13.6,-44.0,-304.4,3.08,-342.56,326.38,-3.24,0.01765,-6.74,54.2,36.2,-22.4,50.482,23.8,47.0,51.6,4.42,16.64,10.3,-602.4,0.0211789134,-5.8,-16.351827,-32.68,-60.839,-98.64,-83.09,-9654.5,-7.63,-3.76,76.46,80.87,-2527.43,137.86,0.0,0.0,0.0,0.0,0.0,-163.372,619.779,0.000176,-28.221,9.027999999999999,33.554,-15.837,-511.76599999999996,-2.307,7.416,0.0,-131.21,178.9,-922.92,106.97,-1727.47,49.2469376847,-4.965,4.751,-1.085,-0.1919,1065.0,-9006.0,-0.3806,-10.02,-7951.0,-2.84,2.553,-0.3094,1.757,176.1,-1203.0,12.54,0.5631,-1039.0,-8314.25309,-8451.101278,4579.54,-2993.59,7573.12,-0.1453,0.0,0.0,0.0,-17.772555,-16.648432999999997,-16.92707,-39.313358,-37.7598919213,8.85972,0.006729000000000001,140
swarm_0_107.pdb,22,7,12,11,17,7,17,14,6,2,9,8,5,10,3,0.49090909090909096,0.43454545454545457,0.53,0.5314285714285714,0.4716666666666666,0.39352941176470585,0.49117647058823516,0.5271428571428575,0.66,0.5133333333333333,0.43600000000000005,0.624,0.69,0.9,0.6975,3.71,3.7199999999999998,5.659999999999999,6.6899999999999995,8.349999999999998,7.380000000000004,3.9600000000000004,1.54,4.36,3.12,6.21,1.8,5.58,28.68,38.83,4073.0899999999965,1856.0800000000017,2217.01,4.69041575982343,3.3166247903554,4.123105625617661,1.7320508075688772,3.7416573867739413,2.449489742783178,2.6457513110645907,3.4641016151377544,4.123105625617661,2.6457513110645907,3.0,1.4142135623730951,2.8284271247461903,2.23606797749979,3.1622776601683795,8.2018,-1.202,8.22,-9.2,-38.4,-373.0,7.38,-398.98,372.82,0.66,0.001234,-5.44,60.8,42.0,-25.0,98.084,34.2,54.4,60.6,-2.04,11.14,14.56,-682.6,-0.052151585199999996,-3.4,-14.590962,-40.11,-72.619,-119.35,-113.54,-9678.68,-23.86,-26.31,-27.9,14.73,-2698.82,-141.47,0.0,0.0,0.0,0.0,0.0,-57.7222,2045.56,0.000127,-18.517,5.361000000000001,-29.666,-16.122,-239.74200000000002,-1.396,3.159,0.0,-157.73,197.11,-1277.48,172.21,171.26,65.8398131391,-5.381,5.308,-1.153,-1.974,843.4,-9240.0,5.441,-83.85,-8486.0,-3.7489999999999997,3.6689999999999996,-0.3563,0.6978,218.2,-1313.0,13.69,-10.93,-1120.0,-9508.120233,-9648.166186,4589.84,-3639.81,8229.64,-0.071,0.0,0.0,0.0,1.85885,-6.812301,-6.512851,-32.204862,-35.287637984,16.1862,0.006453,150
swarm_0_127.pdb,14,9,19,8,8,6,13,11,6,3,5,2,4,5,4,0.5078571428571429,0.39625000000000005,0.5322222222222223,0.6233333333333334,0.45157894736842114,0.36625,0.4738461538461539,0.5063636363636363,0.465,0.40750000000000003,0.438,0.6000000000000001,0.514,0.49,0.685,4.79,3.74,8.580000000000002,2.93,6.160000000000001,5.57,2.79,1.6300000000000001,2.19,2.4000000000000004,2.57,1.47,1.37,28.15,40.99,3078.2899999999972,1501.5600000000013,1576.7399999999998,3.7416573867739413,2.8284271247461903,3.605551275463989,2.0,3.3166247903554,2.449489742783178,3.0,4.358898943540674,2.8284271247461903,2.449489742783178,2.23606797749979,1.7320508075688772,1.4142135623730951,2.0,2.23606797749979,3.1838,-2.608,1.8,-11.4,-36.4,-301.6,5.48,-297.34,290.74,-2.24,0.044128,-4.88,39.8,22.0,-28.2,61.038000000000004,19.6,36.8,39.2,-1.36,16.98,-1.74,-520.4,-1.5765657994,-2.4,-9.799462,-26.16,-52.985,-103.33,-93.57,-6861.38,-48.82,-22.93,-1.6,24.61,-2153.37,182.08,0.0,0.0,0.0,0.0,0.0,-64.055,1613.07,0.00017900000000000001,-18.064,21.351999999999997,28.074,6.096,-366.73800000000006,-5.513,1.455,0.0,-158.02,179.94,-807.54,-11.64,-576.232,46.600478751800004,-4.507,4.367,-1.517,-1.163,573.5,-7508.0,-3.9,-44.33,-6975.0,-2.531,2.157,-1.168,1.23,108.3,-1007.0,5.269,-10.56,-914.1,-7404.827686,-7524.645316,5078.01,-2679.64,7757.65,-0.2199,0.0,0.0,0.0,-5.484819,-9.625436,-9.982591000000001,-25.015091,-32.9586269368,13.9445,0.008291,117
swarm_0_178.pdb,13,5,12,12,10,3,12,10,5,0,1,1,4,10,6,0.48384615384615387,0.4283333333333333,0.5900000000000001,0.6366666666666666,0.4725,0.368,0.4383333333333334,0.5030000000000001,0.5820000000000001,0.4383333333333333,0.44800000000000006,0.6425000000000001,0.65,0.0,0.9,2.95,1.91,5.67,3.68,5.260000000000001,5.030000000000001,2.91,2.63,4.48,2.5700000000000003,0.65,0.0,0.9,28.36,40.1,3204.3100000000013,1423.5600000000013,1780.7700000000004,3.605551275463989,3.4641016151377544,3.4641016151377544,2.449489742783178,3.1622776601683795,2.23606797749979,2.23606797749979,3.4641016151377544,3.1622776601683795,1.7320508075688772,1.0,0.0,1.0,2.0,3.1622776601683795,6.6172,-6.61,6.36,-7.0,-18.2,-253.6,7.88,-253.62,264.2,-1.82,0.023076,-2.08,47.2,34.8,-7.8,58.216,28.6,48.4,48.6,5.32,19.8,11.62,-449.4,0.648012035,6.8,-10.800247,-34.58,-56.451,-107.17,-89.15,-5573.9,-4.28,-1.25,32.83,64.58,-2246.88,-483.27,0.0,0.0,0.0,0.0,0.0,-50.4295,819.942,0.00015800000000000002,-10.687999999999999,11.937000000000001,-18.893,-0.64,-332.19599999999997,-3.5989999999999998,2.713,0.0,-70.66,198.1,-890.21,149.04,2547.192,36.306054352800004,-3.15,3.083,-0.6162,-0.7237,1184.0,-8501.0,8.792,-14.09,-7340.0,-1.4680000000000002,1.358,0.02065,1.213,181.2,-967.2,12.03,-3.1489999999999996,-801.2,-7695.903899,-7823.810332999999,4012.1,-2750.06,6762.16,-0.1388,0.0,0.0,0.0,-0.658465,-4.675584,0.027694,-22.972534,-31.350432917600003,2.77277,0.006490000000000001,104
swarm_0_27.pdb,11,3,16,12,9,7,17,19,3,3,6,4,2,7,5,0.48090909090909084,0.38083333333333336,0.5866666666666668,0.4828571428571428,0.46062499999999995,0.3400000000000001,0.4594117647058823,0.5031578947368421,0.6133333333333334,0.40800000000000003,0.47000000000000003,0.525,0.5466666666666666,0.9266666666666666,0.7075,1.7600000000000002,3.38,7.369999999999999,3.0600000000000005,7.809999999999999,9.56,1.84,2.04,3.29,1.05,3.28,2.78,2.83,28.36,39.8,2735.369999999999,1352.1799999999985,1383.1900000000005,3.3166247903554,3.4641016151377544,4.123105625617661,2.23606797749979,4.358898943540674,1.7320508075688772,1.7320508075688772,4.0,3.0,2.6457513110645907,2.449489742783178,1.7320508075688772,2.0,1.4142135623730951,2.6457513110645907,6.9666,3.0380000000000003,11.58,-5.8,-25.0,-267.6,8.7,-288.56,291.38,-0.82,-0.011814,-2.74,49.0,33.8,-20.0,56.956,32.6,56.0,64.0,5.64,30.56,8.6,-505.6,0.0120995674,8.1,-7.8283309999999995,-24.04,-47.343,-87.92,-78.89,-5775.14,14.37,3.35,43.64,71.33,-1866.75,141.55,0.0,0.0,0.0,0.0,0.0,-67.1931,924.936,0.000206,-10.931,12.763,10.142999999999999,2.846,-180.476,-9.545,-6.1160000000000005,0.0,-149.35,288.63,-812.3,196.71,2044.8329999999999,46.6413585092,-1.695,1.778,0.782,-0.9046,1512.0,-8275.0,24.37,-68.58,-6856.0,-1.3880000000000001,1.225,0.8425,2.469,227.0,-1078.0,17.83,-5.33,-874.2,-6833.63178,-6922.189331999999,5178.83,-2346.98,7525.8,0.0745,0.0,0.0,0.0,-11.150763000000001,-16.072028,-4.359208,-33.434135999999995,-19.8349879007,7.889760000000001,0.006693999999999999,124
swarm_0_32.pdb,14,11,10,17,8,5,9,8,1,3,4,2,5,5,6,0.4628571428571429,0.43941176470588234,0.5618181818181817,0.5559999999999999,0.4620000000000001,0.3675,0.5244444444444443,0.52125,0.49,0.4733333333333332,0.4379999999999999,0.77,0.635,0.86,0.615,6.179999999999999,2.78,4.620000000000001,2.94,4.719999999999999,4.17,0.49,2.8399999999999994,2.1899999999999995,3.85,2.54,2.58,1.23,27.87,41.08,2821.989999999998,1245.5900000000001,1576.3999999999996,3.7416573867739413,4.123105625617661,3.0,2.449489742783178,2.8284271247461903,1.0,3.3166247903554,3.1622776601683795,2.8284271247461903,2.23606797749979,2.0,1.7320508075688772,1.4142135623730951,2.23606797749979,2.23606797749979,6.8734,4.002,2.78,-7.6,-30.6,-266.6,3.52,-300.28,277.42,0.12,0.154674,-5.76,29.8,22.8,-17.0,6.144,23.0,40.0,36.4,6.12,19.72,-6.18,-511.6,0.4593195278,-5.2,-0.7984979999999999,-22.92,-44.588,-105.8,-81.44,-7857.16,6.76,-7.14,28.31,52.46,-1665.54,1076.17,0.0,0.0,0.0,0.0,0.0,-8.81827,2532.6,0.00018700000000000002,0.512,2.023,133.755,15.91,-294.88,-4.065,1.538,0.0,-5.75,100.87,-1214.28,121.46,-3756.009,40.0698027635,-4.637,4.573,0.04252,-1.023,70.09,-6522.0,9.272,-29.22,-6491.0,-2.889,2.515,-1.24,0.9674,8.491,-845.5,4.66,-5.331,-847.0,-6582.0336990000005,-6675.928578,5020.2,-2344.78,7364.98,-0.1211,0.0,0.0,0.0,-5.0566379999999995,-7.529043,-12.28797,-35.370965999999996,-35.3419850584,9.66474,0.008019,108
swarm_0_33.pdb,11,7,6,3,5,5,10,5,1,2,0,6,6,8,7,0.5072727272727273,0.38333333333333336,0.5199999999999999,0.58,0.4333333333333333,0.326,0.527,0.496,0.77,0.43857142857142856,0.46125000000000005,0.6516666666666667,0.0,0.9,0.6900000000000001,3.6399999999999997,2.9,2.5999999999999996,1.6300000000000001,5.2700000000000005,2.48,0.77,3.07,3.6900000000000004,3.91,0.0,1.8,4.140000000000001,28.36,40.34,2381.5700000000033,1212.2800000000007,1169.289999999999,3.3166247903554,1.7320508075688772,3.1622776601683795,2.6457513110645907,2.23606797749979,1.0,2.6457513110645907,2.449489742783178,2.23606797749979,2.23606797749979,0.0,1.4142135623730951,2.449489742783178,2.449489742783178,2.8284271247461903,5.462999999999999,0.474,4.48,-5.8,-16.6,-166.4,3.54,-196.08,193.14,0.28,0.018026,0.3,29.0,23.6,-1.8,-5.584,19.0,34.2,31.6,-1.44,8.16,15.9,-341.6,0.499440056,-14.8,-10.054422,-21.11,-42.361999999999995,-59.43,-51.26,-5658.54,-7.33,-0.79,-41.49,15.13,-1861.52,-852.94,0.0,0.0,0.0,0.0,0.0,-75.0675,397.06300000000005,0.000205,-20.268,8.456,-6.502999999999999,-12.463,-301.155,-1.433,4.289,0.0,-53.13,111.52,-613.5,-19.69,-2444.465,29.146924517600002,-4.967,4.8260000000000005,-0.1532,-0.1088,339.1,-5229.0,4.503,-12.9,-4907.0,-3.465,3.435,-0.1615,-0.2769,52.25,-688.3,7.577000000000001,-7.676,-651.3,-6230.075646,-6291.979429,3314.81,-2146.1,5460.92,-0.161,0.0,0.0,0.0,-4.129830999999999,-3.4007410000000005,-10.054017,-18.130412,-20.728624801,0.759444,0.011023999999999999,82
swarm_0_49.pdb,36,8,84,18,47,12,34,25,13,0,69,13,3,36,5,0.46388888888888896,0.38666666666666666,0.5887500000000001,0.5208333333333334,0.4354761904761907,0.3712765957446807,0.45588235294117646,0.5028000000000001,0.4923076923076923,0.394,0.46861111111111126,0.63,0.6349275362318842,0.0,0.6300000000000001,4.710000000000001,6.25,36.58000000000002,17.449999999999992,15.5,12.570000000000004,6.3999999999999995,1.9700000000000002,16.870000000000005,1.8900000000000001,43.81000000000001,0.0,8.190000000000001,29.21,38.95,3856.75,1762.2299999999996,2094.5199999999986,6.0,4.242640687119285,5.830951894845301,2.23606797749979,5.0,3.605551275463989,2.8284271247461903,9.16515138991168,6.855654600401044,3.4641016151377544,8.306623862918075,0.0,3.605551275463989,1.7320508075688772,6.0,0.3296,-2.0580000000000003,-4.8,2.6,-132.2,-1191.8,-26.56,-1426.56,1063.76,8.96,0.28131999999999996,12.04,99.0,89.2,-94.4,71.062,57.0,105.4,91.4,-62.4,10.56,23.42,-1997.0,-0.8377506896,-75.6,71.151625,32.78,-17.867,-271.4,-259.1,-24502.36,64.28,-60.3,1002.75,717.58,863.0,17922.23,0.0,0.0,0.0,0.0,0.0,546.561,26122.1,0.000148,-53.025,20.575,1736.715,141.221,-183.442,-13.892000000000001,-10.407,0.0,1567.26,-470.34,-6118.62,1924.1,-3219.4709999999995,66.6389306959,-2.793,2.603,-1.195,0.7372,525.1,-15450.0,22.04,-280.6,-15230.0,-1.692,1.969,-0.1733,-1.53,292.6,-2942.0,35.95,-105.9,-2791.0,-4940.8364200000005,-5238.328627000001,14208.32,-2494.31,16702.63,0.3987,0.0,0.0,0.0,-19.653717,-35.468787,-14.821226000000001,-115.198024,-59.1757477321,70.436,0.003682,403
swarm_0_57.pdb,9,4,10,10,8,6,17,10,2,0,2,2,0,11,0,0.5033333333333334,0.514,0.605,0.6416666666666667,0.45199999999999996,0.345,0.4635294117647059,0.508,0.365,0.0,0.459090909090909,0.0,0.725,0.0,0.6000000000000001,2.42,3.85,4.52,2.76,7.880000000000001,5.08,0.73,0.0,5.049999999999999,0.0,1.45,0.0,1.2000000000000002,28.02,40.34,2908.029999999999,1508.1600000000017,1399.8900000000012,3.0,3.1622776601683795,4.123105625617661,0.0,3.1622776601683795,1.4142135623730951,2.0,3.1622776601683795,2.8284271247461903,2.449489742783178,1.4142135623730951,0.0,1.4142135623730951,0.0,3.3166247903554,5.372000000000001,-0.228,9.06,-7.4,-25.6,-238.8,7.6,-224.16,233.96,2.18,0.19641,5.08,39.2,22.6,-18.2,59.416000000000004,14.0,29.6,32.8,4.04,20.44,25.48,-408.4,1.9539218297999998,8.4,-11.783508,-27.09,-48.04,-76.05,-70.91,-3631.61,-4.44,-8.9,-11.05,-2.76,-2080.25,-996.5,0.0,0.0,0.0,0.0,0.0,-58.434,134.994,0.000183,-7.109,21.6,-68.363,7.654,-154.733,-4.044,-1.104,0.0,-151.5,215.38,-411.72,-55.51,-4030.2209999999995,29.8409558323,-3.605,3.508,-0.8645,-1.225,826.2,-6536.0,0.2009,-13.46,-5723.0,-1.9869999999999999,2.0380000000000003,0.7969,0.6157,118.4,-745.7,10.19,-4.26,-641.8,-6789.160148999999,-6882.228551,4259.57,-2363.02,6622.58,0.0217,0.0,0.0,0.0,5.5693410000000005,0.052256,-4.062189,-20.197103,-23.228208554600002,1.9871599999999998,0.0074069999999999995,91
swarm_0_88.pdb,23,9,28,20,19,5,15,23,3,1,6,2,3,20,7,0.4808695652173914,0.4545,0.5122222222222222,0.5720000000000001,0.4539285714285714,0.3915789473684211,0.48000000000000004,0.5000000000000001,0.3133333333333333,0.4028571428571429,0.4295,0.7000000000000001,0.5950000000000001,0.78,0.53,4.61,2.8600000000000003,12.709999999999999,7.44,7.2,11.500000000000002,0.94,2.8200000000000003,8.59,2.1,3.5700000000000003,0.78,1.06,28.9,39.9,3980.670000000002,1783.329999999998,2197.33,4.795831523312719,4.47213595499958,3.872983346207417,2.6457513110645907,4.795831523312719,1.7320508075688772,3.0,5.291502622129181,4.358898943540674,2.23606797749979,2.449489742783178,1.0,1.4142135623730951,1.7320508075688772,4.47213595499958,14.92,-0.316,17.66,2.2,-28.0,-412.6,9.52,-477.24,458.2,5.0,0.061720000000000004,5.42,72.4,57.6,-19.8,40.296,53.8,77.6,75.4,8.72,42.8,29.64,-804.8,1.0692036308,5.2,-5.158691,-33.33,-68.408,-133.92,-132.75,-11925.74,-16.66,13.71,156.34,145.39,-2401.74,2642.74,0.0,0.0,0.0,0.0,0.0,-3.0127599999999997,4560.38,0.00011399999999999999,-14.074000000000002,5.909,173.885,9.222999999999999,-421.07,-12.036,-4.035,0.0,-91.52,208.85,-1683.56,401.79,332.22,57.285764833900004,-5.401,5.239,-0.7804,-0.6442,1169.0,-10900.0,10.42,-93.69,-9831.0,-3.181,3.1489999999999996,0.2135,0.9131,336.9,-1769.0,22.26,-25.74,-1480.0,-9230.960505,-9391.248167,7237.01,-3566.05,10803.06,0.1831,0.0,0.0,0.0,2.390844,-3.9911980000000002,1.050468,-35.570013,-44.5402268068,17.1883,0.005435,184
