Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_27.pdb,6,11,15,9,7,3,24,9,13,0,3,5,1,1,0,0.4566666666666667,0.3811111111111111,0.5718181818181818,0.5833333333333334,0.40533333333333327,0.3885714285714285,0.4674999999999998,0.4911111111111112,0.4761538461538461,0.0,0.27,0.53,0.6033333333333334,0.0,0.78,6.29,1.75,6.079999999999999,2.7199999999999998,11.219999999999995,4.420000000000001,6.1899999999999995,0.0,0.27,0.53,1.81,0.0,3.9000000000000004,31.26,35.33,2999.350000000002,1478.1399999999994,1521.2300000000032,2.449489742783178,3.0,4.898979485566356,0.0,3.0,3.605551275463989,3.3166247903554,3.872983346207417,2.6457513110645907,1.7320508075688772,1.7320508075688772,0.0,2.23606797749979,1.0,1.0,1.9196,-7.772,0.58,-14.8,-39.6,-317.4,6.88,-278.16,264.32,-3.36,0.0050100000000000006,-9.68,56.6,28.6,-36.6,125.87799999999999,12.6,24.2,34.0,-1.34,12.86,18.82,-471.6,-0.7341544098,8.8,-9.047633,-24.18,-42.583999999999996,-92.46,-66.44,-8712.97,-24.64,-14.76,-16.65,33.28,-1879.39,110.62,0.0,0.0,0.0,0.0,0.0,-51.5061,1489.06,0.000175,-23.461,15.942,49.22,-2.597,-118.85700000000001,-4.874,-2.616,0.0,-258.14,217.69,-792.47,0.22,1917.024,45.6418369149,-2.32,2.202,-1.073,-0.4358,-270.4,-5113.0,2.613,-54.1,-5440.0,-1.685,1.2819999999999998,0.06785,2.167,-58.95,-803.1,8.859,-9.094,-880.0,-6888.626987999999,-7018.920484,4011.86,-2155.22,6167.07,-0.205,0.0,0.0,0.0,-6.587099,-6.479741000000001,-17.339858,-36.024598,-27.633821828000002,17.153,0.0030280000000000003,107
swarm_0_58.pdb,9,3,10,14,12,5,25,11,12,0,3,0,4,1,1,0.4744444444444444,0.42071428571428576,0.6233333333333334,0.514,0.404,0.385,0.4684000000000001,0.46090909090909093,0.45416666666666666,0.34,0.41,0.795,0.6900000000000001,0.0,0.0,1.87,2.5700000000000003,4.04,4.62,11.710000000000003,5.07,5.45,0.34,0.41,3.18,2.0700000000000003,0.0,0.0,31.57,35.54,2870.409999999996,1431.8700000000008,1438.5400000000009,3.0,3.7416573867739413,5.0,1.0,3.3166247903554,3.4641016151377544,1.7320508075688772,3.1622776601683795,3.4641016151377544,2.23606797749979,1.7320508075688772,0.0,0.0,2.0,1.0,4.1334,-5.446000000000001,1.88,-17.8,-41.6,-315.0,9.66,-264.62,264.68,-4.38,0.166888,-6.02,70.6,37.8,-29.8,179.282,11.0,29.0,39.8,2.38,18.76,8.88,-449.0,-0.0623265474,22.3,-7.930861999999999,-19.7,-40.936,-76.5,-51.06,-6167.84,-17.3,-1.84,46.46,66.11,-1735.25,730.62,0.0,0.0,0.0,0.0,0.0,-49.324,1365.97,0.00018899999999999999,-10.626,27.158,19.206,18.452,-41.64,-9.681000000000001,-8.89,0.0,-155.63,272.99,-920.35,133.18,2696.988,64.7546312418,-4.167,4.083,-0.7528,-1.175,-416.7,-5199.0,6.532,-21.35,-5644.0,-2.639,2.362,0.4379,1.9869999999999999,-45.57,-727.5,9.434,-6.091,-788.6,-6651.832657,-6783.108323,3820.57,-2084.48,5905.05,0.26899999999999996,0.0,0.0,0.0,-3.3395580000000002,-5.154089,-4.887683999999999,-21.542807999999997,-26.0717860438,19.1462,0.005036,110
swarm_100_18.pdb,7,10,3,5,6,9,14,11,16,1,0,1,4,3,1,0.4628571428571428,0.28600000000000003,0.549,0.44333333333333336,0.4266666666666667,0.3233333333333333,0.44428571428571423,0.5109090909090909,0.5593750000000001,0.51,0.36333333333333334,0.6925000000000001,0.0,0.9,0.7,5.49,3.99,1.28,1.94,6.219999999999999,5.619999999999999,8.950000000000001,0.51,1.09,2.7700000000000005,0.0,0.9,0.7,31.53,34.99,2520.1699999999983,1314.0200000000004,1206.1499999999996,2.6457513110645907,2.23606797749979,3.7416573867739413,1.0,3.3166247903554,4.0,3.1622776601683795,1.7320508075688772,2.449489742783178,3.0,0.0,1.0,1.0,2.0,1.7320508075688772,3.2366,-11.985999999999999,0.3,-17.2,-38.2,-245.0,4.08,-231.64,221.98,-4.3,-0.13234400000000002,-6.88,34.6,10.4,-31.6,123.18,9.2,25.4,35.2,0.04,6.1,18.6,-402.8,-0.7952421909999999,20.4,-9.289280999999999,-19.11,-34.099000000000004,-74.58,-58.31,-4842.19,-29.42,-13.76,-3.84,31.85,-1504.42,165.06,0.0,0.0,0.0,0.0,0.0,-16.3538,1516.82,0.000183,-7.063,17.199,7.627999999999999,10.899000000000001,-318.02099999999996,-6.157,-0.114,0.0,-227.49,184.93,-801.07,-64.19,1331.88,68.699847823,-3.772,3.766,0.4257,-1.57,-166.2,-4516.0,11.38,-57.35,-4751.0,-2.504,2.252,0.5955,2.281,-11.68,-694.5,10.89,-2.736,-719.8,-5929.511899,-5993.425126,2330.16,-1775.41,4105.58,0.1044,0.0,0.0,0.0,-3.968803,-7.338392,-10.863992,-21.015297,-17.0332117044,24.7837,0.0037359999999999997,91
swarm_100_197.pdb,1,4,3,5,12,17,14,1,19,1,1,8,1,1,0,0.48,0.312,0.52,0.5823529411764707,0.45,0.3458333333333334,0.42142857142857143,0.53,0.4947368421052631,0.0,0.48,0.52,0.58,0.98,0.7212500000000001,2.08,9.900000000000002,1.35,4.15,5.9,0.53,9.399999999999999,0.0,0.48,0.52,0.58,0.98,5.7700000000000005,30.77,36.11,2609.4300000000003,1200.8900000000012,1408.539999999999,1.0,2.23606797749979,3.7416573867739413,0.0,1.0,4.358898943540674,2.0,1.7320508075688772,3.4641016151377544,4.123105625617661,1.0,1.0,2.8284271247461903,1.0,1.0,-1.9696,-4.396,-4.7,-17.4,-46.0,-243.8,3.08,-206.64,193.48,-5.1,0.047216,-7.58,28.8,1.6,-40.4,174.854,-4.0,8.4,21.4,-4.46,-3.1,10.82,-357.4,-0.9901871428,8.3,-8.480597999999999,-20.54,-41.076,-84.53,-87.36,-7076.83,-49.02,-7.84,50.11,50.89,-1712.61,246.28,0.0,0.0,0.0,0.0,0.0,-58.6252,932.3960000000001,0.000217,-12.527000000000001,7.7589999999999995,8.038,-3.965,-512.565,-4.585,5.154,0.0,-225.31,265.19,-437.86,-101.81,97.77,40.833775959,-3.2760000000000002,3.338,0.8156,-1.9409999999999998,-51.97,-4808.0,13.16,-44.47,-4918.0,-2.181,2.176,1.831,2.205,-30.74,-716.2,16.07,1.1159999999999999,-761.9,-6715.6312370000005,-6792.668848,3958.32,-2139.2,6097.52,0.1228,0.0,0.0,0.0,-14.988195000000001,-13.664363,-21.008312,-33.247601,-22.0464559335,18.3704,0.005455,88
swarm_100_29.pdb,1,5,5,2,8,12,14,4,7,1,4,1,1,0,0,0.48,0.33999999999999997,0.49000000000000005,0.5491666666666667,0.422,0.31625,0.5021428571428571,0.4975,0.5257142857142857,0.0,0.0,0.53,0.585,0.49,0.7,2.45,6.590000000000001,2.11,2.53,7.029999999999999,1.99,3.68,0.0,0.0,0.53,2.34,0.49,0.7,30.77,35.14,2224.5099999999984,1048.7099999999991,1175.8099999999995,1.0,1.4142135623730951,3.7416573867739413,0.0,2.0,2.6457513110645907,2.23606797749979,2.23606797749979,2.8284271247461903,3.4641016151377544,2.0,1.0,1.0,1.0,0.0,-0.9454,-6.37,-2.0,-10.4,-31.2,-193.2,2.5,-169.02,149.76,-2.26,0.03316,-4.4,27.4,9.4,-26.2,107.416,2.0,11.0,19.0,-2.12,8.3,3.06,-279.8,-1.3988450384,5.6,-9.440407,-15.21,-31.686,-64.96,-56.02,-3799.47,-19.48,-12.9,-55.0,-12.69,-1459.48,-533.29,0.0,0.0,0.0,0.0,0.0,-67.3613,-41.4711,0.000199,-16.028,6.395,-65.194,-16.153,-307.437,-6.542000000000001,-0.7,0.0,-120.61,168.6,-293.11,-45.43,2140.44,43.189806679300005,-2.5639999999999996,2.6180000000000003,0.7532,-1.6130000000000002,48.17,-3661.0,10.29,-35.18,-3659.0,-0.8869,0.6474,-0.2799,0.9917,23.24,-566.4,4.135,-2.801,-550.1,-5727.930345000001,-5781.178364,4033.43,-1547.63,5581.07,0.0695,0.0,0.0,0.0,-7.581983,-8.148227,-9.797599,-20.900426,-21.589159947800002,12.4091,0.005938000000000001,65
swarm_100_82.pdb,5,3,5,3,10,12,18,3,13,0,3,5,2,3,1,0.34800000000000003,0.36999999999999994,0.5499999999999999,0.5141666666666667,0.44800000000000006,0.3350000000000001,0.4733333333333334,0.5233333333333333,0.46461538461538454,0.51,0.47333333333333333,0.5900000000000001,0.59,0.0,0.752,1.65,6.17,2.24,3.3500000000000005,8.520000000000001,1.57,6.039999999999999,0.51,1.42,1.1800000000000002,1.77,0.0,3.76,30.85,35.74,2335.8499999999985,1053.4099999999999,1282.430000000002,2.23606797749979,1.7320508075688772,4.242640687119285,1.0,1.7320508075688772,3.605551275463989,1.7320508075688772,2.23606797749979,3.1622776601683795,3.4641016151377544,1.7320508075688772,0.0,2.23606797749979,1.4142135623730951,1.7320508075688772,1.4348,-3.858,-0.64,-14.8,-29.8,-250.4,7.3,-236.44,232.24,-4.22,0.00927,-6.04,58.8,26.6,-28.6,152.05,18.0,31.8,44.2,-5.08,17.64,11.76,-404.2,-0.5919471192,19.0,-8.549954,-17.0,-30.066999999999997,-67.54,-63.75,-4560.39,-27.16,-9.54,-43.06,35.17,-1409.95,43.64,0.0,0.0,0.0,0.0,0.0,-69.9974,428.658,0.00025499999999999996,-19.514,10.582,3.75,-8.557,-295.32099999999997,-8.564,-2.9530000000000003,0.0,-114.23,294.67,-338.96,84.15,1137.787,43.04353481729999,-1.92,1.8940000000000001,0.6397,-0.2526,-148.9,-4084.0,11.23,-0.5298,-4244.0,-0.4178,0.4356,0.9385,1.102,-17.18,-659.4,10.98,1.561,-686.0,-5688.480833,-5761.31231,2754.93,-1523.17,4278.11,0.0915,0.0,0.0,0.0,-9.272350999999999,-15.698068,-15.140184,-27.150003,-17.091530466400002,20.6413,0.0049299999999999995,86
swarm_100_8.pdb,0,5,6,3,4,7,10,6,10,0,1,3,3,0,0,0.0,0.29666666666666663,0.564,0.5428571428571429,0.43,0.365,0.42099999999999993,0.54,0.515,0.0,0.0,0.5800000000000001,0.62,0.0,0.57,2.82,3.8000000000000003,2.58,1.46,4.209999999999999,3.24,5.15,0.0,0.0,1.7400000000000002,0.62,0.0,1.71,31.14,35.38,1882.6299999999974,944.6499999999996,937.9700000000012,0.0,1.7320508075688772,3.1622776601683795,0.0,2.449489742783178,3.1622776601683795,2.23606797749979,2.449489742783178,2.0,2.6457513110645907,1.0,0.0,1.7320508075688772,1.7320508075688772,0.0,0.818,-5.972,0.5,-12.4,-21.6,-172.6,4.78,-138.42,140.44,-3.38,0.012202,-7.4,39.8,21.4,-15.4,54.818000000000005,6.2,14.4,24.0,2.38,9.04,18.84,-246.2,-0.20992022800000001,15.3,-10.833254,-15.07,-32.079,-44.22,-41.2,-4539.73,4.37,3.52,-27.9,1.98,-1275.77,-369.57,0.0,0.0,0.0,0.0,0.0,-44.3229,-31.8286,0.000312,-14.030999999999999,15.482999999999999,-55.22,-4.071000000000001,-175.69099999999997,-3.005,0.33299999999999996,0.0,-163.87,209.38,-521.01,14.2,1107.792,42.9384084106,-3.2460000000000004,3.18,-0.4558,-1.206,170.6,-3832.0,2.766,-63.83,-3728.0,-1.902,1.735,0.7676,2.3819999999999997,76.34,-625.1,8.634,0.9982,-556.4,-5761.911467,-5817.081072999999,3101.51,-1570.31,4671.82,-0.0592,0.0,0.0,0.0,-7.020516000000001,-9.309915,-11.651261,-16.794946,-12.5047130381,16.7687,0.005328,58
swarm_101_178.pdb,8,3,6,8,5,3,17,12,8,0,0,1,3,0,1,0.47375000000000006,0.44,0.6,0.47000000000000003,0.4383333333333333,0.356,0.44058823529411756,0.46833333333333343,0.41374999999999995,0.34,0.0,0.73,0.0,0.0,0.7,1.8,1.4100000000000001,2.63,1.7799999999999998,7.489999999999998,5.620000000000001,3.3099999999999996,0.34,0.0,2.19,0.0,0.0,0.7,31.51,35.29,1959.1399999999994,1036.0499999999993,923.1000000000022,2.8284271247461903,2.8284271247461903,4.123105625617661,1.0,3.4641016151377544,2.8284271247461903,1.7320508075688772,2.449489742783178,2.23606797749979,1.7320508075688772,0.0,0.0,1.0,1.7320508075688772,0.0,4.5258,-7.932,3.62,-14.6,-18.4,-153.0,9.22,-113.1,142.34,-4.4,0.162442,-8.58,41.4,22.0,-14.0,59.45399999999999,11.0,21.8,27.4,9.8,11.64,-1.88,-231.8,-0.3707107212,21.4,-3.7963190000000004,-9.84,-26.46,-33.28,-28.41,-4164.11,9.43,6.42,6.58,18.75,-1035.67,610.12,0.0,0.0,0.0,0.0,0.0,30.6582,2014.61,0.000285,-4.218999999999999,23.625,51.175,24.523000000000003,-22.796,-6.7379999999999995,-6.305,0.0,-110.33,201.01,-650.11,100.55,3474.288,51.9904354503,-3.5989999999999998,3.4389999999999996,-1.4080000000000001,-0.4159,-388.9,-3393.0,-1.8630000000000002,-10.65,-3791.0,-2.991,2.5540000000000003,0.7561,3.5669999999999997,-41.33,-599.4,8.254,-0.419,-649.4,-5178.394771,-5267.839695000001,3253.15,-1400.15,4653.3,-0.0991,0.0,0.0,0.0,2.445431,4.5760440000000004,-5.208726,-12.252694,-17.586845941,16.4454,0.005427,75
swarm_101_187.pdb,6,4,6,5,3,10,12,3,10,0,1,0,0,0,0,0.4883333333333333,0.44000000000000006,0.51,0.544,0.4183333333333334,0.29,0.4466666666666666,0.5066666666666667,0.506,0.0,0.0,0.0,0.73,0.0,0.0,2.04,5.44,2.5100000000000002,0.8699999999999999,5.359999999999999,1.52,5.0600000000000005,0.0,0.0,0.0,0.73,0.0,0.0,30.96,35.36,2119.619999999999,1128.7299999999996,990.8900000000012,2.449489742783178,2.23606797749979,3.4641016151377544,0.0,1.7320508075688772,3.1622776601683795,2.0,2.449489742783178,1.7320508075688772,3.1622776601683795,1.0,0.0,0.0,0.0,0.0,1.4682,-3.838,2.44,-14.0,-26.6,-183.0,6.9,-141.48,154.74,-3.28,0.09097999999999999,-3.96,39.8,19.0,-18.2,179.79,4.6,15.0,24.6,8.44,8.02,13.98,-261.8,0.7968423445999999,17.6,-10.850655999999999,-19.28,-32.549,-49.08,-41.88,-4159.37,-28.27,-4.21,-28.42,-17.46,-1489.28,-875.11,0.0,0.0,0.0,0.0,0.0,-70.4842,-124.145,0.000312,-10.044,19.644000000000002,-86.29799999999999,0.97,-72.33800000000001,-3.365,-1.99,0.0,-138.96,179.86,-452.9,-82.19,1722.915,36.0656849302,-2.3209999999999997,2.278,-0.6796,-0.2581,-196.7,-3410.0,3.055,-12.43,-3622.0,-0.6988,0.3925,-0.9079,0.7998,-4.207,-459.2,1.126,-8.367,-472.9,-5734.3223,-5803.452739,3245.88,-1565.4,4811.29,0.0566,0.0,0.0,0.0,-3.1192860000000002,-4.073729,-2.987965,-13.571182,-14.1951969048,12.5235,0.007867,60
swarm_101_3.pdb,2,6,2,3,3,2,9,6,10,0,0,1,1,0,0,0.495,0.3333333333333333,0.5633333333333334,0.41,0.42000000000000004,0.2833333333333334,0.43777777777777777,0.5233333333333333,0.6559999999999999,0.0,0.0,0.68,0.0,0.0,0.7,3.3800000000000003,0.82,0.8400000000000001,0.8500000000000001,3.94,3.14,6.559999999999999,0.0,0.0,0.68,0.0,0.0,0.7,31.5,34.67,1704.920000000002,899.6100000000006,805.3000000000011,1.4142135623730951,1.7320508075688772,3.0,0.0,2.449489742783178,3.1622776601683795,2.449489742783178,1.4142135623730951,1.7320508075688772,1.4142135623730951,0.0,0.0,1.0,1.0,0.0,0.6318,-0.18600000000000003,-0.9,-7.6,-19.8,-114.6,3.1,-103.08,99.94,-2.34,0.007744,-4.36,22.0,9.6,-15.0,67.982,3.0,7.4,15.0,0.8,6.12,4.46,-181.4,-0.4616578732,8.7,-5.731052,-12.81,-27.753,-41.77,-35.13,-5018.56,-2.05,-6.98,17.75,36.34,-1059.46,8.87,0.0,0.0,0.0,0.0,0.0,-16.9602,407.876,0.000292,-9.994,12.743,-8.168,1.933,-112.189,-1.8659999999999999,0.266,0.0,-31.36,155.4,-411.12,-52.3,2083.634,29.402415923499998,-2.1959999999999997,2.2880000000000003,0.8322,-1.225,-111.5,-2868.0,10.06,-33.71,-3024.0,-1.452,1.087,-0.4666,0.9899,-50.25,-373.4,2.064,-3.883,-429.6,-5298.671865,-5349.177165,3046.05,-1384.75,4430.8,0.0293,0.0,0.0,0.0,-2.479225,-5.5727519999999995,-14.812057999999999,-20.324912,-8.61678164918,25.2582,0.004067,45
