Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_184.pdb,4,2,1,6,3,3,12,5,9,0,0,2,0,3,2,0.495,0.31666666666666665,0.46499999999999997,0.6166666666666667,0.42,0.41333333333333333,0.41750000000000015,0.496,0.47777777777777786,0.39,0.4166666666666667,0.0,0.0,0.0,0.74,0.9299999999999999,1.85,0.42,1.24,5.010000000000002,2.48,4.300000000000001,0.78,1.25,0.0,0.0,0.0,1.48,24.11,37.44,1961.3199999999997,945.5,1015.8299999999981,2.0,2.449489742783178,3.4641016151377544,1.4142135623730951,2.23606797749979,3.0,1.4142135623730951,1.0,1.7320508075688772,1.7320508075688772,0.0,0.0,1.4142135623730951,0.0,1.7320508075688772,1.3738,-9.83,-0.68,-13.4,-20.8,-169.8,5.78,-123.36,133.42,-3.6,0.091652,-6.86,35.6,15.0,-18.8,97.626,3.6,13.2,21.0,9.96,11.14,13.54,-231.2,0.5025189068,13.7,-9.560655,-13.46,-24.3523,-41.23,-35.72,-3626.44,-7.76,12.27,9.67,24.24,-1080.81,-167.69,0.0,0.0,0.0,0.0,0.0,-28.5372,113.29299999999999,0.000337,-19.104,20.589000000000002,-22.485,-0.763,35.314,-5.06,-5.731,0.0,-48.5,107.67,-528.6,54.02,1235.49,32.5914910831,-3.582,3.6210000000000004,1.024,-1.291,-3.362,-3012.0,9.396,-8.641,-3033.0,-3.615,3.082,0.1911,2.717,-20.08,-403.4,6.169,3.15,-426.5,-3878.952018,-3941.250454,2103.64,-1200.17,3303.82,-0.0796,0.0,0.0,0.0,-2.9723,-2.23144,-2.4833,-10.966097999999999,-17.5668515492,8.208730000000001,0.004615,52
swarm_101_12.pdb,6,4,17,10,10,3,12,8,9,0,2,2,2,2,3,0.4766666666666666,0.48999999999999994,0.5375000000000001,0.5599999999999999,0.44294117647058817,0.3370000000000001,0.49333333333333323,0.49500000000000005,0.6266666666666667,0.44,0.33999999999999997,0.835,0.73,0.0,0.79,2.1500000000000004,1.68,7.529999999999999,3.3700000000000006,5.919999999999999,3.9600000000000004,5.640000000000001,1.32,0.6799999999999999,1.67,1.46,0.0,1.58,24.01,37.74,2278.8199999999997,869.359999999997,1409.4700000000012,2.449489742783178,3.1622776601683795,3.4641016151377544,1.7320508075688772,2.8284271247461903,3.0,2.0,4.123105625617661,3.1622776601683795,1.7320508075688772,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0732,-10.036,-0.86,-12.8,-18.4,-193.2,5.54,-171.02,176.84,-4.26,0.0038060000000000004,-7.02,36.8,18.2,-16.8,56.308,13.0,25.4,30.0,-3.16,12.88,-0.32,-299.4,-0.5866784948,4.9,-5.27698,-15.14,-30.7322,-83.55,-64.46,-5506.98,-11.97,9.42,68.07,69.17,-1083.06,646.49,0.0,0.0,0.0,0.0,0.0,-47.1311,793.9110000000001,0.000248,-22.758000000000003,-6.247999999999999,40.884,-24.918000000000003,-330.281,-4.691,1.585,0.0,-45.49,202.82,-848.44,215.11,799.0160000000001,6.464948639859999,-3.266,3.133,-1.117,-0.5,-41.16,-4918.0,-2.827,0.6323,-4956.0,-1.617,1.508,0.748,1.618,37.06,-612.7,9.124,0.065,-584.7,-4702.434974,-4797.043975,3484.54,-1543.94,5028.49,0.2575,0.0,0.0,0.0,-3.431603,-8.685844,-7.107098,-22.277542,-22.444920333699997,16.3421,0.0062439999999999996,90
swarm_101_145.pdb,4,3,0,5,3,2,18,9,10,0,0,1,0,0,0,0.4075,0.398,0.53,0.495,0.0,0.3433333333333333,0.44611111111111107,0.5155555555555555,0.41999999999999993,0.0,0.0,0.0,0.0,0.0,0.74,1.59,0.99,0.0,1.03,8.03,4.64,4.199999999999999,0.0,0.0,0.0,0.0,0.0,0.74,23.9,37.46,1830.5299999999988,1009.380000000001,821.130000000001,2.0,2.23606797749979,4.242640687119285,0.0,3.0,3.1622776601683795,1.7320508075688772,0.0,1.7320508075688772,1.4142135623730951,0.0,0.0,1.0,0.0,0.0,1.538,-8.182,-0.58,-12.8,-13.4,-108.6,9.6,-74.22,104.06,-4.78,0.006196,-8.14,43.8,21.0,-13.2,65.33,6.6,15.4,28.8,6.14,12.78,21.74,-175.6,-0.1950198688,25.8,-8.72697,-8.73,-22.6778,-52.65,-45.52,-3272.35,5.97,4.06,2.52,12.86,-955.55,-423.74,0.0,0.0,0.0,0.0,0.0,-17.7062,66.5575,0.000407,-20.561999999999998,36.199,-52.224,10.415,-21.611,-5.816,-5.406000000000001,0.0,-144.86,366.04,61.24,25.67,1848.0020000000002,38.400392134200004,-2.66,2.659,0.5852,-1.334,-24.72,-3207.0,5.615,5.64,-3232.0,-1.534,1.298,0.7059,3.16,39.03,-447.9,6.834,3.1069999999999998,-412.6,-3547.7934119999995,-3620.5226770000004,3703.25,-1100.2,4803.46,0.1305,0.0,0.0,0.0,-7.6275520000000006,-4.5611,1.6719490000000001,-9.262382,-9.17393914618,10.3765,0.002636,55
swarm_10_159.pdb,11,8,4,1,3,4,11,7,5,0,1,4,4,1,0,0.44636363636363635,0.51,0.4537500000000001,0.57,0.385,0.45999999999999996,0.4418181818181818,0.5171428571428571,0.5820000000000001,0.0,0.43,0.6824999999999999,0.83,0.0,0.77,3.630000000000001,2.28,1.54,1.38,4.859999999999999,3.6199999999999997,2.91,0.0,0.43,2.7299999999999995,0.83,0.0,3.08,24.28,37.35,2201.75,1053.3400000000001,1148.4099999999962,3.3166247903554,1.0,3.3166247903554,0.0,2.6457513110645907,2.23606797749979,2.8284271247461903,2.0,1.7320508075688772,2.0,1.0,0.0,2.0,2.0,1.0,0.6542,-1.104,-1.2,-10.4,-19.4,-163.6,0.68,-138.0,127.24,-2.36,0.05019,-3.66,19.0,6.2,-21.6,31.22,1.4,10.8,19.0,-0.46,-1.78,-0.04,-230.0,0.3777107014,-9.6,-9.641076,-18.74,-33.4652,-69.09,-71.76,-5182.51,-7.3,11.33,30.48,28.91,-1314.79,-176.92,0.0,0.0,0.0,0.0,0.0,-47.0926,667.172,0.000225,-30.515,12.305,-5.805,-18.791,-29.863000000000003,-0.937,-0.37,0.0,-143.73,132.53,-584.16,46.86,-3855.127,20.6696620255,-3.372,3.318,-0.1161,-2.043,-71.12,-4412.0,1.187,27.3,-4457.0,-2.296,1.875,-0.0902,3.36,37.3,-564.5,5.227,10.33,-522.1,-4898.633286,-5013.320124,2819.63,-1703.28,4522.89,-0.2199,0.0,0.0,0.0,2.070948,0.753681,-8.102945,-17.682387,-21.563018593400002,11.0082,0.005672,64
swarm_101_59.pdb,5,1,9,5,6,6,14,3,6,0,1,0,0,3,2,0.5,0.532,0.63,0.5366666666666667,0.4377777777777778,0.4083333333333334,0.45428571428571424,0.5333333333333333,0.4383333333333333,0.34,0.3833333333333333,0.0,0.58,0.0,0.0,0.63,3.2200000000000006,3.9400000000000004,2.45,6.359999999999999,1.6,2.63,0.68,1.15,0.0,0.58,0.0,0.0,24.11,37.18,1911.7099999999991,945.4799999999996,966.2299999999996,2.23606797749979,2.23606797749979,3.7416573867739413,1.4142135623730951,1.7320508075688772,2.449489742783178,1.0,3.0,2.449489742783178,2.449489742783178,1.0,0.0,0.0,0.0,1.7320508075688772,4.1924,0.568,4.82,-5.8,-18.0,-189.4,7.66,-154.56,161.92,0.36,0.239798,-1.6,31.8,19.0,-17.8,91.02600000000001,9.4,24.2,29.6,-2.58,1.4,11.94,-288.2,0.5355798039999999,8.3,-3.4854769999999995,-11.12,-26.2371,-57.85,-42.21,-3925.22,-13.36,-0.64,33.87,54.15,-939.6,525.43,0.0,0.0,0.0,0.0,0.0,-11.1956,1173.52,0.00040300000000000004,-16.622,13.802,29.673000000000002,0.14800000000000002,-100.992,-3.67,-1.751,0.0,-28.98,130.04,-171.48,80.19,1302.802,2.41452405159,-3.2889999999999997,3.128,-1.079,-0.4902,-103.0,-3731.0,-6.046,32.74,-3795.0,-2.123,1.3769999999999998,0.024919999999999998,4.061,-19.97,-444.3,6.053999999999999,8.521,-461.8,-4118.293845,-4190.01191,3266.98,-1356.68,4623.63,-0.1695,0.0,0.0,0.0,-6.421141,-6.996358,-13.536798999999998,-22.857441,-15.4769837474,11.8732,0.005705,61
swarm_10_176.pdb,10,12,7,1,6,3,14,6,11,2,0,3,2,2,0,0.485,0.29,0.4883333333333333,0.5433333333333333,0.4142857142857143,0.3566666666666667,0.4021428571428571,0.48166666666666663,0.5954545454545455,0.0,0.41,0.46,0.0,0.6950000000000001,0.6466666666666667,5.859999999999999,1.63,2.9000000000000004,2.14,5.629999999999999,2.8899999999999997,6.55,0.0,0.82,0.92,0.0,1.3900000000000001,1.9400000000000002,24.23,37.54,2306.439999999995,1161.380000000001,1145.0700000000033,3.1622776601683795,1.0,3.7416573867739413,0.0,2.449489742783178,3.3166247903554,3.4641016151377544,2.6457513110645907,2.449489742783178,1.7320508075688772,0.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.4142135623730951,-0.0884,-5.518,-0.02,-12.4,-23.4,-238.2,7.04,-179.32,187.72,-2.08,0.062874,-3.92,35.6,14.0,-31.6,100.28399999999999,5.0,20.8,34.4,1.12,3.46,6.5,-321.6,0.81268901,0.4,-10.765461,-18.39,-33.7858,-77.38,-71.06,-7039.23,8.68,12.56,-2.37,-0.48,-1298.05,56.11,0.0,0.0,0.0,0.0,0.0,-69.8813,263.247,0.00023799999999999998,-36.164,22.359,-2.455,-14.050999999999998,-24.498,-4.04,-3.574,0.0,-153.44,191.81,-521.5,14.37,-3764.1659999999997,20.1716653584,-3.5839999999999996,3.592,0.2257,-2.443,-179.2,-4134.0,4.14,15.41,-4302.0,-1.729,1.3619999999999999,0.7334,3.5660000000000003,-8.097000000000001,-592.3,11.06,5.957999999999999,-605.5,-4853.06372,-4968.750468,2822.88,-1734.96,4557.85,0.0198,0.0,0.0,0.0,-11.083748,-12.986048,-16.561464,-26.677936,-24.712648155900002,13.3731,0.006784999999999999,79
swarm_102_130.pdb,5,5,3,3,4,3,17,5,6,0,1,3,2,1,0,0.378,0.5266666666666667,0.554,0.55,0.39666666666666667,0.4475,0.42235294117647054,0.53,0.6366666666666666,0.0,0.41,0.38,0.58,0.0,0.7033333333333335,2.77,1.6500000000000001,1.19,1.79,7.179999999999999,2.65,3.82,0.0,0.41,0.76,0.58,0.0,2.1100000000000003,24.2,37.06,2125.3600000000006,1140.579999999998,984.7799999999952,2.23606797749979,1.7320508075688772,4.123105625617661,0.0,2.23606797749979,2.449489742783178,2.23606797749979,1.7320508075688772,2.0,1.7320508075688772,1.0,0.0,1.7320508075688772,1.4142135623730951,1.0,-1.1440000000000001,-2.2159999999999997,-1.74,-8.2,-25.0,-141.8,1.06,-122.78,113.42,-1.5,0.04166,-3.34,15.2,6.4,-18.8,37.994,-6.0,4.4,8.2,-6.48,-3.2,-4.2,-225.2,0.3339615806,-0.1,-10.443581,-13.8,-26.8406,-66.15,-52.51,-5015.97,-13.08,3.81,-4.93,-13.34,-1133.42,-52.3,0.0,0.0,0.0,0.0,0.0,-57.3162,-62.4016,0.00021600000000000002,-24.826,27.595,-43.907,-1.621,-0.125,2.099,2.102,0.0,-88.94,119.98,-199.66,-118.16,586.617,-11.8168636403,-2.7110000000000003,2.7030000000000003,0.4134,-1.1520000000000001,-76.16,-3323.0,4.599,25.76,-3378.0,-1.2770000000000001,0.9882,-0.6918,1.085,7.456,-464.7,3.3689999999999998,1.5130000000000001,-459.1,-4180.203151,-4251.37027,2671.19,-1353.36,4024.55,-0.0817,0.0,0.0,0.0,-0.312267,-1.86733,-6.652645,-20.12921,-13.6436149262,7.78534,0.004828,58
swarm_10_21.pdb,2,5,14,4,5,6,15,8,6,1,3,4,1,2,1,0.46499999999999997,0.47,0.516,0.555,0.45714285714285713,0.308,0.45066666666666666,0.49500000000000005,0.4483333333333333,0.44,0.33999999999999997,0.24,0.6466666666666666,0.49,0.6849999999999999,2.58,3.33,6.3999999999999995,1.54,6.76,3.9600000000000004,2.69,0.44,0.6799999999999999,0.24,1.94,0.49,2.7399999999999998,23.95,37.52,2451.269999999997,1177.0699999999997,1274.199999999997,1.4142135623730951,2.0,3.872983346207417,1.0,2.8284271247461903,2.449489742783178,2.23606797749979,3.7416573867739413,2.23606797749979,2.449489742783178,1.7320508075688772,1.0,2.0,1.0,1.4142135623730951,2.045,2.2319999999999998,2.52,-8.0,-15.2,-272.4,5.74,-216.32,213.1,-1.32,0.001194,-1.92,43.0,28.8,-20.4,66.048,20.6,31.4,37.2,-3.52,3.52,10.76,-352.6,0.0405796966,4.1,-2.680503,-13.38,-33.0509,-72.83,-70.35,-6221.72,3.89,-9.96,45.44,35.23,-978.18,1467.33,0.0,0.0,0.0,0.0,0.0,80.054,3620.94,0.000206,-25.303,24.379,114.45,10.520999999999999,-60.658,-3.41,-2.2569999999999997,0.0,-38.11,141.42,-674.76,88.66,-3776.5570000000002,23.361889980500003,-2.406,2.323,-0.5984,-0.6808,134.1,-5061.0,-0.6601,28.33,-4898.0,-1.492,1.172,0.1035,2.911,72.81,-685.4,8.215,8.504,-612.3,-4823.150578,-4915.067514,3570.27,-1784.42,5354.68,0.2202,0.0,0.0,0.0,-8.338046,-8.999919,-10.087461,-26.359817,-28.6957128494,11.8114,0.005935,77
swarm_102_67.pdb,5,2,11,6,6,1,13,5,3,0,0,1,0,2,0,0.442,0.4400000000000001,0.5800000000000001,0.32,0.43000000000000005,0.38999999999999996,0.48538461538461536,0.46799999999999997,0.5233333333333333,0.0,0.27,0.0,0.0,0.0,0.7,1.1600000000000001,0.32,4.73,2.34,6.31,2.34,1.57,0.0,0.54,0.0,0.0,0.0,0.7,24.19,37.48,1834.4100000000035,896.6299999999974,937.7900000000009,2.23606797749979,2.449489742783178,3.605551275463989,0.0,2.23606797749979,1.7320508075688772,1.4142135623730951,3.3166247903554,2.449489742783178,1.0,0.0,0.0,1.0,0.0,1.4142135623730951,3.0176,-2.64,5.0,-6.0,-21.6,-211.8,4.18,-164.9,161.4,0.46,0.306564,-2.08,23.2,9.6,-24.0,83.126,0.6,18.0,25.6,-0.16,5.16,-5.12,-284.8,0.1550635226,2.3,-7.622081,-12.61,-22.323,-52.98,-55.22,-3974.98,8.3,6.19,-10.59,7.09,-1045.1,-160.84,0.0,0.0,0.0,0.0,0.0,-66.9032,685.811,0.000375,-33.586999999999996,12.372,-43.422,-25.557,-46.909,-5.111000000000001,-4.22,0.0,-76.97,49.0,-512.13,121.75,-172.201,18.441364593499998,-3.668,3.568,-0.7901,-1.056,-68.78,-3236.0,-2.128,5.9510000000000005,-3297.0,-2.825,2.7960000000000003,-0.4096,-0.2867,2.521,-388.8,3.7260000000000004,-5.695,-395.7,-3761.8786609999997,-3857.717658,2897.17,-1140.8,4037.98,0.0914,0.0,0.0,0.0,-2.190435,-9.037241,-0.978965,-17.314016,-17.8873580822,11.200999999999999,0.0048909999999999995,55
swarm_102_98.pdb,2,3,6,4,8,3,9,4,5,0,5,3,1,3,0,0.46499999999999997,0.42500000000000004,0.6166666666666667,0.5366666666666666,0.4566666666666667,0.375,0.4822222222222222,0.5125,0.548,0.0,0.5233333333333333,0.52,0.646,0.0,0.63,1.85,1.6099999999999999,2.74,3.0,4.34,2.05,2.74,0.0,1.57,0.52,3.23,0.0,1.8900000000000001,24.24,37.12,1686.3800000000047,755.8499999999985,930.5299999999988,1.4142135623730951,2.0,3.0,0.0,2.0,2.23606797749979,1.7320508075688772,2.449489742783178,2.8284271247461903,1.7320508075688772,2.23606797749979,0.0,1.7320508075688772,1.0,1.7320508075688772,1.9112,-2.282,-1.16,-8.2,-10.4,-121.2,2.64,-116.3,116.12,-2.34,0.052528,-5.38,22.0,12.4,-12.2,22.178,10.6,18.2,19.2,-1.46,5.96,-2.18,-209.2,0.00042536879999999997,-1.1,-6.323517,-10.64,-22.3481,-46.67,-33.79,-3827.75,-22.12,10.5,-4.68,13.72,-987.41,-201.35,0.0,0.0,0.0,0.0,0.0,-71.033,150.499,0.000367,-29.04,6.64,-16.721,-24.072,-25.596999999999998,-2.354,-1.868,0.0,-139.64,71.17,-366.6,65.55,622.893,-2.30960819664,-2.207,2.102,-0.6629999999999999,-0.3549,11.6,-3102.0,-2.6069999999999998,39.99,-3048.0,-0.8307,0.5943,-0.03888,1.9809999999999999,31.32,-402.7,3.2969999999999997,4.878,-369.8,-3734.545899,-3799.907567,2650.02,-1110.03,3760.03,-0.0952,0.0,0.0,0.0,-5.050242,-8.536684,-8.025538000000001,-13.916038,-12.7784115448,10.4294,0.005286,56
