Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_100_101.pdb,6,1,3,1,3,3,4,14,4,0,0,0,1,0,1,0.43333333333333335,0.37,0.53,0.5733333333333334,0.5066666666666667,0.37666666666666665,0.485,0.49571428571428566,0.78,0.83,0.0,0.52,0.0,0.0,0.0,0.53,1.7200000000000002,1.52,1.13,1.94,6.9399999999999995,3.12,0.83,0.0,0.52,0.0,0.0,0.0,25.7,35.51,1265.9500000000044,616.5699999999979,649.369999999999,2.449489742783178,1.0,2.0,1.0,3.7416573867739413,2.0,1.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.0,0.0,0.0,1.0,0.0,0.7959999999999999,-6.494,-5.68,-12.6,-20.8,-112.0,0.34,-94.22,95.76,-6.68,-0.021654,-11.62,19.2,5.4,-20.6,69.28,3.0,8.6,15.2,1.0,-1.54,-6.34,-178.2,-1.2585091332,7.8,-7.884189999999999,-12.62,-24.006999999999998,-47.96,-54.34,-3409.65,-17.26,-7.18,-57.88,-21.86,-837.05,-247.25,0.0,0.0,0.0,0.0,0.0,-66.8639,-42.3151,0.000493,-25.429000000000002,14.663,-42.471000000000004,-15.013,12.574000000000002,-2.6710000000000003,-2.91,0.0,-145.05,129.87,-271.45,-3.73,3150.722,24.5571589808,-1.725,1.636,-1.181,-0.6502,-169.8,-2848.0,-3.514,-39.67,-3054.0,-1.56,0.9107,-1.1059999999999999,2.84,-22.89,-324.7,2.5869999999999997,-3.2230000000000003,-353.4,-4728.415028,-4780.604111,3270.0,-1389.16,4659.17,-0.0961,0.0,0.0,0.0,-5.209465,-7.690903,-8.323179,-14.460965,-12.6724111162,5.61298,0.007829000000000001,41
swarm_100_116.pdb,11,2,8,3,4,1,12,13,7,0,0,0,2,2,1,0.43454545454545457,0.40666666666666673,0.575,0.62,0.45625000000000004,0.3825,0.43166666666666664,0.4884615384615385,0.5428571428571428,0.51,0.48,0.565,0.0,0.0,0.0,1.15,0.62,3.6500000000000004,1.53,5.18,6.3500000000000005,3.8,0.51,0.96,1.13,0.0,0.0,0.0,26.57,35.27,1825.4700000000012,854.8700000000008,970.5900000000001,3.3166247903554,1.7320508075688772,3.4641016151377544,1.0,3.605551275463989,2.6457513110645907,1.4142135623730951,2.8284271247461903,2.0,1.0,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,3.02,-0.027999999999999997,5.54,-6.8,-13.2,-140.6,4.6,-147.12,152.32,-1.0,-0.117592,-1.76,25.2,13.2,-19.0,28.561999999999998,11.8,22.2,29.6,-2.0,9.12,15.5,-266.2,0.2978384052,6.9,-10.480078,-18.76,-33.801,-56.36,-51.73,-3679.77,-25.06,-13.31,-43.14,-5.71,-1279.8,-812.88,0.0,0.0,0.0,0.0,0.0,-70.1893,-22.1563,0.000384,-23.529,20.625999999999998,-67.717,-9.675,-15.651,-6.247000000000001,-5.95,0.0,-182.9,181.9,-162.63,39.9,-1276.7069999999999,23.8303519479,-2.4930000000000003,2.364,-1.3869999999999998,-0.5894,-238.9,-4391.0,-6.316,-43.98,-4668.0,-1.831,1.464,-0.054729999999999994,2.998,30.14,-480.3,6.882000000000001,-2.16,-459.2,-5768.205494,-5843.633715,3741.8,-1841.81,5583.62,-0.0058,0.0,0.0,0.0,-8.272089,-8.762188,-7.535931,-15.263781,-16.5137738841,7.23307,0.007,66
swarm_100_145.pdb,7,6,2,9,1,3,11,11,0,0,0,1,1,1,1,0.4628571428571428,0.3911111111111112,0.5599999999999999,0.6733333333333333,0.385,0.41,0.46636363636363637,0.49636363636363634,0.0,0.34,0.48,0.52,0.0,0.0,0.74,3.36,2.02,0.77,0.41,5.13,5.46,0.0,0.34,0.48,0.52,0.0,0.0,0.74,25.88,35.53,1725.2900000000009,878.4200000000001,846.8600000000006,2.6457513110645907,3.0,3.3166247903554,1.0,3.3166247903554,0.0,2.449489742783178,1.4142135623730951,1.0,1.7320508075688772,0.0,0.0,1.0,1.0,1.0,4.529,-4.064,5.42,-12.0,-15.2,-119.6,6.42,-115.08,141.44,-2.98,-0.019582,-3.36,26.8,14.4,-15.2,12.828,9.0,22.2,27.6,2.9,21.58,19.02,-243.8,0.4915154548,9.2,-7.113026,-12.76,-27.304000000000002,-36.51,-36.43,-2409.37,9.77,-1.67,9.16,5.35,-1051.84,-436.15,0.0,0.0,0.0,0.0,0.0,-60.0397,118.125,0.000407,-13.529000000000002,6.931,-47.748000000000005,-11.373,-164.482,-3.5810000000000004,-0.456,0.0,-85.77,126.67,-184.36,-62.96,1855.09,9.140968605880001,-3.57,3.388,-0.5735,0.06914,-376.8,-3290.0,-1.266,-3.545,-3669.0,-3.055,2.4859999999999998,-1.446,1.693,-42.91,-410.3,1.554,-0.239,-455.0,-5051.320009,-5114.131424,2350.39,-1584.19,3934.56,-0.091,0.0,0.0,0.0,-0.487849,1.6450790000000002,-6.484653,-15.771409,-14.811793478,5.63507,0.007389,54
swarm_100_172.pdb,25,15,41,17,26,7,50,36,11,1,16,7,5,19,8,0.4248000000000002,0.3864705882352942,0.5146666666666667,0.5442857142857144,0.4365853658536586,0.345,0.4576,0.5008333333333334,0.5654545454545454,0.4674999999999999,0.4826315789473684,0.5800000000000001,0.696875,0.9,0.6885714285714286,7.7200000000000015,3.8100000000000005,17.900000000000002,8.969999999999999,22.88,18.03,6.22,3.7399999999999993,9.17,2.9000000000000004,11.15,0.9,4.82,26.08,35.19,2905.2700000000004,1384.5400000000009,1520.7299999999996,5.0,4.123105625617661,7.0710678118654755,2.8284271247461903,6.0,3.3166247903554,3.872983346207417,6.4031242374328485,5.0990195135927845,2.6457513110645907,4.0,1.0,2.6457513110645907,2.23606797749979,4.358898943540674,14.1644,-17.25,16.74,-15.2,-74.2,-717.4,9.42,-762.64,710.18,-1.98,0.1815,-4.34,131.6,87.8,-59.6,237.998,64.4,113.0,133.8,-7.06,38.14,17.2,-1265.2,-0.8889389912000001,11.5,47.414846999999995,27.5,-12.793,-196.39,-164.29,-15734.89,101.72,-17.33,820.83,546.22,667.19,12652.23,0.0,0.0,0.0,0.0,0.0,340.106,16951.4,0.000194,-60.18,13.573,1036.64,57.056999999999995,-283.91200000000003,-18.102,-12.708,0.0,776.19,667.14,-2921.46,1329.71,-1867.9070000000002,82.41442153279999,-3.148,3.085,-0.5479,-1.072,-2029.0,-8755.0,17.97,-156.0,-10960.0,-3.2910000000000004,2.765,-0.688,1.781,-338.3,-1588.0,23.5,-50.79,-2000.0,-4376.369196,-4624.355842,13429.33,-1845.08,15274.4,1.1848,0.0,0.0,0.0,-7.5625279999999995,-32.004857,-23.723507,-88.970011,-42.1410001382,48.3868,0.00318,284
swarm_100_196.pdb,9,2,5,2,2,0,12,11,1,0,0,0,0,1,0,0.4288888888888888,0.68,0.63,0.0,0.43599999999999994,0.46499999999999997,0.455,0.48363636363636364,0.43,0.0,0.47,0.0,0.0,0.0,0.0,1.26,0.0,2.1799999999999997,0.9299999999999999,5.46,5.32,0.43,0.0,0.47,0.0,0.0,0.0,0.0,26.32,35.65,1533.630000000001,715.1700000000001,818.4699999999993,3.0,1.4142135623730951,3.4641016151377544,0.0,3.3166247903554,1.0,1.4142135623730951,2.23606797749979,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,1.0,4.2476,1.9240000000000002,4.72,-4.8,-14.4,-126.4,3.82,-133.54,136.32,-0.94,-0.10519400000000001,-3.74,22.0,15.6,-13.0,11.276,11.6,23.6,28.6,-3.72,-1.86,-1.5,-247.4,-0.446368162,9.2,-9.127673,-12.91,-28.17,-53.14,-44.8,-2265.19,-16.42,4.09,-24.92,-2.08,-1059.06,-352.42,0.0,0.0,0.0,0.0,0.0,-49.3339,-34.3778,0.000404,-11.29,7.979,-58.458,-9.157,-30.689,-2.696,-2.113,0.0,-140.78,118.75,-233.51,34.23,-7719.175,20.868448358,-2.301,2.292,-0.0136,-1.153,6.8260000000000005,-3618.0,3.548,-40.08,-3655.0,-1.82,1.788,0.2284,0.8661,71.99,-424.3,5.502000000000001,-1.492,-359.3,-5226.155569,-5292.021967000001,3337.2,-1577.61,4914.81,-0.0985,0.0,0.0,0.0,-1.8504349999999998,-5.089395,-4.075655,-12.638967999999998,-14.318026053199999,6.01385,0.009622,45
swarm_100_63.pdb,8,4,8,5,5,1,17,14,2,0,0,0,0,2,1,0.43624999999999997,0.386,0.5575,0.62,0.45125000000000004,0.348,0.4847058823529412,0.5021428571428573,0.31,0.83,0.475,0.0,0.0,0.0,0.0,2.23,0.62,3.6100000000000003,1.74,8.24,7.030000000000002,0.62,0.83,0.95,0.0,0.0,0.0,0.0,26.68,36.3,1723.4799999999996,919.6200000000008,803.8600000000006,2.8284271247461903,2.23606797749979,4.123105625617661,1.0,3.7416573867739413,1.4142135623730951,2.0,2.8284271247461903,2.23606797749979,1.0,0.0,0.0,0.0,0.0,1.4142135623730951,4.7578,-6.704,6.74,-14.4,-12.4,-185.2,7.92,-154.76,179.02,-4.06,0.029106,-7.84,41.4,20.4,-20.0,61.416000000000004,15.6,34.4,48.8,0.26,18.04,21.54,-293.0,-0.9085038298,9.7,-9.542647,-10.04,-27.51,-72.04,-51.42,-3336.08,-5.79,-5.1,-10.61,27.11,-1055.97,-106.89,0.0,0.0,0.0,0.0,0.0,-32.7553,170.247,0.00037200000000000004,-15.008,21.863000000000003,-43.023999999999994,2.552,20.479,-7.569,-7.957999999999999,0.0,-148.8,234.33,-255.95,94.89,-3277.215,34.636592994699996,-2.373,2.2030000000000003,-2.069,-0.7962,-488.6,-3732.0,-9.137,-21.86,-4234.0,-2.503,1.923,0.3628,3.679,-50.18,-485.9,9.549,-3.968,-549.6,-5160.287353,-5226.289879999999,4761.42,-1550.22,6311.64,-0.1946,0.0,0.0,0.0,-8.486129,-13.346020999999999,-5.152793,-19.292282,-17.902880703399997,6.01778,0.003164,67
swarm_100_7.pdb,7,1,5,5,3,1,15,9,2,0,0,0,0,1,0,0.3814285714285714,0.386,0.35,0.55,0.45199999999999996,0.4066666666666667,0.47066666666666657,0.5277777777777778,0.28,0.0,0.48,0.0,0.0,0.0,0.0,0.35,0.55,2.26,1.22,7.059999999999999,4.75,0.56,0.0,0.48,0.0,0.0,0.0,0.0,25.65,35.87,1513.1100000000006,738.9599999999991,774.1499999999978,2.6457513110645907,2.23606797749979,3.872983346207417,0.0,3.0,1.4142135623730951,1.0,2.23606797749979,1.7320508075688772,1.0,0.0,0.0,0.0,0.0,1.0,4.5672,-3.3819999999999997,4.36,-11.6,-14.8,-137.6,7.86,-115.1,141.9,-4.24,-0.0004980000000000001,-7.54,38.4,22.0,-13.4,35.784,13.8,28.4,39.0,4.7,13.18,9.94,-239.0,-0.393207246,17.9,-6.1102419999999995,-13.08,-24.891,-47.86,-43.26,-2806.72,-2.95,2.51,-0.06,-3.14,-1009.49,-388.15,0.0,0.0,0.0,0.0,0.0,-40.1701,58.4725,0.000407,-19.135,15.690999999999999,-53.049,-8.749,-5.712000000000001,-5.211,-5.102,0.0,-110.62,201.78,-233.65,37.77,3982.1679999999997,25.8059420115,-3.03,2.912,-1.463,-1.545,-37.71,-3752.0,-8.83,-38.92,-3820.0,-3.0810000000000004,2.613,0.2756,2.925,3.986,-408.3,7.254,2.7680000000000002,-408.8,-4875.413737,-4924.109821,3342.7,-1429.51,4772.21,-0.1282,0.0,0.0,0.0,-0.188093,-8.539489999999999,-1.681334,-9.744713,-13.155131089000001,6.01909,0.00851,49
swarm_100_83.pdb,9,15,4,6,1,4,22,15,4,1,0,4,0,0,0,0.44111111111111106,0.39166666666666666,0.5513333333333333,0.5775,0.485,0.56,0.4581818181818182,0.48666666666666686,0.595,0.0,0.0,0.0,0.0,0.9,0.73,8.27,2.31,1.94,0.56,10.08,7.3000000000000025,2.38,0.0,0.0,0.0,0.0,0.9,2.92,25.77,36.17,2207.66,1173.380000000001,1034.2900000000009,3.0,2.449489742783178,4.69041575982343,0.0,3.872983346207417,2.0,3.872983346207417,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,3.4284,-5.9639999999999995,4.08,-14.2,-32.0,-161.8,1.1,-167.84,169.68,-4.96,-0.014012,-7.66,13.6,2.0,-31.0,18.948,6.6,20.6,25.8,2.48,0.78,-14.7,-315.4,-1.584329445,-2.5,-7.866230000000001,-16.94,-36.876999999999995,-86.16,-58.48,-5806.57,-30.89,-9.84,12.88,14.69,-1470.05,258.62,0.0,0.0,0.0,0.0,0.0,-20.1912,1621.28,0.000202,-28.546,19.086,45.63,-4.897,-70.41199999999999,-5.48,-4.1419999999999995,0.0,-137.35,179.78,-537.72,-59.35,-1836.455,27.815551463000002,-3.218,2.9619999999999997,-2.491,-0.2438,-745.0,-4672.0,-17.19,-46.67,-5446.0,-2.48,1.4809999999999999,-1.5590000000000002,3.966,-81.72,-558.0,2.997,-2.1830000000000003,-644.9,-6088.715485,-6187.941901,4687.91,-2117.23,6805.14,-0.1405,0.0,0.0,0.0,-6.519766000000001,-11.073782000000001,-17.340617,-29.245227000000003,-19.4554755646,19.7265,0.006659,85
swarm_10_133.pdb,10,6,3,4,0,0,8,8,0,0,0,0,3,1,0,0.4170000000000001,0.35500000000000004,0.5083333333333333,0.0,0.39666666666666667,0.0,0.435,0.48624999999999996,0.0,0.0,0.48,0.5766666666666668,0.0,0.0,0.0,3.05,0.0,1.19,0.0,3.48,3.8899999999999997,0.0,0.0,0.48,1.7300000000000002,0.0,0.0,0.0,25.82,35.45,1240.9500000000044,624.159999999998,616.7799999999988,3.1622776601683795,2.0,2.8284271247461903,0.0,2.8284271247461903,0.0,2.449489742783178,1.7320508075688772,0.0,0.0,0.0,0.0,0.0,1.7320508075688772,1.0,2.772,-0.382,2.94,-7.6,-10.2,-80.6,3.54,-81.72,92.5,-1.48,-0.00861,-2.38,17.0,8.8,-9.0,0.17600000000000002,4.8,11.2,17.0,2.92,5.1,15.6,-159.4,0.4260705212,10.2,-8.785445,-8.51,-23.408,-22.76,-12.39,-1303.83,-25.54,-11.18,-30.45,-1.81,-935.05,-588.05,0.0,0.0,0.0,0.0,0.0,-26.1904,114.26799999999999,0.000547,-11.088,6.4670000000000005,-33.22,-7.943,-17.653,-4.423,-4.087,0.0,-59.91,123.56,-266.67,54.93,-9972.219000000001,8.469936785169999,-3.201,3.071,-0.5563,0.4286,-317.7,-2794.0,0.1108,7.105,-3105.0,-2.7039999999999997,2.384,-0.9717,0.6286,-19.02,-254.6,1.354,-2.2230000000000003,-277.2,-4632.716979,-4678.901406,2716.76,-1387.98,4104.74,-0.0767,0.0,0.0,0.0,-2.477723,-1.8752849999999999,-6.882853999999999,-13.165348000000002,-13.2675248561,5.10281,0.006326,43
swarm_10_148.pdb,13,6,6,3,2,1,9,11,1,0,1,0,1,1,0,0.5207692307692309,0.34,0.5683333333333332,0.32,0.36166666666666675,0.28500000000000003,0.46444444444444444,0.5009090909090911,0.81,0.0,0.47,0.52,0.62,0.0,0.0,3.4099999999999997,0.32,2.1700000000000004,0.5700000000000001,4.18,5.510000000000002,0.81,0.0,0.47,0.52,0.62,0.0,0.0,25.71,35.85,1831.5999999999985,915.4500000000007,916.1600000000017,3.605551275463989,1.7320508075688772,3.0,0.0,3.3166247903554,1.0,2.449489742783178,2.449489742783178,1.4142135623730951,1.0,1.0,0.0,0.0,1.0,1.0,5.225,-2.968,5.72,-9.0,-14.2,-126.0,4.7,-142.26,156.2,-2.1,0.002564,-2.4,30.6,20.2,-11.8,29.208000000000002,14.0,26.4,32.0,-2.54,4.8,10.94,-276.2,0.5214459184,7.3,-8.637145,-14.64,-31.337,-67.37,-55.87,-2439.47,-15.41,4.29,-51.69,-20.97,-1434.29,-599.1,0.0,0.0,0.0,0.0,0.0,-39.5292,376.473,0.000299,-15.668,7.432,-51.71,-13.407,-53.61,-4.0489999999999995,-3.031,0.0,-113.67,184.13,-213.95,-28.43,-11595.4,13.2605884491,-4.152,3.966,-1.025,0.4365,-373.3,-3810.0,-3.575,14.01,-4165.0,-3.237,2.478,-2.191,2.379,-38.95,-489.1,-0.3172,2.032,-525.7,-5436.710077000001,-5502.83165,2486.21,-1783.52,4269.72,-0.1876,0.0,0.0,0.0,-1.03607,-0.7828390000000001,-7.667705000000001,-17.817687,-16.541296990699998,4.7785400000000005,0.006036,55
