Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_118.pdb,0,1,1,0,1,4,14,5,7,1,1,0,0,0,0,0.0,0.0,0.49,0.455,0.53,0.4,0.47428571428571425,0.558,0.4557142857142858,0.0,0.0,0.0,0.86,0.98,0.0,0.49,1.82,0.53,0.4,6.64,2.79,3.1900000000000004,0.0,0.0,0.0,0.86,0.98,0.0,23.04,29.57,1265.6899999999987,639.4799999999996,626.210000000001,0.0,0.0,3.7416573867739413,0.0,2.23606797749979,2.6457513110645907,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,-0.1262,-2.93,-0.82,-11.2,-19.0,-97.2,2.38,-62.54,69.06,-4.12,0.047758,-5.68,19.2,6.0,-16.8,53.013999999999996,-2.4,3.0,8.8,-0.2,-3.96,-3.4,-121.2,0.39157091200000005,3.7,-9.463522,-9.94,-17.73,-26.81,-24.71,-1847.48,-1.23,-2.34,-10.88,-8.83,-653.15,-122.17,0.0,0.0,0.0,0.0,0.0,-26.8501,3.9695300000000002,0.000466,-5.394,2.113,-46.871,-7.968,-298.475,-3.1039999999999996,2.5669999999999997,0.0,-70.17,63.06,-341.19,-71.94,815.102,23.134596053499997,-2.218,2.2640000000000002,0.5759,-0.7918,-46.38,-1978.0,3.6519999999999997,-5.869,-2034.0,-2.397,1.6680000000000001,-0.512,3.187,12.77,-315.1,0.3489,3.083,-299.6,-3267.6331969999997,-3312.728751,1468.38,-850.72,2319.12,0.0056,0.0,0.0,0.0,-3.259713,-5.734548,-2.45517,-4.327184,-8.84621794858,-3.4037300000000004,0.0056,35
swarm_0_18.pdb,3,1,7,6,9,5,12,2,12,0,0,1,0,0,0,0.44,0.4116666666666667,0.64,0.542,0.4228571428571429,0.35,0.4708333333333334,0.545,0.49666666666666665,0.0,0.0,0.0,0.0,0.0,0.67,0.64,2.71,2.96,3.15,5.65,1.09,5.96,0.0,0.0,0.0,0.0,0.0,0.67,22.77,30.36,1659.069999999998,849.3100000000004,809.7599999999993,1.7320508075688772,2.449489742783178,3.4641016151377544,0.0,1.4142135623730951,3.4641016151377544,1.0,2.6457513110645907,3.0,2.23606797749979,0.0,0.0,1.0,0.0,0.0,1.9148,-1.68,3.88,-10.4,-24.2,-144.4,4.36,-124.4,126.62,-1.64,0.043532,-4.14,27.8,12.2,-17.8,109.84200000000001,3.6,12.0,14.8,4.38,10.74,0.4,-235.2,-0.7246124740000001,4.1,-10.215321000000001,-14.49,-24.366999999999997,-45.15,-43.41,-3212.56,-9.29,2.23,0.84,-0.46,-1039.96,-307.52,0.0,0.0,0.0,0.0,0.0,-55.1781,12.5694,0.000475,-16.678,11.287,-77.53699999999999,-13.145,-397.967,-5.02,2.541,0.0,-214.85,86.33,-306.12,-156.55,1986.65,22.460919879400002,-0.1927,0.3649,0.737,-2.585,24.44,-2897.0,7.9479999999999995,-31.2,-2912.0,0.3255,-0.5319,0.08645,1.46,55.36,-491.4,3.219,-4.0360000000000005,-443.3,-4073.051255,-4131.511979,2400.31,-1176.48,3576.79,0.0975,0.0,0.0,0.0,-5.902729,-10.413662,-8.143525,-20.098882,-8.6094642727,-2.84616,0.009155,58
swarm_0_190.pdb,0,0,0,1,4,3,9,4,11,0,0,0,0,0,0,0.0,0.51,0.0,0.52,0.0,0.385,0.5144444444444445,0.4925,0.4790909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,1.54,4.63,1.97,5.2700000000000005,0.0,0.0,0.0,0.0,0.0,0.0,22.81,29.82,1246.1499999999996,622.4899999999998,623.6499999999996,0.0,1.0,3.0,0.0,2.0,3.3166247903554,0.0,0.0,2.0,1.7320508075688772,0.0,0.0,0.0,0.0,0.0,1.371,0.324,2.54,-14.4,-21.2,-113.8,4.48,-82.58,95.62,-4.44,0.016328,-7.0,24.4,7.0,-18.8,82.22200000000001,-0.8,9.4,16.8,2.34,12.1,0.66,-166.2,-1.05002546,5.7,-9.252344,-13.28,-19.063,-24.12,-20.25,-1817.4,8.43,4.23,-17.03,-3.57,-767.13,-314.78,0.0,0.0,0.0,0.0,0.0,-29.2917,7.8402899999999995,0.000624,-14.52,6.671,-45.211999999999996,-12.370999999999999,-211.084,-3.0839999999999996,0.9259999999999999,0.0,-148.11,82.91,-216.31,-116.19,766.319,10.0566958422,0.113,-0.06372,0.3732,-0.2661,42.09,-2078.0,2.995,-4.599,-2044.0,-0.021169999999999998,-0.4949,-0.5124,3.806,25.33,-333.5,0.7363,3.306,-305.6,-3426.779793,-3482.4939289999998,1003.47,-925.36,1928.83,0.0087,0.0,0.0,0.0,-7.2090320000000006,-10.850145,-11.506016,-15.623814000000001,-8.46187374013,-3.8715699999999997,0.0058130000000000005,32
swarm_0_39.pdb,1,0,4,7,5,1,9,0,10,0,0,1,0,0,0,0.48,0.39000000000000007,0.0,0.56,0.42500000000000004,0.366,0.4744444444444444,0.0,0.5509999999999999,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.56,1.7000000000000002,1.83,4.27,0.0,5.51,0.0,0.0,0.0,0.0,0.0,0.94,22.81,29.82,1221.6900000000005,645.6600000000008,576.0300000000007,1.0,2.6457513110645907,3.0,0.0,0.0,3.1622776601683795,0.0,2.0,2.23606797749979,1.0,0.0,0.0,1.0,0.0,0.0,0.4828,-1.226,1.08,-5.2,-20.2,-113.8,1.52,-101.62,96.1,-0.98,-0.057372,-2.04,10.0,1.4,-17.6,96.72399999999999,-2.2,5.4,10.0,-1.96,0.8,5.3,-183.6,-0.232525074,1.9,-7.6844470000000005,-7.45,-17.868,-29.72,-31.91,-2097.22,-1.08,-7.26,4.65,29.4,-735.6,-345.48,0.0,0.0,0.0,0.0,0.0,-17.7671,-6.61666,0.0005610000000000001,-3.3089999999999997,14.833,-44.115,7.112,-204.16099999999997,-2.21,1.669,0.0,-108.02,77.85,-127.52,-91.63,792.817,13.7030253871,-0.06326,0.1126,-0.8263,-2.319,68.74,-1991.0,-2.8480000000000003,-28.09,-1948.0,1.015,-0.9009,0.06175,-0.3825,27.3,-329.7,2.697,-8.307,-313.4,-3331.942279,-3374.056362,2216.31,-867.8,3084.1,-0.1068,0.0,0.0,0.0,-5.809972,-7.6537690000000005,-5.913317,-15.104738000000001,-5.0961259726,-3.7683800000000005,0.010553,38
swarm_0_68.pdb,0,1,2,0,4,0,14,3,7,0,0,1,0,0,0,0.0,0.0,0.61,0.0,0.48,0.35,0.47928571428571426,0.54,0.5785714285714285,0.0,0.0,0.0,0.0,0.0,0.9,0.61,0.0,0.96,1.4,6.71,1.62,4.05,0.0,0.0,0.0,0.0,0.0,0.9,22.71,30.13,1323.050000000003,644.3999999999996,678.6399999999994,0.0,0.0,3.7416573867739413,0.0,1.7320508075688772,2.6457513110645907,1.0,1.4142135623730951,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2744,-3.638,0.2,-10.4,-20.0,-99.2,3.5,-66.4,73.58,-3.26,-0.01655,-5.68,17.0,3.4,-18.6,63.242,-3.6,2.4,9.4,0.86,6.5,12.14,-134.2,-0.565129928,6.0,-8.059064,-13.51,-20.752,-25.96,-27.7,-2397.53,5.86,-2.09,-15.22,3.32,-819.87,-315.62,0.0,0.0,0.0,0.0,0.0,-37.804,-22.9812,0.0005690000000000001,-9.884,10.113999999999999,-40.931,-3.864,-261.312,-1.391,3.574,0.0,-135.86,37.12,-205.69,-176.54,1029.263,10.6140668332,0.8441,-0.8832,-0.1255,0.9129999999999999,78.81,-2137.0,1.06,-20.05,-2079.0,0.8694,-1.61,-0.4637,3.009,27.16,-324.6,0.9587,0.302,-298.1,-3583.3379700000005,-3644.163079,1265.27,-1023.56,2288.83,-0.1329,0.0,0.0,0.0,-6.3890709999999995,-7.269017,-8.069333,-8.317893,-10.5483632424,-3.0869999999999997,0.008656,32
swarm_0_94.pdb,3,2,4,4,9,2,15,4,9,1,4,1,0,1,0,0.3,0.28,0.52,0.56,0.4925,0.32666666666666666,0.4593333333333334,0.545,0.48666666666666675,0.0,0.55,0.0,0.745,0.98,0.7,1.04,1.12,1.97,2.94,6.8900000000000015,2.18,4.380000000000001,0.0,0.55,0.0,2.98,0.98,0.7,22.87,30.04,1770.8999999999996,830.3599999999988,940.5299999999997,1.7320508075688772,2.0,3.872983346207417,0.0,2.0,3.0,1.4142135623730951,2.0,3.0,1.4142135623730951,2.0,1.0,1.0,0.0,1.0,-0.88,0.446,-0.84,-7.0,-30.8,-171.6,-0.84,-165.1,135.58,-1.08,0.058074,-1.48,20.4,10.0,-23.8,61.318000000000005,-7.2,2.4,7.4,-6.06,2.04,-4.08,-264.6,0.323002522,-8.6,-10.169872,-19.97,-30.601999999999997,-55.0,-47.56,-4919.44,-12.44,-0.36,-13.29,7.76,-1192.67,-437.78,0.0,0.0,0.0,0.0,0.0,-57.2709,0.5939840000000001,0.000414,-15.940999999999999,5.7829999999999995,-64.578,-16.616,-430.85,-1.3730000000000002,6.813,0.0,-181.76,23.86,-510.35,-106.83,979.345,9.397366836669999,0.2767,-0.1927,0.2824,-1.274,40.57,-3240.0,6.966,-41.5,-3248.0,1.07,-1.224,-0.3027,0.608,69.82,-521.5,2.167,-8.157,-462.0,-4657.8941939999995,-4732.969942000001,1787.81,-1473.42,3261.23,-0.0624,0.0,0.0,0.0,-4.552908,-6.618566,-5.621565,-13.705078,-14.4466614739,-2.1903799999999998,0.010678,59
swarm_100_108.pdb,0,0,5,3,4,0,3,2,2,1,3,0,1,2,0,0.0,0.38000000000000006,0.0,0.0,0.49399999999999994,0.2925,0.40666666666666673,0.545,0.5,0.0,0.41,0.83,0.7233333333333333,0.9,0.0,0.0,0.0,2.4699999999999998,1.17,1.2200000000000002,1.09,1.0,0.0,0.82,0.83,2.17,0.9,0.0,22.81,29.82,1068.1599999999999,374.5699999999997,693.6000000000004,0.0,1.7320508075688772,1.7320508075688772,0.0,1.4142135623730951,1.4142135623730951,0.0,2.23606797749979,2.0,0.0,1.7320508075688772,1.0,0.0,1.0,1.4142135623730951,0.5078,-2.006,1.64,-1.0,-7.2,-73.4,3.34,-62.78,60.26,0.36,0.038658,-0.46,20.4,12.0,-3.0,60.294,4.2,7.2,11.2,1.46,3.18,1.66,-102.4,0.28035003199999997,-2.5,-8.310543,-11.99,-16.448,-22.25,-21.58,-2784.22,-25.38,-2.09,-23.97,-7.71,-560.68,-323.57,0.0,0.0,0.0,0.0,0.0,-44.9647,-7.16862,0.000676,-6.827999999999999,-6.756,-28.362,-16.42,-168.165,-2.168,1.0270000000000001,0.0,-29.94,-29.56,-373.48,17.71,561.09,16.8224830041,-1.41,1.248,-0.4982,1.084,56.2,-1746.0,-1.364,5.7379999999999995,-1683.0,-1.9809999999999999,1.9,-0.4209,0.4809,-4.052,-186.3,0.8444,-1.304,-192.5,-3237.187627,-3281.7576559999998,107.21,-799.44,906.65,0.0315,0.0,0.0,0.0,0.7949430000000001,0.314971,-1.2684,-5.85976,-11.454160135699999,-4.80307,0.003922999999999999,26
swarm_100_182.pdb,6,4,9,7,9,3,4,4,2,0,7,4,4,8,0,0.5033333333333333,0.32285714285714284,0.5775,0.5466666666666667,0.47777777777777775,0.37666666666666665,0.4625,0.49,0.65,0.0,0.47624999999999995,0.6825,0.7242857142857143,0.0,0.7149999999999999,2.31,1.6400000000000001,4.3,3.3899999999999997,1.85,1.96,1.3,0.0,3.8099999999999996,2.73,5.07,0.0,2.8599999999999994,22.73,29.55,2021.7800000000007,885.8400000000001,1135.9399999999996,2.449489742783178,2.6457513110645907,2.0,0.0,2.0,1.4142135623730951,2.0,3.0,3.0,1.7320508075688772,2.6457513110645907,0.0,2.0,2.0,2.8284271247461903,-1.3806,2.7939999999999996,0.48,2.8,-36.0,-228.0,-5.96,-265.68,184.28,4.38,0.041444,6.78,17.2,11.0,-19.2,67.956,-8.2,0.2,3.2,-9.22,-1.08,-2.16,-376.2,0.1784248066,-26.0,-6.197597,-13.96,-24.486,-81.32,-58.2,-4819.53,-22.3,-7.47,-20.35,13.49,-856.03,814.65,0.0,0.0,0.0,0.0,0.0,-11.4168,1998.43,0.000261,-10.809000000000001,-4.002,28.025,-12.008,-319.476,0.7609999999999999,6.831,0.0,-173.26,-191.62,-850.93,-13.41,-1888.9979999999998,1.55910191778,0.4355,-0.4482,0.4377,1.255,214.3,-3101.0,8.588,-21.03,-2917.0,-0.3544,-0.3468,-1.416,1.915,21.31,-536.6,1.063,-3.847,-520.2,-4134.258589,-4189.911293,1444.62,-1283.84,2728.46,0.0741,0.0,0.0,0.0,-1.221324,-5.776165,-1.637977,-12.414874000000001,-20.6921211439,3.5663199999999997,0.005634,71
swarm_100_60.pdb,6,0,10,2,4,2,15,4,2,0,1,4,2,1,0,0.51,0.44,0.0,0.65,0.44299999999999995,0.3425,0.45,0.5,0.515,0.0,0.48,0.755,0.67,0.0,0.73,0.0,1.3,4.43,1.37,6.75,2.0,1.03,0.0,0.48,1.51,0.67,0.0,2.92,23.56,30.22,1917.7599999999984,816.8400000000001,1100.9299999999994,2.449489742783178,1.4142135623730951,3.872983346207417,0.0,2.0,1.4142135623730951,0.0,3.1622776601683795,2.0,1.4142135623730951,1.0,0.0,2.0,1.4142135623730951,1.0,1.2076,-4.16,0.92,-6.8,-21.4,-159.0,3.78,-139.32,130.52,-0.64,0.055898,-0.24,26.0,17.4,-12.4,34.948,0.8,10.0,15.2,-4.34,1.78,9.88,-243.0,-0.5820881028,-2.4,-3.3933910000000003,-11.92,-22.509,-67.39,-56.64,-3918.54,-15.93,-0.6,25.79,46.62,-688.13,923.13,0.0,0.0,0.0,0.0,0.0,-27.4443,1455.44,0.000312,-13.193,7.421,64.885,0.7170000000000001,-351.31699999999995,-2.64,4.035,0.0,-58.04,72.99,-509.34,24.37,-170.416,18.6053772506,-2.319,2.248,0.1281,0.2395,310.0,-3323.0,3.9610000000000003,7.428,-3009.0,-3.0839999999999996,2.6260000000000003,-0.1157,2.721,59.13,-553.3,4.547,8.521,-490.2,-3827.706563,-3889.747462,1439.03,-1173.66,2612.68,0.017,0.0,0.0,0.0,-3.37503,-2.763933,-6.7094059999999995,-10.874454,-19.4079654122,10.989,0.0056229999999999995,53
swarm_101_13.pdb,2,4,3,2,2,1,7,5,1,0,0,2,1,1,0,0.58,0.39,0.5925,0.57,0.4200000000000001,0.42000000000000004,0.45000000000000007,0.532,0.77,0.0,0.48,0.53,0.0,0.0,0.8049999999999999,2.37,0.57,1.2600000000000002,0.8400000000000001,3.1500000000000004,2.66,0.77,0.0,0.48,0.53,0.0,0.0,1.6099999999999999,23.25,30.7,1322.4599999999991,638.3000000000002,684.1499999999996,1.4142135623730951,1.4142135623730951,2.6457513110645907,0.0,2.23606797749979,1.0,2.0,1.7320508075688772,1.4142135623730951,1.0,0.0,0.0,1.4142135623730951,1.0,1.0,0.4906,-2.8,-0.52,-9.0,-17.6,-104.2,-0.06,-109.06,94.72,-2.04,-0.010342,-6.4,15.8,6.6,-10.0,30.43,1.4,8.0,11.2,-3.52,3.12,13.66,-186.0,-1.0236658295999999,-1.5,-8.650253999999999,-9.71,-16.642,-31.69,-19.35,-1655.33,-21.5,-7.35,-43.33,-10.43,-642.67,-316.06,0.0,0.0,0.0,0.0,0.0,-40.7304,-76.7103,0.000529,-6.013,3.787,-31.951999999999998,-5.421,-399.974,0.349,7.949,0.0,-113.77,34.37,-138.15,-148.41,556.303,0.240230299532,-3.472,3.312,-0.44299999999999995,0.3834,-42.14,-2074.0,-1.311,3.531,-2111.0,-3.429,2.915,-0.8259,1.706,-5.535,-306.0,0.1974,0.632,-311.1,-3192.425953,-3239.0407219999997,601.97,-815.31,1417.28,-0.2151,0.0,0.0,0.0,-0.732585,-2.890415,-5.391625,-12.190603999999999,-15.6722511561,-3.7848599999999997,0.006226,31
