Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_113.pdb,4,2,3,0,9,4,13,2,9,1,0,1,0,0,0,0.47,0.0,0.56,0.4925,0.3666666666666667,0.3088888888888888,0.45076923076923087,0.53,0.36000000000000004,0.0,0.0,0.0,0.0,0.78,0.7,1.12,1.97,1.1,2.7799999999999994,5.860000000000001,1.06,3.24,0.0,0.0,0.0,0.0,0.78,0.7,34.13,27.3,1568.1399999999994,864.3299999999999,703.8099999999995,2.0,0.0,3.605551275463989,0.0,1.4142135623730951,3.0,1.4142135623730951,1.7320508075688772,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.8598,-2.4419999999999997,2.34,-9.4,-12.0,-89.8,6.28,-61.7,76.58,-1.84,0.067776,-2.76,30.0,13.8,-9.8,71.086,2.6,8.8,15.8,7.08,14.1,15.34,-124.6,0.08582213720000001,14.1,-7.681858999999999,-9.52,-25.843000000000004,-37.78,-39.24,-1672.91,3.04,-8.22,-28.01,-15.88,-1192.04,-519.57,0.0,0.0,0.0,0.0,0.0,-6.496919999999999,94.9872,0.00040199999999999996,-9.033,18.721,-40.826,5.606,16.323,-5.557,-5.867000000000001,0.0,-108.86,175.4,-224.52,-107.49,2746.461,48.9548998736,-1.421,1.505,0.5529,-1.226,340.3,-3061.0,12.8,-24.77,-2758.0,0.02188,0.06749,1.7380000000000002,1.389,58.35,-435.8,10.03,-6.017,-393.5,-4199.830951,-4261.44279,3279.02,-1400.25,4679.28,-0.0901,0.0,0.0,0.0,-2.561109,-1.7803360000000001,-1.975254,-2.554495,-6.894229228089999,-3.1882,0.002208,48
swarm_0_123.pdb,1,2,1,3,4,3,9,3,7,1,0,1,0,0,0,0.58,0.35000000000000003,0.47,0.48333333333333334,0.5,0.36,0.42555555555555546,0.49333333333333335,0.42285714285714276,0.0,0.0,0.0,0.0,0.9,0.94,0.94,1.45,0.5,1.44,3.829999999999999,1.48,2.9599999999999995,0.0,0.0,0.0,0.0,0.9,0.94,35.54,26.13,1228.0800000000017,625.3500000000004,602.75,1.0,1.7320508075688772,3.0,0.0,1.7320508075688772,2.6457513110645907,1.4142135623730951,1.0,2.0,1.7320508075688772,0.0,1.0,1.0,0.0,0.0,0.2306,-0.556,-2.94,-9.2,-11.8,-99.2,5.08,-72.76,82.0,-3.76,0.041652,-6.94,28.8,13.0,-8.8,55.672,4.4,10.2,17.8,4.18,12.5,4.92,-147.0,-0.35511128399999997,13.9,-7.275011999999999,-7.46,-18.002,-23.98,-22.94,-2106.15,16.39,2.16,-5.89,2.31,-726.33,-178.01,0.0,0.0,0.0,0.0,0.0,-35.1991,-19.5522,0.0006900000000000001,-9.772,14.297,-35.755,0.95,18.675,-4.163,-4.5169999999999995,0.0,-85.53,208.13,-210.42,65.66,1542.7939999999999,34.8238202613,-0.9779,1.015,-0.0228,-1.15,241.0,-2458.0,6.97,-12.71,-2237.0,-0.2615,0.1031,0.5138,1.845,60.41,-347.8,4.846,-0.961,-293.2,-3487.754255,-3541.303157,2325.63,-1010.29,3335.94,-0.0776,0.0,0.0,0.0,-1.7975970000000001,-2.319974,-6.587428999999999,-16.498299,-5.768370629430001,-3.9009300000000002,0.006714,35
swarm_0_173.pdb,7,7,7,5,6,7,8,2,6,0,1,4,0,4,2,0.4842857142857143,0.37,0.4900000000000001,0.5800000000000001,0.42857142857142866,0.325,0.45875,0.45999999999999996,0.565,0.41500000000000004,0.5575,0.0,0.67,0.0,0.6575,3.4300000000000006,4.0600000000000005,3.0000000000000004,1.95,3.67,0.9199999999999999,3.3899999999999997,0.8300000000000001,2.23,0.0,0.67,0.0,2.63,35.44,27.02,2045.8500000000022,921.8099999999995,1124.0400000000009,2.6457513110645907,2.23606797749979,2.8284271247461903,1.4142135623730951,1.4142135623730951,2.449489742783178,2.6457513110645907,2.6457513110645907,2.449489742783178,2.6457513110645907,1.0,0.0,2.0,0.0,2.0,2.7868,2.944,1.94,-7.0,-16.4,-153.4,5.3,-140.56,138.48,-0.14,0.055420000000000004,-1.58,30.2,18.2,-12.6,65.52600000000001,9.6,18.8,23.2,4.16,12.16,1.82,-242.0,0.1588875384,6.1,-9.181329,-17.11,-28.717,-48.53,-31.02,-4128.97,-34.1,-13.8,-81.07,-29.94,-1474.22,-705.19,0.0,0.0,0.0,0.0,0.0,-49.5664,182.274,0.000275,-11.368,6.6579999999999995,-34.949,-8.205,-42.888999999999996,-2.2230000000000003,-1.4080000000000001,0.0,-240.59,126.91,-409.36,58.71,3549.342,46.3724845164,-4.2330000000000005,4.185,0.36700000000000005,-0.8085,309.5,-4022.0,11.81,13.61,-3711.0,-3.3739999999999997,2.947,-0.47,1.755,79.08,-529.7,3.1639999999999997,3.4819999999999998,-450.3,-4625.452757,-4694.983278,1479.34,-1565.15,3044.49,-0.0172,0.0,0.0,0.0,-6.102372,-10.898854,-15.450292000000001,-23.354801000000002,-19.1219483582,3.8774699999999998,0.003803,66
swarm_0_175.pdb,0,1,2,0,2,3,10,3,12,0,0,3,0,0,0,0.0,0.0,0.61,0.49666666666666676,0.4,0.35,0.445,0.49333333333333335,0.5449999999999999,0.0,0.0,0.0,0.0,0.0,0.7366666666666667,0.61,1.4900000000000002,0.8,0.7,4.45,1.48,6.539999999999999,0.0,0.0,0.0,0.0,0.0,2.21,34.03,27.43,1163.949999999997,644.2399999999998,519.710000000001,0.0,0.0,3.1622776601683795,0.0,1.7320508075688772,3.4641016151377544,1.0,1.4142135623730951,1.4142135623730951,1.7320508075688772,0.0,0.0,1.7320508075688772,0.0,0.0,-0.8516,-7.486000000000001,-2.2,-11.6,-20.6,-116.6,3.98,-84.0,86.0,-4.18,-0.018231999999999998,-7.4,23.6,7.0,-19.6,67.528,-0.2,4.0,14.6,2.24,3.66,6.2,-156.8,-1.252090156,12.1,-9.052556,-8.84,-20.874000000000002,-40.81,-37.01,-3333.76,2.42,-8.71,-28.23,9.73,-834.56,-160.86,0.0,0.0,0.0,0.0,0.0,-32.3584,56.7293,0.000463,-13.635,14.43,-35.33,-2.738,-4.459,-0.419,-0.335,0.0,-104.87,188.63,-221.36,-39.53,161.03799999999998,26.4488735285,-0.8205,0.8176,-0.02097,0.0209,377.1,-2474.0,9.231,-20.4,-2126.0,-0.231,-0.429,-0.2605,2.7939999999999996,61.49,-413.2,3.321,0.23199999999999998,-354.8,-3714.508103,-3752.6500100000003,2679.32,-1207.6,3886.93,0.0266,0.0,0.0,0.0,-8.126959,-9.813583,-9.240226,-10.334445,-9.35142701467,-2.93604,0.002889,36
swarm_0_17.pdb,0,4,2,1,2,4,7,0,7,0,0,0,0,0,0,0.0,0.29,0.475,0.43750000000000006,0.45999999999999996,0.33999999999999997,0.4242857142857143,0.0,0.5471428571428572,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.7500000000000002,0.9199999999999999,0.6799999999999999,2.97,0.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0,34.84,27.18,982.2599999999984,540.7499999999982,441.5100000000002,0.0,1.0,2.6457513110645907,0.0,0.0,2.6457513110645907,2.0,1.4142135623730951,1.4142135623730951,2.0,0.0,0.0,0.0,0.0,0.0,-0.2362,-4.328,-1.74,-8.2,-15.6,-89.8,2.98,-68.96,70.74,-2.5,-0.038042,-4.1,16.8,2.8,-15.6,66.78,-0.2,4.4,10.8,-0.14,4.32,9.74,-127.4,-0.8744688848000001,7.1,-6.986047999999999,-10.26,-17.646,-26.29,-23.87,-2108.18,-4.48,-7.89,1.05,1.82,-664.7,-24.05,0.0,0.0,0.0,0.0,0.0,-21.8267,-23.7197,0.000736,-5.941,12.927,-27.994,4.187,-29.936,-3.262,-2.693,0.0,-105.18,153.49,-154.59,-45.22,1408.487,27.573373225900003,-1.278,1.367,0.8312,-0.8839,230.7,-2056.0,10.25,-16.01,-1852.0,-0.6257,0.2331,-0.4581,1.252,26.49,-277.1,2.356,-2.83,-255.8,-3422.829963,-3461.862289,1623.73,-1032.15,2655.88,-0.0703,0.0,0.0,0.0,-7.468371,-7.924751,-6.759574000000001,-8.808316,-2.04966762324,-6.9831199999999995,0.006370000000000001,27
swarm_0_187.pdb,0,3,2,2,1,5,17,4,4,1,0,0,1,0,0,0.0,0.34,0.54,0.5519999999999999,0.48,0.41,0.4305882352941176,0.5125000000000001,0.77,0.0,0.0,0.99,0.0,0.9,0.0,1.62,2.76,0.96,0.41,7.319999999999999,2.0500000000000003,3.08,0.0,0.0,0.99,0.0,0.9,0.0,34.62,27.97,1374.0000000000036,683.3200000000015,690.6899999999987,0.0,1.4142135623730951,4.123105625617661,0.0,2.0,2.0,1.7320508075688772,1.4142135623730951,1.0,2.23606797749979,0.0,1.0,0.0,1.0,0.0,0.0118,-8.074,-3.8,-10.2,-19.4,-126.8,4.4,-88.0,91.66,-4.22,-0.01976,-6.52,30.8,13.6,-18.6,68.148,2.0,6.0,14.8,-1.22,-3.28,8.9,-158.2,-0.46046123200000005,9.5,-8.352488000000001,-10.59,-19.299,-42.76,-38.35,-3978.45,-8.87,-2.36,-22.62,-6.05,-749.88,-177.19,0.0,0.0,0.0,0.0,0.0,-37.7973,-79.3837,0.0004940000000000001,-11.366,16.024,-42.158,0.44299999999999995,-25.15,-0.276,0.20199999999999999,0.0,-217.44,165.0,-148.27,-102.58,3215.6479999999997,25.108390599,-1.5930000000000002,1.545,-0.2138,0.5063,331.7,-2376.0,7.3839999999999995,-12.55,-2064.0,-1.327,0.4626,-2.325,2.62,81.66,-428.5,-1.693,0.1465,-345.0,-3641.0186049999998,-3671.657935,2278.19,-1144.34,3422.54,-0.1744,0.0,0.0,0.0,-10.173703,-8.869484,-7.503206,-13.772464999999999,-14.8911879191,3.0339,0.007025,40
swarm_0_191.pdb,0,3,2,0,3,2,4,3,2,0,1,2,1,1,0,0.0,0.0,0.44333333333333336,0.6,0.39,0.4633333333333334,0.425,0.5066666666666667,0.75,0.0,0.41,0.83,0.58,0.0,0.735,1.33,1.2,0.78,1.3900000000000001,1.7,1.52,1.5,0.0,0.41,0.83,0.58,0.0,1.47,34.83,26.9,998.4099999999999,405.0599999999995,593.3600000000006,0.0,0.0,2.0,0.0,1.7320508075688772,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.0,0.0,1.4142135623730951,1.0,1.0,-1.7298,-4.5280000000000005,-4.56,-7.8,-17.6,-94.8,-1.56,-85.58,65.0,-2.9,-0.022576,-5.1,8.6,1.0,-16.2,37.86,-2.6,-0.6,3.4,-4.38,-5.3,-0.44,-127.2,-0.40439802119999996,-3.2,-8.45078,-12.68,-17.169,-24.54,-27.44,-3345.22,-15.04,-4.07,-61.67,-27.14,-666.88,-432.27,0.0,0.0,0.0,0.0,0.0,-58.0504,-109.087,0.0005610000000000001,-9.644,-5.28,-44.525,-19.375999999999998,-50.821999999999996,0.635,1.601,0.0,-97.92,30.67,-356.33,17.69,1004.7489999999999,8.110723122949999,-2.329,2.335,0.04844,-1.268,223.5,-1822.0,4.686,1.286,-1602.0,-1.919,1.5090000000000001,-1.847,0.01165,67.58,-256.6,-1.5519999999999998,0.469,-187.0,-3486.746654,-3524.6738520000004,740.89,-1006.51,1747.41,0.0162,0.0,0.0,0.0,-4.887059,-5.7081290000000005,-4.589309,-3.5727330000000004,-10.0740512413,-7.080839999999999,0.008583,24
swarm_0_25.pdb,4,3,3,3,2,4,8,4,3,1,2,1,3,1,0,0.51,0.3966666666666667,0.57,0.45,0.42,0.36,0.46875,0.53,0.6033333333333334,0.0,0.41,0.83,0.67,0.9,0.9,1.71,1.8,1.26,0.72,3.75,2.12,1.81,0.0,0.41,2.4899999999999998,1.34,0.9,0.9,34.81,26.96,1477.2300000000032,635.739999999998,841.4899999999998,2.0,1.7320508075688772,2.8284271247461903,0.0,2.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.4142135623730951,2.0,1.4142135623730951,1.0,1.0,1.7320508075688772,1.0,1.1726,-4.262,-1.2,-7.0,-13.0,-107.4,3.6,-90.28,88.46,-2.36,-0.034176,-4.96,28.0,14.2,-8.4,54.45399999999999,3.4,10.0,13.6,1.7,4.34,6.04,-160.2,-0.839622148,-0.8,-8.448692,-10.81,-21.558000000000003,-29.15,-25.29,-2888.34,-12.39,-16.39,-31.46,-18.48,-884.49,-426.33,0.0,0.0,0.0,0.0,0.0,-50.114,107.49799999999999,0.00038500000000000003,-17.46,10.501,-27.026999999999997,-9.662,-41.67100000000001,0.552,1.344,0.0,-119.06,18.7,-276.48,-57.01,1416.359,23.9127449228,-2.391,2.349,0.2984,-0.1287,412.3,-2632.0,7.031000000000001,2.737,-2225.0,-2.52,2.33,-1.392,-0.7106,111.6,-470.8,-0.5018,-0.37799999999999995,-359.1,-3834.914025,-3882.5365909999996,1784.46,-1253.94,3038.39,-0.0901,0.0,0.0,0.0,-2.740079,-5.8047830000000005,-5.511891,-7.001164,-16.613484292,1.23374,0.0034289999999999998,42
swarm_0_3.pdb,5,9,6,11,4,7,10,4,10,1,0,0,0,1,0,0.434,0.440909090909091,0.5066666666666666,0.572857142857143,0.4166666666666667,0.3875,0.442,0.5275000000000001,0.536,0.0,0.87,0.0,0.0,0.9,0.0,4.56,4.010000000000001,2.5,1.55,4.42,2.1100000000000003,5.36,0.0,0.87,0.0,0.0,0.9,0.0,34.52,27.4,2107.59,1090.289999999999,1017.3100000000013,2.23606797749979,3.3166247903554,3.1622776601683795,0.0,2.0,3.1622776601683795,3.0,2.449489742783178,2.0,2.6457513110645907,0.0,1.0,0.0,0.0,1.0,1.7078,1.8880000000000001,0.6,-12.0,-22.8,-164.8,7.38,-131.12,145.66,-2.72,0.06995599999999999,-5.56,32.0,13.8,-18.2,111.86399999999999,2.6,15.6,26.4,3.1,21.16,15.14,-259.4,0.25155087,13.9,-10.419573,-15.01,-30.678,-62.08,-52.12,-5491.61,-10.14,-6.64,-16.65,2.52,-1303.58,-284.35,0.0,0.0,0.0,0.0,0.0,-69.9212,20.3108,0.000299,-8.729,22.936999999999998,-64.567,7.751,-76.533,-2.002,-0.5479999999999999,0.0,-260.93,322.6,-341.25,54.15,581.985,38.0073605543,-3.5660000000000003,3.6519999999999997,0.8103,-1.29,114.4,-3568.0,20.78,-11.85,-3486.0,-3.536,2.7880000000000003,-1.848,1.818,58.95,-602.2,0.2093,-0.24,-543.7,-4919.617215,-4983.245704999999,3053.75,-1703.19,4756.94,0.1836,0.0,0.0,0.0,1.77275,-0.660015,-15.073216,-25.838669,-19.9977128387,3.31584,0.006,68
swarm_100_114.pdb,3,3,8,1,9,2,10,8,2,1,0,0,0,1,1,0.5033333333333333,0.34,0.57,0.565,0.38749999999999996,0.32555555555555554,0.43600000000000005,0.5075000000000001,0.505,0.55,0.27,0.0,0.0,0.78,0.0,1.71,1.13,3.0999999999999996,2.9299999999999997,4.36,4.0600000000000005,1.01,0.55,0.27,0.0,0.0,0.78,0.0,34.62,27.97,1450.75,730.9100000000017,719.8400000000001,1.7320508075688772,1.0,3.1622776601683795,1.0,2.8284271247461903,1.4142135623730951,1.7320508075688772,2.8284271247461903,3.0,1.4142135623730951,0.0,1.0,0.0,0.0,1.0,2.1319999999999997,-2.806,3.52,-8.0,-9.6,-117.4,6.68,-80.6,94.56,-1.56,0.051815999999999994,-3.66,31.4,18.6,-7.8,43.38,6.0,12.4,20.6,4.04,6.32,12.7,-155.2,0.1299716148,9.7,-7.260099,-14.41,-23.340999999999998,-37.68,-39.46,-3028.3,-3.72,2.23,-19.37,8.57,-938.99,-329.26,0.0,0.0,0.0,0.0,0.0,-7.558889999999999,446.017,0.000499,-8.349,16.896,-0.63,8.484,-20.445,-4.543,-4.154,0.0,-155.13,187.55,-381.1,7.07,613.548,26.369348937399998,-1.579,1.48,-0.8561,0.301,129.2,-2827.0,7.1370000000000005,-27.78,-2733.0,-1.248,0.8618,-0.2144,2.13,40.23,-408.1,4.361000000000001,-2.57,-374.8,-4064.211118,-4116.445464,2465.51,-1350.2,3815.72,-0.0756,0.0,0.0,0.0,-0.067322,4.085557,-3.519975,-13.314281,-8.913277321419999,9.13188,0.005184,49
