Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_114.pdb,0,2,3,5,5,3,10,1,6,0,1,2,1,3,0,0.0,0.49400000000000005,0.55,0.62,0.41,0.286,0.421,0.44,0.36833333333333335,0.0,0.6433333333333334,0.7,0.88,0.0,0.8200000000000001,1.1,1.86,1.23,1.43,4.21,0.44,2.21,0.0,1.9300000000000002,0.7,0.88,0.0,1.6400000000000001,28.96,39.34,1764.960000000001,836.1999999999998,928.7600000000002,0.0,2.23606797749979,3.1622776601683795,0.0,1.0,2.449489742783178,1.4142135623730951,1.7320508075688772,2.23606797749979,1.7320508075688772,1.0,0.0,1.4142135623730951,1.0,1.7320508075688772,1.3478,4.752,5.78,-4.8,-15.6,-131.0,7.48,-110.08,116.16,1.14,0.051172,-0.54,42.0,21.4,-8.6,146.18,5.8,15.0,22.8,7.64,22.24,9.02,-200.2,0.6776678748,2.9,-6.700995,-18.04,-25.476,-34.4,-32.7,-3206.27,10.07,0.26,-6.05,3.97,-1138.11,-453.72,0.0,0.0,0.0,0.0,0.0,-37.6455,-31.5379,0.000303,-10.07,7.345,-52.78,-8.003,-154.121,-1.156,1.7719999999999998,0.0,-109.56,86.64,-466.62,-78.78,442.059,14.1644759877,-3.904,3.943,0.4289,-1.464,53.41,-2790.0,8.582,-20.03,-2765.0,-2.611,2.639,0.1608,0.4153,54.06,-416.6,4.329,-1.73,-368.6,-3870.508,-3922.2709700000005,806.84,-1146.73,1953.57,0.0227,0.0,0.0,0.0,3.569654,-0.8755040000000001,-2.571416,-7.440442999999999,-13.055717915,-3.0922,0.005857,42
swarm_0_127.pdb,2,2,2,3,3,4,5,1,7,0,1,0,2,1,1,0.505,0.2833333333333334,0.605,0.59,0.495,0.18000000000000002,0.47400000000000003,0.56,0.4342857142857143,0.48,0.57,0.835,0.73,0.0,0.0,1.21,2.36,0.99,0.54,2.37,0.56,3.04,0.48,0.57,1.67,0.73,0.0,0.0,29.21,39.33,1367.6200000000008,611.1300000000001,756.4700000000012,1.4142135623730951,1.7320508075688772,2.23606797749979,1.0,1.0,2.6457513110645907,1.4142135623730951,1.4142135623730951,1.7320508075688772,2.0,1.0,0.0,0.0,1.4142135623730951,1.0,-0.4314,2.064,-0.54,-5.8,-23.8,-122.2,-0.24,-115.22,91.34,-1.04,0.013328,-2.0,16.2,7.0,-14.4,94.714,-5.4,1.8,5.6,-3.68,5.54,2.02,-173.6,0.09869848,-4.6,-8.644851,-17.81,-22.673000000000002,-35.96,-25.34,-2614.96,-19.82,-0.04,-21.24,-16.13,-889.74,-572.92,0.0,0.0,0.0,0.0,0.0,-37.8716,-68.6123,0.0005070000000000001,-10.177999999999999,-4.519,-50.448,-19.742,-332.102,-1.3619999999999999,4.948,0.0,-89.83,4.22,-337.92,-146.8,618.174,-7.07624125779,-3.173,3.092,-0.6151,-0.3185,-77.29,-2059.0,0.5304,-6.0760000000000005,-2143.0,-2.108,1.5730000000000002,-0.9706,2.136,-15.29,-280.8,1.318,2.7089999999999996,-294.7,-3568.331322,-3611.2461009999997,374.29,-1049.8,1424.08,-0.0638,0.0,0.0,0.0,-7.903595,-7.820852,-11.98029,-17.846392,-10.453504091900001,-4.66622,0.006235,34
swarm_0_157.pdb,3,1,3,3,1,3,5,0,9,2,1,1,2,1,0,0.52,0.55,0.63,0.6900000000000001,0.49333333333333335,0.26,0.44000000000000006,0.0,0.5377777777777779,0.0,0.87,0.9099999999999999,0.88,0.9,0.74,0.63,2.0700000000000003,1.48,0.26,2.2,0.0,4.840000000000001,0.0,0.87,1.8199999999999998,0.88,1.8,0.74,29.38,38.98,1374.1200000000008,723.9200000000001,650.1999999999998,1.7320508075688772,1.7320508075688772,2.23606797749979,0.0,0.0,3.0,1.0,1.7320508075688772,1.0,1.7320508075688772,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,-0.1108,2.106,0.06,-2.6,-21.6,-114.2,0.14,-110.14,89.58,-0.24,0.10108400000000001,0.94,21.2,12.2,-9.6,146.556,-5.0,3.0,6.4,-2.16,6.82,-0.54,-167.4,0.6036655160000001,-14.0,-10.322924,-13.19,-18.383,-25.79,-15.38,-2679.95,-20.51,-14.81,-29.68,-12.95,-793.78,-448.51,0.0,0.0,0.0,0.0,0.0,-34.8333,-102.09700000000001,0.00047599999999999997,-4.865,7.044,-39.589,-1.78,-242.138,3.008,7.609,0.0,-126.54,-6.63,-283.48,-190.08,940.934,-12.0111066578,-3.1310000000000002,3.051,-1.063,-1.0290000000000001,-48.47,-1517.0,-1.63,0.03683,-1564.0,-1.972,1.609,-2.064,0.111,11.65,-335.2,-1.443,0.3084,-321.8,-3170.516166,-3200.532266,353.38,-847.15,1200.54,-0.2103,0.0,0.0,0.0,5.668165,2.064769,-8.731823,-14.166503,-12.0176227624,-4.61265,0.006257,35
swarm_0_175.pdb,3,3,4,3,3,5,7,4,5,1,2,1,1,2,2,0.5066666666666667,0.6033333333333334,0.5499999999999999,0.41600000000000004,0.44249999999999995,0.34,0.49714285714285716,0.5,0.5660000000000001,0.485,0.64,0.68,0.52,0.98,0.7,1.65,2.08,1.7699999999999998,1.02,3.48,2.0,2.83,0.97,1.28,0.68,1.04,0.98,0.7,29.14,38.86,1525.0200000000004,608.5299999999997,916.4899999999998,1.7320508075688772,1.7320508075688772,2.6457513110645907,1.4142135623730951,2.0,2.23606797749979,1.7320508075688772,2.0,1.7320508075688772,2.23606797749979,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,0.1742,0.43200000000000005,0.42,-0.8,-17.6,-138.6,-0.94,-137.32,102.68,1.64,-0.035177999999999994,-0.12,7.4,2.4,-13.0,33.396,-0.8,5.2,7.0,-3.2,3.56,2.06,-192.4,-0.5502646708,-9.2,-9.386406,-18.08,-24.261999999999997,-33.29,-37.42,-4277.53,-20.72,-2.71,-17.84,1.08,-941.15,-359.97,0.0,0.0,0.0,0.0,0.0,-55.1558,28.9128,0.000463,-4.44,-2.458,-37.535,-10.651,-142.304,0.20600000000000002,2.91,0.0,-179.08,3.89,-560.86,-26.04,1029.549,15.572808963499998,-3.365,3.304,-0.5179,-0.6474,-74.76,-2483.0,0.4818,-42.05,-2600.0,-2.45,2.239,-1.042,0.5433,19.38,-393.1,1.797,-3.585,-379.1,-3732.3165619999995,-3777.779393,699.0,-1158.99,1857.99,-0.1065,0.0,0.0,0.0,-4.083938,-7.78108,-2.581404,-9.849067999999999,-12.6006070039,-3.9380800000000002,0.009391,46
swarm_0_198.pdb,0,3,1,6,10,1,10,1,7,0,0,0,2,0,0,0.0,0.4583333333333333,0.5966666666666667,0.56,0.42,0.42699999999999994,0.4840000000000001,0.56,0.5371428571428571,0.0,0.0,0.755,0.0,0.0,0.0,1.79,0.56,0.42,4.27,4.840000000000001,0.56,3.76,0.0,0.0,1.51,0.0,0.0,0.0,28.89,39.44,1266.9800000000014,642.4199999999992,624.5699999999997,0.0,2.449489742783178,3.1622776601683795,0.0,1.0,2.6457513110645907,1.7320508075688772,1.0,3.1622776601683795,1.0,0.0,0.0,0.0,1.4142135623730951,0.0,-0.6126,-0.284,0.6,-4.2,-21.2,-113.0,3.98,-95.36,93.38,-0.26,-0.066268,-0.06,17.0,2.6,-18.2,88.32600000000001,-0.8,4.0,9.8,2.18,8.5,1.68,-171.2,-0.9031709720000001,2.2,-6.0878309999999995,-10.6,-14.757,-35.94,-21.53,-2574.26,-24.3,-5.43,-6.19,-5.2,-679.39,72.07,0.0,0.0,0.0,0.0,0.0,-18.5051,41.4839,0.000679,-4.204,10.75,-6.41,5.905,-106.18799999999999,-0.8490000000000001,1.168,0.0,-113.09,76.78,-218.54,-133.37,1207.18,33.0480915336,-3.6719999999999997,3.748,0.4092,-2.423,44.24,-1844.0,4.15,-15.0,-1818.0,-1.916,1.6980000000000002,-0.06548999999999999,1.143,-0.0588,-279.2,2.6430000000000002,-2.198,-284.1,-2724.339748,-2767.524307,754.83,-673.32,1428.15,-0.0186,0.0,0.0,0.0,-2.7135849999999997,-6.733630000000001,-3.3181760000000002,-9.677322,-10.1743238538,-3.90789,0.005927,41
swarm_0_22.pdb,2,1,1,1,3,1,2,3,5,2,0,2,1,0,1,0.52,0.37,0.64,0.53,0.42,0.3166666666666667,0.42,0.52,0.45999999999999996,0.34,0.0,0.83,0.0,0.9,0.74,0.64,0.53,0.42,0.9500000000000001,0.84,1.56,2.3,0.34,0.0,0.83,0.0,1.8,1.48,29.12,39.01,796.0600000000013,416.0100000000002,380.0500000000002,1.4142135623730951,1.0,1.4142135623730951,1.0,1.7320508075688772,2.23606797749979,1.0,1.0,1.7320508075688772,1.0,0.0,1.4142135623730951,1.4142135623730951,1.0,0.0,0.8442,-2.512,1.22,-5.6,-5.6,-43.0,3.2,-37.14,45.48,-1.38,0.07045599999999999,-2.66,19.0,11.0,-2.2,32.478,1.8,6.6,10.4,0.14,3.38,7.64,-73.8,-0.41682822,1.1,-6.557816000000001,-8.71,-14.725,-18.72,-14.48,-2024.54,14.78,0.03,-17.91,-1.17,-576.57,-335.67,0.0,0.0,0.0,0.0,0.0,-20.7802,-44.1754,0.001056,-5.954,4.546,-21.01,-3.509,-126.637,-0.82,1.587,0.0,-72.69,67.27,-232.73,13.09,-88.223,11.8429267607,-1.88,1.875,-0.747,-2.0909999999999997,190.3,-1511.0,-1.7890000000000001,-10.68,-1329.0,-0.7031,0.3581,-1.337,1.171,50.22,-228.9,-0.8767,0.499,-177.3,-2739.915578,-2764.4860289999997,647.73,-684.2,1331.94,-0.1037,0.0,0.0,0.0,-1.012484,0.982136,-4.356747,-5.909502,-2.73852863676,-4.4551300000000005,0.007640000000000001,25
swarm_0_45.pdb,1,1,0,1,2,4,7,1,5,0,0,0,0,0,0,0.49,0.44,0.49,0.615,0.0,0.23,0.4542857142857143,0.53,0.458,0.0,0.0,0.0,0.0,0.0,0.0,0.49,2.46,0.0,0.46,3.18,0.53,2.29,0.0,0.0,0.0,0.0,0.0,0.0,29.44,39.44,888.9200000000001,529.1599999999999,359.7599999999993,1.0,1.0,2.6457513110645907,0.0,1.0,2.23606797749979,1.0,0.0,1.4142135623730951,2.0,0.0,0.0,0.0,0.0,0.0,0.457,2.048,2.78,-3.8,-13.2,-78.0,4.34,-59.14,66.48,0.36,0.06564400000000001,1.1,16.8,4.8,-10.4,87.46799999999999,2.2,5.4,10.8,3.24,9.72,1.84,-113.2,-0.16313556,6.7,-6.135974,-8.61,-13.765999999999998,-13.81,-13.58,-1157.34,-10.09,3.31,-26.5,2.57,-605.86,-166.29,0.0,0.0,0.0,0.0,0.0,2.66407,40.3959,0.000776,-1.632,10.184,-15.105,7.042000000000001,-47.155,-0.745,0.151,0.0,-50.44,115.69,-33.45,-127.39,1781.236,18.8591883611,-3.6639999999999997,3.7880000000000003,1.443,-2.2,-21.39,-1256.0,7.2,-8.908,-1293.0,-2.45,2.176,0.8198,2.305,1.805,-206.5,4.306,2.501,-206.5,-2592.227864,-2615.1548559999997,1031.38,-635.65,1667.04,-0.094,0.0,0.0,0.0,-2.7177860000000003,-2.190919,-2.9189220000000002,1.05403,-3.6787250478300004,-4.98756,0.005318,22
swarm_0_62.pdb,4,1,4,5,13,2,6,2,4,1,1,2,0,1,0,0.44499999999999995,0.5960000000000001,0.58,0.485,0.4575,0.39230769230769236,0.4283333333333333,0.53,0.6375,0.0,0.53,0.0,0.46,0.98,0.635,0.58,0.97,1.83,5.1000000000000005,2.57,1.06,2.55,0.0,0.53,0.0,0.46,0.98,1.27,29.65,36.63,1615.0300000000007,650.5100000000002,964.5,2.0,2.23606797749979,2.449489742783178,0.0,1.4142135623730951,2.0,1.0,2.0,3.605551275463989,1.4142135623730951,1.0,1.0,1.4142135623730951,0.0,1.0,-0.258,-2.5980000000000003,3.64,1.4,-20.8,-145.2,2.76,-138.42,120.96,2.72,-0.04529,4.24,21.6,11.4,-13.0,138.994,1.4,7.0,12.4,-0.68,5.08,0.22,-215.4,-0.21698824,-3.6,-9.638232,-21.96,-28.160999999999998,-59.7,-48.28,-4116.31,-21.21,-4.22,-33.62,-26.86,-1175.55,-645.67,0.0,0.0,0.0,0.0,0.0,-93.6566,-120.57700000000001,0.00040899999999999997,-19.493,1.4369999999999998,-38.284,-21.884,-212.521,-2.659,1.379,0.0,-117.16,-33.01,-599.7,-64.93,1559.267,25.364678183400002,-3.947,3.963,0.7652,-1.202,-79.38,-2834.0,10.68,-37.84,-2962.0,-3.185,2.997,-1.0190000000000001,0.7278,36.06,-487.1,1.713,-2.45,-455.2,-4127.563029999999,-4195.893316,863.83,-1291.95,2155.78,-0.0326,0.0,0.0,0.0,1.75135,-6.843047,-0.8942319999999999,-14.042561,-19.8364864112,-3.60912,0.008522,46
swarm_0_94.pdb,1,2,3,2,3,3,5,1,4,0,0,0,0,0,0,0.48,0.22999999999999998,0.56,0.6900000000000001,0.4966666666666666,0.3033333333333333,0.45400000000000007,0.55,0.4525,0.0,0.0,0.0,0.0,0.0,0.0,1.12,2.0700000000000003,1.4899999999999998,0.9099999999999999,2.2700000000000005,0.55,1.81,0.0,0.0,0.0,0.0,0.0,0.0,28.96,39.89,1065.710000000001,510.85000000000036,554.8699999999999,1.0,1.4142135623730951,2.23606797749979,0.0,1.0,2.0,1.4142135623730951,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.0,0.0,0.0,0.0,0.0,1.14,3.1239999999999997,2.42,-1.8,-10.0,-64.8,2.2,-60.54,60.72,0.34,0.033422,0.04,12.4,7.2,-6.0,44.492,3.8,8.0,10.6,2.34,11.12,2.74,-107.6,-0.029621462,3.7,-7.1763699999999995,-10.77,-16.254,-23.63,-21.09,-2102.47,-10.34,-4.12,-19.68,-16.24,-664.34,-254.46,0.0,0.0,0.0,0.0,0.0,-23.0069,-24.7244,0.000665,-3.455,-0.021,-35.256,-7.002000000000001,-201.554,-2.081,1.749,0.0,-31.07,46.77,-121.95,-95.46,2198.866,18.5546310823,-3.29,3.3680000000000003,0.5195,-2.4130000000000003,23.51,-1556.0,4.613,-28.9,-1566.0,-1.817,1.315,-1.382,1.197,12.65,-243.3,-0.6442,-2.0980000000000003,-232.1,-2931.729829,-2959.087128,600.21,-758.07,1358.27,0.0683,0.0,0.0,0.0,-2.0894939999999997,-4.9567120000000005,-1.501827,-3.880833,-7.3880598076399995,-4.52139,0.007083,24
swarm_100_125.pdb,2,1,5,2,6,0,8,2,4,0,4,0,0,1,0,0.44,0.44,0.35,0.0,0.438,0.45833333333333326,0.5075000000000001,0.51,0.41250000000000003,0.0,0.47,0.0,0.6775,0.0,0.0,0.35,0.0,2.19,2.7499999999999996,4.0600000000000005,1.02,1.6500000000000001,0.0,0.47,0.0,2.71,0.0,0.0,29.28,39.78,1186.6499999999996,481.2499999999991,705.3999999999996,1.4142135623730951,1.4142135623730951,2.8284271247461903,0.0,1.4142135623730951,2.0,1.0,2.23606797749979,2.449489742783178,0.0,2.0,0.0,0.0,0.0,1.0,-0.2286,-2.146,0.6,-4.6,-19.4,-135.4,-1.14,-132.86,107.42,-0.42,-0.062702,-0.04,10.6,3.8,-18.6,26.634,1.0,6.0,7.6,-6.64,9.48,5.46,-193.8,-0.20990331780000002,-6.3,-7.3942559999999995,-15.3,-19.73,-37.13,-31.77,-2470.1,-18.75,-10.43,-11.94,-16.49,-790.17,-500.84,0.0,0.0,0.0,0.0,0.0,-15.7342,53.496,0.00044699999999999997,0.653,5.263,-19.807000000000002,3.935,-152.313,-1.276,1.618,0.0,-81.57,-46.79,-240.11,-86.82,516.0,7.10512141237,-2.293,2.099,-1.8519999999999999,-0.3819,85.24,-2304.0,-7.196000000000001,-22.44,-2234.0,-1.412,1.236,-0.05011,1.4969999999999999,49.08,-353.2,3.513,-0.368,-308.0,-3307.366598,-3364.8552310000005,577.02,-956.97,1533.99,0.0154,0.0,0.0,0.0,-1.6392060000000002,-4.232947,-4.139599,-7.8543970000000005,-9.742382375910001,-3.93721,0.005829,35
