Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_115.pdb,1,2,5,0,7,1,3,5,8,0,0,0,0,1,0,0.48,0.0,0.575,0.57,0.43199999999999994,0.31,0.54,0.484,0.50625,0.0,0.48,0.0,0.0,0.0,0.0,1.15,0.57,2.1599999999999997,2.17,1.62,2.42,4.05,0.0,0.48,0.0,0.0,0.0,0.0,31.17,37.66,755.2900000000009,406.0799999999999,349.21000000000004,1.0,0.0,1.7320508075688772,0.0,2.23606797749979,2.8284271247461903,1.4142135623730951,2.23606797749979,2.6457513110645907,1.0,0.0,0.0,0.0,0.0,1.0,1.6982,-1.6380000000000001,3.64,-7.0,-5.4,-62.8,3.94,-53.48,62.76,-1.6,-0.018956,-2.54,23.8,11.0,-5.8,55.788000000000004,6.0,10.6,16.4,3.9,9.8,6.64,-98.6,0.17243193440000001,7.0,-5.755916,-7.63,-12.479000000000001,-21.82,-19.33,-1014.25,-3.1,-3.73,0.91,8.03,-597.84,-183.51,0.0,0.0,0.0,0.0,0.0,-7.5065100000000005,75.9073,0.0009140000000000001,-6.343,7.52,-11.376,0.04,-304.741,-3.534,2.256,0.0,-43.53,81.54,-238.2,5.77,671.605,9.32331726141,-2.6519999999999997,2.6439999999999997,0.04421,-1.6159999999999999,-88.68,-1402.0,2.372,4.755,-1488.0,-1.9080000000000001,1.906,0.9019,1.365,-11.23,-190.9,3.468,0.9991,-204.6,-2434.821434,-2468.705187,1452.8,-611.67,2064.47,-0.0171,0.0,0.0,0.0,-3.739579,-4.576201999999999,-7.6939910000000005,-10.534352,-5.34100325107,5.66911,0.007848,33
swarm_0_138.pdb,0,5,2,0,1,4,8,4,5,0,0,1,0,0,0,0.0,0.0,0.558,0.5775,0.495,0.58,0.43875,0.48,0.594,0.0,0.0,0.0,0.0,0.0,0.74,2.79,2.31,0.99,0.58,3.51,1.92,2.9699999999999998,0.0,0.0,0.0,0.0,0.0,0.74,31.13,37.75,938.1599999999999,565.9200000000001,372.2499999999991,0.0,0.0,2.8284271247461903,0.0,2.0,2.23606797749979,2.23606797749979,1.4142135623730951,1.0,2.0,0.0,0.0,1.0,0.0,0.0,-0.9508,-2.844,-1.6,-9.0,-16.4,-81.4,2.06,-59.26,61.28,-2.68,-0.07094,-4.1,11.4,1.0,-15.4,35.17,-1.6,2.2,6.8,0.3,-4.26,-0.12,-112.6,-0.6571431414,1.3,-8.150412,-7.82,-14.5103,-22.35,-18.13,-2350.55,-21.02,-12.73,19.1,10.36,-687.4,-181.07,0.0,0.0,0.0,0.0,0.0,-19.593,-32.0102,0.000866,-3.6689999999999996,13.245999999999999,-31.046,6.471,-203.28900000000002,0.23600000000000002,4.099,0.0,-124.02,104.68,-226.23,-119.13,-95.699,12.1246329136,-2.7539999999999996,2.782,0.7029,-0.9875,-112.9,-1293.0,5.653,-2.745,-1414.0,-2.042,1.349,-0.1132,3.4160000000000004,-37.16,-190.0,1.882,1.34,-227.7,-2636.799105,-2673.546269,1113.93,-739.26,1853.19,-0.0183,0.0,0.0,0.0,-3.067886,-3.962196,-7.856028,-7.965107000000001,-7.0442047609600005,4.90493,0.006567,30
swarm_0_142.pdb,7,0,1,10,1,3,6,1,7,0,0,0,0,4,0,0.4685714285714285,0.392,0.0,0.43,0.34,0.19,0.4683333333333333,0.53,0.6285714285714287,0.0,0.44499999999999995,0.0,0.0,0.0,0.0,0.0,1.29,0.34,0.19,2.81,0.53,4.4,0.0,1.7799999999999998,0.0,0.0,0.0,0.0,30.07,37.91,1051.5000000000018,511.85000000000036,539.6499999999996,2.6457513110645907,3.1622776601683795,2.449489742783178,0.0,1.0,2.6457513110645907,0.0,1.0,1.0,1.7320508075688772,0.0,0.0,0.0,0.0,2.0,0.8848,-7.402,-1.48,-9.0,-15.2,-62.6,1.84,-78.68,81.96,-3.78,-0.008494,-6.8,21.4,9.0,-8.6,64.058,7.8,11.0,14.6,0.3,3.98,4.46,-153.0,-0.6932047,14.5,-4.98298,-4.74,-10.2484,-29.02,-26.84,-2070.83,2.74,-12.37,11.31,20.31,-373.89,450.22,0.0,0.0,0.0,0.0,0.0,-21.975,356.00699999999995,0.000646,-16.182000000000002,8.499,4.284,-7.255,-242.74400000000003,-2.805,1.807,0.0,-94.33,105.66,-192.15,1.25,701.8919999999999,26.5689224608,-3.867,3.866,1.25,-0.3689,-290.9,-1318.0,11.72,13.33,-1608.0,-3.735,2.983,-1.9169999999999998,1.18,-65.05,-241.2,-4.211,-1.561,-303.6,-2222.092522,-2259.323914,1003.25,-547.66,1550.91,0.0963,0.0,0.0,0.0,-4.676181,-7.207102000000001,-9.048416,-15.247561,-4.4285701694199995,5.74578,0.00545,40
swarm_0_161.pdb,6,0,4,3,6,2,4,0,3,0,2,0,0,2,0,0.48,0.4166666666666667,0.0,0.6950000000000001,0.42000000000000004,0.35666666666666663,0.475,0.0,0.4166666666666667,0.0,0.515,0.0,0.73,0.0,0.0,0.0,1.3900000000000001,1.6800000000000002,2.1399999999999997,1.9,0.0,1.25,0.0,1.03,0.0,1.46,0.0,0.0,30.92,36.84,1056.2999999999993,458.8699999999999,597.4400000000005,2.449489742783178,1.7320508075688772,2.0,0.0,0.0,1.7320508075688772,0.0,2.0,2.449489742783178,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,1.4142135623730951,1.7554,2.0540000000000003,2.4,-2.8,-7.0,-57.8,2.02,-88.58,77.76,0.28,0.005248,-1.58,23.6,14.6,-0.8,65.65,8.8,13.4,15.4,1.64,6.0,-2.24,-143.6,0.61333072,4.7,-8.061346,-8.0,-14.5246,-21.5,-18.04,-1698.37,2.58,-7.54,-33.95,-7.86,-595.24,-388.63,0.0,0.0,0.0,0.0,0.0,-28.8825,-19.9295,0.000556,-1.857,4.605,-15.145,1.2329999999999999,-475.49300000000005,-3.233,5.801,0.0,-115.1,52.19,-260.12,32.47,1397.224,17.781891656099997,-2.931,2.8110000000000004,0.8167,1.004,-40.12,-1590.0,8.11,8.435,-1629.0,-1.5430000000000001,1.8719999999999999,1.288,-0.062360000000000006,19.93,-286.4,5.016,-2.9130000000000003,-274.4,-2651.498709,-2684.260643,645.76,-731.83,1377.59,0.0241,0.0,0.0,0.0,3.9949230000000004,6.053029,-3.6103,-9.763658,-7.15194081845,16.088,0.009344,32
swarm_0_199.pdb,3,0,2,6,3,9,3,0,1,1,1,1,1,1,0,0.5033333333333333,0.44166666666666665,0.0,0.6499999999999999,0.365,0.31,0.49333333333333335,0.0,0.75,0.0,0.41,0.52,0.88,0.9,0.53,0.0,5.85,0.73,0.9299999999999999,1.48,0.0,0.75,0.0,0.41,0.52,0.88,0.9,0.53,30.97,37.42,899.0300000000007,385.8099999999995,513.2299999999996,1.7320508075688772,2.449489742783178,1.7320508075688772,0.0,0.0,1.0,0.0,1.4142135623730951,1.7320508075688772,3.0,1.0,1.0,1.0,1.0,1.0,1.2652,-0.754,1.34,-1.4,-6.8,-53.4,2.26,-62.7,60.4,0.56,2.2e-05,-0.28,17.4,11.0,1.0,50.51,4.0,7.4,8.0,1.9,4.2,-1.22,-113.4,0.3066408,-6.2,-7.023155,-5.71,-11.484000000000002,-25.54,-16.86,-1667.95,-5.64,4.62,-12.89,3.89,-426.35,-81.08,0.0,0.0,0.0,0.0,0.0,-28.7196,63.2723,0.0008449999999999999,-3.4989999999999997,-0.26899999999999996,9.344,-2.833,-333.347,0.759,7.093,0.0,-87.75,-23.78,-214.11,-56.74,323.1,17.6487876363,-2.8510000000000004,2.9330000000000003,1.5819999999999999,-0.3416,-152.6,-1115.0,8.545,-2.469,-1278.0,-2.39,2.615,0.08793,-0.5449,-31.73,-182.0,1.652,-6.821000000000001,-222.2,-2339.371866,-2370.841493,528.72,-605.28,1134.01,-0.0577,0.0,0.0,0.0,3.292323,2.420936,-0.22305100000000003,-3.4245769999999998,-7.8488783618,4.96293,0.015469,32
swarm_0_36.pdb,3,0,1,16,9,6,4,0,6,0,2,2,4,2,1,0.43333333333333335,0.40874999999999995,0.0,0.5166666666666666,0.39,0.31,0.475,0.0,0.595,0.34,0.375,0.755,0.73,0.0,0.8200000000000001,0.0,3.0999999999999996,0.39,2.79,1.9,0.0,3.57,0.34,0.75,3.02,1.46,0.0,1.6400000000000001,31.29,36.05,1306.3099999999995,556.1700000000001,750.1300000000001,1.7320508075688772,4.0,2.0,1.0,0.0,2.449489742783178,0.0,1.0,3.0,2.449489742783178,1.4142135623730951,0.0,1.4142135623730951,2.0,1.4142135623730951,2.9678,1.196,6.22,-2.6,-16.2,-106.0,5.38,-128.94,125.7,1.82,0.011684,-1.88,24.4,14.0,-6.0,129.31,12.2,18.8,22.4,9.06,17.22,-0.4,-227.8,-0.8893830028,5.9,-6.139782,-9.02,-15.2847,-39.42,-29.41,-2859.82,11.25,-5.9,27.6,20.74,-654.07,247.24,0.0,0.0,0.0,0.0,0.0,-44.1298,715.205,0.000526,-15.422,-0.29600000000000004,24.261,-13.292,-418.208,-3.927,4.019,0.0,-107.02,26.42,-588.32,29.91,274.82099999999997,23.225997588400002,-3.429,3.5410000000000004,1.893,-0.08329,-332.7,-1772.0,18.04,9.779,-2113.0,-2.467,2.498,-0.3502,-0.7749,-58.54,-349.7,1.535,-10.12,-419.9,-2772.6830019999998,-2829.707585,881.13,-829.84,1710.98,0.16,0.0,0.0,0.0,-0.45183199999999996,-7.554767,-0.164511,-12.364524000000001,-9.040340507389999,16.4393,0.010036,56
swarm_0_38.pdb,4,0,2,4,3,4,2,0,2,0,1,1,1,2,0,0.4775,0.4275,0.0,0.52,0.39,0.3833333333333333,0.415,0.0,0.505,0.0,0.64,0.52,0.88,0.0,0.9,0.0,2.08,0.78,1.15,0.83,0.0,1.01,0.0,1.28,0.52,0.88,0.0,0.9,31.37,36.6,1002.2700000000004,362.90999999999985,639.3699999999999,2.0,2.0,1.4142135623730951,0.0,0.0,1.4142135623730951,0.0,1.4142135623730951,1.7320508075688772,2.0,1.0,0.0,1.0,1.0,1.4142135623730951,-0.2506,2.0380000000000003,-0.98,-0.8,-12.0,-79.0,-1.1,-87.84,60.92,0.9,0.015036,0.14,9.6,4.6,-6.2,36.14,-1.8,0.8,2.0,0.54,-5.08,-2.88,-120.4,-0.28347564,-0.2,-5.897203,-10.2,-14.0243,-26.77,-24.08,-1399.86,-8.55,-5.17,-14.28,-5.73,-533.85,-325.36,0.0,0.0,0.0,0.0,0.0,-38.4992,-20.0771,0.000586,-6.145,-5.324,-8.389,-12.308,-364.69300000000004,-0.873,6.056,0.0,-115.35,-23.8,-307.28,-30.78,1070.323,12.9992279816,-3.833,3.95,1.518,-0.7185,-118.7,-1243.0,10.97,-7.433,-1380.0,-2.8360000000000003,2.931,-0.5915,-1.364,7.372000000000001,-202.5,0.0988,-4.273,-199.5,-2622.305534,-2654.458197,341.2,-722.86,1064.06,-0.0725,0.0,0.0,0.0,-0.062032000000000004,-2.344646,-0.801794,-4.715904,-9.11820343595,4.7609,0.015653999999999998,26
swarm_0_76.pdb,0,2,0,0,1,8,1,0,0,0,0,1,0,0,0,0.0,0.0,0.46499999999999997,0.61375,0.0,0.19,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.9299999999999999,4.91,0.0,0.19,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,31.21,37.58,572.3799999999992,329.09000000000015,243.27999999999884,0.0,0.0,1.0,0.0,0.0,0.0,1.4142135623730951,0.0,1.0,2.8284271247461903,0.0,0.0,1.0,0.0,0.0,-0.6516,-0.638,-1.3,-0.8,-8.8,-31.6,-1.1,-33.94,23.52,0.02,-0.023302,0.18,0.4,-1.0,-5.0,33.82,-2.8,-2.0,-1.2,-2.92,-1.42,2.1,-49.8,0.047659115999999994,-6.5,-6.301012,-7.1,-10.5435,-15.68,-12.88,-1264.39,-20.52,-6.33,-26.91,-12.14,-463.04,-295.75,0.0,0.0,0.0,0.0,0.0,-22.1943,-60.3351,0.001398,-3.852,-0.6829999999999999,-15.448,-6.08,-218.44099999999997,0.551,4.702,0.0,-14.65,5.96,-108.15,-104.63,677.284,7.45976140536,-2.043,2.1919999999999997,2.741,-0.009616,-44.75,-689.6,7.047999999999999,-1.9,-743.3,-2.004,1.492,-1.736,0.8686,-20.03,-128.0,-2.641,-2.508,-147.9,-2233.919,-2246.842275,209.96,-549.78,759.72,-0.0058,0.0,0.0,0.0,-1.7854450000000002,-2.616534,-2.4571490000000002,-4.983928,-5.05563732237,15.2454,0.017385,13
swarm_100_180.pdb,1,2,0,1,0,6,0,0,1,2,0,0,4,0,0,0.49,0.34,0.55,0.47500000000000003,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.7725,0.0,0.95,0.0,1.1,2.85,0.0,0.0,0.0,0.0,0.25,0.0,0.0,3.09,0.0,1.9,0.0,31.61,37.42,696.9599999999991,252.78999999999996,444.14999999999964,1.0,1.0,0.0,0.0,0.0,1.0,1.4142135623730951,0.0,0.0,2.449489742783178,0.0,1.4142135623730951,0.0,2.0,0.0,-1.128,0.654,-1.36,-2.0,-12.8,-55.2,-0.68,-54.94,41.88,0.24,0.016013999999999997,-0.1,-0.2,-3.8,-9.4,34.888000000000005,-3.6,-1.0,-0.6,-1.66,-7.26,-1.26,-87.4,-0.005495708,-9.2,-6.6150850000000005,-12.25,-15.2922,-19.81,-25.54,-1679.42,-14.18,-7.6,-27.88,-12.3,-733.32,-545.53,0.0,0.0,0.0,0.0,0.0,-18.6504,-106.84100000000001,0.0009630000000000001,5.502999999999999,-23.281,-20.16,-19.794,-528.246,0.314,10.350999999999999,0.0,-62.39,-52.72,-337.54,-109.17,-6194.93,0.465801445767,-1.7169999999999999,1.858,2.8510000000000004,-0.4533,4.1530000000000005,-1046.0,8.756,-0.1972,-1050.0,-2.351,2.181,-0.4801,0.8347,-16.11,-135.7,-0.061,-1.247,-153.0,-2726.828818,-2742.693558,369.98,-794.38,1164.36,-0.031,0.0,0.0,0.0,-2.465259,-1.190862,-3.810573,-9.886519,-7.966436234419999,4.220680000000001,0.011765000000000001,17
swarm_100_25.pdb,0,4,0,1,1,7,2,0,1,4,0,2,3,0,0,0.0,0.44,0.5075000000000001,0.4828571428571428,0.0,0.19,0.48,0.0,0.75,0.0,0.0,0.7866666666666666,0.0,0.9249999999999999,0.72,2.0300000000000002,3.38,0.0,0.19,0.96,0.0,0.75,0.0,0.0,2.36,0.0,3.6999999999999997,1.44,31.17,37.66,914.3599999999988,368.6800000000003,545.6899999999996,0.0,1.0,1.4142135623730951,0.0,0.0,1.0,2.0,0.0,1.0,2.6457513110645907,0.0,2.0,1.4142135623730951,1.7320508075688772,0.0,-0.9742,7.216,-1.06,-1.4,-12.4,-56.4,-0.22,-56.68,48.08,0.86,-0.036806,1.4,-3.33066907388e-16,-3.6,-8.0,86.654,-4.2,5.55111512313e-17,0.2,-1.44,0.0,1.48,-97.2,0.199447088,-11.3,-6.055438,-15.55,-17.8353,-35.31,-34.99,-2163.93,-25.38,-13.44,-42.74,-29.39,-843.39,-574.95,0.0,0.0,0.0,0.0,0.0,-28.5778,-14.1209,0.000709,-0.106,-17.064,-26.17,-19.787,-687.637,1.896,14.962,0.0,-79.6,-45.33,-383.3,-150.15,-7480.22,-6.23955308762,-1.7819999999999998,1.8430000000000002,1.5719999999999998,-0.4858,8.305,-1216.0,6.025,0.3202,-1214.0,-1.776,1.291,-2.2769999999999997,0.06867000000000001,-19.66,-216.4,-4.71,-3.948,-235.3,-2979.149753,-2998.307636,12.5,-960.81,973.3,-0.0029,0.0,0.0,0.0,-4.092724,-4.240323,-4.3307,-8.959099,-11.5684042476,14.53,0.012159999999999999,25
