Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_197.pdb,1,1,4,1,3,6,4,1,4,3,3,3,4,2,0,0.48,0.44,0.58,0.61,0.4175,0.3333333333333333,0.51,0.48,0.67,0.0,0.48,0.6875,0.7066666666666667,0.86,0.77,0.58,3.66,1.67,1.0,2.04,0.48,2.68,0.0,0.96,2.75,2.12,2.58,2.31,36.23,40.03,1376.2200000000012,580.010000000002,796.2200000000012,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,1.7320508075688772,2.449489742783178,1.7320508075688772,1.7320508075688772,1.7320508075688772,2.0,1.4142135623730951,-0.83,-4.708,-3.8,-6.0,-22.4,-100.4,-2.24,-110.08,86.86,-1.5,-0.045219999999999996,-1.86,9.4,1.6,-14.0,33.968,-5.2,-0.4,1.8,-5.96,-11.08,-5.86,-184.8,-0.400839072,-12.9,-10.672815,-18.21,-25.932,-41.72,-39.86,-4337.74,-32.37,-16.75,-62.07,-28.75,-1059.49,-772.5,0.0,0.0,0.0,0.0,0.0,-74.6405,-182.352,0.000491,-13.775,-7.3629999999999995,-54.795,-26.616999999999997,-279.39599999999996,3.4360000000000004,8.744,0.0,-198.15,13.15,-282.39,-139.23,-1474.29,7.48086684663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5661.887041,-5702.07536,0.0,0.0,0.0,-0.3117,0.0,0.0,0.0,-9.461038,-8.243684,-9.513803,-15.036025,-15.5991436067,29.4954,0.00455,40
swarm_100_139.pdb,1,1,2,2,9,7,7,1,3,1,6,3,0,3,0,0.43,0.44,0.53,0.5514285714285714,0.385,0.2955555555555555,0.4757142857142857,0.56,0.25,0.0,0.4533333333333333,0.0,0.6083333333333333,0.9,0.7433333333333333,0.53,3.86,0.77,2.6599999999999997,3.33,0.56,0.75,0.0,1.3599999999999999,0.0,3.65,0.9,2.23,35.83,40.45,1728.3700000000026,728.8600000000006,999.510000000002,1.0,1.4142135623730951,2.6457513110645907,0.0,1.0,1.7320508075688772,1.0,1.4142135623730951,3.0,2.6457513110645907,2.449489742783178,1.0,1.7320508075688772,0.0,1.7320508075688772,0.1886,-0.052000000000000005,0.86,-1.8,-25.2,-173.0,-0.78,-180.86,134.9,1.76,0.10171799999999999,-0.54,21.2,12.4,-16.8,107.93,1.2,5.2,6.4,-0.6,0.18,-10.1,-272.6,-0.9921714640000001,-3.5,-8.556859,-13.27,-25.1,-49.17,-42.73,-3955.83,-5.04,1.67,12.84,16.8,-1133.41,-464.29,0.0,0.0,0.0,0.0,0.0,-36.0025,221.412,0.000304,-9.776,-2.189,-20.09,-13.974,-337.86300000000006,-3.872,2.548,0.0,-63.39,-14.93,-621.49,-11.53,-10661.995,21.3151523354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5590.268683,-5633.090115999999,0.0,0.0,0.0,-0.0821,0.0,0.0,0.0,0.43454499999999996,-2.663718,-4.187224,-15.620398000000002,-16.7739936465,29.5714,0.005848,46
swarm_101_172.pdb,6,1,5,8,12,8,12,3,12,0,1,2,0,1,1,0.45500000000000007,0.4025,0.61,0.525,0.34400000000000003,0.39833333333333326,0.45916666666666667,0.4533333333333333,0.5275000000000001,0.44,0.27,0.0,0.67,0.0,0.635,0.61,4.2,1.7200000000000002,4.779999999999999,5.51,1.3599999999999999,6.330000000000001,0.44,0.27,0.0,0.67,0.0,1.27,36.52,39.71,1855.5099999999948,895.5099999999984,960.0,2.449489742783178,2.8284271247461903,3.4641016151377544,1.0,1.7320508075688772,3.4641016151377544,1.0,2.23606797749979,3.4641016151377544,2.8284271247461903,1.0,0.0,1.4142135623730951,0.0,1.0,2.5192,-4.574,1.72,-8.0,-22.0,-168.8,7.14,-149.38,156.3,-1.48,-0.040256,-2.44,36.4,16.4,-19.0,82.694,8.6,18.4,25.0,9.82,21.06,14.82,-276.4,0.31138259,6.1,-9.058635,-15.5,-28.340999999999998,-44.05,-36.93,-4659.42,-22.63,-7.21,-1.05,13.3,-1143.23,-157.92,0.0,0.0,0.0,0.0,0.0,-57.6169,72.469,0.00035299999999999996,-13.954,14.327,-36.227,-3.2489999999999997,-14.392000000000001,-4.899,-4.626,0.0,-172.39,144.72,-456.62,14.46,2809.571,29.2481493144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5925.361644,-5990.139581,0.0,0.0,0.0,0.0803,0.0,0.0,0.0,-3.888381,-9.797915,-0.78994,-8.156303999999999,-12.2548872416,31.5619,0.003153,72
swarm_101_186.pdb,2,3,5,5,10,3,11,0,5,1,0,4,0,2,0,0.435,0.43200000000000005,0.41,0.5433333333333333,0.406,0.338,0.4572727272727272,0.0,0.492,0.0,0.44499999999999995,0.0,0.0,0.49,0.6675,1.23,1.6300000000000001,2.0300000000000002,3.3800000000000003,5.029999999999999,0.0,2.46,0.0,0.8899999999999999,0.0,0.0,0.49,2.67,36.36,40.03,1767.7900000000009,880.7700000000004,887.0200000000004,1.4142135623730951,2.23606797749979,3.3166247903554,0.0,0.0,2.23606797749979,1.7320508075688772,2.23606797749979,3.1622776601683795,1.7320508075688772,0.0,1.0,2.0,0.0,1.4142135623730951,3.0454,4.724,8.1,1.4,-10.6,-107.4,6.96,-113.92,115.54,3.3,0.0078,3.58,33.6,23.4,-3.2,110.25,12.4,18.8,24.0,2.78,10.66,16.0,-202.6,1.567152668,-2.2,-6.973496000000001,-14.55,-28.04,-41.23,-40.77,-2962.35,-19.96,-3.47,-9.38,26.15,-1184.22,-484.91,0.0,0.0,0.0,0.0,0.0,-59.9804,214.03900000000002,0.000346,-10.307,15.433,-16.688,3.457,-34.294000000000004,-3.168,-2.516,0.0,-56.82,89.56,-382.27,60.1,895.55,22.735457123099998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5844.403279,-5901.4154579999995,0.0,0.0,0.0,0.2887,0.0,0.0,0.0,1.364798,-1.295177,-6.204153,-14.853945000000001,-13.2156400875,30.5924,0.003196,51
swarm_101_36.pdb,4,2,7,2,10,5,4,2,2,2,1,5,2,3,1,0.46749999999999997,0.39,0.5549999999999999,0.514,0.4442857142857143,0.353,0.505,0.505,0.505,0.34,0.43999999999999995,0.9099999999999999,0.62,0.6950000000000001,0.7100000000000002,1.1099999999999999,2.5700000000000003,3.11,3.53,2.02,1.01,1.01,0.34,1.3199999999999998,1.8199999999999998,0.62,1.3900000000000001,3.5500000000000007,36.33,40.44,1938.2300000000032,757.4099999999999,1180.8100000000013,2.0,1.4142135623730951,2.0,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,2.6457513110645907,3.1622776601683795,2.23606797749979,1.0,1.4142135623730951,2.23606797749979,1.4142135623730951,1.7320508075688772,0.8652,4.766,1.54,-0.4,-25.4,-166.2,-0.18,-169.68,143.04,1.66,-0.021726,3.28,14.4,8.4,-17.0,62.5,3.6,9.2,12.0,-5.12,0.88,1.24,-269.0,0.413190988,-12.6,-13.105899,-26.23,-35.409,-58.27,-52.95,-5762.68,0.41,-15.18,-88.01,-28.84,-1442.7,-994.86,0.0,0.0,0.0,0.0,0.0,-84.6197,-169.452,0.000307,-16.544,-14.145999999999999,-54.996,-36.189,-374.14,-4.061,3.048,0.0,-124.62,-71.64,-608.42,-142.8,-1513.7820000000002,8.59733306337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6690.798933,-6744.894779000001,0.0,0.0,0.0,-0.0595,0.0,0.0,0.0,-1.396185,-3.008509,-3.6955839999999998,-13.385114000000002,-21.0874401364,31.6949,0.003961999999999999,52
swarm_101_65.pdb,2,2,9,1,11,5,2,2,4,2,6,3,1,6,0,0.435,0.17,0.62,0.488,0.45333333333333337,0.2945454545454545,0.56,0.48,0.56,0.0,0.385,0.83,0.6233333333333334,0.635,0.68,1.24,2.44,4.08,3.2399999999999998,1.12,0.96,2.24,0.0,2.31,0.83,3.74,1.27,2.04,36.35,39.68,1896.1100000000006,708.2900000000009,1187.8300000000017,1.4142135623730951,1.0,1.4142135623730951,0.0,1.4142135623730951,2.0,1.4142135623730951,3.0,3.3166247903554,2.23606797749979,2.449489742783178,1.4142135623730951,1.7320508075688772,1.0,2.449489742783178,-1.0366,0.9940000000000001,1.76,3.0,-17.2,-173.0,-0.32,-175.54,136.64,3.52,-0.03476,5.86,17.6,16.8,-9.8,86.804,4.0,9.6,8.0,-5.22,-9.32,-0.38,-262.8,0.138678628,-22.1,-12.687477000000001,-23.56,-33.269,-54.54,-58.8,-5452.32,0.98,-8.15,-22.29,-6.41,-1414.79,-699.03,0.0,0.0,0.0,0.0,0.0,-96.1927,62.0298,0.00038199999999999996,-9.312999999999999,-9.943,-40.188,-23.275,-365.916,-3.886,3.0669999999999997,0.0,-85.16,-126.02,-756.4,5.9,-944.245,14.1791407101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6528.00439,-6593.363248,0.0,0.0,0.0,-0.1261,0.0,0.0,0.0,0.23933400000000002,-0.896684,-4.66295,-13.460629999999998,-20.2221226339,34.7563,0.004232,56
swarm_101_77.pdb,7,4,18,23,34,19,17,2,20,1,21,15,3,15,3,0.45999999999999996,0.4643478260869567,0.5425,0.5589473684210526,0.441111111111111,0.35205882352941176,0.45588235294117646,0.49,0.48150000000000004,0.4766666666666666,0.4626666666666666,0.62,0.6095238095238097,0.9,0.6853333333333332,2.17,10.62,7.939999999999998,11.97,7.75,0.98,9.63,1.43,6.9399999999999995,1.86,12.800000000000002,0.9,10.28,36.89,39.51,2945.520000000004,1194.9099999999999,1750.619999999999,2.6457513110645907,4.795831523312719,4.123105625617661,1.7320508075688772,1.4142135623730951,4.47213595499958,2.0,4.242640687119285,5.830951894845301,4.358898943540674,4.58257569495584,1.0,3.872983346207417,1.7320508075688772,3.872983346207417,-6.25,2.88,-8.1,-5.4,-96.4,-600.4,-9.72,-715.84,543.48,3.22,0.022722,1.84,71.8,43.6,-57.6,252.208,7.6,33.0,35.2,-29.02,9.98,3.04,-1082.2,0.4781817358,-40.3,24.849182,0.49,-26.641,-191.97,-151.06,-15411.86,30.53,-35.65,506.64,372.93,-376.28,8458.91,0.0,0.0,0.0,0.0,0.0,164.248,12319.3,0.000196,-33.896,5.975,903.331,62.412,-447.31800000000004,-7.501,0.998,0.0,563.05,-345.42,-3365.16,668.82,-2919.386,-1.39664876391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6461.9785679999995,-6637.591507,0.0,0.0,0.0,-0.0266,0.0,0.0,0.0,-2.306762,-17.701038,1.32413,-42.022207,-43.2018068338,53.0482,0.001515,202
swarm_102_67.pdb,3,2,4,4,6,3,4,0,11,1,2,7,1,5,0,0.48666666666666664,0.44,0.49,0.6333333333333333,0.4075,0.3516666666666666,0.4725,0.0,0.5754545454545456,0.0,0.526,0.68,0.595,0.49,0.7142857142857143,0.98,1.9,1.63,2.11,1.89,0.0,6.330000000000001,0.0,2.63,0.68,1.19,0.49,5.0,36.23,40.03,1815.010000000002,773.1000000000022,1041.9000000000015,1.7320508075688772,2.0,2.0,0.0,0.0,3.3166247903554,1.4142135623730951,2.0,2.449489742783178,1.7320508075688772,1.4142135623730951,1.0,2.6457513110645907,1.0,2.23606797749979,-2.6928,-5.962000000000001,-7.64,-10.8,-28.6,-157.6,-2.36,-158.56,124.34,-3.76,0.022206,-6.48,13.8,5.0,-20.4,71.68,1.0,6.2,7.0,-5.92,-4.5,0.52,-244.4,-0.558539362,-3.4,-9.44909,-17.42,-29.486,-37.66,-29.44,-6064.54,-19.88,-17.91,-63.76,-11.81,-1254.02,-568.47,0.0,0.0,0.0,0.0,0.0,-75.3242,-72.9287,0.000268,-20.524,9.321,-24.583000000000002,-13.661,-174.253,-0.23,3.0810000000000004,0.0,-108.72,-12.77,-595.7,-45.66,-7513.896,-0.23848896566799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5991.998075,-6054.98027,0.0,0.0,0.0,-0.1649,0.0,0.0,0.0,-7.544933,-6.215733,-5.191315,-11.140166,-22.2600439759,32.4263,0.005472,53
swarm_103_126.pdb,8,0,3,7,9,3,10,5,18,0,1,0,1,1,0,0.42999999999999994,0.4100000000000001,0.0,0.7033333333333333,0.40666666666666673,0.38222222222222224,0.437,0.476,0.4983333333333333,0.0,0.57,0.68,0.58,0.0,0.0,0.0,2.11,1.2200000000000002,3.4400000000000004,4.37,2.38,8.969999999999999,0.0,0.57,0.68,0.58,0.0,0.0,36.25,40.06,2199.980000000003,1095.4900000000016,1104.4700000000012,2.8284271247461903,2.6457513110645907,3.1622776601683795,0.0,2.23606797749979,4.242640687119285,0.0,1.7320508075688772,3.0,1.7320508075688772,1.0,0.0,0.0,1.0,1.0,3.9202,-2.012,3.94,-7.2,-8.4,-145.2,11.08,-121.76,159.58,-2.28,0.156744,-4.16,46.4,23.6,-11.2,101.054,20.8,33.4,44.0,6.54,21.4,13.68,-266.6,-0.0723334232,19.0,-8.406928,-11.38,-32.766,-49.78,-37.55,-3390.99,9.59,5.03,4.64,14.41,-1472.03,-584.16,0.0,0.0,0.0,0.0,0.0,-47.4095,-93.0181,0.000241,-9.137,36.254,-68.185,20.298,75.321,-6.563,-7.994,0.0,-113.62,311.25,47.19,-16.75,5656.404,36.498995859299995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6235.227812,-6304.129174000001,0.0,0.0,0.0,0.099,0.0,0.0,0.0,3.705536,-1.1567690000000002,-2.149724,-9.391945,-16.2572802784,32.3736,0.003909,66
swarm_103_181.pdb,3,2,6,3,4,8,6,2,7,0,2,4,0,2,0,0.49,0.4833333333333334,0.46499999999999997,0.67,0.38833333333333336,0.33499999999999996,0.3983333333333334,0.54,0.5885714285714284,0.0,0.48,0.0,0.6699999999999999,0.0,0.7024999999999999,0.9299999999999999,5.36,2.33,1.3399999999999999,2.39,1.08,4.119999999999999,0.0,0.96,0.0,1.3399999999999999,0.0,2.8099999999999996,36.02,40.28,1883.6300000000047,948.3999999999978,935.2299999999996,1.7320508075688772,1.7320508075688772,2.449489742783178,0.0,1.4142135623730951,2.6457513110645907,1.4142135623730951,2.449489742783178,2.0,2.8284271247461903,1.4142135623730951,0.0,2.0,0.0,1.4142135623730951,-0.5656,-2.1719999999999997,-1.66,-9.4,-22.0,-133.0,1.08,-116.6,107.68,-2.28,0.070922,-4.52,18.8,8.8,-16.2,57.37,1.8,9.4,11.6,-1.22,1.22,0.64,-209.4,-0.433262586,-3.4,-9.379536,-15.85,-31.523000000000003,-46.46,-33.62,-3683.5,-18.05,3.72,-60.22,-25.13,-1218.68,-549.84,0.0,0.0,0.0,0.0,0.0,-41.8451,174.43599999999998,0.00032900000000000003,-16.288,16.057000000000002,-52.446999999999996,-5.476,-102.50200000000001,0.008,1.956,0.0,-129.62,90.64,-168.38,-162.73,2814.297,16.1729116868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6177.533027,-6217.812701,0.0,0.0,0.0,-0.0851,0.0,0.0,0.0,-7.510591000000001,-10.670863,-7.629606,-16.004770999999998,-18.7772803234,32.0587,0.004367,49
