Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_132.pdb,10,4,3,4,6,0,13,4,8,0,0,1,0,2,2,0.37599999999999995,0.38750000000000007,0.5525,0.0,0.4466666666666666,0.36166666666666675,0.4507692307692307,0.44749999999999995,0.3575,0.53,0.48,0.0,0.0,0.0,0.94,2.21,0.0,1.3399999999999999,2.1700000000000004,5.859999999999999,1.7899999999999998,2.86,1.06,0.96,0.0,0.0,0.0,0.94,24.33,33.58,1392.3700000000026,613.2400000000016,779.1599999999999,3.1622776601683795,2.0,3.605551275463989,1.4142135623730951,2.0,2.8284271247461903,2.0,1.7320508075688772,2.449489742783178,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,4.151,-4.476,2.46,-5.0,-2.6,-90.0,6.32,-102.76,125.82,-2.7,-0.004032,-4.98,29.0,18.6,-4.2,38.606,26.8,34.0,36.6,0.46,7.76,9.82,-205.8,-0.5951277620000001,20.9,-5.166205000000001,-7.43,-16.844,-38.39,-37.65,-2880.19,13.0,14.69,54.19,60.0,-656.76,411.57,0.0,0.0,0.0,0.0,0.0,0.154791,785.2869999999999,0.000478,-4.16,10.697000000000001,17.512,8.289,28.552,-9.641,-10.183,0.0,-18.83,191.03,-122.95,159.56,954.212,34.1059609253,-3.361,3.3569999999999998,-0.2044,-0.3289,-472.4,-2671.0,8.919,15.87,-3137.0,-2.4530000000000003,2.496,0.6051,0.5827,-13.29,-380.1,6.091,-1.6219999999999999,-401.1,-3443.6673530000003,-3501.369289,2152.05,-861.17,3013.21,-0.0017,0.0,0.0,0.0,-5.567413,-5.6731050000000005,-3.9897440000000004,-12.12186,-13.0589812233,4.28017,0.006298,57
swarm_0_147.pdb,4,3,2,5,7,0,7,4,7,0,0,1,1,0,1,0.4125,0.504,0.5333333333333333,0.0,0.385,0.35857142857142865,0.4057142857142857,0.475,0.2285714285714286,0.58,0.0,0.99,0.0,0.0,0.53,1.6,0.0,0.77,2.5100000000000007,2.84,1.9,1.6,0.58,0.0,0.99,0.0,0.0,0.53,23.98,33.81,1411.4500000000007,685.3100000000013,726.1400000000012,2.0,2.23606797749979,2.6457513110645907,1.0,2.0,2.6457513110645907,1.7320508075688772,1.4142135623730951,2.6457513110645907,0.0,0.0,0.0,1.0,1.0,0.0,3.4854,1.364,7.68,0.8,-0.4,-105.2,7.36,-109.2,125.42,2.2,-0.0044020000000000005,3.94,25.0,16.8,-6.4,48.772,19.8,28.6,33.4,5.24,15.42,4.58,-198.6,1.2905868248,16.8,-8.193878999999999,-9.8,-19.105,-38.02,-38.0,-2608.81,19.62,7.4,-2.1,-4.03,-947.13,-530.68,0.0,0.0,0.0,0.0,0.0,-36.192,-5.6841800000000005,0.00041500000000000006,7.0120000000000005,21.761999999999997,-48.21,23.953000000000003,30.175,-8.281,-8.855,0.0,-63.92,165.39,-181.02,65.47,2743.052,21.2716652052,-2.319,2.241,-0.01747,0.7708,-206.5,-2627.0,5.604,-7.946000000000001,-2847.0,-1.0170000000000001,1.2309999999999999,1.3,0.6481,7.093999999999999,-345.0,8.717,-3.177,-349.8,-3651.1020280000002,-3698.334543,2226.79,-932.89,3159.67,0.0281,0.0,0.0,0.0,3.25177,2.321367,4.481976,-2.58396,-12.9019474797,3.52315,0.00331,42
swarm_100_194.pdb,4,5,2,3,2,1,13,8,4,0,0,1,1,2,1,0.40750000000000003,0.4666666666666666,0.516,0.53,0.38,0.405,0.4815384615384615,0.5,0.64,0.51,0.48,0.53,0.0,0.0,0.57,2.58,0.53,0.76,0.81,6.26,4.0,2.56,0.51,0.96,0.53,0.0,0.0,0.57,24.51,33.82,1146.2700000000004,583.1699999999983,563.0900000000001,2.0,1.7320508075688772,3.605551275463989,1.0,2.8284271247461903,2.0,2.23606797749979,1.4142135623730951,1.4142135623730951,1.0,0.0,0.0,1.0,1.0,1.4142135623730951,2.793,-4.378,2.34,-8.0,-9.8,-72.2,3.82,-75.56,92.4,-3.36,0.027076,-5.62,26.6,14.8,-6.4,29.264,12.8,21.2,23.6,0.06,4.68,3.32,-157.4,-0.2822601374,9.6,-8.208824,-8.05,-15.192,-39.13,-28.87,-2557.04,5.42,-4.2,-14.69,8.11,-661.39,-40.8,0.0,0.0,0.0,0.0,0.0,-29.9625,50.5256,0.000602,-9.32,10.147,-21.362,-1.31,43.081,-2.395,-3.214,0.0,-139.73,178.94,-226.33,69.0,1181.993,29.872023523299998,-3.049,2.918,-0.3064,1.121,-201.4,-2209.0,5.5889999999999995,4.705,-2412.0,-3.036,2.491,-1.043,1.536,-4.308,-277.2,1.19,1.798,-280.9,-3300.618931,-3348.5087949999997,2107.37,-766.18,2873.56,0.0456,0.0,0.0,0.0,0.150377,-0.459363,-3.062391,-10.304378,-8.17505635746,3.9721800000000003,0.0037450000000000005,47
swarm_101_1.pdb,8,1,5,5,1,0,9,4,2,0,1,0,1,2,5,0.44125,0.366,0.54,0.0,0.4,0.26,0.41666666666666663,0.45749999999999996,0.39,0.42200000000000004,0.44499999999999995,0.83,0.51,0.0,0.0,0.54,0.0,2.0,0.26,3.7499999999999996,1.8299999999999998,0.78,2.1100000000000003,0.8899999999999999,0.83,0.51,0.0,0.0,24.7,34.14,1104.7599999999984,399.9400000000005,704.8199999999997,2.8284271247461903,2.23606797749979,3.0,2.23606797749979,2.0,1.4142135623730951,1.0,2.23606797749979,1.0,0.0,1.0,0.0,0.0,1.0,1.4142135623730951,4.3782,-1.554,0.62,-4.8,-3.4,-105.2,4.42,-106.14,116.36,-2.66,0.015734,-5.18,30.0,21.2,-3.2,13.25,19.0,27.2,28.8,4.9,4.68,2.3,-205.2,0.3399521908,14.2,-6.032244,-9.65,-17.935,-26.9,-25.97,-2745.18,27.7,8.59,-6.24,12.06,-720.69,-136.4,0.0,0.0,0.0,0.0,0.0,-33.1709,354.061,0.000472,-5.622000000000001,3.3539999999999996,0.51,-2.217,-16.227,-6.056,-5.747999999999999,0.0,-4.08,83.84,-333.62,182.76,1160.212,23.030135493699998,-2.859,2.7689999999999997,0.09189,0.5156,-57.07,-3003.0,9.537,-1.5959999999999999,-3072.0,-1.421,1.401,0.1136,0.3523,17.05,-299.2,4.235,-0.7120000000000001,-287.1,-3575.7152960000003,-3630.557017,893.89,-918.24,1812.13,0.0141,0.0,0.0,0.0,-9.21791,-8.335244,-1.2006860000000001,-9.075438,-11.2151986821,3.21605,0.005432,44
swarm_10_159.pdb,11,2,8,11,3,1,13,13,5,0,1,0,3,2,3,0.4936363636363636,0.3472727272727273,0.54,0.55,0.50125,0.3333333333333333,0.45153846153846156,0.506923076923077,0.45600000000000007,0.45333333333333337,0.48,0.5800000000000001,0.51,0.0,0.0,1.08,0.55,4.01,1.0,5.87,6.590000000000002,2.2800000000000002,1.36,0.96,1.7400000000000002,0.51,0.0,0.0,24.51,33.74,1981.2199999999975,843.4699999999993,1137.75,3.3166247903554,3.3166247903554,3.605551275463989,1.7320508075688772,3.605551275463989,2.23606797749979,1.4142135623730951,2.8284271247461903,1.7320508075688772,1.0,1.0,0.0,0.0,1.7320508075688772,1.4142135623730951,7.6352,-4.652,5.84,-3.8,-10.0,-164.0,5.92,-180.1,189.66,-1.92,-0.018738,-6.46,37.4,25.6,-9.0,38.84,26.0,43.4,49.8,2.68,9.26,14.72,-335.0,-1.3242134134,14.8,-4.9104220000000005,-8.0,-23.873,-42.25,-34.42,-2965.02,12.03,-7.72,88.1,90.31,-801.72,541.81,0.0,0.0,0.0,0.0,0.0,15.2023,1371.67,0.000308,-6.928999999999999,15.168,50.31100000000001,13.27,9.549,-10.360999999999999,-10.542,0.0,-2.35,228.71,-320.52,224.41,1457.878,19.2478478351,-2.738,2.695,0.4407,0.3923,-572.1,-3694.0,12.71,35.45,-4243.0,-2.52,2.414,-0.004092,0.679,-30.15,-578.6,6.944,-0.01,-615.7,-4188.7694329999995,-4280.50656,3295.14,-1245.2,4540.34,0.2035,0.0,0.0,0.0,-4.73072,-12.654489,2.9544900000000003,-15.20943,-20.0442160405,16.0098,0.005934,76
swarm_103_175.pdb,7,3,2,7,4,2,7,8,6,0,0,0,1,3,3,0.37714285714285717,0.4314285714285715,0.5233333333333333,0.54,0.38,0.35500000000000004,0.42,0.5,0.225,0.3966666666666667,0.48,0.68,0.0,0.0,0.0,1.57,1.08,0.76,1.4200000000000002,2.94,4.0,1.35,1.1900000000000002,1.44,0.68,0.0,0.0,0.0,24.51,33.5,1580.9400000000023,771.119999999999,809.8199999999997,2.6457513110645907,2.6457513110645907,2.6457513110645907,1.7320508075688772,2.8284271247461903,2.449489742783178,1.7320508075688772,1.4142135623730951,2.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.7320508075688772,6.7212,0.18600000000000003,3.98,-8.6,-5.8,-135.4,8.26,-137.62,163.02,-3.22,0.018442,-5.2,44.0,29.2,-4.6,40.385999999999996,28.2,40.6,45.6,11.42,25.28,4.7,-272.8,0.8670286808,21.0,-6.997196000000001,-6.67,-18.729,-34.26,-34.56,-2705.76,0.08,4.5,13.43,21.01,-834.81,54.05,0.0,0.0,0.0,0.0,0.0,-42.6073,60.4374,0.000336,-0.5329999999999999,22.116999999999997,-28.291,18.755,15.422,-8.032,-8.325,0.0,-115.88,222.84,-185.42,103.47,787.299,31.2549476391,-3.343,3.213,-0.07207000000000001,1.131,-228.5,-2994.0,7.377000000000001,1.385,-3229.0,-2.207,2.062,1.619,2.779,20.43,-444.3,11.35,3.52,-431.7,-3645.524953,-3712.348415,2715.62,-933.73,3649.36,0.1035,0.0,0.0,0.0,0.91332,4.621937,-2.850577,-12.768360000000001,-13.0457706107,4.455769999999999,0.004,53
swarm_10_36.pdb,7,1,2,8,8,2,14,6,8,0,1,1,0,1,3,0.42142857142857143,0.36375,0.35,0.44499999999999995,0.38,0.31625000000000003,0.4442857142857143,0.5100000000000001,0.40499999999999997,0.45333333333333337,0.48,0.0,0.51,0.0,0.74,0.35,0.8899999999999999,0.76,2.5300000000000002,6.22,3.0600000000000005,3.2399999999999998,1.36,0.48,0.0,0.51,0.0,0.74,24.51,34.07,1629.6699999999983,695.3599999999988,934.3000000000011,2.6457513110645907,2.8284271247461903,3.7416573867739413,1.7320508075688772,2.449489742783178,2.8284271247461903,1.0,1.4142135623730951,2.8284271247461903,1.4142135623730951,1.0,0.0,1.0,0.0,1.0,6.1168,-2.8080000000000003,2.04,-4.0,-7.4,-127.2,7.14,-135.84,154.48,-2.5,-0.033588,-4.48,42.2,30.4,-2.2,83.898,30.4,40.0,43.6,4.48,15.4,8.4,-267.0,-0.28650925,28.4,-7.1900759999999995,-10.18,-22.467,-47.32,-49.61,-3124.47,22.41,6.71,47.09,60.23,-837.86,-93.68,0.0,0.0,0.0,0.0,0.0,-46.935,270.325,0.00037799999999999997,-8.181000000000001,20.904,-4.258,12.297,7.484,-10.078,-10.22,0.0,-52.61,232.58,-122.63,163.0,1503.027,33.6187445929,-3.2119999999999997,3.091,-0.3228,0.2425,-142.5,-3697.0,6.816,4.282,-3842.0,-2.5810000000000004,2.5660000000000003,0.7658,1.281,-19.72,-462.9,11.15,0.37,-493.4,-3994.6042409999995,-4067.512546,2280.77,-1126.65,3407.42,0.1202,0.0,0.0,0.0,-9.6103,-11.454255999999999,-6.489681,-19.491099,-15.890669243800001,4.0368699999999995,0.004484,62
swarm_10_41.pdb,6,3,2,8,6,3,15,5,8,0,0,1,1,2,2,0.36166666666666664,0.3375,0.47666666666666674,0.4033333333333333,0.43,0.4433333333333333,0.44,0.492,0.42124999999999996,0.51,0.48,0.83,0.0,0.0,0.57,1.4300000000000002,1.21,0.86,2.6599999999999997,6.6,2.46,3.3699999999999997,1.02,0.96,0.83,0.0,0.0,0.57,25.0,33.09,1789.109999999997,838.090000000002,951.0099999999984,2.449489742783178,2.8284271247461903,3.872983346207417,1.4142135623730951,2.23606797749979,2.8284271247461903,1.7320508075688772,1.4142135623730951,2.449489742783178,1.7320508075688772,0.0,0.0,1.0,1.0,1.4142135623730951,8.3518,-4.114,7.58,-3.6,-9.6,-125.0,9.2,-149.04,174.9,-1.26,0.038596,-2.48,44.8,26.2,-7.6,85.32600000000001,35.4,50.4,55.4,8.56,17.84,16.02,-288.4,-0.6489309853999999,22.3,-6.364807,-9.35,-20.941,-47.06,-42.77,-2460.41,24.85,3.58,21.41,14.29,-878.8,115.12,0.0,0.0,0.0,0.0,0.0,-21.2436,292.559,0.000306,-2.252,23.268,-7.584,20.258,26.644000000000002,-9.446,-9.952,0.0,-129.63,255.31,-46.37,89.59,649.268,25.0785539501,-3.5789999999999997,3.533,-0.08813,-0.9353,-347.9,-3344.0,6.86,16.59,-3682.0,-2.627,2.555,0.5195,1.393,12.65,-558.7,9.577,1.0290000000000001,-554.6,-3791.3860369999998,-3840.56696,2442.77,-1058.16,3500.94,0.0144,0.0,0.0,0.0,2.486377,-1.449804,-2.877704,-13.330314999999999,-20.5621103275,3.02042,0.0053549999999999995,62
swarm_107_165.pdb,5,3,2,4,2,0,13,2,7,0,0,0,0,2,1,0.434,0.3275,0.47000000000000003,0.0,0.365,0.31,0.4307692307692308,0.5,0.4128571428571428,0.34,0.41,0.0,0.0,0.0,0.0,1.4100000000000001,0.0,0.73,0.62,5.6000000000000005,1.0,2.8899999999999997,0.34,0.82,0.0,0.0,0.0,0.0,24.51,34.07,1283.380000000001,680.8400000000001,602.539999999999,2.23606797749979,2.0,3.605551275463989,1.0,1.4142135623730951,2.6457513110645907,1.7320508075688772,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,2.594,0.324,2.5,-6.4,-5.8,-97.2,8.46,-77.54,101.94,-1.72,0.054051999999999996,-0.84,39.8,21.6,-5.0,73.432,13.6,23.2,30.4,14.22,17.22,8.76,-161.6,0.6671231568,18.7,-8.35932,-7.44,-18.646,-31.42,-28.55,-2501.06,11.5,-3.89,17.73,22.01,-771.28,-486.64,0.0,0.0,0.0,0.0,0.0,-30.8791,-5.93393,0.000685,-2.04,27.421999999999997,-47.768,20.605,26.449,-5.638999999999999,-6.141,0.0,-82.12,156.51,-60.16,-4.73,557.005,43.06555333359999,-3.08,2.938,-0.3918,0.6855,209.7,-2611.0,4.618,-22.31,-2429.0,-1.9580000000000002,1.765,0.3725,3.4619999999999997,61.4,-374.0,7.865,3.37,-317.1,-3558.974188,-3601.776818,2138.66,-926.75,3065.42,-0.1055,0.0,0.0,0.0,0.646317,-0.07823200000000001,-0.9173049999999999,-6.6396880000000005,-10.571660162,3.19786,0.004488000000000001,41
swarm_108_112.pdb,2,2,6,1,2,0,8,2,3,1,2,2,0,0,1,0.38,0.37,0.5800000000000001,0.0,0.405,0.37,0.44999999999999996,0.54,0.79,0.51,0.0,0.0,0.685,0.9,0.6000000000000001,1.1600000000000001,0.0,2.43,0.74,3.5999999999999996,1.08,2.37,0.51,0.0,0.0,1.37,0.9,1.2000000000000002,24.04,34.38,1013.6599999999999,529.1800000000003,484.46000000000095,1.4142135623730951,1.0,2.8284271247461903,1.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,2.449489742783178,1.4142135623730951,0.0,1.4142135623730951,1.0,1.4142135623730951,0.0,0.0,0.2658,0.79,-1.46,-6.4,-10.0,-99.4,2.58,-83.32,85.28,-2.32,0.022462,-5.12,24.8,15.4,-4.8,20.796,8.0,13.8,17.2,-0.7,5.34,-5.94,-151.4,-0.376784894,3.4,-7.704644999999999,-5.51,-15.206,-28.95,-30.15,-3070.06,21.36,-7.53,-22.02,-2.26,-516.88,-90.98,0.0,0.0,0.0,0.0,0.0,-25.1996,-52.2118,0.000688,-2.186,13.812999999999999,-33.085,8.318999999999999,2.481,-2.437,-2.484,0.0,-68.26,86.68,-194.57,22.55,-1642.345,21.2510670703,-1.87,1.6980000000000002,-0.01571,1.784,-43.61,-1824.0,3.3539999999999996,8.065,-1863.0,-2.214,1.7990000000000002,-0.436,2.411,-15.59,-231.5,3.031,2.62,-247.5,-3272.706027,-3295.291419,1148.38,-741.6,1889.99,-0.075,0.0,0.0,0.0,-4.1182360000000005,-7.582636,-6.302454,-12.333991000000001,-5.60312348628,2.80159,0.003906,32
