Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_123.pdb,2,4,3,2,11,3,9,5,4,1,1,0,2,3,1,0.47,0.32999999999999996,0.5,0.4466666666666667,0.3833333333333333,0.3072727272727273,0.46888888888888886,0.466,0.5525,0.49,0.6333333333333333,0.83,0.83,0.9,0.0,2.0,1.34,1.15,3.3800000000000003,4.22,2.33,2.21,0.49,1.9,1.66,0.83,0.9,0.0,33.43,31.14,1712.8400000000038,726.8899999999994,985.9500000000007,1.4142135623730951,1.4142135623730951,3.0,1.0,2.23606797749979,2.0,2.0,1.7320508075688772,3.3166247903554,1.7320508075688772,1.0,1.0,0.0,1.4142135623730951,1.7320508075688772,0.9394,6.05,3.9,-4.8,-24.0,-170.2,2.76,-159.34,140.74,1.2,-0.019146,0.6,20.4,7.6,-20.8,80.18,3.8,11.4,15.8,1.96,21.52,11.88,-260.0,-0.1868591628,-10.1,-9.21134,-18.08,-27.116999999999997,-54.79,-42.24,-3300.77,-11.13,5.81,-31.17,-19.48,-1076.39,-420.78,0.0,0.0,0.0,0.0,0.0,-42.2261,55.493,0.000412,-15.784,4.908,-44.085,-15.285,-57.172,-1.7309999999999999,-0.645,0.0,-149.14,20.97,-412.66,-132.09,369.66,3.6289895363199998,-0.3997,0.3094,-0.45399999999999996,0.6628,240.7,-3396.0,5.172999999999999,-56.04,-3217.0,-0.6177,0.05251,-0.3946,2.2569999999999997,24.44,-492.0,4.612,-3.023,-475.2,-4942.248659000001,-5000.762989,1330.62,-1370.03,2700.66,-0.1153,0.0,0.0,0.0,-5.152662,-5.711915,-6.9372169999999995,-12.658323,-15.348936110799999,1.14196,0.004549,51
swarm_0_158.pdb,2,0,4,3,8,1,15,8,5,1,0,1,2,3,0,0.47,0.39000000000000007,0.0,0.41,0.405,0.2825,0.47333333333333333,0.51625,0.5660000000000001,0.0,0.4333333333333333,0.675,0.0,0.9,0.74,0.0,0.41,1.62,2.26,7.1,4.13,2.83,0.0,1.2999999999999998,1.35,0.0,0.9,0.74,33.8,31.55,1661.6500000000015,802.3999999999996,859.2500000000018,1.4142135623730951,1.7320508075688772,3.872983346207417,0.0,2.8284271247461903,2.23606797749979,0.0,2.0,2.8284271247461903,1.0,0.0,1.0,1.0,1.4142135623730951,1.7320508075688772,2.9692,-4.454,3.92,-12.0,-22.4,-168.6,6.18,-134.82,145.2,-2.12,-0.010395999999999999,-4.34,34.0,17.8,-18.0,81.064,7.8,15.8,22.2,-1.0,20.9,13.76,-254.8,-0.4868819632,10.3,-6.736434,-16.27,-25.448,-50.51,-36.76,-3802.51,-10.15,5.58,0.53,9.04,-968.81,119.27,0.0,0.0,0.0,0.0,0.0,-33.5885,311.94599999999997,0.000401,-12.741,12.690999999999999,-12.048,-1.255,-15.972999999999999,-5.511,-5.207000000000001,0.0,-140.4,144.86,-447.01,-26.93,871.2230000000001,16.1867856923,-2.282,2.175,0.03348,0.5527,-202.2,-3249.0,10.05,-55.98,-3518.0,-1.3980000000000001,0.9665,0.2426,2.568,-20.04,-423.8,6.989,-2.969,-453.8,-4773.7786240000005,-4841.040844,2372.5,-1318.15,3690.65,0.096,0.0,0.0,0.0,-3.013242,-1.2431940000000001,-3.774224,-9.063691,-14.122643815899998,10.2307,0.0073019999999999995,53
swarm_0_30.pdb,8,1,15,5,4,0,8,5,1,0,3,1,0,0,0,0.45375000000000004,0.354,0.52,0.0,0.44333333333333336,0.395,0.44249999999999995,0.53,0.75,0.0,0.0,0.0,0.5566666666666666,0.0,0.57,0.52,0.0,6.65,1.58,3.5399999999999996,2.6500000000000004,0.75,0.0,0.0,0.0,1.67,0.0,0.57,33.81,30.66,1297.8899999999994,576.0400000000009,721.840000000002,2.8284271247461903,2.23606797749979,2.8284271247461903,0.0,2.23606797749979,1.0,1.0,3.872983346207417,2.0,0.0,1.7320508075688772,0.0,1.0,0.0,0.0,4.1384,0.862,5.06,-2.6,-6.8,-156.8,2.64,-165.34,157.26,0.04,0.012969999999999999,-1.7,31.8,23.6,-4.2,-10.564,23.0,29.8,30.8,-4.78,15.06,14.6,-260.2,0.053189922,15.2,-6.929489,-10.82,-19.125,-48.39,-52.81,-3040.69,4.22,0.2,27.74,33.24,-810.38,44.65,0.0,0.0,0.0,0.0,0.0,-40.893,294.091,0.000534,-9.493,8.048,-0.67,-1.511,-2.1590000000000003,-6.425,-6.3839999999999995,0.0,-58.58,136.71,-479.15,91.26,897.579,15.7339658622,-1.143,0.8195,-1.545,1.147,-330.5,-3091.0,-6.979,-40.36,-3455.0,-0.8286,0.9252,0.5881,0.2019,-24.04,-378.0,7.255,-8.307,-417.6,-4043.231549,-4089.717687,2346.57,-1044.29,3390.85,-0.0241,0.0,0.0,0.0,0.5459970000000001,-8.405602,2.763773,-9.299064999999999,-9.90096378652,5.36154,0.001353,51
swarm_0_49.pdb,4,2,7,8,6,3,16,7,19,0,0,1,0,0,1,0.44,0.46499999999999997,0.61,0.49,0.43571428571428567,0.425,0.47187499999999993,0.5271428571428572,0.5189473684210526,0.62,0.0,0.0,0.0,0.0,0.67,1.22,1.47,3.05,2.55,7.549999999999999,3.6900000000000004,9.86,0.62,0.0,0.0,0.0,0.0,0.67,33.24,31.49,2338.5599999999977,1202.1000000000004,1136.4599999999991,2.0,2.8284271247461903,4.0,1.0,2.6457513110645907,4.358898943540674,1.4142135623730951,2.6457513110645907,2.449489742783178,1.7320508075688772,0.0,0.0,1.0,0.0,0.0,1.6846,-8.136000000000001,0.9,-17.8,-29.6,-186.4,8.0,-147.5,161.56,-4.96,0.115094,-6.64,48.8,19.8,-24.0,147.122,6.0,17.2,29.4,4.7,9.58,13.54,-275.8,0.3029175016,16.8,-11.101600999999999,-26.77,-35.25,-76.05,-68.65,-3876.81,-6.87,3.42,-34.59,-19.43,-1325.66,-489.26,0.0,0.0,0.0,0.0,0.0,-33.6564,132.844,0.00024700000000000004,-9.508,32.743,-69.658,16.269000000000002,81.441,-2.7880000000000003,-4.336,0.0,-260.25,201.41,-454.29,-206.15,1548.319,16.3432612775,-3.0,2.9939999999999998,-0.06994,-1.828,-50.28,-4262.0,10.77,-45.45,-4368.0,-1.5519999999999998,0.9811,-0.3516,3.483,15.08,-657.3,7.555,5.774,-644.0,-5732.408454,-5836.29645,3372.34,-1743.41,5115.75,-0.2288,0.0,0.0,0.0,-5.003519,-7.461166,-5.920937,-11.454636,-17.5303613052,3.3719900000000003,0.00823,74
swarm_0_92.pdb,4,4,3,3,5,1,13,8,11,0,0,0,0,0,0,0.39999999999999997,0.38000000000000006,0.5549999999999999,0.62,0.42333333333333334,0.37399999999999994,0.4407692307692307,0.515,0.4890909090909092,0.0,0.0,0.0,0.0,0.0,0.0,2.2199999999999998,0.62,1.27,1.8699999999999997,5.729999999999999,4.12,5.380000000000001,0.0,0.0,0.0,0.0,0.0,0.0,32.87,32.58,1627.5600000000013,945.6900000000005,681.8599999999988,2.0,1.7320508075688772,3.605551275463989,0.0,2.8284271247461903,3.3166247903554,2.0,1.7320508075688772,2.23606797749979,1.0,0.0,0.0,0.0,0.0,0.0,-0.049,-12.505999999999998,-0.56,-17.8,-26.2,-145.0,4.6,-105.88,114.92,-5.4,-0.099274,-11.12,36.4,13.0,-20.6,102.902,0.8,8.2,17.4,5.48,4.76,6.66,-213.8,-1.3497049691999998,15.2,-8.557506,-18.46,-25.115,-35.33,-41.15,-3366.42,1.31,-2.77,-38.39,4.42,-947.68,-132.49,0.0,0.0,0.0,0.0,0.0,-15.1353,289.177,0.000383,-15.885,25.362,-42.553000000000004,5.221,74.899,-4.437,-5.86,0.0,-143.59,146.12,-304.74,-149.55,483.38599999999997,6.2223425274699995,-2.9189999999999996,2.81,-1.216,-1.4509999999999998,-125.6,-3118.0,-0.7675,-44.64,-3288.0,-2.1919999999999997,1.381,0.08485,3.907,-44.41,-428.2,7.435,5.942,-474.1,-4629.7357170000005,-4691.257662,2862.05,-1281.3,4143.35,0.046,0.0,0.0,0.0,-9.519647,-12.43095,-14.118165,-13.245023999999999,-9.00560928707,0.997519,0.007692,52
swarm_100_117.pdb,0,4,6,3,4,2,6,4,4,1,0,2,1,2,0,0.0,0.3666666666666667,0.525,0.5900000000000001,0.4083333333333334,0.2625,0.48666666666666664,0.4925,0.595,0.0,0.44499999999999995,0.83,0.0,0.9,0.74,2.1,1.1800000000000002,2.45,1.05,2.92,1.97,2.38,0.0,0.8899999999999999,0.83,0.0,0.9,1.48,33.99,31.44,1282.4300000000003,495.5100000000002,786.9400000000005,0.0,1.7320508075688772,2.449489742783178,0.0,2.0,2.0,2.0,2.449489742783178,2.0,1.4142135623730951,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,0.7848,-0.828,0.28,-7.4,-20.4,-124.4,0.78,-113.12,99.14,-1.62,0.016436000000000003,-3.64,16.2,6.2,-17.0,43.78,1.0,4.6,10.8,-1.44,6.08,1.98,-189.8,-0.84118279,-2.9,-10.426956,-16.94,-22.105999999999998,-43.29,-33.48,-3344.89,-16.76,-6.62,-46.25,-18.69,-791.34,-451.02,0.0,0.0,0.0,0.0,0.0,-60.2132,-2.8528700000000002,0.000585,-13.198,-2.181,-40.567,-19.435,-78.882,-2.985,-1.4869999999999999,0.0,-125.03,-6.25,-329.76,-49.1,58.773999999999994,-5.182718471619999,-0.9374,0.81,-1.075,-0.1234,59.5,-2362.0,-1.722,-31.82,-2332.0,-0.3339,0.1576,-0.9236,-0.04383,42.54,-351.7,1.4180000000000001,-4.7219999999999995,-315.3,-4436.020238,-4485.92292,698.41,-1160.66,1859.07,-0.1032,0.0,0.0,0.0,-7.311064,-11.210067,-4.29416,-5.9849190000000005,-14.4680551934,-0.940305,0.004231,39
swarm_100_155.pdb,2,4,12,7,5,1,13,3,6,1,0,1,1,1,1,0.53,0.41571428571428565,0.4525,0.32,0.4200000000000001,0.26199999999999996,0.4384615384615384,0.5566666666666668,0.6333333333333333,0.34,0.41,0.53,0.0,0.9,0.74,1.81,0.32,5.040000000000001,1.3099999999999998,5.699999999999999,1.6700000000000002,3.8,0.34,0.41,0.53,0.0,0.9,0.74,33.9,31.34,1687.3400000000001,767.9899999999998,919.3600000000006,1.4142135623730951,2.6457513110645907,3.605551275463989,1.0,1.7320508075688772,2.449489742783178,2.0,3.4641016151377544,2.23606797749979,1.0,0.0,1.0,1.0,1.0,1.0,1.2196,-4.906000000000001,4.3,-5.0,-25.6,-165.8,3.5,-148.44,136.0,0.6,-0.008578,0.54,27.6,14.2,-17.2,86.86,3.8,11.0,15.4,1.48,12.3,15.08,-249.4,0.2210901388,5.8,-10.229105,-19.85,-28.336,-50.92,-40.94,-4353.66,-9.36,-12.38,-27.46,-1.88,-1201.08,-355.03,0.0,0.0,0.0,0.0,0.0,-44.1524,200.957,0.000335,-16.570999999999998,11.798,-32.512,-8.025,-7.687,-5.295,-5.149,0.0,-146.89,81.15,-476.98,-95.61,348.291,-6.6216451514,-2.313,2.213,-1.4809999999999999,-2.017,-105.7,-3462.0,-3.7030000000000003,-60.75,-3625.0,-0.5283,0.2473,-1.002,0.4377,15.35,-483.0,3.071,-6.875,-477.6,-5042.856473,-5127.912871,2168.9,-1452.57,3621.47,-0.1446,0.0,0.0,0.0,-5.9637,-10.012453,-12.006250999999999,-19.661019,-14.0239615827,5.77567,0.008776,58
swarm_100_7.pdb,3,1,7,3,0,0,15,6,4,0,1,1,0,0,0,0.4266666666666667,0.45333333333333337,0.53,0.0,0.45142857142857146,0.0,0.4633333333333332,0.5433333333333333,0.63,0.0,0.0,0.0,0.67,0.0,0.7,0.53,0.0,3.16,0.0,6.949999999999998,3.26,2.52,0.0,0.0,0.0,0.67,0.0,0.7,33.43,32.03,1226.9299999999967,583.8500000000004,643.0800000000017,1.7320508075688772,1.7320508075688772,3.872983346207417,0.0,2.449489742783178,2.0,1.0,2.6457513110645907,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.28300000000000003,-4.3919999999999995,-1.9,-8.4,-20.8,-128.4,0.3,-109.72,102.46,-3.64,-0.004079999999999999,-4.9,21.0,9.0,-17.6,26.978,1.4,5.6,10.0,-4.28,3.96,13.64,-183.4,0.233736167,9.1,-8.778358,-16.46,-21.489,-33.24,-31.84,-3640.94,-14.77,-4.78,-38.42,-6.04,-855.3,-277.63,0.0,0.0,0.0,0.0,0.0,-31.7215,-33.273,0.000509,-11.427,7.894,-36.12,-7.145,-2.616,-2.739,-2.6889999999999996,0.0,-161.3,89.38,-284.33,-36.04,246.33900000000003,5.950560422610001,-2.383,2.1180000000000003,-1.903,0.5939,-13.84,-2302.0,-7.587000000000001,-43.75,-2352.0,-1.225,0.5842,-0.4029,3.2230000000000003,11.01,-367.5,4.173,1.661,-359.0,-4333.424668,-4387.733075,1234.02,-1122.32,2356.34,-0.044000000000000004,0.0,0.0,0.0,-7.149046,-13.034688000000001,-5.919480999999999,-11.440646000000001,-11.159265731,3.3933400000000002,0.005878,41
swarm_10_105.pdb,11,3,16,7,14,4,18,4,11,0,1,3,1,1,2,0.45818181818181825,0.36571428571428566,0.5633333333333334,0.6675,0.45499999999999996,0.45499999999999996,0.4461111111111112,0.49,0.5654545454545454,0.48,0.55,0.52,0.62,0.0,0.79,1.6900000000000002,2.67,7.279999999999999,6.369999999999999,8.030000000000001,1.96,6.22,0.96,0.55,0.52,0.62,0.0,2.37,33.91,31.59,2797.130000000001,1367.710000000001,1429.42,3.3166247903554,2.6457513110645907,4.242640687119285,1.4142135623730951,2.0,3.3166247903554,1.7320508075688772,4.0,3.7416573867739413,2.0,1.0,0.0,1.7320508075688772,1.0,1.0,-0.1908,-2.464,1.9,-8.0,-51.2,-363.8,4.64,-317.54,290.84,0.2,0.093544,1.04,44.6,24.0,-35.2,119.21600000000001,0.8,19.2,28.8,-7.08,-0.14,-3.56,-526.2,0.37887749460000003,-18.2,-1.606934,-17.31,-40.908,-101.6,-93.97,-7868.92,2.28,-15.31,95.75,58.86,-1626.78,950.17,0.0,0.0,0.0,0.0,0.0,-29.6817,2223.31,0.000195,-18.077,23.055999999999997,92.13,14.192,31.01,-5.393,-5.982,0.0,-121.23,22.81,-1186.31,-69.2,-728.5070000019999,27.801708687199998,-4.622,4.629,-0.5435,-3.367,-726.8,-5392.0,11.65,-83.01,-6214.0,-3.7880000000000003,3.4219999999999997,-1.672,0.6931,-93.38,-826.4,1.696,-15.02,-936.5,-6464.619082,-6592.702192,5818.69,-2192.19,8010.89,-0.0552,0.0,0.0,0.0,-3.631648,-11.540346000000001,-5.694597,-24.0677,-27.462115897100002,16.1934,0.0058850000000000005,96
swarm_101_100.pdb,4,1,7,4,6,7,12,5,11,0,0,1,1,3,2,0.4875,0.5525,0.64,0.5242857142857142,0.47428571428571425,0.38833333333333336,0.4883333333333333,0.49799999999999994,0.5554545454545455,0.44500000000000006,0.5599999999999999,0.53,0.0,0.0,0.94,0.64,3.67,3.32,2.33,5.859999999999999,2.4899999999999998,6.11,0.8900000000000001,1.68,0.53,0.0,0.0,0.94,33.72,31.41,1876.3600000000042,817.4099999999999,1058.9599999999991,2.0,2.0,3.4641016151377544,1.4142135623730951,2.23606797749979,3.3166247903554,1.0,2.6457513110645907,2.449489742783178,2.6457513110645907,0.0,0.0,1.0,1.0,1.7320508075688772,1.2084,-6.75,-0.8,-12.2,-27.6,-175.2,2.28,-165.3,152.18,-3.46,-0.00399,-9.64,29.0,10.8,-25.0,95.32600000000001,4.0,14.6,20.8,-1.18,3.48,4.3,-280.4,-1.7108720076,1.3,-10.059061999999999,-22.0,-31.573,-52.1,-43.12,-4263.29,6.41,-2.33,-26.75,10.24,-1346.77,-462.07,0.0,0.0,0.0,0.0,0.0,-58.9554,376.32199999999995,0.00036899999999999997,-15.581,4.664,-51.945,-16.112000000000002,-78.417,-2.287,-0.797,0.0,-166.32,62.01,-660.38,-23.7,2301.252,10.346454277000001,-1.791,1.7480000000000002,-0.7606,-1.5719999999999998,-95.21,-4042.0,3.215,-56.68,-4197.0,-0.8579,0.5009,-1.3519999999999999,0.5162,43.18,-574.4,2.1069999999999998,-6.1739999999999995,-539.5,-5456.729420000001,-5547.032834000001,2505.63,-1579.42,4085.05,-0.2326,0.0,0.0,0.0,-8.885803,-10.566002000000001,-14.461463,-18.10513,-16.161353688,10.1001,0.011359000000000001,64
