Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_115.pdb,15,1,11,13,9,1,5,4,4,0,1,3,7,6,3,0.46466666666666673,0.42230769230769233,0.54,0.57,0.4636363636363636,0.3244444444444444,0.446,0.485,0.7000000000000001,0.34,0.46,0.7057142857142856,0.65,0.0,0.58,0.54,0.57,5.1,2.92,2.23,1.94,2.8000000000000003,1.02,2.7600000000000002,4.9399999999999995,0.65,0.0,1.74,15.42,47.04,2164.1800000000003,1015.6400000000012,1148.5400000000009,3.872983346207417,3.605551275463989,2.23606797749979,1.7320508075688772,2.0,2.0,1.0,3.3166247903554,3.0,1.0,1.0,0.0,1.7320508075688772,2.6457513110645907,2.449489742783178,7.7938,0.39799999999999996,9.42,-7.6,-3.6,-189.6,7.96,-199.0,223.42,0.2,-0.033262,-1.06,42.8,31.6,-0.6,26.298000000000002,36.4,54.2,54.0,4.76,29.58,11.32,-365.6,1.3225627578,4.2,-10.974704,-21.87,-34.09,-59.42,-64.12,-4821.23,36.14,-1.84,27.31,38.88,-1521.06,-390.0,0.0,0.0,0.0,0.0,0.0,-91.3915,299.006,0.00021600000000000002,-15.179,9.662,-34.851,-9.003,-651.625,-5.007,7.374,0.0,-123.05,170.88,-682.27,201.98,-2778.289,14.183687826300002,-3.492,3.3989999999999996,-0.868,-0.3708,-490.3,-4142.0,-14.87,38.65,-4579.0,-1.932,1.7590000000000001,-0.8749,0.4856,8.419,-569.5,3.318,-0.5006,-564.9,-5948.101809000001,-6023.793154,1539.31,-1788.65,3327.97,-0.0236,0.0,0.0,0.0,-0.199185,-0.60046,0.7458739999999999,-15.343544,-19.1914476177,4.69649,0.005831,83
swarm_0_163.pdb,9,1,9,7,7,1,9,6,6,1,1,2,4,5,1,0.441111111111111,0.37142857142857144,0.61,0.58,0.40888888888888897,0.35999999999999993,0.4277777777777778,0.47000000000000003,0.5633333333333334,0.51,0.492,0.52,0.62,0.49,0.685,0.61,0.58,3.6800000000000006,2.5199999999999996,3.85,2.8200000000000003,3.3800000000000003,0.51,2.46,2.08,0.62,0.49,1.37,15.44,47.09,1787.7200000000012,768.6000000000004,1019.1099999999988,3.0,2.6457513110645907,3.0,1.0,2.449489742783178,2.449489742783178,1.0,3.0,2.6457513110645907,1.0,1.0,1.0,1.4142135623730951,2.0,2.23606797749979,7.2012,0.22,5.9,-3.8,-4.8,-124.4,3.8,-155.66,167.0,-0.88,0.033710000000000004,-1.14,37.2,25.2,-2.4,51.044,29.8,42.4,43.6,3.5,9.98,3.24,-278.8,0.0988386112,8.5,-7.249492,-18.12,-29.307,-31.35,-34.83,-3421.21,-9.73,1.01,25.62,23.02,-1259.82,-206.92,0.0,0.0,0.0,0.0,0.0,-37.1536,584.811,0.000381,-4.846,2.528,-0.13699999999999998,-2.332,-566.1030000000001,-8.783999999999999,1.972,0.0,-66.77,110.25,-348.73,119.17,-11295.97,4.75576315075,-3.299,3.298,0.5352,0.1351,-290.9,-4005.0,0.07775,5.574,-4290.0,-2.892,2.8930000000000002,0.5497,1.107,-7.9079999999999995,-519.1,9.647,-6.145,-542.8,-5330.570902,-5372.421043,1786.27,-1520.0,3306.27,0.1428,0.0,0.0,0.0,-0.662399,-1.27905,-5.944351,-13.558688,-15.1031403123,4.09927,0.006232,69
swarm_0_23.pdb,9,3,7,5,2,2,4,4,3,0,0,1,6,3,10,0.43555555555555553,0.346,0.5733333333333333,0.58,0.43714285714285717,0.33,0.4375,0.45999999999999996,0.25333333333333335,0.42499999999999993,0.41,0.6366666666666666,0.0,0.0,0.5,1.7199999999999998,1.16,3.06,0.66,1.75,1.8399999999999999,0.76,4.249999999999999,1.23,3.82,0.0,0.0,0.5,15.27,46.82,1415.7100000000028,629.9900000000016,785.7199999999975,3.0,2.23606797749979,2.0,3.1622776601683795,2.0,1.7320508075688772,1.7320508075688772,2.6457513110645907,1.4142135623730951,1.4142135623730951,0.0,0.0,1.0,2.449489742783178,1.7320508075688772,8.891,1.9140000000000001,1.48,-0.6,0.6,-83.6,1.02,-147.92,163.44,-3.1,0.04966,-4.78,28.8,23.4,4.0,3.95,45.2,63.2,56.6,8.86,20.14,6.5,-280.6,0.21013725600000002,15.3,-5.815492,-13.43,-25.905,-42.22,-41.99,-1855.9,19.12,0.55,37.59,21.67,-1023.02,90.3,0.0,0.0,0.0,0.0,0.0,-42.6615,258.205,0.000421,-1.018,10.413,26.125,12.007,-206.27900000000002,-8.652999999999999,-4.7330000000000005,0.0,-21.36,163.63,-163.9,198.36,-3997.9709999999995,20.5753050747,-1.734,1.724,-0.2832,-0.5978,-52.63,-4287.0,-7.917999999999999,10.71,-4321.0,-2.448,2.364,-0.8347,-0.2671,-21.3,-434.9,2.6430000000000002,-3.359,-462.2,-4940.757375,-4976.519549000001,1949.48,-1313.81,3263.28,-0.018000000000000002,0.0,0.0,0.0,-1.912577,-1.987409,-6.326309999999999,-16.201414,-12.4861174167,4.61299,0.0036780000000000003,59
swarm_0_95.pdb,26,5,12,5,6,3,8,9,2,0,2,1,7,13,7,0.40884615384615386,0.418,0.506,0.63,0.44583333333333336,0.305,0.43624999999999997,0.47000000000000003,0.14500000000000002,0.45714285714285713,0.4423076923076923,0.62,0.66,0.0,0.53,2.53,1.89,5.3500000000000005,1.8299999999999998,3.4899999999999998,4.23,0.29000000000000004,3.1999999999999997,5.75,4.34,1.32,0.0,0.53,15.21,46.91,2087.130000000001,874.619999999999,1212.5099999999984,5.0990195135927845,2.23606797749979,2.8284271247461903,2.6457513110645907,3.0,1.4142135623730951,2.23606797749979,3.4641016151377544,2.449489742783178,1.7320508075688772,1.4142135623730951,0.0,1.0,2.6457513110645907,3.605551275463989,12.15,3.1180000000000003,7.94,-5.6,-3.0,-206.0,3.72,-285.16,291.66,-1.1,0.031156,-2.78,49.0,43.6,4.8,20.084,59.8,82.0,76.2,2.24,32.56,11.0,-490.0,2.0515001174000003,10.2,-4.599147,-15.84,-32.611999999999995,-72.47,-73.22,-4958.33,6.4,-1.08,125.87,74.86,-1129.98,1190.34,0.0,0.0,0.0,0.0,0.0,-42.5462,1827.68,0.000277,7.095,5.65,98.89299999999999,22.635,-468.55800000000005,-14.887,-5.984,0.0,-8.82,178.73,-843.08,478.72,-5407.635,3.8089820348,-3.655,3.647,1.182,0.5338,-352.3,-5576.0,1.903,13.33,-5917.0,-2.9019999999999997,3.23,1.985,0.03263,14.53,-702.3,18.46,-4.265,-710.5,-5782.924773,-5885.752289999999,2781.05,-1775.31,4556.36,0.07400000000000001,0.0,0.0,0.0,-4.371767,-1.960921,-4.7134599999999995,-31.776768,-26.7113712639,12.606,0.002443,106
swarm_101_113.pdb,4,2,6,2,4,6,18,1,2,2,0,6,5,1,1,0.4325,0.41500000000000004,0.53,0.6383333333333333,0.44500000000000006,0.3825,0.41888888888888887,0.43,0.14,0.51,0.48,0.618,0.0,0.9,0.5866666666666668,1.06,3.83,2.6700000000000004,1.53,7.539999999999999,0.43,0.28,0.51,0.48,3.09,0.0,1.8,3.5200000000000005,15.05,46.94,1646.5200000000004,719.8500000000004,926.6700000000001,2.0,1.4142135623730951,4.242640687119285,1.0,1.0,1.4142135623730951,1.4142135623730951,2.449489742783178,2.0,2.449489742783178,0.0,1.4142135623730951,2.449489742783178,2.23606797749979,1.0,1.8130000000000002,-0.706,0.5,-5.6,-19.4,-160.2,2.48,-147.74,149.5,-0.58,-0.03036,0.08,33.4,18.4,-14.4,53.18600000000001,10.6,18.8,20.4,1.36,0.6,12.66,-258.6,1.1781970698,-1.33226762955e-15,-8.387866,-16.25,-28.109,-41.03,-40.79,-5140.86,-19.98,1.21,-53.72,-15.08,-1595.46,-883.4,0.0,0.0,0.0,0.0,0.0,-47.2917,-63.983999999999995,0.000367,-4.8469999999999995,0.987,-63.166000000000004,-10.177,-136.80100000000002,-4.281000000000001,-1.682,0.0,-176.84,135.99,-407.34,-19.52,-211.19299999999998,20.5826133827,-2.434,2.525,1.0959999999999999,-0.7382,247.0,-3615.0,3.3710000000000004,-49.98,-3422.0,-2.0540000000000003,1.605,-0.2176,2.695,25.64,-451.6,6.832999999999999,-4.311,-437.1,-5240.904678,-5287.435834000001,2598.82,-1411.89,4010.7,0.0162,0.0,0.0,0.0,-6.989198,-9.33772,-3.8276190000000003,-13.138678,-19.3214468458,4.19086,0.0044670000000000005,60
swarm_101_118.pdb,5,2,5,5,15,12,10,1,4,0,1,2,4,5,0,0.43600000000000005,0.38,0.595,0.6749999999999999,0.43600000000000005,0.3453333333333333,0.4539999999999999,0.49,0.49,0.0,0.45,0.765,0.62,0.0,0.5,1.19,8.1,2.18,5.18,4.539999999999999,0.49,1.96,0.0,2.25,3.06,0.62,0.0,1.0,15.25,47.03,1862.3399999999965,828.739999999998,1033.5999999999985,2.23606797749979,2.23606797749979,3.1622776601683795,0.0,1.0,2.0,1.4142135623730951,2.23606797749979,3.872983346207417,3.4641016151377544,1.0,0.0,1.4142135623730951,2.0,2.23606797749979,5.3958,5.73,4.44,-1.8,-12.6,-154.4,4.74,-149.3,152.96,2.5,0.000258,3.4,27.0,19.8,-2.8,58.45,20.4,30.2,27.4,2.72,15.32,15.54,-262.4,0.6474786898,5.8,-11.662652,-19.64,-30.261999999999997,-52.05,-53.16,-3708.17,-31.8,-15.66,-48.35,-6.75,-1741.16,-728.23,0.0,0.0,0.0,0.0,0.0,-65.8589,156.912,0.00031299999999999996,-1.538,4.798,-43.718999999999994,-1.111,-422.81199999999995,-4.811,3.222,0.0,-152.56,95.41,-632.51,42.71,1137.925,34.1555294315,-2.095,2.0909999999999997,0.1698,-0.3415,727.3,-4591.0,-4.504,-44.44,-3904.0,-1.567,1.36,-0.6246,1.265,144.3,-650.0,7.332999999999999,-6.444,-519.5,-5461.82311,-5517.137602000001,2417.7,-1511.35,3929.06,-0.131,0.0,0.0,0.0,-2.344574,-2.976263,-2.137929,-11.613599,-17.697787432200002,3.40233,0.006155,71
swarm_101_127.pdb,5,5,4,2,3,3,11,1,2,0,0,4,1,1,1,0.434,0.355,0.5280000000000001,0.6033333333333334,0.43,0.42,0.40818181818181815,0.43,0.505,0.58,0.47,0.83,0.0,0.0,0.565,2.6400000000000006,1.81,1.72,1.26,4.489999999999999,0.43,1.01,0.58,0.47,0.83,0.0,0.0,2.26,15.04,46.87,1377.5499999999956,591.1200000000008,786.4399999999987,2.23606797749979,1.4142135623730951,3.3166247903554,1.0,1.0,1.4142135623730951,2.23606797749979,2.0,1.7320508075688772,1.7320508075688772,0.0,0.0,2.0,1.0,1.0,-0.1174,-0.69,-1.88,-4.8,-17.0,-125.8,1.44,-104.92,103.18,-1.02,0.027219999999999998,-4.36,12.8,6.0,-13.4,18.396,2.8,6.8,8.6,-2.76,-7.36,1.16,-183.4,-0.5390658420000001,4.5,-8.0411,-14.43,-26.655,-40.54,-33.62,-4200.06,-15.72,-0.66,6.93,17.73,-1403.08,-530.32,0.0,0.0,0.0,0.0,0.0,-42.8973,179.90599999999998,0.000489,-7.032,-1.935,-21.23,-11.089,-67.385,-5.792000000000001,-4.511,0.0,-58.53,73.53,-408.56,54.53,-103.615,25.273277238200002,-2.33,2.283,0.2833,0.1446,373.3,-3466.0,-2.557,-40.55,-3131.0,-2.648,2.032,-1.111,3.5010000000000003,55.51,-429.6,2.19,0.3818,-375.9,-4979.368619,-5027.556845,1558.45,-1349.33,2907.78,-0.0961,0.0,0.0,0.0,-3.1871810000000003,-3.0322299999999998,-7.685771000000001,-13.706448000000002,-18.268096541400002,2.90833,0.004256,43
swarm_101_63.pdb,7,1,5,2,8,11,11,0,5,0,3,0,1,4,0,0.4914285714285715,0.52,0.53,0.5845454545454545,0.47000000000000003,0.35,0.4672727272727274,0.0,0.512,0.0,0.44499999999999995,0.88,0.51,0.0,0.0,0.53,6.43,2.35,2.8,5.1400000000000015,0.0,2.56,0.0,1.7799999999999998,0.88,1.53,0.0,0.0,14.97,46.95,1707.0699999999997,900.2300000000014,806.8400000000001,2.6457513110645907,1.4142135623730951,3.3166247903554,0.0,0.0,2.23606797749979,1.0,2.23606797749979,2.8284271247461903,3.3166247903554,1.7320508075688772,0.0,0.0,1.0,2.0,2.0216,-1.7280000000000002,0.4,-7.4,-18.0,-144.6,4.46,-116.94,126.04,-0.7,0.04992,-0.26,21.2,10.2,-12.8,65.952,8.4,16.8,18.6,-0.88,5.76,10.54,-218.6,-0.0220252402,8.9,-8.836836,-16.31,-28.719,-52.64,-47.77,-3531.46,-14.89,-3.57,5.06,38.15,-1612.03,-704.23,0.0,0.0,0.0,0.0,0.0,-31.5701,258.264,0.00035299999999999996,3.1919999999999997,16.625999999999998,-15.773,18.24,-385.767,-2.912,4.418,0.0,-121.56,180.15,-430.4,6.07,797.5160000000001,25.8018154735,-2.4819999999999998,2.576,1.48,-0.34,566.3,-4273.0,7.084,-58.6,-3772.0,-1.239,1.0859999999999999,0.3628,2.031,74.36,-474.1,9.083,-3.074,-411.9,-5314.27588,-5366.920193999999,3216.56,-1437.63,4654.19,0.1499,0.0,0.0,0.0,-5.531307,-1.587528,-5.655605,-9.969219,-11.637694475999998,3.9575199999999997,0.006793,58
swarm_102_118.pdb,9,1,4,6,2,8,7,7,4,0,0,0,6,5,0,0.48666666666666664,0.49500000000000005,0.63,0.5775,0.38749999999999996,0.32,0.45142857142857146,0.48428571428571426,0.445,0.0,0.492,0.6666666666666666,0.0,0.0,0.0,0.63,4.62,1.5499999999999998,0.64,3.16,3.3899999999999997,1.78,0.0,2.46,4.0,0.0,0.0,0.0,15.04,47.12,1337.2799999999988,677.3500000000004,659.9399999999987,3.0,2.449489742783178,2.6457513110645907,0.0,2.6457513110645907,2.0,1.0,2.0,1.4142135623730951,2.8284271247461903,0.0,0.0,0.0,2.449489742783178,2.23606797749979,2.7832,-0.114,-0.62,-7.0,-18.4,-118.2,0.58,-120.0,120.26,-2.9,-0.024804,-5.94,11.6,3.2,-16.2,21.02,8.2,15.2,18.4,-5.3,8.16,11.46,-222.6,-0.8510701451999999,0.5,-8.373381,-14.18,-21.421,-52.02,-39.2,-2556.74,-3.52,-5.74,-18.68,8.8,-1151.7,-460.08,0.0,0.0,0.0,0.0,0.0,-29.713,27.4936,0.000597,1.8090000000000002,2.822,-40.662,0.565,-583.175,-3.215,7.8660000000000005,0.0,-95.35,127.72,-171.94,-47.76,539.331,16.3160183933,-3.645,3.608,0.6559,0.2436,271.2,-3305.0,0.9015,-4.402,-3039.0,-2.218,1.956,-0.9657,1.8219999999999998,76.25,-476.9,2.714,-1.631,-405.0,-4508.623826,-4567.2584990000005,1454.25,-1095.5,2549.75,-0.0735,0.0,0.0,0.0,-1.068494,-0.625687,-6.788247999999999,-10.473289999999999,-8.822765974780001,3.40239,0.003356,59
swarm_103_107.pdb,1,1,8,1,2,3,9,5,1,0,0,4,1,4,1,0.43,0.54,0.63,0.64,0.43000000000000005,0.375,0.43333333333333335,0.4920000000000001,0.26,0.34,0.475,0.83,0.0,0.0,0.5225,0.63,1.92,3.4400000000000004,0.75,3.9,2.4600000000000004,0.26,0.34,1.9,0.83,0.0,0.0,2.09,15.48,47.46,1473.2999999999993,687.4099999999999,785.8799999999992,1.0,1.0,3.0,1.0,2.23606797749979,1.0,1.0,2.8284271247461903,1.4142135623730951,1.7320508075688772,0.0,0.0,2.0,1.0,2.0,1.181,4.448,-1.22,-2.2,-11.6,-113.4,1.34,-107.7,102.34,0.32,0.017228,-0.42,16.6,10.8,-9.2,9.882,8.0,12.6,12.0,-1.42,6.98,5.62,-180.2,0.023868023399999997,3.0531133177200004e-16,-8.05815,-11.13,-22.494,-33.93,-27.57,-3368.31,-7.52,-0.98,24.17,11.23,-1225.89,-658.75,0.0,0.0,0.0,0.0,0.0,-32.2844,59.1935,0.000616,0.812,13.017000000000001,-24.823,11.345999999999998,-167.00799999999998,-2.612,0.561,0.0,-63.87,62.99,-279.01,66.55,-17699.592,29.0254629031,-3.452,3.3680000000000003,-0.2944,0.6679999999999999,107.7,-2993.0,-4.3389999999999995,8.583,-2872.0,-2.083,2.346,2.0069999999999997,1.386,67.42,-381.7,9.351,1.232,-322.4,-4488.810654999999,-4534.720287,2046.59,-1126.35,3172.93,-0.0632,0.0,0.0,0.0,-7.8998479999999995,-10.462957000000001,-3.6724949999999996,-7.075797000000001,-14.4588954941,1.8439599999999998,0.005463,41
swarm_103_30.pdb,1,4,3,4,2,3,9,5,5,1,0,1,1,3,1,0.46,0.4425,0.6,0.5866666666666666,0.4266666666666667,0.44499999999999995,0.4311111111111111,0.496,0.556,0.34,0.44999999999999996,0.88,0.0,0.49,0.5,2.4,1.7599999999999998,1.28,0.8899999999999999,3.88,2.48,2.7800000000000002,0.34,1.3499999999999999,0.88,0.0,0.49,0.5,15.01,47.84,1666.7700000000004,830.7199999999993,836.0600000000013,1.0,2.0,3.0,1.0,2.23606797749979,2.23606797749979,2.0,1.7320508075688772,1.4142135623730951,1.7320508075688772,0.0,1.0,1.0,1.0,1.7320508075688772,1.1546,-1.4680000000000002,-0.74,-6.4,-15.8,-97.6,2.72,-90.24,96.32,-1.42,0.052244000000000006,-1.8,18.8,8.4,-11.6,30.346,4.6,9.4,12.2,2.88,1.58,7.08,-173.4,0.6497189278,2.7,-10.107792,-16.56,-28.13,-50.82,-48.74,-3781.57,-21.82,-0.46,-64.76,-30.45,-1504.96,-886.04,0.0,0.0,0.0,0.0,0.0,-29.3149,-62.2746,0.000363,2.267,9.113,-60.573,5.3229999999999995,-296.975,-1.237,4.405,0.0,-171.76,94.72,-170.9,-161.33,-23375.229,23.954508588600003,-2.634,2.596,0.5075,0.6401,169.6,-3555.0,-0.6793,0.7636,-3384.0,-2.092,1.4869999999999999,-1.893,3.033,53.61,-459.3,-1.087,2.702,-401.9,-5048.094488000001,-5091.411347,1815.4,-1412.25,3227.65,-0.0889,0.0,0.0,0.0,-5.070089,-8.723857,-8.525724,-13.908710999999998,-14.225668813199999,2.6819599999999997,0.005256,43
