Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_131.pdb,4,2,6,11,12,3,15,1,12,1,0,0,0,1,1,0.465,0.3245454545454546,0.565,0.35000000000000003,0.37333333333333335,0.30916666666666676,0.44399999999999995,0.56,0.6249999999999999,0.34,0.48,0.0,0.0,0.9,0.0,1.13,1.05,2.24,3.710000000000001,6.659999999999999,0.56,7.499999999999999,0.34,0.48,0.0,0.0,0.9,0.0,31.21,33.24,2271.6600000000035,1095.5100000000002,1176.1499999999996,2.0,3.3166247903554,3.872983346207417,1.0,1.0,3.4641016151377544,1.4142135623730951,2.449489742783178,3.4641016151377544,1.7320508075688772,0.0,1.0,0.0,0.0,1.0,6.0102,-1.126,10.74,-2.6,-18.8,-176.8,8.62,-158.26,162.52,1.82,0.047744,3.56,41.6,28.8,-5.6,102.126,16.4,26.6,32.6,6.0,7.44,11.22,-288.0,0.1903291432,19.0,-8.162374,-18.55,-29.018,-57.45,-50.87,-3437.35,13.14,4.75,-13.92,-1.94,-1209.47,-317.12,0.0,0.0,0.0,0.0,0.0,-55.9507,157.52700000000002,0.0002,-14.834000000000001,14.082,-52.303000000000004,-5.983,-178.981,-9.407,-6.006,-9.74,-158.13,118.23,-648.4,44.73,-13422.495,25.998441095500002,-4.067,4.104,0.8841,-2.208,-331.1,-3707.0,12.6,-12.98,-4064.0,-2.562,2.6639999999999997,0.3963,-0.1764,3.615,-503.6,3.458,-5.757000000000001,-509.2,-5207.541743,-5301.8009600000005,2759.62,-1446.19,4205.81,-0.0756,0.0,0.0,0.0,2.3561490000000003,-4.555179,-7.268344,-17.414026,-12.595524623800001,5.72273,0.005,69
swarm_0_2.pdb,4,3,4,8,12,2,8,1,9,0,2,1,2,1,1,0.49,0.38625,0.58,0.43500000000000005,0.415,0.29250000000000004,0.45124999999999993,0.43,0.5755555555555555,0.58,0.54,0.85,0.6699999999999999,0.0,0.84,1.74,0.8700000000000001,1.66,3.5100000000000002,3.6099999999999994,0.43,5.18,0.58,0.54,1.7,1.3399999999999999,0.0,0.84,31.21,33.82,1927.2199999999975,814.8099999999995,1112.4099999999999,2.0,2.8284271247461903,2.8284271247461903,1.0,1.0,3.0,1.7320508075688772,2.0,3.4641016151377544,1.4142135623730951,1.4142135623730951,0.0,1.0,1.4142135623730951,1.0,3.3508,-2.658,4.38,-4.4,-12.4,-155.6,7.12,-125.8,126.68,0.88,0.107072,0.52,37.4,23.2,-4.0,131.95,10.2,19.0,22.4,8.3,11.28,5.74,-214.0,0.506942118,-0.5,-10.291814,-15.96,-29.180999999999997,-48.53,-41.09,-3652.99,0.2,5.57,-34.76,-5.53,-1245.43,-626.63,0.0,0.0,0.0,0.0,0.0,-69.0277,-61.5766,0.000267,-4.7139999999999995,7.402,-53.21,-2.633,-183.205,-6.732,-3.2510000000000003,-115.44200000000001,-86.28,95.89,-657.53,74.5,-13483.041000000001,30.5368085457,-3.948,4.0360000000000005,1.018,-2.764,-89.7,-3402.0,12.54,-26.66,-3531.0,-3.398,3.554,0.1412,-1.192,-1.675,-428.8,3.452,-4.773,-438.7,-5215.830917,-5299.492795,2799.52,-1453.02,4252.55,-0.0612,0.0,0.0,0.0,1.701791,-1.278907,-2.528258,-18.402941000000002,-18.306348235,5.71704,0.007672,58
swarm_0_47.pdb,2,2,2,2,0,5,13,2,10,1,0,4,3,3,1,0.49,0.505,0.52,0.496,0.34,0.0,0.44384615384615383,0.52,0.5039999999999999,0.34,0.4766666666666666,0.6666666666666666,0.0,0.9,0.7849999999999999,1.04,2.48,0.68,0.0,5.77,1.04,5.039999999999999,0.34,1.43,2.0,0.0,0.9,3.1399999999999997,30.68,34.09,1589.0600000000013,715.4200000000001,873.6499999999996,1.4142135623730951,1.4142135623730951,3.605551275463989,1.0,1.4142135623730951,3.1622776601683795,1.4142135623730951,1.4142135623730951,0.0,2.23606797749979,0.0,1.0,2.0,1.7320508075688772,1.7320508075688772,0.1014,-0.68,-2.72,-9.4,-19.4,-120.2,1.56,-114.58,107.26,-3.42,-0.030492000000000002,-6.3,24.8,9.2,-14.8,65.49,0.4,8.2,12.8,3.16,5.56,3.74,-197.8,-0.6798022159999999,3.4,-7.602078999999999,-16.37,-25.48,-40.35,-37.23,-4161.22,-9.65,3.5,-14.41,-4.93,-1064.94,-381.38,0.0,0.0,0.0,0.0,0.0,-87.911,95.6789,0.000389,-26.193,5.317,-24.967,-23.372,-156.463,-3.839,-0.866,-69.50399999999999,-94.88,-3.28,-515.64,-62.82,-16215.711000000001,8.3129481175,-2.898,2.958,0.7476,-1.446,18.94,-2461.0,9.242,-11.79,-2463.0,-2.531,2.005,-0.843,2.322,3.687,-417.4,0.04066,0.2538,-413.5,-4787.945753,-4841.841501,763.97,-1355.58,2119.55,-0.0649,0.0,0.0,0.0,-10.732983,-11.786097,-8.391478999999999,-11.506203999999999,-14.491403052599999,8.85073,0.004,50
swarm_0_66.pdb,3,1,1,5,2,3,7,2,10,0,0,2,3,3,1,0.48,0.45600000000000007,0.64,0.4033333333333333,0.43,0.23,0.47000000000000003,0.56,0.5650000000000001,0.44,0.5166666666666667,0.8500000000000001,0.0,0.0,0.5,0.64,1.21,0.43,0.46,3.29,1.12,5.65,0.44,1.55,2.5500000000000003,0.0,0.0,1.0,31.21,33.53,1491.079999999998,583.4699999999993,907.6000000000004,1.7320508075688772,2.23606797749979,2.6457513110645907,1.0,1.4142135623730951,3.1622776601683795,1.0,1.0,1.4142135623730951,1.7320508075688772,0.0,0.0,1.4142135623730951,1.7320508075688772,1.7320508075688772,-0.17600000000000002,-4.922,-7.62,-13.2,-28.2,-157.8,1.72,-130.7,115.9,-5.4,-0.06096,-11.8,24.8,8.4,-20.2,111.236,-5.8,5.0,9.8,1.82,-2.56,-1.86,-227.0,-1.70508946,7.9,-12.663912,-16.93,-25.458000000000002,-35.4,-32.51,-3796.45,-22.52,-3.43,-46.38,-18.35,-958.97,-260.37,0.0,0.0,0.0,0.0,0.0,-61.1523,-54.3293,0.000554,-16.877,1.347,-34.818000000000005,-19.012,-78.95100000000001,-2.358,-0.858,-90.126,-148.65,28.82,-501.08,-47.99,-8899.449,21.7795541813,-3.9189999999999996,3.905,-0.4638,-2.571,-15.59,-2483.0,-0.1509,-5.961,-2505.0,-2.967,2.515,-0.9116,1.6119999999999999,-3.7889999999999997,-389.3,0.2489,2.738,-390.6,-4754.313040999999,-4803.558566,1396.99,-1354.87,2751.86,-0.0588,0.0,0.0,0.0,-4.009158,-0.677433,-12.468547000000001,-14.708283999999999,-12.262612696500002,4.8056,0.002977,43
swarm_0_68.pdb,4,1,2,3,5,3,9,3,10,0,0,2,2,2,1,0.4925,0.4000000000000001,0.49,0.4766666666666666,0.43,0.34400000000000003,0.4488888888888889,0.5166666666666667,0.5730000000000001,0.48,0.27,0.905,0.0,0.0,0.5349999999999999,0.49,1.43,0.86,1.7200000000000002,4.04,1.55,5.73,0.48,0.54,1.81,0.0,0.0,1.0699999999999998,30.97,34.09,1574.369999999999,738.8500000000004,835.5300000000007,2.0,1.7320508075688772,3.0,1.0,1.7320508075688772,3.1622776601683795,1.0,1.4142135623730951,2.23606797749979,1.7320508075688772,0.0,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,-0.5224,-6.056,-1.12,-10.2,-21.2,-149.0,4.84,-114.68,119.5,-2.64,-0.05468200000000001,-1.98,27.6,12.8,-14.8,71.882,-1.6,8.6,16.6,1.42,4.8,9.36,-203.2,-0.1547587088,9.6,-7.150060000000001,-15.4,-23.261,-59.0,-46.41,-3188.25,30.67,5.3,-24.41,3.16,-1043.11,-436.25,0.0,0.0,0.0,0.0,0.0,-37.027,388.476,0.000425,-9.229,10.450999999999999,-10.234,0.198,-81.292,-2.647,-1.102,-75.211,-123.97,114.0,-462.94,-82.96,-12204.678999999998,19.7314761262,-3.739,3.661,-0.498,-1.766,-207.4,-2694.0,0.5849,-1.8719999999999999,-2904.0,-3.125,2.966,-0.3003,0.753,-23.28,-401.4,0.3271,-3.8960000000000004,-428.9,-4519.769722,-4567.8336659999995,2059.35,-1228.12,3287.47,0.0814,0.0,0.0,0.0,-0.043352,1.929395,-5.2579970000000005,-15.708165,-8.02468517749,9.39665,0.004553,47
swarm_100_145.pdb,2,2,4,3,6,2,16,5,12,1,0,2,1,0,0,0.44,0.2833333333333334,0.485,0.41500000000000004,0.41000000000000003,0.36333333333333334,0.441875,0.514,0.49333333333333335,0.0,0.0,0.68,0.0,0.98,0.9,0.97,0.8300000000000001,1.6400000000000001,2.18,7.07,2.57,5.92,0.0,0.0,0.68,0.0,0.98,1.8,31.32,34.2,1938.4000000000015,928.1400000000012,1010.2499999999982,1.4142135623730951,1.7320508075688772,4.0,0.0,2.23606797749979,3.4641016151377544,1.4142135623730951,2.0,2.449489742783178,1.4142135623730951,0.0,1.0,1.4142135623730951,1.0,0.0,0.5554,-4.676,-0.94,-16.4,-25.8,-198.2,7.62,-154.58,154.72,-4.58,-0.019704,-8.84,40.6,14.4,-25.6,150.31,3.0,15.2,28.4,5.76,13.28,11.46,-277.6,-0.5555897975999999,18.5,-9.486207,-18.48,-30.005,-47.86,-50.61,-4046.44,-15.49,-17.36,1.68,5.74,-1043.55,163.97,0.0,0.0,0.0,0.0,0.0,-63.4616,36.4405,0.00031299999999999996,-15.690999999999999,13.860999999999999,-36.779,-5.507000000000001,-209.93200000000002,-3.842,0.146,-82.87,-115.48,201.1,-485.43,-29.9,412.861,15.8456418474,-3.992,3.9930000000000003,-0.2829,-2.7239999999999998,-39.98,-3388.0,3.136,-11.78,-3442.0,-3.485,3.312,1.516,3.553,13.16,-508.8,9.311,10.95,-494.0,-5276.904740999999,-5355.584734,2554.89,-1554.42,4109.31,0.0838,0.0,0.0,0.0,-4.8981580000000005,-6.559309,-10.322902000000001,-21.749761,-19.5047026913,6.68168,0.005464,56
swarm_100_33.pdb,2,3,5,7,6,1,12,3,9,1,2,2,1,2,0,0.51,0.3742857142857143,0.5866666666666666,0.4,0.396,0.30333333333333334,0.44416666666666665,0.5266666666666667,0.4755555555555555,0.0,0.51,0.68,0.6699999999999999,0.98,0.87,1.7599999999999998,0.4,1.98,1.82,5.33,1.58,4.279999999999999,0.0,1.02,0.68,1.3399999999999999,0.98,1.74,31.23,33.24,1865.6599999999999,758.9599999999991,1106.7000000000007,1.4142135623730951,2.6457513110645907,3.4641016151377544,0.0,1.7320508075688772,3.0,1.7320508075688772,2.23606797749979,2.449489742783178,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,2.239,-4.63,2.22,-5.6,-20.6,-174.8,4.6,-148.32,139.28,-0.58,0.054166,-0.9,23.2,12.8,-16.6,51.022,2.2,12.8,17.8,3.48,10.84,0.98,-260.8,0.4163422166,7.0,-2.432778,-14.59,-25.068,-44.08,-38.04,-4529.51,-6.04,2.0,17.49,1.64,-1021.72,-24.64,0.0,0.0,0.0,0.0,0.0,-64.1689,335.38599999999997,0.000411,-12.975999999999999,3.8489999999999998,11.74,-7.952999999999999,-199.062,-4.919,-1.137,28.584,-35.2,63.98,-634.42,13.36,2466.744,27.6745708692,-3.707,3.7460000000000004,0.04367,-2.9189999999999996,-41.24,-3281.0,6.617999999999999,-8.037,-3337.0,-2.657,2.635,0.1687,1.092,33.73,-464.7,4.075,1.641,-433.4,-4756.516834,-4842.273657,2218.92,-1378.06,3596.96,0.021,0.0,0.0,0.0,-4.715455,-10.295309,-4.1566529999999995,-13.429088,-15.027713614100001,26.3557,0.005125,56
swarm_100_35.pdb,3,2,9,4,7,2,14,3,7,0,1,1,4,1,0,0.5033333333333333,0.34500000000000003,0.485,0.30000000000000004,0.42666666666666664,0.3371428571428572,0.4628571428571429,0.49666666666666665,0.42571428571428566,0.0,0.48,0.765,0.86,0.0,0.9,0.97,0.6000000000000001,3.84,2.3600000000000003,6.48,1.49,2.9799999999999995,0.0,0.48,3.06,0.86,0.0,0.9,31.34,33.62,1629.2100000000028,768.5500000000011,860.6500000000015,1.7320508075688772,2.0,3.7416573867739413,0.0,1.7320508075688772,2.6457513110645907,1.4142135623730951,3.0,2.6457513110645907,1.4142135623730951,1.0,0.0,1.0,2.0,1.0,2.2772,-3.36,4.82,-10.4,-18.0,-169.8,6.9,-129.82,138.24,-1.98,0.012514,-1.96,33.8,14.4,-18.6,95.084,7.6,17.8,26.2,5.32,12.96,22.64,-232.6,0.7094661151999999,6.5,-6.324171,-11.24,-22.486,-53.58,-42.71,-2948.96,-20.06,-12.21,64.82,65.2,-733.59,469.21,0.0,0.0,0.0,0.0,0.0,-24.1187,359.73699999999997,0.00037999999999999997,-5.4110000000000005,7.013999999999999,-17.289,-0.126,-255.365,-4.438,0.414,-59.49100000000001,-64.43,128.05,-795.11,188.58,1239.606,20.426217798,-3.25,3.2489999999999997,-1.1340000000000001,-3.312,47.82,-2661.0,-4.789,2.193,-2607.0,-2.013,2.069,0.6725,0.3668,48.66,-411.5,4.078,3.117,-363.8,-4592.595829,-4661.433945000001,2147.36,-1192.87,3340.23,0.1546,0.0,0.0,0.0,-5.835426999999999,-7.064136,-5.239667,-14.677595000000002,-7.37553198892,9.73523,0.006017,58
swarm_100_64.pdb,4,2,7,5,9,8,16,5,10,1,1,1,2,1,0,0.45249999999999996,0.442,0.47000000000000003,0.54,0.4242857142857143,0.3933333333333333,0.471875,0.48,0.536,0.0,0.87,0.935,0.88,0.9,0.9,0.9400000000000001,4.32,2.97,3.54,7.55,2.4,5.36,0.0,0.87,1.87,0.88,0.9,0.9,30.81,33.43,2190.399999999998,827.9400000000005,1362.4700000000012,2.0,2.23606797749979,4.0,0.0,2.23606797749979,3.1622776601683795,1.4142135623730951,2.6457513110645907,3.0,2.8284271247461903,1.0,1.0,1.0,1.4142135623730951,1.0,2.5602,-1.966,5.22,-6.6,-17.4,-206.4,8.74,-169.02,168.4,-0.38,0.05823,-4.48,46.0,24.2,-18.0,121.21,12.4,25.0,34.0,1.42,17.8,6.26,-291.2,0.093900104,10.4,-10.198157,-22.9,-30.945999999999998,-66.65,-49.42,-4377.5,-3.16,-3.82,-7.71,14.74,-1317.61,-347.35,0.0,0.0,0.0,0.0,0.0,-75.7624,195.575,0.00021400000000000002,-11.827,-1.392,-17.528,-14.972000000000001,-217.472,-3.022,1.11,-16.898,-109.95,129.67,-599.37,-26.02,-254.646,11.444088203900002,-3.2910000000000004,3.1310000000000002,-1.15,-1.18,-3.964,-4052.0,-3.593,5.97,-4047.0,-2.435,2.505,0.6844,0.7028,91.98,-645.7,7.03,1.653,-559.1,-5346.137942,-5414.880332,2567.15,-1615.74,4182.89,-0.0821,0.0,0.0,0.0,2.4419459999999997,0.504838,1.377915,-11.382943,-20.4175936195,8.13981,0.002278,72
swarm_100_66.pdb,4,2,4,6,8,3,11,3,11,0,0,0,1,0,0,0.43,0.405,0.515,0.5533333333333333,0.41250000000000003,0.265,0.46727272727272734,0.5266666666666667,0.5454545454545454,0.0,0.0,0.59,0.0,0.0,0.0,1.03,1.6600000000000001,1.6500000000000001,2.12,5.140000000000001,1.58,6.0,0.0,0.0,0.59,0.0,0.0,0.0,30.81,34.59,1838.2300000000032,842.8600000000006,995.3600000000006,2.0,2.449489742783178,3.3166247903554,0.0,1.7320508075688772,3.3166247903554,1.4142135623730951,2.0,2.8284271247461903,1.7320508075688772,0.0,0.0,0.0,1.0,0.0,0.1572,-1.012,0.24,-12.4,-30.6,-181.2,2.78,-148.02,133.8,-2.92,-0.013574000000000001,-6.44,20.8,4.6,-25.2,111.694,-2.4,6.4,12.8,-4.14,4.32,1.04,-257.2,-0.7024319814,3.3,-9.518419,-18.69,-27.045,-45.95,-40.08,-4269.23,20.06,-11.12,19.24,4.28,-1030.0,-140.85,0.0,0.0,0.0,0.0,0.0,-34.2242,318.806,0.000341,-9.31,2.504,-42.964,-11.103,-184.278,-3.0669999999999997,0.434,-83.46700000000001,-177.72,95.02,-573.68,-163.24,1414.7910000000002,29.2157600773,-3.34,3.282,0.3651,-1.715,-66.77,-3196.0,5.888999999999999,0.5603,-3268.0,-2.6430000000000002,2.388,-0.2194,1.219,2.108,-497.6,1.808,2.9989999999999997,-494.3,-4950.8672289999995,-5020.128908,1034.93,-1439.27,2474.22,0.2091,0.0,0.0,0.0,-2.171694,-8.713918,-14.415629000000001,-21.772594,-16.6034021546,11.2472,0.0033399999999999997,53
