Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_180.pdb,1,4,5,4,6,6,4,5,5,2,0,5,2,2,0,0.58,0.4525,0.5924999999999999,0.5800000000000001,0.44800000000000006,0.3,0.445,0.512,0.55,0.0,0.475,0.7050000000000001,0.0,0.8400000000000001,0.6779999999999999,2.3699999999999997,3.4800000000000004,2.24,1.8,1.78,2.56,2.75,0.0,0.95,1.4100000000000001,0.0,1.6800000000000002,3.3899999999999997,29.97,38.66,1517.079999999998,657.4200000000001,859.6700000000001,1.0,2.0,2.0,0.0,2.23606797749979,2.23606797749979,2.0,2.23606797749979,2.449489742783178,2.449489742783178,0.0,1.4142135623730951,2.23606797749979,1.4142135623730951,1.4142135623730951,-0.8084,-2.5540000000000003,-1.3,-7.0,-22.0,-114.4,-0.86,-120.18,102.3,-0.7,-0.02239,-0.42,11.6,4.4,-12.8,32.641999999999996,-1.4,4.8,5.2,-4.96,-3.78,5.86,-197.0,0.29236680800000003,-14.3,-9.092227000000001,-16.36,-23.854,-40.82,-38.13,-5657.7,-8.67,-26.09,-53.14,-27.29,-1014.32,-292.73,0.0,0.0,0.0,0.0,0.0,-64.8312,-41.1339,0.00045599999999999997,-12.548,-7.846,-43.972,-24.791999999999998,-599.481,0.087,11.477,-90.7,-152.73,-41.37,-750.65,-18.37,903.982,3.00358939217,-2.722,2.5580000000000003,-1.1320000000000001,-0.4998,-107.5,-2410.0,-1.584,-9.911,-2526.0,-2.062,1.703,-1.4369999999999998,0.5358,2.8689999999999998,-320.0,-1.5519999999999998,-1.621,-317.2,-4478.099075,-4531.773805,591.14,-1216.3,1807.43,-0.1726,0.0,0.0,0.0,1.543556,-1.633921,-7.302055999999999,-15.472832,-12.634399154,-2.58855,0.003824,51
swarm_10_105.pdb,4,3,4,7,7,6,11,2,16,0,1,1,0,0,0,0.4475,0.3757142857142858,0.47000000000000003,0.5766666666666665,0.47,0.33428571428571435,0.4381818181818181,0.52,0.545625,0.0,0.0,0.0,0.88,0.0,0.74,1.4100000000000001,3.4599999999999995,1.88,2.3400000000000003,4.819999999999999,1.04,8.73,0.0,0.0,0.0,0.88,0.0,0.74,29.03,39.59,1762.9799999999996,817.710000000001,945.2699999999986,2.0,2.6457513110645907,3.3166247903554,0.0,1.4142135623730951,4.0,1.7320508075688772,2.0,2.6457513110645907,2.449489742783178,1.0,0.0,1.0,0.0,0.0,2.355,-6.0120000000000005,-0.28,-10.6,-26.2,-171.4,6.34,-154.96,160.16,-3.9,0.06578200000000001,-7.96,44.0,20.0,-21.8,159.78799999999998,13.8,20.8,30.4,3.58,11.52,2.36,-282.2,-2.15662284,11.4,-9.998111999999999,-20.48,-31.432,-68.01,-56.27,-3609.97,7.88,-6.85,45.96,29.09,-1142.79,-85.68,0.0,0.0,0.0,0.0,0.0,-30.135,179.565,0.000417,-12.739,17.104,-44.369,-0.07200000000000001,-55.217,-4.154,-3.105,-21.265,-177.14,219.43,-172.57,-136.33,2037.4520000000002,6.32329809107,-1.382,1.483,0.8440000000000001,-1.172,42.49,-3951.0,14.02,-46.37,-3969.0,-0.07019,-0.3386,0.8073,3.142,12.52,-567.2,11.39,-0.7312,-566.8,-5236.290825,-5305.304559,3391.9,-1584.31,4976.22,-0.0006,0.0,0.0,0.0,-10.612136999999999,-13.159232999999999,-11.644332,-26.115771,-17.2778804119,3.83469,0.0047420000000000006,62
swarm_101_114.pdb,6,5,13,2,10,1,15,4,3,1,3,3,0,2,1,0.44,0.475,0.5519999999999999,0.46,0.43461538461538457,0.4119999999999999,0.4046666666666667,0.51,0.5,0.34,0.43999999999999995,0.0,0.7933333333333333,0.9,0.77,2.76,0.46,5.6499999999999995,4.119999999999999,6.07,2.04,1.5,0.34,0.8799999999999999,0.0,2.38,0.9,2.31,30.52,38.37,1967.4400000000023,786.7600000000002,1180.67,2.449489742783178,1.4142135623730951,3.872983346207417,1.0,2.0,1.7320508075688772,2.23606797749979,3.605551275463989,3.1622776601683795,1.0,1.7320508075688772,1.0,1.7320508075688772,0.0,1.4142135623730951,1.0488,-0.42,-1.04,-5.0,-22.8,-190.4,3.5,-194.7,170.6,-0.64,0.042406,-2.3,38.2,23.6,-16.2,67.488,9.6,18.0,23.8,0.88,3.56,2.64,-319.2,0.1990615838,1.5,-10.594467999999999,-21.56,-33.004,-62.87,-61.36,-5291.34,-2.53,-12.04,-1.65,-2.32,-1140.97,78.83,0.0,0.0,0.0,0.0,0.0,-75.1733,112.743,0.000336,-9.06,5.692,-5.752999999999999,-3.943,-71.533,-2.6630000000000003,-1.304,-96.36399999999999,-88.44,91.88,-513.2,47.16,2235.7470000000003,9.08396753615,-2.494,2.5,-0.053689999999999995,-1.4369999999999998,-52.19,-3815.0,7.1129999999999995,-49.0,-3923.0,-1.618,1.527,0.6522,1.923,35.76,-534.8,9.844,-1.1159999999999999,-510.0,-5343.571144,-5414.578436,2102.47,-1675.3,3777.77,-0.0905,0.0,0.0,0.0,-4.72029,-7.023453,-3.716469,-19.944657,-21.5592294154,4.13502,0.006362,69
swarm_101_17.pdb,5,2,7,1,2,1,7,5,5,0,0,0,0,2,1,0.508,0.29,0.635,0.57,0.4557142857142856,0.42,0.4328571428571429,0.51,0.51,0.44,0.44499999999999995,0.0,0.0,0.0,0.0,1.27,0.57,3.1899999999999995,0.84,3.0300000000000002,2.55,2.55,0.44,0.8899999999999999,0.0,0.0,0.0,0.0,30.31,38.24,1350.989999999998,540.7999999999993,810.1900000000023,2.23606797749979,1.0,2.6457513110645907,1.0,2.23606797749979,2.23606797749979,1.4142135623730951,2.6457513110645907,1.4142135623730951,1.0,0.0,0.0,0.0,0.0,1.4142135623730951,2.3416,-2.09,4.66,-3.6,-11.6,-133.8,7.14,-103.64,114.32,0.58,0.042825999999999996,2.34,31.6,20.6,-5.8,16.272000000000002,5.6,14.4,18.4,2.56,7.6,13.28,-187.8,0.5548617060000001,6.8,-6.641019,-16.33,-22.971,-51.62,-35.22,-2911.47,13.0,0.74,2.49,7.55,-756.04,-149.31,0.0,0.0,0.0,0.0,0.0,-35.3077,203.489,0.00048499999999999997,-5.944,9.356,-10.787,2.333,-0.49200000000000005,-2.7089999999999996,-2.7,-40.873000000000005,-93.53,60.8,-480.49,-40.91,1919.316,3.3258876591,-1.5490000000000002,1.371,-1.625,-0.2458,94.01,-2550.0,-7.478,-5.189,-2454.0,-0.8473,0.723,-0.7533,0.1197,32.38,-374.1,2.262,-2.516,-346.5,-4213.015829,-4262.162628,1170.18,-1164.68,2334.89,-0.0838,0.0,0.0,0.0,4.551913,1.004046,-0.19406900000000002,-3.632825,-13.410323491500002,3.3221199999999995,0.004579,38
swarm_101_181.pdb,8,3,15,5,4,1,3,11,0,0,0,1,0,0,0,0.51625,0.5619999999999999,0.56,0.53,0.4333333333333333,0.39999999999999997,0.4633333333333334,0.5118181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.57,1.6800000000000002,0.53,6.499999999999999,1.5999999999999999,1.3900000000000001,5.630000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.57,30.51,38.98,1530.9099999999999,649.0200000000004,881.8899999999994,2.8284271247461903,2.23606797749979,1.7320508075688772,0.0,3.3166247903554,0.0,1.7320508075688772,3.872983346207417,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.4664,-0.2,6.3,1.2,-12.6,-148.2,4.92,-147.4,142.84,2.92,0.083384,5.9,29.6,23.0,-6.0,23.048000000000002,7.4,17.0,21.8,1.68,11.12,8.78,-245.0,1.2555967018,3.2,-5.778787,-16.93,-25.555999999999997,-38.11,-41.75,-3459.82,16.4,-7.27,-33.56,-6.61,-845.51,-84.48,0.0,0.0,0.0,0.0,0.0,-36.055,241.347,0.00038199999999999996,-3.233,2.6639999999999997,-8.74,-1.443,-133.255,-3.608,-1.0759999999999998,12.985,-91.35,81.96,-506.98,14.06,8.05599999999,7.734585441419999,-1.0859999999999999,0.9545,-0.8591,0.2681,-62.13,-3025.0,-1.075,-5.742999999999999,-3092.0,0.8673,-1.077,-0.3409,0.6331,21.34,-383.4,2.555,-2.189,-366.8,-4581.418702,-4650.776734,862.6,-1301.2,2163.8,-0.1632,0.0,0.0,0.0,3.483828,1.334614,-2.186407,-12.548581,-13.7728759142,2.94435,0.004,51
swarm_101_193.pdb,9,6,9,3,11,1,12,5,17,0,10,2,0,6,0,0.49,0.36000000000000004,0.5666666666666667,0.41,0.44777777777777783,0.3645454545454545,0.43500000000000005,0.518,0.48941176470588227,0.0,0.42,0.0,0.7070000000000001,0.0,0.635,3.4,0.41,4.03,4.01,5.220000000000001,2.5900000000000003,8.319999999999999,0.0,2.52,0.0,7.07,0.0,1.27,30.61,37.9,2857.699999999997,1257.0,1600.7000000000007,3.0,1.7320508075688772,3.4641016151377544,0.0,2.23606797749979,4.123105625617661,2.449489742783178,3.0,3.3166247903554,1.0,3.1622776601683795,0.0,1.4142135623730951,0.0,2.449489742783178,-2.7156,-8.846,-3.62,-9.6,-44.0,-310.8,0.3,-322.42,266.64,-2.36,-0.013952,-5.72,47.2,29.0,-30.2,114.25399999999999,9.0,19.6,25.8,-12.76,-4.22,0.2,-516.4,-2.58293982,3.7,-10.207246000000001,-24.33,-36.445,-112.68,-99.76,-7157.32,-13.41,-21.71,43.73,42.75,-1266.46,437.22,0.0,0.0,0.0,0.0,0.0,-72.8021,994.048,0.00016,-24.358,26.195,34.388000000000005,5.276,-139.974,-3.502,-0.8420000000000001,-64.138,-154.44,53.48,-670.23,-95.37,2470.571,30.4410243955,-1.584,1.422,-0.4586,0.7462,-285.5,-4391.0,1.788,-21.39,-4700.0,-1.1640000000000001,0.598,-1.245,1.891,-41.12,-826.4,5.712000000000001,-3.472,-876.7,-5732.459726,-5830.707069,2271.62,-1890.41,4162.03,-0.193,0.0,0.0,0.0,-5.592275,-12.022269999999999,-4.605884,-20.433331,-32.6147106667,5.26725,0.002747,91
swarm_10_135.pdb,3,0,3,5,10,2,6,4,12,0,0,1,0,3,2,0.4666666666666666,0.34,0.0,0.49,0.4766666666666666,0.332,0.40666666666666673,0.45749999999999996,0.37000000000000005,0.34,0.5866666666666667,0.0,0.0,0.0,0.9,0.0,0.98,1.43,3.3200000000000003,2.4400000000000004,1.8299999999999998,4.44,0.68,1.76,0.0,0.0,0.0,0.9,30.4,38.07,1609.380000000001,653.4400000000005,955.9399999999987,1.7320508075688772,2.23606797749979,2.449489742783178,1.4142135623730951,2.0,3.4641016151377544,0.0,1.7320508075688772,3.1622776601683795,1.4142135623730951,0.0,0.0,1.0,0.0,1.7320508075688772,3.8852,1.032,5.52,-2.4,-5.8,-126.0,9.56,-106.02,121.72,0.6,0.048256,0.26,44.2,28.8,-1.8,106.666,16.4,26.0,32.0,12.64,20.88,5.56,-193.6,0.9874680238,19.9,-8.775638,-15.07,-24.255,-38.4,-36.05,-2346.85,6.1,4.95,57.06,14.02,-820.97,-276.2,0.0,0.0,0.0,0.0,0.0,-47.1267,3.10162,0.000458,-13.522,13.911,-43.446000000000005,-3.9560000000000004,13.866,-7.346,-7.61,-58.184,-113.95,176.68,-222.42,26.23,2890.4429999999998,5.11329306057,-2.02,2.051,0.4173,-1.159,-56.23,-2861.0,8.066,-1.599,-2927.0,-1.112,1.3940000000000001,1.581,0.1096,38.04,-435.7,10.92,-0.122,-408.7,-4412.0465189999995,-4464.943943,1865.17,-1202.61,3067.78,-0.1024,0.0,0.0,0.0,-2.985543,-6.953502,0.8651280000000001,-9.376928,-16.246178962000002,-1.29063,0.004098,51
swarm_101_39.pdb,1,1,6,0,3,0,2,13,0,0,0,1,1,2,0,0.49,0.0,0.63,0.0,0.37999999999999995,0.28,0.53,0.5007692307692309,0.0,0.0,0.44499999999999995,0.88,0.0,0.0,0.72,0.63,0.0,2.28,0.8400000000000001,1.06,6.510000000000002,0.0,0.0,0.8899999999999999,0.88,0.0,0.0,0.72,29.81,39.0,1254.0099999999984,532.7000000000007,721.3100000000013,1.0,0.0,1.4142135623730951,0.0,3.605551275463989,0.0,1.0,2.449489742783178,1.7320508075688772,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.6086,0.66,1.74,-4.6,-9.4,-96.6,2.56,-76.26,78.36,-0.56,0.00873,-1.02,15.4,10.0,-5.4,-6.544,3.6,8.8,12.4,0.28,6.7,-1.02,-137.4,0.0416711308,3.1,-7.401789,-17.66,-23.230999999999998,-39.15,-39.33,-1820.75,-7.94,0.23,-23.06,-3.32,-879.5,-554.32,0.0,0.0,0.0,0.0,0.0,-24.9866,52.9303,0.00044699999999999997,-2.187,0.049,-37.734,-5.912000000000001,-137.055,-2.1519999999999997,0.45299999999999996,-68.221,-107.89,35.96,-365.21,-51.53,-28.171999999999997,18.3783880826,0.289,-0.287,-0.8329,-1.103,683.3,-3360.0,-1.41,-43.88,-2719.0,0.2498,-0.611,-0.8827,1.297,122.0,-392.7,1.8359999999999999,1.258,-271.3,-4260.627246,-4309.338861,918.76,-1146.63,2065.38,-0.0995,0.0,0.0,0.0,-0.346988,-2.4186360000000002,-1.527203,-8.747743,-11.3857439502,-2.78713,0.004633,30
swarm_101_3.pdb,6,2,6,5,9,6,17,4,13,0,5,2,0,7,1,0.5066666666666667,0.366,0.5700000000000001,0.635,0.48999999999999994,0.31,0.4729411764705882,0.545,0.5953846153846154,0.34,0.4699999999999999,0.0,0.6,0.0,0.685,1.1400000000000001,3.81,2.9399999999999995,2.79,8.04,2.18,7.74,0.34,3.2899999999999996,0.0,3.0,0.0,1.37,30.29,38.86,2893.1799999999967,1388.6399999999994,1504.5599999999977,2.449489742783178,2.23606797749979,4.123105625617661,1.0,2.0,3.605551275463989,1.4142135623730951,2.449489742783178,3.0,2.449489742783178,2.23606797749979,0.0,1.4142135623730951,0.0,2.6457513110645907,-0.2366,-7.92,-3.6,-23.6,-40.6,-258.8,6.12,-233.52,233.54,-6.76,0.085904,-9.32,54.2,25.8,-31.4,135.362,10.0,21.8,30.0,-0.68,16.1,9.76,-433.4,-0.7643342409999999,10.6,-12.967124,-24.19,-37.236,-78.98,-77.59,-5698.69,-51.03,-22.28,-34.73,-11.24,-1509.43,-486.13,0.0,0.0,0.0,0.0,0.0,-95.5402,230.273,0.000139,-27.238000000000003,30.936999999999998,-50.573,-1.358,-159.194,-1.9040000000000001,1.12,-133.549,-211.49,198.34,-431.95,-157.28,225.33,34.0579553342,-2.0580000000000003,1.97,-0.9162,-1.158,-212.8,-4526.0,-2.076,-7.374,-4744.0,-1.649,1.095,-1.413,1.479,-10.13,-760.0,2.568,0.2019,-772.5,-5752.854695,-5841.846235,3319.23,-1845.92,5165.14,-0.2223,0.0,0.0,0.0,-15.449632000000001,-16.657557999999998,-10.309923,-23.791741000000002,-29.8933833218,5.0651,0.002398,83
swarm_101_4.pdb,16,2,22,17,8,1,9,16,6,0,15,3,3,14,3,0.4587500000000001,0.3647058823529412,0.56,0.55,0.4168181818181818,0.40625000000000006,0.4322222222222222,0.5256250000000001,0.535,0.5133333333333333,0.4764285714285714,0.7333333333333334,0.6486666666666667,0.0,0.6999999999999998,1.12,0.55,9.17,3.2500000000000004,3.8899999999999997,8.410000000000002,3.2100000000000004,1.54,6.67,2.2,9.73,0.0,2.0999999999999996,30.64,38.15,2210.850000000002,904.2299999999996,1306.6299999999992,4.0,4.123105625617661,3.0,1.7320508075688772,4.0,2.449489742783178,1.4142135623730951,4.69041575982343,2.8284271247461903,1.0,3.872983346207417,0.0,1.7320508075688772,1.7320508075688772,3.7416573867739413,2.4418,-0.474,0.02,-6.6,-37.8,-421.2,-0.52,-402.9,328.26,1.46,0.137032,1.06,58.2,45.0,-16.8,-7.64,11.4,27.6,25.6,-5.32,-1.6,21.38,-611.6,1.2528189565999999,-15.5,15.827872,-6.64,-19.204,-80.94,-80.21,-8816.4,68.37,14.62,343.76,202.16,280.66,6582.4,0.0,0.0,0.0,0.0,0.0,221.75799999999998,10364.7,0.000234,-15.811,3.3930000000000002,548.424,42.424,-147.334,-4.627,-1.827,395.461,338.83,-51.06,-2284.07,722.0,32.059,17.181826453699998,-0.653,0.4543,-0.3474,1.347,292.6,-5710.0,6.0920000000000005,-64.42,-5488.0,1.048,-1.08,0.0571,0.2904,217.0,-1094.0,11.14,-13.13,-901.5,-4182.398915,-4367.886904999999,3771.74,-1592.37,5364.12,0.0312,0.0,0.0,0.0,-5.5184690000000005,-4.768611,7.341797,-30.113844,-28.167752360300003,31.8414,0.002726,135
