Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_100_181.pdb,3,3,2,10,7,4,7,0,10,0,3,3,4,5,2,0.4033333333333333,0.356,0.3499999999999999,0.585,0.44000000000000006,0.3428571428571429,0.5128571428571429,0.0,0.537,0.39,0.45,0.7525000000000001,0.84,0.0,0.6333333333333334,1.0499999999999998,2.34,0.8800000000000001,2.4000000000000004,3.5900000000000003,0.0,5.37,0.78,2.25,3.0100000000000002,2.52,0.0,1.9000000000000001,22.05,43.83,1803.9399999999987,721.7299999999996,1082.210000000001,1.7320508075688772,3.1622776601683795,2.6457513110645907,1.4142135623730951,0.0,3.1622776601683795,1.7320508075688772,1.4142135623730951,2.6457513110645907,2.0,1.7320508075688772,0.0,1.7320508075688772,2.0,2.23606797749979,3.662,-1.216,2.76,-7.6,-12.8,-160.8,7.3,-153.04,154.24,-0.86,0.096496,-4.48,45.6,26.4,-9.4,89.64200000000001,16.4,24.8,29.4,4.24,13.02,3.94,-279.8,-0.1227841908,14.1,-9.092525,-16.77,-30.898000000000003,-40.86,-30.75,-2965.96,-8.03,-0.21,-1.23,12.53,-1462.77,-617.95,0.0,0.0,0.0,0.0,0.0,-43.386,216.475,0.000412,-10.587,8.329,-21.855999999999998,-4.444,-175.29,-6.081,-2.75,13.876,-112.73,150.32,-471.81,166.0,2189.811,24.8634178929,-3.8480000000000003,4.02,1.455,-1.744,-437.4,-3783.0,14.15,-44.04,-4279.0,-2.585,2.708,0.9686,0.3094,-5.806,-461.1,8.46,-9.234,-484.6,-4959.7983619999995,-5031.305812,3894.37,-1548.65,5443.02,0.0263,0.0,0.0,0.0,0.675054,1.6191799999999998,-1.105318,-12.384734,-17.0996660297,25.919,0.006778,63
swarm_100_27.pdb,7,2,1,8,3,4,8,2,8,1,0,1,3,1,1,0.5014285714285714,0.395,0.5800000000000001,0.6325,0.38,0.32,0.45124999999999993,0.5,0.52375,0.48,0.27,0.8833333333333333,0.0,0.49,0.74,1.1600000000000001,2.53,0.38,0.96,3.6099999999999994,1.0,4.19,0.48,0.27,2.65,0.0,0.49,0.74,22.02,43.52,1577.7599999999984,737.619999999999,840.1400000000012,2.6457513110645907,2.8284271247461903,2.8284271247461903,1.0,1.4142135623730951,2.8284271247461903,1.4142135623730951,1.0,1.7320508075688772,2.0,0.0,1.0,1.0,1.7320508075688772,1.0,0.7384,-2.524,-0.64,-11.4,-17.6,-118.4,4.64,-101.7,112.32,-4.42,0.009928,-8.96,36.6,17.2,-10.4,89.3,6.4,15.4,23.4,2.44,4.12,-5.96,-202.6,-0.9863678607999999,6.2,-5.112806,-14.71,-24.019000000000002,-43.88,-33.87,-3090.74,-15.9,-3.95,-16.59,21.22,-1051.78,127.04,0.0,0.0,0.0,0.0,0.0,-19.3693,417.721,0.000376,-4.191,7.815,10.450999999999999,4.669,-27.541999999999998,-2.4859999999999998,-1.963,50.327,-53.58,216.48,-389.24,34.17,570.409,24.456348015,-3.6910000000000003,3.742,0.5285,-1.166,-517.7,-3152.0,6.779,-34.48,-3711.0,-3.302,2.7239999999999998,-1.831,1.232,-62.39,-370.1,0.1106,-6.1,-438.7,-4217.587248,-4279.193958,3016.22,-1240.3,4256.5,0.0148,0.0,0.0,0.0,-3.590361,-3.726056,0.5540579999999999,-11.526682000000001,-13.338808826700001,25.6049,0.00494,50
swarm_100_31.pdb,5,2,7,5,13,3,15,4,4,1,4,1,0,7,0,0.418,0.32,0.44,0.6033333333333334,0.4114285714285714,0.3438461538461538,0.502,0.45249999999999996,0.335,0.0,0.47857142857142854,0.0,0.71,0.49,0.74,0.88,1.81,2.88,4.47,7.529999999999999,1.8099999999999998,1.34,0.0,3.3499999999999996,0.0,2.84,0.49,0.74,22.61,43.62,1841.1500000000015,789.9299999999985,1051.2399999999998,2.23606797749979,2.23606797749979,3.872983346207417,0.0,2.0,2.0,1.4142135623730951,2.6457513110645907,3.605551275463989,1.7320508075688772,2.0,1.0,1.0,0.0,2.6457513110645907,5.327999999999999,-3.016,8.2,-6.4,-8.6,-192.8,9.5,-161.76,175.5,-0.1,0.016108,-1.74,47.8,29.0,-12.4,91.2,23.6,33.2,41.8,7.36,18.02,9.18,-284.2,-0.2505004464,13.7,-9.851114,-13.36,-28.291999999999998,-57.98,-47.25,-3772.74,0.55,-2.67,11.69,30.69,-1223.54,-334.66,0.0,0.0,0.0,0.0,0.0,-15.3995,1054.31,0.000434,-9.951,12.402999999999999,-0.122,2.44,-280.834,-9.229,-3.8930000000000002,1.554,-112.46,204.51,-456.03,205.63,1472.475,31.518682532,-4.751,4.672,-0.3259,-0.7245,-530.7,-3699.0,-1.574,-38.71,-4267.0,-2.9930000000000003,3.2060000000000004,1.598,1.01,11.39,-552.6,12.48,-6.414,-560.1,-4779.612561999999,-4880.806132,3289.78,-1435.4,4725.18,0.0853,0.0,0.0,0.0,-0.476625,-1.129691,-4.597748,-18.481681,-13.345574631400002,35.3877,0.006,71
swarm_100_49.pdb,6,3,1,10,6,3,7,1,5,0,1,3,4,3,8,0.5083333333333334,0.362,0.44333333333333336,0.6366666666666666,0.34,0.29333333333333333,0.4714285714285714,0.48,0.5780000000000001,0.42625,0.5866666666666667,0.675,0.58,0.0,0.6566666666666666,1.33,1.91,0.34,1.76,3.3,0.48,2.89,3.41,1.76,2.7,0.58,0.0,1.97,22.66,43.49,1503.109999999997,696.869999999999,806.2399999999998,2.449489742783178,3.1622776601683795,2.6457513110645907,2.8284271247461903,1.0,2.23606797749979,1.7320508075688772,1.0,2.449489742783178,1.7320508075688772,1.0,0.0,1.7320508075688772,2.0,1.7320508075688772,2.93,1.984,2.92,-3.0,-8.4,-99.8,3.98,-111.28,119.94,-0.44,0.062226,-1.5,26.4,16.6,-2.6,76.952,14.8,25.6,27.2,7.1,5.46,-9.44,-209.2,0.3589389012,6.7,-4.517327,-10.65,-21.323,-41.15,-32.01,-1955.84,-14.33,-12.01,32.12,35.52,-924.67,-134.62,0.0,0.0,0.0,0.0,0.0,-56.8751,259.002,0.000411,-8.923,10.843,9.935,2.9130000000000003,-70.328,-1.5219999999999998,-0.18600000000000003,6.54,-23.39,161.34,-332.37,148.45,1456.646,19.8478442356,-4.965,4.918,0.6642,-0.3162,-656.5,-2929.0,6.854,-4.687,-3597.0,-3.5239999999999996,3.488,0.4281,1.5430000000000001,-54.73,-361.3,6.131,0.35700000000000004,-421.8,-3959.408751,-4019.549314,2851.88,-1099.11,3950.98,-0.2031,0.0,0.0,0.0,-5.466337,-4.1224169999999996,-3.3795059999999997,-12.32677,-12.836007526600001,25.6234,0.003967,61
swarm_101_120.pdb,6,5,3,12,12,5,10,5,7,1,1,3,5,2,1,0.48833333333333345,0.4083333333333334,0.538,0.6020000000000001,0.4466666666666666,0.37250000000000005,0.472,0.522,0.5414285714285714,0.51,0.43999999999999995,0.616,0.73,0.49,0.6566666666666666,2.69,3.0100000000000002,1.3399999999999999,4.470000000000001,4.72,2.6100000000000003,3.7899999999999996,0.51,0.8799999999999999,3.08,0.73,0.49,1.9699999999999998,22.22,43.65,2099.709999999999,1002.8700000000008,1096.83,2.449489742783178,3.4641016151377544,3.1622776601683795,1.0,2.23606797749979,2.6457513110645907,2.23606797749979,1.7320508075688772,3.4641016151377544,2.23606797749979,1.0,1.0,1.7320508075688772,2.23606797749979,1.4142135623730951,1.5312,-5.47,-1.84,-13.0,-25.8,-159.4,3.0,-173.16,173.36,-3.72,0.07561,-7.04,27.6,12.0,-17.6,57.324,8.6,19.6,23.2,1.74,0.14,1.28,-316.8,-0.24109571059999998,-0.9,-10.254978,-17.96,-31.039,-60.3,-43.39,-4022.34,-12.37,-3.17,15.92,34.99,-1393.94,-474.36,0.0,0.0,0.0,0.0,0.0,-64.1659,110.021,0.000293,2.909,9.774,-50.698,7.614,-401.56300000000005,-3.196,4.434,-70.42399999999999,-222.79,216.73,-200.47,-126.87,-660.074,33.4317174731,-5.167000000000001,5.119,1.631,0.1173,-239.3,-3568.0,13.05,3.4760000000000004,-3817.0,-3.528,3.07,-1.4809999999999999,1.631,13.46,-658.5,1.003,-2.657,-648.7,-5045.202951,-5115.73153,2785.06,-1573.96,4359.01,-0.003,0.0,0.0,0.0,-4.878715000000001,-8.336396,-8.542891000000001,-17.176892000000002,-16.9527230746,22.2849,0.0038590000000000005,78
swarm_101_135.pdb,3,5,7,3,7,5,14,4,3,0,1,5,3,4,0,0.4766666666666666,0.35000000000000003,0.524,0.6,0.4528571428571429,0.33571428571428574,0.45142857142857146,0.5325,0.5866666666666667,0.0,0.45999999999999996,0.6766666666666667,0.46,0.0,0.6780000000000002,2.62,3.0,3.1700000000000004,2.35,6.32,2.13,1.76,0.0,1.8399999999999999,2.0300000000000002,0.46,0.0,3.3900000000000006,22.19,44.12,2149.9300000000003,1055.6000000000004,1094.329999999998,1.7320508075688772,1.7320508075688772,3.7416573867739413,0.0,2.0,1.7320508075688772,2.23606797749979,2.6457513110645907,2.6457513110645907,2.23606797749979,1.0,0.0,2.23606797749979,1.7320508075688772,2.0,-0.6082,-3.676,1.54,-9.0,-28.4,-176.8,2.76,-142.78,135.4,-0.92,-0.0397,-0.06,25.4,12.6,-21.2,56.04,-0.6,6.4,13.6,-2.18,2.76,10.92,-249.8,0.4822343678,1.8,-9.770158,-17.19,-35.896,-60.21,-57.99,-5863.37,-37.37,-10.82,-27.83,-2.02,-1812.62,-774.26,0.0,0.0,0.0,0.0,0.0,-58.1304,266.195,0.00023799999999999998,-12.392999999999999,12.001,-53.595,-5.752000000000001,-430.45300000000003,-2.815,5.364,-111.669,-184.23,117.97,-524.48,-42.63,-1093.761,25.3453599745,-4.667,4.78,0.5267,-2.523,-45.2,-3943.0,8.299,-50.3,-4046.0,-3.312,2.815,0.2122,3.492,45.68,-627.5,7.7829999999999995,-2.298,-591.9,-5494.491854999999,-5571.182091,3400.36,-1749.4,5149.78,-0.127,0.0,0.0,0.0,-6.994261999999999,-13.655060999999998,-7.704606,-14.886229,-15.483570088499999,22.1901,0.007672,64
swarm_101_13.pdb,3,9,4,4,5,7,8,4,4,3,0,2,1,2,0,0.4533333333333333,0.35000000000000003,0.5744444444444444,0.5528571428571428,0.47,0.32199999999999995,0.44499999999999995,0.535,0.64,0.0,0.43999999999999995,0.52,0.0,0.49,0.71,5.17,3.87,1.88,1.6099999999999999,3.5599999999999996,2.14,2.56,0.0,0.8799999999999999,0.52,0.0,1.47,1.42,22.57,43.83,1760.4400000000023,754.7699999999986,1005.6599999999999,1.7320508075688772,2.0,2.8284271247461903,0.0,2.0,2.0,3.0,2.0,2.23606797749979,2.6457513110645907,0.0,1.7320508075688772,1.4142135623730951,1.0,1.4142135623730951,-1.1320000000000001,-4.08,-3.74,-7.4,-22.8,-143.8,1.3,-121.68,109.7,-2.44,-0.031306,-5.34,18.6,7.4,-20.8,57.582,1.0,6.4,12.8,-2.18,-2.1,-4.8,-199.6,-0.9605761048,1.5,-10.651253,-14.7,-26.964000000000002,-58.69,-50.52,-4520.77,-11.95,-10.11,-61.02,-17.38,-1353.75,-619.36,0.0,0.0,0.0,0.0,0.0,-69.9687,-93.3368,0.000405,-5.932,-11.342,-37.775,-21.052,-489.418,-3.2689999999999997,6.03,-108.956,-175.1,122.8,-345.37,-53.27,-1780.744,17.1903598597,-4.6530000000000005,4.651,-0.2302,-2.355,26.84,-3074.0,0.5614,-17.68,-3066.0,-2.622,2.496,-1.182,-0.9543,29.07,-450.2,1.1909999999999998,-6.181,-428.5,-4580.836397,-4629.43069,2060.47,-1366.08,3426.54,-0.1187,0.0,0.0,0.0,-4.703530000000001,-1.7163099999999998,-6.384229,-15.115972,-14.6956425966,20.3846,0.007911,56
swarm_101_40.pdb,4,4,3,6,6,3,5,0,8,2,1,0,5,5,0,0.4775,0.42333333333333334,0.535,0.5499999999999999,0.42,0.32833333333333337,0.40599999999999997,0.0,0.5800000000000001,0.0,0.434,0.706,0.58,0.635,0.0,2.14,1.65,1.26,1.9700000000000002,2.03,0.0,4.640000000000001,0.0,2.17,3.53,0.58,1.27,0.0,21.75,43.5,2000.7299999999996,839.1900000000005,1161.539999999999,2.0,2.449489742783178,2.23606797749979,0.0,0.0,2.8284271247461903,2.0,1.7320508075688772,2.449489742783178,1.7320508075688772,1.0,1.4142135623730951,0.0,2.23606797749979,2.23606797749979,-0.0332,-8.16,-5.68,-11.8,-20.2,-130.6,4.62,-115.3,121.76,-4.86,-0.013022,-9.0,30.4,12.6,-15.4,92.05,7.8,13.2,20.6,-1.48,6.34,-2.72,-224.6,-1.858877664,6.5,-11.433732000000001,-19.69,-29.241999999999997,-40.44,-33.82,-4183.29,-15.09,-14.01,-18.08,0.83,-1398.72,-815.38,0.0,0.0,0.0,0.0,0.0,-69.7134,-98.8767,0.00033999999999999997,-10.251,7.022,-60.665,-9.296,-444.32599999999996,-2.9810000000000003,5.462000000000001,6.097,-128.93,158.79,-288.75,22.86,-15.6469999999,26.6360055092,-4.581,4.522,0.1199,-0.7402,-218.9,-3292.0,2.423,6.316,-3507.0,-1.55,1.369,-0.7884,0.3544,30.92,-470.4,2.79,-2.5340000000000003,-444.8,-4745.326253,-4809.464005,1528.48,-1483.13,3011.61,-0.2044,0.0,0.0,0.0,-7.031405,-6.515314,-8.521922,-9.325465,-17.2342063708,25.6318,0.006712,52
swarm_101_68.pdb,4,4,7,3,8,4,4,4,6,2,2,5,2,2,0,0.52,0.45,0.47750000000000004,0.6125,0.4428571428571429,0.37249999999999994,0.3775,0.4925,0.6783333333333333,0.0,0.44499999999999995,0.52,0.5900000000000001,0.49,0.6880000000000001,1.9100000000000001,2.45,3.1,2.9799999999999995,1.51,1.97,4.07,0.0,0.8899999999999999,1.04,1.1800000000000002,0.98,3.4400000000000004,22.22,43.12,1767.5200000000004,782.0500000000011,985.4899999999998,2.0,1.7320508075688772,2.0,0.0,2.0,2.449489742783178,2.0,2.6457513110645907,2.8284271247461903,2.0,1.4142135623730951,1.4142135623730951,2.23606797749979,1.4142135623730951,1.4142135623730951,-1.4644,-3.0239999999999996,-4.32,-10.4,-26.4,-158.8,1.24,-143.08,127.96,-2.86,-0.015875999999999998,-7.14,20.8,7.4,-21.0,78.93,1.0,8.0,10.8,-1.98,-5.1,-14.84,-251.8,-1.2922097972,-9.4,-6.696184,-16.17,-29.325,-49.9,-43.25,-4284.58,-16.33,-10.9,36.1,36.88,-1417.86,-375.3,0.0,0.0,0.0,0.0,0.0,-23.9134,858.4169999999999,0.00037799999999999997,-3.14,9.618,11.498,7.627999999999999,-384.68,-0.759,6.55,-24.56,-90.39,1.38,-349.65,-72.44,-437.986,18.1539653968,-3.764,3.741,0.3013,-0.5122,-98.1,-3531.0,5.314,-36.69,-3672.0,-2.697,2.45,-1.381,0.0060869999999999995,6.725,-447.5,0.5778,-9.747,-451.1,-4780.65079,-4846.912201,2589.75,-1507.24,4096.99,-0.1112,0.0,0.0,0.0,-8.08817,-5.176901,-8.813906,-18.722668,-16.4068731799,20.0746,0.008825,57
swarm_101_73.pdb,1,4,8,2,9,7,8,4,4,1,2,4,0,1,0,0.58,0.34,0.485,0.5242857142857142,0.45375000000000004,0.3766666666666667,0.37875,0.51,0.3375,0.0,0.27,0.0,0.73,0.9,0.6575,1.94,3.67,3.6300000000000003,3.39,3.03,2.04,1.35,0.0,0.27,0.0,1.46,0.9,2.63,22.28,43.77,1759.4500000000007,883.6800000000021,875.7700000000004,1.0,1.4142135623730951,2.8284271247461903,0.0,2.0,2.0,2.0,2.8284271247461903,3.0,2.6457513110645907,1.4142135623730951,1.0,2.0,0.0,1.0,-0.128,4.732,3.38,-2.0,-12.0,-152.4,6.74,-119.06,122.02,1.14,0.011062,0.54,33.2,21.6,-10.4,106.06200000000001,7.6,15.6,22.8,3.5,10.72,13.3,-211.6,1.3279493246,-2.7,-10.389992999999999,-16.11,-29.24,-62.4,-53.94,-4209.14,15.42,1.2,-15.9,3.56,-1549.43,-940.31,0.0,0.0,0.0,0.0,0.0,-43.9855,-75.4753,0.00038500000000000003,-3.675,13.196,-64.32,3.089,-238.025,-4.081,0.442,-101.49,-97.64,163.85,-391.01,20.09,388.89599999999996,17.998920535699998,-4.337,4.416,0.7317,-2.2569999999999997,-105.2,-3099.0,7.808,-22.74,-3235.0,-2.039,1.79,-0.3902,1.8840000000000001,20.73,-451.7,5.305,-2.92,-439.2,-4840.311086,-4898.44827,3249.0,-1440.31,4689.31,0.2343,0.0,0.0,0.0,-2.340618,-8.84142,1.7047240000000001,-10.145706,-11.189245355299999,22.2514,0.009091,55
