Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_155.pdb,2,3,1,7,6,4,5,2,5,1,1,1,0,0,2,0.33999999999999997,0.27714285714285714,0.5733333333333333,0.52,0.42,0.42166666666666663,0.446,0.56,0.658,0.51,0.0,0.0,0.83,0.49,0.74,1.7199999999999998,2.08,0.42,2.53,2.23,1.12,3.29,1.02,0.0,0.0,0.83,0.49,0.74,24.09,32.93,1467.3199999999997,683.2600000000002,784.0400000000009,1.4142135623730951,2.6457513110645907,2.23606797749979,1.4142135623730951,1.4142135623730951,2.23606797749979,1.7320508075688772,1.0,2.449489742783178,2.0,1.0,1.0,1.0,0.0,0.0,0.7378,-3.102,-2.6,-5.0,-14.8,-103.0,2.44,-100.06,100.78,-2.28,-0.016968,-1.96,24.2,16.6,-6.4,116.71600000000001,5.0,16.6,22.0,-1.08,0.8,1.3,-186.6,-0.7092942040000001,5.5,-8.168814999999999,-9.21,-17.723,-41.95,-37.27,-2448.04,-23.28,-4.25,1.53,5.47,-778.77,-282.89,0.0,0.0,0.0,0.0,0.0,-33.7446,-68.7305,0.000379,-10.099,12.174000000000001,-44.98,-2.423,-102.79,-1.797,0.156,0.0,-75.15,130.46,-18.93,-28.64,265.018,-2.81927418988,-2.992,2.99,-0.1325,-2.0909999999999997,-20.54,-2360.0,0.8856,-2.677,-2384.0,-1.662,1.585,0.188,0.6825,9.931000000000001,-313.7,3.861,0.13,-307.5,-3445.3484710000002,-3473.726735,1671.61,-947.99,2619.6,-0.0835,0.0,0.0,0.0,-7.801649,-9.936729,-2.4499150000000003,-10.183461,-15.8718616131,7.518389999999999,0.007925,40
swarm_0_177.pdb,5,1,8,9,7,2,11,3,7,0,5,6,1,6,3,0.4720000000000001,0.38888888888888895,0.64,0.47,0.44375,0.3757142857142858,0.4745454545454546,0.5333333333333333,0.39999999999999997,0.6166666666666666,0.4683333333333333,0.6,0.8699999999999999,0.0,0.7566666666666667,0.64,0.94,3.55,2.6300000000000003,5.220000000000001,1.6,2.8,1.8499999999999999,2.81,0.6,4.35,0.0,4.54,23.9,32.7,1776.7100000000028,825.4800000000014,951.2199999999993,2.23606797749979,3.0,3.3166247903554,1.7320508075688772,1.7320508075688772,2.6457513110645907,1.0,2.8284271247461903,2.6457513110645907,1.4142135623730951,2.23606797749979,0.0,2.449489742783178,1.0,2.449489742783178,3.818,3.55,8.16,-0.2,-18.8,-162.2,0.5,-229.58,189.96,3.74,0.07557799999999999,0.02,31.4,17.6,-11.0,70.742,13.8,27.8,34.2,-1.74,1.32,6.46,-351.0,-0.09566014800000001,-8.2,-6.849131,-16.22,-26.924,-54.39,-49.1,-4632.74,27.37,-19.15,-0.48,35.69,-716.69,241.41,0.0,0.0,0.0,0.0,0.0,-28.4525,1058.43,0.00028900000000000003,-16.562,7.282,21.076,-7.172999999999999,-81.98899999999999,-4.6339999999999995,-3.076,0.0,-116.84,30.72,-661.43,92.25,472.041,-26.596286572600004,-1.995,1.962,0.9453,1.8769999999999998,-434.5,-3333.0,14.67,3.3360000000000003,-3779.0,-1.436,1.265,-0.2437,0.8245,-36.58,-485.2,4.488,-6.1339999999999995,-532.4,-4521.595656,-4584.389372,1572.22,-1422.62,2994.85,-0.0007,0.0,0.0,0.0,2.2295130000000003,0.054675,-5.695436,-20.366833,-11.5988478923,3.37669,0.006095000000000001,74
swarm_0_67.pdb,1,2,9,2,2,1,7,8,5,0,2,1,0,2,0,0.29,0.68,0.565,0.55,0.44333333333333336,0.425,0.47714285714285715,0.49374999999999997,0.48200000000000004,0.0,0.5349999999999999,0.0,0.73,0.0,0.9,1.13,0.55,3.99,0.85,3.34,3.9499999999999997,2.41,0.0,1.0699999999999998,0.0,1.46,0.0,0.9,23.69,34.15,1455.4700000000012,598.130000000001,857.3400000000001,1.0,1.4142135623730951,2.6457513110645907,0.0,2.8284271247461903,2.23606797749979,1.4142135623730951,3.0,1.4142135623730951,1.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,-0.8002,-5.132000000000001,-0.6,-9.4,-23.8,-166.6,-3.4,-162.76,125.98,-2.16,0.240702,-4.84,13.0,2.0,-26.0,23.068,-7.0,7.2,12.8,-10.94,-11.22,-16.68,-235.4,-1.0189460284,-8.6,-8.778677,-15.6,-21.71,-48.63,-35.64,-3260.11,-19.37,-16.22,-18.85,7.51,-690.13,-250.18,0.0,0.0,0.0,0.0,0.0,-43.2976,23.3713,0.00048600000000000005,-12.085999999999999,-1.442,-30.926,-16.621,-220.205,-0.8809999999999999,3.303,0.0,-48.79,-32.83,-397.01,-30.78,879.194,-0.38152076304,-2.088,1.903,-1.374,0.2882,-189.2,-2417.0,-4.996,-6.747000000000001,-2608.0,-0.6844,0.3753,-0.1052,2.094,32.32,-364.0,3.7289999999999996,-0.491,-335.9,-3958.5956229999997,-4008.7908509999997,1208.69,-1140.2,2348.88,-0.021,0.0,0.0,0.0,-2.180338,-8.718082,-4.29669,-14.615492999999999,-11.8889930722,7.499439999999999,0.004929,42
swarm_100_12.pdb,2,1,6,2,9,5,11,9,5,0,0,2,1,1,0,0.525,0.225,0.54,0.45999999999999996,0.4583333333333333,0.29555555555555557,0.48727272727272725,0.48777777777777775,0.516,0.0,0.59,0.24,0.0,0.0,0.735,0.54,2.3,2.75,2.66,5.359999999999999,4.39,2.58,0.0,0.59,0.24,0.0,0.0,1.47,24.16,33.94,1346.0400000000009,656.3199999999997,689.7099999999991,1.4142135623730951,1.4142135623730951,3.3166247903554,0.0,3.0,2.23606797749979,1.0,2.449489742783178,3.0,2.23606797749979,0.0,0.0,1.4142135623730951,1.0,1.0,1.76,-5.106,4.56,-5.4,-19.8,-143.2,2.08,-146.44,128.36,-0.52,0.013022,-2.36,26.8,12.8,-17.2,91.67399999999999,4.4,13.4,23.8,2.96,8.5,4.7,-229.6,-0.573328026,-1.4,-6.1256900000000005,-14.95,-22.233,-42.75,-39.99,-3087.96,12.29,-4.81,-18.96,13.46,-681.49,314.54,0.0,0.0,0.0,0.0,0.0,-41.148,474.24300000000005,0.000604,-17.523,6.091,11.039000000000001,-10.328,-208.96900000000002,-6.322,-2.351,0.0,-110.23,79.82,-715.1,130.26,-1012.664,29.8340049997,-3.342,3.389,0.3227,-1.81,-334.5,-2652.0,7.8,-33.71,-3028.0,-2.391,2.127,-0.3911,1.59,-19.78,-309.1,3.508,-1.915,-334.3,-3969.693343,-4035.806364,1354.61,-1229.9,2584.51,-0.1771,0.0,0.0,0.0,0.571074,0.71497,-5.51525,-10.115463,-11.7129368989,4.34818,0.006093,54
swarm_100_141.pdb,8,2,3,2,2,4,5,2,3,0,1,1,5,3,3,0.45,0.375,0.585,0.44999999999999996,0.4200000000000001,0.22000000000000003,0.45999999999999996,0.485,0.42,0.6666666666666666,0.59,0.368,0.88,0.0,0.9,1.17,1.7999999999999998,1.2600000000000002,0.44000000000000006,2.3,0.97,1.26,2.0,1.77,1.8399999999999999,0.88,0.0,0.9,24.3,33.96,1162.0699999999997,591.2199999999993,570.8600000000006,2.8284271247461903,1.4142135623730951,2.23606797749979,1.7320508075688772,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.7320508075688772,1.4142135623730951,2.0,1.0,0.0,1.0,2.23606797749979,1.7320508075688772,0.4728,1.284,1.18,0.4,-18.8,-129.0,-5.44,-174.98,132.02,2.1,0.078898,-0.3,7.6,1.6,-18.4,48.882,-2.8,15.0,20.0,-7.84,-5.48,-5.32,-269.2,0.7217155648,-15.7,-6.161127,-15.0,-20.694000000000003,-40.54,-35.39,-3485.53,-19.23,-8.97,24.66,14.79,-624.63,-31.13,0.0,0.0,0.0,0.0,0.0,-38.076,562.234,0.0005809999999999999,-9.106,-2.765,11.824000000000002,-10.687999999999999,-135.094,-3.3939999999999997,-0.8270000000000001,0.0,-56.59,-57.7,-279.83,32.76,-52.9299999999,5.07356489694,-4.178,4.258,1.766,-0.2068,-236.5,-2352.0,16.33,-16.33,-2621.0,-3.1630000000000003,3.279,0.2135,-0.04593,-22.68,-311.0,5.598,-7.526,-346.8,-3839.19078,-3900.631428,831.35,-1198.38,2029.73,-0.0308,0.0,0.0,0.0,-3.1802610000000002,-3.33074,-3.118705,-9.931408,-7.6867058325399995,13.743,0.009182,44
swarm_100_156.pdb,3,1,5,2,4,0,3,1,1,0,3,1,1,3,0,0.53,0.445,0.54,0.0,0.45999999999999996,0.35,0.5499999999999999,0.56,0.77,0.0,0.48,0.68,0.8633333333333333,0.0,0.9,0.54,0.0,2.3,1.4,1.65,0.56,0.77,0.0,1.44,0.68,2.59,0.0,0.9,23.78,33.54,996.0799999999981,336.58000000000175,659.4899999999998,1.7320508075688772,1.4142135623730951,1.7320508075688772,0.0,1.0,1.0,1.0,2.23606797749979,2.0,0.0,1.7320508075688772,0.0,1.0,1.0,1.7320508075688772,-2.6946,-2.4619999999999997,-4.94,-3.6,-19.6,-86.4,-5.2,-125.5,77.52,-1.26,-0.041128,-1.88,5.4,0.6,-13.4,22.971999999999998,-4.4,-1.8,-0.8,-6.3,-1.32,-1.76,-170.8,-0.6272349754,-6.8,-7.5464,-14.35,-18.416,-45.02,-36.66,-2663.39,-27.34,-19.54,-2.63,-0.04,-581.72,-112.08,0.0,0.0,0.0,0.0,0.0,-37.3143,151.60399999999998,0.000696,-14.765999999999998,-6.237,-21.908,-23.193,-52.35,0.718,1.712,0.0,-58.91,-66.52,-333.35,-64.82,-52.3039999999,-5.534380802189999,-2.029,1.984,0.8022,0.9759,268.7,-2220.0,7.968,7.781000000000001,-1952.0,-1.7109999999999999,1.161,-1.439,1.176,14.56,-304.4,-1.139,-2.398,-291.1,-3589.7866329999997,-3640.226121,560.99,-975.28,1536.27,-0.0801,0.0,0.0,0.0,-3.234718,-5.691813,-3.260659,-10.806183,-10.218888811900001,3.11007,0.003357,28
swarm_100_87.pdb,0,0,2,1,4,3,8,6,9,1,3,2,0,0,0,0.0,0.34,0.0,0.5,0.495,0.5349999999999999,0.42249999999999993,0.515,0.601111111111111,0.0,0.0,0.0,0.7233333333333333,0.9,0.72,0.0,1.5,0.99,2.1399999999999997,3.3799999999999994,3.0900000000000003,5.409999999999999,0.0,0.0,0.0,2.17,0.9,1.44,23.75,33.44,1358.5999999999985,780.5400000000009,578.0699999999997,0.0,1.0,2.8284271247461903,0.0,2.449489742783178,3.0,0.0,1.4142135623730951,2.0,1.7320508075688772,1.7320508075688772,1.0,1.4142135623730951,0.0,0.0,-4.4796,-4.09,-5.1,-3.6,-28.8,-112.0,-4.52,-124.9,80.3,-0.74,0.057172,0.94,1.8,-4.8,-23.8,36.878,-12.8,-9.6,-7.6,-6.88,-1.68,-2.16,-168.6,-0.334568546,-6.7,-8.413374000000001,-13.0,-24.154,-42.08,-37.53,-4278.09,-5.05,-8.48,-59.92,-32.55,-953.04,-414.97,0.0,0.0,0.0,0.0,0.0,-42.9549,-36.8483,0.00048600000000000005,-11.987,20.062,-23.349,5.74,-37.229,0.9279999999999999,1.635,0.0,-110.43,-46.7,-418.4,-205.2,56.1400000004,8.61618819274,-2.56,2.5980000000000003,0.59,-0.2234,199.1,-2269.0,9.279,-5.697,-2084.0,-1.7369999999999999,1.068,-1.571,1.695,50.48,-431.5,-0.4126,-2.195,-382.8,-4080.0893869999995,-4124.737857,1617.78,-1263.51,2881.29,-0.1431,0.0,0.0,0.0,-2.364044,-2.6361779999999997,-4.7081610000000005,-9.187053,-9.51841044963,8.309289999999999,0.003,39
swarm_10_137.pdb,2,1,0,5,4,4,9,0,8,1,0,6,0,1,1,0.64,0.386,0.53,0.56,0.0,0.41000000000000003,0.4566666666666667,0.0,0.5225,0.55,0.41,0.0,0.0,0.49,0.7533333333333333,0.53,2.24,0.0,1.6400000000000001,4.11,0.0,4.18,0.55,0.41,0.0,0.0,0.49,4.52,24.09,33.23,1463.4900000000016,699.0900000000001,764.3899999999994,1.4142135623730951,2.23606797749979,3.0,1.0,0.0,2.8284271247461903,1.0,0.0,2.0,2.0,0.0,1.0,2.449489742783178,0.0,1.0,-0.4056,-4.27,-0.72,-4.2,-17.0,-113.2,-0.06,-104.7,88.48,-0.28,0.180678,-0.22,4.2,-2.2,-19.8,52.076,-4.6,4.8,9.2,-4.8,-3.68,6.22,-167.0,0.4330441492,-4.9,-8.761279,-15.71,-22.73,-43.81,-42.1,-3173.26,-19.41,3.67,-9.12,-4.86,-740.04,-197.1,0.0,0.0,0.0,0.0,0.0,-39.1926,58.2501,0.000368,-14.446,6.48,-29.694000000000003,-10.935,-241.308,-1.739,2.846,0.0,-95.06,0.14,-138.56,-49.33,-887.0419999999999,9.178183735580001,-2.833,2.846,-0.2506,-2.322,-22.95,-2172.0,-0.09382,-4.4430000000000005,-2200.0,-2.37,2.089,-0.7240000000000001,0.8932,12.58,-298.7,1.6769999999999998,-0.19899999999999998,-288.0,-3914.085359,-3973.160715,727.72,-1239.9,1967.62,-0.2776,0.0,0.0,0.0,-2.3706669999999996,-8.632475999999999,-7.989586999999999,-9.674642,-17.6506493623,12.3358,0.006856999999999999,42
swarm_102_161.pdb,6,2,2,5,0,6,3,3,5,2,0,1,4,3,2,0.405,0.36800000000000005,0.55,0.5733333333333334,0.385,0.0,0.49333333333333335,0.49333333333333335,0.346,0.51,0.5533333333333333,0.53,0.0,0.9,0.84,1.1,3.44,0.77,0.0,1.48,1.48,1.73,1.02,1.66,2.12,0.0,1.8,0.84,24.46,33.44,1389.75,636.8499999999985,752.8899999999994,2.449489742783178,2.23606797749979,1.7320508075688772,1.4142135623730951,1.7320508075688772,2.23606797749979,1.4142135623730951,1.4142135623730951,0.0,2.449489742783178,0.0,1.4142135623730951,1.0,2.0,1.7320508075688772,1.7966,3.194,1.06,2.22044604925e-16,-8.2,-79.8,0.74,-105.18,99.92,0.86,0.06157000000000001,1.84,11.4,7.0,-5.8,46.92,6.0,19.2,21.4,-1.36,-3.84,5.66,-187.4,0.333889232,-5.1,-8.612902,-12.67,-21.320999999999998,-26.63,-29.78,-3559.2,-13.88,-8.33,-21.48,-19.12,-780.36,-449.21,0.0,0.0,0.0,0.0,0.0,-47.795,-72.7635,0.00044100000000000004,-4.405,4.77,-47.11600000000001,-4.3469999999999995,-97.12299999999999,-1.6269999999999998,0.218,0.0,-160.0,99.73,-47.74,-29.89,-1116.4289999999999,2.41388290154,-2.645,2.7230000000000003,1.068,-0.6001,-4.027,-2479.0,12.39,-8.581,-2504.0,-1.43,1.416,0.3522,1.123,36.66,-371.9,5.864,-2.597,-343.7,-3856.1209590000003,-3893.143033,1043.24,-1157.04,2200.28,-0.1306,0.0,0.0,0.0,4.875249,9.321126,-6.128037,-11.148203,-11.803434696400002,8.65695,0.004523,44
swarm_103_111.pdb,4,0,4,6,3,6,7,1,16,0,1,1,0,3,1,0.42,0.38333333333333336,0.0,0.5666666666666668,0.535,0.5633333333333334,0.4642857142857143,0.44,0.48937499999999995,0.83,0.6466666666666666,0.0,0.58,0.0,0.53,0.0,3.4000000000000004,2.14,1.69,3.25,0.44,7.829999999999999,0.83,1.94,0.0,0.58,0.0,0.53,24.31,33.23,2017.4500000000007,924.0599999999995,1093.3900000000012,2.0,2.449489742783178,2.6457513110645907,1.0,1.0,4.0,0.0,2.0,1.7320508075688772,2.449489742783178,1.0,0.0,1.0,0.0,1.7320508075688772,0.8328,-6.94,-2.14,-8.4,-17.4,-138.0,2.38,-139.8,133.56,-3.34,0.010251999999999999,-6.6,24.6,10.8,-20.0,95.096,9.0,20.0,26.4,-3.22,1.88,7.82,-239.8,-0.5294934216,9.7,-7.326753999999999,-13.64,-25.453000000000003,-48.84,-39.22,-3877.7,2.52,-12.96,-6.19,-6.68,-954.35,-263.7,0.0,0.0,0.0,0.0,0.0,-32.4773,199.321,0.000262,-9.417,23.581,-31.689,10.995,-23.784000000000002,-2.467,-2.016,0.0,-140.16,121.34,45.95,-72.14,1485.989,11.8026117063,-2.5380000000000003,2.616,1.3630000000000002,-0.8791,208.9,-3499.0,10.48,20.87,-3280.0,-0.3001,0.2576,0.9599,2.333,85.61,-550.1,8.942,1.334,-472.1,-4181.4344710000005,-4221.065235,1755.44,-1372.47,3127.91,0.0684,0.0,0.0,0.0,-7.65995,-4.796692,-0.19226300000000002,-10.595247,-19.224096581199998,3.9339199999999996,0.003075,53
