Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_100.pdb,10,3,9,6,4,3,10,5,4,0,3,3,3,3,2,0.4170000000000001,0.34,0.4266666666666666,0.5066666666666667,0.41888888888888887,0.6,0.4720000000000001,0.47800000000000004,0.47000000000000003,0.39,0.38666666666666666,0.7799999999999999,0.5933333333333333,0.0,0.71,1.2799999999999998,1.52,3.77,2.4,4.720000000000001,2.39,1.8800000000000001,0.78,1.16,2.34,1.7799999999999998,0.0,2.13,24.2,37.9,1845.4500000000007,720.25,1125.210000000001,3.1622776601683795,2.449489742783178,3.1622776601683795,1.4142135623730951,2.23606797749979,2.0,1.7320508075688772,3.0,2.0,1.7320508075688772,1.7320508075688772,0.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,5.2978,2.5780000000000003,8.12,-8.8,-17.8,-192.2,4.38,-200.02,195.24,-0.14,-0.031092,-0.92,22.0,14.4,-13.8,-26.53,14.8,29.8,28.8,-1.22,13.3,28.22,-346.2,0.959667086,-3.99680288865e-15,-11.74756,-20.78,-32.015,-55.6,-40.32,-4324.92,-0.02,-18.81,-18.72,-8.4,-960.55,154.42,0.0,0.0,0.0,0.0,0.0,-72.1055,358.465,0.00031600000000000004,-18.855,-7.002000000000001,-2.779,-26.136,-400.718,-5.146,2.468,0.0,-82.89,-9.62,-594.91,45.66,-441.82300000000004,16.4573714278,-2.161,2.001,-1.733,-0.183,-364.2,-3462.0,-7.827999999999999,9.582,-3809.0,-2.505,2.17,-1.0859999999999999,0.8006,-19.48,-507.1,1.05,-4.566,-532.2,-4802.922751,-4882.778682,2112.03,-1794.78,3906.81,-0.1004,0.0,0.0,0.0,0.247534,-6.651287,-7.579771000000001,-18.747297,-22.8043928871,16.9301,0.009279,68
swarm_0_122.pdb,7,7,3,6,4,2,8,2,4,0,1,3,9,2,7,0.4585714285714286,0.435,0.5114285714285715,0.435,0.46,0.405,0.44,0.46499999999999997,0.555,0.4128571428571429,0.33999999999999997,0.5166666666666666,0.67,0.0,0.7066666666666667,3.58,0.87,1.3800000000000001,1.62,3.52,0.9299999999999999,2.22,2.8900000000000006,0.6799999999999999,4.6499999999999995,0.67,0.0,2.12,24.11,38.39,1648.1200000000008,738.2600000000002,909.8399999999992,2.6457513110645907,2.449489742783178,2.8284271247461903,2.6457513110645907,1.4142135623730951,2.0,2.6457513110645907,1.7320508075688772,2.0,1.4142135623730951,1.0,0.0,1.7320508075688772,3.0,1.4142135623730951,-0.6804,1.242,-2.56,-7.6,-33.4,-192.8,-3.56,-192.66,155.7,-0.78,0.026218,-4.54,2.0,-2.4,-29.6,14.142000000000001,-7.8,5.6,5.6,-8.12,-6.32,-19.2,-310.6,-0.5451073186,-19.5,-2.7694810000000003,-11.85,-23.351999999999997,-75.15,-52.12,-6564.22,-4.9,21.11,141.69,90.82,-739.1,1170.55,0.0,0.0,0.0,0.0,0.0,-17.2967,2025.7,0.00037200000000000004,-18.506,-6.479,115.49799999999999,-13.434000000000001,-419.985,-4.704,3.2760000000000002,0.0,-63.02,-182.79,-872.02,70.07,-210.36,-10.8703389378,-1.91,1.744,-0.8507,0.7548,-570.7,-2989.0,-3.659,18.17,-3538.0,-1.455,1.143,-0.2444,1.261,-83.25,-450.1,3.6489999999999996,-2.099,-539.1,-4093.4039759999996,-4186.88379,1861.97,-1534.18,3396.15,-0.1431,0.0,0.0,0.0,-10.624775,-9.092614,-16.861431,-23.834334,-19.7293272605,51.5368,0.008708,65
swarm_0_144.pdb,18,10,12,11,5,4,7,9,4,2,6,2,12,11,5,0.46388888888888896,0.5672727272727273,0.4950000000000001,0.45249999999999996,0.4358333333333333,0.40599999999999997,0.47714285714285715,0.4655555555555556,0.585,0.5279999999999999,0.4627272727272727,0.4116666666666667,0.6283333333333334,0.6950000000000001,0.7,4.950000000000001,1.8099999999999998,5.2299999999999995,2.03,3.34,4.19,2.34,2.6399999999999997,5.09,4.94,3.7700000000000005,1.3900000000000001,1.4,24.65,39.07,2143.6100000000006,851.3999999999996,1292.1999999999998,4.242640687119285,3.3166247903554,2.6457513110645907,2.23606797749979,3.0,2.0,3.1622776601683795,3.4641016151377544,2.23606797749979,2.0,2.449489742783178,1.4142135623730951,1.4142135623730951,3.4641016151377544,3.3166247903554,-0.1756,-3.5039999999999996,-2.52,-3.2,-39.8,-342.6,-8.94,-355.32,282.56,0.98,0.289046,-2.2,2.22044604925e-15,-0.8,-49.8,-16.906,-4.4,26.2,29.2,-19.14,-7.18,-2.0,-541.0,0.0332722508,-53.6,-2.016236,-13.25,-32.054,-102.37,-91.53,-10997.9,-8.49,31.78,255.61,161.63,-646.56,3710.24,0.0,0.0,0.0,0.0,0.0,31.0304,3970.28,0.00031,-11.857999999999999,-10.005,262.71,4.408,-787.3,-9.02,5.938,0.0,103.45,-231.4,-1288.28,343.84,-804.7769999999999,-47.26548461270001,-3.385,3.214,-1.172,-0.1258,-1034.0,-4375.0,-7.558,22.57,-5379.0,-2.9560000000000004,2.61,-1.163,0.3404,-123.2,-672.2,1.431,-13.77,-810.6,-5147.604321,-5261.128068,3356.0,-2185.55,5541.55,0.4235,0.0,0.0,0.0,-11.325186,-19.121139000000003,-12.250001,-39.430324,-27.5076392442,37.2828,0.01939,118
swarm_0_152.pdb,3,1,2,5,7,8,5,1,5,2,0,2,2,7,2,0.41,0.49400000000000005,0.54,0.5225000000000001,0.385,0.35,0.49399999999999994,0.43,0.502,0.53,0.44857142857142857,0.24,0.0,0.9,0.72,0.54,4.180000000000001,0.77,2.4499999999999997,2.4699999999999998,0.43,2.51,1.06,3.14,0.48,0.0,1.8,1.44,22.61,39.57,1159.4700000000012,646.7700000000004,512.6999999999998,1.7320508075688772,2.23606797749979,2.23606797749979,1.4142135623730951,1.0,2.23606797749979,1.0,1.4142135623730951,2.6457513110645907,2.8284271247461903,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,2.6457513110645907,1.7914,1.226,3.24,-1.2,-3.8,-53.2,2.72,-69.52,71.5,0.26,-0.022336,1.44,21.2,12.4,-0.4,64.91,12.0,15.6,16.8,2.34,11.62,6.14,-115.6,0.43014373,-2.9,-8.147458,-9.83,-17.396,-22.72,-16.42,-2350.9,-3.0,1.88,0.02,-7.35,-762.43,-467.74,0.0,0.0,0.0,0.0,0.0,-26.9443,-65.3408,0.000535,-12.253,9.931000000000001,-35.896,-5.912000000000001,-211.71599999999998,-2.719,1.304,0.0,-52.67,77.27,-138.7,-60.68,-201.493,-5.96959071141,-2.545,2.605,1.023,0.09473999999999999,-181.7,-1804.0,6.518,8.564,-1983.0,-1.8119999999999998,1.579,-1.13,-0.1719,-2.2,-328.3,-0.1595,-3.16,-333.5,-3387.9360549999997,-3410.733884,1033.62,-1014.35,2047.97,-0.0334,0.0,0.0,0.0,-1.88785,-2.545947,-3.182347,-13.081615,-11.6639185477,14.4857,0.029365,52
swarm_0_169.pdb,4,4,1,5,3,1,2,2,0,0,0,1,3,2,2,0.46249999999999997,0.434,0.5125000000000001,0.53,0.53,0.3166666666666667,0.54,0.485,0.0,0.53,0.51,0.4366666666666666,0.0,0.0,0.53,2.0500000000000003,0.53,0.53,0.9500000000000001,1.08,0.97,0.0,1.06,1.02,1.3099999999999998,0.0,0.0,0.53,23.25,39.04,917.0799999999999,401.4800000000005,515.6000000000013,2.0,2.23606797749979,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,2.0,1.0,1.7320508075688772,1.0,0.0,0.0,1.0,1.7320508075688772,1.4142135623730951,3.6474,-1.216,2.42,-3.4,-2.4,-40.2,1.68,-52.0,61.5,-1.86,-0.031052,-3.8,11.4,7.6,-2.0,3.306,14.0,19.4,19.8,3.36,8.22,0.82,-105.2,-0.796545238,2.0,-6.517205000000001,-11.52,-16.413,-27.28,-18.63,-1917.5,-10.11,-0.8,-14.86,-16.75,-623.44,-560.96,0.0,0.0,0.0,0.0,0.0,-10.7538,-35.0483,0.000728,-1.837,3.008,-36.873000000000005,-2.516,-136.187,-2.9410000000000003,-0.353,0.0,-46.9,57.6,-102.64,11.14,327.432,2.3746686809999997,-2.807,2.702,-1.07,-0.4577,-264.2,-1671.0,-1.839,-2.6630000000000003,-1936.0,-2.56,2.4090000000000003,-0.5297,-0.1471,1.5330000000000001,-240.2,0.8059,-2.627,-242.1,-3215.566943,-3246.166964,997.07,-986.8,1983.87,-0.0644,0.0,0.0,0.0,2.4211240000000003,-1.7501970000000002,0.377812,-2.1581639999999997,-7.9666328672399995,6.9131,0.0496,30
swarm_0_174.pdb,5,5,3,16,4,6,10,3,8,1,0,1,5,8,4,0.44000000000000006,0.421875,0.4600000000000001,0.6066666666666667,0.41,0.4775,0.493,0.44,0.645,0.47750000000000004,0.49374999999999997,0.41200000000000003,0.0,0.9,0.7,2.3000000000000003,3.64,1.23,1.91,4.93,1.32,5.16,1.9100000000000001,3.9499999999999997,2.06,0.0,0.9,0.7,22.97,38.29,1383.17,668.6800000000003,714.4900000000007,2.23606797749979,4.0,3.1622776601683795,2.0,1.7320508075688772,2.8284271247461903,2.23606797749979,1.7320508075688772,2.0,2.449489742783178,0.0,1.0,1.0,2.23606797749979,2.8284271247461903,1.368,-6.257999999999999,-2.14,-15.6,-33.8,-144.0,0.74,-172.64,167.94,-4.64,0.058676,-11.0,22.8,6.2,-24.6,77.764,9.4,18.4,20.2,-3.26,5.24,-6.74,-326.0,-1.6327476904,-0.1,0.338573,-5.46,-14.425999999999998,-63.4,-35.84,-4980.21,-11.81,-11.4,105.42,74.67,-305.08,1802.99,0.0,0.0,0.0,0.0,0.0,-8.7828,2323.33,0.000503,-29.271,8.516,143.529,-6.402,-150.092,-4.239,-1.3869999999999998,0.0,25.57,68.05,-339.23,-78.26,258.393,0.46426786005000004,-2.6260000000000003,2.665,1.081,0.8540000000000001,-516.1,-2385.0,13.89,7.7379999999999995,-2908.0,-2.653,2.003,-1.065,2.316,-122.3,-441.5,0.1967,-4.012,-568.0,-3134.707955,-3187.623044,2252.09,-1049.26,3301.35,-0.11800000000000001,0.0,0.0,0.0,-13.380066000000001,-20.534943,-22.519029999999997,-36.377143,-16.5715863757,15.9487,0.02,79
swarm_0_190.pdb,16,1,3,7,1,1,7,2,6,0,0,0,5,3,2,0.44125,0.39,0.54,0.53,0.4366666666666667,0.56,0.45142857142857146,0.495,0.4533333333333333,0.44500000000000006,0.5,0.594,0.0,0.0,0.0,0.54,0.53,1.31,0.56,3.16,0.99,2.7199999999999998,0.8900000000000001,1.5,2.9699999999999998,0.0,0.0,0.0,22.61,39.13,1446.7000000000007,693.0799999999999,753.6199999999999,4.0,2.6457513110645907,2.6457513110645907,1.4142135623730951,1.4142135623730951,2.449489742783178,1.0,1.7320508075688772,1.0,1.0,0.0,0.0,0.0,2.23606797749979,1.7320508075688772,4.8586,-3.3360000000000003,4.42,-9.2,-9.4,-101.0,3.94,-105.02,121.78,-3.22,0.057998,-4.36,22.4,14.6,-5.8,12.505999999999998,16.6,26.8,26.8,3.22,6.9,5.74,-209.2,0.8523785158,14.2,-8.779848,-13.03,-22.238000000000003,-40.69,-33.03,-2321.22,4.83,5.65,-20.14,-1.15,-841.24,-471.2,0.0,0.0,0.0,0.0,0.0,-12.7886,36.2693,0.000465,-13.164000000000001,7.907,-43.863,-9.642999999999999,-243.82,-3.3960000000000004,1.237,0.0,-74.26,99.22,-213.34,-34.86,-60.45,16.3396149635,-2.717,2.546,-1.702,-0.09697,-315.0,-2276.0,-5.989,22.03,-2563.0,-2.289,2.1919999999999997,-0.3348,-0.4663,-33.59,-327.2,1.889,-2.818,-365.5,-3821.577185,-3865.5623450000003,1646.51,-1265.3,2911.8,-0.0332,0.0,0.0,0.0,-5.421178,-8.182841999999999,-3.2290520000000003,-4.170807,-13.4795579548,14.4964,0.033407,54
swarm_0_38.pdb,3,5,0,4,1,2,4,1,1,0,0,1,4,8,5,0.4666666666666666,0.3925,0.476,0.42500000000000004,0.0,0.37,0.48,0.44,0.37,0.542,0.475,0.4975,0.0,0.0,0.53,2.38,0.8500000000000001,0.0,0.37,1.92,0.44,0.37,2.71,3.8,1.99,0.0,0.0,0.53,23.14,39.3,1091.2399999999998,430.97000000000025,660.2700000000004,1.7320508075688772,2.0,2.0,2.23606797749979,1.0,1.0,2.23606797749979,0.0,1.0,1.4142135623730951,0.0,0.0,1.0,2.0,2.8284271247461903,4.9248,2.414,1.24,-4.2,-4.8,-55.2,0.6,-79.4,78.52,-0.86,0.059188,-0.86,10.8,10.0,1.2,-3.4619999999999997,13.8,20.6,17.8,3.18,0.54,-4.68,-138.2,0.5843094648,-0.7,-5.370101999999999,-11.36,-19.43,-24.87,-11.48,-1227.84,-5.98,-7.26,49.16,28.21,-767.92,-406.34,0.0,0.0,0.0,0.0,0.0,-27.3134,81.9728,0.000599,-11.585999999999999,-3.957,-11.394,-16.682000000000002,-318.5,-4.607,1.444,0.0,-38.74,10.87,-288.94,14.45,-1029.9660000000001,-5.50670783483,-3.508,3.366,-0.7883,0.9098,-340.5,-2262.0,-1.199,27.91,-2573.0,-3.05,3.24,1.93,1.636,-26.99,-241.3,5.752000000000001,1.8419999999999999,-272.2,-3516.376805,-3553.8854950000004,1740.42,-1175.58,2916.0,0.1942,0.0,0.0,0.0,-1.890189,-1.148355,-3.004997,-5.702598,-9.8246684313,7.710710000000001,0.042282,39
swarm_0_45.pdb,5,2,1,5,3,3,8,4,1,0,0,4,3,3,2,0.462,0.23400000000000004,0.635,0.6033333333333334,0.34,0.3333333333333333,0.4775,0.53,0.49,0.55,0.54,0.49,0.0,0.0,0.7675,1.27,1.81,0.34,1.0,3.82,2.12,0.49,1.1,1.62,1.47,0.0,0.0,3.07,23.25,39.47,1431.3999999999996,683.1899999999996,748.2200000000012,2.23606797749979,2.23606797749979,2.8284271247461903,1.4142135623730951,2.0,1.0,1.4142135623730951,1.0,1.7320508075688772,1.7320508075688772,0.0,0.0,2.0,1.7320508075688772,1.7320508075688772,2.2698,-4.394,3.14,-5.4,-11.2,-105.0,1.08,-120.32,114.12,-0.86,-0.012972,-2.64,19.2,12.0,-9.2,50.762,8.8,20.6,26.4,-1.24,6.5,7.08,-207.8,-0.4934968748,0.6,-8.544294,-15.58,-24.221999999999998,-35.89,-30.38,-3053.58,-2.32,1.43,-54.81,-26.75,-949.42,-483.37,0.0,0.0,0.0,0.0,0.0,-62.3453,-111.215,0.000478,-8.423,7.922999999999999,-59.39,-6.438,-335.207,-3.8169999999999997,2.552,0.0,-120.34,42.11,-168.93,-32.49,210.28900000000002,-5.157609048299999,-2.5869999999999997,2.448,-0.4623,0.8989,-394.4,-2516.0,0.1934,8.687000000000001,-2902.0,-1.109,0.7259,-0.6204,2.44,-6.204,-333.7,1.063,-0.5329999999999999,-341.5,-4035.6587,-4074.859386,1304.47,-1394.68,2699.16,-0.1535,0.0,0.0,0.0,-0.16132,-5.70865,-1.919744,-11.051231,-15.515709171900001,8.283660000000001,0.034955,44
swarm_0_56.pdb,12,5,6,5,1,2,9,4,2,0,0,2,6,8,3,0.41583333333333333,0.526,0.496,0.485,0.395,0.49,0.4922222222222223,0.44749999999999995,0.505,0.5133333333333333,0.47000000000000003,0.4366666666666666,0.0,0.0,0.84,2.48,0.97,2.37,0.49,4.430000000000001,1.7899999999999998,1.01,1.54,3.7600000000000002,2.6199999999999997,0.0,0.0,1.68,23.45,39.82,1503.1599999999999,684.4599999999991,818.6799999999994,3.4641016151377544,2.23606797749979,3.0,1.7320508075688772,2.0,1.4142135623730951,2.23606797749979,2.449489742783178,1.0,1.4142135623730951,0.0,0.0,1.4142135623730951,2.449489742783178,2.8284271247461903,1.9082,0.426,2.4,-4.8,-17.2,-133.4,-0.84,-163.02,143.66,-0.36,-0.09564,-1.04,10.2,4.6,-14.4,-9.094,10.8,20.4,18.0,-3.24,4.74,0.96,-269.8,0.7032972852,-8.9,-8.180328,-15.08,-23.926,-30.55,-29.74,-4737.16,-14.67,-6.62,-1.74,12.33,-869.57,45.9,0.0,0.0,0.0,0.0,0.0,-36.9306,313.721,0.000417,-20.638,0.8140000000000001,-9.046,-20.728,-439.601,-4.091,4.261,0.0,-54.55,40.77,-406.18,44.39,-560.495,-13.99649032,-2.121,1.86,-2.059,1.4580000000000002,-409.6,-2545.0,-7.778,34.59,-2912.0,-1.837,1.565,0.06705,1.953,-36.74,-332.4,3.0860000000000003,0.723,-371.5,-4087.881125,-4143.998917,1620.26,-1404.44,3024.7,-0.0471,0.0,0.0,0.0,-4.136146,-2.974962,-8.622993,-11.264056,-16.0706139536,7.923889999999999,0.032108,65
