Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_118.pdb,5,3,3,9,12,2,6,1,6,2,1,3,3,1,2,0.394,0.3588888888888889,0.47000000000000003,0.575,0.37333333333333335,0.39999999999999997,0.44,0.49,0.5283333333333333,0.45999999999999996,0.53,0.7466666666666667,0.67,0.94,0.6699999999999999,1.4100000000000001,1.15,1.12,4.8,2.64,0.49,3.17,0.9199999999999999,0.53,2.24,0.67,1.88,2.01,30.32,45.23,1997.760000000002,821.0899999999983,1176.6599999999999,2.23606797749979,3.0,2.449489742783178,1.4142135623730951,1.0,2.449489742783178,1.7320508075688772,1.7320508075688772,3.4641016151377544,1.4142135623730951,1.0,1.4142135623730951,1.7320508075688772,1.7320508075688772,1.0,2.4862,-0.51,3.06,-0.6,-20.6,-172.4,3.24,-170.66,156.76,1.76,-0.067312,2.66,13.8,7.8,-18.6,46.61600000000001,9.2,17.2,18.6,-1.62,9.22,1.8,-277.2,0.09767297,-2.2,-11.697315,-23.16,-34.117,-56.99,-39.51,-4701.1,-5.11,4.9,27.02,27.19,-1309.04,-596.1,0.0,0.0,0.0,0.0,0.0,-66.8718,-13.7057,0.000325,-2.349,-4.952,-42.001999999999995,-11.501,-556.619,-2.78,7.796,0.0,-194.22,-12.83,-587.99,-40.19,-1377.754,16.9714080743,-2.8710000000000004,2.8680000000000003,-0.0799,-0.8364,171.7,-3866.0,7.227,15.12,-3686.0,-1.3230000000000002,1.386,-0.005654,-0.5097,83.49,-580.2,7.471,-6.519,-510.7,-5448.8856909999995,-5511.446293,1628.58,-1730.17,3358.74,-0.019,0.0,0.0,0.0,-2.048708,-7.564807000000001,2.47437,-11.898512,-18.640935361,8.03318,0.007661,59
swarm_0_128.pdb,1,1,0,7,5,2,4,0,10,0,4,4,0,9,2,0.43,0.3928571428571429,0.54,0.7549999999999999,0.0,0.394,0.4425,0.0,0.434,0.34,0.3777777777777778,0.0,0.575,0.0,0.75,0.54,1.5099999999999998,0.0,1.97,1.77,0.0,4.34,0.68,3.4000000000000004,0.0,2.3,0.0,3.0,30.1,44.66,1573.4500000000007,610.3500000000004,963.1200000000008,1.0,2.6457513110645907,2.0,1.4142135623730951,0.0,3.1622776601683795,1.0,0.0,2.23606797749979,1.4142135623730951,2.0,0.0,2.0,0.0,3.0,3.9962,3.918,1.9,-3.4,-6.8,-153.6,3.08,-161.94,156.7,-0.2,0.06873,-2.02,28.0,18.0,-6.8,60.52,23.2,33.0,31.8,-0.18,11.42,0.72,-266.2,0.018791368,3.1,-6.955275,-20.73,-31.932,-43.07,-35.95,-3831.46,-0.44,0.98,-3.27,14.74,-1378.82,-466.34,0.0,0.0,0.0,0.0,0.0,-22.7318,471.264,0.00037999999999999997,1.296,2.949,-29.4,1.305,-500.26300000000003,-4.52,4.985,0.0,-90.97,11.97,-492.14,50.33,191.18599999999998,25.3600892164,-3.054,2.991,-0.04927,0.8966,-73.7,-3759.0,8.446,-32.06,-3873.0,-1.395,1.2,0.2401,2.559,53.17,-474.1,6.856,-4.414,-432.2,-5203.433532999999,-5263.813985,2327.96,-1638.24,3966.19,-0.0196,0.0,0.0,0.0,2.870087,3.074102,-1.7626240000000002,-7.92848,-13.9093266657,8.790230000000001,0.006490000000000001,49
swarm_0_158.pdb,6,0,3,7,8,1,17,0,8,0,0,0,1,3,3,0.48833333333333334,0.40285714285714286,0.0,0.53,0.43,0.33375,0.4582352941176471,0.0,0.38,0.48000000000000004,0.5633333333333334,0.68,0.0,0.0,0.0,0.0,0.53,1.29,2.67,7.79,0.0,3.04,1.4400000000000002,1.6900000000000002,0.68,0.0,0.0,0.0,29.74,45.8,1467.5600000000013,727.9900000000016,739.5599999999995,2.449489742783178,2.6457513110645907,4.123105625617661,1.7320508075688772,0.0,2.8284271247461903,0.0,1.7320508075688772,2.8284271247461903,1.0,0.0,0.0,0.0,1.0,1.7320508075688772,4.9472,-5.4879999999999995,5.92,-6.4,-11.0,-160.4,6.02,-136.6,144.0,-0.38,0.055675999999999996,-0.7,38.6,22.6,-10.0,77.962,11.6,22.8,29.4,7.06,8.8,17.68,-240.6,1.074548145,22.6,-2.814914,-10.66,-19.772000000000002,-30.2,-22.93,-3143.08,17.45,2.43,58.14,28.42,-802.5,521.69,0.0,0.0,0.0,0.0,0.0,-13.0677,1192.32,0.000535,-6.902,11.333,43.806000000000004,8.812000000000001,-323.178,-10.193,-4.053,0.0,-15.18,139.86,-710.62,231.17,2204.032,60.0601788862,-4.032,4.003,-0.1896,-0.9699,-224.6,-3219.0,5.443,-23.82,-3473.0,-2.928,3.075,2.0269999999999997,1.885,-19.94,-379.7,11.56,-1.6969999999999998,-412.9,-3976.298805,-4037.825312,2035.24,-1077.58,3112.83,0.0498,0.0,0.0,0.0,5.262727,3.413999,-5.662662,-10.80733,-9.29091172199,15.9256,0.0049299999999999995,57
swarm_0_188.pdb,6,3,3,11,8,4,3,0,7,0,2,1,3,7,6,0.48833333333333334,0.3845454545454545,0.41333333333333333,0.5625,0.47666666666666674,0.35875,0.52,0.0,0.4385714285714285,0.47,0.4685714285714286,0.73,0.555,0.0,0.57,1.24,2.25,1.4300000000000002,2.87,1.56,0.0,3.0699999999999994,2.82,3.2800000000000002,2.19,1.11,0.0,0.57,29.98,44.72,1890.3600000000006,624.9200000000001,1265.4399999999987,2.449489742783178,3.3166247903554,1.7320508075688772,2.449489742783178,0.0,2.6457513110645907,1.7320508075688772,1.7320508075688772,2.8284271247461903,2.0,1.4142135623730951,0.0,1.0,1.7320508075688772,2.6457513110645907,4.8106,5.294,9.14,0.8,4.6,-152.2,10.3,-130.12,150.94,3.86,0.014262,6.16,36.0,25.4,2.0,95.56,21.6,33.6,37.0,9.44,16.72,7.08,-232.0,2.1117396898,6.6,-7.914228,-18.63,-30.401,-55.41,-35.37,-2607.14,5.39,21.35,31.7,44.9,-1202.82,-153.37,0.0,0.0,0.0,0.0,0.0,-20.7024,825.7180000000001,0.000437,7.007999999999999,-7.76,13.953,0.643,-663.2719999999999,-2.699,9.902999999999999,0.0,-33.46,111.15,-558.79,126.9,1663.9620000000002,53.9329800828,-3.447,3.514,0.1344,-1.486,-386.5,-3880.0,8.568999999999999,-22.91,-4298.0,-2.215,2.35,0.5781,-0.2028,-9.308,-536.1,9.861,-12.93,-568.2,-5001.1012200000005,-5099.351831,1922.88,-1570.14,3493.02,-0.0044,0.0,0.0,0.0,4.436316000000001,4.366965,2.211146,-3.2175759999999998,-22.2027686777,8.85798,0.007312999999999999,64
swarm_0_199.pdb,5,3,5,11,15,2,11,1,10,0,2,0,2,2,2,0.40800000000000003,0.39181818181818184,0.5233333333333333,0.365,0.41400000000000003,0.33199999999999996,0.450909090909091,0.43,0.413,0.44500000000000006,0.375,0.5900000000000001,0.595,0.0,0.0,1.57,0.73,2.0700000000000003,4.9799999999999995,4.960000000000001,0.43,4.13,0.8900000000000001,0.75,1.1800000000000002,1.19,0.0,0.0,29.83,45.72,1867.4000000000015,777.7700000000004,1089.619999999999,2.23606797749979,3.3166247903554,3.3166247903554,1.4142135623730951,1.0,3.1622776601683795,1.7320508075688772,2.23606797749979,3.872983346207417,1.4142135623730951,1.4142135623730951,0.0,0.0,1.4142135623730951,1.4142135623730951,7.0428,8.09,12.18,1.0,-4.8,-180.2,11.68,-177.84,194.0,5.14,0.07487200000000001,5.64,42.0,26.6,-6.6,70.992,29.0,39.8,42.4,6.2,18.04,17.52,-310.6,1.397871765,25.3,-7.549384,-22.6,-32.265,-42.18,-45.83,-3794.82,10.76,-0.04,-41.19,-16.46,-1396.83,-435.01,0.0,0.0,0.0,0.0,0.0,-19.4867,548.794,0.00037200000000000004,11.967,0.332,-30.089000000000002,9.29,-696.207,-13.68,-0.452,0.0,-57.13,118.67,-628.68,123.46,2054.242,53.5421584023,-3.8160000000000003,3.98,1.1079999999999999,-1.7209999999999999,-403.5,-3696.0,18.7,-40.04,-4159.0,-1.858,2.248,1.8940000000000001,0.1324,-22.08,-478.2,14.51,-13.01,-527.8,-5256.60551,-5333.235143,1665.59,-1608.92,3274.52,-0.0465,0.0,0.0,0.0,6.309888,0.855849,0.249333,-11.373145,-19.9003174002,9.07373,0.006028,71
swarm_100_151.pdb,1,0,0,15,10,3,2,0,11,0,0,1,1,5,5,0.42,0.37733333333333335,0.0,0.48333333333333334,0.0,0.379,0.47000000000000003,0.0,0.4818181818181818,0.42200000000000004,0.33999999999999997,0.68,0.0,0.0,0.57,0.0,1.45,0.0,3.79,0.9400000000000001,0.0,5.3,2.1100000000000003,1.7,0.68,0.0,0.0,0.57,29.3,45.28,1556.119999999999,685.4400000000005,870.6900000000005,1.0,3.872983346207417,1.4142135623730951,2.23606797749979,0.0,3.3166247903554,0.0,0.0,3.1622776601683795,1.7320508075688772,0.0,0.0,1.0,1.0,2.23606797749979,5.5326,1.824,6.8,-2.4,-5.2,-136.8,8.92,-137.14,155.36,2.02,0.1068,1.2,37.2,23.6,0.4,97.804,23.6,33.6,35.6,9.42,12.4,5.2,-257.4,1.47969129,17.5,-7.589352000000001,-9.82,-20.593000000000004,-36.3,-27.24,-2169.1,34.93,8.7,35.09,22.84,-996.58,-34.46,0.0,0.0,0.0,0.0,0.0,-30.5521,301.53,0.000534,-7.914,16.303,-16.682000000000002,6.721,-37.419000000000004,-7.106,-6.396,0.0,-100.07,113.42,-455.81,30.88,718.7260000000001,28.172688525199998,-1.999,1.9869999999999999,1.11,1.023,27.07,-3322.0,16.28,-11.89,-3324.0,-0.8743,1.111,1.2209999999999999,0.1176,86.67,-533.2,10.81,-7.752000000000001,-465.1,-4005.4745479999997,-4057.671028,2180.84,-1061.46,3242.28,-0.0081,0.0,0.0,0.0,7.462008999999999,11.493193,-2.2885310000000003,-5.354286,-10.059318233099999,8.13279,0.003815,54
swarm_100_166.pdb,10,0,3,8,9,0,5,4,11,0,4,0,1,4,5,0.42000000000000004,0.3125,0.0,0.0,0.43,0.3177777777777778,0.42200000000000004,0.49,0.5790909090909092,0.388,0.39,0.53,0.5325000000000001,0.0,0.0,0.0,0.0,1.29,2.8600000000000003,2.1100000000000003,1.96,6.370000000000001,1.9400000000000002,1.56,0.53,2.1300000000000003,0.0,0.0,30.27,45.04,1473.7699999999968,740.8799999999992,732.880000000001,3.1622776601683795,2.8284271247461903,2.23606797749979,2.23606797749979,2.0,3.3166247903554,0.0,1.7320508075688772,3.0,0.0,2.0,0.0,0.0,1.0,2.0,4.8168,-6.824,0.1,-8.0,-9.6,-146.6,4.4,-136.84,140.58,-3.74,0.025158,-10.4,39.8,23.4,-5.8,55.316,20.2,28.2,29.2,7.7,7.96,2.3,-238.6,-1.3356104044,21.4,-6.497000000000001,-11.25,-20.642,-28.62,-30.6,-2658.33,-27.45,1.59,-15.19,-0.14,-808.03,279.71,0.0,0.0,0.0,0.0,0.0,-28.1589,311.593,0.000458,-9.221,18.487000000000002,0.91,9.357999999999999,24.754,-10.503,-10.974,0.0,-105.72,88.27,-659.7,182.13,2135.7270000000003,45.8061814104,-3.9189999999999996,3.8,-0.8863,-0.08172,-533.9,-3138.0,1.44,0.9233,-3672.0,-2.766,2.9530000000000003,1.032,0.2332,-28.75,-378.4,8.193,-5.556,-420.9,-4026.109327,-4087.125077,2152.04,-1066.36,3218.41,0.0767,0.0,0.0,0.0,-7.766253999999999,-10.947258,-2.675559,-10.727965,-9.17771356882,12.4225,0.001984,64
swarm_100_3.pdb,1,0,4,12,2,0,5,0,9,0,0,0,0,5,10,0.44,0.3475,0.0,0.0,0.46499999999999997,0.39,0.484,0.0,0.6211111111111111,0.466,0.392,0.0,0.0,0.0,0.0,0.0,0.0,1.8599999999999999,0.78,2.42,0.0,5.59,4.66,1.96,0.0,0.0,0.0,0.0,30.02,44.31,1336.4399999999987,487.8299999999999,848.6099999999988,1.0,3.4641016151377544,2.23606797749979,3.1622776601683795,0.0,3.0,0.0,2.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,2.23606797749979,4.9442,-0.4,2.34,-4.6,-3.0,-145.2,6.8,-122.7,133.26,-0.78,0.017726,-2.26,36.2,25.0,2.8,45.832,15.6,26.8,27.8,10.98,9.08,2.8,-218.4,1.008965572,11.4,-8.806728999999999,-10.24,-19.153,-50.73,-32.09,-2403.82,8.18,5.42,-31.31,3.34,-772.0,-318.34,0.0,0.0,0.0,0.0,0.0,-52.9346,52.0225,0.000482,-6.166,7.629,-37.643,-2.301,-79.28399999999999,-1.6230000000000002,-0.11699999999999999,0.0,-85.99,63.78,-466.71,141.42,743.794,19.7056929644,-3.0639999999999996,2.9730000000000003,-1.067,-0.08398,-386.1,-2755.0,1.954,7.212000000000001,-3136.0,-2.42,2.286,0.1149,1.2819999999999998,-11.05,-361.1,4.689,-2.3569999999999998,-379.2,-3775.2682659999996,-3825.723042,1839.66,-977.72,2817.4,0.0713,0.0,0.0,0.0,-0.663946,2.569024,2.431038,-1.9957060000000002,-11.6276657157,7.82263,0.003604,48
swarm_100_81.pdb,0,0,0,6,2,2,4,0,6,0,0,2,2,5,3,0.0,0.43,0.0,0.43500000000000005,0.0,0.365,0.4925,0.0,0.5166666666666667,0.4666666666666666,0.392,0.835,0.0,0.0,0.57,0.0,0.8700000000000001,0.0,0.73,1.97,0.0,3.1,1.4,1.96,1.67,0.0,0.0,1.14,29.47,45.17,935.2000000000007,411.8199999999997,523.3900000000012,0.0,2.449489742783178,2.0,1.7320508075688772,0.0,2.449489742783178,0.0,0.0,1.4142135623730951,1.4142135623730951,0.0,0.0,1.4142135623730951,1.4142135623730951,2.23606797749979,3.3768,1.942,4.44,-4.2,-2.2,-75.0,7.04,-70.56,86.92,0.04,0.069798,-1.84,30.2,17.4,-0.2,71.168,13.4,20.4,23.2,5.28,14.74,5.24,-141.4,1.2525878272,7.5,-6.500819,-8.71,-17.858,-20.49,-13.85,-1555.51,12.76,9.23,-4.18,-8.02,-840.35,-396.17,0.0,0.0,0.0,0.0,0.0,-41.9575,22.4735,0.0006450000000000001,-5.115,8.121,-37.292,-0.723,-77.29,-1.242,0.226,0.0,-96.14,95.42,-328.2,73.81,2002.024,18.9662887221,-1.686,1.605,0.3588,1.683,-95.3,-2523.0,6.855,-18.74,-2643.0,-0.4466,0.226,0.7565,2.411,39.8,-324.6,5.474,-2.526,-292.8,-3700.6614210000002,-3736.024664,2015.77,-924.96,2940.75,0.0344,0.0,0.0,0.0,1.9812759999999998,3.8766559999999997,-3.2853529999999997,-7.535,-7.08827272089,7.60652,0.0048130000000000004,32
swarm_10_100.pdb,10,1,0,11,7,2,3,1,2,0,4,1,0,3,14,0.422,0.5018181818181818,0.49,0.54,0.0,0.38571428571428573,0.5133333333333333,0.49,0.75,0.47357142857142864,0.4766666666666666,0.0,0.545,0.0,0.53,0.49,1.08,0.0,2.7,1.54,0.49,1.5,6.630000000000001,1.43,0.0,2.18,0.0,0.53,30.27,44.31,1260.4500000000007,326.2000000000007,934.2600000000002,3.1622776601683795,3.3166247903554,1.7320508075688772,3.7416573867739413,1.0,1.4142135623730951,1.0,0.0,2.6457513110645907,1.4142135623730951,2.0,0.0,1.0,0.0,1.7320508075688772,5.4444,-3.908,-2.82,-8.4,-13.4,-157.2,-1.36,-193.36,188.96,-3.32,0.047566000000000004,-2.64,18.6,17.8,1.0,-23.398000000000003,17.6,39.4,26.8,0.26,7.26,-10.96,-348.6,0.07343475599999999,-3.5,-1.411618,-8.74,-15.41,-55.56,-38.76,-3768.91,-11.64,-7.23,119.75,98.2,-368.78,1474.84,0.0,0.0,0.0,0.0,0.0,-5.64993,1959.46,0.000593,-3.842,-18.534000000000002,128.109,-9.565,-239.45,-9.004,-4.454,0.0,81.55,-17.47,-655.7,269.07,-90.82,-5.23626189149,-4.1160000000000005,3.8289999999999997,-0.6597,1.765,-451.1,-2920.0,-0.73,29.52,-3341.0,-3.716,3.6910000000000003,0.1188,0.09089,-20.03,-432.3,5.686,-2.485,-460.5,-3528.74606,-3570.576609,2462.07,-958.91,3420.98,0.2193,0.0,0.0,0.0,-6.080291000000001,-9.304528,-12.465871,-26.864369,-15.756572614000001,8.25205,0.003102,59
