Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_106.pdb,3,8,6,5,1,4,5,7,4,1,0,0,4,12,0,0.4633333333333334,0.446,0.4625,0.42499999999999993,0.4466666666666666,0.27,0.47000000000000003,0.5000000000000001,0.49,0.0,0.4591666666666667,0.7274999999999999,0.0,0.98,0.0,3.7,1.6999999999999997,2.6799999999999997,0.27,2.35,3.5000000000000004,1.96,0.0,5.510000000000001,2.9099999999999997,0.0,0.98,0.0,28.24,37.65,1435.170000000002,619.8600000000006,815.3199999999997,1.7320508075688772,2.23606797749979,2.23606797749979,0.0,2.6457513110645907,2.0,2.8284271247461903,2.449489742783178,1.0,2.0,0.0,1.0,0.0,2.0,3.4641016151377544,2.569,3.048,-0.4,-4.6,-15.2,-143.8,-1.6,-153.62,141.9,-0.8,1.9819060000000002,0.16,14.4,7.2,-14.0,9.912,9.8,22.8,25.6,-7.0,8.9,12.68,-248.6,-0.011139524,-7.0,-8.634473,-12.6,-21.787,-51.51,-33.36,-2568.97,-31.32,-7.88,8.1,28.57,-1028.51,-49.17,0.0,0.0,0.0,0.0,0.0,-28.1817,504.774,0.000455,-10.309000000000001,-11.702,-5.195,-22.531,-312.121,-4.289,1.642,0.0,-78.96,37.09,-648.28,46.12,35.606,-0.7456863742550001,-3.114,3.023,-1.2830000000000001,-0.858,-326.9,-3076.0,-3.846,-7.176,-3406.0,-2.1830000000000003,1.8519999999999999,-1.649,0.7054,-0.3892,-400.0,-0.7942,-2.405,-402.0,-3823.0418310000005,-3887.108829,1363.49,-1128.24,2491.73,-0.0689,0.0,0.0,0.0,-5.581326,-13.488938000000001,-8.393462,-22.45247,-13.8310140042,7.34037,0.0051,60
swarm_0_132.pdb,3,3,2,5,4,10,5,2,3,4,0,2,1,2,0,0.36999999999999994,0.366,0.5,0.466,0.5,0.21500000000000002,0.44800000000000006,0.53,0.36333333333333334,0.0,0.44499999999999995,0.59,0.0,0.9450000000000001,0.55,1.5,4.66,1.0,0.8600000000000001,2.24,1.06,1.09,0.0,0.8899999999999999,0.59,0.0,3.7800000000000002,1.1,27.13,38.76,1576.989999999998,559.7300000000005,1017.2499999999982,1.7320508075688772,2.23606797749979,2.23606797749979,0.0,1.4142135623730951,1.7320508075688772,1.7320508075688772,1.4142135623730951,2.0,3.1622776601683795,0.0,2.0,1.4142135623730951,1.0,1.4142135623730951,1.9808,6.2139999999999995,3.2,-2.2,-18.2,-134.8,2.94,-137.6,123.12,2.02,0.269522,1.7,17.0,9.0,-12.0,70.13600000000001,6.6,16.2,19.2,7.9,8.92,4.14,-218.6,0.7890444212000001,-2.3,-6.481021,-18.0,-24.648000000000003,-52.74,-49.85,-3028.19,-11.72,0.2,39.79,28.24,-1063.01,-182.64,0.0,0.0,0.0,0.0,0.0,-57.9553,326.711,0.000295,-8.158999999999999,-20.585,-18.157,-30.56,-488.16,-2.064,7.211,0.0,-164.74,20.68,-759.28,-35.57,-1672.046,2.25220009426,-3.1239999999999997,3.0660000000000003,-0.1821,-0.7387,-312.8,-2575.0,3.609,10.07,-2882.0,-2.31,1.8659999999999999,-1.729,1.127,-0.4075,-398.9,-1.195,-0.0879,-398.2,-4164.575333,-4211.4364590000005,1385.57,-1291.59,2677.16,-0.025,0.0,0.0,0.0,2.523116,2.63063,1.1097350000000001,-14.153768,-14.627429579300001,1.4116600000000001,0.007043000000000001,46
swarm_0_198.pdb,8,2,3,1,6,4,10,5,10,0,0,1,1,1,1,0.41375,0.37,0.56,0.41500000000000004,0.42333333333333334,0.32,0.44499999999999995,0.508,0.5010000000000001,0.51,0.47,0.68,0.0,0.0,0.7,1.12,1.6600000000000001,1.27,1.9200000000000002,4.449999999999999,2.54,5.010000000000001,0.51,0.47,0.68,0.0,0.0,0.7,26.92,38.85,1474.0,793.5500000000002,680.4499999999989,2.8284271247461903,1.0,3.1622776601683795,1.0,2.23606797749979,3.1622776601683795,1.4142135623730951,1.7320508075688772,2.449489742783178,2.0,0.0,0.0,1.0,1.0,1.0,1.6966,-8.774,-0.46,-14.4,-25.0,-130.2,0.32,-123.16,124.7,-6.2,0.048478,-10.78,18.6,2.2,-21.6,59.3,7.8,16.8,22.8,-7.02,6.3,8.7,-227.4,-1.4688023492,13.3,-10.247888,-14.43,-23.551,-55.62,-50.22,-3152.21,-5.28,-8.99,-46.65,-2.6,-1028.98,-320.98,0.0,0.0,0.0,0.0,0.0,-65.4836,-32.7336,0.000502,-15.254000000000001,4.938,-41.09,-14.425,-448.168,-6.867999999999999,1.6469999999999998,0.0,-164.75,212.84,-308.79,8.86,295.895,27.0751509812,-3.2710000000000004,3.236,-0.213,-1.194,-98.8,-2909.0,1.307,-34.49,-3043.0,-2.605,2.206,-1.787,1.619,41.94,-432.3,-0.4383,-0.777,-390.7,-4053.351269,-4093.604272,2219.77,-1206.1,3425.88,-0.0308,0.0,0.0,0.0,-7.609903999999999,-12.551858,-14.897020999999999,-21.389037,-11.4399161645,1.7379200000000001,0.0062640000000000005,53
swarm_0_68.pdb,4,0,4,1,2,0,6,5,3,0,0,3,0,5,0,0.38,0.37,0.0,0.0,0.45999999999999996,0.22499999999999998,0.45833333333333326,0.512,0.43333333333333335,0.0,0.45999999999999996,0.0,0.0,0.0,0.7066666666666667,0.0,0.0,1.8399999999999999,0.44999999999999996,2.7499999999999996,2.56,1.3,0.0,2.3,0.0,0.0,0.0,2.12,27.1,38.55,1098.630000000001,438.9399999999987,659.710000000001,2.0,1.0,2.449489742783178,0.0,2.23606797749979,1.7320508075688772,0.0,2.0,1.4142135623730951,0.0,0.0,0.0,1.7320508075688772,0.0,2.23606797749979,3.781,0.318,3.98,-6.4,-5.4,-88.8,3.22,-88.92,100.68,-0.82,0.0055119999999999995,-2.22,27.8,18.0,-1.2,46.878,15.0,24.4,29.2,-2.32,13.98,2.04,-165.2,0.2825391812,8.0,-7.194699000000001,-12.18,-17.410999999999998,-45.79,-34.66,-1383.0,6.96,-3.74,-0.85,-0.68,-863.56,-481.48,0.0,0.0,0.0,0.0,0.0,5.85424,389.81199999999995,0.000585,-1.59,-1.7930000000000001,-24.109,-5.794,-258.686,-5.982,-1.067,0.0,-52.2,101.67,-248.45,61.98,953.7769999999999,13.2851707607,-2.589,2.6660000000000004,0.3633,-1.409,-178.5,-2438.0,5.8229999999999995,-10.49,-2633.0,-1.476,1.774,2.171,1.2409999999999999,9.951,-277.0,7.462999999999999,1.912,-272.6,-3397.308642,-3434.883833,1297.05,-887.83,2184.89,0.0028,0.0,0.0,0.0,-1.0719459999999998,-6.265023,-5.727754,-10.337612,-6.531958447919999,1.17124,0.004333,33
swarm_101_143.pdb,8,5,9,5,4,3,10,5,5,2,1,2,4,5,3,0.45499999999999996,0.45200000000000007,0.514,0.5033333333333333,0.4311111111111111,0.29000000000000004,0.45199999999999996,0.532,0.47000000000000003,0.6533333333333333,0.418,0.5575,0.65,0.78,0.57,2.57,1.51,3.88,1.1600000000000001,4.52,2.66,2.35,1.96,2.09,2.23,0.65,1.56,1.14,28.12,38.67,1662.5800000000017,864.840000000001,797.7399999999998,2.8284271247461903,2.23606797749979,3.1622776601683795,1.7320508075688772,2.23606797749979,2.23606797749979,2.23606797749979,3.0,2.0,1.7320508075688772,1.0,1.4142135623730951,1.4142135623730951,2.0,2.23606797749979,3.1814,1.36,1.82,-6.2,-16.0,-190.2,2.0,-171.98,173.7,-2.2,0.185434,-3.96,33.6,18.0,-12.4,59.11600000000001,15.6,32.4,39.2,-0.68,16.7,18.14,-297.0,0.7184079518,-1.5,-10.056169,-18.44,-29.204,-61.73,-53.13,-4975.78,-3.52,10.15,-19.84,11.14,-1319.01,-148.85,0.0,0.0,0.0,0.0,0.0,-64.9661,90.9569,0.000434,-11.18,7.555,-29.011999999999997,-6.526,-304.723,-6.846,-1.057,0.0,-202.48,134.17,-554.05,63.77,-470.04,19.6686624077,-3.574,3.5189999999999997,-0.585,-1.089,-86.92,-3888.0,2.715,-48.97,-4027.0,-1.9669999999999999,2.123,0.7168,0.1315,54.2,-576.1,9.207,-12.7,-543.8,-4605.306018,-4666.435467,2081.07,-1514.16,3595.23,0.0085,0.0,0.0,0.0,2.066023,0.519307,-6.306906,-22.449793,-13.0551673012,7.94821,0.004901,71
swarm_101_146.pdb,5,4,5,4,5,4,9,4,8,0,0,0,1,0,0,0.55,0.4,0.5924999999999999,0.54,0.4739999999999999,0.386,0.45222222222222225,0.545,0.3725,0.0,0.0,0.99,0.0,0.0,0.0,2.3699999999999997,2.16,2.3699999999999997,1.93,4.07,2.18,2.98,0.0,0.0,0.99,0.0,0.0,0.0,27.1,39.31,1550.3100000000013,636.7000000000007,913.6099999999988,2.23606797749979,2.0,3.0,0.0,2.0,2.8284271247461903,2.0,2.23606797749979,2.23606797749979,2.0,0.0,0.0,0.0,1.0,0.0,3.455,-2.5639999999999996,7.9,-5.4,-6.0,-137.0,11.66,-118.18,149.58,0.66,0.10312,2.4980018054099997e-16,43.4,25.0,-4.2,88.632,17.4,30.6,37.8,8.9,22.98,8.5,-242.0,1.4926428346,16.0,-6.9313210000000005,-10.72,-18.906,-48.89,-44.55,-2819.29,36.17,7.54,-21.35,-7.58,-909.69,-155.37,0.0,0.0,0.0,0.0,0.0,-48.6762,284.115,0.00037999999999999997,-8.556000000000001,3.633,-8.701,-5.792999999999999,-290.178,-4.694,0.8190000000000001,0.0,-104.77,229.26,-309.44,68.14,420.48900000000003,19.716149154100002,-1.577,1.656,0.611,-1.157,-118.6,-2741.0,8.797,-11.51,-2880.0,0.8044,-0.6654,1.158,0.879,58.27,-457.9,8.395,-2.779,-410.8,-3528.2770579999997,-3580.7967670000003,2602.64,-958.13,3560.75,0.0762,0.0,0.0,0.0,8.01256,7.99063,0.597542,-12.167964999999999,-14.899021104400001,2.90171,0.0045509999999999995,49
swarm_101_187.pdb,5,2,3,4,1,1,4,6,3,0,4,1,0,2,0,0.5,0.355,0.61,0.56,0.4633333333333333,0.33,0.37250000000000005,0.5383333333333334,0.6633333333333333,0.0,0.475,0.0,0.555,0.0,0.53,1.22,0.56,1.39,0.33,1.4900000000000002,3.2300000000000004,1.99,0.0,0.95,0.0,2.22,0.0,0.53,27.91,37.98,1275.9000000000015,560.5199999999986,715.3900000000012,2.23606797749979,2.0,2.0,0.0,2.449489742783178,1.7320508075688772,1.4142135623730951,1.7320508075688772,1.0,1.0,2.0,0.0,1.0,0.0,1.4142135623730951,2.2284,-6.228,-0.84,-6.6,-5.4,-125.4,6.38,-110.3,125.6,-2.5,-0.022522,-5.36,33.0,21.2,-5.8,64.26,18.0,26.4,32.8,-1.16,15.36,8.7,-209.8,-0.124029098,9.8,-7.482255,-10.42,-17.975,-38.13,-33.83,-2606.66,-0.72,-8.36,-28.01,-7.07,-880.98,-360.0,0.0,0.0,0.0,0.0,0.0,-60.7728,-32.6213,0.000519,-2.968,4.73,-37.82,-2.019,-229.998,-1.186,3.1839999999999997,0.0,-121.6,145.38,-169.44,9.52,-0.174999999997,24.0899658278,-2.542,2.528,-0.08564,-0.7871,-84.93,-2356.0,2.48,-11.89,-2456.0,-0.8472,0.48700000000000004,-0.7686,1.527,21.6,-324.2,1.531,0.43200000000000005,-303.7,-3399.639315,-3432.749506,1765.22,-904.29,2669.51,-0.106,0.0,0.0,0.0,4.0702169999999995,3.8816059999999997,-5.388796,-9.715612,-9.85807566991,1.2256200000000002,0.005472,36
swarm_101_5.pdb,5,3,3,0,2,3,6,4,3,0,2,3,0,0,0,0.442,0.0,0.5866666666666666,0.5533333333333333,0.42333333333333334,0.21500000000000002,0.3916666666666666,0.5475000000000001,0.44333333333333336,0.0,0.0,0.0,0.615,0.0,0.6566666666666666,1.7599999999999998,1.6600000000000001,1.27,0.43000000000000005,2.3499999999999996,2.1900000000000004,1.33,0.0,0.0,0.0,1.23,0.0,1.97,27.48,38.17,1134.7599999999984,535.25,599.5100000000002,2.23606797749979,0.0,2.449489742783178,0.0,2.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.4142135623730951,1.7320508075688772,1.4142135623730951,0.0,1.7320508075688772,0.0,0.0,-1.2374,-1.29,-3.0,-3.4,-16.0,-101.2,-3.4,-113.06,85.96,-1.76,-0.004464,-2.88,4.8,1.2,-12.0,15.085999999999999,3.0,8.0,8.6,-9.58,2.66,-2.84,-163.8,-0.31162248600000003,3.33066907388e-16,-4.358336,-9.96,-15.932,-23.52,-22.9,-4241.07,-7.95,-11.25,-28.86,4.86,-705.32,110.98,0.0,0.0,0.0,0.0,0.0,-32.5875,236.665,0.000503,-10.860999999999999,-6.607,8.849,-16.583,-202.40099999999998,-3.528,0.318,0.0,-52.3,39.6,-309.52,-29.34,734.2410000000001,11.642140346300001,-1.83,1.8030000000000002,-0.2779,-0.7414,181.7,-2232.0,0.5791,-12.9,-2063.0,-1.29,1.146,-1.2890000000000001,-0.5031,23.04,-302.7,-0.3447,-4.783,-284.1,-3225.469145,-3255.268677,1264.47,-873.47,2137.94,-0.0386,0.0,0.0,0.0,-1.33775,-6.223529,-4.199895,-14.126835999999999,-9.90830001935,12.2283,0.006,34
swarm_102_112.pdb,4,5,7,4,4,6,11,10,7,0,1,1,1,4,2,0.5,0.36250000000000004,0.49800000000000005,0.5233333333333333,0.4185714285714286,0.3325,0.4581818181818182,0.49700000000000005,0.4442857142857143,0.51,0.41,0.52,0.46,0.0,0.74,2.49,3.1399999999999997,2.93,1.33,5.04,4.970000000000001,3.11,1.02,1.64,0.52,0.46,0.0,0.74,27.27,39.53,2026.3699999999972,904.8199999999997,1121.550000000001,2.0,2.0,3.3166247903554,1.4142135623730951,3.1622776601683795,2.6457513110645907,2.23606797749979,2.6457513110645907,2.0,2.449489742783178,1.0,0.0,1.0,1.0,2.0,4.9742,-2.752,6.92,-13.0,-16.8,-184.6,6.9,-171.02,182.08,-2.26,-0.000452,-4.76,47.8,24.4,-13.2,94.804,22.0,37.0,42.4,6.18,17.38,14.54,-306.0,-0.6313224124,23.7,-10.523769999999999,-22.38,-32.479,-65.88,-55.91,-2751.99,-17.21,1.94,-39.61,-8.51,-1294.23,-419.83,0.0,0.0,0.0,0.0,0.0,-51.6527,234.668,0.000302,-6.21,0.6629999999999999,-52.808,-10.828,-603.214,-7.367000000000001,4.093999999999999,0.0,-185.86,219.96,-555.95,39.61,324.689,26.0491020841,-2.679,2.605,-0.6486,0.1661,-175.6,-4345.0,3.1,-25.16,-4549.0,-2.009,1.57,0.1732,4.167,0.6563,-528.8,8.252,-0.304,-536.7,-4906.574162,-4994.133213,2326.25,-1542.36,3868.62,0.0511,0.0,0.0,0.0,-1.050431,-5.308951,-12.767619,-21.625432999999997,-18.221145641099998,7.622269999999999,0.004925,67
swarm_102_125.pdb,6,5,3,3,6,4,9,4,12,0,0,0,3,0,2,0.515,0.3466666666666667,0.538,0.5449999999999999,0.4366666666666667,0.3166666666666666,0.4511111111111112,0.54,0.5325000000000001,0.53,0.0,0.7833333333333333,0.0,0.0,0.0,2.69,2.1799999999999997,1.31,1.8999999999999997,4.0600000000000005,2.16,6.390000000000001,1.06,0.0,2.35,0.0,0.0,0.0,27.41,39.38,2115.480000000003,1028.21,1087.2699999999986,2.449489742783178,1.7320508075688772,3.0,1.4142135623730951,2.0,3.4641016151377544,2.23606797749979,1.7320508075688772,2.449489742783178,2.0,0.0,0.0,0.0,1.7320508075688772,0.0,-0.6138,-6.23,-7.38,-18.8,-31.4,-184.6,5.54,-139.42,138.22,-7.34,1.91303,-16.0,51.4,24.8,-18.2,157.776,2.6,12.8,22.2,-3.46,5.04,2.86,-258.8,-1.813722482,12.2,-9.141475999999999,-16.56,-27.381999999999998,-56.03,-35.37,-4033.57,-37.94,-18.16,-39.1,-4.89,-1125.4,-60.9,0.0,0.0,0.0,0.0,0.0,-18.3209,511.55,0.000213,-7.79,22.581999999999997,-31.415,11.651,-451.85400000000004,-1.349,7.236000000000001,0.0,-171.55,246.78,-325.7,-49.56,58.93899999999999,33.0464760317,-2.908,2.8339999999999996,-0.1261,0.6328,-33.52,-3186.0,4.184,-27.39,-3251.0,-1.886,1.349,-0.2616,3.7039999999999997,11.33,-549.3,6.018,0.19,-543.8,-4376.25793,-4441.517621,3353.57,-1360.25,4713.82,0.004,0.0,0.0,0.0,-11.807516,-19.884384,-14.109437,-19.466287,-13.800117202000001,7.3142,0.0069299999999999995,57
