Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_149.pdb,6,5,5,2,3,1,9,6,6,1,1,3,0,0,1,0.48666666666666664,0.53,0.5280000000000001,0.56,0.43600000000000005,0.4333333333333333,0.4277777777777778,0.4916666666666667,0.4133333333333333,0.55,0.0,0.0,0.83,0.9,0.6666666666666666,2.6400000000000006,0.56,2.18,1.2999999999999998,3.85,2.95,2.4799999999999995,0.55,0.0,0.0,0.83,0.9,2.0,30.9,36.7,1575.1499999999978,790.6299999999992,784.510000000002,2.449489742783178,1.4142135623730951,3.0,1.0,2.449489742783178,2.449489742783178,2.23606797749979,2.23606797749979,1.7320508075688772,1.0,1.0,1.0,1.7320508075688772,0.0,0.0,0.8536,-2.892,0.32,-8.4,-12.8,-119.2,4.28,-94.54,102.62,-2.68,0.016584,-4.88,29.8,17.0,-10.2,54.983999999999995,2.6,11.4,17.0,-1.04,1.3,4.06,-176.8,0.1272860988,-1.8,-9.670246,-15.49,-23.728,-37.9,-36.17,-4176.33,11.62,-15.25,-50.56,-26.38,-898.07,-262.54,0.0,0.0,0.0,0.0,0.0,-30.7411,241.209,0.000491,-5.854,13.327,-35.282,3.945,-122.553,-3.928,-1.6,0.0,-57.12,129.52,-532.33,76.29,1770.338,19.953950375599998,-1.9569999999999999,1.9080000000000001,-1.4809999999999999,-2.117,519.0,-3284.0,-5.21,-32.08,-2792.0,-0.9205,0.5972,-0.5102,1.515,126.3,-495.8,1.3019999999999998,-0.828,-371.6,-4955.702257,-5007.7654170000005,2241.98,-1122.69,3364.67,-0.0078,0.0,0.0,0.0,1.188315,-2.45814,-0.892021,-7.128046,-14.513537931199998,14.667,0.004224,49
swarm_0_154.pdb,5,5,0,5,4,3,9,9,1,1,1,2,1,2,0,0.502,0.47800000000000004,0.534,0.5666666666666667,0.0,0.495,0.47333333333333333,0.49555555555555564,0.43,0.0,0.43999999999999995,0.53,0.73,0.98,0.72,2.67,1.7,0.0,1.98,4.26,4.460000000000001,0.43,0.0,0.8799999999999999,0.53,0.73,0.98,1.44,31.22,37.34,1670.8399999999965,711.1800000000003,959.6500000000015,2.23606797749979,2.23606797749979,3.0,0.0,3.0,1.0,2.23606797749979,0.0,2.0,1.7320508075688772,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.1278,-1.2819999999999998,1.92,-8.8,-27.0,-154.6,-0.84,-160.96,139.72,-1.5,-0.03803,-1.84,6.2,-1.2,-26.4,24.811999999999998,-3.4,8.2,11.0,-2.32,7.12,7.02,-259.6,-0.192996484,-13.5,-6.963067,-13.47,-22.127,-60.1,-43.28,-4317.73,-2.27,-5.07,11.53,5.62,-686.89,600.18,0.0,0.0,0.0,0.0,0.0,-45.7105,137.556,0.000449,-0.579,-14.595999999999998,7.064,-14.469000000000001,-209.757,-1.963,2.022,0.0,-63.8,-6.91,-517.97,-68.9,-494.445,-1.3493839910299998,-1.175,1.013,-2.5610000000000004,-1.675,293.5,-2820.0,-13.04,-5.32,-2519.0,-1.358,0.9243,-0.1669,1.845,1.5730000000000002,-398.4,2.676,4.003,-395.5,-4851.588528,-4917.853857,1538.52,-1096.92,2635.43,-0.1251,0.0,0.0,0.0,-0.978309,-5.947304,-7.119948,-16.599536999999998,-20.5908753899,9.82095,0.00525,48
swarm_0_195.pdb,5,7,4,3,3,2,8,4,5,0,0,3,1,0,0,0.404,0.5933333333333334,0.5771428571428572,0.65,0.4475,0.47,0.44125000000000003,0.495,0.694,0.0,0.0,0.52,0.0,0.0,0.6366666666666667,4.04,1.3,1.79,1.41,3.5300000000000002,1.98,3.4699999999999998,0.0,0.0,0.52,0.0,0.0,1.9100000000000001,31.29,37.21,1647.859999999997,860.869999999999,786.9900000000016,2.23606797749979,1.7320508075688772,2.8284271247461903,0.0,2.0,2.23606797749979,2.6457513110645907,2.0,1.7320508075688772,1.4142135623730951,0.0,0.0,1.7320508075688772,1.0,0.0,-0.586,-3.054,-1.58,-4.0,-19.8,-107.6,0.54,-107.92,95.48,-0.86,-0.061946,-4.18,9.6,1.2,-18.0,70.63,-2.0,5.0,11.4,-2.48,6.28,-1.7,-187.0,-1.0572679394,-7.6,-10.972006,-15.16,-24.578000000000003,-44.48,-42.93,-4272.25,4.07,-16.08,-68.71,-24.46,-909.06,-479.43,0.0,0.0,0.0,0.0,0.0,-57.5839,-151.558,0.0003,-18.582,6.436,-69.985,-19.146,-86.76100000000001,0.8190000000000001,2.467,0.0,-154.64,46.01,-274.81,-162.28,-679.946,18.9176662304,-2.764,2.6889999999999996,-1.337,-1.672,628.5,-3207.0,0.4607,-29.21,-2608.0,-1.6769999999999998,1.446,-1.207,0.1989,157.9,-524.8,0.1029,-3.846,-370.8,-5017.083815999999,-5070.704806000001,1547.86,-1185.26,2733.12,-0.3271,0.0,0.0,0.0,-1.3758540000000001,-1.1036709999999998,-8.984978,-13.220757999999998,-17.047043023900002,9.50331,0.003156,45
swarm_0_53.pdb,4,5,3,5,1,3,11,6,7,0,1,1,1,2,0,0.515,0.5740000000000001,0.568,0.5366666666666667,0.45,0.6,0.42090909090909084,0.5033333333333333,0.48571428571428577,0.0,0.6699999999999999,0.7,0.67,0.0,0.9,2.84,1.61,1.35,0.6,4.629999999999999,3.02,3.4000000000000004,0.0,1.3399999999999999,0.7,0.67,0.0,0.9,31.28,37.66,1719.4799999999996,792.75,926.7400000000016,2.0,2.23606797749979,3.3166247903554,0.0,2.449489742783178,2.6457513110645907,2.23606797749979,1.7320508075688772,1.0,1.7320508075688772,1.0,0.0,1.0,1.0,1.4142135623730951,-2.461,-6.516,-2.06,-11.0,-33.0,-161.0,1.44,-137.72,126.8,-3.1,-0.05482000000000001,-3.96,23.8,7.2,-26.4,61.416000000000004,-9.2,2.6,10.0,-4.32,5.14,9.88,-237.2,-0.170509684,-2.4,-7.879538,-16.03,-23.739,-45.74,-35.63,-5088.7,-11.39,-18.48,-6.76,28.52,-1013.94,38.48,0.0,0.0,0.0,0.0,0.0,-37.3685,117.96799999999999,0.00037400000000000004,-8.387,6.223,-11.78,-3.341,-143.433,-0.237,2.488,0.0,-68.07,55.26,-557.48,-24.43,151.005,13.820909793,-2.15,2.161,-0.5354,-1.891,209.1,-2881.0,3.555,-34.95,-2710.0,-2.472,1.464,-0.8274,3.92,15.41,-400.3,1.125,5.72,-380.3,-5047.761117,-5120.301432,2289.26,-1144.18,3433.44,-0.1665,0.0,0.0,0.0,-1.291467,-3.5261419999999997,-1.769528,-9.833872999999999,-11.6193451077,9.54401,0.00562,50
swarm_0_93.pdb,5,2,7,2,3,1,8,7,4,1,1,2,1,1,0,0.426,0.225,0.525,0.55,0.42714285714285716,0.48,0.4425,0.5128571428571429,0.5,0.0,0.48,0.52,0.83,0.9,0.7150000000000001,1.05,0.55,2.99,1.44,3.54,3.5900000000000003,2.0,0.0,0.48,0.52,0.83,0.9,1.4300000000000002,31.29,36.79,1475.8500000000022,783.25,692.5999999999985,2.23606797749979,1.4142135623730951,2.8284271247461903,0.0,2.6457513110645907,2.0,1.4142135623730951,2.6457513110645907,1.7320508075688772,1.0,1.0,1.0,1.4142135623730951,1.0,1.0,-0.3832,0.306,2.9,-5.0,-21.2,-148.6,2.1,-140.96,131.82,-0.36,-0.03584,0.98,29.2,17.0,-13.4,60.646,1.4,12.0,19.4,-2.62,1.04,16.1,-235.2,0.6097147307999999,0.2,-8.917404,-13.86,-22.730999999999998,-40.55,-39.82,-3936.45,-11.05,-7.81,-16.12,0.82,-831.5,-284.37,0.0,0.0,0.0,0.0,0.0,-8.70958,-9.82075,0.00046399999999999995,0.79,4.78,-51.745,0.395,-106.749,-2.54,-0.512,0.0,-98.9,118.4,-410.59,-35.45,425.38599999999997,18.8870863251,-1.726,1.614,-2.02,-1.675,498.9,-3109.0,-6.657,-30.68,-2634.0,-0.2704,0.3017,1.281,1.557,116.9,-518.0,8.679,-4.649,-414.4,-4835.145703,-4885.471982999999,1987.63,-1078.47,3066.1,-0.0328,0.0,0.0,0.0,-6.74702,-12.486166,-6.096239,-10.764994999999999,-11.0868669732,9.68609,0.0038,45
swarm_100_107.pdb,6,0,2,7,7,3,8,4,9,0,0,0,2,7,1,0.4283333333333333,0.44,0.0,0.5066666666666667,0.465,0.3971428571428572,0.42624999999999996,0.53,0.5033333333333334,0.44,0.5314285714285715,0.755,0.0,0.0,0.0,0.0,1.52,0.93,2.7800000000000002,3.4099999999999997,2.12,4.53,0.44,3.72,1.51,0.0,0.0,0.0,30.98,37.82,1853.3600000000006,883.7400000000016,969.630000000001,2.449489742783178,2.6457513110645907,2.8284271247461903,1.0,2.0,3.0,0.0,1.4142135623730951,2.6457513110645907,1.7320508075688772,0.0,0.0,0.0,1.4142135623730951,2.6457513110645907,1.7844,1.24,1.32,-1.4,-5.2,-126.6,3.12,-111.22,108.56,0.26,0.052413999999999995,1.08,19.0,14.0,-4.6,35.878,4.0,16.0,18.0,2.66,-2.36,-8.4,-186.0,1.244815372,1.4,-9.131202,-16.45,-28.855,-50.12,-42.0,-3662.04,36.78,18.38,0.22,4.95,-1027.7,-183.79,0.0,0.0,0.0,0.0,0.0,-46.6478,269.23400000000004,0.000348,-19.59,13.115,-38.96,-10.370999999999999,-123.765,-2.1430000000000002,0.20800000000000002,0.0,-95.4,22.05,-373.01,2.51,-11461.117,0.9703410045190001,-3.137,2.9789999999999996,-0.307,0.6407,-367.2,-3118.0,4.9719999999999995,6.432,-3484.0,-2.702,2.455,0.1667,2.305,-29.57,-406.6,3.969,-1.358,-441.5,-5417.304579,-5482.1090460000005,2929.39,-1408.67,4338.06,0.0159,0.0,0.0,0.0,3.80614,6.076677,1.504018,-6.86568,-13.9524811597,14.9243,0.007125,56
swarm_100_25.pdb,0,3,2,1,6,4,8,1,11,0,1,0,0,1,0,0.0,0.54,0.5299999999999999,0.665,0.38,0.4266666666666667,0.4625,0.44,0.6572727272727273,0.0,0.41,0.0,0.67,0.0,0.0,1.5899999999999999,2.66,0.76,2.56,3.7,0.44,7.23,0.0,0.41,0.0,0.67,0.0,0.0,31.29,37.21,1447.010000000002,750.5300000000007,696.4799999999996,0.0,1.0,2.8284271247461903,0.0,1.0,3.3166247903554,1.7320508075688772,1.4142135623730951,2.449489742783178,2.0,1.0,0.0,0.0,0.0,1.0,-0.5362,-5.32,-0.24,-3.0,-10.0,-89.0,1.7,-75.02,69.2,-0.52,-0.001818,-0.92,13.2,5.0,-10.6,54.598,0.2,5.0,10.0,-2.26,2.4,1.28,-119.6,-0.5271248828,-2.8,-9.158342999999999,-11.62,-22.451999999999998,-33.69,-35.72,-3668.58,-8.06,-16.06,-76.61,-31.1,-1048.89,-729.0,0.0,0.0,0.0,0.0,0.0,-77.9435,-201.532,0.00037200000000000004,-29.858,11.724,-51.922,-23.326,-75.092,0.91,2.3369999999999997,0.0,-138.29,23.25,-259.84,-139.23,-6921.724,8.90537185222,-1.845,1.821,0.5498,-0.03058,-37.53,-2257.0,5.101,14.44,-2286.0,-1.088,0.6888,-1.122,1.9069999999999998,23.2,-366.0,-0.6675,0.6281,-341.5,-4760.604047,-4795.681154999999,2322.95,-1101.23,3424.18,-0.1901,0.0,0.0,0.0,-1.813754,0.48196400000000006,-6.8066699999999996,-13.733117000000002,-11.148322968599999,8.71705,0.004789,38
swarm_101_137.pdb,7,3,11,4,13,5,20,10,18,2,0,3,1,2,2,0.5071428571428571,0.3825,0.54,0.518,0.43545454545454537,0.41230769230769226,0.49449999999999994,0.476,0.44166666666666665,0.48,0.675,0.52,0.0,0.9,0.9266666666666666,1.62,2.5900000000000003,4.789999999999999,5.359999999999999,9.889999999999999,4.76,7.95,0.96,1.35,0.52,0.0,1.8,2.78,30.98,37.61,2966.3499999999985,1557.9500000000007,1408.4000000000015,2.6457513110645907,2.0,4.47213595499958,1.4142135623730951,3.1622776601683795,4.242640687119285,1.7320508075688772,3.3166247903554,3.605551275463989,2.23606797749979,0.0,1.4142135623730951,1.7320508075688772,1.0,1.4142135623730951,1.9106,-0.057999999999999996,4.4,-9.8,-32.4,-231.4,7.46,-209.08,199.86,0.02,0.030619999999999998,-1.06,42.4,24.8,-23.8,114.36,3.6,17.2,27.4,-0.88,19.46,7.24,-375.2,0.4729061996,-7.9,-3.3332599999999997,-12.25,-36.076,-86.29,-73.65,-7213.82,-7.89,-24.02,59.05,60.67,-1373.05,729.87,0.0,0.0,0.0,0.0,0.0,4.52449,1834.82,0.000157,6.865,26.596,59.519,39.413000000000004,-180.452,-4.855,-1.4269999999999998,0.0,-160.8,154.12,-639.63,-139.68,2458.167,38.0873652628,-2.154,2.0980000000000003,-0.3314,-1.187,153.3,-4820.0,4.317,-4.031000000000001,-4675.0,-1.795,1.376,0.6302,3.9730000000000003,-21.02,-795.7,9.897,8.32,-818.3,-6298.771148,-6402.905127,6262.51,-1815.12,8077.64,0.0445,0.0,0.0,0.0,-3.8056900000000002,-11.03733,-7.864828,-17.981185999999997,-27.1383390958,22.1041,0.006218,101
swarm_101_181.pdb,2,0,5,6,9,4,19,11,7,1,0,0,0,1,1,0.45999999999999996,0.4283333333333334,0.0,0.44000000000000006,0.404,0.41111111111111115,0.4352631578947368,0.5072727272727273,0.5585714285714286,0.44,0.59,0.0,0.0,0.78,0.0,0.0,1.7600000000000002,2.02,3.7,8.27,5.58,3.91,0.44,0.59,0.0,0.0,0.78,0.0,30.56,37.82,2381.5800000000017,1248.42,1133.1500000000015,1.4142135623730951,2.449489742783178,4.358898943540674,1.0,3.3166247903554,2.6457513110645907,0.0,2.23606797749979,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.6682,-6.858,1.06,-14.4,-17.2,-209.6,11.26,-146.1,174.98,-4.04,0.016968,-7.48,61.0,33.0,-14.2,96.31,14.0,26.6,38.0,1.98,19.28,12.58,-290.4,0.787416192,15.5,-11.394772999999999,-14.7,-31.912,-62.52,-56.2,-4641.6,-0.27,-19.8,28.62,13.26,-1258.69,-189.65,0.0,0.0,0.0,0.0,0.0,-24.3416,324.56,0.00025299999999999997,4.09,29.561999999999998,-41.865,29.465999999999998,-83.988,-5.388,-3.792,0.0,-176.38,305.49,-129.09,-68.99,-10413.238000000001,49.3303326722,-2.4619999999999997,2.4290000000000003,0.2926,-0.1634,26.68,-3785.0,8.772,-3.705,-3771.0,-2.15,1.633,0.5742,4.147,11.02,-604.5,6.75,2.4330000000000003,-597.8,-5767.863806,-5841.790457,4511.95,-1546.06,6058.0,-0.0307,0.0,0.0,0.0,-4.437835,-11.97809,-3.730179,-17.320648000000002,-20.631860244200002,13.4289,0.003258,66
swarm_101_188.pdb,7,2,5,5,10,5,11,4,5,0,2,1,0,2,2,0.4828571428571428,0.392,0.505,0.518,0.43,0.34700000000000003,0.48363636363636364,0.5325,0.638,0.585,0.475,0.0,0.5449999999999999,0.0,0.76,1.01,2.5900000000000003,2.15,3.47,5.32,2.13,3.19,1.17,0.95,0.0,1.0899999999999999,0.0,0.76,30.32,37.85,2057.550000000003,1026.6499999999996,1030.9000000000015,2.6457513110645907,2.23606797749979,3.3166247903554,1.4142135623730951,2.0,2.23606797749979,1.4142135623730951,2.23606797749979,3.1622776601683795,2.23606797749979,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,3.2312,-4.258,5.76,-6.4,-10.4,-158.2,9.42,-142.42,157.16,0.74,0.037244,-1.78,38.0,23.4,-9.0,58.578,15.4,29.0,36.2,0.4,19.28,9.64,-272.8,-0.1158256388,16.1,-10.953373,-15.01,-26.840999999999998,-52.44,-45.44,-2781.98,1.83,2.51,-61.55,-22.73,-1068.35,-414.4,0.0,0.0,0.0,0.0,0.0,-40.2493,-85.7102,0.000236,2.832,15.075999999999999,-72.42,10.665999999999999,-105.98100000000001,-5.452999999999999,-3.4389999999999996,0.0,-154.46,149.94,-339.53,-5.58,-10067.287,19.2727275575,-1.421,1.335,-0.1604,0.5522,2.898,-3315.0,5.247999999999999,16.65,-3301.0,-0.6586,0.508,1.024,2.582,41.71,-574.5,6.638999999999999,4.928,-534.5,-5301.884924,-5349.420264,2375.6,-1276.69,3652.29,-0.0613,0.0,0.0,0.0,8.073587,2.645985,-1.313135,-11.437706,-17.5976901425,10.5663,0.004033,61
