Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_105.pdb,9,1,8,2,6,2,9,3,1,0,2,3,1,2,0,0.47111111111111115,0.405,0.52,0.54,0.505,0.3833333333333333,0.44999999999999996,0.44,0.75,0.0,0.44499999999999995,0.68,0.52,0.0,0.6133333333333333,0.52,1.08,4.04,2.3,4.05,1.32,0.75,0.0,0.8899999999999999,0.68,1.04,0.0,1.8399999999999999,15.95,42.41,1131.83,506.9499999999998,624.8899999999994,3.0,1.4142135623730951,3.0,0.0,1.7320508075688772,1.0,1.0,2.8284271247461903,2.449489742783178,1.4142135623730951,1.4142135623730951,0.0,1.7320508075688772,1.0,1.4142135623730951,3.0486,-0.5379999999999999,3.9,-4.8,2.6,-110.2,5.18,-88.42,101.72,-1.26,-0.054003999999999996,-1.2,24.0,15.8,-4.0,16.852,17.4,23.4,27.4,1.52,15.26,13.62,-151.6,0.8536603432,2.0,-5.373265,-10.87,-20.222,-25.77,-23.45,-2634.07,4.61,5.16,29.95,27.46,-619.82,290.87,0.0,0.0,0.0,0.0,0.0,14.3255,1050.81,0.0006450000000000001,-3.833,2.9410000000000003,33.176,2.426,-116.876,-3.2760000000000002,-1.055,0.0,-89.42,102.11,-507.18,186.1,34.641,10.2301192555,-2.81,2.787,-1.235,-1.97,-533.8,-3015.0,-12.46,-11.61,-3548.0,-1.0859999999999999,1.0190000000000001,0.3632,1.2409999999999999,-30.19,-251.7,6.0360000000000005,-0.075,-288.0,-3578.419254,-3633.275854,1509.7,-1048.32,2558.01,0.0044,0.0,0.0,0.0,4.523559,3.977761,-1.2384870000000001,-9.272395,-9.11737588407,6.03182,0.0060409999999999995,49
swarm_0_183.pdb,3,2,10,3,5,1,3,7,0,0,2,0,1,1,0,0.4766666666666666,0.37333333333333335,0.46499999999999997,0.55,0.42400000000000004,0.378,0.54,0.49571428571428566,0.0,0.0,0.41,0.7,0.67,0.0,0.0,0.9299999999999999,0.55,4.24,1.89,1.62,3.4699999999999998,0.0,0.0,0.41,0.7,1.34,0.0,0.0,15.95,43.19,1239.6899999999987,497.90999999999985,741.7799999999988,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.0,2.6457513110645907,0.0,1.4142135623730951,3.1622776601683795,2.23606797749979,1.0,1.4142135623730951,0.0,0.0,1.0,1.0,2.045,0.436,3.5,-3.4,-9.8,-158.8,1.0,-135.46,122.4,0.12,-0.014530000000000001,0.98,20.2,15.8,-12.8,0.596,9.4,15.0,17.6,-5.34,17.3,2.22,-206.2,0.28997707219999996,1.3,-4.012238,-11.56,-21.519000000000002,-35.93,-28.85,-2113.39,-3.47,-4.4,15.31,4.08,-897.7,124.33,0.0,0.0,0.0,0.0,0.0,-31.5661,539.784,0.000686,-3.052,1.861,1.202,-1.071,-66.098,-2.59,-1.334,0.0,-45.25,37.01,-412.25,73.22,52.623000000000005,4.858609518730001,-2.177,2.134,-1.305,-1.247,-306.0,-2768.0,-9.652999999999999,-21.27,-3086.0,-1.065,0.7057,-0.1099,2.2359999999999998,-28.14,-293.4,5.903,-3.755,-331.2,-3739.456937,-3806.5054600000003,1324.88,-1104.27,2429.16,-0.0014,0.0,0.0,0.0,-0.091693,-3.381962,-2.369852,-14.261778,-14.0296736888,11.3967,0.006605,38
swarm_0_184.pdb,4,8,12,2,3,0,10,9,3,1,1,2,2,1,2,0.4975,0.315,0.47750000000000004,0.0,0.415,0.49333333333333335,0.46099999999999997,0.4766666666666667,0.31666666666666665,0.42500000000000004,0.47,0.52,0.67,0.49,0.685,3.8200000000000003,0.0,4.9799999999999995,1.48,4.609999999999999,4.29,0.95,0.8500000000000001,0.47,1.04,0.67,0.49,1.37,15.71,43.3,1569.7199999999975,755.630000000001,814.1100000000006,2.0,1.4142135623730951,3.1622776601683795,1.4142135623730951,3.0,1.7320508075688772,2.8284271247461903,3.4641016151377544,1.7320508075688772,0.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,3.0036,-0.866,4.04,-7.6,-24.0,-180.8,-1.18,-166.78,151.66,-1.28,-0.013163999999999999,-2.26,15.2,6.4,-25.2,6.627999999999999,6.6,16.6,19.6,-3.76,3.24,4.08,-269.2,-0.4284629076,-5.6,-8.855694,-15.07,-24.659000000000002,-39.37,-30.07,-3120.46,-31.6,-6.87,7.09,22.35,-1078.98,-111.25,0.0,0.0,0.0,0.0,0.0,-25.7717,189.18599999999998,0.000405,-6.89,4.625,-16.57,-3.9219999999999997,-61.653999999999996,-3.4739999999999998,-2.303,0.0,-147.05,87.6,-405.69,24.32,207.937,-1.1335216745999999,-3.198,3.117,-1.754,-1.976,-283.0,-2972.0,-17.0,-14.3,-3252.0,-2.2030000000000003,1.9140000000000001,-1.314,0.4386,-13.18,-389.6,3.676,-3.0469999999999997,-409.5,-4079.5088200000005,-4139.888097,1564.64,-1215.15,2779.8,-0.0575,0.0,0.0,0.0,-3.991203,-10.736571000000001,-5.834734,-12.392491999999999,-16.522942418099998,6.15247,0.005917,60
swarm_0_1.pdb,5,1,10,4,7,1,5,3,2,0,4,1,0,5,3,0.378,0.3725,0.35,0.57,0.42700000000000005,0.3071428571428572,0.47000000000000003,0.47,0.81,0.44333333333333336,0.418,0.0,0.58,0.0,0.7,0.35,0.57,4.2700000000000005,2.1500000000000004,2.35,1.41,1.62,1.33,2.09,0.0,2.32,0.0,0.7,15.56,42.8,1190.5100000000002,489.47000000000025,701.0400000000009,2.23606797749979,2.0,2.23606797749979,1.7320508075688772,1.7320508075688772,1.4142135623730951,1.0,3.1622776601683795,2.6457513110645907,1.0,2.0,0.0,1.0,0.0,2.23606797749979,2.7584,-3.092,0.54,-5.6,-1.2,-136.6,3.78,-126.64,132.42,-2.9,0.053064,-3.24,27.4,18.0,-7.8,73.95,23.2,30.8,33.4,-1.4,9.08,1.48,-207.0,0.58608168,10.0,-6.471779,-13.75,-23.65,-49.81,-36.85,-1827.78,7.51,13.39,6.99,7.83,-845.35,-183.43,0.0,0.0,0.0,0.0,0.0,-60.665,81.7774,0.000602,-7.496,6.403,-12.085,-2.301,-154.245,-6.372000000000001,-3.4410000000000003,0.0,-60.67,132.92,-327.45,183.24,314.47900000000004,34.9072079686,-2.785,2.807,-0.1973,-2.211,-456.4,-3347.0,-7.994,-52.82,-3848.0,-1.2670000000000001,1.317,0.06277,-0.1843,3.178,-322.2,6.818,-7.26,-333.1,-3919.962642,-3961.966182,1633.82,-1153.64,2787.46,0.1441,0.0,0.0,0.0,-6.831073,-5.143747,-10.807952,-17.545277,-10.1364504878,6.04007,0.005647,51
swarm_0_38.pdb,9,0,7,6,4,0,3,5,0,0,4,0,2,9,1,0.41888888888888887,0.35833333333333334,0.0,0.0,0.42,0.35000000000000003,0.49333333333333335,0.44000000000000006,0.0,0.34,0.38555555555555554,0.605,0.58,0.0,0.0,0.0,0.0,2.94,1.4000000000000001,1.48,2.2,0.0,0.34,3.4699999999999998,1.21,2.32,0.0,0.0,16.08,41.96,953.6499999999996,335.52999999999975,618.119999999999,3.0,2.449489742783178,1.7320508075688772,1.0,2.23606797749979,0.0,0.0,2.6457513110645907,2.0,0.0,2.0,0.0,0.0,1.4142135623730951,3.0,5.2422,1.2819999999999998,7.44,-1.0,7.8,-109.0,4.32,-126.88,130.02,1.8,0.016288,2.28,26.0,20.8,1.6,-4.02,26.4,34.0,35.0,3.46,18.48,12.78,-202.2,1.3417606396,6.9,-6.652752,-11.45,-17.551,-28.19,-19.96,-1334.25,17.68,4.92,48.83,37.73,-585.46,-193.61,0.0,0.0,0.0,0.0,0.0,-32.3356,281.335,0.0007830000000000001,-4.7669999999999995,-1.925,-4.293,-7.122000000000001,-157.502,-5.229,-2.2359999999999998,0.0,-65.51,61.22,-388.16,197.33,1039.354,19.152992623,-2.31,2.265,-0.8386,-1.578,-540.2,-2776.0,-11.62,-39.76,-3344.0,-0.9973,1.287,1.151,-0.3269,-9.45,-247.2,8.585,-5.966,-271.2,-3327.578121,-3366.19011,868.78,-864.98,1733.75,-0.0239,0.0,0.0,0.0,2.9927330000000003,1.665083,1.295094,-7.5491589999999995,-10.5161122385,11.5677,0.006520000000000001,50
swarm_0_78.pdb,9,2,8,6,4,1,6,4,3,0,1,0,0,3,2,0.46666666666666656,0.4333333333333333,0.54,0.41,0.45999999999999996,0.36500000000000005,0.4883333333333333,0.44,0.6633333333333333,0.39,0.3233333333333333,0.0,0.58,0.0,0.0,1.08,0.41,3.6799999999999997,1.4600000000000002,2.9299999999999997,1.76,1.99,0.78,0.97,0.0,0.58,0.0,0.0,16.08,43.14,1396.449999999999,671.8400000000001,724.6000000000004,3.0,2.449489742783178,2.449489742783178,1.4142135623730951,2.0,1.7320508075688772,1.4142135623730951,2.8284271247461903,2.0,1.0,1.0,0.0,0.0,0.0,1.7320508075688772,4.4802,4.902,7.1,-1.8,4.0,-138.4,6.32,-115.12,130.2,1.66,0.026612,3.88,24.8,21.2,1.0,9.52,16.2,29.8,32.0,4.28,18.2,15.86,-199.6,1.934907374,9.0,-7.021681,-9.36,-21.65,-51.06,-37.4,-2315.9,8.86,9.42,23.83,18.17,-779.14,-53.12,0.0,0.0,0.0,0.0,0.0,-40.4485,276.857,0.000454,-8.701,13.867,-11.783,3.988,-87.18700000000001,-5.309,-3.653,0.0,-105.74,134.67,-361.37,134.3,91.21600000000001,11.7637844109,-2.963,2.9339999999999997,-0.5943,-1.1159999999999999,-479.2,-3131.0,-6.32,-5.648,-3609.0,-2.322,2.237,0.04904,0.9821,-30.88,-373.9,7.231,-2.592,-414.6,-3730.752278,-3777.473094,2161.17,-1074.99,3236.17,-0.09699999999999999,0.0,0.0,0.0,4.5853980000000005,4.94842,-2.9887650000000003,-9.72644,-12.8380821815,6.31222,0.005469,49
swarm_0_80.pdb,11,0,20,3,8,0,16,6,3,0,6,2,2,4,1,0.4272727272727273,0.4166666666666667,0.0,0.0,0.45949999999999996,0.3775,0.4687499999999999,0.4916666666666667,0.6133333333333334,0.34,0.41,0.755,0.6133333333333334,0.0,0.77,0.0,0.0,9.19,3.02,7.499999999999998,2.95,1.84,0.34,1.64,1.51,3.68,0.0,1.54,16.0,42.0,2022.5100000000002,941.6500000000005,1080.8599999999997,3.3166247903554,1.7320508075688772,4.0,1.0,2.449489742783178,1.7320508075688772,0.0,4.47213595499958,2.8284271247461903,0.0,2.449489742783178,0.0,1.4142135623730951,1.4142135623730951,2.0,4.0904,-3.036,1.44,-5.8,-11.4,-210.8,4.14,-194.96,194.64,-1.48,-0.038548,-1.68,26.0,18.8,-18.0,47.056000000000004,26.2,36.6,38.4,-7.18,22.84,11.74,-320.6,0.0492779892,9.4,-8.832305,-20.85,-33.968,-59.67,-51.06,-4517.95,-16.83,-0.04,-2.59,25.35,-1315.19,252.08,0.0,0.0,0.0,0.0,0.0,-77.5994,406.93,0.00032599999999999996,-15.004000000000001,14.324000000000002,34.675,2.7880000000000003,-109.056,-8.044,-5.972,0.0,-148.89,164.44,-588.98,172.37,452.048,12.151289305399999,-3.608,3.5410000000000004,-1.5019999999999998,-1.808,82.09,-5143.0,-19.9,-57.09,-5098.0,-2.477,2.115,-0.7702,1.828,70.7,-637.4,8.735,-8.668,-584.1,-5105.2732049999995,-5184.538992,2696.12,-1705.06,4401.2,0.0159,0.0,0.0,0.0,-4.765737000000001,-7.6200339999999995,-4.295833,-17.41899,-22.154275115100003,7.4283399999999995,0.00672,82
swarm_0_8.pdb,12,1,14,1,6,2,8,7,2,0,4,1,0,4,1,0.455,0.37,0.49,0.65,0.4607142857142857,0.34333333333333327,0.445,0.48714285714285716,0.505,0.34,0.4775,0.0,0.575,0.0,0.53,0.49,1.3,6.449999999999999,2.0599999999999996,3.56,3.41,1.01,0.34,1.91,0.0,2.3,0.0,0.53,15.48,42.86,1378.4899999999998,581.4700000000003,797.0100000000002,3.4641016151377544,1.0,2.8284271247461903,1.0,2.6457513110645907,1.4142135623730951,1.0,3.7416573867739413,2.449489742783178,1.4142135623730951,2.0,0.0,1.0,0.0,2.0,3.1966,-1.692,2.16,-2.8,-2.4,-172.2,3.42,-161.88,158.78,-0.1,0.022484,-0.18,27.8,23.2,-6.6,-0.11199999999999999,23.6,30.6,32.0,-4.0,8.44,7.22,-257.0,0.34833851740000005,9.0,-8.176285,-14.32,-24.855999999999998,-47.5,-39.76,-3682.59,-13.39,-2.88,52.71,47.04,-947.91,73.89,0.0,0.0,0.0,0.0,0.0,-26.1887,487.926,0.0005610000000000001,-6.093,6.382999999999999,13.235999999999999,1.614,-148.987,-8.68,-5.849,0.0,-107.48,132.51,-375.68,176.59,396.01300000000003,22.4120601931,-3.56,3.512,-1.431,-1.78,-320.4,-3531.0,-13.52,-38.89,-3877.0,-2.46,2.4530000000000003,0.3662,0.8351,10.75,-416.2,8.051,-7.896,-421.4,-4122.092797,-4174.319859,1960.11,-1220.77,3180.88,0.1397,0.0,0.0,0.0,-8.404594,-11.657877000000001,-0.806722,-15.31565,-13.7203260609,11.6508,0.006444,63
swarm_100_10.pdb,12,1,7,2,1,5,7,7,4,1,0,0,3,2,4,0.49500000000000005,0.39,0.49,0.638,0.43857142857142856,0.27,0.5328571428571428,0.4685714285714286,0.6600000000000001,0.4,0.37,0.7466666666666667,0.0,0.9,0.0,0.49,3.19,3.07,0.27,3.73,3.2800000000000002,2.6400000000000006,1.6,0.74,2.24,0.0,0.9,0.0,15.71,44.06,1540.7599999999984,839.71,701.0500000000011,3.4641016151377544,1.4142135623730951,2.6457513110645907,2.0,2.6457513110645907,2.0,1.0,2.6457513110645907,1.0,2.23606797749979,0.0,1.0,0.0,1.7320508075688772,1.4142135623730951,2.5178,0.04,5.52,-5.0,-10.2,-136.0,2.34,-112.82,113.52,2.04,0.065972,1.36,14.6,8.8,-9.4,12.884,3.6,18.2,20.0,-3.36,4.26,1.64,-197.4,0.9065138796,-1.6,-8.813711,-12.2,-23.245,-44.77,-40.02,-2434.71,-2.99,-9.81,61.19,40.07,-1027.17,-65.82,0.0,0.0,0.0,0.0,0.0,-8.04969,689.018,0.000386,-9.423,17.484,-26.503,5.41,-56.012,-3.782,-2.718,0.0,-15.91,90.83,-336.55,1.21,692.318,6.00676306459,-3.905,3.843,0.06544,-0.9927,-408.6,-3007.0,-4.112,6.76,-3404.0,-3.5439999999999996,3.032,-1.979,0.363,-45.71,-350.7,0.1371,-5.356,-401.9,-3859.3100409999997,-3916.605711,2403.22,-1187.15,3590.37,0.258,0.0,0.0,0.0,3.995831,0.8570979999999999,-2.878069,-4.381398,-9.47697108299,11.6049,0.005357,56
swarm_100_38.pdb,9,4,15,3,4,1,10,4,4,0,3,0,0,7,1,0.4466666666666667,0.38000000000000006,0.54,0.28,0.458,0.36000000000000004,0.438,0.5,0.5075000000000001,0.44,0.36,0.0,0.54,0.0,0.0,2.16,0.28,6.87,1.4400000000000002,4.38,2.0,2.0300000000000002,0.44,2.52,0.0,1.62,0.0,0.0,15.62,43.36,1531.7399999999998,643.2599999999993,888.4599999999991,3.0,1.7320508075688772,3.1622776601683795,1.0,2.0,2.0,2.0,3.872983346207417,2.0,1.0,1.7320508075688772,0.0,0.0,0.0,2.6457513110645907,5.4732,0.7020000000000001,2.5,-5.2,-4.6,-174.8,4.28,-159.18,169.34,-1.22,-0.06172999999999999,1.06,33.4,23.4,-4.2,1.922,28.8,36.8,35.0,0.42,18.78,22.76,-269.6,1.0588007557999999,17.8,-8.980503,-16.95,-24.296,-48.34,-39.53,-3464.24,-9.58,-6.17,12.45,38.2,-1161.65,-354.13,0.0,0.0,0.0,0.0,0.0,-73.303,113.161,0.000356,-8.935,3.839,-23.983,-7.494,-18.425,-7.8,-7.45,0.0,-90.54,107.74,-778.76,248.89,-1881.155,32.562551835,-4.043,3.911,0.1288,0.07987000000000001,-175.1,-3427.0,-5.651,0.2175,-3596.0,-3.195,3.0210000000000004,-0.04144,1.413,24.37,-409.4,6.942,0.171,-391.8,-4095.478247,-4154.675321,1678.12,-1176.78,2854.9,0.0793,0.0,0.0,0.0,0.852499,-1.596624,-3.866219,-7.610164,-12.369485125,5.9823,0.004338,65
