Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_140.pdb,5,2,2,5,6,0,7,6,3,0,0,0,0,1,0,0.48199999999999993,0.42000000000000004,0.62,0.0,0.35,0.35000000000000003,0.4557142857142858,0.47833333333333333,0.5766666666666667,0.0,0.48,0.0,0.0,0.0,0.0,1.24,0.0,0.7,2.1,3.1900000000000004,2.87,1.73,0.0,0.48,0.0,0.0,0.0,0.0,21.05,32.06,1315.7599999999984,555.4300000000003,760.3199999999997,2.23606797749979,2.23606797749979,2.6457513110645907,0.0,2.449489742783178,1.7320508075688772,1.4142135623730951,1.4142135623730951,2.449489742783178,0.0,0.0,0.0,0.0,0.0,1.0,3.4416,1.3880000000000001,4.2,-5.2,-7.8,-113.2,6.38,-91.24,100.1,0.1,-0.023006,-2.64,24.6,17.4,-4.4,32.282,5.6,13.0,16.6,5.06,12.48,3.22,-178.2,0.824734484,5.5,-6.731985000000001,-12.2,-20.896,-37.92,-24.78,-2196.04,10.68,0.86,-14.77,-0.46,-971.46,-615.25,0.0,0.0,0.0,0.0,0.0,-46.3969,71.4995,0.000489,-7.666,6.577999999999999,-30.021,-4.09,-38.063,-2.4930000000000003,-1.77,0.0,-65.45,61.88,-396.09,47.46,-1653.233,38.4720579125,-2.042,2.037,0.1563,-0.2118,37.01,-2613.0,-0.7751,-19.59,-2595.0,-1.525,1.6680000000000001,1.141,0.6261,38.41,-335.7,5.796,-1.7169999999999999,-304.8,-3855.3754369999997,-3909.1193590000003,1540.31,-1090.88,2631.19,0.0248,0.0,0.0,0.0,3.7149650000000003,0.8238049999999999,0.8540559999999999,-7.86658,-13.3114236655,4.86827,0.003432,37
swarm_100_154.pdb,4,2,7,1,3,1,11,7,5,0,1,2,0,5,2,0.48,0.34,0.44,0.77,0.44428571428571434,0.39666666666666667,0.41363636363636364,0.51,0.392,0.34,0.45999999999999996,0.0,0.58,0.0,0.53,0.88,0.77,3.1100000000000003,1.19,4.55,3.5700000000000003,1.96,0.68,2.3,0.0,0.58,0.0,1.06,21.22,32.44,1502.1899999999987,580.9100000000017,921.2700000000004,2.0,1.0,3.3166247903554,1.4142135623730951,2.6457513110645907,2.23606797749979,1.4142135623730951,2.6457513110645907,1.7320508075688772,1.0,1.0,0.0,1.4142135623730951,0.0,2.23606797749979,2.1064,-1.93,2.24,-6.6,-10.8,-126.6,5.38,-105.02,115.16,-1.34,-0.008879999999999999,-1.68,24.8,14.0,-13.0,45.23,12.0,21.0,25.0,3.56,13.36,9.04,-187.8,0.7024881359999999,8.6,-8.899295,-12.84,-25.491,-45.36,-30.33,-3176.72,11.1,3.98,-6.16,16.76,-1082.03,-649.31,0.0,0.0,0.0,0.0,0.0,-37.2405,-20.9452,0.00044500000000000003,4.44,14.677999999999999,-54.464,13.671,-89.837,-4.955,-3.248,0.0,-132.53,112.82,-200.66,-11.09,-3459.197,40.8562150784,-3.0860000000000003,3.0260000000000002,-0.5702,-0.475,-62.98,-3438.0,-4.805,-16.23,-3513.0,-1.294,1.605,1.7530000000000001,0.7,15.8,-370.6,9.271,-4.731,-368.8,-4281.470532,-4347.031411999999,1687.16,-1317.75,3004.9,0.0773,0.0,0.0,0.0,-3.9348199999999998,-4.739627,-1.080199,-10.057606,-17.3884853801,9.60622,0.005725,51
swarm_100_160.pdb,13,3,9,7,2,0,14,12,3,0,2,1,0,4,3,0.44461538461538463,0.4428571428571429,0.41,0.0,0.43111111111111117,0.36,0.45999999999999996,0.4875000000000001,0.43,0.4666666666666666,0.4725,0.0,0.485,0.0,0.53,1.23,0.0,3.8800000000000003,0.72,6.4399999999999995,5.850000000000001,1.29,1.4,1.89,0.0,0.97,0.0,0.53,22.17,31.28,1737.0200000000004,856.5,880.5300000000007,3.605551275463989,2.6457513110645907,3.7416573867739413,1.7320508075688772,3.4641016151377544,1.7320508075688772,1.7320508075688772,3.0,1.4142135623730951,0.0,1.4142135623730951,0.0,1.0,0.0,2.0,5.2668,2.532,6.86,-5.0,-10.8,-174.8,5.42,-163.2,171.44,-0.1,-0.00902,-1.46,26.4,19.2,-10.6,3.51,22.2,33.0,31.6,-0.12,13.42,12.74,-284.4,0.698089182,5.0,-8.521557000000001,-14.65,-26.811,-38.65,-30.48,-3157.87,-14.83,-7.79,-34.43,-26.25,-1244.78,-601.46,0.0,0.0,0.0,0.0,0.0,-69.3213,12.0438,0.000337,-10.173,18.551,-45.161,3.862,-46.635,-5.787000000000001,-4.901,0.0,-85.87,103.83,-556.17,117.0,-5832.986999999999,46.8920852318,-3.6830000000000003,3.531,-1.9040000000000001,-1.244,-60.34,-3768.0,-18.09,-55.95,-3866.0,-2.807,2.938,1.263,1.064,48.97,-573.6,9.845,-6.627999999999999,-541.1,-4470.499516,-4547.434615,1492.86,-1370.82,2863.67,-0.0181,0.0,0.0,0.0,-1.442843,-4.546486,-5.50586,-14.911207999999998,-18.5871177301,9.65573,0.005164,73
swarm_100_65.pdb,7,3,9,10,6,3,18,9,4,0,1,1,1,4,0,0.48857142857142855,0.41500000000000004,0.5633333333333334,0.4266666666666667,0.42,0.42333333333333334,0.45499999999999996,0.5011111111111112,0.69,0.0,0.4975,0.53,0.83,0.0,0.67,1.69,1.28,3.78,2.54,8.19,4.510000000000001,2.76,0.0,1.99,0.53,0.83,0.0,0.67,21.87,31.45,2151.619999999999,991.3199999999997,1160.2999999999993,2.6457513110645907,3.1622776601683795,4.242640687119285,0.0,3.0,2.0,1.7320508075688772,3.0,2.449489742783178,1.7320508075688772,1.0,0.0,1.0,1.0,2.0,4.4964,-2.294,9.44,-3.2,-16.8,-177.6,5.64,-201.46,191.64,2.06,-0.027351999999999998,0.12,31.2,20.8,-15.8,33.63,17.8,27.8,31.8,6.32,12.26,13.88,-350.2,1.0322804166,8.0,-9.187762,-18.05,-30.339000000000002,-71.31,-58.71,-3589.62,-16.43,-22.52,-18.63,9.39,-1255.54,-214.8,0.0,0.0,0.0,0.0,0.0,-78.8828,319.454,0.000275,-12.665999999999999,19.507,-36.823,3.159,10.875,-4.998,-5.204,0.0,-103.61,91.95,-555.24,59.61,-3496.6540000000005,39.7702442338,-3.5589999999999997,3.51,0.1599,-0.4597,-66.21,-4340.0,-1.187,-31.57,-4437.0,-2.785,2.6639999999999997,-0.03112,1.253,46.99,-648.0,5.857,-2.134,-609.0,-4839.114025,-4929.673412,2291.94,-1557.51,3849.45,-0.0313,0.0,0.0,0.0,5.242257,-0.40267600000000003,-6.587138,-19.238143,-20.6655674485,6.03066,0.004816,76
swarm_100_92.pdb,6,1,6,8,10,7,22,10,11,0,0,1,1,2,1,0.48,0.39,0.54,0.5885714285714286,0.38166666666666665,0.36400000000000005,0.47409090909090906,0.49000000000000005,0.49090909090909096,0.34,0.48,0.68,0.0,0.0,0.7,0.54,4.12,2.29,3.6400000000000006,10.43,4.9,5.4,0.34,0.96,0.68,0.0,0.0,0.7,20.6,31.51,2120.529999999999,1044.5900000000001,1075.9300000000003,2.449489742783178,2.8284271247461903,4.69041575982343,1.0,3.1622776601683795,3.3166247903554,1.0,2.449489742783178,3.1622776601683795,2.6457513110645907,0.0,0.0,1.0,1.0,1.4142135623730951,4.6446,-7.282,2.4,-12.2,-28.4,-242.2,11.62,-203.8,222.44,-3.5,0.004797999999999999,-6.34,57.8,32.8,-26.6,122.96799999999999,17.6,29.8,41.6,7.28,20.74,11.8,-382.8,-0.3496439916,23.5,-9.783373,-13.95,-27.164,-57.11,-47.96,-4773.26,6.24,-13.38,18.68,27.36,-1251.98,367.03,0.0,0.0,0.0,0.0,0.0,-34.1812,622.937,0.000256,-15.328,26.211,-31.112,7.772,-160.61,-10.25,-7.199,0.0,-147.85,276.16,-403.56,95.11,-3404.8920000000003,76.6110735238,-3.471,3.52,0.4967,-1.204,58.62,-4344.0,4.12,-68.5,-4358.0,-2.694,2.8480000000000003,1.4669999999999999,1.679,80.53,-714.5,15.42,-3.306,-652.7,-4556.397976,-4645.526092,3625.24,-1441.33,5066.57,0.2583,0.0,0.0,0.0,-7.098458,-10.623318,-4.263223,-15.4118,-19.6795436515,10.5502,0.00336,86
swarm_10_135.pdb,6,1,4,7,7,2,4,2,5,0,1,1,2,2,1,0.47000000000000003,0.42857142857142855,0.45,0.6950000000000001,0.39,0.3685714285714286,0.48749999999999993,0.52,0.5519999999999999,0.58,0.5249999999999999,0.675,0.62,0.0,0.67,0.45,1.3900000000000001,1.56,2.58,1.9499999999999997,1.04,2.76,0.58,1.0499999999999998,1.35,0.62,0.0,0.67,21.24,31.74,1505.369999999999,751.7600000000002,753.6100000000006,2.449489742783178,2.6457513110645907,2.0,1.0,1.4142135623730951,2.23606797749979,1.0,2.0,2.6457513110645907,1.4142135623730951,1.0,0.0,1.0,1.4142135623730951,1.4142135623730951,-0.6404,1.0659999999999998,3.32,-0.2,-14.8,-104.4,0.14,-129.22,108.58,1.22,-0.018928,1.2,15.4,9.6,-9.6,27.166,3.0,10.0,11.6,-7.42,0.32,-6.14,-212.2,0.600485622,-0.5,-7.309791000000001,-12.46,-26.593000000000004,-49.18,-29.46,-2211.4,18.21,4.16,-15.46,-6.1,-1113.18,-352.44,0.0,0.0,0.0,0.0,0.0,-33.1383,203.76,0.000528,-8.881,15.039000000000001,-38.341,2.324,-61.957,-1.724,-0.547,0.0,-5.29,46.16,-309.57,22.61,1834.934,14.325150693800001,-2.804,2.8369999999999997,0.5896,-1.506,-19.81,-3100.0,1.39,18.7,-3102.0,-1.569,1.643,-0.2006,-0.5599,12.03,-359.0,2.35,-0.981,-350.3,-4425.804613,-4482.504661,2131.66,-1386.67,3518.34,-0.2091,0.0,0.0,0.0,-1.929587,-7.347332000000001,-7.776855,-12.790502,-15.2846311689,5.18624,0.004733,45
swarm_10_136.pdb,5,3,5,9,5,0,17,21,8,0,0,0,1,0,1,0.462,0.4477777777777777,0.4266666666666666,0.0,0.402,0.42000000000000004,0.4364705882352941,0.5061904761904763,0.61125,0.34,0.0,0.52,0.0,0.0,0.0,1.2799999999999998,0.0,2.0100000000000002,2.1,7.42,10.630000000000003,4.89,0.34,0.0,0.52,0.0,0.0,0.0,21.58,32.37,2662.029999999999,1256.5999999999985,1405.4299999999985,2.23606797749979,3.0,4.123105625617661,1.0,4.58257569495584,2.8284271247461903,1.7320508075688772,2.23606797749979,2.23606797749979,0.0,0.0,0.0,0.0,1.0,0.0,0.4322,-4.758,1.74,-18.2,-29.4,-204.8,9.36,-164.54,188.36,-5.62,-0.023530000000000002,-7.8,41.0,18.0,-31.8,106.74600000000001,5.2,19.4,33.2,1.24,17.2,20.72,-331.4,0.15768091880000001,12.5,-10.93179,-17.71,-35.695,-69.63,-59.37,-3310.73,17.36,-13.83,-21.88,-13.3,-1578.55,-832.52,0.0,0.0,0.0,0.0,0.0,-55.6869,-36.2659,0.00016999999999999999,-16.849,31.908,-73.607,7.699,-73.372,-5.162000000000001,-3.7680000000000002,0.0,-117.69,202.23,-85.96,-204.04,209.69400000000002,44.2902601828,-3.415,3.412,-0.2479,-1.4340000000000002,87.16,-4696.0,-3.803,4.738,-4601.0,-2.441,1.749,-0.7326,2.742,8.68,-655.9,4.1,5.921,-645.4,-5221.245668,-5301.5658060000005,3496.56,-1782.09,5278.65,-0.0842,0.0,0.0,0.0,-10.123788000000001,-16.283077,-11.836646,-25.74379,-30.078926418200002,6.93385,0.007026999999999999,75
swarm_101_42.pdb,2,13,2,2,5,5,5,3,7,0,1,6,1,3,2,0.32,0.405,0.5907692307692308,0.62,0.35,0.45400000000000007,0.45599999999999996,0.5166666666666667,0.4742857142857143,0.42500000000000004,0.4766666666666666,0.53,0.62,0.0,0.6916666666666668,7.680000000000001,3.1,0.7,2.2700000000000005,2.28,1.55,3.3200000000000003,0.8500000000000001,1.43,0.53,0.62,0.0,4.15,21.07,31.96,1554.270000000004,854.8200000000015,699.4400000000005,1.4142135623730951,1.4142135623730951,2.23606797749979,1.4142135623730951,1.7320508075688772,2.6457513110645907,3.605551275463989,1.4142135623730951,2.23606797749979,2.23606797749979,1.0,0.0,2.449489742783178,1.0,1.7320508075688772,-0.257,-2.398,-0.08,-5.8,-27.2,-126.2,-1.24,-141.84,119.46,-1.34,0.002412,-1.86,15.8,5.6,-19.0,69.632,4.6,11.8,11.4,-5.72,-10.5,-4.82,-239.4,-0.627657818,-11.5,-10.125721,-13.9,-26.728,-39.19,-34.54,-4123.24,-17.48,-9.89,-18.8,-17.1,-1334.94,-543.52,0.0,0.0,0.0,0.0,0.0,-25.088,128.44799999999998,0.000375,-14.548,9.696,-43.955,-9.247,-149.644,1.514,4.3580000000000005,0.0,-129.56,55.89,-312.21,-119.24,155.582,18.8947451772,-2.926,2.986,1.24,-0.1301,-182.5,-2398.0,6.204,-5.199,-2591.0,-3.6710000000000003,2.8539999999999996,-1.584,2.443,-60.79,-383.0,-0.8036,3.185,-439.8,-4510.6903090000005,-4554.083163,2080.84,-1428.1,3508.94,-0.1917,0.0,0.0,0.0,-3.3921669999999997,-4.511114,-11.695139,-18.684918,-14.7910639873,4.94142,0.0060880000000000005,57
swarm_10_165.pdb,3,4,3,6,5,5,12,14,7,0,0,0,0,2,0,0.49,0.325,0.5025,0.49400000000000005,0.3866666666666667,0.39799999999999996,0.4766666666666666,0.5221428571428572,0.5114285714285715,0.0,0.515,0.0,0.0,0.0,0.0,2.01,2.47,1.1600000000000001,1.9899999999999998,5.72,7.310000000000001,3.58,0.0,1.03,0.0,0.0,0.0,0.0,21.19,31.9,1960.2700000000004,1056.7800000000007,903.510000000002,1.7320508075688772,2.449489742783178,3.4641016151377544,0.0,3.7416573867739413,2.6457513110645907,2.0,1.7320508075688772,2.23606797749979,2.23606797749979,0.0,0.0,0.0,0.0,1.4142135623730951,4.3862,-1.486,6.92,-13.2,-16.0,-116.8,8.1,-109.32,136.82,-2.3,0.013378,-3.24,36.4,21.2,-11.0,62.04600000000001,13.8,23.6,32.2,7.1,16.8,22.72,-235.6,0.18645760600000003,21.3,-8.082212,-7.91,-25.24,-49.81,-47.77,-2375.67,-28.62,-14.61,-15.93,9.67,-1223.77,-630.49,0.0,0.0,0.0,0.0,0.0,-28.5912,34.315,0.00024700000000000004,-11.81,18.820999999999998,-71.457,-0.135,-122.041,-6.593999999999999,-4.276,0.0,-98.69,279.74,-97.18,-29.72,1440.491,38.1077716937,-3.208,3.116,-0.1096,-0.01563,-21.87,-3661.0,-2.9539999999999997,-10.28,-3690.0,-1.7890000000000001,1.547,0.8617,2.63,17.81,-434.6,7.877999999999999,1.57,-423.1,-4207.237183,-4258.771562,4311.87,-1260.07,5571.95,-0.2647,0.0,0.0,0.0,-2.847999,-8.4836,-4.172737000000001,-13.374842000000001,-14.403838029200001,7.0233,0.004492,61
swarm_10_179.pdb,5,5,10,4,2,4,18,16,5,0,1,1,2,5,8,0.434,0.33999999999999997,0.596,0.5975,0.4669999999999999,0.31,0.4255555555555556,0.4912500000000001,0.48,0.40374999999999994,0.4619999999999999,0.74,0.88,0.0,0.53,2.98,2.39,4.669999999999999,0.62,7.66,7.860000000000001,2.4,3.2299999999999995,2.3099999999999996,1.48,0.88,0.0,0.53,21.12,32.77,2765.300000000003,1253.0300000000007,1512.2700000000004,2.23606797749979,2.0,4.242640687119285,2.8284271247461903,4.0,2.23606797749979,2.23606797749979,3.1622776601683795,1.4142135623730951,2.0,1.0,0.0,1.0,1.4142135623730951,2.23606797749979,5.2066,-4.012,0.76,-12.6,-26.2,-199.8,6.44,-210.06,223.2,-4.9,0.054667999999999994,-5.6,52.4,32.0,-20.4,86.196,25.2,44.0,53.0,2.86,6.06,1.78,-387.0,0.6537690386,13.7,-12.694391,-23.78,-38.018,-88.41,-68.69,-4886.9,9.35,7.36,-22.03,11.08,-1728.16,-647.14,0.0,0.0,0.0,0.0,0.0,-86.4628,-1.92105,0.000177,-12.802,23.445999999999998,-48.016000000000005,5.8420000000000005,-70.73100000000001,-7.186,-5.8420000000000005,0.0,-122.39,224.8,-232.52,-58.61,2431.754,31.786419594899996,-2.937,2.802,-0.1084,0.402,29.03,-5017.0,-5.245,5.9270000000000005,-4977.0,-2.084,1.764,0.1673,2.17,13.57,-712.3,8.308,3.8369999999999997,-703.2,-5622.799039,-5704.149963,2957.04,-1876.06,4833.09,0.0083,0.0,0.0,0.0,-17.604603,-20.342926000000002,-16.777247,-26.636163,-30.2817683992,7.061160000000001,0.0063950000000000005,86
