Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_100_20.pdb,1,1,8,2,8,1,15,1,11,0,1,1,0,0,0,0.29,0.43000000000000005,0.64,0.56,0.4725,0.37749999999999995,0.41266666666666657,0.48,0.40454545454545454,0.0,0.0,0.0,0.58,0.0,0.9,0.64,0.56,3.78,3.0199999999999996,6.189999999999999,0.48,4.45,0.0,0.0,0.0,0.58,0.0,0.9,34.6,32.81,1642.2200000000012,824.630000000001,817.5799999999999,1.0,1.4142135623730951,3.872983346207417,0.0,1.0,3.3166247903554,1.0,2.8284271247461903,2.8284271247461903,1.0,1.0,0.0,1.0,0.0,0.0,1.311,-1.186,1.18,-8.0,-13.2,-143.8,9.2,-119.26,126.68,-1.98,-0.001564,-5.68,50.6,26.6,-12.0,132.196,11.8,19.0,32.2,5.92,22.68,12.02,-209.8,-0.8901899936,16.8,-8.06925,-10.99,-23.642,-53.81,-51.36,-2902.9,3.9,-7.31,12.9,20.76,-837.21,-129.18,0.0,0.0,0.0,0.0,0.0,-19.5804,37.4462,0.00043,-11.325999999999999,32.486999999999995,-38.7,17.291,34.166,-4.447,-5.096,0.0,-137.79,218.21,-107.51,-25.1,4554.213,18.0169693707,-1.48,1.591,0.6138,-2.299,-76.93,-2841.0,13.27,-9.402999999999999,-2941.0,-0.8169,0.4841,-0.08687,1.959,1.077,-400.2,6.678,0.3018,-405.5,-4225.96125,-4276.000943999999,3162.17,-1142.34,4304.51,0.1112,0.0,0.0,0.0,-6.969133,-11.485647,-2.792373,-11.313617,-15.1756456695,9.93726,0.00486,50
swarm_100_53.pdb,4,3,6,3,7,1,12,9,10,0,0,1,0,0,0,0.475,0.39333333333333337,0.5299999999999999,0.53,0.4333333333333333,0.27999999999999997,0.4908333333333334,0.5144444444444445,0.6039999999999999,0.0,0.0,0.0,0.0,0.0,0.84,1.5899999999999999,0.53,2.5999999999999996,1.96,5.890000000000001,4.630000000000001,6.039999999999999,0.0,0.0,0.0,0.0,0.0,0.84,34.67,33.56,1687.1699999999983,948.5000000000018,738.6800000000003,2.0,1.7320508075688772,3.4641016151377544,0.0,3.0,3.1622776601683795,1.7320508075688772,2.449489742783178,2.6457513110645907,1.0,0.0,0.0,1.0,0.0,0.0,1.4422,-6.492000000000001,0.76,-12.2,-14.4,-112.8,5.64,-92.82,109.32,-4.5,-0.048066000000000005,-7.36,33.0,15.0,-12.0,70.804,7.6,15.6,24.0,1.04,12.86,5.64,-187.4,-1.515832224,16.4,-7.811292,-12.58,-26.635,-58.03,-51.99,-2592.03,-23.38,-3.18,-45.72,2.46,-1118.66,-386.56,0.0,0.0,0.0,0.0,0.0,-73.8548,-19.8145,0.000379,-29.039,29.506,-39.28,-3.4610000000000003,-32.604,-5.231,-4.612,0.0,-122.89,207.42,-233.38,-55.82,2241.136,20.4558845535,-2.6060000000000003,2.456,-1.252,-0.9333,-133.2,-3338.0,-0.6999,-17.75,-3488.0,-1.681,1.175,-0.6775,2.515,3.685,-474.6,4.085,0.9994,-474.0,-4507.994411,-4572.0309130000005,2889.58,-1289.17,4178.75,-0.0528,0.0,0.0,0.0,-8.505006,-13.192560999999998,-6.639142,-13.699231,-12.2969632287,6.4286,0.005571,56
swarm_101_142.pdb,1,1,0,7,8,4,13,3,16,0,0,1,0,0,0,0.32,0.3885714285714286,0.61,0.54,0.0,0.325,0.4553846153846154,0.49,0.384375,0.0,0.0,0.0,0.0,0.0,0.7,0.61,2.16,0.0,2.6,5.92,1.47,6.15,0.0,0.0,0.0,0.0,0.0,0.7,34.46,33.33,1904.6800000000003,1021.0099999999984,883.6799999999985,1.0,2.6457513110645907,3.605551275463989,0.0,1.7320508075688772,4.0,1.0,0.0,2.8284271247461903,2.0,0.0,0.0,1.0,0.0,0.0,1.067,3.6319999999999997,5.12,-13.0,-18.6,-153.2,12.0,-110.14,139.62,-2.08,0.10838800000000001,-5.1,51.0,24.6,-17.6,191.89,4.6,22.2,35.0,13.04,27.76,14.12,-238.8,-0.868234318,19.7,-9.920966,-4.84,-30.041,-49.28,-54.52,-2402.06,17.4,6.75,18.32,5.77,-1367.4,-661.51,0.0,0.0,0.0,0.0,0.0,-21.7385,50.0465,0.00033999999999999997,-19.9,29.213,-81.562,1.158,-34.406,-6.7139999999999995,-6.06,0.0,-186.43,274.18,27.23,-113.81,4831.162,43.454935470600006,-1.879,1.932,0.7348,-0.3606,-20.12,-3536.0,14.56,-28.81,-3599.0,-1.33,0.8097,0.3265,3.972,28.07,-635.7,10.42,1.942,-616.1,-4839.228204,-4879.992374,6239.48,-1372.58,7612.07,-0.0382,0.0,0.0,0.0,-3.259327,-2.979715,-8.633469,-16.451726999999998,-12.0074200342,9.70526,0.007056000000000001,54
swarm_101_154.pdb,4,2,9,7,24,2,19,3,15,0,5,2,0,1,0,0.4375,0.43,0.54,0.6,0.5277777777777778,0.3670833333333334,0.4431578947368421,0.48666666666666664,0.436,0.0,0.41,0.0,0.758,0.0,0.635,1.08,1.2,4.75,8.81,8.42,1.46,6.54,0.0,0.41,0.0,3.79,0.0,1.27,35.15,32.65,2990.550000000003,1431.0900000000001,1559.4500000000007,2.0,2.6457513110645907,4.358898943540674,0.0,1.7320508075688772,3.872983346207417,1.4142135623730951,3.0,4.898979485566356,1.4142135623730951,2.23606797749979,0.0,1.4142135623730951,0.0,1.0,-1.2452,-5.36,-1.96,-10.4,-24.6,-229.8,10.64,-214.92,208.26,-2.44,-0.0031379999999999997,-6.72,65.0,38.0,-19.8,195.674,8.0,27.0,45.4,5.32,19.26,9.04,-377.2,-1.325283826,21.9,-11.548905,-10.03,-42.943999999999996,-92.8,-75.19,-6221.21,4.71,-24.93,19.15,32.92,-1397.3,-202.64,0.0,0.0,0.0,0.0,0.0,-85.6288,267.219,0.000178,-11.315,49.511,-22.759,35.92,34.101,-5.678999999999999,-6.327000000000001,0.0,-241.71,292.26,-262.93,50.51,4750.366,65.53506301899999,-2.668,2.855,1.818,-1.9040000000000001,93.63,-5368.0,33.83,-64.1,-5372.0,-1.8980000000000001,1.501,-0.1405,2.6510000000000002,75.81,-815.7,11.35,-4.158,-755.4,-6275.8242549999995,-6359.254989999999,7065.27,-2044.91,9110.18,-0.3851,0.0,0.0,0.0,-6.081763,-8.000857,1.712732,-21.004808999999998,-26.4651083252,8.65576,0.005441,93
swarm_101_181.pdb,1,2,1,9,18,7,7,0,20,0,3,1,1,2,0,0.44,0.3344444444444445,0.62,0.48,0.57,0.3055555555555556,0.42,0.0,0.49300000000000005,0.0,0.44499999999999995,0.52,0.8566666666666666,0.0,0.94,1.24,3.36,0.57,5.5,2.94,0.0,9.860000000000001,0.0,0.8899999999999999,0.52,2.57,0.0,0.94,34.55,32.73,2268.4199999999983,1033.2700000000023,1235.1499999999996,1.0,3.0,2.6457513110645907,0.0,0.0,4.47213595499958,1.4142135623730951,1.0,4.242640687119285,2.6457513110645907,1.7320508075688772,0.0,1.0,1.0,1.4142135623730951,2.3912,-5.566,3.4,-5.0,-17.6,-207.4,12.44,-187.98,189.78,-0.68,-0.039944,-1.96,72.8,41.2,-8.2,267.732,16.2,29.8,46.0,13.82,30.34,8.92,-325.2,-0.1138436368,17.4,-12.142416,-21.99,-35.349000000000004,-79.82,-70.49,-5356.98,2.51,-7.96,-41.93,5.48,-1226.97,-362.37,0.0,0.0,0.0,0.0,0.0,-54.7436,358.51099999999997,0.000242,-15.02,21.824,-17.498,5.053999999999999,-73.305,-5.846,-4.453,0.0,-193.31,184.01,-410.77,-1.59,2631.712,40.339452204299995,-2.7960000000000003,2.957,2.097,-1.038,298.6,-4666.0,38.14,-79.35,-4485.0,-2.314,2.115,-0.1715,1.7269999999999999,66.81,-733.0,11.77,-4.238,-682.2,-5539.274401,-5611.145985,3370.72,-1743.83,5114.56,0.0272,0.0,0.0,0.0,4.604426999999999,-4.088519,-1.6820259999999998,-12.994078,-18.4736322858,10.3302,0.0061530000000000005,72
swarm_101_49.pdb,0,1,4,13,16,4,11,4,21,0,5,2,0,0,0,0.0,0.3684615384615385,0.61,0.48500000000000004,0.41000000000000003,0.31437499999999996,0.4772727272727272,0.46499999999999997,0.5814285714285715,0.0,0.0,0.0,0.6519999999999999,0.0,0.84,0.61,1.9400000000000002,1.6400000000000001,5.029999999999999,5.249999999999999,1.8599999999999999,12.21,0.0,0.0,0.0,3.26,0.0,1.68,34.55,32.72,2718.040000000001,1350.6400000000012,1367.3999999999996,0.0,3.605551275463989,3.3166247903554,0.0,2.0,4.58257569495584,1.0,2.0,4.0,2.0,2.23606797749979,0.0,1.4142135623730951,0.0,0.0,-0.1982,-11.118,-1.0,-13.8,-20.4,-251.0,10.82,-222.04,221.14,-3.84,0.001038,-7.88,70.2,38.0,-20.6,215.39,17.8,31.8,48.0,-2.16,26.42,12.84,-372.6,-0.8611671928,25.8,-10.362419000000001,-19.87,-39.967,-82.92,-79.93,-5788.65,-6.1,-11.86,31.89,31.01,-1460.37,-557.15,0.0,0.0,0.0,0.0,0.0,-74.3916,61.9012,0.000181,-21.392,39.586999999999996,-60.083,12.187000000000001,-11.824000000000002,-5.291,-5.066,0.0,-246.04,334.45,-211.85,1.95,3777.966,47.219444395500005,-2.9730000000000003,2.957,-0.02978,-1.014,162.9,-4963.0,16.05,-52.3,-4869.0,-2.246,1.5219999999999998,-1.136,3.467,49.58,-758.0,7.382000000000001,-1.499,-717.3,-5982.9979840000005,-6049.365698,4974.19,-1845.23,6819.43,-0.059000000000000004,0.0,0.0,0.0,0.465182,-10.394565,3.7600589999999996,-14.175679999999998,-20.2460150279,14.8154,0.006086,81
swarm_101_50.pdb,11,4,3,5,7,8,19,0,18,1,2,0,2,1,2,0.4327272727272726,0.382,0.49749999999999994,0.6012500000000001,0.43333333333333335,0.30571428571428566,0.4157894736842106,0.0,0.4755555555555555,0.5349999999999999,0.57,0.645,0.5650000000000001,1.0,0.0,1.9899999999999998,4.8100000000000005,1.3,2.1399999999999997,7.900000000000001,0.0,8.559999999999999,1.0699999999999998,0.57,1.29,1.1300000000000001,1.0,0.0,35.33,33.49,2775.9799999999996,1326.0400000000009,1449.9399999999987,3.3166247903554,2.23606797749979,4.358898943540674,1.4142135623730951,0.0,4.242640687119285,2.0,1.7320508075688772,2.6457513110645907,2.8284271247461903,1.4142135623730951,1.0,0.0,1.4142135623730951,1.0,-1.2932,6.007999999999999,-1.18,-10.8,-34.6,-223.8,3.3,-187.28,177.06,-1.48,0.234442,-0.38,36.8,14.2,-28.0,170.956,-7.6,11.4,22.0,-3.1,2.28,-3.08,-322.2,-0.0453628316,-2.4,-8.015979,-17.68,-40.578,-91.01,-82.83,-5723.74,-5.37,7.52,10.8,29.26,-1809.06,-611.48,0.0,0.0,0.0,0.0,0.0,-37.4243,443.543,0.000223,-8.952,20.708000000000002,-41.075,7.648,-68.399,-2.8489999999999998,-1.55,0.0,-279.82,157.03,-280.7,-156.86,3418.9120000000003,62.2194087775,-2.248,2.29,1.081,-0.3532,166.5,-5119.0,25.24,-53.29,-5031.0,-1.494,0.8932,-1.2009999999999998,3.1910000000000003,61.83,-783.3,8.542,-3.886,-733.9,-6007.343629999999,-6090.54297,5356.19,-1966.74,7322.93,-0.0189,0.0,0.0,0.0,-10.914408,-12.547215,-12.691423,-19.820288,-24.6008928942,19.1834,0.004964,83
swarm_10_157.pdb,1,1,7,6,16,2,9,3,14,0,1,3,1,2,0,0.48,0.37999999999999995,0.49,0.465,0.4942857142857143,0.323125,0.38222222222222224,0.5066666666666667,0.6071428571428571,0.0,0.87,0.65,0.83,0.0,0.6933333333333332,0.49,0.93,3.46,5.17,3.44,1.52,8.5,0.0,1.74,0.65,0.83,0.0,2.0799999999999996,34.3,33.18,1948.1899999999987,981.5100000000002,966.6900000000005,1.0,2.449489742783178,3.0,0.0,1.7320508075688772,3.7416573867739413,1.0,2.6457513110645907,4.0,1.4142135623730951,1.0,0.0,1.7320508075688772,1.0,1.4142135623730951,-0.0282,-0.474,-1.18,-8.0,-25.4,-187.2,6.9,-173.84,169.56,-2.48,-0.070034,-3.44,51.6,26.4,-18.0,166.726,8.2,17.8,31.6,3.68,21.22,9.94,-298.6,0.01304639,11.4,-10.824364,-12.21,-31.531999999999996,-68.06,-58.21,-5121.58,-11.16,-8.95,33.03,1.54,-1112.39,-143.72,0.0,0.0,0.0,0.0,0.0,-65.0788,-29.3177,0.00037200000000000004,-9.949,23.558000000000003,-62.419,7.367999999999999,-12.219000000000001,-4.812,-4.58,0.0,-217.78,198.89,-494.7,56.9,2363.82,42.0808287375,-2.98,3.0639999999999996,1.473,-0.2395,31.58,-3655.0,24.42,-35.26,-3683.0,-2.221,1.64,-2.0340000000000003,1.151,28.01,-523.1,0.2522,-6.456,-501.8,-5174.067422,-5252.398781,3549.91,-1513.55,5063.45,0.0947,0.0,0.0,0.0,-8.536671,-14.811637,-7.898983,-17.851497,-11.845330714100001,13.8752,0.004697,66
swarm_101_9.pdb,3,2,7,4,13,1,16,1,17,0,3,0,0,3,0,0.5066666666666667,0.3725,0.495,0.55,0.4514285714285714,0.39384615384615385,0.40125,0.55,0.41294117647058837,0.0,0.5,0.0,0.7466666666666666,0.0,0.0,0.99,0.55,3.1599999999999997,5.12,6.42,0.55,7.020000000000002,0.0,1.5,0.0,2.2399999999999998,0.0,0.0,34.98,32.51,2350.760000000002,1104.6299999999992,1246.130000000001,1.7320508075688772,2.0,4.0,0.0,1.0,4.123105625617661,1.4142135623730951,2.6457513110645907,3.605551275463989,1.0,1.7320508075688772,0.0,0.0,0.0,1.7320508075688772,4.2544,2.224,7.58,-6.2,-6.2,-128.4,14.08,-128.94,163.66,0.12,0.041802,0.24,62.2,36.4,-6.4,128.06799999999998,22.2,39.8,52.8,13.58,28.04,25.66,-268.0,0.697097138,20.8,-5.961212000000001,-5.69,-31.746,-52.8,-50.72,-2888.77,15.76,-10.22,75.19,68.78,-1021.06,65.07,0.0,0.0,0.0,0.0,0.0,-51.6826,269.276,0.000192,7.0889999999999995,43.667,0.731,50.82899999999999,43.038999999999994,-6.812,-7.63,0.0,-148.78,304.44,55.78,51.56,4135.723,73.9971259125,-3.048,3.237,2.33,-1.632,149.4,-4225.0,29.18,-47.84,-4152.0,-2.2230000000000003,1.95,1.4409999999999998,3.3,31.92,-617.5,15.92,0.0964,-601.4,-5041.444243999999,-5101.209524,5865.63,-1511.74,7377.37,0.0863,0.0,0.0,0.0,3.5575639999999997,2.46726,11.04322,-3.599424,-17.4849419214,8.16201,0.005843,70
swarm_10_2.pdb,1,4,4,1,11,2,12,0,16,0,0,1,2,2,0,0.48,0.31,0.5650000000000001,0.47,0.5025,0.3936363636363636,0.48583333333333334,0.0,0.515,0.0,0.87,0.7949999999999999,0.0,0.0,0.74,2.2600000000000002,0.94,2.01,4.33,5.83,0.0,8.24,0.0,1.74,1.5899999999999999,0.0,0.0,0.74,34.45,33.33,1832.5300000000025,1005.5200000000004,827.0200000000004,1.0,1.0,3.4641016151377544,0.0,0.0,4.0,2.0,2.0,3.3166247903554,1.4142135623730951,0.0,0.0,1.0,1.4142135623730951,1.4142135623730951,0.0094,-5.6579999999999995,-2.22,-7.8,-21.8,-137.0,5.56,-133.32,125.5,-3.14,-0.052884,-8.4,43.4,20.8,-16.8,142.142,4.8,13.0,24.6,5.38,12.88,6.1,-229.8,-1.788046676,13.1,-9.841192999999999,-7.91,-26.69,-50.72,-44.27,-4446.15,9.03,-7.29,-46.12,-7.15,-985.74,-285.96,0.0,0.0,0.0,0.0,0.0,-25.4134,-49.1589,0.000386,-2.807,32.451,-52.06399999999999,24.438000000000002,-54.983000000000004,-2.693,-1.6480000000000001,0.0,-168.94,153.99,-198.84,-72.97,2133.916,29.616296739299997,-2.219,2.2969999999999997,1.238,-0.2044,308.3,-3176.0,16.44,-32.07,-2916.0,-1.421,0.7105,-0.9031,2.8110000000000004,18.88,-471.0,4.98,-3.096,-460.2,-4618.187016,-4671.015282,3753.76,-1276.54,5030.3,-0.0118,0.0,0.0,0.0,-6.067601,-7.920758999999999,1.5287600000000001,-10.217761,-13.832570101400002,6.5771,0.006481999999999999,56
