Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_13.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,35.45,1417.5700000000033,683.0900000000001,734.4699999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1912,-1.4480000000000002,3.68,3.0,-14.4,-150.2,4.1,-149.24,131.18,3.06,-0.022080000000000002,5.28,25.2,22.0,-6.0,70.682,4.0,13.0,16.4,1.78,15.44,7.6,-232.4,0.4211419618,-6.0,-9.290047999999999,-17.29,-25.057,-41.02,-37.48,-3470.74,13.19,1.5,-23.5,-17.64,-1213.96,-453.4,0.0,0.0,0.0,0.0,0.0,-44.9566,-30.8557,0.000472,-3.787,12.974,-38.184,5.369,-253.84900000000002,-2.509,2.314,0.0,-98.27,-12.88,-580.72,43.41,266.29900000000004,28.411971590100002,-3.677,3.5589999999999997,-0.1105,0.2189,109.4,-2814.0,3.014,-46.84,-2754.0,-3.1210000000000004,3.048,0.9763,1.758,30.6,-391.2,8.283,-2.6180000000000003,-371.5,-4587.608618,-4633.912616,1885.85,-1266.92,3152.77,-0.0403,0.0,0.0,0.0,1.972546,-3.210851,2.814175,-7.195385000000001,-9.93095215521,4.12068,0.0,0
swarm_0_155.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.42,36.25,1601.2999999999993,808.2900000000009,793.0099999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2512,-10.13,-3.4,-14.2,-30.6,-172.2,1.9,-157.58,145.06,-4.96,-0.052365999999999996,-9.04,39.2,20.4,-22.2,65.16199999999999,2.0,8.6,17.8,-4.2,-1.78,5.2,-276.8,-0.9180171732,11.5,-8.312732,-16.67,-26.145,-54.87,-48.97,-4584.69,-12.11,-6.54,4.15,10.43,-1168.89,-159.61,0.0,0.0,0.0,0.0,0.0,-16.8347,569.981,0.000466,-5.7589999999999995,16.097,-6.975,9.641,-158.131,-3.8939999999999997,-0.889,0.0,-130.9,191.92,-252.26,-50.23,1271.0910000000001,40.1161045386,-2.9610000000000003,2.975,1.1059999999999999,0.6073,71.01,-3151.0,15.02,-59.99,-3156.0,-2.408,1.87,-1.206,2.625,16.48,-482.7,2.104,-2.8760000000000003,-471.2,-4674.037731,-4755.553919,2097.47,-1342.66,3440.14,-0.0348,0.0,0.0,0.0,-7.3994539999999995,-11.124817,-5.0300400000000005,-13.039402,-9.84687894991,0.769936,0.0,0
swarm_0_164.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.02,36.45,1670.5200000000004,727.1999999999989,943.3199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8252,-3.56,2.4,-7.6,-19.8,-201.2,4.48,-207.66,193.62,-0.94,0.056244,-2.44,53.2,36.0,-8.0,96.848,19.0,30.0,33.2,-0.08,13.1,16.16,-342.4,-0.25224867219999997,14.4,-5.193732,-16.38,-26.523000000000003,-52.93,-49.02,-3826.0,-22.23,-4.99,11.74,27.23,-1233.12,30.35,0.0,0.0,0.0,0.0,0.0,-18.6461,672.5110000000001,0.00042300000000000004,-0.674,8.958,49.641000000000005,13.248,-316.361,-7.276,-1.265,0.0,-39.52,176.69,-709.63,131.9,1991.45,48.2183538151,-3.997,4.013999999999999,1.061,0.02325,-223.8,-3503.0,16.7,-67.93,-3811.0,-3.095,3.023,1.895,2.424,-44.26,-474.4,13.54,-3.406,-535.6,-4742.048297,-4824.917511,2531.58,-1356.49,3888.08,-0.0291,0.0,0.0,0.0,-5.744747,-10.157766,-2.300565,-13.738648000000001,-13.240591441300001,5.24297,0.0,0
swarm_0_37.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.33,35.95,1416.3400000000001,651.039999999999,765.289999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0406,-4.55,4.84,-7.0,-19.0,-136.2,5.86,-123.4,127.18,0.28,0.11753,-1.88,30.0,19.6,-8.4,34.85,2.6,12.8,17.8,1.46,12.86,14.94,-224.0,0.23700104600000002,3.1,-6.051880000000001,-12.78,-22.843000000000004,-39.03,-35.63,-3329.5,39.94,5.05,-9.44,11.03,-1218.98,-483.46,0.0,0.0,0.0,0.0,0.0,-46.465,-36.8757,0.000558,3.193,10.482999999999999,-38.965,9.78,-125.311,-2.844,-0.46299999999999997,0.0,-87.7,122.06,-537.03,-1.88,-213.297,42.7204283085,-3.466,3.301,-1.325,-0.4217,123.4,-2988.0,-6.166,-68.7,-2928.0,-2.832,2.503,-0.9705,1.175,4.736000000000001,-372.0,1.598,-6.438,-375.3,-4308.299814999999,-4359.539345,2446.87,-1151.52,3598.4,-0.0756,0.0,0.0,0.0,9.603861,7.971102,0.726241,-13.318501999999999,-10.4043312176,-0.8009539999999999,0.0,0
swarm_100_101.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.56,36.58,1455.4500000000007,743.1700000000001,712.289999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.862,2.418,5.38,-4.8,-10.4,-130.4,5.48,-105.28,110.8,1.02,0.039586,-1.5,14.2,6.2,-11.2,10.254000000000001,7.0,15.0,15.0,3.96,9.18,5.66,-196.6,-0.138878038,4.7,-8.641869,-11.17,-19.199,-30.38,-26.18,-3352.29,13.01,3.39,42.76,17.63,-699.6,-51.64,0.0,0.0,0.0,0.0,0.0,11.593,505.903,0.00044500000000000003,5.846,12.975999999999999,-2.546,18.567999999999998,-2.114,-4.832,-4.792,0.0,-84.18,45.45,-345.56,-51.43,3567.197,14.78429341,-1.838,1.7919999999999998,-1.025,-1.694,106.8,-2559.0,-6.371,-6.564,-2452.0,-0.1731,0.02444,-0.1243,0.8132,41.93,-369.3,1.9509999999999998,-1.077,-330.4,-3864.2431009999996,-3905.825775,1009.02,-1020.92,2029.94,0.0413,0.0,0.0,0.0,0.854467,0.780698,-3.46256,-9.628903999999999,-7.06833260598,2.95821,0.0,0
swarm_100_133.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.36,36.39,1424.2499999999964,766.8099999999995,657.4499999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1502,-3.694,-2.44,-4.6,-24.4,-114.8,-2.2,-114.9,86.32,-0.82,0.005448,-2.34,0.4,-3.2,-17.6,46.784,-3.2,1.2,1.6,-5.84,-6.2,-2.48,-178.4,-0.706547832,-2.4,-7.96992,-12.07,-21.01,-31.39,-27.77,-3079.51,-11.7,-10.94,-2.59,-2.42,-900.44,-134.97,0.0,0.0,0.0,0.0,0.0,-53.077,-6.569610000000001,0.0005780000000000001,-18.291,13.062999999999999,-21.029,-7.331,-20.45,-2.261,-1.8719999999999999,0.0,-101.28,-47.43,-341.98,-134.2,3430.156,29.5987037998,-3.1189999999999998,3.03,0.9953,1.176,94.91,-2465.0,5.688,-3.0239999999999996,-2379.0,-2.437,2.095,-0.2987,1.4569999999999999,11.64,-349.7,2.675,-3.361,-344.1,-4054.6226880000004,-4095.905302,1488.41,-1108.24,2596.65,-0.1387,0.0,0.0,0.0,-4.8060730000000005,-5.761425,-4.318465,-9.251688,-8.95354462215,4.16681,0.0,0
swarm_10_100.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.23,35.44,1313.7500000000036,424.3899999999994,889.3600000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3368,0.10800000000000001,5.8,1.2,-14.6,-134.4,3.82,-139.1,123.62,1.98,0.061917999999999994,2.2,20.2,14.4,-7.4,47.41,11.8,19.4,21.6,0.9,5.28,3.08,-224.4,0.32594376,4.6,-8.450155,-16.81,-20.067999999999998,-52.22,-45.37,-2140.42,-1.24,3.42,-9.35,-9.22,-754.79,-413.7,0.0,0.0,0.0,0.0,0.0,-30.1573,39.0474,0.000543,4.155,-15.972000000000001,-33.5,-15.167,-97.941,-3.702,-1.841,0.0,-77.51,65.22,-325.38,-2.16,-48.746,33.0962458034,-2.445,2.418,0.175,-1.374,-106.6,-2405.0,4.988,-23.34,-2540.0,-1.298,1.858,1.876,-1.4569999999999999,22.64,-342.1,8.78,-8.058,-336.3,-3972.880883,-4014.082591,782.91,-1057.64,1840.54,0.1282,0.0,0.0,0.0,-1.2918379999999998,-10.032492,3.315289,-9.809545,-14.531240495999999,-1.38015,0.0,0
swarm_10_111.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.27,36.28,1247.2000000000007,598.0699999999997,649.130000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6016,-0.99,1.94,-3.8,-17.0,-114.2,2.0,-96.64,90.16,-0.22,0.095278,1.42,11.8,3.6,-13.8,55.403999999999996,-1.4,5.2,9.0,-2.66,3.72,6.74,-162.8,0.019264852,-1.0,-8.747738,-11.57,-19.256,-26.25,-23.64,-2274.24,0.3,-4.3,-17.77,-5.6,-771.59,-216.04,0.0,0.0,0.0,0.0,0.0,-65.1151,-92.3327,0.00042699999999999997,-14.16,4.974,-48.435,-14.029000000000002,-98.583,-0.06,1.8130000000000002,0.0,-73.95,13.18,-260.85,-127.83,2420.266,23.9029539106,-1.1440000000000001,1.114,-0.7128,-1.163,404.2,-2226.0,-2.4290000000000003,-46.29,-1866.0,-1.068,0.6661,-0.9771,1.696,59.41,-313.4,0.5429999999999999,-0.267,-254.8,-3931.0380119999995,-3962.0729840000004,993.04,-1013.86,2006.9,-0.046,0.0,0.0,0.0,4.258397,1.039528,-6.770653,-14.836179000000001,-7.857552395739999,-2.19161,0.0,0
swarm_101_145.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.14,36.53,1398.5300000000025,734.8500000000004,663.6799999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8572,-7.1979999999999995,5.14,-8.0,-13.4,-118.6,7.04,-108.54,116.74,-1.52,-0.020028,-4.6,41.8,22.4,-9.4,123.416,14.4,21.2,30.6,8.12,14.96,1.52,-194.2,-0.4253727676,18.9,-6.5063059999999995,-14.43,-21.61,-35.84,-30.63,-1084.6,-11.67,-4.72,-19.52,6.98,-787.52,-190.16,0.0,0.0,0.0,0.0,0.0,6.17874,298.99,0.000503,-1.053,16.272000000000002,-25.541,12.665,32.635,-6.01,-6.63,0.0,-172.26,131.49,-263.23,-2.4,2494.276,46.8048662802,-3.835,3.909,1.806,-0.8935,161.3,-2991.0,16.64,-47.65,-2894.0,-2.43,2.41,1.082,2.315,70.94,-484.6,8.033999999999999,-1.103,-422.8,-4131.882857,-4191.883191,1885.27,-1116.92,3002.18,0.0624,0.0,0.0,0.0,-4.260619999999999,-7.644817,-10.436828,-18.16275,-3.7333034920199997,3.9601300000000004,0.0,0
swarm_102_155.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.27,36.28,990.0699999999997,484.5100000000002,505.5600000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.155,-5.518,-0.74,-9.2,-14.0,-95.6,4.52,-75.7,82.82,-3.14,0.0017219999999999998,-5.9,30.0,14.4,-7.6,109.214,6.6,10.8,16.4,5.22,-2.62,-2.98,-146.8,-0.37761898520000003,12.6,-7.780086,-10.71,-16.239,-28.94,-20.07,-1455.94,-22.95,-10.07,-17.76,-5.65,-729.71,-444.4,0.0,0.0,0.0,0.0,0.0,-50.2498,17.8489,0.0007,-17.065,11.205,-25.045,-8.365,-324.16900000000004,-2.985,3.174,0.0,-110.27,101.87,-204.79,2.97,966.4839999999999,19.2484960705,-3.055,3.11,1.4669999999999999,-0.3366,-175.3,-1688.0,9.212,15.79,-1857.0,-3.196,2.875,-0.1342,1.761,-31.59,-229.3,2.137,1.125,-261.9,-3566.7185200000004,-3605.720989,752.36,-893.12,1645.47,-0.0605,0.0,0.0,0.0,-3.8212410000000006,-1.853782,-5.547205,-8.950919,-10.1606379214,-2.38572,0.0,0
