Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_149.pdb,9,2,15,5,17,1,19,10,8,0,8,0,0,5,0,0.42666666666666664,0.386,0.495,0.56,0.4633333333333333,0.40470588235294125,0.44631578947368417,0.4910000000000001,0.495,0.0,0.462,0.0,0.61,0.0,0.0,0.99,0.56,6.95,6.880000000000001,8.479999999999999,4.910000000000001,3.96,0.0,2.31,0.0,4.88,0.0,0.0,25.91,42.26,2840.6100000000006,1385.3499999999985,1455.260000000002,3.0,2.23606797749979,4.358898943540674,0.0,3.1622776601683795,2.8284271247461903,1.4142135623730951,3.872983346207417,4.123105625617661,1.0,2.8284271247461903,0.0,0.0,0.0,2.23606797749979,4.8738,-7.14,12.42,-8.4,-22.8,-307.4,9.7,-305.96,307.04,0.24,0.004842,-1.24,49.0,32.4,-28.6,123.36,34.8,53.4,61.8,-8.74,22.58,18.92,-522.4,0.48340959999999994,5.3,-6.748365,-16.25,-34.3508,-86.49,-69.51,-4113.39,-25.74,-15.05,53.39,46.68,-1516.42,181.22,0.0,0.0,0.0,0.0,0.0,-58.9632,364.12,0.000172,-24.166999999999998,27.291999999999998,-17.805999999999997,1.344,29.178,-4.189,-4.744,0.0,-157.86,209.06,-346.07,-95.87,1174.772,28.6656888247,-4.1739999999999995,4.158,0.09218,-1.76,-170.1,-5245.0,8.334,-28.34,-5452.0,-2.795,2.549,-0.3424,2.0,50.29,-848.0,12.59,-4.495,-814.8,-5237.564084000001,-5324.249661,4087.0,-1692.57,5779.57,-0.0753,0.0,0.0,0.0,1.764266,-11.978688,-3.173427,-26.192518,-22.8033804056,22.5216,0.0043939999999999995,99
swarm_0_83.pdb,1,1,4,4,12,1,3,0,9,0,6,1,0,8,1,0.58,0.4075,0.63,0.57,0.40499999999999997,0.32083333333333336,0.40666666666666673,0.0,0.4755555555555555,0.44,0.38125000000000003,0.0,0.6216666666666667,0.0,0.67,0.63,0.57,1.6199999999999999,3.85,1.2200000000000002,0.0,4.279999999999999,0.44,3.0500000000000003,0.0,3.73,0.0,0.67,26.21,41.55,1565.1599999999962,655.2799999999988,909.8600000000006,1.0,2.0,1.7320508075688772,1.0,0.0,3.0,1.0,2.0,3.4641016151377544,1.0,2.449489742783178,0.0,1.0,0.0,2.8284271247461903,1.9336,3.762,2.34,-1.6,-3.4,-148.8,6.84,-142.2,139.04,1.24,-0.024791999999999998,3.48,42.4,27.6,2.6,69.278,18.2,25.2,29.8,5.5,6.48,13.46,-226.0,1.245552468,13.9,-6.6905589999999995,-14.02,-21.98,-58.54,-40.53,-2903.83,20.63,4.62,-0.53,27.98,-747.83,-228.23,0.0,0.0,0.0,0.0,0.0,-17.5712,260.663,0.000362,-4.274,12.452,-11.445,7.0329999999999995,5.462999999999999,-5.657,-5.761,0.0,-100.69,80.0,-440.32,79.38,2002.326,21.0846786678,-3.358,3.362,1.297,0.3262,-325.2,-2746.0,13.83,-12.53,-3098.0,-2.41,2.612,0.8961,-0.09689,-11.04,-400.4,9.757,-6.204,-427.4,-3765.6568700000003,-3809.366245,1398.5,-1149.57,2548.07,0.2349,0.0,0.0,0.0,11.287225999999999,14.022067999999999,4.743457,-2.682266,-9.69880111376,19.4523,0.004431,51
swarm_100_170.pdb,7,2,4,0,4,0,9,9,6,0,0,1,1,0,0,0.43000000000000005,0.0,0.52,0.0,0.4575,0.3,0.47111111111111115,0.5122222222222221,0.48666666666666675,0.0,0.0,0.53,0.0,0.0,0.94,1.04,0.0,1.83,1.2,4.24,4.609999999999999,2.9200000000000004,0.0,0.0,0.53,0.0,0.0,0.94,26.06,42.25,1387.5199999999968,665.5400000000009,721.9799999999996,2.6457513110645907,0.0,3.0,0.0,3.0,2.449489742783178,1.4142135623730951,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.98,0.696,5.6,-9.4,-13.8,-149.2,6.86,-115.0,128.14,-2.24,0.032612,-2.72,38.2,21.2,-11.0,76.608,9.6,17.4,26.6,7.28,14.66,9.86,-211.2,1.247661222,11.0,-7.488064,-10.93,-19.4939,-39.9,-37.63,-2466.05,-10.93,-8.63,-13.36,0.39,-747.5,-251.78,0.0,0.0,0.0,0.0,0.0,-52.8121,-34.931999999999995,0.000503,-15.239,12.995999999999999,-41.157,-6.358,-25.513,-2.772,-2.287,0.0,-59.08,152.26,-369.53,-41.09,468.92199999999997,2.8898058512700002,-1.39,1.145,-2.254,-0.029639999999999996,107.6,-2847.0,-11.84,-27.93,-2755.0,-0.6905,-0.2515,-1.943,3.449,33.64,-450.1,0.7726,0.5278,-416.7,-3493.577153,-3542.8025759999996,2483.54,-1045.65,3529.18,0.0034,0.0,0.0,0.0,3.692501,0.46757299999999996,-2.780773,-12.430186,-14.7027663705,19.8905,0.002372,43
swarm_101_83.pdb,2,1,2,9,14,4,3,0,9,0,7,3,0,4,0,0.48,0.40666666666666673,0.58,0.6175,0.48,0.3742857142857144,0.38000000000000006,0.0,0.41222222222222216,0.0,0.4724999999999999,0.0,0.5928571428571427,0.0,0.7399999999999999,0.58,2.47,0.96,5.240000000000001,1.1400000000000001,0.0,3.7099999999999995,0.0,1.8899999999999997,0.0,4.1499999999999995,0.0,2.2199999999999998,26.08,41.8,1965.8799999999974,700.9500000000007,1264.9199999999983,1.4142135623730951,3.0,1.7320508075688772,0.0,0.0,3.0,1.0,1.4142135623730951,3.7416573867739413,2.0,2.6457513110645907,0.0,1.7320508075688772,0.0,2.0,0.9248,0.7659999999999999,6.78,5.8,-1.8,-154.6,8.5,-182.94,173.14,6.3,0.041968,9.52,34.4,25.2,-0.2,101.31200000000001,20.4,28.0,33.6,-4.48,14.14,14.3,-293.4,2.03165755,1.5,-7.1777050000000004,-17.24,-26.2888,-58.19,-51.15,-3972.65,16.12,-3.41,25.11,30.5,-843.1,-31.56,0.0,0.0,0.0,0.0,0.0,-36.5451,92.8032,0.000241,-1.137,11.088,-30.905,6.86,-12.754000000000001,-3.767,-3.5239999999999996,0.0,-49.34,100.56,-266.98,64.39,4109.287,1.00191263994,-2.844,2.8930000000000002,1.046,-0.6264,-266.7,-3344.0,14.19,3.76,-3621.0,-1.597,1.732,0.4864,-0.1956,13.23,-477.3,9.838,-5.693,-479.6,-4241.359447999999,-4295.018768,1345.32,-1368.34,2713.66,0.1062,0.0,0.0,0.0,4.538848000000001,-0.21950300000000003,7.174531,-11.625314,-20.9838871369,21.3272,0.003431,58
swarm_103_103.pdb,0,1,6,2,6,2,9,2,3,1,6,0,2,7,1,0.0,0.53,0.53,0.6950000000000001,0.425,0.4649999999999999,0.4888888888888888,0.45999999999999996,0.6699999999999999,0.34,0.4185714285714286,0.52,0.6083333333333333,0.9,0.0,0.53,1.3900000000000001,2.55,2.7899999999999996,4.3999999999999995,0.9199999999999999,2.01,0.34,2.93,1.04,3.65,0.9,0.0,25.81,42.39,1882.1599999999962,757.9799999999996,1124.1800000000003,0.0,1.4142135623730951,3.0,1.0,1.4142135623730951,1.7320508075688772,1.0,2.449489742783178,2.449489742783178,1.4142135623730951,2.449489742783178,1.0,0.0,1.4142135623730951,2.6457513110645907,-1.412,-6.396,-5.72,-5.8,-23.8,-140.6,-3.62,-151.54,120.32,-2.5,-6.8e-05,-5.7,5.4,0.6,-21.0,44.68,-0.4,7.8,5.8,-7.04,-0.34,-12.52,-244.4,-1.63950348,-11.8,-9.511778999999999,-23.05,-32.7963,-70.73,-53.52,-3777.1,-0.24,-4.32,-52.33,-22.92,-1464.28,-745.28,0.0,0.0,0.0,0.0,0.0,-61.1979,-117.6,0.000272,-10.196,-0.059000000000000004,-46.994,-14.954,-144.636,-0.8809999999999999,1.867,0.0,-124.94,-64.75,-207.47,-169.11,-4434.729,2.3969105155,-2.9410000000000003,2.8160000000000003,-0.6722,0.3746,44.75,-4093.0,1.328,-15.43,-4065.0,-3.048,2.715,-1.4080000000000001,1.463,35.68,-477.9,2.835,-1.2409999999999999,-446.3,-4999.982502000001,-5055.822886999999,1172.1,-1688.09,2860.19,-0.0893,0.0,0.0,0.0,-10.44696,-8.938842999999999,-4.223825,-11.391614,-22.7237966654,19.5002,0.006208,48
swarm_103_157.pdb,1,2,4,5,8,8,3,0,8,1,2,4,2,5,2,0.48,0.392,0.58,0.57125,0.3925,0.40750000000000003,0.5066666666666667,0.0,0.5125000000000001,0.34,0.33999999999999997,0.52,0.5650000000000001,0.9,0.73,1.16,4.57,1.57,3.2600000000000002,1.52,0.0,4.1000000000000005,0.68,1.7,1.04,1.1300000000000001,0.9,2.92,25.81,42.39,2006.699999999997,852.9800000000032,1153.7200000000012,1.0,2.23606797749979,1.7320508075688772,1.4142135623730951,0.0,2.8284271247461903,1.4142135623730951,2.0,2.8284271247461903,2.8284271247461903,1.4142135623730951,1.0,2.0,1.4142135623730951,2.23606797749979,3.3442,-0.122,5.1,-0.6,-12.2,-108.8,5.4,-128.12,134.38,2.38,0.047732,3.46,27.2,15.0,-6.2,98.46799999999999,15.4,23.2,26.0,1.86,7.56,10.1,-243.2,0.061661952,-2.4,-3.238179,-13.24,-25.9438,-54.61,-48.44,-3192.79,-0.33,-9.96,36.0,52.5,-1101.25,79.54,0.0,0.0,0.0,0.0,0.0,-37.0506,290.242,0.000213,0.376,2.7769999999999997,-4.596,2.693,-131.838,-3.4760000000000004,-0.971,0.0,-46.66,92.42,-36.07,-114.4,-408.13300000000004,6.1856854092799995,-2.8080000000000003,2.8569999999999998,0.06521,-2.585,-198.4,-3325.0,3.3080000000000003,-2.0540000000000003,-3529.0,-1.879,1.883,1.205,1.702,-4.908,-481.3,10.36,1.671,-494.9,-4172.401597,-4209.632845,2101.16,-1368.88,3470.04,0.0728,0.0,0.0,0.0,-2.2897950000000002,-4.26567,-5.720092,-15.130844,-20.7354910918,22.3511,0.0064,55
swarm_10_34.pdb,1,2,4,4,12,2,4,2,0,0,5,2,2,1,1,0.32,0.4125,0.46499999999999997,0.6699999999999999,0.43,0.375,0.5249999999999999,0.49,0.0,0.51,0.48,0.52,0.6279999999999999,0.0,0.6000000000000001,0.9299999999999999,1.3399999999999999,1.72,4.5,2.0999999999999996,0.98,0.0,0.51,0.48,1.04,3.1399999999999997,0.0,1.2000000000000002,25.86,42.29,1520.0800000000017,562.7799999999988,957.2999999999993,1.0,2.0,2.0,1.0,1.4142135623730951,0.0,1.4142135623730951,2.0,3.4641016151377544,1.4142135623730951,2.23606797749979,0.0,1.4142135623730951,1.4142135623730951,1.0,0.7886,-1.868,-1.84,0.6,-16.8,-135.6,-2.7,-171.42,141.18,-1.08,-0.073924,-3.48,14.2,8.8,-15.4,18.694000000000003,15.6,25.8,24.8,-7.72,11.2,-10.6,-271.2,-2.355084344,-2.4,-8.562851,-15.4,-22.8002,-46.15,-35.6,-2751.36,-20.27,-15.06,-28.72,-15.96,-972.72,-285.83,0.0,0.0,0.0,0.0,0.0,-32.7186,242.69,0.00039,-10.972999999999999,-0.033,-11.139000000000001,-12.12,-94.03299999999999,-2.5469999999999997,-0.76,0.0,-41.94,34.07,-133.5,-20.15,4576.647,2.64240860473,-4.025,3.958,-0.09841,-0.9796,-194.2,-2454.0,3.64,-20.08,-2672.0,-1.784,1.886,0.030289999999999997,-0.361,34.31,-443.4,7.359,-4.555,-421.0,-3937.891153,-3968.2024899999997,415.27,-1210.71,1625.98,-0.1292,0.0,0.0,0.0,-3.670171,-8.311484,-1.6540130000000002,-15.057426999999999,-14.5441480378,17.1707,0.007451999999999999,42
swarm_103_86.pdb,4,3,11,9,21,3,5,2,7,0,11,4,2,14,2,0.5125,0.43444444444444447,0.5933333333333333,0.62,0.45363636363636367,0.35428571428571437,0.40599999999999997,0.525,0.47285714285714286,0.51,0.4835714285714286,0.525,0.6445454545454545,0.0,0.5825,1.7799999999999998,1.86,4.99,7.440000000000001,2.03,1.05,3.31,1.02,6.7700000000000005,1.05,7.09,0.0,2.33,26.5,41.34,2514.12000000001,878.5299999999988,1635.5800000000017,2.0,3.0,2.23606797749979,1.4142135623730951,1.4142135623730951,2.6457513110645907,1.7320508075688772,3.3166247903554,4.58257569495584,1.7320508075688772,3.3166247903554,0.0,2.0,1.4142135623730951,3.7416573867739413,9.0038,8.762,9.76,5.8,-15.8,-264.0,6.86,-339.82,321.72,5.78,-0.016446000000000002,7.06,56.6,49.6,-3.2,148.114,51.8,73.0,74.8,2.0,30.24,23.04,-556.4,-0.0213974162,-3.3,-11.475267,-27.51,-40.4049,-117.15,-95.98,-6055.12,2.55,-11.99,85.57,52.15,-1354.57,59.83,0.0,0.0,0.0,0.0,0.0,-73.2974,673.045,0.00020299999999999997,-10.966,3.2,25.685,-5.197,-119.15299999999999,-7.558,-5.294,0.0,-105.96,84.43,-337.03,74.88,-181.018000001,-9.36057795584,-2.842,2.782,0.003587,-0.9058,-323.3,-5273.0,8.147,-63.15,-5668.0,-2.44,2.411,1.442,2.61,21.16,-828.8,21.33,-4.333,-833.3,-5937.802649,-6020.173735,1190.58,-2097.38,3287.95,0.0258,0.0,0.0,0.0,10.351001,1.471842,9.903615,-23.962062,-26.828497837600004,21.0758,0.005786,98
swarm_105_137.pdb,0,1,2,4,8,3,4,1,6,0,2,3,1,4,0,0.0,0.4075,0.63,0.48333333333333334,0.48,0.43625,0.48,0.44,0.4333333333333334,0.0,0.445,0.52,0.765,0.0,0.6433333333333333,0.63,1.45,0.96,3.49,1.92,0.44,2.6000000000000005,0.0,1.78,0.52,1.53,0.0,1.93,25.94,41.98,1486.25,516.3600000000006,969.9000000000015,0.0,2.0,2.0,0.0,1.0,2.449489742783178,1.0,1.4142135623730951,2.8284271247461903,1.7320508075688772,1.4142135623730951,0.0,1.7320508075688772,1.0,2.0,3.5464,1.4180000000000001,4.28,-0.4,-3.4,-93.0,6.44,-115.24,123.24,1.86,0.035566,1.74,30.2,22.2,-0.4,89.988,23.2,32.6,35.4,2.92,15.84,8.98,-209.6,0.24047007,3.7,-7.233759,-14.78,-21.5652,-56.32,-46.49,-2015.23,8.95,2.96,-18.58,0.95,-697.15,-394.65,0.0,0.0,0.0,0.0,0.0,-18.1466,189.787,0.00040199999999999996,-1.8559999999999999,3.536,-42.867,-2.6069999999999998,-55.413000000000004,-2.2030000000000003,-1.15,0.0,-83.95,74.79,-31.69,-0.88,3077.0029999999997,7.87085363897,-2.6510000000000002,2.597,0.9006,-0.1479,10.72,-2716.0,7.372999999999999,7.055,-2705.0,-1.392,1.5519999999999998,1.093,0.3687,36.51,-339.1,7.893,0.8864,-309.6,-3717.476157,-3744.846421,749.82,-1116.74,1866.56,-0.0055,0.0,0.0,0.0,5.830872,2.382316,6.309919,-4.808683,-13.718368069,22.2016,0.0071790000000000005,39
swarm_105_37.pdb,2,5,3,6,16,2,6,2,2,0,6,3,2,4,3,0.39,0.3983333333333334,0.46799999999999997,0.6699999999999999,0.3933333333333333,0.38125000000000003,0.4916666666666667,0.49,0.5,0.51,0.495,0.52,0.6266666666666666,0.0,0.6466666666666666,2.34,1.3399999999999999,1.18,6.1000000000000005,2.95,0.98,1.0,1.53,1.98,1.04,3.76,0.0,1.94,25.99,42.0,1842.5899999999965,733.3700000000026,1109.2200000000012,1.4142135623730951,2.449489742783178,2.449489742783178,1.7320508075688772,1.4142135623730951,1.4142135623730951,2.23606797749979,1.7320508075688772,4.0,1.4142135623730951,2.449489742783178,0.0,1.7320508075688772,1.4142135623730951,2.0,1.9084,0.374,-0.7,-1.6,-22.2,-154.6,-2.88,-202.42,172.94,-1.32,-0.035368000000000004,-4.42,17.0,9.8,-16.2,46.396,20.6,32.0,29.6,-6.2,8.24,-11.42,-336.0,-2.480240524,-10.9,-9.723286,-17.19,-26.3546,-51.26,-39.08,-3769.57,-9.56,-12.19,-68.7,-21.52,-1142.12,-69.03,0.0,0.0,0.0,0.0,0.0,-28.9776,394.19199999999995,0.000301,-4.1160000000000005,2.63,-15.689,-3.055,-153.332,-4.621,-1.7069999999999999,0.0,-74.36,31.01,-140.9,-99.43,3913.915,-5.33144171885,-3.679,3.591,-0.2533,-0.4079,-222.0,-2962.0,3.161,-21.13,-3208.0,-1.774,1.7990000000000002,0.7572,1.795,3.022,-506.1,13.58,-4.046,-520.7,-4364.18459,-4408.325014,916.75,-1404.57,2321.32,-0.2651,0.0,0.0,0.0,-4.3246720000000005,-8.695960000000001,-4.490559999999999,-21.140893,-20.2463119294,19.6963,0.0068709999999999995,62
