Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_100_164.pdb,4,3,3,5,3,3,12,4,11,1,0,0,0,1,0,0.4625,0.35,0.5066666666666667,0.46666666666666673,0.4266666666666667,0.37000000000000005,0.465,0.52,0.46181818181818185,0.0,0.47,0.0,0.0,0.98,0.0,1.52,1.4000000000000001,1.28,1.11,5.58,2.08,5.08,0.0,0.47,0.0,0.0,0.98,0.0,35.75,34.35,1495.0499999999993,762.7000000000007,732.340000000002,2.0,2.23606797749979,3.4641016151377544,0.0,2.0,3.3166247903554,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.0,1.0,0.0,0.0,1.0,3.2012,-2.158,1.78,-8.4,-6.0,-84.2,7.96,-72.26,97.28,-2.96,0.029672000000000004,-5.54,39.2,20.8,-6.4,79.27600000000001,12.0,23.4,30.6,11.34,21.66,13.14,-160.6,0.41802515,16.8,-9.981761,-12.33,-26.834,-31.71,-21.57,-3123.23,-13.37,5.7,-35.53,-2.25,-949.82,-343.35,0.0,0.0,0.0,0.0,0.0,-27.0614,-46.6365,0.000426,-12.943,19.719,-67.253,0.051,8.392999999999999,-6.127999999999999,-6.287999999999999,0.0,-154.95,184.79,-181.29,44.31,3812.665,37.4828898031,-4.391,4.427,0.7908,-1.227,-282.0,-2971.0,14.03,-18.25,-3285.0,-2.8560000000000003,2.5669999999999997,-0.1019,1.955,4.419,-415.8,3.988,-2.032,-417.4,-4970.991603,-5026.87522,3042.2,-1321.92,4364.12,-0.0191,0.0,0.0,0.0,5.906695,5.062939,-2.605891,-11.777292999999998,-9.19014165421,16.7226,0.00778,50
swarm_101_14.pdb,8,4,5,7,9,7,18,3,14,0,4,4,0,2,0,0.48375,0.3871428571428571,0.6,0.5228571428571429,0.43800000000000006,0.36444444444444446,0.44833333333333325,0.52,0.4764285714285714,0.0,0.505,0.0,0.6775,0.0,0.8374999999999999,2.4,3.6600000000000006,2.1900000000000004,3.2800000000000002,8.069999999999999,1.56,6.67,0.0,1.01,0.0,2.71,0.0,3.3499999999999996,35.61,34.67,2724.1500000000015,1358.8099999999995,1365.3400000000001,2.8284271247461903,2.6457513110645907,4.242640687119285,0.0,1.7320508075688772,3.7416573867739413,2.0,2.23606797749979,3.0,2.6457513110645907,2.0,0.0,2.0,0.0,1.4142135623730951,2.5172,-3.608,2.86,-9.6,-34.6,-224.0,9.6,-212.12,215.06,-2.22,0.046322,-4.4,55.0,32.2,-21.6,113.196,13.2,25.4,35.6,-1.36,4.58,1.12,-403.8,-1.4371059940000002,2.8,-13.567279000000001,-23.76,-41.284,-69.59,-68.89,-6275.22,14.06,-20.74,0.79,37.19,-1667.73,-449.42,0.0,0.0,0.0,0.0,0.0,-51.7373,288.245,0.000195,-7.067,22.881,-52.586999999999996,10.556,-368.904,-3.346,3.6639999999999997,0.0,-226.34,183.86,-492.85,-133.07,-6567.571,37.5581012387,-2.99,2.9019999999999997,-0.7842,-0.7931,-40.77,-4850.0,5.622999999999999,-10.6,-4907.0,-2.7119999999999997,2.051,-0.8023,3.818,-10.42,-681.9,4.409,3.528,-693.2,-6525.95892,-6605.0200780000005,2875.31,-2022.26,4897.56,-0.0517,0.0,0.0,0.0,0.022205000000000003,-3.66399,-13.227482,-20.244255,-25.1852049596,17.4966,0.003082,85
swarm_101_162.pdb,2,2,2,8,3,6,20,1,17,0,0,1,1,1,1,0.5349999999999999,0.36,0.565,0.5,0.43500000000000005,0.37666666666666665,0.466,0.56,0.4864705882352941,0.44,0.41,0.68,0.0,0.0,0.94,1.13,3.0,0.8700000000000001,1.13,9.32,0.56,8.27,0.44,0.41,0.68,0.0,0.0,0.94,35.2,33.8,2216.6500000000015,1363.3500000000004,853.2999999999993,1.4142135623730951,2.8284271247461903,4.47213595499958,1.0,1.0,4.123105625617661,1.4142135623730951,1.4142135623730951,1.7320508075688772,2.449489742783178,0.0,0.0,1.0,1.0,1.0,2.8084,-9.168,0.12,-21.8,-20.2,-163.0,11.26,-102.04,137.92,-7.56,0.10955799999999999,-11.56,62.0,28.6,-11.6,129.816,9.6,22.2,35.6,10.24,19.3,16.6,-223.0,0.2536107552,32.6,-10.219623,-11.75,-31.631,-46.43,-38.73,-3432.11,5.47,-3.46,-27.45,-6.77,-1310.87,-435.43,0.0,0.0,0.0,0.0,0.0,-35.8641,36.6659,0.000263,-18.410999999999998,46.799,-71.682,21.219,78.625,-6.223,-7.7170000000000005,0.0,-207.79,389.5,-455.13,33.67,-5084.11,61.593738269700005,-3.766,3.833,1.421,-0.155,-142.7,-3789.0,21.31,-16.96,-3970.0,-2.78,2.202,0.4483,4.0169999999999995,-0.8612,-512.5,8.566,1.827,-520.1,-5431.130837,-5527.0986920000005,4396.15,-1528.06,5924.21,0.1939,0.0,0.0,0.0,-0.9010950000000001,-6.608203,-7.902025999999999,-12.204991,-8.75398918035,20.3897,0.004169,65
swarm_101_176.pdb,2,3,2,4,7,8,14,2,12,1,1,1,1,2,0,0.45999999999999996,0.41500000000000004,0.6066666666666668,0.5549999999999999,0.495,0.35000000000000003,0.42714285714285705,0.52,0.5658333333333333,0.0,0.55,0.53,0.86,0.98,0.94,1.8200000000000003,4.4399999999999995,0.99,2.45,5.979999999999999,1.04,6.79,0.0,1.1,0.53,0.86,0.98,0.94,34.89,34.43,2213.6299999999974,1030.3799999999992,1183.25,1.4142135623730951,2.0,3.7416573867739413,0.0,1.4142135623730951,3.4641016151377544,1.7320508075688772,1.4142135623730951,2.6457513110645907,2.8284271247461903,1.0,1.0,1.0,1.0,1.4142135623730951,1.212,0.08199999999999999,4.4,-10.0,-22.6,-157.0,6.32,-156.98,147.8,-0.44,-0.044718,-4.58,44.8,21.4,-15.2,103.98,7.0,16.6,25.0,9.34,10.28,7.48,-276.4,-1.0155474794,0.5,-5.7074489999999996,-16.41,-28.263,-44.87,-41.64,-4832.3,-9.47,4.32,-7.97,20.61,-1286.55,-138.62,0.0,0.0,0.0,0.0,0.0,-65.9352,924.586,0.00018999999999999998,-14.284,8.79,-1.33,-5.627000000000001,-264.199,-2.339,2.681,0.0,-105.39,86.63,-908.63,16.6,-5387.776999999999,34.129382206399995,-2.301,2.217,0.06398,-0.1471,71.16,-4061.0,7.005,-3.35,-4000.0,-2.199,1.6480000000000001,-0.9824,2.55,18.13,-506.0,1.585,2.656,-486.8,-5210.174681,-5319.572906,3087.49,-1422.2,4509.69,-0.1348,0.0,0.0,0.0,-6.623086,-15.526428,-1.804397,-9.433133999999999,-21.6778794625,22.9404,0.003167,60
swarm_101_1.pdb,2,3,3,5,6,6,12,1,9,1,3,1,3,7,1,0.52,0.48600000000000004,0.5666666666666668,0.5150000000000001,0.4333333333333333,0.3116666666666667,0.3958333333333333,0.56,0.6733333333333333,0.51,0.5271428571428571,0.7200000000000001,0.7433333333333333,0.98,0.76,1.7000000000000002,3.0900000000000007,1.2999999999999998,1.87,4.75,0.56,6.0600000000000005,0.51,3.69,2.16,2.23,0.98,0.76,35.35,33.95,1993.7300000000032,991.4499999999989,1002.2799999999988,1.4142135623730951,2.23606797749979,3.4641016151377544,1.0,1.0,3.0,1.7320508075688772,1.7320508075688772,2.449489742783178,2.449489742783178,1.7320508075688772,1.0,1.0,1.7320508075688772,2.6457513110645907,0.5406,-1.3459999999999999,0.38,-5.0,-20.4,-108.0,-0.28,-145.34,120.34,-0.34,0.064492,-2.6,18.8,10.8,-12.2,54.812,6.2,13.4,14.0,0.04,0.78,3.36,-246.4,-0.8303086454,-10.6,-8.114063999999999,-11.89,-25.39,-44.16,-42.55,-4595.74,15.28,0.04,-3.78,-3.96,-844.09,358.91,0.0,0.0,0.0,0.0,0.0,-11.6107,1237.65,0.000294,-14.41,12.474,0.9520000000000001,-1.84,-193.81799999999998,-0.157,3.525,0.0,-106.53,67.04,-497.5,-84.26,-2933.993,2.18263991131,-0.8095,0.7493,-0.2711,-0.1219,344.7,-3241.0,1.163,-1.123,-2899.0,-1.369,0.7673,-1.739,1.9469999999999998,70.9,-579.7,-1.331,0.2641,-507.2,-4941.418874,-4984.938864,1793.78,-1324.31,3118.08,-0.1298,0.0,0.0,0.0,2.871835,-1.5394450000000002,-10.981596000000001,-21.826101,-16.7237255676,15.5986,0.0034289999999999998,63
swarm_10_131.pdb,1,3,1,1,10,6,14,5,13,0,1,0,0,1,0,0.53,0.31,0.6066666666666668,0.5,0.53,0.337,0.415,0.53,0.5384615384615384,0.0,0.48,0.0,0.83,0.0,0.0,1.8200000000000003,3.0,0.53,3.37,5.81,2.65,7.0,0.0,0.48,0.0,0.83,0.0,0.0,35.12,34.65,1951.5000000000036,1066.8900000000012,884.6099999999988,1.0,1.0,3.7416573867739413,0.0,2.23606797749979,3.605551275463989,1.7320508075688772,1.0,3.1622776601683795,2.449489742783178,1.0,0.0,0.0,0.0,1.0,1.6734,-2.988,1.82,-8.6,-19.8,-154.2,6.7,-121.58,121.58,-2.08,0.039744,-4.6,44.8,22.0,-14.0,154.842,5.2,12.0,22.8,3.78,4.04,1.76,-220.0,-0.4984230972,16.8,-8.712828,-9.45,-26.568,-49.4,-43.13,-2773.87,-23.57,-11.84,-3.92,4.81,-1201.73,-256.43,0.0,0.0,0.0,0.0,0.0,-47.2554,90.2034,0.00023199999999999997,-21.613000000000003,28.294,-49.986999999999995,1.682,1.165,-4.927,-4.949,0.0,-144.15,237.98,-417.28,22.1,808.429,36.4315676175,-4.149,4.166,1.068,-1.551,-158.9,-3031.0,15.11,-21.58,-3227.0,-3.201,2.991,-0.3864,1.5419999999999998,3.05,-437.5,4.311,-2.638,-441.4,-4902.124125,-4972.964222,3905.29,-1316.94,5222.22,0.1178,0.0,0.0,0.0,-0.908588,1.368256,-14.845823000000001,-25.443894,-9.23248554147,23.155,0.003964,56
swarm_10_134.pdb,6,7,11,7,7,6,14,9,13,0,2,0,1,1,2,0.4916666666666667,0.45142857142857146,0.53,0.515,0.44727272727272727,0.3571428571428572,0.4257142857142857,0.5055555555555555,0.5492307692307692,0.34,0.48,0.83,0.54,0.0,0.0,3.7100000000000004,3.0900000000000003,4.92,2.5000000000000004,5.96,4.55,7.139999999999999,0.68,0.48,0.83,1.08,0.0,0.0,35.73,34.77,2595.6399999999994,1258.0499999999993,1337.5999999999985,2.449489742783178,2.6457513110645907,3.7416573867739413,1.4142135623730951,3.0,3.605551275463989,2.6457513110645907,3.3166247903554,2.6457513110645907,2.449489742783178,1.4142135623730951,0.0,0.0,1.0,1.0,4.7684,-7.666,6.14,-9.8,-25.8,-249.4,7.5,-229.4,229.54,-2.08,0.061232,-5.64,45.0,26.8,-20.6,124.39399999999999,20.6,34.6,41.4,-5.06,11.86,7.78,-395.0,-1.0421904008,7.6,-11.093638,-22.24,-37.219,-68.52,-50.66,-4990.06,1.3,-16.07,2.05,-0.34,-1640.16,-330.24,0.0,0.0,0.0,0.0,0.0,-90.2184,164.813,0.000215,-30.328000000000003,24.715,-35.374,-9.15,-91.56299999999999,-4.851,-3.111,0.0,-178.39,199.17,-558.37,-11.44,-2.5540000000000003,54.503465756000004,-4.2010000000000005,4.037,-0.9248,-1.048,-416.5,-4846.0,4.284,16.3,-5251.0,-3.799,3.495,0.2661,2.009,-21.56,-667.7,8.464,-1.178,-698.9,-6112.336071,-6193.866666,3507.2,-1830.88,5338.07,-0.1295,0.0,0.0,0.0,-3.929143,-4.8187169999999995,-9.796958,-21.415428,-23.0349272148,14.9858,0.002558,86
swarm_101_45.pdb,5,3,1,2,5,2,10,2,14,1,0,0,1,0,0,0.466,0.495,0.4533333333333333,0.43500000000000005,0.53,0.32999999999999996,0.46900000000000003,0.525,0.5535714285714286,0.0,0.0,0.68,0.0,0.98,0.0,1.3599999999999999,0.8700000000000001,0.53,1.65,4.69,1.05,7.75,0.0,0.0,0.68,0.0,0.98,0.0,35.35,33.95,1566.7599999999984,885.2399999999998,681.5400000000009,2.23606797749979,1.4142135623730951,3.1622776601683795,0.0,1.4142135623730951,3.7416573867739413,1.7320508075688772,1.0,2.23606797749979,1.4142135623730951,0.0,1.0,0.0,1.0,0.0,1.9376,-3.074,1.3,-10.2,-9.8,-91.6,6.4,-65.12,79.14,-2.7,0.04142,-4.98,34.6,18.0,-4.0,80.528,8.8,14.4,19.4,5.3,9.26,6.2,-133.4,-0.43930697399999996,20.4,-8.677224,-7.77,-22.69,-36.72,-33.54,-2091.15,-15.97,11.07,-11.86,13.29,-1002.76,-582.59,0.0,0.0,0.0,0.0,0.0,-33.7738,-26.7023,0.000397,-9.774,23.163,-54.652,7.9239999999999995,37.818000000000005,-1.902,-2.6210000000000004,0.0,-106.78,230.73,-427.89,65.84,-1170.969,44.043056963699996,-3.365,3.4819999999999998,1.265,-2.543,-82.65,-2700.0,12.62,-18.53,-2814.0,-2.449,2.508,0.9942,0.8336,42.84,-379.8,5.1160000000000005,-1.023,-343.1,-4517.745215,-4579.122185,3169.63,-1091.69,4261.32,-0.0169,0.0,0.0,0.0,0.481311,-1.512348,-5.604449,-11.620252,-3.92458854205,19.5984,0.003478,46
swarm_10_163.pdb,3,1,5,7,15,7,17,4,19,0,0,0,1,0,0,0.5333333333333333,0.3628571428571428,0.58,0.5099999999999999,0.49000000000000005,0.25000000000000006,0.4241176470588236,0.5025,0.5452631578947368,0.0,0.0,0.68,0.0,0.0,0.0,0.58,3.5699999999999994,2.45,3.7500000000000004,7.210000000000001,2.01,10.36,0.0,0.0,0.68,0.0,0.0,0.0,35.15,34.44,2629.4400000000023,1486.6200000000008,1142.83,1.7320508075688772,2.6457513110645907,4.123105625617661,0.0,2.0,4.358898943540674,1.0,2.23606797749979,3.872983346207417,2.6457513110645907,0.0,0.0,0.0,1.0,0.0,4.2806,3.46,11.92,-7.4,-19.4,-189.0,14.88,-159.9,183.0,1.58,0.107314,0.72,76.2,41.4,-9.4,250.81599999999997,16.0,29.8,43.4,12.22,30.88,21.32,-303.6,0.24893474399999999,29.7,-10.070444,-13.58,-31.168000000000003,-62.07,-49.79,-3030.79,-3.15,8.15,-30.91,-3.44,-1473.48,-619.09,0.0,0.0,0.0,0.0,0.0,-30.6119,56.0708,0.000192,-7.641,39.225,-76.515,23.933000000000003,65.47,-8.609,-9.853,0.0,-196.56,391.82,-372.62,-27.33,1474.1129999999998,58.50182483,-4.755,4.94,2.452,-2.627,-232.1,-4042.0,27.99,-29.81,-4332.0,-3.674,3.429,0.2572,1.734,-51.24,-571.6,10.21,-2.657,-635.7,-5423.655186999999,-5490.180205,5203.68,-1475.11,6678.78,0.1389,0.0,0.0,0.0,1.8310950000000001,-0.980975,-3.5048589999999997,-18.498737,-8.700025391239999,16.0844,0.005861,79
swarm_101_74.pdb,8,5,8,7,11,7,23,6,12,0,5,7,0,4,3,0.5287499999999999,0.44571428571428573,0.512,0.4585714285714286,0.42750000000000005,0.3536363636363636,0.42913043478260865,0.5166666666666667,0.6041666666666666,0.34,0.46,0.0,0.742,0.0,0.8099999999999999,2.56,3.21,3.4200000000000004,3.8899999999999992,9.87,3.1,7.25,1.02,1.84,0.0,3.71,0.0,5.67,35.77,34.06,3199.6500000000015,1446.5400000000009,1753.119999999999,2.8284271247461903,2.6457513110645907,4.795831523312719,1.7320508075688772,2.449489742783178,3.4641016151377544,2.23606797749979,2.8284271247461903,3.3166247903554,2.6457513110645907,2.23606797749979,0.0,2.6457513110645907,0.0,2.0,2.5516,-5.734,3.1,-12.4,-36.0,-269.2,7.3,-267.02,253.72,-1.5,0.027792,-3.28,47.0,28.2,-26.4,82.164,13.6,27.8,36.4,9.04,12.32,3.46,-479.8,0.9350379585999999,-3.0,-13.026342999999999,-31.09,-46.536,-99.23,-93.46,-9815.84,4.29,-20.11,-69.45,-14.34,-1790.48,-128.01,0.0,0.0,0.0,0.0,0.0,-124.868,669.592,0.00015,-33.619,11.552999999999999,-33.62,-25.428,-364.533,-4.59,2.336,0.0,-258.72,118.62,-1024.02,-54.77,-4129.39,33.3011006403,-1.8659999999999999,1.778,-1.275,-0.9665,-78.66,-5462.0,3.738,-43.8,-5589.0,-1.66,0.9253,-1.94,2.296,45.25,-881.8,-0.1811,-5.331,-841.7,-7192.657684000001,-7309.074105,2341.81,-2354.14,4695.96,-0.1427,0.0,0.0,0.0,-12.868067,-16.909782999999997,-18.350804999999998,-30.480097999999998,-30.535520152100002,27.8949,0.0032259999999999997,106
