Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_115.pdb,0,1,4,4,8,4,3,1,9,0,1,1,0,3,0,0.0,0.41500000000000004,0.64,0.5700000000000001,0.48,0.31875000000000003,0.5199999999999999,0.55,0.41000000000000003,0.0,0.41,0.0,0.83,0.0,0.7,0.64,2.2800000000000002,1.92,2.5500000000000003,1.5599999999999998,0.55,3.6900000000000004,0.0,1.23,0.0,0.83,0.0,0.7,32.62,36.48,1359.1899999999987,598.1499999999996,761.0400000000009,0.0,2.0,1.7320508075688772,0.0,1.0,3.0,1.0,2.0,2.8284271247461903,2.0,1.0,0.0,1.0,0.0,1.7320508075688772,-1.5194,-1.462,-2.78,-4.0,-20.2,-130.2,2.64,-119.48,100.98,-1.26,0.029278,-3.38,23.2,8.8,-14.6,97.586,-2.4,2.2,8.4,0.54,5.76,-6.8,-190.6,-1.156265512,1.8,-7.8629690000000005,-10.92,-19.3583,-34.75,-32.62,-3310.44,0.31,0.22,-12.81,5.65,-740.64,-83.93,0.0,0.0,0.0,0.0,0.0,-45.0374,13.0379,0.00046100000000000004,-11.369000000000002,16.336,-16.642,3.302,4.3389999999999995,-4.372,-4.454,0.0,-154.34,91.05,-244.96,-57.72,287.176,5.30584305513,-0.831,0.9864,0.5773,-1.419,-127.4,-1976.0,11.11,-10.5,-2125.0,-1.609,1.493,0.1531,0.8368,-18.18,-324.6,6.011,-0.9042,-349.7,-3330.237505,-3377.19024,1780.35,-932.82,2713.17,0.0758,0.0,0.0,0.0,-1.8012709999999998,-2.795563,-2.061528,-6.085536,-12.7227432552,8.21525,0.007487000000000001,39
swarm_0_194.pdb,2,0,1,2,3,2,5,1,8,0,0,0,0,1,0,0.5349999999999999,0.255,0.0,0.43500000000000005,0.42,0.24333333333333332,0.40199999999999997,0.56,0.58125,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.8700000000000001,0.42,0.73,2.01,0.56,4.65,0.0,0.87,0.0,0.0,0.0,0.0,32.35,37.39,1051.0899999999983,491.1099999999997,559.9800000000014,1.4142135623730951,1.4142135623730951,2.23606797749979,0.0,1.0,2.8284271247461903,0.0,1.0,1.7320508075688772,1.4142135623730951,0.0,0.0,0.0,0.0,1.0,0.74,-0.996,1.98,-3.2,-6.2,-75.6,6.78,-54.82,63.34,0.0,0.012445999999999999,-2.14,30.6,18.2,-1.6,138.252,2.8,10.0,16.8,9.46,14.42,7.38,-106.8,-0.19746229999999998,10.9,-7.042217999999999,-5.74,-16.1736,-19.0,-22.75,-1775.84,4.61,-2.05,-29.77,-8.09,-548.0,-237.58,0.0,0.0,0.0,0.0,0.0,-54.2814,-30.7869,0.0006889999999999999,-20.945999999999998,7.151,-36.982,-17.493,-66.245,-1.018,0.24100000000000002,0.0,-43.88,149.08,-115.98,-13.96,624.63,25.510105472800003,-1.11,1.327,1.8090000000000002,-1.181,-46.09,-1417.0,12.85,-4.663,-1481.0,-0.6119,0.2169,-0.233,1.7730000000000001,0.3164,-221.7,2.544,1.028,-222.9,-2933.216242,-2966.90613,2357.6,-770.83,3128.42,-0.0142,0.0,0.0,0.0,-0.386513,0.28185,-1.9798,-7.663360000000001,-6.8549385415,2.68224,0.01248,25
swarm_0_38.pdb,0,2,0,4,4,3,4,0,5,0,0,2,2,4,0,0.0,0.2925,0.565,0.4266666666666667,0.0,0.325,0.435,0.0,0.376,0.0,0.755,0.605,0.0,0.0,0.9,1.13,1.28,0.0,1.3,1.74,0.0,1.8800000000000001,0.0,3.02,1.21,0.0,0.0,1.8,32.91,37.18,1040.159999999998,348.6300000000001,691.539999999999,0.0,2.0,2.0,0.0,0.0,2.23606797749979,1.4142135623730951,0.0,2.0,1.7320508075688772,0.0,0.0,1.4142135623730951,1.4142135623730951,2.0,-0.5036,-1.75,-1.7,-1.8,-12.8,-79.0,0.2,-94.1,71.28,0.08,0.01686,-1.94,14.8,7.0,-7.6,69.548,-1.0,4.0,8.2,5.02,3.62,3.42,-135.4,-0.5378211860000001,-0.5,-8.477477,-12.95,-17.1611,-38.17,-35.93,-2775.74,2.84,-3.6,-19.44,-14.46,-566.86,-349.99,0.0,0.0,0.0,0.0,0.0,-43.6989,-126.441,0.0006940000000000001,-5.361000000000001,-10.494000000000002,-35.961,-19.452,-41.826,-1.841,-1.047,0.0,-78.82,17.22,-341.03,-25.65,-163.268,-5.44488525577,-0.1823,0.281,1.376,0.4538,-43.82,-1500.0,12.44,-3.135,-1559.0,-0.1174,-0.17800000000000002,-0.5532,0.8995,8.094,-248.9,1.828,0.3336,-242.3,-3133.590241,-3162.885851,416.67,-860.18,1276.85,0.0078,0.0,0.0,0.0,-2.011045,-3.8264050000000003,-2.202069,-6.076335,-11.332937783299998,0.8727950000000001,0.010567,30
swarm_0_6.pdb,4,4,0,4,4,4,4,0,2,0,0,0,1,1,1,0.5574999999999999,0.315,0.6025,0.4975,0.0,0.275,0.435,0.0,0.375,0.48,0.41,0.7,0.0,0.0,0.0,2.41,1.99,0.0,1.1,1.74,0.0,0.75,0.48,0.41,0.7,0.0,0.0,0.0,32.91,36.75,1053.199999999999,509.7600000000002,543.4400000000005,2.0,2.0,2.0,1.0,0.0,1.4142135623730951,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.9854,2.242,3.28,-3.8,-9.2,-93.6,5.4,-76.16,79.88,0.22,0.06717999999999999,-2.64,23.8,14.2,-2.0,47.7,3.6,11.0,13.8,6.72,11.2,3.78,-137.8,-0.621934132,5.3,-7.54338,-8.75,-15.514000000000001,-16.75,-10.41,-1883.76,36.2,7.83,-6.72,1.25,-639.64,-358.0,0.0,0.0,0.0,0.0,0.0,-36.2763,36.4989,0.000611,-16.554000000000002,2.221,-35.88,-17.921,-11.74,-4.256,-4.033,0.0,-44.02,109.55,-321.31,-2.86,298.03700000000003,16.7380517349,-0.0747,0.177,0.4742,-1.0859999999999999,-29.77,-1504.0,5.903,8.878,-1531.0,0.266,-0.6175,-1.341,-0.3661,1.037,-213.6,0.1787,0.3418,-212.4,-2930.309585,-2961.855905,1024.39,-750.93,1775.33,0.0762,0.0,0.0,0.0,1.706563,3.1107970000000003,0.719668,-7.021591,-7.73719755113,1.7649599999999999,0.01231,29
swarm_100_138.pdb,5,0,0,2,2,1,6,6,6,0,0,1,0,1,0,0.534,0.315,0.0,0.55,0.0,0.41,0.4233333333333333,0.5066666666666667,0.44,0.0,0.41,0.0,0.0,0.0,0.9,0.0,0.55,0.0,0.82,2.5399999999999996,3.04,2.64,0.0,0.41,0.0,0.0,0.0,0.9,32.49,37.55,1250.4400000000005,548.9699999999993,701.460000000001,2.23606797749979,1.4142135623730951,2.449489742783178,0.0,2.449489742783178,2.449489742783178,0.0,0.0,1.4142135623730951,1.0,0.0,0.0,1.0,0.0,1.0,1.6106,-1.692,0.56,-8.6,-11.4,-92.4,3.28,-78.62,84.24,-2.78,0.074252,-4.56,23.0,12.6,-6.8,22.704,3.0,11.4,17.6,5.24,4.5,8.76,-149.2,0.6644607715999999,12.2,-8.058966,-11.32,-18.2525,-48.35,-32.24,-1687.29,-6.37,-4.86,-3.41,18.41,-698.38,-246.55,0.0,0.0,0.0,0.0,0.0,-19.2963,-47.3402,0.000479,-1.0859999999999999,16.54,-40.87,11.368,14.274000000000001,-2.191,-2.4619999999999997,0.0,-55.43,126.28,-86.04,-57.9,-1429.5970000000002,2.4938354069,-0.6449,0.7085,-0.08008,-1.567,109.2,-2318.0,6.369,1.2890000000000001,-2214.0,0.2288,-0.1598,1.247,1.411,28.77,-311.0,7.896,3.228,-286.9,-3171.423606,-3214.358896,1669.99,-867.45,2537.44,0.0346,0.0,0.0,0.0,0.641806,-3.06548,1.460795,-4.938111,-10.769023597999999,9.00211,0.008633,30
swarm_100_157.pdb,3,0,3,3,5,0,7,3,9,0,0,0,0,2,0,0.5466666666666666,0.6033333333333334,0.0,0.0,0.43333333333333335,0.42200000000000004,0.4285714285714285,0.53,0.5355555555555556,0.0,0.475,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.1100000000000003,2.9999999999999996,1.59,4.82,0.0,0.95,0.0,0.0,0.0,0.0,32.61,36.52,1318.2299999999996,705.46,612.75,1.7320508075688772,1.7320508075688772,2.6457513110645907,0.0,1.7320508075688772,3.0,0.0,1.7320508075688772,2.23606797749979,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,2.4258,1.734,5.32,-4.8,-14.4,-110.6,5.58,-102.32,108.7,1.54,0.0067659999999999994,1.26,26.0,13.4,-10.0,87.39399999999999,5.8,13.6,16.8,-0.82,6.9,10.16,-194.0,0.1475389978,7.1,-7.284408999999999,-8.44,-17.4371,-31.81,-19.31,-1611.16,-15.39,-7.54,-20.99,-0.21,-745.77,-193.22,0.0,0.0,0.0,0.0,0.0,4.77577,-6.932510000000001,0.000523,-0.026000000000000002,28.973000000000003,-42.867,24.66,62.915,-1.547,-2.742,0.0,-114.49,92.27,-114.29,-166.61,-344.43199999999996,0.115521143191,0.5287,-0.5515,-0.4312,-0.3893,-98.87,-2056.0,7.2589999999999995,-15.58,-2178.0,0.5475,-0.7020000000000001,1.058,1.7730000000000001,-2.932,-370.0,8.838,-1.031,-382.8,-3063.921918,-3099.575237,2508.13,-809.37,3317.5,0.0863,0.0,0.0,0.0,-1.067142,-4.9749360000000005,-1.850857,-3.8107559999999996,-6.829419386769999,2.40108,0.009143,35
swarm_100_32.pdb,4,0,5,6,11,0,10,4,6,0,1,0,0,3,0,0.5075000000000001,0.38333333333333336,0.0,0.0,0.4,0.3172727272727273,0.496,0.54,0.37499999999999994,0.0,0.4333333333333333,0.0,0.88,0.0,0.0,0.0,0.0,2.0,3.49,4.96,2.16,2.2499999999999996,0.0,1.2999999999999998,0.0,0.88,0.0,0.0,33.05,36.91,1306.3899999999976,631.4499999999998,674.9400000000005,2.0,2.449489742783178,3.1622776601683795,0.0,2.0,2.449489742783178,0.0,2.23606797749979,3.3166247903554,0.0,1.0,0.0,0.0,0.0,1.7320508075688772,2.2412,-2.6919999999999997,1.66,-3.2,-12.0,-104.8,4.52,-114.66,112.48,-0.1,-0.044508,0.28,27.8,18.0,-5.0,68.92,9.2,15.2,21.0,0.06,14.86,5.88,-194.2,-0.6447787460000001,12.4,-7.012988000000001,-10.41,-19.1142,-43.74,-33.74,-2213.89,21.34,2.23,3.62,28.86,-703.13,-3.78,0.0,0.0,0.0,0.0,0.0,-31.823,56.5622,0.000471,-6.79,20.987,-12.132,12.982999999999999,50.755,-6.597,-7.561,0.0,-25.71,153.27,-183.57,50.93,549.41,6.67723076022,-0.4155,0.3738,-1.123,-1.589,-132.7,-2179.0,2.0469999999999997,-10.62,-2325.0,0.6941,-1.148,-0.495,0.8824,-17.46,-362.7,4.314,-3.7310000000000003,-388.2,-3279.293107,-3316.653162,2759.83,-890.63,3650.47,0.0578,0.0,0.0,0.0,-4.101156,-9.628341,-2.039968,-13.165764999999999,-11.177953222100001,2.90618,0.00746,50
swarm_100_35.pdb,4,0,2,3,1,0,9,3,3,0,3,0,0,1,0,0.5674999999999999,0.3333333333333333,0.0,0.0,0.34,0.41,0.4511111111111112,0.53,0.29000000000000004,0.0,0.48,0.0,0.8633333333333333,0.0,0.0,0.0,0.0,0.68,0.41,4.0600000000000005,1.59,0.8700000000000001,0.0,0.48,0.0,2.59,0.0,0.0,32.62,37.34,880.5700000000015,331.6399999999994,548.9400000000005,2.0,1.7320508075688772,3.0,0.0,1.7320508075688772,1.7320508075688772,0.0,1.4142135623730951,1.0,0.0,1.7320508075688772,0.0,0.0,0.0,1.0,2.1788,-4.994,1.7,-6.6,-8.0,-70.8,4.54,-63.56,70.46,-1.26,0.06572599999999999,-4.28,20.8,12.2,-3.6,41.43,5.4,13.0,15.8,1.28,7.66,14.22,-125.8,0.19914452,6.6,-6.546208,-10.73,-15.3221,-35.56,-27.33,-1719.93,-8.39,-3.09,-1.21,7.35,-448.32,54.65,0.0,0.0,0.0,0.0,0.0,-23.6987,33.007,0.00065,-12.32,4.185,-11.915999999999999,-9.327,33.176,-1.5030000000000001,-2.134,0.0,-19.25,111.79,-93.24,14.26,-237.94400000000002,7.010685013610001,0.2283,-0.2357,-0.6709,-0.9072,-129.3,-1728.0,3.411,-13.11,-1874.0,0.8731,-1.255,0.1918,2.015,-0.6012,-251.8,4.032,0.133,-256.3,-2862.011999,-2903.402398,1071.98,-749.97,1821.95,-0.0759,0.0,0.0,0.0,4.9775599999999995,3.948397,-1.384787,-7.3223460000000005,-8.02229932115,2.32959,0.010379000000000001,29
swarm_100_81.pdb,4,0,6,2,5,0,11,3,2,0,0,0,0,0,1,0.5449999999999999,0.39,0.0,0.0,0.41,0.33599999999999997,0.4227272727272728,0.49666666666666665,0.42000000000000004,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,1.68,4.65,1.49,0.8400000000000001,0.48,0.0,0.0,0.0,0.0,0.0,33.05,37.77,1096.1000000000004,423.65000000000055,672.4500000000007,2.0,1.4142135623730951,3.3166247903554,1.0,1.7320508075688772,1.4142135623730951,0.0,2.449489742783178,2.23606797749979,0.0,0.0,0.0,0.0,0.0,0.0,1.8854,0.318,3.24,-0.8,-5.0,-72.8,4.22,-69.6,70.02,1.04,0.061942,-0.08,22.6,15.8,0.8,41.35,5.4,10.8,14.0,-0.18,6.66,13.42,-124.2,0.514709106,8.3,-5.67636,-12.73,-17.3437,-30.76,-27.51,-1638.8,-1.7,4.04,11.37,12.41,-656.22,-309.05,0.0,0.0,0.0,0.0,0.0,-40.3696,-37.6498,0.000597,-6.727,7.756,-15.568,-0.528,16.599,-3.821,-4.136,0.0,-67.2,101.13,-90.12,3.83,1214.447,4.66947071115,-1.63,1.645,0.1525,-0.9622,-130.7,-2129.0,8.43,-2.6,-2271.0,-0.5770000000000001,0.7502,0.7111,-0.04478,5.3629999999999995,-269.5,5.1979999999999995,-2.465,-271.8,-3071.1409719999997,-3113.56543,1484.92,-832.07,2316.99,-0.0678,0.0,0.0,0.0,-0.21108000000000002,-0.732549,-0.138438,-11.258137,-8.82718370725,2.41325,0.009176,34
swarm_101_121.pdb,2,0,1,3,4,2,9,2,11,0,0,0,0,0,0,0.44,0.5333333333333333,0.0,0.675,0.35,0.4149999999999999,0.47777777777777775,0.5,0.5299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.35,1.6599999999999997,4.3,1.0,5.829999999999999,0.0,0.0,0.0,0.0,0.0,0.0,33.48,37.39,1425.6200000000026,794.2299999999996,631.3799999999992,1.4142135623730951,1.7320508075688772,3.0,0.0,1.4142135623730951,3.3166247903554,0.0,1.0,2.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,-0.9264,-3.4219999999999997,-2.26,-11.4,-19.0,-112.6,6.66,-70.58,86.02,-3.78,-0.00583,-7.58,32.6,8.0,-20.6,103.954,-0.4,6.4,17.8,7.84,9.08,1.82,-152.2,-1.3066096692,7.9,-8.282784,-8.03,-16.2483,-39.37,-30.7,-2672.97,-6.06,-14.99,-19.58,3.72,-768.74,-328.44,0.0,0.0,0.0,0.0,0.0,-15.1842,-2.85846,0.000541,-1.8869999999999998,31.23,-48.917,24.451999999999998,61.99100000000001,-1.138,-2.316,0.0,-120.97,175.95,14.83,-169.6,2071.565,17.993936412,-1.462,1.5219999999999998,0.3285,-0.8569,-108.6,-1678.0,8.391,-9.458,-1804.0,-1.401,0.9149,-0.479,2.524,-3.1189999999999998,-301.4,2.662,2.5810000000000004,-304.6,-2960.7716800000003,-3005.972946,1803.32,-729.08,2532.41,0.0061,0.0,0.0,0.0,0.832493,-1.8118560000000001,-2.714469,-3.2416840000000002,-12.1751095939,2.39973,0.005559000000000001,34
