Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_168.pdb,5,0,3,1,2,1,4,4,1,0,3,1,1,6,0,0.504,0.17,0.0,0.57,0.4333333333333333,0.37,0.42000000000000004,0.515,0.26,0.0,0.6383333333333333,0.99,0.5833333333333334,0.0,0.9,0.0,0.57,1.2999999999999998,0.74,1.6800000000000002,2.06,0.26,0.0,3.8299999999999996,0.99,1.75,0.0,0.9,26.34,33.33,1224.4599999999991,445.59000000000015,778.880000000001,2.23606797749979,1.0,2.0,0.0,2.0,1.0,0.0,1.7320508075688772,1.4142135623730951,1.0,1.7320508075688772,0.0,1.0,1.0,2.449489742783178,-1.0979999999999999,-2.0380000000000003,-0.48,-2.4,-17.4,-111.4,-2.12,-120.7,90.52,0.02,0.025848000000000003,1.84,19.4,10.4,-10.6,60.3,-5.6,0.6,5.4,-6.383782391590001e-16,-7.3,-0.34,-174.4,0.2647641552,-10.9,-8.994602,-15.16,-21.363000000000003,-51.11,-43.41,-2702.26,9.81,5.85,-16.87,-6.97,-809.6,-237.9,0.0,0.0,0.0,0.0,0.0,-37.0354,-73.2541,0.000482,-12.329,-6.606,-29.165,-21.851999999999997,-54.787,0.434,1.475,0.0,-130.36,-54.93,-453.09,-39.62,-9814.171999999999,12.725198766199998,-3.395,3.3,1.035,1.4980000000000002,92.31,-2255.0,9.254,-11.16,-2183.0,-3.083,2.6719999999999997,-0.6044,2.174,10.51,-302.9,1.093,1.486,-292.0,-3662.3971799999995,-3708.2108729999995,518.55,-1042.78,1561.33,-0.2057,0.0,0.0,0.0,0.556607,-0.153585,-4.270782,-9.561967999999998,-14.2243749877,22.8444,0.012,32
swarm_100_102.pdb,3,0,1,2,2,2,9,7,2,0,0,0,1,1,1,0.5099999999999999,0.63,0.0,0.495,0.57,0.58,0.47666666666666657,0.5228571428571429,0.76,0.34,0.41,0.83,0.0,0.0,0.0,0.0,0.99,0.57,1.16,4.289999999999999,3.66,1.52,0.34,0.41,0.83,0.0,0.0,0.0,25.52,34.9,934.3600000000006,494.78999999999996,439.5799999999999,1.7320508075688772,1.4142135623730951,3.0,1.0,2.6457513110645907,1.4142135623730951,0.0,1.0,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,0.1562,-3.0660000000000003,-1.96,-9.0,-14.6,-75.6,1.42,-59.04,61.78,-3.4,0.034844,-3.6,14.4,4.8,-11.0,37.31,-1.4,3.0,7.2,4.4,3.74,3.7,-107.8,-0.24461772,1.1,-7.549231,-8.94,-14.547,-38.87,-29.74,-1809.41,23.73,-4.63,-31.19,-6.09,-513.93,-210.09,0.0,0.0,0.0,0.0,0.0,-38.2756,-32.9618,0.000947,-13.577,6.223,-34.056999999999995,-10.76,-20.674,1.026,1.419,0.0,-88.45,56.42,-255.41,-118.37,97.376,12.8498106698,-3.193,3.116,0.9821,0.6651,-129.5,-1397.0,6.571000000000001,-13.12,-1546.0,-3.429,2.5580000000000003,-1.4380000000000002,2.8539999999999996,-38.44,-226.8,-1.963,0.6779999999999999,-262.6,-2849.353874,-2879.229421,1085.45,-728.94,1814.39,-0.1372,0.0,0.0,0.0,-3.842764,-3.290453,-5.337311,-6.185478,-9.05434038173,14.1808,0.0068709999999999995,31
swarm_100_103.pdb,3,1,3,3,3,2,7,0,3,1,0,1,1,2,1,0.5,0.42333333333333334,0.45,0.4,0.5066666666666667,0.33666666666666667,0.38999999999999996,0.0,0.41,0.34,0.43999999999999995,0.88,0.0,1.0,0.76,0.45,0.8,1.52,1.01,2.7299999999999995,0.0,1.23,0.34,0.8799999999999999,0.88,0.0,1.0,0.76,25.4,35.45,1039.3999999999978,520.04,519.3600000000006,1.7320508075688772,1.7320508075688772,2.6457513110645907,1.0,0.0,1.7320508075688772,1.0,1.7320508075688772,1.7320508075688772,1.4142135623730951,0.0,1.0,1.0,1.0,1.4142135623730951,0.6628,1.08,2.32,-6.4,-16.6,-95.0,4.1,-100.08,102.62,-0.26,0.267,-0.06,22.6,11.2,-10.2,60.464,1.2,11.2,14.8,2.62,7.36,10.46,-190.2,0.8868429720000001,1.3,-2.69906,-6.28,-10.412,-33.7,-25.99,-1823.41,2.14,-6.84,-0.12,16.21,-524.2,315.21,0.0,0.0,0.0,0.0,0.0,-10.9376,564.629,0.000714,-2.8560000000000003,-2.612,33.342,-2.134,-46.291000000000004,-1.652,-0.772,0.0,-53.87,12.07,-431.64,-66.19,102.935,8.66122802255,-2.9419999999999997,2.841,0.6153,0.5328,59.59,-1637.0,4.647,5.154,-1577.0,-2.54,2.07,-1.746,0.1065,-15.62,-275.8,-2.935,-4.716,-293.2,-2512.427591,-2545.7516920000003,1380.91,-531.77,1912.68,0.1583,0.0,0.0,0.0,-2.7542619999999998,-2.93952,-5.057564,-9.647929,-6.527623879369999,14.5604,0.0032259999999999997,31
swarm_100_108.pdb,0,1,2,3,1,0,7,3,0,0,0,1,2,0,0,0.0,0.40666666666666673,0.61,0.0,0.48,0.19,0.4542857142857143,0.5366666666666667,0.0,0.0,0.0,0.735,0.0,0.0,0.84,0.61,0.0,0.96,0.19,3.18,1.61,0.0,0.0,0.0,1.47,0.0,0.0,0.84,25.65,35.08,692.6299999999992,347.03000000000065,345.6199999999999,0.0,1.7320508075688772,2.6457513110645907,0.0,1.7320508075688772,0.0,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,1.4142135623730951,0.0,-0.0564,-0.502,-0.26,-3.0,-13.4,-64.6,0.64,-54.18,50.38,-0.28,0.17494400000000002,-0.92,3.4,-0.8,-11.8,35.902,-8.0,4.4408920985e-16,4.0,-0.4,0.52,-4.84,-99.6,-0.785284788,-0.8,-6.422065,-6.53,-11.849,-25.84,-26.16,-2330.54,-11.14,-10.3,11.74,33.54,-389.14,-17.16,0.0,0.0,0.0,0.0,0.0,-25.3924,-10.0718,0.001064,-6.5329999999999995,-1.7719999999999998,-19.346,-10.24,-33.736999999999995,0.541,1.182,0.0,-29.7,-5.32,-326.96,-23.8,169.27,4.16872051004,-1.139,1.199,-0.09947,-1.82,59.93,-1053.0,0.5645,8.439,-984.8,-0.124,-0.1322,-0.3359,1.357,28.12,-165.0,0.4534,2.434,-134.9,-2612.61739,-2644.1358179999997,573.89,-604.97,1178.86,-0.1257,0.0,0.0,0.0,-1.8042369999999999,-1.2916940000000001,-2.295725,-5.401121,-6.00372816263,14.0856,0.0071,20
swarm_100_119.pdb,2,0,1,1,2,0,3,1,0,0,0,1,0,0,1,0.58,0.34,0.0,0.0,0.43,0.495,0.4000000000000001,0.56,0.0,0.34,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.43,0.99,1.2000000000000002,0.56,0.0,0.34,0.0,0.0,0.0,0.0,0.9,25.52,34.9,576.7299999999977,277.5100000000002,299.2399999999998,1.4142135623730951,1.0,1.7320508075688772,1.0,1.0,0.0,0.0,1.0,1.4142135623730951,0.0,0.0,0.0,1.0,0.0,0.0,0.833,-1.092,0.04,-0.6,-5.55111512313e-17,-19.0,2.32,-18.46,22.16,-0.06,0.047904,-1.22,8.8,7.4,2.6,18.294,3.2,5.4,5.8,1.68,3.04,2.28,-40.2,0.35264442,2.1,-5.456701,-4.94,-10.383,-7.68,-4.69,-1237.63,2.72,-1.96,-11.44,-7.46,-391.05,-290.99,0.0,0.0,0.0,0.0,0.0,-19.8934,-24.4996,0.0009630000000000001,-4.098,4.698,-20.927,-1.492,-0.27899999999999997,0.081,0.086,0.0,-53.07,36.49,-85.64,1.23,76.135,10.8565152157,-1.5490000000000002,1.608,1.686,0.6606,47.37,-911.8,5.535,-1.537,-871.5,-0.8415,0.9892,1.113,0.6721,28.03,-151.6,2.258,-0.7752,-126.6,-2445.042223,-2464.124082,625.56,-520.72,1146.28,-0.0369,0.0,0.0,0.0,-0.5440189999999999,0.811422,-1.491458,-5.261822,-4.45931833617,13.5889,0.0075829999999999995,12
swarm_100_135.pdb,1,0,1,4,2,3,4,0,8,0,0,0,2,1,1,0.58,0.41500000000000004,0.0,0.36333333333333334,0.57,0.385,0.475,0.0,0.535,0.55,0.41,0.735,0.0,0.0,0.0,0.0,1.09,0.57,0.77,1.9,0.0,4.28,0.55,0.41,1.47,0.0,0.0,0.0,25.4,34.92,903.0599999999995,467.9200000000001,435.1400000000003,1.0,2.0,2.0,1.0,0.0,2.8284271247461903,0.0,1.0,1.4142135623730951,1.7320508075688772,0.0,0.0,0.0,1.4142135623730951,1.0,-0.28,0.494,-1.66,-8.6,-18.2,-84.0,2.14,-68.6,65.32,-1.92,-0.032094,-4.68,10.8,-0.8,-12.8,101.40799999999999,-2.8,2.4,4.8,5.58,-2.24,-1.04,-129.4,-1.269819792,0.6,-8.676031,-9.91,-15.747,-19.5,-20.92,-2335.99,-11.26,-4.16,-17.83,-8.86,-695.36,-388.94,0.0,0.0,0.0,0.0,0.0,-44.5894,-77.2847,0.0008640000000000001,-12.255,6.87,-23.754,-7.76,-5.528,-1.768,-1.663,0.0,-159.17,-3.92,-278.42,-137.03,83.514,21.2334855925,-2.802,2.844,1.26,-0.6966,28.39,-1448.0,5.93,-7.456,-1433.0,-1.9569999999999999,1.194,-1.8430000000000002,2.044,-6.414,-213.5,-2.6039999999999996,-0.29,-217.6,-3017.805968,-3050.516188,1317.11,-779.4,2096.53,-0.0896,0.0,0.0,0.0,-2.9092189999999998,-4.879746,-5.704279,-5.646458999999999,-6.786087083080001,22.9181,0.005444,27
swarm_100_153.pdb,7,4,6,6,9,7,14,5,6,1,1,2,4,7,3,0.4585714285714286,0.4916666666666667,0.555,0.5814285714285715,0.45166666666666666,0.38555555555555554,0.46999999999999986,0.5439999999999999,0.585,0.48000000000000004,0.4771428571428572,0.6075,0.67,0.9,0.8,2.22,4.07,2.71,3.4699999999999998,6.579999999999998,2.7199999999999998,3.51,1.4400000000000002,3.3400000000000003,2.43,0.67,0.9,1.6,25.27,34.41,1344.2399999999998,655.590000000001,688.6500000000005,2.6457513110645907,2.449489742783178,3.7416573867739413,1.7320508075688772,2.23606797749979,2.449489742783178,2.0,2.449489742783178,3.0,2.6457513110645907,1.0,1.0,1.4142135623730951,2.0,2.6457513110645907,-1.3568,-0.21,-0.22,-4.6,-42.2,-228.6,-0.76,-228.06,180.34,2.24,0.103236,2.86,14.8,5.0,-27.2,58.373999999999995,-12.8,0.2,4.8,-5.26,6.26,-5.64,-374.2,-0.291732948,-20.9,12.062005000000001,1.96,-6.232,-64.12,-47.89,-5678.13,17.53,-11.08,157.41,122.67,-60.08,3374.79,0.0,0.0,0.0,0.0,0.0,136.77100000000002,6211.69,0.000482,-6.189,7.837000000000001,315.382,33.187,-138.226,-1.9569999999999999,0.669,0.0,155.48,-87.02,-1512.66,141.93,156.107,44.0814673188,-3.784,3.8560000000000003,2.494,0.08935,-370.0,-2504.0,29.69,-12.91,-2916.0,-3.088,2.927,-0.2672,0.2283,-49.3,-495.2,3.735,-7.1610000000000005,-555.4,-2260.169997,-2334.480968,3352.41,-699.0,4051.4,0.0527,0.0,0.0,0.0,5.328028,6.622666000000001,-7.111306,-13.393289999999999,-14.145951096,51.405,0.0060609999999999995,82
swarm_100_163.pdb,3,1,4,3,4,2,5,3,4,1,1,1,0,3,1,0.5,0.58,0.63,0.65,0.49499999999999994,0.345,0.5660000000000001,0.54,0.6325000000000001,0.48,0.4333333333333333,0.0,0.88,0.78,0.76,0.63,1.3,1.9799999999999998,1.38,2.83,1.62,2.5300000000000002,0.48,1.2999999999999998,0.0,0.88,0.78,0.76,25.93,34.92,1208.2800000000007,584.1400000000003,624.1399999999994,1.7320508075688772,1.7320508075688772,2.23606797749979,1.0,1.7320508075688772,2.0,1.0,2.0,2.0,1.4142135623730951,1.0,1.0,1.0,0.0,1.7320508075688772,0.201,0.09,0.34,-0.8,-19.2,-109.6,0.52,-104.2,88.02,0.4,0.090584,4.06,13.4,8.4,-9.4,63.942,-5.0,2.6,4.2,-1.28,-0.02,-5.64,-167.4,0.40729196799999995,-10.2,-8.827523,-11.45,-18.119,-44.18,-37.39,-2347.84,-18.11,1.37,-68.12,-29.35,-841.0,-460.29,0.0,0.0,0.0,0.0,0.0,-48.8253,29.9828,0.00047300000000000006,-13.594000000000001,6.4479999999999995,-27.054000000000002,-9.852,-54.17100000000001,2.492,3.5210000000000004,0.0,-138.65,-124.91,-431.87,-184.68,1117.097,30.7632815165,-3.793,3.763,1.385,-0.2516,25.81,-1816.0,9.235,-20.47,-1820.0,-3.573,3.056,-2.292,0.804,-1.694,-330.5,-4.985,-4.791,-332.0,-3241.947263,-3279.274218,1178.24,-901.73,2079.97,-0.0746,0.0,0.0,0.0,1.63291,2.193803,-6.34326,-9.858666,-12.0614902257,15.2975,0.007972,36
swarm_100_164.pdb,5,1,2,2,2,4,8,4,6,1,0,0,1,0,1,0.466,0.43000000000000005,0.61,0.64,0.42,0.385,0.47750000000000004,0.5225,0.6316666666666667,0.34,0.0,0.83,0.0,1.0,0.0,0.61,2.56,0.84,0.77,3.8200000000000003,2.09,3.79,0.34,0.0,0.83,0.0,1.0,0.0,25.27,36.26,1009.2399999999998,566.9700000000003,442.28000000000065,2.23606797749979,1.4142135623730951,2.8284271247461903,1.0,2.0,2.449489742783178,1.0,1.4142135623730951,1.4142135623730951,2.0,0.0,1.0,0.0,1.0,0.0,0.0966,-3.43,-1.76,-6.8,-16.4,-70.2,1.5,-61.42,60.92,-2.2,-0.058106,-4.44,12.4,4.4,-8.0,58.408,-3.2,4.0,6.8,-1.5,-2.42,6.04,-120.8,-0.39699673399999996,-0.5,-7.086874000000001,-7.79,-16.637999999999998,-33.52,-29.97,-2813.25,-11.36,-9.64,-19.66,-11.62,-685.22,-178.52,0.0,0.0,0.0,0.0,0.0,-40.584,-46.4558,0.00081,-18.32,1.87,-2.332,-16.683,-80.579,1.972,3.5039999999999996,0.0,-75.83,67.35,-363.6,-163.5,586.577,6.25854754466,-2.193,2.162,0.4421,0.4581,48.04,-1588.0,4.232,-8.302999999999999,-1552.0,-1.567,0.8877,-1.412,1.286,-4.726,-309.8,-1.112,-4.186,-317.6,-3056.847124,-3082.272882,1651.81,-832.16,2483.98,-0.0294,0.0,0.0,0.0,-5.438994,-3.449785,-9.766651,-9.663680000000001,-6.03697857569,23.5678,0.004703,37
swarm_100_20.pdb,0,0,0,1,4,3,6,0,6,0,0,1,1,2,0,0.0,0.44,0.0,0.5333333333333333,0.0,0.365,0.4083333333333334,0.0,0.5950000000000001,0.0,0.44499999999999995,0.65,0.0,0.0,0.76,0.0,1.6,0.0,1.46,2.45,0.0,3.5700000000000003,0.0,0.8899999999999999,0.65,0.0,0.0,0.76,26.06,35.11,964.0600000000013,395.5599999999995,568.4999999999991,0.0,1.0,2.449489742783178,0.0,0.0,2.449489742783178,0.0,0.0,2.0,1.7320508075688772,0.0,0.0,1.0,1.0,1.4142135623730951,-2.2319999999999998,-4.2,-4.14,-7.0,-19.6,-65.8,-0.28,-56.08,46.24,-3.12,-0.021448,-5.08,8.2,-2.2,-17.4,53.37,-7.2,-3.4,0.2,-3.18,-1.9,-1.46,-105.8,-0.993088524,0.2,-7.292571000000001,-9.66,-13.081,-20.42,-21.38,-1922.43,-14.92,-3.84,-41.71,-20.17,-485.38,-349.97,0.0,0.0,0.0,0.0,0.0,-25.6455,-45.1055,0.000772,-8.41,-3.661,-34.027,-15.474,-74.798,-0.639,0.782,0.0,-81.7,-17.49,-184.24,-112.84,246.637,20.749280618900002,-2.989,3.105,2.505,-0.6555,211.5,-1483.0,12.06,7.648,-1276.0,-3.008,2.815,-0.6974,0.0039570000000000004,73.03,-279.0,0.1699,1.4409999999999998,-204.7,-2725.372717,-2753.245649,621.19,-633.7,1254.9,-0.0089,0.0,0.0,0.0,-4.08438,-4.5459309999999995,-2.230187,-3.5766419999999997,-5.2032684717199995,22.2932,0.002833,24
