Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_11.pdb,1,2,0,3,2,5,6,2,4,1,0,1,2,2,0,0.43,0.54,0.49,0.506,0.0,0.37,0.4983333333333333,0.52,0.4425,0.0,0.33999999999999997,0.7,0.0,0.9,0.53,0.98,2.5300000000000002,0.0,0.74,2.9899999999999998,1.04,1.77,0.0,0.6799999999999999,1.4,0.0,0.9,0.53,21.26,37.68,1138.8600000000006,476.7099999999991,662.159999999998,1.0,1.7320508075688772,2.449489742783178,0.0,1.4142135623730951,2.0,1.4142135623730951,0.0,1.4142135623730951,2.23606797749979,0.0,1.0,1.0,1.4142135623730951,1.4142135623730951,0.7879999999999999,-0.524,0.5,-2.0,-1.6,-43.2,1.48,-39.26,41.58,-0.04,0.0406,-0.46,8.2,4.8,-2.2,0.54,3.0,6.2,6.2,0.18,3.74,4.14,-74.8,0.2916927,-5.1,-8.843895,-15.02,-20.442999999999998,-25.14,-23.13,-1644.8,-11.14,-4.19,-35.36,-18.06,-810.04,-653.73,0.0,0.0,0.0,0.0,0.0,-18.0967,-20.4111,0.000579,-3.7460000000000004,-0.875,-46.193000000000005,-9.241,-191.21099999999998,-1.126,2.5069999999999997,0.0,-53.49,41.25,4.64,-55.64,-8828.463,7.415953727380001,-2.105,2.083,0.4085,0.436,-27.15,-2100.0,1.95,17.8,-2112.0,-1.645,1.169,-1.214,2.165,1.6019999999999999,-221.8,0.1603,0.758,-219.6,-3725.2051149999998,-3756.657319,613.79,-1000.58,1614.39,-0.0616,0.0,0.0,0.0,-0.275296,2.073481,0.870009,-2.9024810000000003,-12.8804785198,0.132353,0.006097,31
swarm_0_46.pdb,1,2,8,1,9,4,15,4,6,0,5,2,0,4,0,0.49,0.29,0.54,0.5675,0.3975000000000001,0.37,0.452,0.44999999999999996,0.61,0.0,0.42749999999999994,0.0,0.642,0.0,0.7050000000000001,1.08,2.27,3.1800000000000006,3.33,6.78,1.7999999999999998,3.66,0.0,1.7099999999999997,0.0,3.21,0.0,1.4100000000000001,21.43,37.44,1760.6500000000015,836.2999999999993,924.3500000000004,1.0,1.0,3.872983346207417,0.0,2.0,2.449489742783178,1.4142135623730951,2.8284271247461903,3.0,2.0,2.23606797749979,0.0,1.4142135623730951,0.0,2.0,0.1954,-9.228,-3.46,-9.8,-23.4,-193.0,2.98,-160.52,148.1,-2.9,-0.018496000000000002,-1.52,26.2,9.6,-23.4,80.332,5.8,12.0,18.6,-1.48,6.38,1.66,-257.6,-0.6717144688,-1.8,-10.879974,-13.52,-22.858,-50.22,-41.29,-4248.52,-12.74,-15.35,-29.34,5.39,-871.72,216.65,0.0,0.0,0.0,0.0,0.0,-56.0202,490.19300000000004,0.00037,-2.042,20.89,23.284000000000002,21.176,-4.638999999999999,-1.693,-1.605,0.0,-97.23,164.61,-365.38,104.87,-726.6510000000001,43.882933271999995,-2.094,2.171,0.09417,-1.672,-116.1,-2676.0,3.2760000000000002,-16.82,-2812.0,-1.5859999999999999,1.143,-0.5199,2.315,2.845,-418.2,4.93,-2.915,-423.2,-4062.584042,-4124.148354,2441.53,-1121.08,3562.62,0.2236,0.0,0.0,0.0,-6.1699459999999995,-9.308989,-12.047829,-21.085085,-17.885465125,1.67708,0.004279,61
swarm_100_156.pdb,2,0,3,2,7,1,9,2,7,0,1,1,0,1,0,0.5549999999999999,0.39,0.0,0.62,0.52,0.3814285714285714,0.41333333333333333,0.53,0.3714285714285714,0.0,0.41,0.0,0.58,0.0,0.74,0.0,0.62,1.56,2.67,3.7199999999999998,1.06,2.5999999999999996,0.0,0.41,0.0,0.58,0.0,0.74,21.17,37.96,1453.2099999999955,694.3600000000006,758.8500000000004,1.4142135623730951,1.4142135623730951,3.0,0.0,1.4142135623730951,2.6457513110645907,0.0,1.7320508075688772,2.6457513110645907,1.0,1.0,0.0,1.0,0.0,1.0,1.6344,0.648,4.12,0.2,1.6,-109.4,10.1,-85.38,106.78,1.68,0.063336,3.86,36.0,23.4,0.4,62.312,11.4,19.8,28.0,4.02,15.44,5.88,-160.0,0.73789675,11.9,-8.397001,-7.53,-18.174,-25.42,-21.54,-2313.45,27.2,8.51,-5.96,4.27,-672.44,-214.96,0.0,0.0,0.0,0.0,0.0,-21.8692,-35.1546,0.000305,-4.335,28.693,-43.06,20.052,37.155,-4.456,-5.162000000000001,0.0,-76.53,152.2,-42.92,-67.11,2137.385,39.0060897395,-2.332,2.546,2.88,-0.8938,105.0,-2192.0,18.14,-22.67,-2128.0,-1.672,1.595,0.315,1.9269999999999998,50.39,-390.2,6.587000000000001,0.198,-346.2,-3422.06171,-3460.289431,2314.24,-829.21,3143.45,0.0211,0.0,0.0,0.0,9.492251,10.5483,2.009307,-2.997158,-15.445998471600001,0.679248,0.004222,36
swarm_100_2.pdb,2,0,7,1,6,0,18,6,7,0,2,0,0,1,0,0.51,0.29,0.0,0.0,0.4671428571428571,0.3183333333333333,0.4527777777777778,0.49666666666666665,0.3985714285714286,0.0,0.48,0.0,0.775,0.0,0.0,0.0,0.0,3.2699999999999996,1.9099999999999997,8.15,2.98,2.79,0.0,0.48,0.0,1.55,0.0,0.0,21.08,37.99,1529.3099999999977,731.5300000000007,797.7700000000004,1.4142135623730951,1.0,4.242640687119285,0.0,2.449489742783178,2.6457513110645907,0.0,2.6457513110645907,2.449489742783178,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,3.3336,-3.258,6.0,-5.2,-5.6,-130.6,9.8,-102.48,116.08,0.48,0.07967,-0.78,43.0,26.8,-5.0,92.49799999999999,10.4,21.0,31.2,11.36,24.78,20.22,-189.8,1.0161082572,16.6,-7.507110000000001,-10.79,-19.247,-45.51,-36.1,-2823.26,-0.32,-6.74,44.69,31.62,-660.75,7.07,0.0,0.0,0.0,0.0,0.0,-29.6323,326.931,0.00046100000000000004,-3.8480000000000003,26.965,-6.0729999999999995,22.509,26.379,-5.667000000000001,-6.167999999999999,0.0,-75.85,167.95,-268.94,42.15,1488.649,27.0605149223,-2.447,2.428,0.5005,0.4839,36.97,-2532.0,6.325,-10.14,-2511.0,-1.7069999999999999,1.524,0.9204,3.0380000000000003,28.69,-434.4,11.07,3.778,-413.0,-3674.6586979999997,-3728.732564,2431.87,-916.48,3348.35,0.1131,0.0,0.0,0.0,9.036213,4.352494999999999,3.635931,-7.4370080000000005,-17.2929493153,9.15055,0.00556,50
swarm_101_129.pdb,7,0,7,9,1,2,1,7,3,0,1,0,1,5,0,0.43571428571428567,0.3377777777777778,0.0,0.47,0.41714285714285715,0.39,0.58,0.45428571428571424,0.65,0.0,0.366,0.53,0.88,0.0,0.0,0.0,0.94,2.92,0.39,0.58,3.1799999999999997,1.95,0.0,1.8299999999999998,0.53,0.88,0.0,0.0,21.52,37.9,1384.1500000000015,689.7399999999998,694.3999999999996,2.6457513110645907,3.0,1.0,0.0,2.6457513110645907,1.7320508075688772,0.0,2.6457513110645907,1.0,1.4142135623730951,1.0,0.0,0.0,1.0,2.23606797749979,4.5348,-1.69,6.66,-5.2,-3.8,-106.6,4.46,-90.28,103.86,0.66,0.123108,1.04,21.4,16.8,-1.4,39.632,10.4,23.2,24.8,2.76,6.18,-0.48,-167.8,0.3735170704,6.3,-5.841837,-10.1,-19.723,-21.55,-9.79,-1868.12,6.68,-3.48,105.76,99.35,-661.44,108.51,0.0,0.0,0.0,0.0,0.0,-22.7837,429.755,0.000407,-5.996,15.306,-8.381,8.472000000000001,-208.511,-6.385,-2.423,0.0,-20.44,88.34,-320.56,121.07,-5810.259,15.5677272803,-2.739,2.778,0.493,-1.9980000000000002,-69.69,-2948.0,4.018,25.91,-2996.0,-2.194,2.126,-0.4669,-1.067,-7.318,-369.2,2.826,2.044,-377.3,-3696.2696479999995,-3739.488093,2034.34,-953.53,2987.87,0.2166,0.0,0.0,0.0,0.738121,1.376674,0.885754,-10.861382,-10.2347854262,7.591360000000001,0.003295,44
swarm_101_155.pdb,2,1,6,6,2,0,10,7,2,0,1,0,0,5,1,0.495,0.36999999999999994,0.49,0.0,0.4016666666666666,0.175,0.481,0.47428571428571425,0.65,0.58,0.466,0.0,0.88,0.0,0.0,0.49,0.0,2.4099999999999997,0.35,4.81,3.32,1.3,0.58,2.33,0.0,0.88,0.0,0.0,21.46,37.56,1408.1699999999983,560.2900000000009,847.8799999999992,1.4142135623730951,2.449489742783178,3.1622776601683795,1.0,2.6457513110645907,1.4142135623730951,1.0,2.449489742783178,1.4142135623730951,0.0,1.0,0.0,0.0,0.0,2.23606797749979,4.4176,-1.228,5.82,-2.8,-6.4,-99.4,3.6,-130.64,121.24,0.62,-0.066874,-0.16,32.4,22.0,-3.2,49.026,17.4,23.2,27.2,2.94,8.58,7.1,-213.2,-0.02882244,9.1,-6.222783,-13.1,-20.408,-37.06,-29.88,-2417.67,-19.24,-4.01,-38.25,-11.87,-733.45,-403.68,0.0,0.0,0.0,0.0,0.0,-42.2999,26.3838,0.000481,-13.115,6.132000000000001,-18.160999999999998,-8.799,-116.913,-4.209,-1.9869999999999999,0.0,-39.82,69.07,-252.0,64.02,-4291.771,30.203563093200003,-2.647,2.5839999999999996,0.1967,-0.3711,-150.9,-2776.0,-0.6691,0.4439,-2926.0,-1.972,1.8619999999999999,1.185,1.891,7.897,-345.0,8.064,2.367,-342.8,-3741.99268,-3802.680722,1541.44,-954.86,2496.33,-0.0416,0.0,0.0,0.0,-3.1666630000000002,-4.872678,-7.770801,-10.402839,-11.718406703800001,0.921826,0.004790999999999999,43
swarm_103_113.pdb,7,10,5,6,1,2,4,7,2,0,0,0,2,2,1,0.44571428571428573,0.40499999999999997,0.509,0.55,0.46399999999999997,0.33,0.4375,0.4857142857142857,0.345,0.34,0.33999999999999997,0.605,0.0,0.0,0.0,5.09,1.1,2.32,0.33,1.75,3.4,0.69,0.34,0.6799999999999999,1.21,0.0,0.0,0.0,21.46,37.8,1708.920000000002,765.6900000000005,943.2299999999996,2.6457513110645907,2.449489742783178,2.0,1.0,2.6457513110645907,1.4142135623730951,3.1622776601683795,2.23606797749979,1.0,1.4142135623730951,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,1.9636,3.612,6.36,-2.6,-6.4,-116.2,4.3,-106.32,113.04,1.58,0.051498,0.9,8.2,4.0,-14.0,5.156000000000001,6.8,18.2,21.8,-1.78,7.76,5.66,-195.4,0.48272729659999997,0.4,-7.064578,-17.03,-26.842,-35.45,-34.12,-2840.02,5.42,4.87,9.83,24.39,-911.71,-243.86,0.0,0.0,0.0,0.0,0.0,-28.191999999999997,256.494,0.000417,0.764,0.033,-22.645,-1.4669999999999999,-231.176,-6.808,-2.416,0.0,-27.31,79.97,-288.98,33.96,1623.7939999999999,38.9957021661,-4.369,4.23,-1.642,-1.6130000000000002,-158.2,-3524.0,-9.595,-12.38,-3685.0,-1.7619999999999998,1.642,0.2001,1.3030000000000002,23.05,-381.7,5.167000000000001,0.41700000000000004,-363.4,-4446.314547,-4523.256829999999,1275.61,-1325.92,2601.53,-0.1831,0.0,0.0,0.0,-0.677746,1.247409,-3.4939620000000002,-11.803303,-16.170969470899998,0.024566900000000003,0.006347,49
swarm_103_125.pdb,15,7,2,4,5,2,10,5,4,2,0,0,4,1,2,0.4026666666666667,0.27,0.5657142857142857,0.42500000000000004,0.465,0.454,0.42300000000000004,0.472,0.3675,0.42500000000000004,0.48,0.64,0.0,0.98,0.0,3.9600000000000004,0.8500000000000001,0.93,2.27,4.23,2.36,1.47,0.8500000000000001,0.48,2.56,0.0,1.96,0.0,21.43,37.19,1875.119999999999,864.989999999998,1010.1399999999994,3.872983346207417,2.0,3.1622776601683795,1.4142135623730951,2.23606797749979,2.0,2.6457513110645907,1.4142135623730951,2.23606797749979,1.4142135623730951,0.0,1.4142135623730951,0.0,2.0,1.0,2.106,2.102,2.7,-4.4,-13.6,-133.4,1.38,-140.96,133.76,-1.04,-0.048068,-3.2,3.6,-2.4,-24.8,10.612,8.2,20.8,26.0,-2.28,9.94,-6.76,-236.8,-0.8461795581999999,-6.1,-9.92441,-18.7,-31.761999999999997,-53.07,-59.69,-3989.59,39.79,8.47,3.75,28.26,-983.02,-171.46,0.0,0.0,0.0,0.0,0.0,-29.4164,202.35299999999998,0.000339,8.897,11.402999999999999,-13.623,18.938,-268.808,-6.025,-0.9179999999999999,0.0,-83.77,140.33,-320.83,38.43,1211.3,28.4062670803,-3.502,3.3689999999999998,-0.5622,-0.2017,26.86,-4332.0,-2.2359999999999998,-19.6,-4323.0,-1.0959999999999999,1.122,0.7368,1.15,64.09,-551.8,9.815,-3.3710000000000004,-500.9,-4917.673324,-4995.748077,2985.94,-1554.37,4540.31,-0.0154,0.0,0.0,0.0,2.093163,0.47763100000000003,2.094621,-8.334534,-19.8081659049,1.13514,0.006634999999999999,63
swarm_103_147.pdb,8,3,11,3,6,0,7,10,0,0,2,3,0,1,5,0.3825,0.45,0.5233333333333333,0.0,0.3945454545454546,0.29,0.4557142857142856,0.4790000000000001,0.0,0.548,0.55,0.0,0.5449999999999999,0.0,0.7366666666666667,1.57,0.0,4.340000000000001,1.74,3.1899999999999995,4.790000000000001,0.0,2.74,0.55,0.0,1.0899999999999999,0.0,2.21,21.36,37.38,1501.020000000004,770.0699999999997,730.9599999999991,2.8284271247461903,1.7320508075688772,2.6457513110645907,2.23606797749979,3.1622776601683795,0.0,1.7320508075688772,3.3166247903554,2.449489742783178,0.0,1.4142135623730951,0.0,1.7320508075688772,0.0,1.0,5.227,-0.444,5.76,-1.2,-3.4,-116.2,3.74,-137.46,137.44,-0.72,-0.009344,-2.74,23.4,17.4,-6.0,26.754,26.0,35.2,37.8,4.42,17.96,4.34,-234.6,-0.8162635354000001,1.9,-7.0463,-12.51,-24.969,-37.41,-36.04,-2683.37,17.77,9.08,50.13,47.94,-848.48,-30.07,0.0,0.0,0.0,0.0,0.0,-24.4611,392.778,0.000396,-3.9619999999999997,17.602,-2.4019999999999997,13.4,-131.38,-8.238999999999999,-5.742000000000001,0.0,-55.75,183.17,-269.77,102.66,3015.6479999999997,50.658519061899995,-4.18,4.039,-0.001843,0.050210000000000005,-136.3,-3493.0,-0.07121,-9.12,-3638.0,-2.8930000000000002,2.813,0.8275,2.188,9.26,-427.8,8.282,0.322,-426.5,-4248.516046,-4303.441123,2677.05,-1198.04,3875.09,0.068,0.0,0.0,0.0,-1.5847280000000001,-1.269136,-4.084533,-15.261534,-15.108627022,8.612689999999999,0.00361,59
swarm_103_164.pdb,14,6,7,3,0,0,13,12,1,0,3,0,1,7,1,0.41357142857142865,0.36000000000000004,0.5650000000000001,0.0,0.43142857142857144,0.0,0.48076923076923084,0.4825000000000001,0.75,0.51,0.47857142857142854,0.53,0.58,0.0,0.0,3.3900000000000006,0.0,3.02,0.0,6.250000000000001,5.790000000000001,0.75,0.51,3.3499999999999996,0.53,1.7399999999999998,0.0,0.0,21.46,37.56,1905.9699999999975,956.6499999999996,949.3199999999997,3.7416573867739413,1.7320508075688772,3.605551275463989,1.0,3.4641016151377544,1.0,2.449489742783178,2.6457513110645907,0.0,0.0,1.7320508075688772,0.0,0.0,1.0,2.6457513110645907,6.7006,-5.608,4.0,-14.6,-10.4,-140.0,4.58,-149.36,165.56,-4.96,-0.01974,-10.46,37.4,23.4,-10.2,19.232,24.0,36.8,42.2,4.04,14.66,9.02,-282.4,-1.4071244384000001,18.4,-9.43918,-16.68,-26.834,-45.67,-39.81,-3406.98,-7.73,-0.98,24.83,17.19,-986.44,-167.27,0.0,0.0,0.0,0.0,0.0,-37.441,15.4698,0.000277,1.9469999999999998,15.040999999999999,-42.422,12.745,-60.711999999999996,-8.076,-6.922999999999999,0.0,-123.39,202.36,-356.84,75.45,2136.98,36.986318706,-4.448,4.316,-0.2629,-0.883,-163.8,-3802.0,-2.131,15.27,-3948.0,-3.7239999999999998,3.654,0.5216,1.136,0.2174,-457.7,7.711,0.094,-465.1,-4456.495267,-4528.616545,2435.68,-1265.79,3701.48,0.0076,0.0,0.0,0.0,-1.227769,-1.455624,-6.913123,-15.415607000000001,-15.9038564785,1.6711900000000002,0.004515,68
