Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_175.pdb,2,2,7,3,4,2,4,0,5,0,0,0,1,0,0,0.445,0.34,0.61,0.585,0.38428571428571423,0.29000000000000004,0.47750000000000004,0.0,0.5640000000000001,0.0,0.0,0.52,0.0,0.0,0.0,1.22,1.17,2.6899999999999995,1.1600000000000001,1.9100000000000001,0.0,2.8200000000000003,0.0,0.0,0.52,0.0,0.0,0.0,22.78,34.27,1804.2099999999955,627.7700000000004,1176.4199999999983,1.4142135623730951,1.7320508075688772,2.0,0.0,0.0,2.23606797749979,1.4142135623730951,2.6457513110645907,2.0,1.4142135623730951,0.0,0.0,0.0,1.0,0.0,2.1696,2.7039999999999997,1.4,1.4,-14.4,-146.2,2.8,-176.62,160.1,1.58,0.079192,1.3,28.0,19.8,-9.8,35.632,13.8,24.4,25.2,-0.54,11.18,7.18,-308.6,0.385321996,7.9,-7.029736,-14.19,-24.683000000000003,-39.15,-37.63,-3961.58,6.24,-4.33,10.18,30.42,-969.67,-268.28,0.0,0.0,0.0,0.0,0.0,-31.4645,187.342,0.000359,2.441,8.06,-22.686999999999998,8.232000000000001,-275.707,-9.291,-4.053,6.965,-89.01,72.97,-179.4,62.02,1169.057,35.065773349699995,-4.15,4.169,0.6178,-2.7060000000000004,-245.1,-3170.0,7.71,14.79,-3408.0,-3.4330000000000003,3.866,0.8173,-2.314,35.47,-499.7,8.335,-10.23,-482.8,-4481.896398,-4533.585266,1632.85,-1334.14,2966.99,-0.0609,0.0,0.0,0.0,-2.8967169999999998,-8.394617,-0.405617,-10.160986,-21.842886817800004,4.736190000000001,0.0053,30
swarm_0_21.pdb,1,0,0,2,0,1,3,0,1,0,0,0,0,0,0,0.43,0.44000000000000006,0.0,0.55,0.0,0.0,0.36000000000000004,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,1.08,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,22.69,34.54,1393.920000000002,586.75,807.1699999999983,1.0,1.4142135623730951,1.7320508075688772,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.9468,-3.7460000000000004,-2.08,-9.2,-10.8,-111.4,6.06,-79.08,94.2,-3.28,-0.02174,-3.92,31.6,18.4,-5.2,34.978,7.2,14.6,16.0,4.98,3.52,14.12,-155.8,0.963599898,14.4,-5.122274,-9.47,-21.861,-27.89,-31.15,-3125.7,-13.55,-0.87,-26.02,5.32,-865.95,12.21,0.0,0.0,0.0,0.0,0.0,-39.2086,369.58099999999996,0.00042800000000000005,-23.118000000000002,7.611000000000001,-2.779,-15.785,-64.15100000000001,-5.994,-4.775,-5.727,-75.77,103.72,-470.3,96.91,1887.079,45.103987564300006,-2.875,2.863,0.3753,-0.105,-286.8,-2811.0,4.787,25.54,-3077.0,-0.7084,0.6363,0.1849,0.7070000000000001,4.919,-321.7,3.972,-2.147,-322.9,-4052.9747909999996,-4105.574326,2348.08,-1239.43,3587.5,0.0858,0.0,0.0,0.0,-3.32441,-6.373296,-4.915627,-9.137706,-16.121309713800002,4.357480000000001,0.001375,8
swarm_0_26.pdb,2,0,4,1,2,0,1,0,0,0,0,0,1,0,1,0.435,0.34,0.0,0.0,0.435,0.24,0.52,0.0,0.0,0.44,0.0,0.68,0.0,0.0,0.0,0.0,0.0,1.74,0.48,0.52,0.0,0.0,0.44,0.0,0.68,0.0,0.0,0.0,22.98,34.68,1738.880000000001,642.630000000001,1096.2499999999982,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.4142135623730951,0.0,0.0,0.0,0.0,1.0,0.0,1.8884,2.312,1.06,-3.2,-13.6,-121.0,1.84,-120.46,107.8,-0.44,0.070906,0.34,22.4,16.0,-5.2,44.89,7.2,11.6,13.6,-2.66,15.04,13.66,-193.6,0.80667659,7.9,-6.86325,-17.94,-27.581999999999997,-45.25,-43.89,-2265.17,-17.44,5.04,-8.9,-2.53,-1056.5,-653.51,0.0,0.0,0.0,0.0,0.0,-59.8491,-44.0364,0.00038700000000000003,-8.537,5.327000000000001,-48.653999999999996,-8.075,-228.595,-5.405,-1.062,-23.866999999999997,-82.81,41.84,-527.06,38.84,814.882,13.787588192100001,-3.03,3.076,0.3332,-0.8106,-548.0,-3084.0,8.623,21.3,-3619.0,-1.6,1.686,1.071,0.8153,-36.84,-357.3,7.12,-4.841,-406.1,-4661.99518,-4740.0832869999995,2066.98,-1472.4,3539.38,-0.0635,0.0,0.0,0.0,-1.350939,-4.617012,-1.768676,-6.182219,-18.175671502100002,3.3474,0.002583,12
swarm_0_44.pdb,0,4,0,4,1,2,0,0,0,0,0,0,1,0,0,0.0,0.35250000000000004,0.5275000000000001,0.55,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,2.1100000000000003,1.1,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,22.44,34.27,1709.3099999999977,538.1899999999987,1171.1200000000008,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.4142135623730951,0.0,0.0,0.0,1.0,0.0,1.8606,1.516,2.46,-1.4,-11.0,-145.4,2.5,-137.38,123.84,1.4,0.055134,2.38,16.0,13.4,-9.4,0.7440000000000001,5.8,14.0,15.0,4.94,-3.84,-0.88,-234.0,1.5761789228,5.551115123130001e-16,-6.426634,-16.64,-26.590999999999998,-41.91,-38.57,-4798.72,-0.81,5.58,13.2,19.5,-917.41,-115.07,0.0,0.0,0.0,0.0,0.0,-20.9819,1063.58,0.000412,-2.9739999999999998,-12.380999999999998,16.913,-13.664000000000001,-492.285,-3.384,5.97,5.331,-49.35,14.41,-633.19,151.9,32.508000000100004,12.208837131900001,-2.63,2.62,0.1329,-0.7032,-224.3,-3119.0,2.53,8.125,-3338.0,-2.101,2.365,1.033,-0.6971,-4.112,-422.8,6.151,-4.337,-437.4,-4652.1719570000005,-4745.0329600000005,1110.41,-1504.66,2615.08,0.1402,0.0,0.0,0.0,0.412455,2.85719,2.222075,-12.007453,-21.9426374959,3.27871,0.0045,12
swarm_100_176.pdb,1,5,1,4,3,4,1,1,0,1,2,1,0,1,0,0.44,0.36500000000000005,0.42399999999999993,0.62,0.34,0.4066666666666667,0.34,0.53,0.0,0.0,0.27,0.0,0.86,0.78,0.67,2.1199999999999997,2.48,0.34,1.22,0.34,0.53,0.0,0.0,0.27,0.0,1.72,0.78,0.67,22.9,33.95,2368.470000000005,1007.3100000000013,1361.1799999999985,1.0,2.0,1.0,0.0,1.0,0.0,2.23606797749979,1.0,1.7320508075688772,2.0,1.4142135623730951,1.0,1.0,0.0,1.0,2.4130000000000003,1.4,5.04,0.6,-18.6,-237.6,3.44,-227.42,195.9,4.0,0.009516,4.24,25.2,22.2,-14.8,79.384,9.8,21.6,22.0,-0.32,-12.04,-2.7,-379.8,-0.0603890584,-3.9,-6.319163,-17.44,-32.34,-68.01,-62.57,-4209.68,13.11,4.39,43.3,46.45,-1233.53,257.55,0.0,0.0,0.0,0.0,0.0,9.1317,1964.57,0.000185,-5.55,6.482,41.373999999999995,5.07,-437.16,-7.567,0.7390000000000001,46.842,-61.82,87.83,-522.44,45.09,863.127,25.6167326403,-2.137,2.036,-0.02611,0.8852,184.8,-4811.0,4.664,45.71,-4585.0,-1.3530000000000002,1.599,1.062,-0.3612,44.15,-628.3,11.12,-0.929,-596.2,-5311.777218,-5378.553382,1764.48,-1725.74,3490.23,0.1168,0.0,0.0,0.0,1.772772,-3.244423,-0.39487,-25.073595,-27.6837014594,13.3615,0.004,25
swarm_100_61.pdb,4,7,4,0,1,1,7,0,0,0,0,5,0,3,0,0.525,0.0,0.41571428571428576,0.55,0.36250000000000004,0.41,0.49000000000000005,0.0,0.0,0.0,0.6066666666666666,0.0,0.0,0.0,0.724,2.91,0.55,1.4500000000000002,0.41,3.43,0.0,0.0,0.0,1.8199999999999998,0.0,0.0,0.0,3.6199999999999997,22.78,34.27,1822.0600000000013,843.1000000000004,978.9500000000007,2.0,0.0,2.6457513110645907,0.0,0.0,0.0,2.6457513110645907,2.0,1.0,1.0,0.0,0.0,2.23606797749979,0.0,1.7320508075688772,0.0102,-5.207999999999999,-3.4,-10.2,-22.2,-163.4,-1.22,-157.84,137.68,-2.62,0.010666,-2.64,8.2,2.4,-19.8,2.36,2.6,12.8,10.6,1.04,-5.52,3.72,-270.6,1.3791050132,-12.9,-6.588399000000001,-14.71,-27.438000000000002,-37.44,-32.23,-4331.77,-6.48,-9.2,15.0,20.83,-938.66,-196.83,0.0,0.0,0.0,0.0,0.0,-50.5129,210.822,0.000334,-8.209,8.738,4.702,1.0,-259.38599999999997,2.016,6.944,-43.623999999999995,-70.13,6.63,-460.67,8.5,-5071.888,-2.93434634749,-2.419,2.247,-0.03599,1.374,2.238,-3463.0,1.725,31.59,-3431.0,-2.213,1.995,0.5588,2.3169999999999997,-1.99,-426.3,5.729,5.218999999999999,-428.8,-4751.5944850000005,-4818.324007,1568.72,-1446.08,3014.8,0.0515,0.0,0.0,0.0,-5.777223,-1.489268,-7.5726830000000005,-16.005614,-20.567915636600002,8.99927,0.004344,32
swarm_100_62.pdb,7,3,5,7,9,0,11,2,9,0,3,3,0,5,0,0.3857142857142857,0.3757142857142858,0.4766666666666666,0.0,0.41,0.36888888888888893,0.5109090909090909,0.45999999999999996,0.42888888888888893,0.0,0.49399999999999994,0.0,0.7333333333333334,0.0,0.8466666666666667,1.43,0.0,2.05,3.3200000000000003,5.619999999999999,0.9199999999999999,3.8600000000000003,0.0,2.4699999999999998,0.0,2.2,0.0,2.54,22.76,33.94,2703.6500000000015,1200.9699999999993,1502.680000000002,2.6457513110645907,2.6457513110645907,3.3166247903554,0.0,1.4142135623730951,3.0,1.7320508075688772,2.23606797749979,3.0,0.0,1.7320508075688772,0.0,1.7320508075688772,0.0,2.23606797749979,3.0254,-2.73,7.02,0.6,-19.4,-201.8,3.82,-210.98,185.96,3.1,0.031774000000000004,3.54,31.6,21.2,-13.6,71.294,12.6,21.6,24.4,-5.04,2.94,7.42,-357.6,0.5414033988,-2.7,-5.387951999999999,-17.62,-31.18,-74.43,-60.98,-4548.27,-3.16,-7.1,44.84,26.81,-1049.42,256.52,0.0,0.0,0.0,0.0,0.0,-14.9351,1435.78,0.000229,5.005,13.359000000000002,51.5,23.513,-516.284,-4.082,5.728,94.8,-181.52,72.92,-401.22,-35.39,-785.89,18.181261908099998,-2.032,2.042,-0.07737999999999999,-1.516,-104.5,-4150.0,1.6969999999999998,36.79,-4219.0,-0.8455,0.6549,-0.5936,0.9303,51.2,-746.9,3.003,4.204,-694.5,-5232.049989,-5307.832061,1146.86,-1686.81,2833.67,-0.1005,0.0,0.0,0.0,-2.246079,-4.899145,-4.267298,-20.030913,-29.1443257992,10.8368,0.002203,64
swarm_101_111.pdb,6,1,7,4,2,2,13,1,1,0,2,1,0,2,0,0.4583333333333333,0.315,0.53,0.44000000000000006,0.39999999999999997,0.44499999999999995,0.42615384615384616,0.43,0.26,0.0,0.515,0.0,0.74,0.0,0.7,0.53,0.8800000000000001,2.8,0.8899999999999999,5.54,0.43,0.26,0.0,1.03,0.0,1.48,0.0,0.7,22.52,34.08,1216.449999999997,504.6700000000001,711.7700000000023,2.449489742783178,2.0,3.605551275463989,0.0,1.0,1.0,1.0,2.6457513110645907,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,2.9976,1.3359999999999999,4.32,1.8,-7.2,-93.2,3.66,-98.22,98.14,1.3,0.022482,0.02,14.6,9.8,-6.8,13.708,11.6,15.4,17.4,2.3,6.14,8.4,-176.2,-0.099402873,0.7,-9.194295,-11.04,-23.016,-28.9,-25.78,-3545.16,10.55,-2.52,-10.27,8.63,-902.6,-412.39,0.0,0.0,0.0,0.0,0.0,-28.3573,-30.8892,0.000665,-1.02,7.124,-45.336000000000006,1.571,-61.806999999999995,-4.981,-3.806,-85.964,-114.6,71.29,-268.46,65.44,-14979.537,9.7673719693,-2.379,2.282,-0.397,0.233,-174.4,-2580.0,-1.507,2.441,-2750.0,-1.364,1.4240000000000002,0.2094,-0.4473,20.58,-294.5,2.588,-1.695,-278.2,-4226.147636,-4282.277469,1301.78,-1267.88,2569.67,-0.0037,0.0,0.0,0.0,-4.318241,-3.836767,-0.380863,-5.868619,-10.9632635071,3.17288,0.0038810000000000003,42
swarm_101_148.pdb,7,3,7,10,3,5,10,1,2,0,1,4,3,6,1,0.44571428571428573,0.41,0.5266666666666667,0.56,0.4042857142857143,0.48999999999999994,0.418,0.49,0.505,0.55,0.4533333333333333,0.73,0.86,0.0,0.7025,1.58,2.8000000000000003,2.83,1.4699999999999998,4.18,0.49,1.01,0.55,2.7199999999999998,2.19,0.86,0.0,2.81,22.74,34.0,2132.4100000000035,811.0900000000001,1321.3399999999983,2.6457513110645907,3.1622776601683795,3.1622776601683795,1.0,1.0,1.4142135623730951,1.7320508075688772,2.6457513110645907,1.7320508075688772,2.23606797749979,1.0,0.0,2.0,1.7320508075688772,2.449489742783178,1.8182,2.224,-0.46,-5.4,-19.2,-186.4,3.74,-161.8,148.1,0.18,-0.002936,-1.34,23.8,15.6,-12.2,6.95,6.0,12.2,12.4,2.48,6.4,7.68,-280.2,1.122730707,2.3,-7.961079,-19.93,-32.965,-53.07,-40.02,-6127.47,-14.44,20.69,-2.55,12.53,-1292.67,-244.25,0.0,0.0,0.0,0.0,0.0,-82.8993,358.04400000000004,0.000288,-8.682,9.646,3.279,1.291,-333.5,-5.9510000000000005,0.385,-19.926,-88.37,-2.75,-761.74,55.81,-21053.811,16.1466528317,-3.977,3.9360000000000004,0.1055,-0.691,-287.0,-3572.0,3.627,-0.8746,-3864.0,-2.815,2.889,0.3344,-0.1488,-19.8,-495.0,7.015,-7.385,-529.2,-5293.0434159999995,-5366.483492,1551.8,-1812.01,3363.81,-0.0265,0.0,0.0,0.0,-10.419199,-12.326817,0.7305729999999999,-10.276167,-25.937407494400002,4.11249,0.005873,63
swarm_101_180.pdb,3,3,7,3,2,3,9,1,2,0,0,1,2,1,0,0.36000000000000004,0.35000000000000003,0.53,0.46666666666666673,0.3871428571428572,0.345,0.44,0.44,0.03,0.0,0.48,0.83,0.0,0.0,0.94,1.59,1.4000000000000001,2.7100000000000004,0.69,3.96,0.44,0.06,0.0,0.48,1.66,0.0,0.0,0.94,22.8,34.6,1518.4399999999987,623.8299999999999,894.6099999999988,1.7320508075688772,1.7320508075688772,3.0,0.0,1.0,1.4142135623730951,1.7320508075688772,2.6457513110645907,1.4142135623730951,1.7320508075688772,0.0,0.0,1.0,1.4142135623730951,1.0,2.7056,3.6460000000000004,3.74,-0.2,-0.6,-83.2,5.28,-66.14,76.2,1.44,0.07801799999999999,1.38,20.8,14.8,-3.0,14.475999999999999,7.2,13.8,17.6,5.52,11.54,6.84,-126.8,1.1427635738,3.8,-5.42782,-10.46,-23.941999999999997,-30.87,-23.06,-3871.5,24.51,7.06,18.64,11.94,-868.94,-308.02,0.0,0.0,0.0,0.0,0.0,-8.11477,426.542,0.000389,-1.19,6.699,-28.021,2.707,-188.908,-5.574,-1.985,-34.217,-57.17,63.65,-280.15,66.54,-6702.759,16.8062084974,-2.605,2.6180000000000003,0.5646,-0.5156,-98.27,-2779.0,4.35,-4.4830000000000005,-2886.0,-1.633,1.643,0.3232,0.2009,41.95,-325.8,3.0810000000000004,-2.171,-289.1,-4309.981503,-4367.775902,1423.88,-1346.49,2770.4,0.0437,0.0,0.0,0.0,4.264254,5.607031,1.074611,-3.960293,-16.681883241199998,3.3163400000000003,0.004919,37
