Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_178.pdb,7,4,12,8,18,6,21,7,10,0,2,3,0,2,1,0.4685714285714286,0.37,0.4975,0.6033333333333334,0.47666666666666657,0.35222222222222227,0.44619047619047625,0.5014285714285716,0.4659999999999999,0.34,0.33999999999999997,0.0,0.88,0.0,0.7399999999999999,1.99,3.62,5.719999999999999,6.340000000000001,9.370000000000001,3.5100000000000007,4.659999999999999,0.34,0.6799999999999999,0.0,1.76,0.0,2.2199999999999998,30.2,40.06,3142.9100000000035,1604.2099999999991,1538.7099999999991,2.6457513110645907,2.8284271247461903,4.58257569495584,1.0,2.6457513110645907,3.1622776601683795,2.0,3.4641016151377544,4.242640687119285,2.449489742783178,1.4142135623730951,0.0,1.7320508075688772,0.0,1.4142135623730951,1.8608,-1.9380000000000002,3.58,-8.6,-20.8,-189.2,6.76,-183.52,180.06,-1.12,0.06368,-2.28,46.4,29.6,-10.0,99.59,13.2,23.6,33.8,6.28,16.38,12.12,-316.4,1.1177878928,15.1,-9.282983999999999,-18.49,-44.193999999999996,-55.08,-44.65,-5828.49,-13.2,-1.55,25.18,54.58,-1427.22,-5.73,0.0,0.0,0.0,0.0,0.0,-52.9226,465.661,0.00018600000000000002,-6.8420000000000005,46.106,-8.665,38.397,-13.747,-7.272,-7.011,0.0,-180.4,239.74,-450.89,-52.65,-10366.652,50.141664845200005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7710.4867939999995,-7818.089897,0.0,0.0,0.0,0.1744,0.0,0.0,0.0,3.241391,-3.291701,-9.961011,-23.117359,-24.7271094353,32.1595,0.003554,101
swarm_0_99.pdb,8,3,4,8,6,4,14,5,13,0,0,1,0,0,1,0.49750000000000005,0.34375,0.6333333333333333,0.4675,0.44000000000000006,0.265,0.43714285714285717,0.536,0.5376923076923077,0.55,0.0,0.0,0.0,0.0,0.53,1.9,1.87,1.7600000000000002,1.59,6.12,2.68,6.989999999999999,0.55,0.0,0.0,0.0,0.0,0.53,29.47,40.3,2177.25,1122.239999999998,1055.0099999999984,2.8284271247461903,2.8284271247461903,3.7416573867739413,1.0,2.23606797749979,3.605551275463989,1.7320508075688772,2.0,2.449489742783178,2.0,0.0,0.0,1.0,0.0,0.0,4.0588,-2.662,8.4,-3.6,-16.2,-140.2,12.82,-117.64,140.44,2.06,0.029838,0.38,50.4,27.6,-7.0,164.43200000000002,12.0,21.8,32.6,10.94,20.46,13.66,-239.4,-0.609357872,19.1,-11.533356,-11.99,-35.158,-56.91,-47.88,-4283.78,21.08,-1.82,2.56,25.46,-1357.58,-453.72,0.0,0.0,0.0,0.0,0.0,-49.5843,-28.2247,0.000258,-13.915999999999999,32.17,-67.063,11.547,8.331,-6.729,-6.8870000000000005,0.0,-93.38,235.2,-514.27,-44.63,-5537.369000000001,52.69102252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6602.332541,-6674.4899700000005,0.0,0.0,0.0,0.0949,0.0,0.0,0.0,3.1557049999999998,0.867394,-3.601496,-7.449128999999999,-10.7355373845,29.5852,0.002716,67
swarm_100_152.pdb,9,2,5,15,14,5,13,1,16,0,4,0,0,12,6,0.5255555555555556,0.4073333333333334,0.575,0.558,0.42000000000000004,0.3435714285714286,0.4192307692307692,0.5,0.48187500000000005,0.43,0.41583333333333333,0.0,0.6775,0.0,0.0,1.15,2.79,2.1,4.8100000000000005,5.449999999999999,0.5,7.710000000000001,2.58,4.99,0.0,2.71,0.0,0.0,30.26,39.94,2689.4100000000035,1421.550000000003,1267.8799999999974,3.0,3.872983346207417,3.605551275463989,2.449489742783178,1.0,4.0,1.4142135623730951,2.23606797749979,3.7416573867739413,2.23606797749979,2.0,0.0,0.0,0.0,3.4641016151377544,4.2092,-6.704,3.2,-12.0,-22.0,-193.2,11.58,-204.58,212.82,-1.62,0.003286,-6.6,69.8,43.2,-3.8,202.2,22.2,36.4,45.0,11.58,30.12,14.32,-378.2,0.134483888,23.8,-7.4755270000000005,-13.6,-36.205,-73.75,-61.29,-5521.58,11.35,-5.21,100.14,106.7,-1148.06,734.98,0.0,0.0,0.0,0.0,0.0,-4.41446,2141.01,0.000218,-15.142000000000001,39.394,37.791,28.031,-22.424,-8.067,-7.641,0.0,-120.28,356.96,-653.7,194.52,1444.91,50.5020124201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6942.718454999999,-7021.4440079999995,0.0,0.0,0.0,0.222,0.0,0.0,0.0,6.564261999999999,9.952039,-2.420334,-17.405168,-13.5264163592,34.358000000000004,0.00198,102
swarm_100_198.pdb,8,1,6,16,6,5,18,4,14,1,0,0,3,6,6,0.5125,0.44,0.35,0.752,0.49666666666666665,0.37833333333333335,0.46111111111111114,0.515,0.595,0.385,0.41,0.7766666666666667,0.0,0.9,0.0,0.35,3.7600000000000002,2.98,2.27,8.3,2.06,8.33,2.31,2.46,2.33,0.0,0.9,0.0,30.0,40.15,2781.9900000000052,1292.2499999999964,1489.7400000000016,2.8284271247461903,4.0,4.242640687119285,2.449489742783178,2.0,3.7416573867739413,1.0,2.449489742783178,2.449489742783178,2.23606797749979,0.0,1.0,0.0,1.7320508075688772,2.449489742783178,3.3276,-2.964,4.5,-9.6,-29.4,-233.4,10.36,-228.34,239.96,0.04,0.012834,1.72,53.8,33.4,-10.2,160.114,11.2,31.4,36.4,4.38,21.42,18.58,-422.0,2.2893310097999997,13.0,-12.829673,-25.28,-41.051,-63.88,-63.85,-5338.64,4.17,-8.34,-11.29,12.61,-1666.79,-328.52,0.0,0.0,0.0,0.0,0.0,-68.6421,495.769,0.000154,-14.548,17.184,-52.945,-2.658,-218.583,-2.419,1.734,0.0,-183.43,221.5,-715.18,-32.33,-768.3969999999999,32.4621684209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7423.5904980000005,-7511.779351,0.0,0.0,0.0,0.1126,0.0,0.0,0.0,-2.7358580000000003,-0.651754,-11.958294,-20.643639,-19.4994682219,30.6467,0.0022660000000000002,94
swarm_100_22.pdb,3,0,4,13,13,5,10,3,8,0,4,0,1,6,1,0.5133333333333333,0.40230769230769237,0.0,0.502,0.4275,0.35461538461538467,0.417,0.5333333333333333,0.45374999999999993,0.83,0.4116666666666666,0.83,0.5675,0.0,0.0,0.0,2.51,1.71,4.61,4.17,1.6,3.6299999999999994,0.83,2.4699999999999998,0.83,2.27,0.0,0.0,30.11,39.64,2090.050000000003,1009.6899999999987,1080.3499999999985,1.7320508075688772,3.605551275463989,3.1622776601683795,1.0,1.7320508075688772,2.8284271247461903,0.0,2.0,3.605551275463989,2.23606797749979,2.0,0.0,0.0,1.0,2.449489742783178,3.8344,0.748,4.3,-3.0,-1.8,-194.0,12.74,-175.22,195.84,0.94,0.014356,-0.36,54.0,37.8,-3.4,130.708,26.8,42.0,51.6,8.12,18.18,13.82,-318.0,1.7530491618000001,22.5,-11.068742,-20.85,-34.144,-54.63,-48.19,-3144.72,12.85,-0.05,-19.16,21.2,-1324.49,-467.58,0.0,0.0,0.0,0.0,0.0,-59.0456,99.3258,0.000229,-12.966,33.534,-43.227,16.245,-28.45,-9.077,-8.536,0.0,-81.28,218.3,-326.93,103.13,2316.269,46.5123572213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6626.256233,-6698.6209340000005,0.0,0.0,0.0,-0.0778,0.0,0.0,0.0,11.414666,6.9516279999999995,12.02389,-9.754375,-14.837195259100001,29.9161,0.0019149999999999998,71
swarm_101_175.pdb,3,0,6,8,7,4,12,2,12,0,3,0,1,2,0,0.5299999999999999,0.435,0.0,0.5475,0.4483333333333334,0.29,0.47916666666666674,0.49,0.5483333333333333,0.0,0.27,0.88,0.54,0.0,0.0,0.0,2.19,2.6900000000000004,2.03,5.750000000000001,0.98,6.58,0.0,0.54,0.88,1.62,0.0,0.0,30.15,40.0,2278.5899999999965,956.4500000000007,1322.1399999999994,1.7320508075688772,2.8284271247461903,3.4641016151377544,0.0,1.4142135623730951,3.4641016151377544,0.0,2.449489742783178,2.6457513110645907,2.0,1.7320508075688772,0.0,0.0,1.0,1.4142135623730951,3.5212,-3.912,3.74,-8.2,-16.0,-198.4,8.62,-172.62,170.62,-0.22,0.031262,-2.16,46.6,28.2,-8.0,126.584,14.6,23.8,29.2,3.08,13.1,10.0,-287.6,0.133414388,14.4,-10.648059,-25.71,-35.207,-46.71,-39.82,-3650.99,3.99,5.87,6.02,-0.95,-1256.93,-669.84,0.0,0.0,0.0,0.0,0.0,-64.0657,-24.1435,0.000268,-24.02,11.911,-71.764,-19.285999999999998,-16.771,-4.102,-3.783,0.0,-160.34,118.1,-548.98,-112.94,758.7339999999999,43.2567070087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6750.30449,-6820.114875,0.0,0.0,0.0,-0.1527,0.0,0.0,0.0,5.895997,7.277988000000001,-7.015052000000001,-13.541452,-18.6027631388,29.9025,0.002667,60
swarm_101_191.pdb,3,0,8,5,23,2,10,0,9,0,3,1,1,4,0,0.3466666666666667,0.40199999999999997,0.0,0.525,0.47,0.31478260869565217,0.42800000000000005,0.0,0.6066666666666668,0.0,0.41,0.88,0.6266666666666666,0.0,0.5,0.0,1.05,3.76,7.24,4.28,0.0,5.460000000000001,0.0,1.64,0.88,1.88,0.0,0.5,30.35,39.91,2098.800000000003,812.630000000001,1286.170000000002,1.7320508075688772,2.23606797749979,3.1622776601683795,0.0,0.0,3.0,0.0,2.8284271247461903,4.795831523312719,1.4142135623730951,1.7320508075688772,0.0,1.0,1.0,2.0,3.2478,0.752,5.44,-5.0,-17.8,-261.8,9.64,-242.86,238.6,1.22,-0.079736,0.4,56.0,36.0,-12.8,162.25799999999998,25.2,39.4,46.6,1.3,16.74,9.88,-396.8,-0.9159005481999999,12.7,-10.658874,-24.91,-35.729,-60.96,-50.43,-4125.04,0.93,-4.89,-13.32,-8.16,-1322.53,-699.47,0.0,0.0,0.0,0.0,0.0,-101.21799999999999,32.385,0.000279,-24.956999999999997,7.138999999999999,-50.103,-22.828000000000003,-68.03,-9.166,-7.872999999999999,0.0,-196.89,15.02,-579.68,-59.05,2626.4040000000005,63.9261923387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6838.951126999999,-6908.275398999999,0.0,0.0,0.0,-0.0778,0.0,0.0,0.0,-7.49898,-8.655905,-4.7560709999999995,-14.7332,-19.7947056169,29.9893,0.002855,69
swarm_101_7.pdb,3,2,7,2,17,4,17,1,12,0,5,3,1,7,1,0.38666666666666666,0.49,0.44,0.4075,0.4714285714285714,0.33294117647058824,0.4388235294117647,0.56,0.48750000000000004,0.44,0.38,0.68,0.542,0.0,0.6699999999999999,0.88,1.63,3.3,5.66,7.46,0.56,5.8500000000000005,0.44,2.66,0.68,2.71,0.0,2.01,30.23,39.85,2351.6699999999983,998.75,1352.9300000000003,1.7320508075688772,1.4142135623730951,4.123105625617661,1.0,1.0,3.4641016151377544,1.4142135623730951,2.6457513110645907,4.123105625617661,2.0,2.23606797749979,0.0,1.7320508075688772,1.0,2.6457513110645907,2.0,0.85,1.3,-6.4,-25.2,-269.6,6.38,-250.96,230.82,0.72,-0.046298,-2.9,40.2,23.0,-22.4,129.72,17.8,27.8,31.8,3.88,10.02,10.9,-406.6,-1.142495316,6.4,-14.611092000000001,-26.46,-38.711999999999996,-75.6,-53.68,-5013.26,-2.92,0.7,-80.96,-36.43,-1476.88,-364.48,0.0,0.0,0.0,0.0,0.0,-92.6651,258.925,0.000225,-22.766,14.704,-28.634,-10.925,-44.88399999999999,-8.687999999999999,-7.835,0.0,-243.32,12.26,-729.61,-98.11,1024.073,57.1065756977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7189.278622,-7272.67098,0.0,0.0,0.0,-0.0335,0.0,0.0,0.0,-2.145637,-4.33756,-4.751358,-18.475481,-21.2074415541,32.0462,0.0033659999999999996,82
swarm_101_81.pdb,7,4,13,3,10,4,20,4,15,1,8,0,1,4,0,0.41000000000000003,0.4566666666666667,0.5125,0.5825,0.46461538461538454,0.367,0.4485,0.56,0.574,0.0,0.6125,0.52,0.6775,0.78,0.0,2.05,2.33,6.039999999999999,3.67,8.97,2.24,8.61,0.0,2.45,0.52,5.42,0.78,0.0,29.97,40.06,2893.8099999999977,1424.5199999999968,1469.2800000000025,2.6457513110645907,1.7320508075688772,4.47213595499958,0.0,2.0,3.872983346207417,2.0,3.605551275463989,3.1622776601683795,2.0,2.8284271247461903,1.0,0.0,1.0,2.0,1.0818,-4.24,1.05471187339e-15,-14.6,-37.0,-260.2,2.84,-270.24,242.3,-3.0,0.07069,-5.38,39.8,14.6,-34.0,194.18599999999998,15.0,27.0,33.2,-1.96,15.1,12.04,-439.8,-0.6654983839999999,-2.2,-15.223212,-26.23,-44.415,-93.98,-75.13,-5144.76,0.04,-16.09,-69.07,-10.3,-1527.08,-428.3,0.0,0.0,0.0,0.0,0.0,-76.5935,201.649,0.00017900000000000001,-24.359,32.667,-61.495,2.158,-30.779,-4.801,-4.216,0.0,-200.97,84.22,-469.34,-167.3,3144.301,42.8755236408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7796.906628,-7879.573144,0.0,0.0,0.0,0.1288,0.0,0.0,0.0,-6.683510000000001,-11.699502,-15.270829,-21.362688000000002,-30.997572901599998,29.8185,0.00317,94
swarm_102_135.pdb,7,2,17,11,14,4,13,7,12,0,3,2,3,11,3,0.4914285714285715,0.46545454545454545,0.445,0.6675,0.44705882352941173,0.3328571428571429,0.46615384615384614,0.4914285714285714,0.5166666666666667,0.44,0.3718181818181818,0.7799999999999999,0.7033333333333333,0.0,0.635,0.89,2.67,7.6,4.660000000000001,6.06,3.4399999999999995,6.2,1.32,4.09,2.34,2.11,0.0,1.27,30.17,39.97,2824.459999999999,1384.4300000000003,1440.0400000000009,2.6457513110645907,3.3166247903554,3.605551275463989,1.7320508075688772,2.6457513110645907,3.4641016151377544,1.4142135623730951,4.123105625617661,3.7416573867739413,2.0,1.7320508075688772,0.0,1.4142135623730951,1.7320508075688772,3.3166247903554,7.197,3.054,13.18,-7.6,-10.6,-263.8,12.68,-226.4,231.34,3.08,0.00212,2.38,60.4,40.0,-1.6,75.688,24.6,40.0,45.8,4.9,21.34,20.76,-383.2,1.5704645108000002,12.6,-6.605835000000001,-23.69,-45.321999999999996,-73.47,-58.83,-5646.83,5.83,3.76,53.69,44.27,-1395.77,2.60000000001,0.0,0.0,0.0,0.0,0.0,-23.3205,1611.65,0.00016,-24.906,27.679000000000002,51.243,7.897,-55.023999999999994,-8.076,-7.031000000000001,0.0,-87.66,150.02,-1097.02,57.08,1168.941,56.8791541538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7888.5152849999995,-8001.468245,0.0,0.0,0.0,-0.0797,0.0,0.0,0.0,15.727675,12.078195,-3.5838690000000004,-16.778337,-19.9373820207,36.4905,0.004477,109
