Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_0.pdb,7,4,9,3,2,0,4,3,0,0,1,1,2,5,2,0.5742857142857142,0.47666666666666674,0.49,0.0,0.3766666666666667,0.5249999999999999,0.4525,0.4533333333333333,0.0,0.83,0.472,0.525,0.73,0.0,0.74,1.96,0.0,3.39,1.0499999999999998,1.81,1.3599999999999999,0.0,1.66,2.36,1.05,0.73,0.0,0.74,14.12,35.03,927.4500000000007,381.1899999999996,546.2599999999993,2.6457513110645907,1.7320508075688772,2.0,1.4142135623730951,1.7320508075688772,0.0,2.0,3.0,1.4142135623730951,0.0,1.0,0.0,1.0,1.4142135623730951,2.23606797749979,4.1788,4.364,5.42,2.2,-8.6,-109.6,-2.8,-164.32,139.18,3.26,0.00842,2.36,4.6,4.0,-16.4,11.032,15.0,24.6,25.2,-5.1,-5.06,9.16,-256.0,0.7515065904000001,-12.3,-8.781314,-13.09,-17.1353,-26.61,-20.84,-2682.49,0.66,-6.24,-53.47,-1.52,-695.97,-100.55,0.0,0.0,0.0,0.0,0.0,-37.9732,372.699,0.000811,-4.654,-2.668,-6.181,-7.939,-60.995,-1.9909999999999999,-0.8320000000000001,0.0,-77.08,9.7,-202.06,97.93,237.27700000000002,0.406062494265,-2.5860000000000003,2.61,-0.1069,-1.141,-234.2,-1916.0,-3.966,-10.32,-2157.0,-2.125,2.128,-0.03368,-0.04994,-13.63,-265.3,4.468,-3.907,-287.3,-2833.202988,-2875.562348,-18.68,-1049.78,1031.08,-0.0011,0.0,0.0,0.0,-5.377048,-8.164010000000001,-5.701473,-13.320607,-10.373432669,-1.37742,0.014186,43
swarm_0_132.pdb,4,2,0,4,2,4,6,0,2,1,0,2,4,2,1,0.42250000000000004,0.48750000000000004,0.54,0.68,0.0,0.39,0.4583333333333334,0.0,0.64,0.34,0.475,0.6025,0.0,0.49,0.7,1.08,2.72,0.0,0.78,2.7500000000000004,0.0,1.28,0.34,0.95,2.41,0.0,0.49,1.4,13.48,34.83,877.2900000000009,342.52999999999975,534.75,2.0,2.0,2.449489742783178,1.0,0.0,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,2.0,0.0,1.0,1.4142135623730951,2.0,1.4142135623730951,0.5512,1.5319999999999998,-0.24,-3.6,-11.8,-60.6,-1.2,-90.8,78.94,0.14,0.04749,-1.9,0.6,-3.0,-12.2,17.172,2.4,7.2,6.8,-3.6,-0.46,-3.58,-156.8,-0.4146994428,-6.4,-7.6255619999999995,-10.05,-14.1094,-27.52,-23.66,-2570.38,1.06,-1.43,-37.05,-20.5,-569.22,-237.01,0.0,0.0,0.0,0.0,0.0,-26.205,-6.27796,0.0008300000000000001,-0.718,-3.5189999999999997,-15.628,-5.7989999999999995,-73.844,-0.946,0.457,0.0,-116.29,36.36,-72.76,-14.75,-770.941,-2.66743718646,-2.3680000000000003,2.329,0.002104,0.08104,-64.0,-1694.0,-0.09053,-7.494,-1765.0,-2.187,2.187,-0.384,-0.3148,-4.348,-210.2,1.993,-3.859,-220.4,-2468.938412,-2495.246226,37.12,-870.27,907.4,0.0195,0.0,0.0,0.0,-6.379233,-7.062469,-6.679016000000001,-9.173574,-11.2003075975,-1.31031,0.009412,34
swarm_0_23.pdb,4,5,2,3,3,0,4,5,2,0,0,0,4,1,3,0.4275,0.4633333333333334,0.47000000000000003,0.0,0.54,0.30666666666666664,0.515,0.46799999999999997,0.505,0.83,0.48,0.46,0.0,0.0,0.0,2.35,0.0,1.08,0.9199999999999999,2.06,2.34,1.01,2.4899999999999998,0.48,1.84,0.0,0.0,0.0,14.2,35.23,927.5100000000002,455.47999999999956,472.02999999999975,2.0,1.7320508075688772,2.0,1.7320508075688772,2.23606797749979,1.4142135623730951,2.23606797749979,1.4142135623730951,1.7320508075688772,0.0,0.0,0.0,0.0,2.0,1.0,0.5379999999999999,-3.306,1.74,-5.6,-12.4,-95.6,-0.92,-111.34,108.76,-0.36,-0.01832,-3.44,3.4,-0.6,-16.6,26.886,6.2,20.2,26.4,-5.7,-1.26,4.78,-207.2,-0.4411056904,-3.7,-5.499051000000001,-5.97,-12.4586,-29.97,-29.53,-2125.22,-6.44,-9.38,74.78,56.26,-553.79,332.68,0.0,0.0,0.0,0.0,0.0,-8.58905,289.449,0.000606,3.405,5.527,19.254,10.857000000000001,-7.268,-3.0189999999999997,-2.8810000000000002,0.0,-16.42,75.31,-62.4,5.03,-392.999,-2.6188574573,-2.015,1.8840000000000001,-0.1914,0.4542,-63.17,-2011.0,-6.068,14.1,-2054.0,-2.827,2.092,-3.2289999999999996,1.271,-25.54,-275.8,-6.29,3.05,-292.0,-2320.912985,-2355.294987,765.3,-805.65,1570.95,-0.0984,0.0,0.0,0.0,-7.772628,-10.922493,-1.420671,-7.030722,-10.5407058447,-1.0302200000000001,0.018333000000000002,36
swarm_0_34.pdb,5,6,7,6,2,0,6,6,0,0,0,3,3,3,2,0.566,0.4416666666666667,0.5183333333333334,0.0,0.3585714285714286,0.47,0.4533333333333333,0.4533333333333333,0.0,0.83,0.47,0.52,0.0,0.0,0.7133333333333333,3.1100000000000003,0.0,2.5100000000000002,0.94,2.7199999999999998,2.7199999999999998,0.0,1.66,1.41,1.56,0.0,0.0,2.1399999999999997,13.56,34.46,1052.8100000000013,495.8299999999999,556.9900000000007,2.23606797749979,2.449489742783178,2.449489742783178,1.4142135623730951,2.449489742783178,0.0,2.449489742783178,2.6457513110645907,1.4142135623730951,0.0,0.0,0.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.7288,0.08,3.72,3.2,-14.0,-134.6,-4.58,-171.98,142.74,3.04,-0.048724,2.76,0.2,-1.8,-22.6,7.934,3.8,17.4,19.2,-14.8,0.52,7.52,-270.0,0.6564813256,-12.8,-8.184089,-11.7,-16.2553,-37.9,-34.77,-3159.48,2.13,-7.79,-8.58,3.49,-682.37,143.93,0.0,0.0,0.0,0.0,0.0,-35.1519,683.873,0.0006129999999999999,-4.533,0.895,9.86,-2.6519999999999997,-52.323,-2.096,-1.102,0.0,0.54,9.62,-170.68,77.5,-339.225,-5.109050384140001,-2.238,2.266,0.258,-1.325,-169.1,-2113.0,-2.539,6.447,-2273.0,-1.7890000000000001,1.7690000000000001,-0.6759999999999999,-0.4091,-47.75,-266.4,2.2030000000000003,-4.4510000000000005,-320.8,-2745.6042039999998,-2805.275836,-131.99,-987.16,855.17,-0.1277,0.0,0.0,0.0,-4.94221,-6.568014999999999,-5.357422,-17.306594,-14.959276192899999,-1.53204,0.012081999999999999,49
swarm_0_45.pdb,5,1,6,5,6,3,7,7,0,0,2,1,2,0,2,0.442,0.45600000000000007,0.35,0.65,0.45,0.335,0.5114285714285715,0.48857142857142855,0.0,0.6699999999999999,0.0,0.5349999999999999,0.46,0.0,0.53,0.35,1.9500000000000002,2.7,2.0100000000000002,3.58,3.42,0.0,1.3399999999999999,0.0,1.0699999999999998,0.92,0.0,0.53,13.29,36.42,1280.92,620.0599999999995,660.8500000000004,2.23606797749979,2.23606797749979,2.6457513110645907,1.4142135623730951,2.6457513110645907,0.0,1.0,2.449489742783178,2.449489742783178,1.7320508075688772,1.4142135623730951,0.0,1.0,1.4142135623730951,0.0,5.0862,0.38,6.36,-5.8,-6.4,-146.6,4.62,-128.44,143.86,-0.18,0.019190000000000002,-1.04,25.8,17.6,-8.2,29.378,17.0,30.4,35.0,-0.38,18.08,8.78,-236.4,0.6588816416,6.4,-7.760852000000001,-12.13,-18.4399,-40.21,-37.47,-2347.05,1.38,-0.72,-3.63,-5.45,-864.61,-63.75,0.0,0.0,0.0,0.0,0.0,-42.8938,36.4123,0.000615,-7.6610000000000005,3.313,-10.753,-5.4239999999999995,-62.301,-3.679,-2.495,0.0,-82.24,79.71,-301.56,17.37,169.417,-0.239717771765,-2.917,2.864,0.6609999999999999,-0.1988,-83.94,-2643.0,-1.517,-12.57,-2738.0,-2.575,2.533,0.6496,1.585,5.37,-380.3,8.804,2.8339999999999996,-380.9,-2921.0841800000003,-2970.940862,679.61,-1060.35,1739.95,-0.0492,0.0,0.0,0.0,1.624127,-3.9371080000000003,-2.1796599999999997,-8.102348,-12.332894305999998,7.4291100000000005,0.010255,47
swarm_0_72.pdb,8,4,0,4,2,2,4,4,1,1,0,2,5,2,3,0.42625,0.43500000000000005,0.35,0.65,0.0,0.405,0.47750000000000004,0.4625,0.26,0.5333333333333333,0.5549999999999999,0.536,0.0,0.49,0.72,1.4,1.3,0.0,0.81,1.9100000000000001,1.85,0.26,1.5999999999999999,1.1099999999999999,2.68,0.0,0.49,1.44,14.29,35.43,1052.5199999999986,538.6300000000001,513.8800000000001,2.8284271247461903,2.0,2.0,1.7320508075688772,2.0,1.0,2.0,0.0,1.4142135623730951,1.4142135623730951,0.0,1.0,1.4142135623730951,2.23606797749979,1.4142135623730951,0.7696,0.542,-0.42,-2.0,-19.4,-122.8,-5.58,-151.72,124.52,0.04,-0.025693999999999998,-1.58,1.8,-1.8,-20.2,-0.57,0.6,12.4,13.4,-8.9,-7.34,-12.54,-247.8,0.7722038504000001,-11.7,-5.068931,-8.09,-13.2518,-43.08,-35.4,-2406.74,-0.7,-17.21,27.33,26.44,-556.99,434.65,0.0,0.0,0.0,0.0,0.0,-20.9863,262.551,0.000641,-2.019,3.085,17.109,2.7760000000000002,-57.31399999999999,-3.1510000000000002,-2.062,0.0,-74.06,28.18,-187.91,18.12,-269.092,-8.394043878769999,-1.0979999999999999,0.9714,-0.465,0.5429,-69.34,-1977.0,-7.331,9.805,-2029.0,-0.6875,0.14300000000000002,-1.276,1.9909999999999999,7.055,-334.4,2.19,1.235,-328.3,-2426.155561,-2471.4188050000002,394.18,-867.78,1261.97,-0.0912,0.0,0.0,0.0,-0.87177,-3.543248,-4.996181,-13.592932000000001,-12.024831022,-1.23369,0.014119,42
swarm_0_85.pdb,3,1,8,2,7,0,4,6,0,1,2,2,1,5,1,0.5033333333333333,0.445,0.54,0.0,0.37000000000000005,0.36000000000000004,0.48250000000000004,0.4633333333333333,0.0,0.51,0.47400000000000003,0.53,0.7,0.9,0.635,0.54,0.0,2.9600000000000004,2.5200000000000005,1.9300000000000002,2.78,0.0,0.51,2.37,0.53,1.4,0.9,1.27,14.12,33.33,939.960000000001,449.96000000000004,489.9899999999998,1.7320508075688772,1.4142135623730951,2.0,1.0,2.449489742783178,0.0,1.0,2.8284271247461903,2.6457513110645907,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,2.23606797749979,4.2544,-3.35,5.72,3.33066907388e-16,-1.8,-112.4,1.68,-129.8,121.56,0.68,0.01047,0.2,24.2,17.0,-7.8,33.461999999999996,20.8,27.8,29.4,-3.7,11.8,11.3,-194.8,0.3259263284,-1.9,-8.537158999999999,-11.53,-16.0575,-11.79,-17.29,-1696.82,-4.31,-3.1,17.39,14.79,-657.82,-82.55,0.0,0.0,0.0,0.0,0.0,-43.566,340.098,0.000719,-10.804,7.251,-2.364,-3.7889999999999997,-62.50899999999999,-4.188,-3.0010000000000003,0.0,-33.53,68.27,-302.48,186.49,217.4,17.8612283804,-2.296,2.39,0.6209,-1.321,-110.3,-1973.0,1.078,-8.751,-2093.0,-1.499,1.778,1.787,0.5774,18.73,-247.7,8.674,-0.856,-238.5,-2686.749132,-2727.936879,103.86,-946.22,1050.08,0.0697,0.0,0.0,0.0,0.382324,-3.9275879999999996,-3.026271,-11.621568,-9.07734615857,-1.59141,0.013209,43
swarm_0_89.pdb,8,1,2,2,2,3,4,5,1,1,0,0,3,5,0,0.405,0.195,0.58,0.6533333333333333,0.485,0.365,0.5800000000000001,0.45,0.75,0.0,0.514,0.4266666666666667,0.0,0.49,0.0,0.58,1.96,0.97,0.73,2.3200000000000003,2.25,0.75,0.0,2.57,1.28,0.0,0.49,0.0,13.64,35.23,896.8299999999999,493.25,403.5799999999999,2.8284271247461903,1.4142135623730951,2.0,0.0,2.23606797749979,1.0,1.0,1.4142135623730951,1.4142135623730951,1.7320508075688772,0.0,1.0,0.0,1.7320508075688772,2.23606797749979,1.5432,-3.61,1.96,-5.6,-7.2,-79.4,0.02,-90.32,86.58,-0.98,-0.031428,-2.16,9.8,5.4,-10.2,17.122,10.6,17.2,19.4,-4.56,12.08,0.84,-147.4,-0.5844194528,-3.3,-4.358401000000001,-5.08,-11.8992,-32.4,-24.01,-2473.78,8.23,2.61,42.01,21.53,-490.18,292.69,0.0,0.0,0.0,0.0,0.0,-1.2077799999999999,548.689,0.000729,-7.042999999999999,7.357,35.961999999999996,3.91,-27.706999999999997,-4.989,-4.463,0.0,-64.0,94.49,-71.77,24.39,-1926.398,-8.76603681222,-1.6540000000000001,1.607,0.33399999999999996,0.2965,-43.43,-1851.0,-2.557,12.87,-1879.0,-2.385,2.0540000000000003,-0.5019,2.0269999999999997,-10.1,-254.9,1.713,3.009,-263.7,-2201.3227739999998,-2237.523109,995.39,-794.87,1790.26,0.146,0.0,0.0,0.0,-3.261037,-3.3927680000000002,-6.272784,-9.46609,-10.8898753221,-1.7282400000000002,0.014594999999999999,37
swarm_100_144.pdb,10,4,6,1,0,2,4,4,2,2,0,3,4,1,2,0.515,0.37,0.46499999999999997,0.53,0.48000000000000004,0.0,0.5275,0.46499999999999997,0.505,0.6699999999999999,0.48,0.495,0.0,0.49,0.53,1.8599999999999999,1.06,2.8800000000000003,0.0,2.11,1.8599999999999999,1.01,1.3399999999999999,0.48,1.98,0.0,0.98,1.59,14.45,34.68,1253.1200000000008,667.1799999999994,585.9400000000005,3.1622776601683795,1.0,2.0,1.4142135623730951,2.0,1.4142135623730951,2.0,2.449489742783178,0.0,1.4142135623730951,0.0,1.4142135623730951,1.7320508075688772,2.0,1.0,2.0918,-1.9280000000000002,0.44,-5.6,-12.2,-123.0,-1.04,-137.7,136.38,-2.02,-0.007704000000000001,-3.78,13.0,4.4,-16.6,41.856,16.8,28.6,31.2,-5.94,-0.88,1.04,-240.2,-0.368454716,-11.4,-11.077263,-14.98,-22.3058,-37.96,-32.34,-3076.25,-27.15,-7.78,-63.05,-31.87,-978.07,-512.76,0.0,0.0,0.0,0.0,0.0,-49.7952,-77.9313,0.000559,-8.975,5.17,-42.418,-8.047,-77.05,-2.764,-1.301,0.0,-99.35,61.76,-132.8,-13.6,-590.622,1.5136331683000002,-2.576,2.3890000000000002,-0.8721,0.6544,54.39,-2734.0,-11.43,-7.8229999999999995,-2676.0,-2.472,2.002,-0.8336,2.577,40.23,-377.3,3.338,3.105,-337.3,-3269.1509140000003,-3313.475102,232.81,-1265.42,1498.23,-0.1819,0.0,0.0,0.0,-2.873498,-5.431456,-6.521446,-13.121092,-13.8932400839,-1.32735,0.0124,45
swarm_100_145.pdb,5,4,10,2,2,1,4,6,1,0,6,6,1,5,1,0.458,0.22,0.49,0.57,0.38600000000000007,0.29000000000000004,0.4425,0.4649999999999999,0.25,0.51,0.466,0.52,0.5616666666666666,0.0,0.6983333333333334,1.96,0.57,3.8600000000000008,0.5800000000000001,1.77,2.7899999999999996,0.25,0.51,2.33,0.52,3.37,0.0,4.19,14.2,34.09,971.5900000000001,441.0799999999999,530.5300000000007,2.23606797749979,1.4142135623730951,2.0,1.0,2.449489742783178,1.0,2.0,3.1622776601683795,1.4142135623730951,1.0,2.449489742783178,0.0,2.449489742783178,1.0,2.23606797749979,0.275,-5.002,-1.96,-4.6,-13.0,-116.4,-5.22,-140.04,109.68,-1.88,-0.005562,-2.38,4.8,2.4,-17.2,2.362,7.4,14.4,14.0,-6.64,1.84,1.12,-199.2,-0.684939053,-17.0,-9.250472,-15.27,-22.6528,-24.11,-19.69,-3289.05,-29.8,-10.68,17.56,12.7,-827.42,-190.31,0.0,0.0,0.0,0.0,0.0,-41.0249,157.887,0.000678,-2.437,1.2819999999999998,-12.709000000000001,-2.427,-74.39699999999999,-3.241,-1.827,0.0,-51.15,-37.37,-400.44,173.92,-1282.062,15.8740868354,-2.322,2.2640000000000002,-0.5838,-0.2952,99.51,-2821.0,-8.376,-21.88,-2735.0,-1.615,1.5530000000000002,-0.7106,-0.1906,55.89,-308.6,3.5380000000000003,-3.3510000000000004,-259.6,-3365.75795,-3419.100208,501.82,-1278.57,1780.38,-0.0664,0.0,0.0,0.0,-4.045422,-5.387179,-5.276555,-16.415587,-9.670837468239998,-1.01052,0.012037,54
