Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_116.pdb,2,0,1,9,6,1,10,0,9,0,2,1,1,3,4,0.49,0.43,0.0,0.57,0.35,0.37333333333333335,0.43500000000000005,0.0,0.5066666666666667,0.39,0.41,0.53,0.565,0.0,0.53,0.0,0.57,0.35,2.24,4.3500000000000005,0.0,4.5600000000000005,1.56,1.23,0.53,1.13,0.0,0.53,27.53,42.42,1515.3300000000017,753.2600000000002,762.0700000000015,1.4142135623730951,3.0,3.1622776601683795,2.0,0.0,3.0,0.0,1.0,2.449489742783178,1.0,1.4142135623730951,0.0,1.0,1.0,1.7320508075688772,3.3122,2.2840000000000003,1.76,-5.4,-9.2,-110.6,4.64,-105.96,114.42,-1.78,-0.004226,-2.36,31.0,20.0,-0.2,67.25399999999999,15.0,25.2,25.0,3.56,11.44,1.82,-196.8,0.495801636,11.1,-7.389232000000001,-9.81,-20.14,-41.19,-30.39,-2445.56,25.27,-4.09,-13.14,14.11,-845.98,-96.55,0.0,0.0,0.0,0.0,0.0,-14.5174,220.778,0.000465,-8.751,18.269000000000002,-22.368000000000002,7.281000000000001,-220.31900000000002,-5.933,-1.7469999999999999,0.0,-50.41,132.17,-303.19,47.44,-153.062999999,27.9988679932,-2.046,2.0140000000000002,-0.1246,-0.3553,10.28,-2954.0,4.312,-9.568,-2957.0,-1.8659999999999999,1.564,-0.39899999999999997,1.32,8.972000000000001,-418.2,4.093,-3.8789999999999996,-417.2,-3821.976929,-3860.392103,3294.42,-981.63,4276.04,0.0322,0.0,0.0,0.0,-2.506942,-4.357405,-4.675472,-10.207852,-8.53873556229,5.99644,0.005612,49
swarm_0_122.pdb,5,0,6,7,6,4,9,1,12,0,0,1,0,0,0,0.48599999999999993,0.3657142857142857,0.0,0.5125000000000001,0.4583333333333334,0.29000000000000004,0.45444444444444443,0.55,0.5241666666666668,0.0,0.0,0.0,0.0,0.0,0.7,0.0,2.0500000000000003,2.7500000000000004,1.7400000000000002,4.09,0.55,6.290000000000001,0.0,0.0,0.0,0.0,0.0,0.7,26.91,42.49,1619.5200000000004,779.5,840.0200000000004,2.23606797749979,2.6457513110645907,3.0,0.0,1.0,3.4641016151377544,0.0,2.449489742783178,2.449489742783178,2.0,0.0,0.0,1.0,0.0,0.0,2.0176,-3.944,-0.16,-9.8,-14.6,-125.4,7.42,-97.18,113.8,-3.3,0.0030800000000000003,-7.66,35.6,18.0,-10.6,139.398,9.8,18.0,26.2,4.86,5.24,7.54,-200.4,0.022789396,22.1,-7.757853999999999,-6.17,-20.479,-31.96,-28.29,-3410.49,-16.56,-9.52,37.37,35.27,-1018.07,-319.97,0.0,0.0,0.0,0.0,0.0,-16.0945,631.436,0.000401,-11.658,18.199,-26.244,3.917,-163.494,-7.454,-4.3469999999999995,0.0,-166.53,264.06,-151.92,9.93,1837.346,36.6673768617,-1.903,1.9480000000000002,0.7548,-0.6064,340.7,-3155.0,11.2,-10.37,-2836.0,-0.6924,0.2995,-1.052,1.442,80.25,-532.2,2.198,-2.154,-456.3,-3793.478664,-3827.976429,3930.36,-1024.99,4955.35,0.0018,0.0,0.0,0.0,-4.644065,-4.544876,-7.24114,-16.684707999999997,-10.2918059414,14.0488,0.003137,51
swarm_0_193.pdb,2,3,10,7,11,4,21,3,18,0,1,1,5,0,0,0.48,0.37714285714285717,0.5166666666666667,0.5099999999999999,0.454,0.3018181818181818,0.4538095238095238,0.51,0.5166666666666667,0.0,0.0,0.7779999999999999,0.58,0.0,0.53,1.55,2.0399999999999996,4.54,3.3200000000000003,9.53,1.53,9.3,0.0,0.0,3.8899999999999997,0.58,0.0,0.53,26.67,43.77,2220.0,1081.2700000000004,1138.7300000000014,1.4142135623730951,2.6457513110645907,4.58257569495584,0.0,1.7320508075688772,4.242640687119285,1.7320508075688772,3.1622776601683795,3.3166247903554,2.0,1.0,0.0,1.0,2.23606797749979,0.0,3.5768,-0.7240000000000001,5.8,-13.0,-30.0,-274.8,12.48,-215.52,234.76,-1.04,-0.01936,-3.6,63.0,31.4,-23.0,171.292,13.8,31.6,48.2,-1.38,31.74,32.28,-405.6,0.3949680148,24.5,-3.223081,-5.84,-24.522,-84.74,-71.96,-5047.03,13.46,-2.56,122.92,117.98,-1179.93,1200.42,0.0,0.0,0.0,0.0,0.0,-30.7922,1597.37,0.000258,-15.497,22.381999999999998,121.09,18.994,-187.262,-11.968,-8.41,0.0,-74.61,382.84,-543.82,67.37,4648.195,60.1380953293,-2.035,2.234,1.329,-2.008,-62.59,-4194.0,21.79,-55.72,-4334.0,-2.065,1.864,-0.4502,0.925,-10.52,-739.4,8.918,-9.566,-768.4,-4409.7031640000005,-4482.459885,4939.57,-1286.06,6225.63,0.1364,0.0,0.0,0.0,-6.1723230000000004,-17.408023999999997,-9.204594,-21.617718,-19.5119164621,21.723000000000003,0.003314,86
swarm_0_1.pdb,5,0,1,4,5,1,14,3,3,0,0,0,0,2,2,0.528,0.35750000000000004,0.0,0.55,0.42,0.334,0.45,0.54,0.6233333333333334,0.39,0.52,0.0,0.0,0.0,0.0,0.0,0.55,0.42,1.6700000000000002,6.3,1.62,1.87,0.78,1.04,0.0,0.0,0.0,0.0,26.91,42.78,1169.489999999998,595.960000000001,573.5200000000004,2.23606797749979,2.0,3.7416573867739413,1.4142135623730951,1.7320508075688772,1.7320508075688772,0.0,1.0,2.23606797749979,1.0,0.0,0.0,0.0,0.0,1.4142135623730951,2.1876,-5.77,-0.26,-8.0,-7.4,-73.2,4.9,-55.48,71.46,-2.68,-0.020474000000000003,-3.28,27.0,17.2,-0.8,32.262,9.8,14.6,18.6,0.26,4.96,7.72,-115.6,0.24572976600000002,20.0,-8.325284,-7.23,-16.273,-24.6,-19.75,-1680.66,-3.77,2.35,-14.45,-4.63,-756.39,-409.03,0.0,0.0,0.0,0.0,0.0,-43.8391,-45.4362,0.000661,-10.625,19.107,-41.613,4.32,-121.74,-4.294,-1.9809999999999999,0.0,-108.91,168.69,-147.43,30.22,-2951.593,41.100232232399996,-2.318,2.314,0.5298,-0.3942,84.02,-2591.0,7.797999999999999,-13.92,-2528.0,-0.8839,0.8815,0.8370000000000001,1.2770000000000001,47.69,-332.7,6.225,-0.868,-292.1,-3414.1431390000002,-3446.1212090000004,2278.85,-774.6,3053.44,0.1501,0.0,0.0,0.0,-3.6738410000000004,-4.212825,-5.760738,-8.453535,-6.250783342259999,4.7118,0.002625,40
swarm_0_36.pdb,3,3,2,10,5,6,6,3,18,0,0,3,1,0,3,0.5299999999999999,0.39,0.56,0.4583333333333333,0.5,0.344,0.48666666666666664,0.5166666666666667,0.5327777777777779,0.3866666666666667,0.0,0.68,0.0,0.0,0.5566666666666666,1.6800000000000002,2.75,1.0,1.72,2.92,1.55,9.590000000000002,1.1600000000000001,0.0,0.68,0.0,0.0,1.67,27.3,42.24,1846.6899999999987,933.8000000000011,912.8899999999976,1.7320508075688772,3.1622776601683795,2.449489742783178,1.7320508075688772,1.7320508075688772,4.242640687119285,1.7320508075688772,1.4142135623730951,2.23606797749979,2.449489742783178,0.0,0.0,1.7320508075688772,1.0,0.0,1.9046,-7.666,0.58,-15.2,-23.6,-146.2,7.02,-117.08,123.68,-4.24,0.039886000000000005,-11.8,41.4,18.0,-15.4,129.778,4.6,15.6,24.8,4.34,9.54,6.66,-230.4,-0.4825339852,13.2,-10.548436,-12.05,-26.35,-47.87,-38.4,-3437.09,7.79,-7.01,-50.16,0.86,-1167.97,-522.01,0.0,0.0,0.0,0.0,0.0,-56.6332,2.63331,0.00035,-10.546,20.429000000000002,-62.67,3.617,-247.02200000000002,-4.086,0.607,0.0,-178.61,180.05,-325.15,-103.11,-1755.639,49.18198654060001,-2.681,2.609,0.1826,0.4339,-90.19,-2984.0,5.606,10.09,-3069.0,-2.353,1.6159999999999999,-1.0,2.884,-8.169,-498.6,3.4189999999999996,1.3880000000000001,-508.8,-4444.290690999999,-4491.425642,3844.03,-1297.67,5141.7,-0.07200000000000001,0.0,0.0,0.0,-6.8548919999999995,-5.54674,-13.782797,-21.928186,-14.059581754100002,5.26567,0.006444,63
swarm_0_43.pdb,1,1,1,7,7,7,11,1,13,0,1,0,1,1,0,0.58,0.3657142857142857,0.64,0.5528571428571428,0.42,0.4300000000000001,0.44909090909090915,0.56,0.4530769230769231,0.0,0.48,0.68,0.46,0.0,0.0,0.64,3.87,0.42,3.0100000000000007,4.94,0.56,5.890000000000001,0.0,0.48,0.68,0.46,0.0,0.0,27.27,42.33,1509.819999999996,795.0,714.8099999999995,1.0,2.6457513110645907,3.3166247903554,0.0,1.0,3.605551275463989,1.0,1.0,2.6457513110645907,2.6457513110645907,1.0,0.0,0.0,1.0,1.0,1.2876,3.45,3.04,-6.4,-7.8,-107.0,7.5,-84.86,106.48,-1.38,0.06065,-0.94,29.8,15.6,-8.4,87.45200000000001,11.4,20.8,26.2,4.72,8.88,10.8,-169.6,1.259662796,16.8,-6.730588000000001,-8.22,-21.133000000000003,-35.3,-25.46,-1801.57,-2.98,4.07,35.41,32.63,-1026.28,-476.08,0.0,0.0,0.0,0.0,0.0,1.63496,266.302,0.000379,-9.78,21.254,-20.808000000000003,9.394,-354.73199999999997,-5.733,1.0070000000000001,0.0,-52.89,208.58,-106.58,8.34,1206.155,42.883226836700004,-1.943,1.923,-0.4932,-1.062,97.01,-3099.0,4.0089999999999995,-17.7,-3024.0,-1.3659999999999999,1.189,0.4876,2.093,51.73,-469.7,7.433,-2.997,-428.4,-3919.035492,-3950.353165,3351.58,-1050.36,4401.96,0.0774,0.0,0.0,0.0,0.9556549999999999,1.634622,0.138969,-6.629942,-9.49863778125,5.51952,0.007423000000000001,52
swarm_0_67.pdb,1,0,3,9,13,1,4,0,17,0,0,0,1,4,2,0.43,0.42555555555555546,0.0,0.55,0.3833333333333333,0.3623076923076924,0.4875,0.0,0.40352941176470586,0.44,0.4375,0.68,0.0,0.0,0.0,0.0,0.55,1.15,4.710000000000001,1.95,0.0,6.859999999999999,0.88,1.75,0.68,0.0,0.0,0.0,27.14,42.29,1511.5699999999997,696.7399999999998,814.8299999999981,1.0,3.0,2.0,1.4142135623730951,0.0,4.123105625617661,0.0,1.7320508075688772,3.605551275463989,1.0,0.0,0.0,0.0,1.0,2.0,4.9852,1.518,8.76,-2.6,-0.6,-136.2,12.38,-111.16,136.82,2.34,-0.004215999999999999,1.32,48.8,31.4,0.6,124.196,21.0,31.2,36.0,6.76,19.24,6.9,-220.6,1.1360896679999999,26.3,-7.292796000000001,-9.17,-18.417,-37.08,-30.46,-1493.18,47.15,14.62,14.51,18.99,-833.63,-442.67,0.0,0.0,0.0,0.0,0.0,-13.7399,127.245,0.00037,4.732,27.006999999999998,-49.761,26.763,-120.428,-8.891,-6.602,0.0,-82.75,200.69,-182.98,19.4,3804.461,43.6826141158,-2.15,2.092,0.4624,0.835,-59.97,-2992.0,8.222000000000001,-4.3069999999999995,-3064.0,-0.7871,0.8195,1.641,3.0439999999999996,25.58,-435.1,12.42,-0.7579,-422.7,-3681.1154920000004,-3716.027724,2594.44,-895.37,3489.8,-0.0167,0.0,0.0,0.0,-1.795854,-1.730725,-7.101389999999999,-9.965605,-8.38875405002,4.27908,0.005291,55
swarm_0_85.pdb,4,0,5,2,5,1,12,5,8,0,1,0,1,1,0,0.51,0.34,0.0,0.62,0.44400000000000006,0.446,0.40499999999999997,0.522,0.47250000000000003,0.0,0.41,0.52,0.58,0.0,0.0,0.0,0.62,2.22,2.23,4.859999999999999,2.61,3.7800000000000002,0.0,0.41,0.52,0.58,0.0,0.0,27.27,42.9,1423.8899999999994,827.8000000000011,596.0900000000001,2.0,1.4142135623730951,3.4641016151377544,0.0,2.23606797749979,2.8284271247461903,0.0,2.23606797749979,2.23606797749979,1.0,1.0,0.0,0.0,1.0,1.0,1.7832,1.814,2.54,-12.0,-11.0,-113.4,5.74,-73.32,93.64,-3.22,0.119024,-4.52,35.6,17.4,-8.2,64.736,7.2,14.8,21.4,0.72,12.54,12.78,-148.0,1.248730214,19.9,-7.899646000000001,-6.36,-20.395,-25.58,-27.32,-2031.11,-5.83,5.64,-14.72,1.16,-962.44,-385.02,0.0,0.0,0.0,0.0,0.0,-40.3972,-52.5841,0.000504,-11.817,26.480999999999998,-50.443000000000005,9.62,-134.971,-4.958,-2.3930000000000002,0.0,-111.77,209.62,-287.99,12.5,-3.22199999988,37.8256254743,-2.105,2.154,0.005168,-1.72,-82.06,-2645.0,6.716,-14.33,-2749.0,-1.3259999999999998,1.079,-0.3772,1.8019999999999998,22.05,-396.2,4.27,-3.475,-381.9,-3869.340075,-3907.729424,3314.36,-976.78,4291.14,-0.0581,0.0,0.0,0.0,-0.945838,0.128831,-7.148439,-12.89523,-4.782183288380001,9.6649,0.003556,45
swarm_0_91.pdb,4,2,0,8,5,1,8,0,12,0,2,3,1,3,0,0.455,0.3825,0.565,0.62,0.0,0.354,0.43875,0.0,0.5575,0.0,0.49666666666666665,0.83,0.46,0.0,0.6,1.13,0.62,0.0,1.77,3.51,0.0,6.69,0.0,1.49,0.83,0.92,0.0,1.8,26.84,43.22,1691.4399999999987,763.1299999999992,928.2900000000009,2.0,2.8284271247461903,2.8284271247461903,0.0,0.0,3.4641016151377544,1.4142135623730951,0.0,2.23606797749979,1.0,1.4142135623730951,0.0,1.7320508075688772,1.0,1.7320508075688772,0.8766,-8.248,-3.52,-11.6,-16.8,-131.6,4.0,-117.36,123.82,-4.22,-0.01621,-8.5,31.4,17.0,-10.0,82.492,14.6,21.8,27.6,-1.22,-3.88,0.82,-213.8,-0.7671279028,16.2,-9.080522,-7.85,-21.793000000000003,-52.71,-40.06,-2858.15,13.43,-2.12,-58.18,-31.87,-971.72,-246.77,0.0,0.0,0.0,0.0,0.0,-47.0644,-18.1466,0.00036899999999999997,-13.415,18.187,-50.045,-0.23199999999999998,-88.709,-4.453,-2.7680000000000002,0.0,-149.21,161.02,-317.58,52.02,6504.27,35.395306168000005,-1.7990000000000002,1.7280000000000002,-0.1062,-0.07127,136.8,-3234.0,3.333,-3.945,-3104.0,-0.9026,0.5612,0.09937,1.871,59.34,-466.2,6.502000000000001,0.8607,-412.5,-3988.537453,-4043.356023,3322.77,-1057.98,4380.73,0.054000000000000006,0.0,0.0,0.0,-2.367403,-1.655834,-9.343467,-12.831988,-12.8758214301,5.26984,0.004633,49
swarm_100_125.pdb,0,1,0,1,2,9,4,0,18,0,0,0,0,0,0,0.0,0.08,0.54,0.5588888888888889,0.0,0.175,0.495,0.0,0.5083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.54,5.03,0.0,0.35,1.98,0.0,9.150000000000002,0.0,0.0,0.0,0.0,0.0,0.0,26.97,42.98,1118.5900000000001,659.3099999999995,459.27000000000044,0.0,1.0,2.0,0.0,0.0,4.242640687119285,1.0,0.0,1.4142135623730951,3.0,0.0,0.0,0.0,0.0,0.0,-0.0298,-4.29,-1.6,-10.6,-17.6,-79.2,2.86,-55.74,59.66,-3.26,0.030156,-5.68,13.6,-0.6,-17.4,107.56200000000001,-2.0,3.6,8.2,3.3,-1.54,3.46,-113.6,-0.786272448,4.5,-10.161876,-8.42,-18.907,-23.45,-23.77,-2205.01,-8.95,-7.64,-17.54,-2.76,-630.36,-363.52,0.0,0.0,0.0,0.0,0.0,-6.82402,-6.85725,0.0005070000000000001,-11.501,20.201,-51.497,3.551,-207.74099999999999,-1.53,2.417,0.0,-109.67,125.91,76.74,-127.29,627.52,8.784833155569999,-1.465,1.633,2.699,-1.012,20.5,-1477.0,10.67,12.48,-1455.0,-1.764,1.091,-0.4893,4.052,-12.97,-252.4,2.2,6.768,-260.8,-3743.182795,-3775.601842,1912.75,-964.38,2877.12,-0.0438,0.0,0.0,0.0,-8.246989,-5.398757,-6.540297,-10.261285,-7.4834903512899995,4.0814699999999995,0.008286,35
