Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_14.pdb,4,2,14,8,13,2,11,5,9,0,1,4,0,2,1,0.4175,0.37625000000000003,0.625,0.49,0.4664285714285713,0.32846153846153847,0.4636363636363637,0.516,0.4722222222222222,0.34,0.515,0.0,0.88,0.0,0.8099999999999999,1.25,0.98,6.5299999999999985,4.2700000000000005,5.1000000000000005,2.58,4.25,0.34,1.03,0.0,0.88,0.0,3.2399999999999998,20.04,36.78,2387.130000000001,1142.449999999999,1244.6800000000003,2.0,2.8284271247461903,3.3166247903554,1.0,2.23606797749979,3.0,1.4142135623730951,3.7416573867739413,3.605551275463989,1.4142135623730951,1.0,0.0,2.0,0.0,1.4142135623730951,2.4874,2.352,4.96,1.4,-19.6,-153.8,1.78,-171.94,140.58,3.94,0.11884600000000001,3.56,20.8,15.0,-8.6,78.08,3.0,12.4,16.4,-1.74,4.78,4.44,-263.8,0.407552066,0.4,-0.998834,-13.33,-30.142,-56.14,-45.83,-4567.07,12.22,4.02,123.3,93.11,-833.98,1238.52,0.0,0.0,0.0,0.0,0.0,17.1,2442.61,0.00023500000000000002,-12.339,10.370999999999999,94.525,7.485,-644.674,-6.905,5.343999999999999,0.0,28.83,61.2,-752.79,118.97,-12305.898000000001,41.478677826,-2.593,2.69,1.138,-1.284,604.3,-4405.0,8.529,-33.12,-3842.0,-2.316,1.9980000000000002,-2.043,-0.3843,113.2,-713.9,-2.134,-0.209,-598.8,-5072.77186,-5147.42944,2560.48,-1607.48,4167.96,-0.261,0.0,0.0,0.0,0.7246600000000001,-5.123995,1.908296,-15.688135999999998,-18.218934979100002,18.0278,0.003592,76
swarm_100_100.pdb,10,7,8,5,8,4,10,4,4,0,0,1,3,2,2,0.471,0.34199999999999997,0.55,0.37250000000000005,0.45000000000000007,0.28625,0.4459999999999999,0.46499999999999997,0.5774999999999999,0.34,0.54,0.53,0.0,0.0,0.94,3.85,1.4900000000000002,3.6000000000000005,2.29,4.459999999999999,1.8599999999999999,2.3099999999999996,0.68,1.08,1.59,0.0,0.0,0.94,20.44,36.0,1755.75,731.7600000000002,1024.0,3.1622776601683795,2.23606797749979,3.1622776601683795,1.4142135623730951,2.0,2.0,2.6457513110645907,2.8284271247461903,2.8284271247461903,2.0,0.0,0.0,1.0,1.7320508075688772,1.4142135623730951,5.7264,0.804,6.94,-5.0,-6.0,-173.8,7.0,-155.7,161.22,0.76,0.048456,0.7,34.0,24.2,-6.2,51.068000000000005,21.0,30.6,35.6,8.84,14.2,6.48,-262.6,1.4698542304,9.3,-10.725487,-21.46,-31.846999999999998,-48.4,-49.67,-3720.93,12.45,3.49,10.66,13.7,-1116.65,-160.17,0.0,0.0,0.0,0.0,0.0,-47.5498,235.248,0.00036,-7.754,10.222999999999999,-3.0989999999999998,2.1590000000000003,-273.02,-6.9479999999999995,-1.76,0.0,-118.54,145.71,-625.34,129.95,1623.22,19.4376671648,-3.1239999999999997,3.0060000000000002,-1.092,-0.0842,-180.8,-3993.0,-11.31,-42.96,-4205.0,-1.344,1.473,1.095,0.9093,32.12,-553.4,11.6,-9.116,-542.0,-5231.1388,-5300.738608,2435.02,-1539.3,3974.33,-0.0548,0.0,0.0,0.0,-5.006416000000001,-10.768568,-6.5080089999999995,-21.935031,-19.2191000838,7.27937,0.005059,68
swarm_100_6.pdb,8,9,8,2,5,7,6,12,2,5,0,5,3,4,0,0.41124999999999995,0.445,0.5422222222222222,0.45285714285714285,0.39,0.272,0.46166666666666667,0.46250000000000013,0.64,0.0,0.41,0.8466666666666667,0.0,0.8719999999999999,0.8140000000000001,4.88,3.17,3.12,1.36,2.77,5.550000000000002,1.28,0.0,1.64,2.54,0.0,4.359999999999999,4.07,20.77,36.57,1802.1500000000015,730.9799999999996,1071.1599999999999,2.8284271247461903,1.4142135623730951,2.449489742783178,0.0,3.4641016151377544,1.4142135623730951,3.0,2.8284271247461903,2.23606797749979,2.6457513110645907,0.0,2.23606797749979,2.23606797749979,1.7320508075688772,2.0,3.0138,-0.466,3.2,-9.2,-20.0,-194.6,2.28,-192.48,177.76,-0.96,0.042694,0.16,17.2,7.4,-21.8,52.57,10.2,21.2,22.6,-0.14,13.96,5.04,-306.2,0.3121987974,-21.0,-8.952739999999999,-22.66,-36.946999999999996,-62.46,-57.65,-4865.49,3.28,-12.57,45.95,44.35,-1360.39,294.74,0.0,0.0,0.0,0.0,0.0,-40.563,910.812,0.00038700000000000003,-9.992,-11.615,68.771,-14.731,-478.694,-1.203,7.892,0.0,-75.78,20.89,-952.12,102.67,-4061.17,29.784615864499997,-2.501,2.509,-0.695,-1.954,-100.5,-4214.0,-5.495,-60.8,-4369.0,-1.607,1.4180000000000001,-0.9534,0.2185,24.34,-627.5,4.178,-16.07,-623.4,-5773.788499,-5880.694446,2475.03,-1883.88,4358.91,-0.1211,0.0,0.0,0.0,-0.086572,0.9046780000000001,-5.415785,-16.318009,-20.2398562778,7.56835,0.006737000000000001,76
swarm_101_76.pdb,7,6,12,7,3,1,11,11,2,1,1,2,3,2,4,0.42857142857142855,0.4642857142857143,0.4566666666666667,0.41,0.4166666666666667,0.37666666666666665,0.49090909090909096,0.46545454545454557,0.75,0.43500000000000005,0.41,0.68,0.67,0.78,0.77,2.74,0.41,5.0,1.13,5.4,5.120000000000001,1.5,1.7400000000000002,0.82,2.04,0.67,0.78,1.54,20.85,36.55,2150.540000000001,902.6700000000001,1247.8800000000028,2.6457513110645907,2.6457513110645907,3.3166247903554,2.0,3.3166247903554,1.4142135623730951,2.449489742783178,3.4641016151377544,1.7320508075688772,1.0,1.0,1.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,5.382000000000001,0.23199999999999998,5.88,-3.4,-10.2,-156.0,3.02,-169.84,167.16,-0.42,0.026463999999999998,-0.94,29.4,21.8,-9.0,0.46,22.2,31.6,32.8,4.12,10.78,10.72,-285.0,1.5700125486,-0.9,-9.640239,-21.66,-34.766999999999996,-45.1,-40.58,-5081.66,-23.22,-14.74,4.93,28.0,-1296.25,-142.75,0.0,0.0,0.0,0.0,0.0,-62.1838,257.807,0.00027,-10.62,3.347,5.582000000000001,-6.715,-354.327,-4.493,2.239,0.0,-119.16,111.97,-623.5,178.5,477.23400000000004,54.973342711499996,-4.427,4.244,-0.5511,0.5044,-224.6,-4205.0,-11.93,-69.0,-4487.0,-3.016,3.05,0.08832999999999999,0.1136,23.45,-526.9,7.09,-7.856,-518.4,-5598.427389,-5703.342791,1494.95,-1702.18,3197.14,-0.1186,0.0,0.0,0.0,-6.12817,-11.663250999999999,-7.017302000000001,-20.742307999999998,-22.9009781021,6.8773100000000005,0.004507,73
swarm_102_183.pdb,5,2,8,5,5,2,9,5,1,0,5,3,1,7,0,0.44399999999999995,0.372,0.375,0.6,0.4025,0.268,0.5011111111111112,0.488,0.25,0.0,0.42857142857142855,0.53,0.716,0.0,0.7566666666666667,0.75,1.2,3.22,1.34,4.510000000000001,2.44,0.25,0.0,3.0,0.53,3.5799999999999996,0.0,2.27,20.48,36.34,2011.2400000000016,895.4899999999998,1115.739999999998,2.23606797749979,2.23606797749979,3.0,0.0,2.23606797749979,1.0,1.4142135623730951,2.8284271247461903,2.23606797749979,1.4142135623730951,2.23606797749979,0.0,1.7320508075688772,1.0,2.6457513110645907,2.9374,-2.66,2.96,-4.8,-12.2,-159.6,1.88,-172.62,151.08,0.72,0.077432,0.16,31.8,23.2,-7.8,48.263999999999996,13.6,20.8,24.4,-2.6,9.66,7.6,-265.4,0.2398143156,-1.0,-8.621203999999999,-19.22,-30.999000000000002,-49.98,-44.9,-3777.31,-13.74,-16.56,25.6,14.22,-1324.49,-758.9,0.0,0.0,0.0,0.0,0.0,-58.4686,49.8497,0.00021400000000000002,-14.55,10.237,-18.85,-6.1979999999999995,-399.65,-4.985,2.609,0.0,-152.61,25.7,-315.75,79.63,-245.987,28.4230280151,-2.95,2.987,1.369,0.3772,325.8,-3991.0,10.71,-52.84,-3729.0,-2.5610000000000004,2.925,1.246,0.1103,101.8,-549.1,11.11,-5.01,-463.4,-5173.996548,-5252.28331,547.84,-1495.82,2043.67,0.0197,0.0,0.0,0.0,-4.1128849999999995,-5.457153,-5.308248000000001,-14.308746,-23.759147312,2.67639,0.0037409999999999995,58
swarm_102_39.pdb,4,4,17,3,2,2,9,12,2,1,2,5,1,5,1,0.4175,0.35000000000000003,0.42000000000000004,0.6,0.38529411764705873,0.36,0.4755555555555555,0.4725,0.78,0.83,0.466,0.83,0.7,0.9,0.752,1.6800000000000002,1.2,6.549999999999998,0.72,4.279999999999999,5.67,1.56,0.83,2.33,0.83,1.4,0.9,3.7600000000000002,20.62,36.81,2081.2700000000004,874.4799999999996,1206.7900000000009,2.0,1.7320508075688772,3.0,1.0,3.4641016151377544,1.4142135623730951,2.0,4.123105625617661,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,2.23606797749979,1.0,2.23606797749979,4.56,-2.398,7.58,-8.881784197e-16,-9.8,-178.4,3.88,-193.1,170.56,2.86,0.05677000000000001,2.5,36.6,27.2,-11.2,53.676,19.8,27.2,33.2,-2.9,13.88,17.62,-292.0,0.0081427128,-6.3,-11.126257,-22.32,-31.243000000000002,-54.78,-53.97,-3926.48,-4.62,-8.56,-42.2,-14.44,-1422.45,-563.4,0.0,0.0,0.0,0.0,0.0,-92.5213,-14.7174,0.000259,-17.980999999999998,5.94,-48.058,-16.847,-594.844,-2.7560000000000002,8.546,0.0,-118.71,49.94,-457.88,142.08,-241.095,46.9646004955,-2.273,2.227,-0.2497,-0.7142,89.61,-3948.0,-4.706,-60.42,-3914.0,-1.4369999999999998,1.524,0.5979,0.6933,60.49,-566.8,10.6,-7.29,-524.2,-5223.471972,-5324.296364,866.83,-1491.26,2358.09,-0.0037,0.0,0.0,0.0,-2.807642,-10.680446,-7.9694139999999996,-22.671027,-23.082126594600002,2.91278,0.0030859999999999998,70
swarm_102_52.pdb,11,5,15,4,1,1,9,13,0,1,0,3,3,3,4,0.44727272727272727,0.4475,0.516,0.41,0.432,0.41,0.49888888888888894,0.4638461538461539,0.0,0.5475000000000001,0.41,0.68,0.0,0.78,0.7933333333333333,2.58,0.41,6.4799999999999995,0.41,4.49,6.030000000000001,0.0,2.1900000000000004,1.23,2.04,0.0,0.78,2.38,20.95,36.04,1837.2100000000028,870.3500000000004,966.8799999999992,3.3166247903554,2.0,3.0,2.0,3.605551275463989,0.0,2.23606797749979,3.872983346207417,1.0,1.0,0.0,1.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,4.9024,-4.008,2.84,-4.6,-12.0,-164.8,-1.22,-182.88,169.98,-2.78,0.06242,-2.84,23.0,15.8,-14.8,-17.836,20.8,32.8,33.0,3.14,13.08,4.14,-288.8,0.050878491399999996,-6.1,-10.255754,-17.9,-29.303,-48.85,-40.87,-4011.03,-47.53,-18.75,-26.77,7.25,-1041.89,-217.54,0.0,0.0,0.0,0.0,0.0,-75.0111,162.52100000000002,0.000285,-12.379000000000001,7.157,-21.435,-7.365,-246.607,-2.668,2.017,0.0,-85.11,23.31,-696.49,172.04,134.048,63.1996446742,-4.444,4.246,-0.3436,0.2057,-43.99,-3600.0,-13.45,-27.26,-3658.0,-3.639,3.568,0.9106,1.8459999999999999,26.89,-449.4,8.238,-0.8564,-431.6,-5004.876858,-5087.985118,1027.19,-1429.82,2457.0,-0.0932,0.0,0.0,0.0,-4.211799,-10.035303,-2.7846189999999997,-15.206362,-21.710257716599997,2.2656400000000003,0.005014,73
swarm_103_108.pdb,10,3,4,2,7,5,14,4,3,0,1,0,0,6,0,0.43100000000000005,0.445,0.6066666666666668,0.5519999999999999,0.3825,0.34,0.46500000000000014,0.485,0.6133333333333334,0.0,0.4683333333333333,0.0,0.62,0.0,0.0,1.8200000000000003,2.76,1.53,2.3800000000000003,6.510000000000002,1.94,1.84,0.0,2.81,0.0,0.62,0.0,0.0,20.62,36.36,1744.829999999998,847.7700000000004,897.0600000000013,3.1622776601683795,1.4142135623730951,3.7416573867739413,0.0,2.0,1.7320508075688772,1.7320508075688772,2.0,2.6457513110645907,2.23606797749979,1.0,0.0,0.0,0.0,2.449489742783178,2.5382,-5.388,-0.16,-10.0,-13.8,-116.8,1.54,-124.24,119.22,-3.52,0.049368,-6.92,23.2,12.4,-11.6,46.926,11.2,16.2,19.6,0.62,4.52,1.84,-221.6,-0.7434034862000001,5.8,-7.839150999999999,-19.78,-30.6,-38.51,-48.04,-2710.21,-8.75,-4.61,-14.7,5.47,-1104.09,-448.2,0.0,0.0,0.0,0.0,0.0,-50.3365,128.114,0.000338,-7.704,15.684000000000001,-18.14,6.166,-444.102,-5.185,3.253,0.0,-82.72,184.6,-259.69,35.57,1573.745,48.9397066309,-3.948,3.918,0.1352,-0.6983,-131.7,-3874.0,-0.2936,-6.603,-4012.0,-3.1710000000000003,2.77,-0.6537,2.226,-3.7230000000000003,-463.5,4.263999999999999,2.187,-469.3,-5042.526079,-5115.270309,2684.13,-1486.25,4170.36,-0.0633,0.0,0.0,0.0,1.448181,-0.765663,-5.923545,-16.936088,-18.1206504411,6.9198699999999995,0.005542,59
swarm_103_129.pdb,2,3,11,5,9,1,4,3,2,0,5,6,3,5,0,0.505,0.35,0.3666666666666667,0.55,0.4254545454545454,0.3544444444444445,0.44,0.48,0.515,0.0,0.476,0.47,0.738,0.0,0.7300000000000001,1.1,0.55,4.68,3.1900000000000004,1.76,1.44,1.03,0.0,2.38,1.41,3.69,0.0,4.380000000000001,20.4,36.1,1643.869999999999,574.0299999999988,1069.83,1.4142135623730951,2.23606797749979,2.0,0.0,1.7320508075688772,1.4142135623730951,1.7320508075688772,3.3166247903554,3.0,1.0,2.23606797749979,0.0,2.449489742783178,1.7320508075688772,2.23606797749979,-2.0408,0.6920000000000001,-0.26,3.0,-24.4,-198.0,-3.8,-225.3,163.26,3.54,0.054358000000000004,4.46,18.2,15.2,-17.2,70.866,-2.2,9.2,12.8,-10.1,1.1,1.66,-317.8,0.0665651816,-19.3,-13.385083999999999,-23.7,-31.889,-63.29,-56.55,-4159.32,-34.73,-2.21,-33.95,-4.37,-1284.87,-737.64,0.0,0.0,0.0,0.0,0.0,-67.8501,43.4249,0.00041799999999999997,-5.462000000000001,-7.651,-39.08,-17.021,-444.559,-2.667,5.78,0.0,-143.99,-60.79,-352.53,-32.01,114.35600000000001,17.3282540664,-1.6580000000000001,1.79,1.314,-1.091,351.4,-3582.0,11.29,-70.51,-3313.0,-1.909,2.178,0.3764,-0.3218,35.33,-472.8,9.552,-11.68,-458.7,-5257.603674,-5320.4957460000005,-66.05,-1569.36,1503.32,-0.1378,0.0,0.0,0.0,-5.165086,-12.817730000000001,-1.4203940000000002,-16.693389,-20.172182493,3.26067,0.0036609999999999998,59
swarm_103_135.pdb,1,2,8,2,4,1,5,6,3,0,0,3,0,3,0,0.52,0.265,0.465,0.62,0.4175,0.37749999999999995,0.426,0.49333333333333335,0.17666666666666667,0.0,0.5266666666666667,0.0,0.0,0.0,0.7033333333333335,0.93,0.62,3.34,1.5099999999999998,2.13,2.96,0.53,0.0,1.58,0.0,0.0,0.0,2.1100000000000003,20.58,36.28,1373.8200000000033,528.6200000000008,845.1800000000003,1.0,1.4142135623730951,2.23606797749979,0.0,2.449489742783178,1.7320508075688772,1.4142135623730951,2.8284271247461903,2.0,1.0,0.0,0.0,1.7320508075688772,0.0,1.7320508075688772,1.5946,3.264,5.68,3.6,-9.2,-118.8,4.0,-97.86,94.98,3.74,-0.008893999999999999,6.24,19.8,15.4,-6.8,83.52,3.2,13.2,18.2,0.9,7.08,4.22,-158.4,0.636417676,-3.2,-7.0556220000000005,-19.32,-28.464000000000002,-50.4,-38.04,-2346.07,-12.21,15.13,-11.27,13.38,-1158.04,-632.73,0.0,0.0,0.0,0.0,0.0,-18.9312,176.048,0.00057,-3.596,-0.6629999999999999,-33.166,-7.5760000000000005,-353.971,-3.383,3.342,0.0,-52.45,34.68,-209.51,14.25,-48.61600000000001,26.7908482598,-2.276,2.369,0.6245,-2.0180000000000002,328.9,-3514.0,4.572,-66.46,-3256.0,-0.8189,0.9781,0.4896,-0.1693,88.77,-411.2,6.86,-5.707999999999999,-335.0,-4864.783907,-4914.956472999999,1558.13,-1369.81,2927.94,-0.0133,0.0,0.0,0.0,-1.441132,-2.911571,-1.395861,-9.29263,-14.1677461013,2.9619999999999997,0.005184,38
