Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_93.pdb,5,8,20,3,4,7,20,13,3,3,2,3,3,2,0,0.45199999999999996,0.37333333333333335,0.47875,0.4814285714285714,0.43950000000000006,0.29500000000000004,0.4645,0.4830769230769232,0.25666666666666665,0.0,0.475,0.7833333333333333,0.46,0.6833333333333332,0.7033333333333335,3.83,3.3699999999999997,8.790000000000001,1.1800000000000002,9.290000000000001,6.280000000000001,0.77,0.0,0.95,2.35,0.92,2.05,2.1100000000000003,17.2,39.45,2286.8899999999994,969.8600000000006,1317.039999999999,2.23606797749979,1.7320508075688772,4.47213595499958,0.0,3.605551275463989,1.7320508075688772,2.8284271247461903,4.47213595499958,2.0,2.6457513110645907,1.4142135623730951,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.4142135623730951,2.5232,-1.78,3.4,-13.2,-32.0,-322.2,-0.08,-298.24,272.04,-3.16,0.017854,-3.64,36.2,15.4,-44.4,84.978,19.0,33.0,39.0,-9.34,14.3,18.18,-461.6,1.160230617,8.3,-0.435036,-21.35,-35.748000000000005,-64.93,-54.06,-5063.29,-38.61,-1.82,47.25,69.98,-1413.73,1072.98,0.0,0.0,0.0,0.0,0.0,58.5931,2975.76,0.000217,-6.006,-16.518,112.836,-11.24,-633.327,-9.287,2.7460000000000004,0.0,-79.1,182.89,-1058.3,102.43,-4333.085999999999,48.0316000319,-2.6010000000000004,2.49,-1.581,-1.19,53.4,-6034.0,-26.66,-18.56,-5972.0,-1.725,1.325,0.3095,3.237,60.54,-812.0,11.59,2.6430000000000002,-760.4,-6271.821802,-6363.665572,2691.65,-2002.74,4694.37,0.2644,0.0,0.0,0.0,-15.008030999999999,-18.671016,-14.927625,-33.000157,-26.4684612744,30.4918,0.005229,96
swarm_100_35.pdb,3,6,0,4,1,5,6,6,0,3,0,0,9,1,3,0.41333333333333333,0.33499999999999996,0.435,0.374,0.0,0.27,0.47500000000000003,0.48666666666666664,0.0,0.5599999999999999,0.48,0.7577777777777777,0.0,0.9266666666666666,0.0,2.61,1.8699999999999999,0.0,0.27,2.85,2.92,0.0,1.68,0.48,6.819999999999999,0.0,2.78,0.0,17.23,39.37,1419.7700000000004,548.9200000000001,870.8400000000001,1.7320508075688772,2.0,2.449489742783178,1.7320508075688772,2.449489742783178,0.0,2.449489742783178,0.0,1.0,2.23606797749979,0.0,1.7320508075688772,0.0,3.0,1.0,2.784,-4.414,-0.3,-6.0,-21.6,-114.6,-1.84,-144.82,126.54,-2.4,0.0197,-4.26,6.6,1.0,-16.6,0.146,8.8,18.4,19.6,-2.6,-2.3,-5.14,-238.6,-1.365767838,-6.0,-7.717196,-18.44,-25.454,-46.76,-55.07,-3178.81,-28.33,-3.39,-15.4,-20.67,-1010.44,-304.26,0.0,0.0,0.0,0.0,0.0,-34.7171,-9.65147,0.000368,-0.8809999999999999,-25.307,-30.831,-29.271,-457.577,-0.08199999999999999,8.612,0.0,-120.5,-5.09,-687.62,-86.91,-805.418,18.337044135899998,-2.387,2.305,-0.05265,0.07751,-169.2,-3200.0,-5.654,2.0580000000000003,-3361.0,-2.261,1.6269999999999998,-1.9140000000000001,1.242,-26.99,-365.5,-1.1079999999999999,-1.023,-392.4,-5047.381472,-5087.8691929999995,1121.49,-1374.35,2495.82,-0.1976,0.0,0.0,0.0,-4.847716999999999,-6.8433649999999995,1.9656799999999999,-8.457092,-16.2683702329,8.34286,0.007681,47
swarm_10_132.pdb,15,3,12,6,3,1,9,12,1,0,6,1,1,6,3,0.396,0.5016666666666667,0.4466666666666666,0.77,0.3991666666666666,0.3333333333333333,0.4555555555555555,0.47916666666666674,0.26,0.3966666666666667,0.49000000000000005,0.52,0.6133333333333334,0.0,0.84,1.3399999999999999,0.77,4.789999999999999,1.0,4.1,5.750000000000001,0.26,1.1900000000000002,2.9400000000000004,0.52,3.68,0.0,0.84,18.41,38.41,1798.3400000000001,894.4299999999985,903.8999999999978,3.872983346207417,2.449489742783178,3.0,1.7320508075688772,3.4641016151377544,1.0,1.7320508075688772,3.4641016151377544,1.7320508075688772,1.0,2.449489742783178,0.0,1.0,1.0,2.449489742783178,5.2874,-5.092,1.84,-7.0,-17.0,-169.0,-2.12,-229.6,202.98,-2.38,0.038196,-2.54,18.4,12.0,-19.6,2.764,27.0,34.8,32.6,0.28,8.36,0.84,-365.6,0.5255847274000001,0.9,-8.931575,-15.63,-28.303,-41.72,-34.5,-3429.88,-6.99,-8.6,75.84,31.15,-822.36,791.64,0.0,0.0,0.0,0.0,0.0,-10.9034,1591.09,0.000389,-16.578,12.832,67.544,3.009,-37.221,-5.504,-4.797,0.0,-82.37,92.62,-463.84,119.54,989.293,33.6559932391,-2.3369999999999997,2.198,-1.311,-0.3653,251.2,-4940.0,-20.61,23.25,-4645.0,-2.5860000000000003,2.18,-1.0270000000000001,1.087,36.46,-552.0,3.855,-0.006,-519.4,-5471.818834000001,-5552.686677000001,1275.88,-1528.38,2804.25,0.0294,0.0,0.0,0.0,-5.669968,-4.987191,-6.258411,-20.384916,-19.3373623503,9.201880000000001,0.005215,79
swarm_10_161.pdb,3,6,4,2,4,1,10,6,4,1,0,3,3,2,1,0.44,0.405,0.5333333333333333,0.77,0.4025,0.5,0.45999999999999996,0.46833333333333327,0.63,0.34,0.48,0.7366666666666667,0.0,0.78,0.7799999999999999,3.2,0.77,1.61,2.0,4.6,2.8099999999999996,2.52,0.34,0.96,2.21,0.0,0.78,2.34,17.71,39.01,1848.2000000000007,873.6100000000006,974.5799999999999,1.7320508075688772,1.4142135623730951,3.1622776601683795,1.0,2.449489742783178,2.0,2.449489742783178,2.0,2.0,1.0,0.0,1.0,1.7320508075688772,1.7320508075688772,1.4142135623730951,-0.7752,-4.088,-3.18,-10.2,-33.6,-174.8,0.12,-157.38,142.16,-2.98,0.098604,-7.36,13.6,-0.2,-30.2,46.70399999999999,-2.0,4.6,6.8,-3.9,-6.38,-11.4,-271.0,-0.5791026888,-4.4,-10.531152,-23.47,-35.512,-49.19,-51.32,-4774.45,-19.15,-7.22,-53.41,-26.83,-1465.23,-628.13,0.0,0.0,0.0,0.0,0.0,-81.2481,-53.3168,0.000288,-21.713,-2.108,-33.214,-27.142,-377.02,-0.7859999999999999,6.377000000000001,0.0,-125.1,33.85,-491.14,-169.79,1207.558,28.5870815636,-3.0669999999999997,3.0589999999999997,0.1048,-0.8386,-13.09,-4403.0,-3.826,9.568,-4403.0,-2.645,1.929,-1.1159999999999999,2.911,-18.47,-452.9,3.097,1.965,-472.5,-6085.071145,-6158.654293,1943.49,-1818.06,3761.54,-0.1997,0.0,0.0,0.0,-13.772239,-13.970869,-14.145301000000002,-20.447025,-22.1094079443,8.40447,0.00806,50
swarm_10_170.pdb,19,3,13,8,6,3,8,15,4,0,3,2,3,7,3,0.38947368421052636,0.5125,0.5466666666666667,0.7566666666666667,0.42230769230769233,0.40499999999999997,0.45624999999999993,0.47866666666666685,0.6325000000000001,0.45333333333333337,0.48857142857142855,0.63,0.67,0.0,0.87,1.6400000000000001,2.27,5.49,2.4299999999999997,3.6499999999999995,7.180000000000002,2.5300000000000002,1.36,3.42,1.89,2.0100000000000002,0.0,1.74,18.2,38.25,2138.9300000000003,921.2199999999993,1217.7000000000007,4.358898943540674,2.8284271247461903,2.8284271247461903,1.7320508075688772,3.872983346207417,2.0,1.7320508075688772,3.605551275463989,2.449489742783178,1.7320508075688772,1.7320508075688772,0.0,1.4142135623730951,1.7320508075688772,2.6457513110645907,6.5878,-10.19,3.78,-8.2,-19.6,-206.4,-1.92,-293.9,271.36,-4.26,-0.064256,-10.36,24.2,16.2,-24.8,8.546,42.4,54.4,50.8,-1.74,27.22,3.26,-491.2,-2.2784820424000003,1.5,-4.033185,-19.36,-34.695,-80.22,-77.71,-4632.31,-32.36,-37.24,44.87,58.01,-1180.26,872.0,0.0,0.0,0.0,0.0,0.0,-32.1385,1618.91,0.000263,-17.404,6.614,110.669,0.27699999999999997,-315.763,-6.478,-0.479,0.0,-85.89,93.98,-471.1,32.03,891.997,57.3052624211,-3.577,3.42,-1.857,-1.045,-130.7,-6203.0,-28.94,-1.4409999999999998,-6306.0,-2.431,2.407,-0.2548,-0.2282,-0.6943,-804.7,9.541,-10.96,-825.9,-6130.212706,-6222.652991,2546.37,-1870.04,4416.42,0.1358,0.0,0.0,0.0,-5.781464,-10.566271,-6.035242,-25.983444,-26.843686635,20.4151,0.004495,97
swarm_101_74.pdb,8,13,2,0,0,8,9,5,6,1,0,3,7,0,0,0.47750000000000004,0.0,0.5515384615384616,0.7737499999999999,0.405,0.0,0.47888888888888886,0.534,0.6766666666666667,0.0,0.0,0.6757142857142858,0.0,0.98,0.73,7.170000000000001,6.1899999999999995,0.81,0.0,4.31,2.67,4.0600000000000005,0.0,0.0,4.73,0.0,0.98,2.19,17.57,39.86,1864.3199999999997,868.7999999999993,995.5300000000007,2.8284271247461903,0.0,3.0,0.0,2.23606797749979,2.449489742783178,3.605551275463989,1.4142135623730951,0.0,2.8284271247461903,0.0,1.0,1.7320508075688772,2.6457513110645907,0.0,-1.7302,-6.522,-7.92,-11.4,-42.2,-209.4,-5.64,-197.78,149.04,-2.76,-0.010134,-5.14,-3.6,-12.8,-35.8,27.098000000000003,-12.4,-2.8,-0.4,-10.72,-2.8,2.92,-296.8,-0.41700432340000004,-26.2,-10.483763,-21.05,-31.715,-71.34,-77.43,-7814.32,-57.62,-28.57,-84.97,-28.84,-1278.78,44.45,0.0,0.0,0.0,0.0,0.0,-105.235,132.561,0.000283,-23.901,-18.292,-2.1430000000000002,-42.408,-409.656,5.67,13.453,0.0,-160.88,-66.64,-1085.57,-211.33,-352.461,25.856272780100003,-1.905,1.8840000000000001,-0.03436,-0.09998,57.5,-4004.0,-5.056,-13.75,-3955.0,-2.036,0.7998,-3.742,2.469,24.79,-586.8,-6.992999999999999,-3.8789999999999996,-558.9,-5746.347992,-5818.296129,1773.96,-1760.63,3534.59,-0.2507,0.0,0.0,0.0,-3.7249220000000003,-5.286538,-16.592916,-22.624026,-18.9247882771,12.2922,0.007387,62
swarm_101_83.pdb,10,2,1,5,2,3,15,9,3,2,0,0,5,0,3,0.458,0.35600000000000004,0.5349999999999999,0.48666666666666664,0.35,0.42,0.4386666666666668,0.48777777777777787,0.4266666666666667,0.3966666666666667,0.0,0.4619999999999999,0.0,0.9,0.0,1.0699999999999998,1.46,0.35,0.84,6.580000000000002,4.390000000000001,1.28,1.1900000000000002,0.0,2.3099999999999996,0.0,1.8,0.0,17.57,39.41,1703.0900000000001,693.6700000000001,1009.409999999998,3.1622776601683795,2.23606797749979,3.872983346207417,1.7320508075688772,3.0,1.7320508075688772,1.4142135623730951,1.0,1.4142135623730951,1.7320508075688772,0.0,1.4142135623730951,0.0,2.23606797749979,0.0,4.9598,0.826,3.28,-10.6,-15.2,-133.2,3.7,-135.28,150.92,-3.42,0.054712000000000004,-8.0,23.8,11.8,-13.8,44.724,15.4,27.8,29.4,4.58,12.08,1.02,-267.8,0.3598089744,5.9,-7.510741,-21.57,-29.1,-71.96,-77.92,-3701.38,5.98,5.18,44.69,27.87,-1062.38,153.93,0.0,0.0,0.0,0.0,0.0,-21.815,687.98,0.00043099999999999996,-6.61,-15.950999999999999,-1.9269999999999998,-22.754,-368.789,-2.451,4.556,0.0,-119.94,97.34,-417.44,-45.41,-198.19,49.244579492,-2.0180000000000002,2.074,0.7037,-0.4765,-29.11,-3724.0,-0.2265,-15.22,-3768.0,-1.693,1.495,-1.195,-0.3085,26.52,-539.5,3.5410000000000004,-7.584,-524.1,-5481.612894,-5552.272746,999.6,-1605.58,2605.19,-0.0127,0.0,0.0,0.0,-4.408787,-10.299787,-3.775953,-15.523416000000001,-15.957737356800001,12.7722,0.009932999999999999,60
swarm_102_105.pdb,9,9,2,1,1,6,7,2,3,1,0,4,3,0,0,0.48444444444444446,0.37,0.5166666666666667,0.8366666666666666,0.48,0.58,0.46714285714285714,0.53,0.5966666666666667,0.0,0.0,0.7000000000000001,0.0,0.98,0.8275,4.65,5.02,0.96,0.58,3.27,1.06,1.79,0.0,0.0,2.1,0.0,0.98,3.31,17.78,39.11,1569.1100000000006,712.8199999999997,856.289999999999,3.0,1.0,2.6457513110645907,0.0,1.4142135623730951,1.7320508075688772,3.0,1.4142135623730951,1.0,2.449489742783178,0.0,1.0,2.0,1.7320508075688772,0.0,-0.4798,-6.716,-4.02,-8.0,-25.6,-142.2,-2.72,-131.34,107.14,-2.56,-0.10638,-5.04,3.4,-4.2,-22.2,23.384,-3.6,3.4,5.8,-10.46,3.9,10.58,-205.2,-0.290823828,-18.6,-5.263591,-16.66,-25.453000000000003,-57.17,-64.63,-6387.16,-52.95,-14.2,-31.75,-11.47,-951.41,209.81,0.0,0.0,0.0,0.0,0.0,-61.2691,192.662,0.00049,-15.96,-17.239,11.672,-32.032,-420.55800000000005,3.552,11.542,0.0,-114.08,-66.78,-822.37,-153.13,-589.413,9.73590108636,-2.424,2.396,0.09333,-0.6906,36.0,-3504.0,-5.537000000000001,5.568,-3457.0,-1.839,1.2209999999999999,-2.6710000000000003,0.332,-13.01,-375.7,-2.381,-3.773,-390.1,-5081.0576439999995,-5141.094473,1512.86,-1442.03,2954.9,-0.3749,0.0,0.0,0.0,-1.982128,-2.1632580000000003,-9.502828,-17.970732,-14.663783941300002,11.4127,0.0075,48
swarm_102_1.pdb,8,5,1,2,0,6,8,4,3,2,0,1,5,2,0,0.39250000000000007,0.405,0.538,0.7883333333333332,0.42,0.0,0.47375000000000006,0.53,0.7633333333333333,0.0,0.33999999999999997,0.6620000000000001,0.0,0.88,0.72,2.69,4.7299999999999995,0.42,0.0,3.7900000000000005,2.12,2.29,0.0,0.6799999999999999,3.3100000000000005,0.0,1.76,0.72,17.96,39.02,1243.7000000000007,551.4399999999987,692.2399999999998,2.8284271247461903,1.4142135623730951,2.8284271247461903,0.0,2.0,1.7320508075688772,2.23606797749979,1.0,0.0,2.449489742783178,0.0,1.4142135623730951,1.0,2.23606797749979,1.4142135623730951,-0.6786,-4.512,-6.56,-8.8,-24.2,-111.6,-2.58,-103.46,85.58,-2.92,-0.036680000000000004,-7.88,-0.8,-7.4,-18.8,0.122,-5.8,-0.4,-1.8,-4.78,7.68,3.92,-180.0,-1.1437996648,-9.5,-8.147511999999999,-16.14,-24.285,-43.73,-48.53,-4583.05,-37.86,-13.26,-16.51,3.81,-1091.88,-404.75,0.0,0.0,0.0,0.0,0.0,-64.6103,14.9454,0.000606,-16.957,-11.24,-9.338,-29.13,-438.218,2.861,11.187000000000001,0.0,-79.7,-17.98,-603.2,-80.75,-234.37599999999998,16.066105985,-1.956,1.886,0.225,0.5255,32.52,-2776.0,-2.697,-5.814,-2747.0,-1.112,0.1041,-3.3089999999999997,1.6540000000000001,19.5,-358.7,-6.032,-2.533,-335.7,-4925.238883,-4972.962987,1493.82,-1336.24,2830.04,-0.095,0.0,0.0,0.0,-2.360799,-1.264051,-6.80708,-10.807807,-14.7643881026,15.14,0.0077870000000000005,47
swarm_10_29.pdb,11,2,13,3,6,5,10,21,3,0,6,3,1,7,6,0.37454545454545446,0.47000000000000003,0.46499999999999997,0.756,0.43769230769230766,0.40833333333333327,0.4790000000000001,0.46952380952380957,0.77,0.3966666666666667,0.4671428571428571,0.52,0.6866666666666666,0.0,0.7733333333333334,0.9299999999999999,3.78,5.6899999999999995,2.4499999999999997,4.790000000000001,9.860000000000001,2.31,2.3800000000000003,3.2699999999999996,0.52,4.12,0.0,2.3200000000000003,19.01,37.79,2283.209999999999,1092.1800000000003,1191.0299999999988,3.3166247903554,1.7320508075688772,3.1622776601683795,2.449489742783178,4.58257569495584,1.7320508075688772,1.4142135623730951,3.605551275463989,2.449489742783178,2.23606797749979,2.449489742783178,0.0,1.7320508075688772,1.0,2.6457513110645907,4.0116,-17.308,-1.22,-14.6,-21.6,-208.8,-3.78,-271.08,249.16,-8.38,-0.041706,-12.52,28.6,14.6,-31.2,37.504,34.2,47.6,47.6,-9.06,13.54,-4.1,-435.0,-2.6888618424,1.5,-15.197413000000001,-24.88,-38.079,-63.22,-51.12,-4575.92,-20.0,-14.55,-2.23,15.4,-1300.61,10.77,0.0,0.0,0.0,0.0,0.0,-83.0206,180.928,0.000217,-19.925,22.625999999999998,-31.362,-0.436,-80.953,-5.428999999999999,-3.89,0.0,-180.64,108.09,-466.15,83.56,583.977,26.702606871999997,-2.06,1.984,-1.053,-1.05,819.4,-6855.0,-21.62,0.9166,-6013.0,-2.803,2.26,-0.9053,2.583,65.95,-782.6,7.244,0.5951,-723.3,-6515.733590999999,-6596.161021,2254.95,-1914.99,4169.94,-0.1037,0.0,0.0,0.0,-9.974269999999999,-14.346164000000002,-14.619492000000001,-31.963878,-27.2804677827,17.230999999999998,0.003515,97
