Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_109.pdb,6,2,5,6,11,3,15,3,5,0,0,3,1,4,2,0.4183333333333334,0.3666666666666667,0.445,0.64,0.36,0.34272727272727277,0.4973333333333334,0.48,0.53,0.34,0.45749999999999996,0.52,0.0,0.0,0.7266666666666666,0.89,1.92,1.8,3.7700000000000005,7.460000000000001,1.44,2.6500000000000004,0.68,1.8299999999999998,0.52,0.0,0.0,2.1799999999999997,23.17,37.16,1530.0399999999972,703.3600000000006,826.6700000000019,2.449489742783178,2.449489742783178,3.872983346207417,1.4142135623730951,1.7320508075688772,2.23606797749979,1.4142135623730951,2.23606797749979,3.3166247903554,1.7320508075688772,0.0,0.0,1.7320508075688772,1.0,2.0,6.8892,-3.29,6.28,-6.0,-7.0,-138.2,7.52,-151.04,160.84,-1.18,0.023622,-2.62,44.6,30.2,-3.2,88.52600000000001,25.8,35.6,41.8,4.96,24.32,10.3,-262.2,0.2373891264,16.7,-7.785858,-13.37,-25.401,-43.29,-38.5,-2501.02,-8.95,-7.87,5.55,29.88,-1039.59,-278.46,0.0,0.0,0.0,0.0,0.0,-27.7743,544.615,0.000365,-9.246,17.463,-11.620999999999999,7.055,23.199,-7.541,-7.982,0.0,-68.72,188.95,-236.32,124.99,-17287.156000000003,46.78241437689999,-3.489,3.4739999999999998,-0.8699,-0.9288,-98.92,-3258.0,-0.09886,-37.37,-3394.0,-2.063,2.199,0.4783,-0.1302,25.03,-492.6,8.434,-12.2,-488.2,-4655.067053,-4717.141868,2435.6,-1366.83,3802.43,0.0437,0.0,0.0,0.0,-1.8163779999999998,-8.85343,-2.6448400000000003,-14.734323999999999,-14.523840399900001,14.9314,0.005742000000000001,66
swarm_0_152.pdb,3,4,3,1,3,1,8,5,1,1,0,1,0,2,4,0.5633333333333334,0.29,0.5125000000000001,0.55,0.42,0.3566666666666667,0.41875,0.476,0.43,0.5025,0.5,0.0,0.0,0.9,0.7,2.0500000000000003,0.55,1.26,1.07,3.35,2.38,0.43,2.01,1.0,0.0,0.0,0.9,0.7,23.39,36.7,1351.3399999999965,649.1500000000015,702.1999999999989,1.7320508075688772,1.0,2.8284271247461903,2.0,2.23606797749979,1.0,2.0,1.7320508075688772,1.7320508075688772,1.0,0.0,1.0,1.0,0.0,1.4142135623730951,2.5714,-0.20800000000000002,3.1,-1.8,-7.2,-66.2,2.24,-83.8,81.8,1.12,0.032168,2.48,7.8,7.2,-4.2,20.574,7.8,16.2,16.4,3.42,1.58,3.96,-147.4,0.676053772,1.0,-5.959933,-10.8,-18.534000000000002,-46.5,-36.22,-1660.75,6.49,-11.93,-14.78,1.12,-873.93,-307.31,0.0,0.0,0.0,0.0,0.0,-31.1264,-63.8907,0.0004,-2.108,7.806,-44.963,1.202,-6.218999999999999,-1.5,-1.382,0.0,-80.4,75.24,-138.94,-44.6,-16883.506999999998,34.085531815900005,-3.2739999999999996,3.228,-0.8544,-1.6440000000000001,135.3,-2842.0,-2.552,-10.47,-2715.0,-2.6519999999999997,2.7289999999999996,0.3235,-0.2832,33.63,-332.9,4.75,-3.076,-307.1,-3945.901795,-3995.827266,1425.48,-971.83,2397.32,0.0411,0.0,0.0,0.0,2.0986700000000003,1.5713469999999998,-3.006998,-9.067077000000001,-16.533292428299998,6.7356300000000005,0.004946,37
swarm_0_9.pdb,7,3,5,8,5,4,21,8,4,0,1,0,0,6,0,0.5328571428571428,0.38875000000000004,0.5333333333333333,0.49750000000000005,0.51,0.31799999999999995,0.44714285714285723,0.47625,0.5725,0.0,0.4566666666666666,0.0,0.58,0.0,0.0,1.6,1.9900000000000002,2.5500000000000003,1.5899999999999999,9.390000000000002,3.81,2.29,0.0,2.7399999999999998,0.0,0.58,0.0,0.0,22.9,37.15,1778.9199999999983,913.2700000000004,865.6499999999996,2.6457513110645907,2.8284271247461903,4.58257569495584,0.0,2.8284271247461903,2.0,1.7320508075688772,2.23606797749979,2.23606797749979,2.0,1.0,0.0,0.0,0.0,2.449489742783178,4.4458,-8.37,0.34,-14.2,-18.4,-206.8,7.96,-191.72,206.26,-5.22,-0.082914,-8.7,53.8,32.4,-14.6,72.05199999999999,25.2,36.4,48.4,0.72,10.66,17.0,-342.0,-0.6286774279999999,25.6,-6.779358,-9.21,-24.826999999999998,-69.54,-60.07,-3356.07,-4.82,-12.82,18.71,28.23,-928.07,348.09,0.0,0.0,0.0,0.0,0.0,-23.9209,979.602,0.00034500000000000004,-10.219,27.787,26.563000000000002,20.224,-15.839,-8.371,-8.07,0.0,-152.67,274.85,-282.81,122.87,-7732.525,58.1488430916,-2.258,2.148,-1.3559999999999999,-0.5185,26.45,-4042.0,-4.615,-46.46,-4058.0,-1.325,0.8174,-0.3249,2.545,30.44,-654.0,7.747999999999999,-6.692,-638.0,-4626.478604999999,-4680.651443,3002.25,-1297.44,4299.69,0.048,0.0,0.0,0.0,-10.696506,-10.136989,-8.301919,-16.806525,-14.961548421300002,19.3112,0.0041530000000000004,72
swarm_100_51.pdb,1,0,2,4,3,5,11,4,2,0,0,0,1,3,0,0.49,0.3825,0.0,0.4800000000000001,0.405,0.34333333333333327,0.4063636363636363,0.44,0.515,0.0,0.49666666666666665,0.53,0.0,0.0,0.0,0.0,2.4000000000000004,0.81,1.0299999999999998,4.47,1.76,1.03,0.0,1.49,0.53,0.0,0.0,0.0,22.88,36.61,1656.8799999999974,763.7799999999988,893.0799999999981,1.0,2.0,3.3166247903554,0.0,2.0,1.4142135623730951,0.0,1.4142135623730951,1.7320508075688772,2.23606797749979,0.0,0.0,0.0,1.0,1.7320508075688772,2.1544,-3.516,2.86,-9.0,-11.6,-119.4,4.86,-92.7,99.7,-1.54,0.070898,-3.1,25.2,13.6,-11.6,69.0,5.4,11.2,20.0,8.04,6.14,-1.38,-166.4,-0.1460988468,9.1,-7.0465,-14.38,-22.844,-33.94,-29.13,-1968.65,4.92,-0.18,-16.15,1.66,-850.78,-300.45,0.0,0.0,0.0,0.0,0.0,-23.2649,-4.12909,0.000408,-8.165,13.208,-49.736000000000004,0.069,24.555999999999997,-4.888,-5.355,0.0,-110.44,120.7,-245.39,-47.7,132.02100000000002,25.0164247823,-3.159,3.228,1.082,-1.203,291.8,-3092.0,8.626,-5.484,-2814.0,-3.27,2.989,0.2455,2.633,29.49,-370.2,4.95,5.159,-340.5,-4380.961163,-4440.10207,1000.91,-1188.17,2189.1,0.1377,0.0,0.0,0.0,4.165026999999999,1.8005959999999999,-0.761691,-5.7920300000000005,-15.7698304273,11.0723,0.003083,36
swarm_101_115.pdb,3,7,3,1,4,5,8,7,6,0,0,0,1,2,0,0.5066666666666667,0.31,0.52,0.524,0.39666666666666667,0.355,0.5375,0.46714285714285714,0.5033333333333333,0.0,0.52,0.83,0.0,0.0,0.0,3.64,2.62,1.19,1.42,4.3,3.27,3.02,0.0,1.04,0.83,0.0,0.0,0.0,23.23,36.67,1710.1000000000022,846.9300000000003,863.1699999999983,1.7320508075688772,1.0,2.8284271247461903,0.0,2.6457513110645907,2.449489742783178,2.6457513110645907,1.7320508075688772,2.0,2.23606797749979,0.0,0.0,0.0,1.0,1.4142135623730951,3.2128,1.598,5.36,-4.4,-13.6,-112.4,4.54,-109.44,113.0,0.76,-0.06707,-0.5,17.6,8.6,-14.2,29.804000000000002,8.0,15.0,19.2,1.58,9.24,2.44,-197.0,-0.633511108,-1.6,-10.003689999999999,-13.63,-24.351999999999997,-48.27,-37.07,-2764.68,-19.39,-10.27,-66.03,-36.4,-1241.29,-758.5,0.0,0.0,0.0,0.0,0.0,-57.02,-95.1208,0.00038700000000000003,-12.664000000000001,8.059,-66.9,-11.295,-101.24700000000001,-2.4130000000000003,-0.489,0.0,-197.53,72.95,-349.25,-77.11,386.44699999999995,25.858233478899997,-1.3359999999999999,1.386,0.3875,-1.273,20.74,-2555.0,2.908,13.57,-2524.0,-1.206,0.7518,-1.3330000000000002,1.382,3.947,-380.8,0.2546,2.208,-374.9,-4561.2309,-4606.518285,1411.74,-1252.62,2664.36,-0.2138,0.0,0.0,0.0,-1.22374,-4.173797,-3.380842,-9.089942,-20.1326576781,10.8974,0.004213000000000001,47
swarm_101_131.pdb,2,6,1,3,4,9,9,15,3,2,1,4,1,1,0,0.485,0.5933333333333334,0.49666666666666665,0.5055555555555555,0.57,0.48,0.4744444444444444,0.4840000000000001,0.42,0.0,0.87,0.7,0.67,0.9,0.7525,2.98,4.55,0.57,1.92,4.27,7.260000000000002,1.26,0.0,0.87,0.7,0.67,1.8,3.01,22.84,37.06,1936.1899999999987,997.5499999999993,938.6499999999996,1.4142135623730951,1.7320508075688772,3.0,0.0,3.872983346207417,1.7320508075688772,2.449489742783178,1.0,2.0,3.0,1.0,1.4142135623730951,2.0,1.0,1.0,-2.8472,-4.9239999999999995,-3.54,-13.6,-36.6,-184.6,-1.32,-152.6,134.9,-4.28,0.013824000000000001,-5.34,12.6,-3.0,-36.8,56.88399999999999,-12.0,-3.6,6.4,-9.6,-5.02,4.8,-257.0,-0.9385082556000001,-14.1,-12.783188,-22.52,-32.391999999999996,-69.62,-55.24,-5975.4,-11.48,-10.73,-59.91,-14.86,-1313.89,-462.55,0.0,0.0,0.0,0.0,0.0,-26.831999999999997,51.1104,0.000354,9.811,7.096,-44.633,12.443,-126.509,0.982,3.385,0.0,-206.77,33.53,-373.67,-277.15,-40.943000000000005,6.58592235204,-2.035,1.959,-1.035,-0.9378,109.3,-3072.0,-4.254,-1.578,-2960.0,-2.2840000000000003,1.646,-2.255,1.3090000000000002,-2.9130000000000003,-494.9,-1.462,-2.6489999999999996,-499.0,-5428.53802,-5500.342111999999,895.34,-1695.69,2591.03,-0.0593,0.0,0.0,0.0,-11.630562,-13.639496,-14.969553,-24.807472,-21.6414311158,14.1917,0.007328,61
swarm_101_137.pdb,1,3,2,1,1,4,3,6,4,2,0,1,0,0,0,0.48,0.72,0.48333333333333334,0.6599999999999999,0.345,0.58,0.44,0.45999999999999996,0.6375,0.0,0.0,0.0,0.0,0.9,0.7,1.45,2.6399999999999997,0.69,0.58,1.32,2.76,2.55,0.0,0.0,0.0,0.0,1.8,0.7,23.02,36.79,1261.7999999999993,566.9799999999996,694.8200000000015,1.0,1.0,1.7320508075688772,0.0,2.449489742783178,2.0,1.7320508075688772,1.4142135623730951,1.0,2.0,0.0,1.4142135623730951,1.0,0.0,0.0,-3.39,-7.7620000000000005,-7.74,-12.6,-30.2,-114.2,-4.22,-97.08,72.8,-4.56,0.028148000000000003,-6.7,-3.0,-11.6,-26.8,58.31,-11.4,-8.2,-4.8,-4.08,-6.46,-6.16,-153.4,-1.0704542315999999,-12.0,-7.581519999999999,-14.97,-20.239,-48.26,-38.44,-3796.84,-36.62,-21.69,-30.53,-14.95,-754.06,-276.58,0.0,0.0,0.0,0.0,0.0,-36.7001,-76.9412,0.000468,-12.503,-10.392999999999999,-31.384,-26.035,-83.18799999999999,0.516,2.096,0.0,-154.21,-21.73,-257.77,-247.68,652.317,8.13530017994,-2.638,2.468,-1.996,-0.9131,40.83,-1903.0,-7.242000000000001,6.426,-1849.0,-2.898,1.642,-3.423,2.898,-3.0789999999999997,-279.9,-5.23,4.249,-273.5,-4131.758502000001,-4173.765466,-43.77,-1097.66,1053.89,-0.2794,0.0,0.0,0.0,-5.7225410000000005,-7.757693,-13.291801999999999,-18.568403,-13.550116448099999,10.3901,0.004536,28
swarm_101_55.pdb,2,5,2,2,4,4,14,2,2,2,1,0,1,2,0,0.47,0.53,0.556,0.515,0.365,0.4525,0.46071428571428574,0.495,0.36,0.0,0.57,0.7,0.67,0.9,0.0,2.7800000000000002,2.06,0.73,1.81,6.45,0.99,0.72,0.0,1.14,0.7,0.67,1.8,0.0,23.06,36.3,1496.449999999997,686.3499999999985,810.1000000000004,1.4142135623730951,1.4142135623730951,3.7416573867739413,0.0,1.4142135623730951,1.4142135623730951,2.23606797749979,1.4142135623730951,2.0,2.0,1.0,1.4142135623730951,0.0,1.0,1.4142135623730951,-1.3014,-8.076,-3.0,-9.8,-26.2,-128.8,-2.24,-117.6,95.6,-2.88,0.04357,-2.58,6.2,-3.6,-25.0,24.971999999999998,-5.6,-1.2,1.6,-6.74,2.24,3.6,-181.0,0.076264358,-4.2,-7.967319,-16.69,-22.721,-41.24,-34.26,-4194.37,-20.48,-4.21,-37.43,-13.17,-977.57,-468.79,0.0,0.0,0.0,0.0,0.0,-26.4545,-6.17031,0.00040599999999999995,1.703,-3.862,-41.736000000000004,-6.332999999999999,-160.607,0.395,3.447,0.0,-122.37,-1.77,-351.49,-146.96,-481.332,7.079580053119999,-1.7469999999999999,1.729,-0.6798,-1.16,150.3,-2304.0,-1.234,-3.264,-2156.0,-1.6380000000000001,1.195,-2.1919999999999997,0.1005,57.05,-388.2,-1.57,-1.515,-331.1,-4444.894218,-4499.503297,142.69,-1217.99,1360.67,0.0058,0.0,0.0,0.0,-0.41367,-4.171974,-7.463967,-13.776664000000002,-17.5477931843,10.4219,0.006372,43
swarm_101_64.pdb,1,3,3,1,0,3,7,3,3,2,1,2,0,0,0,0.48,0.72,0.5,0.4033333333333333,0.4200000000000001,0.0,0.47285714285714286,0.49333333333333335,0.4166666666666667,0.0,0.0,0.0,0.67,0.9,0.685,1.5,1.21,1.2600000000000002,0.0,3.31,1.48,1.25,0.0,0.0,0.0,0.67,1.8,1.37,22.9,36.96,1163.430000000004,539.7700000000004,623.6499999999996,1.0,1.0,2.6457513110645907,0.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.0,1.7320508075688772,1.0,1.4142135623730951,1.4142135623730951,0.0,0.0,-2.9316,-4.688,-2.8,-5.2,-22.6,-102.2,-3.44,-99.0,71.94,-1.38,-0.057788,-2.86,-0.8,-6.0,-22.0,9.806000000000001,-6.4,-2.8,-3.4,-8.92,-2.16,2.3,-149.0,-0.612391358,-9.1,-9.419729,-12.77,-19.605999999999998,-39.53,-31.89,-3434.26,-9.55,-8.56,-30.17,-21.71,-838.85,-524.24,0.0,0.0,0.0,0.0,0.0,-5.1829,-2.84389,0.000544,1.308,-8.856,-33.74,-10.922,-114.512,-0.499,1.676,0.0,-85.49,-51.29,-293.16,-171.2,321.682,2.12036717404,-2.3369999999999997,2.316,-0.6699,-1.936,38.89,-1621.0,-2.065,0.7477,-1579.0,-2.441,2.258,-1.143,-0.4459,-16.24,-261.2,0.5981,-4.757,-282.8,-4064.38985,-4099.710597,345.88,-1078.5,1424.38,-0.0745,0.0,0.0,0.0,-6.289837,-7.379071000000001,-8.028166,-13.754934,-11.1397819498,5.88847,0.0071719999999999996,29
swarm_102_115.pdb,9,4,2,9,8,3,9,6,4,1,0,1,1,5,0,0.5111111111111111,0.34555555555555556,0.46749999999999997,0.6333333333333333,0.54,0.32625,0.4444444444444444,0.48666666666666664,0.3225,0.0,0.43599999999999994,0.83,0.0,0.49,0.7,1.8699999999999999,1.9,1.08,2.61,4.0,2.92,1.29,0.0,2.1799999999999997,0.83,0.0,0.49,0.7,23.45,36.32,1713.0,764.4200000000001,948.5799999999999,3.0,3.0,3.0,0.0,2.449489742783178,2.0,2.0,1.4142135623730951,2.8284271247461903,1.7320508075688772,0.0,1.0,1.0,1.0,2.23606797749979,6.68,3.522,6.48,-4.2,-7.8,-156.8,8.52,-158.64,170.38,1.48,-0.002814,2.44,39.0,28.8,1.8,40.856,21.0,32.4,36.4,10.34,16.76,8.76,-284.2,1.6475268508,15.5,-7.93463,-15.91,-26.2,-53.77,-46.2,-3041.36,-3.77,-3.61,25.8,26.16,-1124.19,-348.52,0.0,0.0,0.0,0.0,0.0,-15.5981,287.716,0.000348,3.543,11.444,-5.852,14.401,-54.795,-7.853,-6.812,0.0,-81.45,173.52,-239.07,14.36,-13280.886,55.2299722641,-3.4960000000000004,3.452,-0.4804,-0.5877,86.13,-3723.0,1.652,-33.68,-3672.0,-1.9240000000000002,2.161,1.7890000000000001,1.167,6.425,-472.5,13.33,-7.692,-487.1,-4778.558007,-4833.235385,1942.77,-1373.59,3316.36,0.0395,0.0,0.0,0.0,1.6986849999999998,-4.107634,-1.2183540000000002,-12.392012,-16.370866571700002,14.4052,0.005935,62
