Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_100_0.pdb,1,1,8,2,5,0,20,8,10,0,5,0,0,2,0,0.48,0.495,0.58,0.0,0.4475,0.348,0.43900000000000006,0.5212500000000001,0.47700000000000004,0.0,0.6699999999999999,0.0,0.702,0.0,0.0,0.58,0.0,3.58,1.74,8.780000000000001,4.170000000000001,4.7700000000000005,0.0,1.3399999999999999,0.0,3.51,0.0,0.0,31.56,34.22,1627.329999999998,774.3400000000001,852.9899999999998,1.0,1.4142135623730951,4.47213595499958,0.0,2.8284271247461903,3.1622776601683795,1.0,2.8284271247461903,2.23606797749979,0.0,2.23606797749979,0.0,0.0,0.0,1.4142135623730951,-1.351,-3.444,-4.54,-16.6,-30.8,-214.2,1.36,-188.0,163.06,-6.1,0.012847999999999998,-9.72,56.0,27.8,-25.4,156.73,3.0,11.8,21.2,-9.96,15.3,5.36,-293.4,-1.3199234724,9.8,-9.065446000000001,-12.71,-23.107,-54.34,-42.61,-4452.53,-42.62,-23.21,-37.44,-4.8,-934.88,3.49,0.0,0.0,0.0,0.0,0.0,-28.8176,491.293,0.000339,-7.1160000000000005,20.515,4.659,13.865,10.8,-3.282,-3.487,0.0,-159.93,103.07,-663.54,40.08,1845.3039999999999,40.992088421,-2.307,2.271,-0.3596,-1.212,-107.4,-2932.0,5.5520000000000005,-49.86,-3095.0,-2.2359999999999998,1.876,0.6368,2.819,-1.321,-511.3,8.376,-0.2032,-521.2,-4032.8387060000005,-4115.693356000001,3200.11,-1162.02,4362.13,-0.0773,0.0,0.0,0.0,-11.976105,-12.116188000000001,-12.137868,-17.390481,-14.184570882300001,7.313460000000001,0.004806,62
swarm_100_151.pdb,1,0,3,3,10,1,13,4,5,0,2,1,0,2,1,0.46,0.43333333333333335,0.0,0.53,0.4633333333333334,0.3710000000000001,0.4507692307692307,0.5525,0.5039999999999999,0.48,0.405,0.0,0.51,0.0,0.53,0.0,0.53,1.3900000000000001,3.710000000000001,5.859999999999999,2.21,2.5199999999999996,0.48,0.81,0.0,1.02,0.0,0.53,31.58,34.5,1619.6599999999999,789.3799999999992,830.2999999999993,1.0,1.7320508075688772,3.605551275463989,1.0,2.0,2.23606797749979,0.0,1.7320508075688772,3.1622776601683795,1.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,2.8116,-2.7760000000000002,3.76,-7.6,-14.6,-131.2,5.2,-107.68,113.26,-1.0,0.028096,-3.5,36.0,20.4,-7.6,80.366,8.6,16.8,21.2,1.82,3.8,8.12,-194.0,0.4629902,12.8,-6.0172360000000005,-8.15,-20.956999999999997,-33.39,-35.66,-2812.04,8.58,2.87,-35.24,4.25,-915.48,-133.57,0.0,0.0,0.0,0.0,0.0,-21.6732,243.80900000000003,0.00038700000000000003,-10.384,14.46,-31.774,0.898,18.298,-4.888999999999999,-5.237,0.0,-87.62,118.47,-465.37,41.4,-605.3330000000001,18.4701431797,-0.4104,0.3583,-0.2909,0.1468,238.8,-2969.0,2.483,-2.325,-2735.0,-0.4238,0.03333,-0.02002,2.108,39.62,-414.4,3.235,0.8134,-377.2,-3844.0449810000005,-3886.311136,3803.96,-1031.2,4835.18,-0.0157,0.0,0.0,0.0,-1.9179599999999999,-5.369154,-2.446631,-7.456747,-13.375167834400001,1.49085,0.005717,46
swarm_100_174.pdb,2,2,8,3,6,2,13,6,5,0,3,3,1,1,0,0.48,0.41,0.5349999999999999,0.62,0.40375,0.345,0.4361538461538462,0.5283333333333333,0.618,0.0,0.47,0.7,0.6000000000000001,0.0,0.71,1.0699999999999998,1.24,3.23,2.07,5.670000000000001,3.17,3.09,0.0,0.47,0.7,1.8000000000000003,0.0,2.13,31.49,34.11,1322.0199999999968,610.6400000000012,711.3700000000008,1.4142135623730951,1.7320508075688772,3.605551275463989,0.0,2.449489742783178,2.23606797749979,1.4142135623730951,2.8284271247461903,2.449489742783178,1.4142135623730951,1.7320508075688772,0.0,1.7320508075688772,1.0,1.0,0.6888,-2.08,0.0,-7.6,-20.6,-159.8,0.9,-146.82,131.38,-1.82,0.039988,-4.12,30.8,16.8,-16.0,32.18,4.0,10.6,15.8,-5.84,6.0,9.82,-236.2,-0.6078673694,7.3,-8.60026,-10.63,-21.930999999999997,-56.83,-44.04,-3678.54,3.64,-10.09,3.77,3.52,-940.03,-162.21,0.0,0.0,0.0,0.0,0.0,-9.09422,538.976,0.000549,-1.6869999999999998,10.460999999999999,-9.227,7.852,16.637,-1.996,-2.312,0.0,-141.97,104.29,-299.33,36.13,782.513,25.4038287271,-0.26,0.2349,-0.5012,-0.5194,303.8,-3125.0,0.8224,-36.45,-2859.0,-0.05226,0.1106,0.4691,0.3561,54.37,-423.7,5.9639999999999995,-3.404,-378.7,-3933.710146,-3979.0540170000004,3150.69,-1123.54,4274.23,-0.1059,0.0,0.0,0.0,-1.8989490000000002,-7.378385000000001,-4.411104,-12.609305,-11.138471705599999,1.7530299999999999,0.006781999999999999,55
swarm_100_64.pdb,3,2,7,0,4,1,17,10,5,0,0,0,0,0,0,0.37666666666666665,0.0,0.63,0.53,0.47428571428571437,0.4325,0.44000000000000006,0.4800000000000001,0.56,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.53,3.3200000000000007,1.73,7.480000000000001,4.800000000000001,2.8000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,31.18,34.41,1498.189999999995,752.6700000000001,745.5100000000002,1.7320508075688772,0.0,4.123105625617661,0.0,3.1622776601683795,2.23606797749979,1.4142135623730951,2.6457513110645907,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.2396,-6.938,2.3,-6.2,-17.0,-149.6,4.72,-107.46,114.76,-1.6,0.09325599999999999,-2.04,32.6,15.4,-17.0,62.216,6.8,11.6,17.4,1.0,-0.16,7.78,-182.4,0.3603565378,6.0,-6.656186,-9.04,-20.406,-34.7,-27.5,-3497.2,-12.09,2.47,-2.32,9.8,-827.03,-22.32,0.0,0.0,0.0,0.0,0.0,-8.51276,485.89099999999996,0.000492,-9.13,15.800999999999998,-8.674,5.803,21.002,-4.808,-5.207000000000001,0.0,-65.2,115.69,-446.32,-10.32,819.768,22.8097697033,-0.9154,0.9083,-1.088,-2.1390000000000002,11.35,-2789.0,-1.3330000000000002,-32.68,-2809.0,0.0479,0.04351,0.6098,0.2992,34.62,-404.9,5.8020000000000005,-2.8139999999999996,-378.9,-3754.827628,-3829.131268,3288.07,-1049.25,4337.31,-0.0535,0.0,0.0,0.0,0.04465,-1.493783,-6.6695009999999995,-13.308632000000001,-12.678919742,1.6505299999999998,0.005959000000000001,49
swarm_100_71.pdb,1,1,4,5,13,8,18,1,12,0,0,0,1,1,0,0.55,0.484,0.58,0.6400000000000001,0.395,0.366923076923077,0.47111111111111115,0.44,0.5008333333333334,0.0,0.87,0.99,0.0,0.0,0.0,0.58,5.120000000000001,1.58,4.770000000000001,8.48,0.44,6.01,0.0,0.87,0.99,0.0,0.0,0.0,30.95,34.52,2173.369999999999,1112.9599999999991,1060.4100000000017,1.0,2.23606797749979,4.242640687119285,0.0,1.0,3.4641016151377544,1.0,2.0,3.605551275463989,2.8284271247461903,0.0,0.0,0.0,1.0,1.0,3.0146,-4.686,5.42,-7.2,-22.2,-159.4,5.92,-134.62,136.08,-0.2,0.12661,0.56,33.6,15.0,-16.0,173.304,6.2,12.8,20.4,3.36,7.14,10.9,-235.2,0.847468122,5.4,-11.223953,-17.07,-31.005,-47.75,-42.96,-2899.69,-16.3,-9.77,-26.77,7.92,-1244.11,-503.22,0.0,0.0,0.0,0.0,0.0,-43.5977,-2.42003,0.00023999999999999998,3.966,17.547,-68.506,14.662,-8.379,-4.251,-4.091,0.0,-209.37,149.17,-413.42,-70.55,-677.383,39.3117091721,-1.653,1.725,1.032,-0.8831,48.42,-3405.0,11.36,-7.8660000000000005,-3376.0,-1.5130000000000001,1.08,-0.9572,1.86,35.32,-558.8,1.4909999999999999,-1.2309999999999999,-526.2,-4879.92213,-4961.082090999999,3151.37,-1530.26,4681.64,0.0759,0.0,0.0,0.0,4.85452,-1.8386689999999999,-7.725583,-16.951163,-16.2658672538,5.88483,0.005385,65
swarm_10_109.pdb,1,2,2,1,8,4,5,3,4,0,4,3,1,0,0,0.32,0.31,0.515,0.47750000000000004,0.445,0.29625,0.48,0.5033333333333333,0.40750000000000003,0.0,0.0,0.52,0.8275,0.0,0.7933333333333333,1.03,1.9100000000000001,0.89,2.37,2.4,1.51,1.6300000000000001,0.0,0.0,0.52,3.31,0.0,2.38,31.27,34.22,1127.9599999999991,368.1100000000006,759.8499999999985,1.0,1.0,2.23606797749979,0.0,1.7320508075688772,2.0,1.4142135623730951,1.4142135623730951,2.8284271247461903,2.0,2.0,0.0,1.7320508075688772,1.0,0.0,0.6026,1.256,2.04,0.6,-17.8,-115.8,1.84,-119.58,102.94,1.4,-0.040874,4.84,18.4,12.2,-12.6,89.19,2.8,6.6,11.6,-4.14,7.32,-0.66,-183.6,0.117129922,-6.6,-8.638303,-16.61,-22.551,-53.35,-41.89,-3267.6,-28.59,-10.19,18.83,13.96,-753.23,-247.11,0.0,0.0,0.0,0.0,0.0,-47.8118,55.4263,0.000529,-4.477,-3.765,-19.945,-10.236,-139.569,-2.5780000000000003,0.07400000000000001,0.0,-81.42,39.33,-194.44,-50.71,39.158,-9.62675537467,-1.256,1.13,-0.1905,1.5019999999999998,-180.0,-2064.0,6.395,-13.96,-2264.0,-1.135,1.083,0.2512,0.7498,-17.77,-315.5,4.621,-4.012,-341.9,-4054.8483969999997,-4106.865795000001,1197.62,-1162.56,2360.18,-0.0539,0.0,0.0,0.0,1.173729,-3.15043,-1.6319629999999998,-13.401945999999999,-14.1040105903,6.2868900000000005,0.006421,38
swarm_10_129.pdb,0,9,6,0,3,0,9,2,0,0,0,1,0,1,0,0.0,0.0,0.5644444444444445,0.0,0.48833333333333334,0.26,0.5066666666666666,0.43,0.0,0.0,0.48,0.0,0.0,0.0,0.67,5.080000000000001,0.0,2.93,0.78,4.56,0.86,0.0,0.0,0.48,0.0,0.0,0.0,0.67,31.87,33.63,956.7000000000007,438.869999999999,517.8299999999999,0.0,0.0,3.0,0.0,1.4142135623730951,0.0,3.0,2.449489742783178,1.7320508075688772,0.0,0.0,0.0,1.0,0.0,1.0,0.8606,0.728,2.72,-0.2,-13.0,-90.0,0.72,-86.96,71.22,1.14,0.038807999999999995,1.16,10.0,4.6,-11.2,16.434,1.2,4.6,8.2,-2.48,1.14,5.0,-128.6,0.1617767286,-5.4,-7.396895,-11.18,-18.444000000000003,-34.39,-21.84,-3005.09,-0.68,-9.26,-16.28,-1.59,-626.78,-258.66,0.0,0.0,0.0,0.0,0.0,-42.7781,-79.1333,0.0007379999999999999,-8.102,-0.102,-33.735,-11.577,-163.64600000000002,-1.4709999999999999,1.6380000000000001,0.0,-69.17,2.32,-297.9,-35.62,76.17,-12.028090653,-0.9316,0.7903,-2.206,-1.479,-112.7,-1773.0,-6.075,-21.56,-1901.0,-0.7715,0.4893,-1.041,0.8337,19.78,-236.9,-0.2036,-0.7809999999999999,-217.7,-3563.6950850000003,-3602.888494,1390.78,-946.6,2337.38,-0.087,0.0,0.0,0.0,-1.910952,-2.56358,-7.115842999999999,-12.545707,-11.814113951400001,0.652293,0.009613,31
swarm_10_139.pdb,4,4,7,4,6,3,10,3,6,1,2,1,2,1,1,0.47750000000000004,0.3125,0.4700000000000001,0.5066666666666667,0.4242857142857143,0.3433333333333333,0.43499999999999994,0.5166666666666667,0.3466666666666666,0.51,0.48,0.615,0.73,0.9,0.9,1.8800000000000003,1.52,2.97,2.06,4.35,1.55,2.0799999999999996,0.51,0.48,1.23,1.46,0.9,0.9,32.13,33.93,1458.25,650.0700000000015,808.1799999999985,2.0,2.0,3.1622776601683795,1.0,1.7320508075688772,2.449489742783178,2.0,2.6457513110645907,2.449489742783178,1.7320508075688772,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,3.3168,2.4659999999999997,2.46,-3.0,-11.4,-133.0,4.46,-138.2,132.76,-0.34,0.016572,-2.64,31.8,19.0,-12.4,99.51,15.8,23.2,27.6,5.38,16.98,9.84,-230.6,0.18242843460000002,9.0,-5.085217,-10.89,-22.748,-44.58,-41.33,-4270.53,7.95,3.89,25.23,37.96,-915.9,-170.33,0.0,0.0,0.0,0.0,0.0,-18.8821,30.0672,0.00037400000000000004,-0.8390000000000001,10.111,-26.524,6.62,-103.336,-6.233,-4.27,0.0,-86.83,185.06,-215.41,26.2,1232.28,-3.45874963735,-1.445,1.2890000000000001,-1.368,-0.7116,-138.0,-2798.0,-2.043,-19.5,-2953.0,-0.2758,0.5039,2.335,1.974,29.07,-450.3,11.88,-0.3881,-433.5,-4050.9949890000003,-4089.2253590000005,2552.45,-1141.73,3694.18,-0.0198,0.0,0.0,0.0,-3.266634,-7.329914,-4.651111,-13.744708,-13.9204730344,6.889289999999999,0.006781999999999999,55
swarm_10_145.pdb,2,1,2,2,3,2,5,2,11,0,1,2,2,4,0,0.44,0.46,0.52,0.44499999999999995,0.515,0.2866666666666666,0.414,0.43,0.4981818181818181,0.0,0.54,0.835,0.88,0.0,0.8,0.52,0.8899999999999999,1.03,0.8599999999999999,2.07,0.86,5.4799999999999995,0.0,2.16,1.67,0.88,0.0,1.6,32.15,33.63,1121.4399999999987,408.7999999999993,712.6399999999994,1.4142135623730951,1.4142135623730951,2.23606797749979,0.0,1.4142135623730951,3.3166247903554,1.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.0,0.0,1.4142135623730951,1.4142135623730951,2.0,-1.8046,-7.778,-6.08,-3.8,-23.2,-136.6,-2.64,-149.36,108.88,-2.04,-0.044476,-3.22,16.8,7.0,-19.8,63.571999999999996,-1.6,2.6,6.0,-4.72,-10.08,-1.2,-210.4,-0.5183003620000001,-0.7,-5.767812,-13.42,-20.093,-34.75,-35.03,-4093.93,-27.06,-9.05,60.08,50.57,-623.9,188.05,0.0,0.0,0.0,0.0,0.0,-45.492,515.146,0.000663,-17.149,8.932,22.839000000000002,-5.934,-106.90100000000001,-1.507,0.524,0.0,-64.19,15.38,-364.37,67.36,859.584,-15.6558281511,-1.61,1.551,-0.3623,-0.5239,-213.3,-2045.0,6.117000000000001,-22.87,-2287.0,-1.155,0.7559999999999999,-0.331,1.376,-43.74,-312.0,2.129,-3.8360000000000003,-361.7,-3810.5450969999997,-3850.7109530000002,1946.16,-1084.57,3030.73,0.1379,0.0,0.0,0.0,-2.751049,-4.390468,2.036711,-4.519486,-14.163122810199999,6.24472,0.005103,39
swarm_10_168.pdb,0,2,3,1,5,3,12,6,10,0,1,1,0,1,0,0.0,0.29,0.49,0.6900000000000001,0.43333333333333335,0.356,0.48333333333333334,0.5216666666666668,0.5189999999999999,0.0,0.41,0.0,0.83,0.0,0.53,0.98,2.0700000000000003,1.3,1.78,5.8,3.130000000000001,5.1899999999999995,0.0,0.41,0.0,0.83,0.0,0.53,30.79,35.19,1603.0600000000013,772.2000000000007,830.8600000000006,0.0,1.0,3.4641016151377544,0.0,2.449489742783178,3.1622776601683795,1.4142135623730951,1.7320508075688772,2.23606797749979,1.7320508075688772,1.0,0.0,1.0,0.0,1.0,1.3412,-0.12,2.64,-5.2,-15.4,-119.0,4.36,-95.56,98.06,-0.66,0.011184,0.06,24.2,11.2,-13.2,73.738,4.8,9.4,14.8,4.72,4.78,5.0,-166.0,-0.10507839199999999,-0.6,-10.395092,-10.92,-23.177,-42.38,-36.42,-3049.08,-9.45,-6.83,-26.42,-19.57,-866.68,-354.92,0.0,0.0,0.0,0.0,0.0,-48.7212,-55.6384,0.00037400000000000004,-18.512,15.142000000000001,-52.91,-8.661,-73.822,-1.505,-0.102,0.0,-134.57,53.04,-352.19,-102.37,3440.9159999999997,14.822225841199998,-0.3921,0.3213,-0.8743,-0.3837,-112.1,-2216.0,2.033,-22.5,-2353.0,-0.3486,-0.4013,-0.5592,3.58,-13.62,-400.3,2.247,1.7630000000000001,-414.4,-4024.472239,-4079.5410859999997,2144.22,-1175.11,3319.35,-0.1909,0.0,0.0,0.0,-2.6968259999999997,-5.751191,-6.925422,-8.332576,-16.8975749697,6.409590000000001,0.0045780000000000005,45
