Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_30.pdb,2,5,9,0,7,1,7,10,6,0,3,2,0,1,0,0.51,0.0,0.592,0.4,0.4488888888888888,0.3685714285714286,0.48857142857142855,0.5,0.5866666666666667,0.0,0.27,0.0,0.6266666666666666,0.0,0.5349999999999999,2.96,0.4,4.039999999999999,2.58,3.42,5.0,3.52,0.0,0.27,0.0,1.88,0.0,1.0699999999999998,25.67,43.62,1489.8900000000067,705.130000000001,784.7599999999984,1.4142135623730951,0.0,2.6457513110645907,0.0,3.1622776601683795,2.449489742783178,2.23606797749979,3.0,2.6457513110645907,1.0,1.7320508075688772,0.0,1.4142135623730951,0.0,1.0,0.2834,-1.6780000000000002,3.64,-6.8,-13.2,-146.4,5.74,-122.04,123.88,-0.84,-0.003882,-3.66,32.2,18.8,-9.4,69.28399999999999,10.0,17.2,24.0,2.64,8.68,2.4,-204.2,-0.7579927540000001,6.4,-6.948366,-13.32,-25.17,-58.01,-44.43,-3616.38,20.85,-7.77,-19.21,0.00999999999998,-906.1,-332.88,0.0,0.0,0.0,0.0,0.0,-55.8576,151.829,0.000453,-18.347,4.36,-29.816,-16.969,-133.786,-2.991,-0.449,0.0,-113.41,106.35,-712.0,53.55,1403.141,24.327442614000002,-2.465,2.397,-0.2822,-0.3211,-295.4,-2885.0,1.511,-17.31,-3200.0,-1.088,0.7459,-0.6222,2.074,-0.0392,-365.5,3.8360000000000003,-2.725,-372.1,-4696.961157,-4739.850791,4092.9,-1158.19,5251.09,-0.0378,0.0,0.0,0.0,-3.405388,-4.08945,-5.73153,-14.061485000000001,-11.0745186122,27.8585,0.003585,53
swarm_100_116.pdb,3,3,15,1,10,4,13,4,7,0,10,0,0,4,1,0.4366666666666667,0.37,0.58,0.5025,0.432,0.43400000000000005,0.4269230769230769,0.515,0.4414285714285714,0.34,0.46249999999999997,0.0,0.6950000000000001,0.0,0.0,1.74,2.01,6.4799999999999995,4.340000000000001,5.55,2.06,3.09,0.34,1.8499999999999999,0.0,6.95,0.0,0.0,25.63,43.35,1894.9000000000015,903.75,991.1500000000015,1.7320508075688772,1.0,3.605551275463989,1.0,2.0,2.6457513110645907,1.7320508075688772,3.872983346207417,3.1622776601683795,2.0,3.1622776601683795,0.0,0.0,0.0,2.0,1.6744,-1.068,0.08,-3.8,-30.0,-194.6,-2.64,-221.52,180.02,-0.9,0.023030000000000002,-2.08,13.8,6.2,-25.8,77.47800000000001,10.2,22.0,23.0,-6.88,15.72,-3.04,-330.4,-0.64345597,-10.7,-6.016814,-15.27,-30.781999999999996,-45.06,-49.4,-5010.49,-13.65,-20.13,4.85,31.83,-941.06,515.86,0.0,0.0,0.0,0.0,0.0,-41.3066,1046.61,0.000306,-26.201,4.055,30.448,-19.1,-101.565,-3.873,-1.943,0.0,-120.41,7.75,-619.28,72.61,-3012.6090000000004,1.7784953892700002,-2.694,2.6289999999999996,-0.893,-1.449,-166.1,-4078.0,-3.292,-19.93,-4260.0,-1.185,1.159,-0.2431,0.1846,5.109,-554.0,7.153,-9.856,-565.9,-5556.16637,-5617.333954,3838.56,-1496.94,5335.5,-0.1905,0.0,0.0,0.0,-4.4157720000000005,-9.315493,0.119322,-16.719637,-14.864102181199998,34.3953,0.0032670000000000004,75
swarm_100_7.pdb,6,1,11,2,6,0,13,6,3,0,0,0,0,1,0,0.45,0.405,0.52,0.0,0.43818181818181823,0.41,0.41846153846153833,0.5083333333333334,0.5066666666666667,0.0,0.41,0.0,0.0,0.0,0.0,0.52,0.0,4.82,2.46,5.439999999999999,3.0500000000000003,1.52,0.0,0.41,0.0,0.0,0.0,0.0,25.71,43.53,1665.7799999999988,683.9799999999996,981.8100000000013,2.449489742783178,1.4142135623730951,3.605551275463989,0.0,2.449489742783178,1.7320508075688772,1.0,3.3166247903554,2.449489742783178,0.0,0.0,0.0,0.0,0.0,1.0,4.4698,2.496,6.68,1.6,-16.2,-172.8,3.38,-174.02,155.46,2.36,0.035016000000000005,1.32,26.6,17.0,-15.6,-4.986000000000001,7.6,15.0,20.4,-1.92,-1.28,25.78,-274.4,1.1662979136,6.1,-9.926864,-19.01,-28.918000000000003,-51.03,-45.98,-3936.46,9.76,0.29,-45.33,-12.85,-1122.41,-526.44,0.0,0.0,0.0,0.0,0.0,-40.5644,-25.0251,0.000371,2.0669999999999997,2.658,-76.507,-2.925,-134.817,-7.382999999999999,-4.821000000000001,0.0,-141.16,6.07,-429.82,-4.49,-1606.138,-11.5653122079,-2.4530000000000003,2.369,-1.181,-1.636,-2.6839999999999997,-3465.0,-6.455,4.928999999999999,-3457.0,-2.305,2.0269999999999997,0.06826,2.542,20.06,-434.6,6.157,4.9,-415.8,-5228.562911999999,-5288.149806,2853.29,-1371.68,4224.97,-0.1055,0.0,0.0,0.0,-1.128578,-1.2484540000000002,-3.8835309999999996,-11.468553,-16.8478463143,29.2223,0.00449,49
swarm_101_129.pdb,0,2,6,1,9,2,8,4,11,0,3,1,0,0,0,0.0,0.31,0.585,0.345,0.465,0.29777777777777775,0.455,0.5175000000000001,0.5472727272727272,0.0,0.0,0.0,0.6033333333333334,0.0,0.94,1.17,0.69,2.79,2.6799999999999997,3.64,2.0700000000000003,6.02,0.0,0.0,0.0,1.81,0.0,0.94,25.35,43.46,1749.3799999999974,879.3100000000013,870.0599999999977,0.0,1.0,2.8284271247461903,0.0,2.0,3.3166247903554,1.4142135623730951,2.449489742783178,3.0,1.4142135623730951,1.7320508075688772,0.0,1.0,0.0,0.0,-0.3762,-2.244,-1.24,-9.0,-18.6,-145.0,3.32,-120.62,115.42,-3.4,-0.04568,-6.04,31.2,13.2,-17.4,98.52,8.2,13.4,20.8,-0.02,14.92,8.58,-199.8,-0.775403678,12.3,-8.967048,-17.05,-29.996,-49.66,-50.73,-3336.45,-16.61,-1.65,38.52,23.43,-1043.8,-336.15,0.0,0.0,0.0,0.0,0.0,-30.8478,-5.0229099999999995,0.00044,-13.011,16.84,-54.589,-1.63,-73.27,-4.6819999999999995,-3.29,0.0,-117.78,120.89,-432.06,-79.08,-2571.359,21.8449386158,-3.667,3.6910000000000003,0.5735,-1.169,-227.9,-2995.0,8.125,-0.3203,-3231.0,-2.228,2.239,0.8399,1.7530000000000001,4.751,-409.8,7.877999999999999,2.0269999999999997,-410.9,-5191.170386,-5231.36918,3208.75,-1379.53,4588.28,0.0164,0.0,0.0,0.0,-4.561305,-6.1136669999999995,-3.92234,-6.323903,-11.9450307719,28.5694,0.004255,47
swarm_101_133.pdb,3,3,7,1,17,5,15,10,13,0,2,0,1,1,1,0.5466666666666667,0.31,0.5566666666666666,0.44800000000000006,0.45142857142857146,0.31176470588235294,0.4526666666666666,0.501,0.4530769230769231,0.34,0.27,0.53,0.65,0.0,0.0,1.67,2.24,3.16,5.3,6.789999999999999,5.01,5.890000000000001,0.34,0.27,0.53,1.3,0.0,0.0,25.28,43.6,2501.779999999999,1214.640000000003,1287.1399999999994,1.7320508075688772,1.0,3.872983346207417,1.0,3.1622776601683795,3.605551275463989,1.7320508075688772,2.6457513110645907,4.123105625617661,2.23606797749979,1.4142135623730951,0.0,0.0,1.0,1.0,4.3212,1.43,12.76,-8.8,-9.2,-228.8,17.74,-170.52,219.06,-0.26,0.00804,-0.34,75.4,42.0,-12.2,152.156,30.0,46.8,61.0,7.64,23.32,18.78,-329.4,2.2787834952,29.2,-7.935718,-16.27,-38.165,-52.15,-52.59,-4720.52,11.06,21.36,9.1,20.42,-1619.86,-407.83,0.0,0.0,0.0,0.0,0.0,-18.1513,350.04699999999997,0.00020899999999999998,-17.425,19.683,-24.14,-0.155,-77.247,-11.663,-10.195,0.0,-72.48,328.11,-635.4,-7.93,-3526.9959999999996,54.3416932087,-3.995,3.929,-0.3934,-1.435,-362.4,-5004.0,0.6847,-23.06,-5390.0,-2.15,1.839,0.5171,3.569,-6.859,-696.8,12.44,-3.8960000000000004,-720.0,-6031.459290999999,-6101.7448939999995,5704.34,-1771.04,7475.39,0.0883,0.0,0.0,0.0,-1.6493060000000002,-4.86865,-7.824338000000001,-18.661757,-18.0945496854,30.533,0.005051,79
swarm_101_51.pdb,0,3,12,4,12,0,11,6,4,0,2,1,1,0,0,0.0,0.325,0.5566666666666668,0.0,0.49666666666666665,0.3566666666666667,0.45909090909090905,0.5066666666666667,0.5225,0.0,0.0,0.53,0.65,0.0,0.57,1.6700000000000002,0.0,5.96,4.28,5.05,3.0400000000000005,2.09,0.0,0.0,0.53,1.3,0.0,0.57,25.67,43.42,1987.3199999999997,927.5200000000004,1059.8099999999977,0.0,2.0,3.3166247903554,0.0,2.449489742783178,2.0,1.7320508075688772,3.4641016151377544,3.4641016151377544,0.0,1.4142135623730951,0.0,1.0,1.0,0.0,3.9642,2.322,9.9,-0.6,-3.4,-168.4,9.96,-150.6,166.02,2.08,-0.031389999999999994,1.0,39.2,25.6,-8.2,41.926,27.2,35.6,44.2,4.86,18.12,13.66,-255.6,0.3181170966,16.9,-5.940046,-16.01,-30.651,-56.94,-48.82,-3676.7,16.71,0.31,-10.88,20.58,-1202.12,-488.5,0.0,0.0,0.0,0.0,0.0,-45.6602,18.2797,0.00022400000000000002,-8.586,10.427,-60.868,-4.246,-93.74,-8.887,-7.106,0.0,-69.96,208.92,-543.21,7.7,-2477.771,25.0183026018,-4.356,4.294,-0.6364,-1.6369999999999998,-125.1,-4144.0,0.4847,-4.997,-4274.0,-2.747,2.827,0.08224,0.09018,56.18,-521.6,7.358,-2.021,-474.8,-5307.319366,-5361.377812,3127.79,-1411.46,4539.27,0.0589,0.0,0.0,0.0,-0.9425020000000001,-5.641230999999999,-0.34880900000000004,-7.461936,-13.4833581079,30.1396,0.005232,56
swarm_101_86.pdb,4,1,10,1,1,1,17,6,5,0,1,0,1,3,1,0.5449999999999999,0.34,0.4,0.55,0.43800000000000006,0.27,0.4388235294117647,0.5233333333333333,0.562,0.48,0.4266666666666667,0.83,0.65,0.0,0.0,0.4,0.55,4.380000000000001,0.27,7.46,3.14,2.8100000000000005,0.48,1.28,0.83,0.65,0.0,0.0,25.63,43.4,1674.1800000000003,850.8600000000006,823.3199999999961,2.0,1.0,4.123105625617661,1.0,2.449489742783178,2.23606797749979,1.0,3.1622776601683795,1.0,1.0,1.0,0.0,0.0,1.0,1.7320508075688772,1.3232,-2.5580000000000003,0.42,-10.0,-10.2,-144.4,6.44,-93.18,111.44,-3.36,-0.015568,-5.38,37.4,21.2,-9.6,45.876000000000005,11.0,19.8,24.8,0.48,11.96,7.58,-168.6,0.150370104,16.9,-9.019741,-12.4,-22.628,-36.49,-29.14,-3225.03,0.74,-6.3,-37.48,-12.31,-1006.93,-424.52,0.0,0.0,0.0,0.0,0.0,-53.9179,-48.7297,0.000371,-22.81,18.122,-57.498000000000005,-10.437999999999999,-20.333,-6.566,-6.178999999999999,0.0,-98.42,126.54,-515.78,-16.71,-3140.13,24.952925413400003,-3.673,3.64,-1.065,-2.548,-87.39,-2815.0,-5.255,5.539,-2892.0,-2.924,2.792,0.3279,2.325,23.37,-433.1,6.667000000000001,5.894,-410.5,-4431.105913,-4476.445235,2785.64,-1057.92,3843.57,-0.1108,0.0,0.0,0.0,-2.472058,-2.7243720000000002,-4.351407,-5.042393,-12.718655670499999,28.2824,0.003077,52
swarm_102_120.pdb,5,3,9,1,13,2,12,8,7,0,5,3,0,1,0,0.49799999999999994,0.52,0.6066666666666668,0.75,0.5066666666666666,0.33,0.4608333333333334,0.49125,0.5157142857142858,0.0,0.48,0.0,0.654,0.0,0.68,1.8200000000000003,1.5,4.56,4.29,5.53,3.93,3.6100000000000003,0.0,0.48,0.0,3.27,0.0,2.04,25.56,43.02,1760.6699999999983,958.239999999998,802.4300000000003,2.23606797749979,1.0,3.4641016151377544,0.0,2.8284271247461903,2.6457513110645907,1.7320508075688772,3.0,3.605551275463989,1.4142135623730951,2.23606797749979,0.0,1.7320508075688772,0.0,1.0,3.734,3.4560000000000004,7.0,-5.2,-17.4,-172.8,6.34,-155.24,157.64,-0.56,0.025178,-4.28,39.8,20.4,-14.2,111.36200000000001,15.4,25.6,34.6,2.92,18.54,1.2,-259.2,-1.054518208,10.0,-6.4454769999999995,-11.73,-27.905,-68.64,-58.75,-3303.39,1.91,6.06,49.8,54.56,-898.6,40.95,0.0,0.0,0.0,0.0,0.0,-31.203000000000003,469.80699999999996,0.000366,-19.632,15.91,-1.375,-3.86,-94.36399999999999,-2.875,-1.082,0.0,-83.13,173.52,-717.83,87.51,-413.207000002,21.938491976599998,-2.654,2.758,0.6986,-2.116,-265.6,-3440.0,10.85,-26.53,-3743.0,-1.564,1.5630000000000002,1.1059999999999999,1.757,19.14,-496.8,10.26,-3.282,-491.2,-5067.855628,-5125.229063000001,4109.23,-1325.92,5435.14,0.1158,0.0,0.0,0.0,1.1600190000000001,-5.365406,0.25100900000000004,-11.853524,-12.779269341900001,31.8703,0.003696,69
swarm_107_100.pdb,3,0,1,7,7,3,17,10,1,0,0,1,0,1,0,0.48,0.4185714285714286,0.0,0.3966666666666667,0.39,0.2914285714285714,0.4541176470588236,0.53,0.49,0.0,0.48,0.0,0.0,0.0,0.9,0.0,1.1900000000000002,0.39,2.04,7.7200000000000015,5.300000000000001,0.49,0.0,0.48,0.0,0.0,0.0,0.9,25.47,43.71,1695.7900000000009,755.8600000000006,939.9300000000003,1.7320508075688772,2.6457513110645907,4.123105625617661,0.0,3.1622776601683795,1.0,0.0,1.0,2.6457513110645907,1.7320508075688772,0.0,0.0,1.0,0.0,1.0,3.103,-2.57,3.96,-6.6,-15.2,-147.2,5.46,-123.86,126.86,-1.22,0.032994,-3.96,36.2,19.2,-11.2,46.472,9.4,17.2,25.2,2.62,2.3,12.06,-210.8,0.57417907,19.8,-8.093967,-16.65,-27.372,-39.34,-34.06,-3043.2,10.23,3.86,10.21,-2.58,-1011.5,-342.27,0.0,0.0,0.0,0.0,0.0,-31.2626,247.185,0.000394,-13.042,11.162,-50.117,-6.891,-156.917,-7.526,-4.544,0.0,-102.73,171.5,-398.25,-37.07,-1424.9289999999999,15.9360810227,-3.002,3.003,0.2793,-0.8099,-230.7,-3155.0,4.894,-12.83,-3404.0,-1.8519999999999999,1.64,0.8632,3.11,-12.03,-423.1,9.631,2.562,-442.2,-4942.137535,-4994.410479,2611.3,-1316.36,3927.66,-0.068,0.0,0.0,0.0,1.175889,-4.536133,-1.0534459999999999,-7.851203999999999,-15.2541795918,29.1462,0.004059,51
swarm_107_114.pdb,8,1,5,6,6,3,7,11,2,0,1,0,1,0,1,0.5,0.44,0.54,0.5166666666666667,0.46799999999999997,0.3033333333333333,0.45999999999999996,0.5281818181818182,0.14500000000000002,0.83,0.0,0.82,0.67,0.0,0.0,0.54,1.55,2.34,1.8199999999999998,3.2199999999999998,5.8100000000000005,0.29000000000000004,0.83,0.0,0.82,0.67,0.0,0.0,25.31,43.71,1833.25,799.0200000000004,1034.2400000000016,2.8284271247461903,2.449489742783178,2.6457513110645907,1.0,3.3166247903554,1.4142135623730951,1.0,2.23606797749979,2.449489742783178,1.7320508075688772,1.0,0.0,0.0,1.0,0.0,3.9456,2.09,7.7,-2.4,-16.0,-154.0,6.04,-146.2,143.74,1.84,1.9650619999999999,-1.04,29.4,17.8,-9.0,27.494,7.8,21.2,27.6,3.16,8.82,-0.88,-252.6,-0.5522752974,8.3,-8.601704,-22.82,-31.37,-56.32,-45.2,-3118.48,-6.77,0.32,-37.61,6.81,-1129.32,-590.26,0.0,0.0,0.0,0.0,0.0,-25.4071,119.744,0.000386,-5.125,-1.396,-57.684,-12.29,-183.459,-5.438,-1.952,0.0,-108.02,122.06,-555.72,2.08,-730.295,-2.6593423606799997,-2.8680000000000003,2.737,-1.133,-0.5118,-281.4,-3517.0,-4.867,11.71,-3781.0,-2.1,1.5959999999999999,-1.163,2.801,-16.96,-429.4,2.303,3.4610000000000003,-445.2,-5360.129467,-5412.920339,2037.7,-1488.88,3526.56,-0.095,0.0,0.0,0.0,-2.5422119999999997,-12.992662,2.946271,-9.984572,-13.0755409071,29.1685,0.002442,52
