Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_115.pdb,3,2,3,3,7,1,10,0,8,0,1,1,0,0,2,0.39999999999999997,0.44333333333333336,0.565,0.55,0.4033333333333334,0.42,0.45199999999999996,0.0,0.55625,0.39,0.0,0.0,0.88,0.0,0.84,1.13,0.55,1.2100000000000002,2.94,4.52,0.0,4.45,0.78,0.0,0.0,0.88,0.0,0.84,33.88,36.84,1271.1899999999987,656.2000000000007,614.989999999998,1.7320508075688772,1.7320508075688772,3.1622776601683795,1.4142135623730951,0.0,2.8284271247461903,1.4142135623730951,1.7320508075688772,2.6457513110645907,1.0,1.0,0.0,1.0,0.0,0.0,0.3028,-3.7319999999999998,1.48,-6.2,-10.0,-89.2,4.76,-75.72,78.18,-0.7,-0.043676,-1.32,26.0,12.8,-7.8,51.838,3.6,9.2,15.6,6.54,7.86,8.88,-134.4,-0.17652911,4.5,-7.428466,-11.69,-19.012999999999998,-45.39,-34.02,-3349.28,-5.73,-6.25,-4.84,15.44,-689.16,-105.93,0.0,0.0,0.0,0.0,0.0,-24.0501,36.3618,0.000505,-7.184,18.379,-31.815,8.013,-52.897,-1.35,-0.345,0.0,-77.59,91.5,-224.23,-49.1,1908.4979999999998,14.0404630601,-2.135,2.108,0.4585,-0.2638,-71.25,-2188.0,5.5920000000000005,-0.2567,-2265.0,-1.849,1.389,-0.1092,2.707,3.303,-343.0,3.5010000000000003,2.298,-340.9,-4256.718771,-4300.692018,1905.54,-981.09,2886.63,-0.0795,0.0,0.0,0.0,1.5263879999999999,-0.163417,-0.529702,-6.790487,-10.590631407,6.77628,0.00539,41
swarm_0_126.pdb,2,2,8,6,6,3,12,6,9,0,3,0,2,1,1,0.43,0.3766666666666667,0.515,0.51,0.43499999999999994,0.38499999999999995,0.49583333333333335,0.5033333333333333,0.5588888888888889,0.44,0.48,0.605,0.7766666666666667,0.0,0.0,1.03,1.53,3.4799999999999995,2.3099999999999996,5.95,3.02,5.03,0.44,0.48,1.21,2.33,0.0,0.0,34.0,37.33,1660.579999999998,810.3999999999996,850.1700000000001,1.4142135623730951,2.449489742783178,3.4641016151377544,1.0,2.449489742783178,3.0,1.4142135623730951,2.8284271247461903,2.449489742783178,1.7320508075688772,1.7320508075688772,0.0,0.0,1.4142135623730951,1.0,0.8958,-2.128,-0.62,-10.8,-23.4,-166.4,4.8,-147.94,139.04,-3.06,-0.04371,-5.84,41.0,22.8,-14.6,71.798,6.6,14.8,21.0,1.46,13.96,8.42,-257.6,-1.2498374432,9.4,-9.215992,-14.32,-26.491999999999997,-52.3,-45.38,-3581.35,-11.04,-1.91,8.75,22.38,-1062.6,-480.61,0.0,0.0,0.0,0.0,0.0,-54.852,26.9279,0.00034500000000000004,-14.697000000000001,23.658,-36.948,5.267,-38.873000000000005,-4.697,-3.958,0.0,-141.04,173.23,-393.54,-26.38,1316.255,26.7843086728,-2.7739999999999996,2.775,0.05512,-1.633,-151.1,-3068.0,6.222,-21.54,-3247.0,-3.187,3.1719999999999997,-0.6302,-0.7553,-1.436,-400.0,2.302,-4.662,-408.4,-5028.976049,-5099.287654,3207.58,-1332.79,4540.36,-0.0454,0.0,0.0,0.0,-7.534139,-10.955216,-4.285428,-13.285426000000001,-14.4650750415,8.78952,0.0066560000000000005,61
swarm_0_188.pdb,2,2,4,3,5,2,12,4,7,0,1,5,0,0,0,0.45999999999999996,0.3966666666666667,0.515,0.48,0.4525,0.248,0.4833333333333332,0.4975,0.4714285714285714,0.0,0.0,0.0,0.88,0.0,0.868,1.03,0.96,1.81,1.24,5.799999999999999,1.99,3.3,0.0,0.0,0.0,0.88,0.0,4.34,34.43,36.07,1555.4300000000003,630.2700000000023,925.1700000000001,1.4142135623730951,1.7320508075688772,3.4641016151377544,0.0,2.0,2.6457513110645907,1.4142135623730951,2.0,2.23606797749979,1.4142135623730951,1.0,0.0,2.23606797749979,0.0,0.0,-3.2572,-8.984,-5.54,-12.4,-28.4,-160.2,-0.46,-157.14,122.72,-4.36,0.008804000000000001,-8.1,22.8,7.6,-26.2,41.824,-4.8,3.8,10.0,-0.7,-1.46,-3.54,-244.0,-1.2230617858,3.1,-8.481289,-14.35,-22.291999999999998,-46.74,-42.11,-5756.21,-7.4,-11.38,-70.08,-16.27,-861.22,-167.2,0.0,0.0,0.0,0.0,0.0,-67.5881,131.064,0.00042699999999999997,-15.241,-2.073,-17.362000000000002,-19.05,-59.303999999999995,-2.839,-1.712,0.0,-133.84,21.9,-634.55,-13.6,1075.944,11.6456070193,-1.569,1.391,-0.06566,1.4180000000000001,-134.1,-2507.0,3.992,4.848,-2641.0,-1.6769999999999998,1.145,-1.3319999999999999,1.486,-24.17,-376.1,0.5617,0.8344,-400.0,-4621.669054,-4690.811133,1967.36,-1188.0,3155.36,-0.0517,0.0,0.0,0.0,4.269984,0.503496,-2.096127,-6.3954889999999995,-16.2862442688,11.8108,0.00266,47
swarm_0_3.pdb,1,2,2,9,7,4,9,0,14,1,2,0,1,1,2,0.58,0.37777777777777777,0.54,0.44749999999999995,0.55,0.4642857142857143,0.5077777777777778,0.0,0.4692857142857143,0.39,0.41,0.68,0.855,0.9,0.0,1.08,1.7899999999999998,1.1,3.25,4.57,0.0,6.57,0.78,0.41,0.68,1.71,0.9,0.0,33.66,37.62,1581.6100000000006,809.9200000000001,771.6899999999987,1.0,3.0,3.0,1.4142135623730951,0.0,3.7416573867739413,1.4142135623730951,1.4142135623730951,2.6457513110645907,2.0,1.4142135623730951,1.0,0.0,1.0,1.0,2.3408,-0.024,2.64,-7.0,-14.8,-134.0,8.4,-122.1,131.6,-0.34,-0.003066,0.74,29.6,12.8,-14.0,101.5,10.0,19.0,24.2,12.24,18.94,7.8,-223.4,0.6101722612,2.4,-7.963436,-11.16,-21.605999999999998,-43.16,-32.6,-3271.88,-21.59,3.33,9.08,3.57,-878.41,-113.63,0.0,0.0,0.0,0.0,0.0,-43.5089,84.3086,0.000337,-10.252,23.831999999999997,-37.89,9.791,-59.847,-3.48,-2.343,0.0,-160.04,115.76,-390.32,-25.36,1740.969,14.4354065433,-3.147,3.194,1.6380000000000001,-0.3779,-210.6,-2565.0,16.11,-0.7505,-2793.0,-3.199,2.707,-1.4069999999999998,2.115,-19.33,-388.4,-0.1594,1.171,-406.4,-4507.98746,-4558.207771,2663.95,-1118.55,3782.49,0.1879,0.0,0.0,0.0,1.672593,-2.378432,-0.659624,-5.9992540000000005,-12.151460939300001,8.29604,0.005909,55
swarm_0_77.pdb,4,0,3,3,3,1,7,7,6,0,0,0,1,3,0,0.485,0.33,0.0,0.4,0.3566666666666667,0.35333333333333333,0.45714285714285713,0.4757142857142857,0.4633333333333334,0.0,0.41,0.68,0.0,0.0,0.0,0.0,0.4,1.07,1.06,3.1999999999999997,3.33,2.7800000000000002,0.0,1.23,0.68,0.0,0.0,0.0,33.99,36.63,1434.6800000000003,678.8099999999995,755.8700000000008,2.0,1.7320508075688772,2.6457513110645907,0.0,2.6457513110645907,2.449489742783178,0.0,1.7320508075688772,1.7320508075688772,1.0,0.0,0.0,0.0,1.0,1.7320508075688772,2.1538,0.486,3.46,-8.8,-7.8,-113.8,7.1,-93.78,106.94,-1.52,0.01278,-0.44,36.2,22.6,-5.8,55.522,7.0,16.2,25.2,7.52,16.04,12.24,-172.6,0.4163278496,13.7,-9.555338,-12.66,-21.02,-49.41,-38.3,-2551.24,5.74,-6.05,-8.46,-10.83,-834.25,-465.73,0.0,0.0,0.0,0.0,0.0,-49.6846,-48.595,0.000452,-10.179,12.737,-50.651,-2.508,11.937000000000001,-3.888,-4.115,0.0,-135.17,134.95,-283.15,-14.57,2979.205,20.9835569223,-2.27,2.3819999999999997,1.1840000000000002,-1.421,-130.3,-2269.0,13.08,-7.688,-2420.0,-2.005,1.659,0.02146,3.071,-6.077999999999999,-328.2,4.027,3.405,-334.9,-4437.946561,-4490.669326,2009.67,-1083.03,3092.7,-0.0156,0.0,0.0,0.0,2.564549,3.480657,-0.194214,-7.40037,-10.1022836591,6.780139999999999,0.003447,38
swarm_100_114.pdb,2,1,4,0,0,1,15,5,4,0,0,0,0,1,0,0.45999999999999996,0.0,0.49,0.41,0.44,0.0,0.46599999999999997,0.54,0.4975,0.0,0.48,0.0,0.0,0.0,0.0,0.49,0.41,1.76,0.0,6.989999999999999,2.7,1.99,0.0,0.48,0.0,0.0,0.0,0.0,32.9,37.79,1117.4099999999999,636.1800000000003,481.2399999999998,1.4142135623730951,0.0,3.872983346207417,0.0,2.23606797749979,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5236,-6.8660000000000005,-0.86,-16.2,-22.8,-130.6,4.3,-83.96,95.5,-4.76,-0.039382,-7.5,31.4,12.0,-16.4,54.79600000000001,0.2,6.4,13.0,1.52,4.7,17.38,-173.8,-0.180868948,10.3,-7.964475,-5.13,-17.636,-34.76,-22.0,-2008.73,-17.39,-1.25,8.35,5.63,-757.83,-173.89,0.0,0.0,0.0,0.0,0.0,-5.97478,66.9691,0.000554,-9.985,14.536,-40.696,0.48100000000000004,17.555999999999997,-2.22,-2.5540000000000003,0.0,-118.19,156.12,-301.06,-95.46,-3715.4829999999997,27.418126206799997,-1.952,2.025,1.187,-0.8916,-45.71,-2248.0,8.682,-2.6069999999999998,-2305.0,-2.763,2.039,-0.07866000000000001,3.238,-45.91,-209.5,3.18,3.388,-255.2,-4037.136685,-4080.778096,2679.04,-913.85,3592.89,0.0456,0.0,0.0,0.0,-0.864504,-3.2659990000000003,-7.248781,-7.73463,-3.34406059972,7.4678,0.008121,33
swarm_100_174.pdb,7,1,8,10,5,1,19,5,12,0,1,0,2,3,1,0.4685714285714286,0.376,0.58,0.55,0.4275,0.354,0.46421052631578946,0.512,0.5633333333333334,0.34,0.4066666666666667,0.605,0.83,0.0,0.0,0.58,0.55,3.42,1.7699999999999998,8.82,2.56,6.76,0.34,1.22,1.21,0.83,0.0,0.0,33.77,37.42,1884.4399999999987,849.6200000000008,1034.819999999998,2.6457513110645907,3.1622776601683795,4.358898943540674,1.0,2.23606797749979,3.4641016151377544,1.0,2.8284271247461903,2.23606797749979,1.0,1.0,0.0,0.0,1.4142135623730951,1.7320508075688772,3.9622,-3.182,0.9,-14.4,-21.4,-196.8,10.92,-153.96,172.92,-4.06,0.06519,-10.88,52.2,29.0,-13.2,135.01,13.0,23.8,35.4,8.56,17.82,13.18,-305.2,-0.8718237268000001,25.1,-12.906578,-18.42,-26.894000000000002,-47.28,-36.81,-4672.37,-5.32,-7.06,-54.95,-1.48,-1117.44,-283.84,0.0,0.0,0.0,0.0,0.0,-88.844,28.0146,0.000297,-20.647,8.431000000000001,-64.173,-18.633,7.12,-6.062,-6.197,0.0,-227.54,221.02,-718.58,165.27,-6639.751,35.1341110852,-2.28,2.299,0.06974,-1.729,-136.9,-3555.0,8.711,3.1010000000000004,-3698.0,-1.459,1.425,0.2775,0.6687,16.76,-460.7,6.295,0.534,-449.7,-5077.6822329999995,-5172.159970000001,1757.79,-1395.55,3153.35,0.1798,0.0,0.0,0.0,-1.2517690000000001,-5.320208,-7.650606,-14.893175,-17.4030145848,9.02696,0.002693,75
swarm_100_184.pdb,1,3,2,4,0,2,11,0,6,0,1,0,0,1,0,0.42,0.59,0.54,0.485,0.43500000000000005,0.0,0.48090909090909084,0.0,0.585,0.0,0.54,0.0,0.83,0.0,0.0,1.62,0.97,0.8700000000000001,0.0,5.289999999999999,0.0,3.51,0.0,0.54,0.0,0.83,0.0,0.0,33.12,37.01,1072.1800000000003,592.0400000000009,480.1399999999994,1.0,2.0,3.3166247903554,0.0,0.0,2.449489742783178,1.7320508075688772,1.4142135623730951,0.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,-0.4214,-5.1979999999999995,-1.08,-10.8,-18.0,-84.6,3.6,-57.54,63.28,-3.5,-0.04137,-6.84,28.0,9.6,-13.0,97.066,-1.2,4.2,10.4,2.28,3.6,12.02,-120.0,-0.81013831,4.7,-6.914633,-8.39,-19.983,-21.92,-7.65,-2456.75,-13.94,0.14,-12.66,6.81,-702.21,-235.56,0.0,0.0,0.0,0.0,0.0,-48.0161,6.27424,0.00049,-7.327999999999999,15.901,-45.011,4.073,13.206,0.254,0.003,0.0,-85.68,106.23,-416.81,33.86,-566.627,15.9719660073,-1.564,1.546,0.07439,-0.2523,26.08,-2301.0,4.765,-25.02,-2305.0,-1.079,0.5767,-1.794,1.325,25.75,-251.1,-1.364,-3.9130000000000003,-227.9,-4325.652247999999,-4374.306279,2670.86,-1032.17,3703.03,-0.0045,0.0,0.0,0.0,-4.8979040000000005,-4.399751999999999,-3.8416410000000005,-4.405505000000001,-5.7376320048,8.34338,0.011677,31
swarm_10_111.pdb,8,1,5,4,12,3,9,9,19,0,5,0,0,3,0,0.5037499999999999,0.3775,0.49,0.45,0.43200000000000005,0.3675,0.4655555555555556,0.5222222222222224,0.5478947368421053,0.0,0.38666666666666666,0.0,0.744,0.0,0.0,0.49,1.35,2.16,4.41,4.19,4.700000000000001,10.41,0.0,1.16,0.0,3.7199999999999998,0.0,0.0,34.01,37.71,2367.760000000002,1266.5900000000001,1101.17,2.8284271247461903,2.0,3.0,0.0,3.0,4.358898943540674,1.0,2.23606797749979,3.4641016151377544,1.7320508075688772,2.23606797749979,0.0,0.0,0.0,1.7320508075688772,0.5708,-4.162,-2.4,-18.6,-36.8,-215.2,5.42,-172.84,165.52,-5.84,-0.009114,-11.96,39.6,13.2,-27.2,155.864,-0.8,9.2,19.4,6.36,13.14,14.6,-317.0,-1.8257050881999999,17.5,-12.805844,-16.86,-37.532,-66.35,-57.53,-5814.43,4.15,1.48,-46.31,-16.41,-1176.53,64.32,0.0,0.0,0.0,0.0,0.0,-39.8182,410.455,0.00021400000000000002,-19.452,33.633,-59.412,8.24,40.975,-1.757,-2.536,0.0,-198.27,201.66,-556.49,-84.13,493.759,42.8065314604,-1.7790000000000001,1.867,0.5959,-1.774,2.6639999999999997,-4106.0,13.11,-29.75,-4147.0,-2.7260000000000004,1.984,-1.315,3.6489999999999996,-16.57,-582.6,1.946,4.012,-597.1,-6179.188364,-6265.646879,5604.56,-1910.14,7514.7,0.1059,0.0,0.0,0.0,-10.450187,-14.830708,-11.30291,-23.364435,-10.4113344238,14.3737,0.004782,78
swarm_101_171.pdb,1,1,0,8,12,8,4,1,15,1,2,3,3,6,1,0.55,0.35375,0.54,0.49750000000000005,0.0,0.33666666666666667,0.525,0.56,0.516,0.34,0.42166666666666663,0.63,0.555,0.9,0.7366666666666667,0.54,3.9800000000000004,0.0,4.04,2.1,0.56,7.74,0.34,2.53,1.8900000000000001,1.11,0.9,2.21,34.21,36.18,1589.4099999999999,773.2700000000004,816.130000000001,1.0,2.8284271247461903,2.0,1.0,1.0,3.872983346207417,1.0,0.0,3.4641016151377544,2.8284271247461903,1.4142135623730951,1.0,1.7320508075688772,1.7320508075688772,2.449489742783178,1.9909999999999999,2.418,-0.2,-4.6,-8.4,-104.2,5.32,-107.84,106.84,-0.86,0.08118600000000001,-2.18,34.4,20.4,-2.2,68.494,9.8,18.4,23.0,10.28,18.38,4.66,-193.4,0.479835082,16.5,-9.750084,-9.64,-23.331,-42.95,-33.34,-3440.25,-1.58,6.84,74.07,54.27,-630.22,569.6,0.0,0.0,0.0,0.0,0.0,-22.738000000000003,1454.55,0.000377,-12.365,10.334000000000001,-2.396,-2.27,-32.955999999999996,-6.272,-5.646,0.0,-129.6,216.97,-604.24,273.61,1031.635,30.9486240188,-2.862,3.03,1.954,-2.1430000000000002,-163.8,-2390.0,18.74,2.211,-2570.0,-2.57,2.47,0.4326,1.63,14.42,-389.7,5.452000000000001,3.031,-377.7,-4777.75365,-4853.0606259999995,1497.39,-1269.76,2767.15,0.0764,0.0,0.0,0.0,-0.085889,0.693593,-6.103833,-18.187617000000003,-8.04986364906,8.73126,0.006121,66
