Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_161.pdb,1,0,0,12,10,6,10,2,13,0,2,2,1,0,0,0.44,0.45,0.0,0.5883333333333334,0.0,0.40099999999999997,0.562,0.44,0.5623076923076923,0.0,0.0,0.88,0.46,0.0,0.5,0.0,3.5300000000000002,0.0,4.01,5.62,0.88,7.31,0.0,0.0,0.88,0.92,0.0,1.0,29.74,34.7,1787.5400000000009,959.9500000000007,827.6000000000004,1.0,3.4641016151377544,3.1622776601683795,0.0,1.4142135623730951,3.605551275463989,0.0,0.0,3.1622776601683795,2.449489742783178,1.4142135623730951,0.0,1.4142135623730951,1.0,0.0,3.5226,-2.7939999999999996,7.62,-6.2,-12.2,-112.6,8.28,-101.52,120.24,0.96,0.119174,-1.12,27.8,14.0,-7.8,86.15,12.6,19.8,23.6,6.86,16.6,0.6,-203.8,-0.678776244,9.7,-7.711682000000001,-15.82,-28.743000000000002,-45.22,-43.62,-2939.89,0.92,-3.14,45.97,10.43,-1276.62,-396.55,0.0,0.0,0.0,0.0,0.0,-50.4159,339.08099999999996,0.000306,-15.765999999999998,19.913,0.8859999999999999,4.236000000000001,-89.583,-2.149,-0.447,0.0,-43.02,112.58,-463.51,-33.89,989.612,22.436421595,-3.674,3.765,1.45,-0.8142,-141.7,-3323.0,15.28,-2.2119999999999997,-3482.0,-2.287,2.104,0.5463,1.785,2.1319999999999997,-465.2,6.444,0.912,-468.6,-5391.4009829999995,-5451.057768,3296.03,-1458.51,4754.54,-0.0822,0.0,0.0,0.0,1.58064,0.13056800000000002,1.433444,-1.3126280000000001,-13.5666457321,18.6037,0.007458,59
swarm_0_199.pdb,3,3,4,3,3,6,11,3,11,0,0,2,2,0,1,0.44333333333333336,0.38000000000000006,0.5266666666666667,0.47500000000000003,0.4675,0.42,0.4645454545454545,0.5166666666666667,0.5272727272727273,0.51,0.0,0.5900000000000001,0.0,0.0,0.5,1.58,2.85,1.87,1.26,5.109999999999999,1.55,5.800000000000001,0.51,0.0,1.1800000000000002,0.0,0.0,1.0,29.68,34.62,1772.890000000003,1034.1499999999996,738.7399999999998,1.7320508075688772,1.7320508075688772,3.3166247903554,1.0,1.7320508075688772,3.3166247903554,1.7320508075688772,2.0,1.7320508075688772,2.449489742783178,0.0,0.0,1.4142135623730951,1.4142135623730951,0.0,1.0384,4.82,3.18,-9.6,-17.0,-89.4,5.96,-82.62,99.18,-1.74,0.07108400000000001,-3.52,33.0,14.6,-11.6,92.366,4.6,13.4,19.2,2.86,14.9,4.5,-173.8,-0.12586204,6.0,-7.6768339999999995,-14.3,-27.67,-37.1,-28.97,-2734.08,10.94,-6.96,-4.18,5.02,-1132.28,-350.15,0.0,0.0,0.0,0.0,0.0,-17.544,251.317,0.00031299999999999996,-25.53,17.965,-44.532,-12.019,-79.11,-4.406000000000001,-2.903,0.0,-158.32,167.21,-327.68,-75.68,1381.931,40.2112608464,-3.2110000000000003,3.3169999999999997,1.465,-1.306,60.04,-3064.0,11.13,-16.81,-3032.0,-3.4410000000000003,2.7239999999999998,-1.633,2.758,-5.484,-410.7,-1.5290000000000001,3.455,-411.2,-5254.391363000001,-5305.303701,3125.88,-1395.43,4521.32,-0.1392,0.0,0.0,0.0,-2.625801,-7.527779,-4.17779,-7.592884,-12.0843174858,11.1431,0.0065769999999999995,52
swarm_100_11.pdb,3,2,7,5,8,1,12,11,7,0,0,0,0,1,1,0.4566666666666667,0.37600000000000006,0.635,0.41,0.4628571428571428,0.37625,0.445,0.5190909090909092,0.5442857142857143,0.48,0.48,0.0,0.0,0.0,0.0,1.27,0.41,3.2399999999999998,3.01,5.34,5.710000000000001,3.81,0.48,0.48,0.0,0.0,0.0,0.0,29.93,34.27,2215.6900000000023,1158.5999999999985,1057.0699999999997,1.7320508075688772,2.23606797749979,3.4641016151377544,1.0,3.3166247903554,2.6457513110645907,1.4142135623730951,2.6457513110645907,2.8284271247461903,1.0,0.0,0.0,0.0,0.0,1.0,1.2408,-6.228,3.02,-11.2,-19.2,-161.4,7.18,-133.54,139.4,-2.34,0.019698,-5.46,41.8,24.8,-13.6,124.96600000000001,8.8,15.8,25.4,3.04,13.12,7.28,-245.8,-0.7291921812000001,13.8,-7.667483,-11.89,-29.47,-47.6,-47.55,-3326.32,-10.7,-7.83,-38.05,-9.15,-1302.2,-658.26,0.0,0.0,0.0,0.0,0.0,-72.3326,-46.3668,0.000198,-29.583000000000002,33.452,-74.88600000000001,-3.6210000000000004,63.097,-2.5780000000000003,-3.7769999999999997,0.0,-108.6,201.34,-247.54,-117.93,-24118.243,50.056490806899994,-2.497,2.57,0.2488,-2.5269999999999997,304.6,-4056.0,2.895,7.018,-3747.0,-1.663,1.297,-0.7292,1.7930000000000001,85.31,-553.8,0.7392,3.428,-465.8,-5455.9303899999995,-5550.537207,3548.12,-1451.56,4999.68,-0.0054,0.0,0.0,0.0,-6.474648,-7.344817999999999,-7.340945,-20.406454999999998,-15.997634695799999,11.3878,0.004586,58
swarm_100_131.pdb,3,6,14,6,17,4,17,8,20,0,4,2,0,4,2,0.48,0.44333333333333336,0.545,0.7425,0.4178571428571428,0.40235294117647064,0.46705882352941175,0.47874999999999995,0.5049999999999999,0.5449999999999999,0.4275,0.0,0.625,0.0,0.9,3.27,2.97,5.85,6.840000000000001,7.9399999999999995,3.8299999999999996,10.099999999999998,1.0899999999999999,1.71,0.0,2.5,0.0,1.8,30.28,34.2,3629.7899999999972,1681.92,1947.869999999999,1.7320508075688772,2.449489742783178,4.123105625617661,1.4142135623730951,2.8284271247461903,4.47213595499958,2.449489742783178,3.7416573867739413,4.123105625617661,2.0,2.0,0.0,1.4142135623730951,0.0,2.0,4.1739999999999995,-2.7439999999999998,5.92,-11.8,-19.4,-276.6,13.1,-230.84,250.46,-1.78,0.083324,-1.88,53.2,24.4,-28.4,144.72799999999998,26.4,42.4,52.0,2.54,30.08,15.38,-413.0,-0.907145704,5.5,-14.42864,-29.57,-55.08,-80.86,-77.49,-7125.45,11.22,3.28,-2.07,12.63,-2191.33,-789.61,0.0,0.0,0.0,0.0,0.0,-102.339,163.053,0.000113,-20.688000000000002,34.468,-71.804,6.599,-135.79,-8.606,-6.026,0.0,-224.68,232.36,-669.35,42.49,-16393.481,58.31933375770001,-3.154,3.304,0.8109999999999999,-2.533,276.5,-6872.0,14.93,10.24,-6601.0,-2.1430000000000002,1.82,-0.2805,2.313,131.2,-956.5,6.4510000000000005,2.696,-829.1,-8139.596398000001,-8264.277195,5224.63,-2704.44,7929.07,-0.1733,0.0,0.0,0.0,-3.444299,-5.758209,-10.992579,-27.115371999999997,-31.491303411999997,13.345999999999998,0.005664,107
swarm_100_44.pdb,1,3,3,7,14,2,15,1,11,0,5,0,0,1,0,0.58,0.41000000000000003,0.6000000000000001,0.58,0.45999999999999996,0.35285714285714287,0.43000000000000005,0.43,0.5118181818181817,0.0,0.48,0.0,0.596,0.0,0.0,1.8000000000000003,1.16,1.38,4.94,6.450000000000001,0.43,5.629999999999999,0.0,0.48,0.0,2.98,0.0,0.0,30.22,34.57,2210.290000000001,1119.090000000002,1091.1899999999987,1.0,2.6457513110645907,3.872983346207417,0.0,1.0,3.3166247903554,1.7320508075688772,1.7320508075688772,3.7416573867739413,1.4142135623730951,2.23606797749979,0.0,0.0,0.0,1.0,-0.6978,-4.886,-1.96,-9.6,-22.2,-179.8,5.96,-152.34,153.66,-3.78,0.03768,-6.68,39.2,16.2,-21.2,149.398,12.6,20.0,27.4,1.94,13.72,-3.9,-260.8,-1.4507173928000001,14.0,-10.032644,-16.15,-33.269,-42.47,-34.46,-4320.16,-17.88,-13.63,-15.4,5.96,-1497.14,-681.41,0.0,0.0,0.0,0.0,0.0,-72.616,19.8629,0.00016,-16.18,39.091,-52.254,17.686,-22.983,-4.442,-4.005,0.0,-167.77,196.69,-346.28,-36.5,-25315.662,43.93087368770001,-2.255,2.291,0.5725,-0.6699,244.0,-4122.0,7.776,-17.55,-3903.0,-0.8766,0.5527,-0.1227,1.838,67.45,-546.5,5.446000000000001,-4.2010000000000005,-488.7,-5869.853234,-5930.2861570000005,4284.25,-1662.97,5947.23,-0.1175,0.0,0.0,0.0,2.407997,-1.377657,-6.910316000000001,-15.491992999999999,-16.990078528599998,12.2666,0.00373,63
swarm_100_48.pdb,9,1,8,2,10,0,14,3,8,0,3,0,0,4,0,0.46444444444444444,0.41500000000000004,0.54,0.0,0.46125,0.395,0.4164285714285714,0.49666666666666665,0.5687500000000001,0.0,0.44499999999999995,0.0,0.7933333333333333,0.0,0.0,0.54,0.0,3.69,3.95,5.83,1.49,4.550000000000001,0.0,1.7799999999999998,0.0,2.38,0.0,0.0,29.87,34.2,1756.6599999999999,899.7199999999993,856.9499999999989,3.0,1.4142135623730951,3.7416573867739413,0.0,1.7320508075688772,2.8284271247461903,1.0,2.8284271247461903,3.1622776601683795,0.0,1.7320508075688772,0.0,0.0,0.0,2.0,4.8204,-4.534,6.92,-5.6,-12.4,-153.8,8.24,-138.48,148.78,2.56739074445e-16,-0.024030000000000003,-0.7,39.2,21.6,-10.6,105.962,19.6,27.0,33.8,8.0,21.22,20.16,-242.0,0.11402827619999999,12.7,-6.354366000000001,-11.24,-26.659000000000002,-37.74,-31.94,-3425.95,-10.44,-7.68,48.59,39.84,-1100.02,-197.04,0.0,0.0,0.0,0.0,0.0,-20.4378,668.862,0.0004,-11.077,20.799,-9.834,8.738999999999999,-22.295,-3.9560000000000004,-3.532,0.0,-46.24,173.31,-389.52,99.67,-19014.633,33.6349369111,-3.303,3.3939999999999997,0.3932,-2.188,90.35,-3718.0,6.622999999999999,3.67,-3630.0,-1.8,1.94,0.9712,0.4299,22.51,-463.1,7.042000000000001,-2.6710000000000003,-450.3,-5276.225455,-5361.600433,3632.04,-1345.7,4977.74,0.1601,0.0,0.0,0.0,-6.046479,-8.878874,-11.123603999999998,-23.10432,-12.21692117,18.917,0.004419,62
swarm_10_109.pdb,8,6,18,8,21,9,35,17,14,1,6,1,0,9,2,0.44,0.36000000000000004,0.53,0.6055555555555556,0.4116666666666666,0.3180952380952381,0.4694285714285714,0.4770588235294118,0.5342857142857144,0.41000000000000003,0.4955555555555555,0.0,0.6483333333333333,0.9,0.74,3.18,5.450000000000001,7.409999999999999,6.680000000000001,16.43,8.110000000000001,7.48,0.8200000000000001,4.46,0.0,3.8899999999999997,0.9,0.74,30.39,33.79,3664.2800000000025,1823.2199999999993,1841.0599999999995,2.8284271247461903,2.8284271247461903,5.916079783099616,1.4142135623730951,4.123105625617661,3.7416573867739413,2.449489742783178,4.242640687119285,4.58257569495584,3.0,2.449489742783178,1.0,1.0,0.0,3.0,6.7608,-1.444,11.42,-13.2,-40.8,-409.0,15.14,-371.02,368.34,-0.7,0.042214,-0.7,93.2,49.4,-34.4,244.72799999999998,28.4,49.2,66.2,18.94,39.74,15.26,-624.0,-0.1064663782,20.2,-3.620229,-21.97,-50.542,-114.26,-95.35,-7312.79,-1.92,-13.57,139.34,123.09,-1901.58,1520.03,0.0,0.0,0.0,0.0,0.0,-17.0488,3835.26,0.00015,-25.002,35.44,135.744,24.011999999999997,-82.449,-10.902999999999999,-9.337,0.0,-80.49,424.2,-1268.68,308.72,-22481.087000000003,61.9220496159,-3.755,3.859,0.4355,-2.415,-118.4,-7456.0,12.1,-22.26,-7609.0,-1.694,1.425,0.7573,2.7910000000000004,-8.226,-1030.0,14.22,1.244,-1052.0,-7900.250053,-8085.7271120000005,6943.34,-2691.15,9634.49,0.1073,0.0,0.0,0.0,-4.005189,-17.24255,-4.863378,-28.851153000000004,-32.033966520300005,25.8403,0.006239,155
swarm_10_10.pdb,8,8,20,4,7,7,24,16,8,0,5,1,1,1,0,0.49749999999999994,0.365,0.5525,0.4214285714285714,0.4425,0.21428571428571427,0.4575,0.49562500000000015,0.44249999999999995,0.0,0.48,0.65,0.666,0.0,0.7,4.42,2.9499999999999997,8.85,1.5,10.98,7.930000000000002,3.5399999999999996,0.0,0.48,0.65,3.33,0.0,0.7,30.77,33.94,3143.0499999999993,1579.0699999999997,1563.9900000000016,2.8284271247461903,2.0,4.898979485566356,0.0,4.0,2.8284271247461903,2.8284271247461903,4.47213595499958,2.6457513110645907,2.6457513110645907,2.23606797749979,0.0,1.0,1.0,1.0,1.4826,-4.338,4.32,-14.6,-43.6,-363.2,8.22,-311.74,293.38,-2.94,0.10465,-6.98,73.0,40.8,-37.8,148.56,10.0,27.0,43.6,-2.08,15.16,10.12,-506.4,-0.882826758,16.5,-13.004287,-25.21,-48.852,-112.79,-100.78,-8667.89,25.19,-2.86,-3.79,34.75,-2033.15,-82.18,0.0,0.0,0.0,0.0,0.0,-82.1996,1341.58,0.000161,-34.008,30.715,20.588,-1.234,-2.276,-13.652000000000001,-13.609000000000002,0.0,-241.57,228.52,-1341.63,161.84,-20452.753,85.19383236600001,-3.846,3.9330000000000003,0.6095,-2.73,449.2,-7159.0,13.32,-5.336,-6728.0,-3.25,2.875,-0.6584,1.454,95.71,-998.3,4.198,0.2865,-906.5,-7551.834215000001,-7685.654895999999,5218.61,-2436.42,7655.03,-0.1831,0.0,0.0,0.0,-4.656212,-10.404969,-13.923182,-26.032879,-26.6057157712,18.1291,0.005309,110
swarm_101_108.pdb,2,1,3,4,12,5,14,2,15,0,0,0,1,1,0,0.42500000000000004,0.5075000000000001,0.35,0.492,0.45999999999999996,0.39000000000000007,0.46285714285714274,0.46499999999999997,0.5233333333333333,0.0,0.48,0.53,0.0,0.0,0.0,0.35,2.46,1.38,4.680000000000001,6.479999999999999,0.9299999999999999,7.85,0.0,0.48,0.53,0.0,0.0,0.0,29.72,34.92,2044.7899999999972,1047.5100000000002,997.2799999999988,1.4142135623730951,2.0,3.7416573867739413,0.0,1.4142135623730951,3.872983346207417,1.0,1.7320508075688772,3.4641016151377544,2.23606797749979,0.0,0.0,0.0,1.0,1.0,1.5419999999999998,-5.352,7.08,-9.0,-19.8,-172.0,10.3,-147.2,168.08,-0.26,0.013059999999999999,-0.06,36.0,14.2,-22.8,147.1,14.8,24.0,30.4,8.22,15.12,9.36,-280.6,-0.09921067800000001,15.4,-12.177588,-20.25,-31.366,-55.86,-47.38,-4032.77,12.76,3.2,15.82,1.43,-1202.9,-255.02,0.0,0.0,0.0,0.0,0.0,-46.8837,299.687,0.000278,-12.075999999999999,23.095,-23.026,8.716000000000001,-162.815,-4.317,-1.2229999999999999,0.0,-131.21,182.04,-367.98,-67.75,2359.096,54.2847587671,-3.852,3.9589999999999996,1.541,-1.4609999999999999,-205.8,-3436.0,12.5,-15.95,-3670.0,-3.016,2.4459999999999997,-0.7188,2.311,-36.28,-492.1,2.4930000000000003,2.0709999999999997,-528.8,-5690.269309,-5745.417694,2986.6,-1567.03,4553.64,0.0804,0.0,0.0,0.0,-1.8252650000000001,2.3458240000000004,-9.174138000000001,-13.21241,-18.2808558457,13.3459,0.007783,60
swarm_101_135.pdb,1,1,2,8,9,8,14,1,11,0,2,2,0,2,0,0.58,0.51125,0.64,0.56125,0.425,0.4222222222222222,0.44642857142857134,0.56,0.5481818181818181,0.0,0.4,0.0,0.5800000000000001,0.0,0.55,0.64,4.49,0.85,3.8,6.249999999999999,0.56,6.029999999999999,0.0,0.8,0.0,1.1600000000000001,0.0,1.1,30.07,34.42,2093.66,1029.8099999999995,1063.8600000000006,1.0,2.8284271247461903,3.7416573867739413,0.0,1.0,3.3166247903554,1.0,1.4142135623730951,3.0,2.8284271247461903,1.4142135623730951,0.0,1.4142135623730951,0.0,1.4142135623730951,0.3712,-1.83,-0.38,-10.2,-26.0,-175.2,6.22,-142.9,154.1,-2.48,0.020866,-6.28,21.8,5.4,-24.2,79.344,4.2,15.4,20.6,-3.42,3.0,8.94,-272.4,-1.364869914,-0.4,-8.912030999999999,-16.57,-30.464000000000002,-61.73,-49.81,-4610.1,4.07,-18.44,-63.68,-10.54,-1227.31,-330.06,0.0,0.0,0.0,0.0,0.0,-56.4979,7.33603,0.00025499999999999996,-11.360999999999999,13.273,-40.385,-2.127,-109.833,-3.3560000000000003,-1.2690000000000001,0.0,-149.57,72.69,-305.14,-224.61,1868.3110000000001,53.5592047591,-3.589,3.5380000000000003,0.3408,-0.3345,-23.26,-3574.0,4.959,-28.58,-3631.0,-3.52,3.0210000000000004,-1.3780000000000001,1.517,-20.73,-463.7,-0.5801,-2.548,-486.4,-5621.8613909999995,-5684.08265,2925.09,-1506.92,4432.0,-0.0227,0.0,0.0,0.0,0.101365,-1.2656889999999998,-4.866658999999999,-7.3041220000000004,-15.7717738902,12.0854,0.00577,61
