Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_137.pdb,11,3,8,5,5,3,13,6,4,0,1,2,1,2,2,0.44727272727272727,0.362,0.41333333333333333,0.7766666666666667,0.44500000000000006,0.366,0.47538461538461535,0.49000000000000005,0.395,0.51,0.515,0.52,0.83,0.0,0.655,1.24,2.33,3.5600000000000005,1.8299999999999998,6.18,2.9400000000000004,1.58,1.02,1.03,0.52,0.83,0.0,1.31,20.56,40.77,1641.7700000000004,810.3600000000006,831.3999999999996,3.3166247903554,2.23606797749979,3.605551275463989,1.4142135623730951,2.449489742783178,2.0,1.7320508075688772,2.8284271247461903,2.23606797749979,1.7320508075688772,1.0,0.0,1.4142135623730951,1.0,1.4142135623730951,5.3628,-4.51,3.74,-8.8,-15.4,-129.0,3.32,-163.04,171.08,-3.1,-0.07852,-6.5,32.0,19.8,-13.2,96.86399999999999,24.4,38.4,41.8,0.64,9.42,20.1,-311.6,-1.7156253540000002,8.6,-7.860461999999999,-18.53,-27.552,-63.84,-52.27,-3455.84,-22.52,-8.39,44.63,50.04,-901.93,419.64,0.0,0.0,0.0,0.0,0.0,-24.2893,703.618,0.000359,-2.079,18.174,25.761999999999997,18.671,-172.11,-5.414,-2.144,0.0,-86.42,251.4,5.91,38.79,-1521.135,6.54181170464,-2.8489999999999998,2.781,-0.1859,0.1127,-337.2,-3642.0,3.69,-8.763,-3991.0,-2.574,1.984,-1.09,2.945,-49.31,-466.1,1.795,-3.5980000000000003,-520.8,-4756.253089,-4816.682717000001,2769.08,-1456.83,4225.89,-0.1986,0.0,0.0,0.0,-3.6163529999999997,-7.452615,-6.565832,-15.026432000000002,-13.1251287229,6.70483,0.010197,66
swarm_0_154.pdb,12,1,23,14,24,3,21,6,1,0,4,0,0,11,6,0.44333333333333336,0.375,0.35,0.6066666666666666,0.3839130434782607,0.34166666666666673,0.5066666666666666,0.455,0.03,0.625,0.4754545454545454,0.0,0.56,0.0,0.0,0.35,1.8199999999999998,8.829999999999997,8.200000000000001,10.639999999999999,2.73,0.03,3.75,5.2299999999999995,0.0,2.24,0.0,0.0,20.44,40.51,2196.9799999999996,916.3199999999997,1280.6599999999999,3.4641016151377544,3.7416573867739413,4.58257569495584,2.449489742783178,2.449489742783178,1.0,1.0,4.795831523312719,4.898979485566356,1.7320508075688772,2.0,0.0,0.0,0.0,3.3166247903554,7.7232,10.446,13.86,0.8,1.2,-261.2,13.16,-263.76,277.54,7.38,-0.022386,11.1,61.6,55.0,-2.6,143.684,30.2,62.6,76.2,3.28,15.18,26.52,-484.2,0.926740624,10.0,-5.268419000000001,-15.73,-29.199,-85.56,-67.09,-5116.49,40.67,31.08,121.69,177.44,-1258.55,736.06,0.0,0.0,0.0,0.0,0.0,-31.1209,1940.01,0.0003,-8.351,21.021,125.635,25.234,-184.972,-20.675,-17.16,0.0,29.49,257.47,-341.89,515.84,1592.681,34.9185010067,-3.61,3.697,1.3159999999999998,-1.248,-559.0,-5305.0,20.78,-40.17,-5925.0,-2.214,2.938,4.695,1.193,-24.06,-730.9,35.06,-11.68,-801.7,-5028.373587,-5163.530669,3891.54,-1567.7,5459.25,0.41700000000000004,0.0,0.0,0.0,-10.937378,-11.257655,-12.376433,-45.418423,-21.943254745999997,39.369,0.002143,126
swarm_0_171.pdb,6,2,4,2,7,2,9,4,0,0,0,0,2,2,3,0.38833333333333336,0.42500000000000004,0.515,0.855,0.4325,0.34142857142857147,0.5288888888888889,0.4775,0.0,0.48000000000000004,0.375,0.5349999999999999,0.0,0.0,0.0,1.03,1.71,1.73,2.39,4.76,1.91,0.0,1.4400000000000002,0.75,1.0699999999999998,0.0,0.0,0.0,20.75,40.82,1457.3099999999977,736.0499999999993,721.2700000000004,2.449489742783178,1.4142135623730951,3.0,1.7320508075688772,2.0,0.0,1.4142135623730951,2.0,2.6457513110645907,1.4142135623730951,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,4.088,-5.022,4.72,-8.8,-7.2,-123.0,4.66,-112.56,131.86,-1.96,-0.048082,-3.58,21.6,12.4,-10.6,8.427999999999999,14.8,27.6,31.0,5.22,8.24,9.74,-221.4,0.184766338,6.8,-8.056352,-12.08,-21.717,-24.58,-27.72,-2350.72,33.4,12.87,-33.79,-14.8,-903.96,-435.15,0.0,0.0,0.0,0.0,0.0,-30.0403,9.70167,0.00044100000000000004,-8.774,12.567,-53.431000000000004,-1.55,-89.016,-6.727,-5.035,0.0,-57.41,129.5,-213.28,-0.11,298.95599999999996,18.0865296093,-2.82,2.6710000000000003,-1.175,-0.1131,-235.5,-3027.0,-6.744,23.48,-3232.0,-2.318,2.272,1.224,1.8869999999999998,12.67,-360.0,6.6979999999999995,1.824,-352.2,-4122.135579,-4167.287061999999,2494.79,-1116.16,3610.95,-0.1512,0.0,0.0,0.0,-3.062473,1.117307,-4.912297,-11.979131,-13.0047242701,5.69804,0.009349,43
swarm_0_174.pdb,6,1,6,4,7,0,9,4,4,0,9,3,1,11,5,0.43333333333333335,0.455,0.54,0.0,0.44166666666666665,0.3314285714285714,0.46888888888888886,0.4675,0.56,0.54,0.5163636363636364,0.52,0.5744444444444444,0.0,0.57,0.54,0.0,2.65,2.32,4.22,1.87,2.24,2.7,5.68,0.52,5.17,0.0,1.71,20.63,40.21,1762.5499999999993,793.1999999999989,969.3500000000004,2.449489742783178,2.0,3.0,2.23606797749979,2.0,2.0,1.0,2.449489742783178,2.6457513110645907,0.0,3.0,0.0,1.7320508075688772,1.0,3.3166247903554,2.5258,-5.444,-4.5,-8.8,-9.2,-205.8,-4.84,-233.66,198.7,-3.92,-0.000884,-7.1,21.4,16.8,-15.8,43.122,23.6,38.6,39.0,-7.46,-5.64,-3.56,-358.8,-1.6324962859999999,-2.8,-9.686563,-20.42,-29.291,-70.37,-60.1,-4460.83,-12.88,-4.23,-3.18,-2.09,-1080.33,-373.82,0.0,0.0,0.0,0.0,0.0,-61.6711,132.465,0.00040599999999999995,-0.493,12.755999999999998,-29.211,9.342,-62.218,-8.564,-7.381,0.0,-148.47,94.27,-444.87,139.94,-60.083999999999996,11.159164781800001,-1.6269999999999998,1.483,-0.713,1.1420000000000001,-278.9,-3842.0,-1.4480000000000002,12.5,-4107.0,-1.196,1.158,1.415,2.425,-7.0489999999999995,-492.1,11.21,-0.237,-510.6,-5017.582394,-5069.211119,1817.14,-1538.66,3355.8,-0.0813,0.0,0.0,0.0,5.26685,3.4701410000000004,-6.535189,-18.54402,-13.4092424107,1.74245,0.008457,70
swarm_0_189.pdb,17,4,11,10,8,1,9,11,4,0,2,5,0,8,4,0.4511764705882354,0.36100000000000004,0.49,0.56,0.41090909090909095,0.34875,0.48000000000000004,0.47818181818181815,0.575,0.6,0.47624999999999995,0.0,0.51,0.0,0.57,1.96,0.56,4.5200000000000005,2.79,4.32,5.26,2.3,2.4,3.8099999999999996,0.0,1.02,0.0,2.8499999999999996,21.45,40.73,2307.2299999999996,1146.42,1160.789999999999,4.123105625617661,3.1622776601683795,3.0,2.0,3.3166247903554,2.0,2.0,3.3166247903554,2.8284271247461903,1.0,1.4142135623730951,0.0,2.23606797749979,0.0,2.8284271247461903,7.7164,-5.164,6.32,-11.4,-8.8,-201.2,5.32,-215.22,232.38,-3.04,-0.041086000000000004,-5.94,44.6,33.0,-8.6,87.30799999999999,34.2,59.8,66.0,1.08,24.92,11.54,-388.8,-1.4278971886,10.8,-9.109744000000001,-21.04,-34.757,-72.53,-55.14,-4644.58,0.2,-5.26,21.46,63.72,-1226.16,151.74,0.0,0.0,0.0,0.0,0.0,-65.7841,369.12300000000005,0.000294,-13.93,21.999000000000002,4.676,8.537,-105.602,-10.694,-8.687999999999999,0.0,-111.64,283.54,-381.31,166.77,-874.9019999999999,22.301905964699998,-3.168,2.98,-1.751,-0.1234,-445.8,-4741.0,-12.21,27.49,-5147.0,-2.602,2.543,0.1387,0.9543,-21.04,-623.6,8.954,-1.411,-655.0,-5577.057631000001,-5649.251043,3632.42,-1807.45,5439.87,-0.1136,0.0,0.0,0.0,-0.281886,-5.5779309999999995,-4.396772,-18.361473,-20.1806655128,3.17065,0.010777,94
swarm_0_63.pdb,2,3,6,9,2,1,7,0,4,0,0,6,0,6,1,0.38,0.37333333333333335,0.44333333333333336,0.62,0.36833333333333335,0.385,0.47285714285714286,0.0,0.5475,0.83,0.44,0.0,0.0,0.0,0.6166666666666667,1.33,0.62,2.21,0.77,3.31,0.0,2.19,0.83,2.64,0.0,0.0,0.0,3.7,20.91,40.42,1255.8499999999985,578.6100000000006,677.2500000000018,1.4142135623730951,3.0,2.6457513110645907,1.0,0.0,2.0,1.7320508075688772,2.449489742783178,1.4142135623730951,1.0,0.0,0.0,2.449489742783178,0.0,2.449489742783178,1.8772,-0.18600000000000003,3.9,-2.2,-5.4,-96.6,0.34,-107.74,104.68,1.18,0.295658,1.86,6.6,0.6,-14.6,29.298000000000002,5.4,21.0,28.0,-0.9,1.38,3.36,-188.2,0.37843392,-9.9,-8.599249,-17.41,-23.104,-30.4,-36.22,-2792.27,-28.64,-7.89,-3.16,24.57,-883.65,-364.41,0.0,0.0,0.0,0.0,0.0,-40.263000000000005,-2.4741299999999997,0.000629,-3.14,-5.96,-33.558,-12.455,-285.85200000000003,-3.502,1.929,0.0,-95.86,15.7,-147.02,68.34,-224.218,-6.07376074337,-2.708,2.847,1.255,-0.9598,-331.9,-2503.0,10.85,-5.185,-2851.0,-1.3940000000000001,1.3659999999999999,-0.1985,-0.4426,-10.51,-300.6,3.6919999999999997,-5.794,-320.6,-4318.950033,-4371.5567630000005,1553.62,-1199.63,2753.25,-0.0016,0.0,0.0,0.0,2.7351490000000003,2.375572,-5.417889,-12.928963000000001,-9.941351936830001,5.64668,0.0032549999999999996,47
swarm_0_87.pdb,6,3,9,5,9,0,11,7,1,0,9,1,2,11,1,0.41,0.4640000000000001,0.5233333333333333,0.0,0.3955555555555555,0.3377777777777779,0.4281818181818181,0.4714285714285715,0.47,0.55,0.5263636363636364,0.6,0.5411111111111111,0.0,0.53,1.57,0.0,3.5599999999999996,3.040000000000001,4.709999999999999,3.3000000000000003,0.47,0.55,5.79,1.2,4.87,0.0,0.53,20.28,40.21,1657.5,686.3600000000006,971.1200000000008,2.449489742783178,2.23606797749979,3.3166247903554,1.0,2.6457513110645907,1.0,1.7320508075688772,3.0,3.0,0.0,3.0,0.0,1.0,1.4142135623730951,3.3166247903554,1.8982,-5.022,0.12,-6.0,-9.8,-222.0,1.86,-215.32,200.24,-1.1,0.035108,-0.8,24.6,17.0,-19.8,34.882,21.2,33.0,35.4,-4.68,13.18,9.18,-346.6,-0.1348610826,-6.5,-12.008908,-16.87,-26.144000000000002,-81.9,-70.51,-4397.13,19.41,0.34,8.4,26.63,-979.3,-205.47,0.0,0.0,0.0,0.0,0.0,-60.3532,49.3205,0.00047000000000000004,-0.6609999999999999,5.744,-38.52,1.2309999999999999,-139.491,-6.825,-4.175,0.0,-48.23,111.57,-384.29,181.31,336.415,10.394586479800001,-2.472,2.383,-0.5579999999999999,-0.7889,-283.4,-3675.0,-2.5639999999999996,11.68,-3945.0,-1.778,1.932,1.8359999999999999,1.587,-16.83,-469.9,13.6,-1.8630000000000002,-502.2,-4639.162563,-4703.845252,1626.31,-1323.05,2949.36,0.0996,0.0,0.0,0.0,-0.170714,-1.597856,-4.9976080000000005,-20.885661,-17.5585170875,11.5926,0.00264,75
swarm_100_123.pdb,7,2,6,5,1,2,2,4,0,1,0,1,2,5,0,0.4971428571428572,0.38800000000000007,0.49,0.585,0.4366666666666667,0.41,0.5,0.475,0.0,0.0,0.5860000000000001,0.53,0.0,0.9,0.53,0.98,1.17,2.62,0.41,1.0,1.9,0.0,0.0,2.93,1.06,0.0,0.9,0.53,20.68,40.34,1147.8499999999985,516.9599999999991,630.8799999999992,2.6457513110645907,2.23606797749979,1.4142135623730951,0.0,2.0,0.0,1.4142135623730951,2.449489742783178,1.0,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,2.23606797749979,1.0702,-2.842,3.88,1.0,-10.6,-81.6,-0.92,-111.94,100.46,0.9,0.035158,2.44,11.2,7.8,-7.6,20.776,5.2,15.4,18.2,-0.7,-3.48,2.22,-187.2,0.035799219199999996,-1.7,-6.068815,-10.27,-17.945,-32.14,-29.93,-1721.62,-14.15,-2.79,-23.01,21.82,-760.39,-375.09,0.0,0.0,0.0,0.0,0.0,-29.1716,179.71200000000002,0.00061,-4.361000000000001,1.9340000000000002,-24.448,-4.872,-144.226,-2.136,0.604,0.0,-70.81,31.62,-151.3,24.39,-111.477,-3.4324050042799996,-1.876,1.871,0.3983,-0.5951,-138.9,-2312.0,2.9730000000000003,21.18,-2433.0,-1.129,1.175,-0.02705,-1.265,0.9877,-320.4,3.089,-2.499,-325.0,-3754.776295,-3795.371983,1043.81,-924.18,1967.98,0.0272,0.0,0.0,0.0,-2.4004119999999998,-2.5625139999999997,-2.207192,-7.503486,-14.2805088233,0.282639,0.005711,38
swarm_100_131.pdb,15,4,15,5,5,6,4,4,2,2,2,3,5,9,2,0.542,0.374,0.515,0.5583333333333335,0.41933333333333334,0.384,0.4725,0.53,0.22999999999999998,0.42500000000000004,0.4744444444444445,0.6180000000000001,0.67,0.9,0.8233333333333334,2.06,3.3500000000000005,6.29,1.92,1.89,2.12,0.45999999999999996,0.8500000000000001,4.2700000000000005,3.0900000000000003,1.34,1.8,2.47,21.33,39.86,2051.3199999999997,937.9899999999998,1113.3200000000015,3.872983346207417,2.23606797749979,2.0,1.4142135623730951,2.0,1.4142135623730951,2.0,3.872983346207417,2.23606797749979,2.449489742783178,1.4142135623730951,1.4142135623730951,1.7320508075688772,2.23606797749979,3.0,3.9692,6.296,5.78,4.6,-11.2,-170.4,-2.66,-241.12,199.48,3.4,-0.029792000000000003,1.84,21.8,20.0,-11.6,3.0380000000000003,21.8,39.4,39.0,-9.34,-2.28,12.36,-369.8,1.147210992,-13.4,-7.318366,-14.39,-28.467,-56.81,-59.31,-4738.93,-2.95,-2.78,50.39,64.54,-939.08,581.41,0.0,0.0,0.0,0.0,0.0,-4.91676,2066.17,0.000252,-7.3020000000000005,1.4780000000000002,45.498000000000005,-1.274,-236.979,-4.516,-0.013000000000000001,0.0,-40.51,51.03,-349.39,192.25,-863.967,-43.936111511099995,-2.265,2.2680000000000002,0.4042,-0.7697,-415.0,-3947.0,5.835,49.81,-4318.0,-1.1159999999999999,1.237,1.13,0.3824,6.409,-586.5,8.937999999999999,0.32899999999999996,-588.7,-4871.15128,-4940.237852,2174.65,-1541.83,3716.47,-0.0364,0.0,0.0,0.0,-4.443968,-9.067217,-6.590511,-20.237016,-24.876301908000002,6.52377,0.0061200000000000004,83
swarm_100_15.pdb,11,4,7,8,10,11,17,7,8,4,2,2,5,2,3,0.39181818181818184,0.4575,0.4724999999999999,0.6218181818181818,0.39285714285714285,0.4419999999999999,0.488235294117647,0.4785714285714286,0.5575,0.41,0.6100000000000001,0.5980000000000001,0.6699999999999999,0.7875000000000001,0.84,1.8899999999999997,6.84,2.75,4.419999999999999,8.299999999999999,3.35,4.46,1.23,1.2200000000000002,2.99,1.3399999999999999,3.1500000000000004,1.68,21.13,41.55,2404.519999999997,1112.5200000000004,1291.9999999999982,3.3166247903554,2.8284271247461903,4.123105625617661,1.7320508075688772,2.6457513110645907,2.8284271247461903,2.0,2.6457513110645907,3.1622776601683795,3.3166247903554,1.4142135623730951,2.0,1.4142135623730951,2.23606797749979,1.4142135623730951,-0.2976,-5.442,-2.06,-12.6,-42.0,-213.4,-3.12,-257.54,225.88,-1.9,0.035256,-5.8,14.0,1.2,-33.0,70.584,0.8,19.2,22.8,-3.28,-7.0,1.0,-449.8,-1.0236399836,-17.6,-5.450483999999999,-20.21,-34.885,-63.2,-51.13,-7191.77,17.54,-15.57,70.8,81.21,-1371.97,693.83,0.0,0.0,0.0,0.0,0.0,-46.766999999999996,1054.17,0.00021600000000000002,-14.449000000000002,-1.123,69.176,-8.654,-279.252,-2.417,2.889,0.0,-159.26,45.32,-746.63,-68.43,-410.24800000000005,-31.586667856,-3.359,3.322,0.3036,-0.9414,-617.1,-4812.0,7.836,14.96,-5422.0,-2.639,2.145,-0.9087,2.897,-60.71,-687.3,4.516,-3.17,-755.7,-5615.23105,-5702.29923,3184.1,-1875.36,5059.47,0.2908,0.0,0.0,0.0,-10.26604,-13.815276,-9.869836,-30.648838,-25.538734139000002,7.86687,0.008792,101
