Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_0.pdb,4,0,7,3,2,0,8,4,1,0,0,0,0,1,0,0.4275,0.22666666666666668,0.0,0.0,0.4814285714285715,0.175,0.4437500000000001,0.505,0.26,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,3.3700000000000006,0.35,3.5500000000000007,2.02,0.26,0.0,0.67,0.0,0.0,0.0,0.0,26.49,36.42,876.1700000000001,421.28999999999996,454.8799999999992,2.0,1.7320508075688772,2.8284271247461903,0.0,2.0,1.0,0.0,2.6457513110645907,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,1.0,1.5378,-3.74,2.84,-3.8,-11.0,-104.2,0.94,-95.48,87.52,-0.08,0.11848800000000001,-1.18,18.0,10.0,-11.8,34.848,-0.6,8.0,14.4,-2.52,0.72,-1.36,-157.4,0.105087085,4.0,-6.595207,-8.1,-11.888,-34.1,-31.98,-1694.14,5.13,-12.69,-29.28,0.03,-471.53,-73.32,0.0,0.0,0.0,0.0,0.0,-16.5568,25.5774,0.000582,-0.789,5.968,-14.453,3.734,-12.15,-5.093999999999999,-4.864,0.0,-56.19,-20.6,-190.12,-8.08,478.87300000000005,-2.19558045769,-1.077,1.063,-1.047,-1.871,-53.95,-1792.0,-2.798,-28.35,-1872.0,-0.4389,0.3499,-0.2228,0.2704,5.716,-263.3,2.984,-2.7319999999999998,-263.3,-2412.3138910000002,-2447.147345,592.21,-645.51,1237.72,-0.0636,0.0,0.0,0.0,-2.942889,-7.706911,-4.690314,-9.469156,-5.66957254686,-6.898389999999999,0.014866999999999998,30
swarm_0_105.pdb,1,0,4,1,2,0,5,6,0,0,0,0,0,1,0,0.36,0.37,0.0,0.0,0.48500000000000004,0.23500000000000001,0.4600000000000001,0.505,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,1.9400000000000002,0.47000000000000003,2.3000000000000003,3.0300000000000002,0.0,0.0,0.59,0.0,0.0,0.0,0.0,26.28,37.82,705.2000000000007,204.82999999999993,500.3699999999999,1.0,1.0,2.23606797749979,0.0,2.449489742783178,0.0,0.0,2.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,1.0,0.851,1.6019999999999999,2.44,1.4,-6.2,-60.6,-0.02,-67.16,53.1,1.16,-0.050027999999999996,1.74,7.8,7.2,-5.0,17.12,1.8,3.4,6.0,-2.5,3.08,2.28,-103.0,0.14783231800000002,0.2,-5.351406,-8.19,-10.237,-34.96,-34.73,-1341.04,-11.12,-2.21,-3.05,-1.29,-406.74,-159.68,0.0,0.0,0.0,0.0,0.0,-29.656,-0.37746999999999997,0.001027,2.87,-2.194,-16.695,-0.9940000000000001,-33.393,-1.906,-1.272,0.0,-29.76,-46.32,-222.8,10.9,260.823,1.60495107993,-0.7285,0.7695,-0.5265,-1.642,-70.42,-1557.0,-0.4136,-15.99,-1643.0,0.3716,-0.2094,0.6933,-0.3503,30.18,-223.7,3.801,-3.275,-200.6,-2238.190372,-2278.000498,183.66,-582.41,766.06,-0.0521,0.0,0.0,0.0,-3.241673,-5.8838989999999995,-2.138604,-5.251289,-9.37817605535,-6.863980000000001,0.01395,20
swarm_0_107.pdb,5,2,4,0,5,0,9,9,5,0,1,0,0,1,0,0.324,0.0,0.53,0.0,0.48500000000000004,0.39799999999999996,0.38,0.52,0.5720000000000001,0.0,0.27,0.0,0.58,0.0,0.0,1.06,0.0,1.9400000000000002,1.9899999999999998,3.42,4.68,2.8600000000000003,0.0,0.27,0.0,0.58,0.0,0.0,25.49,37.25,1152.6000000000004,512.8599999999997,639.75,2.23606797749979,0.0,3.0,0.0,3.0,2.23606797749979,1.4142135623730951,2.0,2.23606797749979,0.0,1.0,0.0,0.0,0.0,1.0,1.2812,-3.2760000000000002,0.76,-9.4,-11.8,-129.4,7.8,-87.72,102.6,-2.38,0.055715999999999995,-4.82,43.8,26.0,-9.4,95.484,3.0,12.0,22.0,1.4,1.8,7.54,-172.2,0.482538264,9.9,-6.58063,-6.25,-13.727,-40.72,-39.95,-3718.07,36.32,2.07,-7.31,17.02,-572.92,131.99,0.0,0.0,0.0,0.0,0.0,-21.081999999999997,475.311,0.000571,1.9369999999999998,9.722000000000001,-9.756,10.683,-42.708999999999996,-5.485,-4.673,0.0,-97.24,155.59,-483.89,142.29,794.942,10.3618089035,-0.415,0.5397,0.4498,-1.386,12.58,-2206.0,9.774,-13.61,-2217.0,-0.09371,0.217,2.623,2.6189999999999998,35.65,-305.3,10.57,3.1180000000000003,-277.1,-2578.5793350000004,-2628.487599,1793.59,-752.15,2545.74,0.0845,0.0,0.0,0.0,-10.129,-8.15385,-5.756471,-15.268803,-9.381512457360001,5.0092300000000005,0.009170999999999999,41
swarm_0_111.pdb,2,4,1,1,0,0,5,0,1,0,0,0,1,0,1,0.305,0.37,0.5824999999999999,0.0,0.43,0.0,0.454,0.0,0.26,0.55,0.0,0.59,0.0,0.0,0.0,2.3299999999999996,0.0,0.43,0.0,2.27,0.0,0.26,0.55,0.0,0.59,0.0,0.0,0.0,26.28,37.18,558.9400000000005,258.53999999999996,300.40000000000055,1.4142135623730951,1.0,2.23606797749979,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.165,-2.044,1.6,-4.0,-3.6,-53.2,2.64,-40.38,48.36,-1.36,0.019746,-3.0,17.2,8.8,-4.0,28.938000000000002,4.0,8.0,12.4,3.5,8.6,-3.7,-76.0,-0.4304991,3.7,-5.558232,-7.45,-9.937000000000001,-12.47,-17.41,-2114.92,2.11,5.48,-21.07,0.63,-440.19,-147.48,0.0,0.0,0.0,0.0,0.0,-9.99732,19.7522,0.000999,4.018,-0.83,-18.063,1.381,-93.296,-4.2139999999999995,-2.441,0.0,-29.89,46.2,-196.89,16.62,427.89300000000003,-0.576668925583,-1.061,1.093,-0.8266,-2.141,53.57,-1347.0,-1.919,2.0140000000000002,-1289.0,0.1961,-0.2234,0.397,0.8508,30.42,-182.8,2.319,1.6980000000000002,-153.0,-2215.733321,-2235.433543,789.97,-571.06,1361.04,-0.0799,0.0,0.0,0.0,0.865082,0.232827,-2.114633,-3.740913,-5.30038332925,-8.157869999999999,0.007437999999999999,16
swarm_0_113.pdb,1,1,5,3,1,0,4,2,1,0,0,1,2,2,0,0.29,0.02666666666666667,0.45,0.0,0.45999999999999996,0.16,0.4775,0.525,0.25,0.0,0.53,0.59,0.0,0.0,0.5,0.45,0.0,2.3,0.16,1.91,1.05,0.25,0.0,1.06,1.18,0.0,0.0,0.5,26.62,36.36,654.9799999999996,263.4800000000005,391.52000000000044,1.0,1.7320508075688772,2.0,0.0,1.4142135623730951,1.0,1.0,2.23606797749979,1.0,0.0,0.0,0.0,1.0,1.4142135623730951,1.4142135623730951,0.3844,-1.6119999999999999,-0.48,0.2,-13.6,-108.0,-1.18,-97.62,82.44,0.9,-0.139842,3.04,13.2,6.4,-11.0,69.69,-7.2,2.8,7.6,-1.52,4.74,-4.64,-148.6,0.2620257122,-5.4,-4.800854,-6.41,-9.879,-28.28,-27.46,-2237.05,-13.63,-1.22,16.37,34.57,-380.29,-5.55,0.0,0.0,0.0,0.0,0.0,-22.2427,59.9665,0.000698,3.193,-4.946000000000001,-8.722999999999999,-2.6260000000000003,-65.47,-1.848,-0.604,0.0,9.93,-40.42,-321.17,44.75,117.575,1.68930814194,-1.196,1.327,0.5845,-1.472,-30.31,-1395.0,6.805,-23.89,-1456.0,-0.1464,0.3573,1.064,0.8489,2.072,-162.3,7.053999999999999,-0.11800000000000001,-167.4,-2254.6174260000003,-2279.880385,967.63,-583.81,1551.45,-0.0746,0.0,0.0,0.0,-3.0920970000000003,-1.16252,-4.986358999999999,-10.016164,-6.3641769986800005,3.86515,0.014261000000000001,23
swarm_0_11.pdb,0,3,1,0,1,0,5,7,1,0,0,0,1,1,0,0.0,0.0,0.59,0.0,0.53,0.16,0.42000000000000004,0.5242857142857142,0.25,0.0,0.59,0.6,0.0,0.0,0.0,1.77,0.0,0.53,0.16,2.1,3.67,0.25,0.0,0.59,0.6,0.0,0.0,0.0,26.28,36.54,610.2799999999988,302.6100000000006,307.6700000000001,0.0,0.0,2.23606797749979,0.0,2.6457513110645907,1.0,1.7320508075688772,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.688,-3.9339999999999997,-0.42,-2.4,-10.0,-54.6,-0.02,-51.0,42.7,-0.26,0.029887999999999998,0.7,8.2,3.2,-8.4,5.164,-3.8,-0.8,3.4,0.12,2.08,6.26,-77.8,0.47749966,-0.5,-4.618701000000001,-5.92,-9.286,-33.08,-24.26,-1938.9,28.37,2.3,18.35,26.08,-351.94,5.7,0.0,0.0,0.0,0.0,0.0,-23.3713,71.0952,0.001021,-2.4859999999999998,2.945,-1.09,0.35,6.146,-1.493,-1.609,0.0,-23.52,30.55,-372.19,17.46,373.431,-0.979085312225,-0.2747,0.2962,0.3397,0.06427000000000001,-22.21,-1299.0,2.9560000000000004,-10.93,-1335.0,-0.1431,-0.6299,-1.035,1.831,-9.464,-150.4,-0.193,0.6712,-159.0,-2101.475495,-2134.7781059999998,1049.05,-526.67,1575.71,-0.0087,0.0,0.0,0.0,1.348589,-2.065283,-2.038968,-4.2298480000000005,-3.0486253854900003,4.45057,0.00505,20
swarm_0_126.pdb,4,0,7,3,0,0,11,9,2,0,0,0,0,2,0,0.2525,0.15,0.0,0.0,0.44428571428571434,0.0,0.46545454545454545,0.5133333333333332,0.535,0.0,0.5700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,3.1100000000000003,0.0,5.12,4.619999999999999,1.07,0.0,1.1400000000000001,0.0,0.0,0.0,0.0,25.97,37.66,910.6499999999996,453.21000000000004,457.4300000000003,2.0,1.7320508075688772,3.3166247903554,0.0,3.0,1.4142135623730951,0.0,2.6457513110645907,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,0.1668,-0.91,1.14,-3.0,-14.2,-116.0,2.68,-89.78,89.48,-0.18,0.003094,0.78,22.2,13.2,-11.6,82.694,-4.6,7.0,15.6,1.2,4.62,0.84,-157.4,-0.37837996799999996,0.1,-6.252475,-8.4,-12.005,-36.9,-32.57,-2526.47,8.82,0.47,-5.38,28.28,-479.66,41.49,0.0,0.0,0.0,0.0,0.0,-15.8735,238.916,0.000935,-7.553,7.292999999999999,-8.431000000000001,-1.102,15.333,-4.748,-5.04,0.0,-62.07,38.17,-332.8,56.3,329.05199999999996,5.75776756543,-0.35600000000000004,0.4291,0.1888,-0.8467,44.43,-1903.0,6.669,-19.06,-1884.0,-0.6989,0.4962,0.1884,1.734,9.179,-257.2,4.7989999999999995,0.82,-252.0,-2430.993355,-2484.816477,1145.61,-674.91,1820.51,-0.0121,0.0,0.0,0.0,-6.521578,-4.71571,-3.40737,-9.855539,-7.7875059143,-6.35586,0.007842,38
swarm_0_134.pdb,1,1,6,2,3,0,6,5,0,0,0,0,0,1,0,0.29,0.0,0.61,0.0,0.48,0.2366666666666667,0.4716666666666667,0.53,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.61,0.0,2.88,0.7100000000000001,2.83,2.6500000000000004,0.0,0.0,0.47,0.0,0.0,0.0,0.0,25.97,37.01,836.6200000000008,359.7399999999998,476.8900000000003,1.0,1.4142135623730951,2.449489742783178,0.0,2.23606797749979,0.0,1.0,2.449489742783178,1.7320508075688772,0.0,0.0,0.0,0.0,0.0,1.0,0.384,0.502,2.9,-2.0,-8.4,-82.6,2.18,-70.22,66.7,0.26,-0.022374,1.38,18.2,12.0,-5.4,26.088,1.2,5.4,10.6,0.74,8.1,4.6,-112.2,0.153998221,5.0,-5.259761,-8.51,-12.079,-29.94,-26.76,-2267.91,-18.87,4.05,-13.13,0.16,-498.29,-94.76,0.0,0.0,0.0,0.0,0.0,-14.2722,75.4778,0.000953,3.722,4.0569999999999995,-2.917,7.487,-58.395,-2.501,-1.392,0.0,-22.35,12.44,-345.89,27.14,405.12800000000004,7.57838595985,-0.9751,1.115,0.3549,-1.837,-51.09,-1859.0,5.08,-27.92,-1943.0,0.5609,-0.1219,1.649,-0.4383,23.15,-256.6,7.794,-4.852,-246.1,-2415.646457,-2445.655398,936.97,-642.89,1579.87,0.0747,0.0,0.0,0.0,-6.6021279999999996,-10.157011,-0.5717939999999999,-6.0754470000000005,-3.95638004626,-6.45849,0.0146,25
swarm_0_135.pdb,0,0,4,1,1,0,7,4,1,0,0,0,0,1,0,0.0,0.44,0.0,0.0,0.44499999999999995,0.19,0.42,0.51,0.77,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,1.7799999999999998,0.19,2.94,2.04,0.77,0.0,0.47,0.0,0.0,0.0,0.0,26.11,36.94,760.6099999999988,391.3600000000006,369.2600000000011,0.0,1.0,2.6457513110645907,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.259,-1.9180000000000001,-1.34,-6.4,-10.0,-81.6,2.5,-59.42,62.14,-2.26,0.014582,-3.22,17.6,8.6,-10.8,28.912,0.6,3.2,8.6,2.0,2.0,4.16,-108.4,-0.1823579014,3.6,-6.394037,-5.4,-9.919,-16.32,-20.69,-1590.47,-3.51,-1.85,3.32,10.37,-373.87,-163.64,0.0,0.0,0.0,0.0,0.0,-22.9566,-26.3501,0.000766,-3.445,10.955,-25.631999999999998,4.946000000000001,-4.254,-2.0,-1.919,0.0,-52.42,68.05,-152.47,-19.47,304.611,14.9148853545,-0.183,0.1655,-0.4683,-0.4582,116.1,-1435.0,0.2747,-3.835,-1323.0,-0.4927,0.1779,1.196,2.8,9.959,-148.3,3.845,3.6860000000000004,-138.5,-2143.992076,-2170.992137,894.59,-545.34,1439.94,-0.0419,0.0,0.0,0.0,-7.723516,-6.915483,-2.933079,-5.942584,-6.4586245164400005,-8.316880000000001,0.009316,19
swarm_0_145.pdb,0,1,13,0,0,0,9,2,1,0,5,0,1,0,0,0.0,0.0,0.52,0.0,0.45538461538461544,0.0,0.4288888888888889,0.49,0.77,0.0,0.0,0.6,0.6379999999999999,0.0,0.0,0.52,0.0,5.920000000000001,0.0,3.86,0.98,0.77,0.0,0.0,0.6,3.1899999999999995,0.0,0.0,26.28,36.54,1009.6000000000004,450.3699999999999,559.2400000000007,0.0,0.0,3.0,0.0,1.4142135623730951,1.0,1.0,3.605551275463989,0.0,0.0,2.23606797749979,0.0,0.0,1.0,0.0,0.049,1.112,-0.34,-0.4,-10.0,-112.8,0.54,-101.42,83.08,0.46,0.027860000000000003,-1.06,12.2,8.6,-11.0,7.537999999999999,5.4,8.2,9.4,-4.82,-0.86,4.6,-149.6,-0.63654148,-2.5,-4.760864,-8.84,-15.607999999999999,-36.56,-31.89,-3617.67,-14.19,-7.97,7.14,18.15,-461.4,18.56,0.0,0.0,0.0,0.0,0.0,-36.1301,213.47099999999998,0.000705,-1.9240000000000002,5.126,11.412,4.343,2.1830000000000003,-2.096,-2.138,0.0,-20.1,-26.85,-356.12,-12.73,137.536,1.87438511662,-2.424,2.249,-0.9891,-0.2012,100.3,-1964.0,-6.54,-19.34,-1877.0,-1.28,0.8044,-1.204,0.9376,7.465,-234.0,-0.439,-0.804,-226.9,-2796.124085,-2826.7518,971.47,-844.75,1816.21,0.0593,0.0,0.0,0.0,-5.0533660000000005,-7.406433,-3.792033,-8.292345,-10.5085915671,-6.4606,0.0085,32
