Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_148.pdb,7,6,0,5,2,4,5,0,4,1,0,4,3,2,4,0.547142857142857,0.504,0.49833333333333335,0.6,0.0,0.44499999999999995,0.496,0.0,0.37,0.6375,0.375,0.6266666666666666,0.0,0.49,0.71,2.99,2.4,0.0,0.8899999999999999,2.48,0.0,1.48,2.55,0.75,1.88,0.0,0.49,2.84,21.0,34.25,1240.1400000000012,426.2499999999991,813.8800000000001,2.6457513110645907,2.23606797749979,2.23606797749979,2.0,0.0,2.0,2.449489742783178,0.0,1.4142135623730951,2.0,0.0,1.0,2.0,1.7320508075688772,1.4142135623730951,-0.23199999999999998,0.888,-0.62,-2.2,-13.2,-73.4,-3.44,-110.34,93.74,0.14,-0.013028,0.58,-4.8,-4.2,-10.8,-2.512,2.0,13.4,12.2,-2.7,-5.54,-9.56,-187.4,0.5827919846,-16.8,-7.517081,-14.39,-23.0536,-40.2,-26.97,-3221.5,-20.2,1.57,-24.91,-1.03,-908.29,-315.69,0.0,0.0,0.0,0.0,0.0,-65.1339,-79.819,0.00061,-7.184,-15.613,-15.94,-24.391,-271.981,-0.499,4.669,0.0,-99.74,2.26,-257.21,-0.09999999999980001,697.314,-19.2043289061,-2.748,2.634,-1.0190000000000001,-0.5065,-42.59,-2756.0,-1.996,5.892,-2791.0,-1.555,1.4669999999999999,-0.2958,0.3586,27.86,-367.4,3.695,-2.3680000000000003,-345.6,-3494.037139,-3546.680417,637.05,-1218.47,1855.54,-0.1068,0.0,0.0,0.0,-4.731438,-7.393216000000001,-4.166937,-11.393057,-17.5232339132,15.4452,0.009149,47
swarm_0_160.pdb,6,5,2,10,0,4,5,4,3,0,0,1,4,4,2,0.5199999999999999,0.358,0.51,0.6325,0.35,0.0,0.462,0.475,0.48,0.85,0.48,0.79,0.0,0.0,0.74,2.55,2.53,0.7,0.0,2.31,1.9,1.44,1.7,1.92,3.16,0.0,0.0,0.74,21.7,33.96,1477.9799999999996,612.3499999999995,865.6399999999994,2.449489742783178,3.1622776601683795,2.23606797749979,1.4142135623730951,2.0,1.7320508075688772,2.23606797749979,1.4142135623730951,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.5944,1.778,0.78,-2.4,-14.8,-119.0,0.54,-121.0,111.3,0.6,0.124608,-0.74,8.2,3.4,-11.2,54.928000000000004,0.2,11.8,12.2,5.28,-7.52,-9.68,-214.4,0.19091033,-9.8,-11.29377,-20.42,-28.6409,-52.43,-45.58,-4811.79,-13.97,6.77,13.6,10.11,-1138.86,-670.64,0.0,0.0,0.0,0.0,0.0,-49.4747,94.5499,0.000521,2.146,-0.406,-40.498000000000005,-2.309,-249.74200000000002,-3.0189999999999997,1.726,0.0,-113.95,35.67,-360.74,45.23,-385.077,-21.548626898200002,-3.654,3.509,-1.399,-0.8805,-370.3,-2932.0,-5.092,-9.363999999999999,-3307.0,-2.752,2.563,-0.2102,0.9723,-29.62,-311.1,4.7139999999999995,-4.361000000000001,-349.8,-4067.337741,-4125.331535,351.56,-1476.19,1827.75,-0.1182,0.0,0.0,0.0,1.9291220000000002,4.074463,-0.9560139999999999,-9.498585,-16.1136137065,8.89959,0.0105,50
swarm_0_181.pdb,9,6,1,7,2,6,5,5,7,3,0,4,5,2,2,0.4577777777777778,0.4171428571428572,0.5466666666666667,0.41,0.43,0.37,0.526,0.492,0.61,0.6699999999999999,0.575,0.614,0.0,0.7633333333333333,0.7875,3.2800000000000002,2.46,0.43,0.74,2.63,2.46,4.27,1.3399999999999999,1.15,3.07,0.0,2.29,3.15,20.85,34.6,1833.4199999999983,843.1099999999997,990.2999999999993,3.0,2.6457513110645907,2.23606797749979,1.4142135623730951,2.23606797749979,2.6457513110645907,2.449489742783178,1.0,1.4142135623730951,2.449489742783178,0.0,1.7320508075688772,2.0,2.23606797749979,1.4142135623730951,0.2216,-6.034,0.28,-3.0,-20.6,-125.0,-3.44,-154.38,125.84,0.68,0.178026,-1.78,1.4,-4.2,-20.0,53.466,-2.8,14.2,18.2,-1.86,-10.32,-5.68,-247.6,-0.975315811,-23.8,-12.488064999999999,-20.36,-31.9012,-61.65,-69.42,-5347.79,-25.94,-8.67,-16.68,10.99,-1334.2,-475.17,0.0,0.0,0.0,0.0,0.0,-71.5976,151.548,0.000376,-5.289,-0.312,-48.678000000000004,-10.469000000000001,-195.792,0.8690000000000001,4.5889999999999995,0.0,-121.18,-60.58,-584.5,-31.2,-884.828,-19.4003066269,-4.303999999999999,4.258,-1.2409999999999999,-1.196,-483.6,-3472.0,-1.847,-25.32,-3979.0,-3.4360000000000004,2.92,-2.47,-0.5363,-33.15,-454.9,-1.6480000000000001,-9.597000000000001,-496.0,-4441.826247,-4518.901112,1123.53,-1660.64,2784.19,-0.2439,0.0,0.0,0.0,0.28345,0.191555,-1.224979,-15.088239000000002,-19.8331552537,2.85304,0.009563,64
swarm_0_197.pdb,7,3,2,6,4,12,12,7,6,0,1,1,2,2,3,0.39,0.47833333333333333,0.49666666666666665,0.6074999999999999,0.45999999999999996,0.42000000000000004,0.46,0.4942857142857143,0.6266666666666667,0.7233333333333333,0.475,0.565,0.58,0.0,0.74,1.49,7.289999999999999,0.9199999999999999,1.6800000000000002,5.5200000000000005,3.46,3.7600000000000002,2.17,0.95,1.13,0.58,0.0,0.74,20.47,34.88,1774.17,898.3000000000002,875.8800000000001,2.6457513110645907,2.449489742783178,3.4641016151377544,1.7320508075688772,2.6457513110645907,2.449489742783178,1.7320508075688772,1.4142135623730951,2.0,3.4641016151377544,1.0,0.0,1.0,1.4142135623730951,1.4142135623730951,2.0902,4.336,3.42,-2.2,-8.6,-84.4,3.86,-91.18,100.2,1.2,0.10109,0.54,15.0,7.8,-8.8,90.156,5.0,17.0,21.6,2.12,5.68,5.32,-179.6,-0.6005884260000001,-9.5,-9.258116000000001,-14.44,-27.1759,-52.61,-50.38,-5060.18,-28.38,-14.33,48.42,50.06,-1118.67,-120.87,0.0,0.0,0.0,0.0,0.0,-45.3312,158.58100000000002,0.00031099999999999997,-4.919,6.599,-6.082999999999999,1.072,-263.32,-1.901,3.102,0.0,-106.65,167.91,-49.79,-32.87,-2114.868,0.221352223307,-3.1260000000000003,3.1210000000000004,0.2699,-1.7180000000000002,-132.6,-3042.0,3.9019999999999997,4.946000000000001,-3174.0,-2.714,2.532,-0.4269,1.254,-24.52,-410.9,4.372,1.19,-438.6,-3871.3809549999996,-3948.6945049999995,1069.2,-1404.72,2473.92,-0.1639,0.0,0.0,0.0,1.665456,-1.747394,-6.237042,-13.556935999999999,-13.513624768800002,8.47527,0.0075,68
swarm_0_27.pdb,1,3,1,4,1,6,4,2,2,3,0,1,4,3,0,0.43,0.3075,0.4066666666666667,0.6016666666666667,0.53,0.16,0.5025,0.46499999999999997,0.65,0.0,0.4566666666666666,0.5025,0.0,0.7233333333333333,0.67,1.22,3.61,0.53,0.16,2.01,0.9299999999999999,1.3,0.0,1.3699999999999999,2.01,0.0,2.17,0.67,21.4,33.95,1286.960000000001,570.29,716.6700000000001,1.0,2.0,2.0,0.0,1.4142135623730951,1.4142135623730951,1.7320508075688772,1.0,1.0,2.449489742783178,0.0,1.7320508075688772,1.0,2.0,1.7320508075688772,-0.5266,2.156,0.54,0.6,-12.6,-78.0,-1.28,-100.44,81.82,1.52,0.030906,2.42,6.0,3.4,-8.4,8.566,-2.2,4.2,3.8,-3.54,0.44,-6.0,-167.6,0.56339884,-16.3,-8.559084,-15.79,-21.8421,-37.1,-32.77,-4197.71,-37.26,-9.75,-24.39,-14.61,-963.96,-598.7,0.0,0.0,0.0,0.0,0.0,-16.3737,-44.4947,0.000535,-2.205,-4.636,-42.25,-11.065999999999999,-285.882,0.79,6.222,0.0,-143.44,-25.77,-216.17,-94.06,-1695.713,-25.892595596,-2.19,2.165,-1.3090000000000002,-2.177,-112.5,-2127.0,-4.6610000000000005,-5.899,-2241.0,-1.444,0.9068,-2.737,-0.08981,-0.6987,-283.0,-2.403,-4.303999999999999,-285.6,-3351.410487,-3397.3092850000003,705.06,-1109.45,1814.52,-0.1127,0.0,0.0,0.0,-5.029854,-4.317835,-2.7239999999999998,-8.1191,-14.3563041697,0.695166,0.007314,35
swarm_0_6.pdb,12,10,1,1,3,8,10,6,3,2,0,6,6,0,3,0.4591666666666667,0.51,0.484,0.52625,0.53,0.41333333333333333,0.45599999999999996,0.47000000000000003,0.59,0.7233333333333333,0.0,0.5183333333333333,0.0,0.635,0.6683333333333333,4.84,4.21,0.53,1.24,4.56,2.8200000000000003,1.77,2.17,0.0,3.11,0.0,1.27,4.01,21.3,34.26,1785.2699999999986,740.8699999999999,1044.4099999999999,3.4641016151377544,1.0,3.1622776601683795,1.7320508075688772,2.449489742783178,1.7320508075688772,3.1622776601683795,1.0,1.7320508075688772,2.8284271247461903,0.0,1.4142135623730951,2.449489742783178,2.449489742783178,0.0,-2.1336,-1.8719999999999999,-3.9,-3.4,-47.4,-249.2,-7.8,-263.1,211.32,-0.26,0.007166,-3.42,-10.4,-13.8,-50.2,48.786,-9.0,11.0,15.6,-11.52,-15.64,-22.56,-428.6,-0.6624072732,-33.7,3.226487,-9.54,-18.1405,-74.63,-73.12,-8739.58,-19.84,-18.9,121.32,79.84,-620.03,1947.55,0.0,0.0,0.0,0.0,0.0,-3.2934,2800.92,0.000341,-8.93,-16.532,156.516,-9.81,-336.087,-1.876,4.51,0.0,-43.98,-122.97,-1045.43,-6.13,-1431.2879999999998,-30.882428206900002,-1.588,1.42,-3.043,-2.286,-503.9,-2933.0,-25.35,0.8273,-3410.0,-1.146,0.7747,-2.129,-0.5353,-73.47,-489.7,-1.06,-9.788,-571.9,-3231.003166,-3316.067251,2012.9,-1184.79,3197.69,-0.3556,0.0,0.0,0.0,-14.316953,-23.625073999999998,-14.108419,-23.259588,-25.5634449932,2.06739,0.007775,71
swarm_0_74.pdb,11,8,5,4,4,6,17,6,4,2,1,2,4,4,0,0.44727272727272727,0.29000000000000004,0.3975,0.5866666666666668,0.48200000000000004,0.3825,0.49058823529411766,0.4633333333333333,0.34750000000000003,0.0,0.605,0.455,0.88,0.8400000000000001,0.79,3.18,3.5200000000000005,2.41,1.53,8.34,2.78,1.3900000000000001,0.0,2.42,1.82,0.88,1.6800000000000002,1.58,21.63,34.13,1983.960000000001,977.0200000000004,1006.9399999999987,3.3166247903554,2.0,4.123105625617661,0.0,2.449489742783178,2.0,2.8284271247461903,2.23606797749979,2.0,2.449489742783178,1.0,1.4142135623730951,1.4142135623730951,2.0,2.0,0.3324,-4.28,0.92,-8.0,-32.2,-184.8,-4.66,-206.52,166.2,0.18,0.07156799999999999,-2.0,8.6,-0.6,-31.4,44.806000000000004,-5.4,10.4,16.2,-7.2,2.44,-2.92,-324.0,-0.2031740752,-12.2,-11.521460000000001,-15.88,-27.0149,-76.52,-61.22,-6287.14,-22.6,-22.75,-30.6,10.93,-1073.46,-55.67,0.0,0.0,0.0,0.0,0.0,-31.9007,839.89,0.000414,-12.543,3.1719999999999997,12.224,-8.149,-471.32800000000003,-7.01,1.945,0.0,-130.8,66.15,-528.95,89.08,-844.55,-36.7409805581,-1.2109999999999999,1.204,-0.7736,-1.681,-287.2,-3314.0,-4.005,9.032,-3589.0,-1.13,0.7417,-1.758,0.3184,9.437000000000001,-546.0,0.2678,-3.2689999999999997,-540.1,-3985.1469030000003,-4058.3452039999997,1722.76,-1459.77,3182.55,-0.0447,0.0,0.0,0.0,-7.441903999999999,-11.649728,-10.974748,-21.239864999999998,-15.6405389368,2.33241,0.006167,78
swarm_0_79.pdb,6,2,3,5,3,4,7,2,3,0,1,3,2,1,4,0.40833333333333327,0.458,0.44,0.3925,0.41,0.35000000000000003,0.46142857142857135,0.49,0.3933333333333333,0.6475,0.41,0.64,0.67,0.0,0.77,0.88,1.57,1.23,1.05,3.2299999999999995,0.98,1.18,2.59,0.41,1.28,0.67,0.0,2.31,20.93,35.35,1399.6299999999992,588.7399999999998,810.8899999999994,2.449489742783178,2.23606797749979,2.6457513110645907,2.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.7320508075688772,1.7320508075688772,2.0,1.0,0.0,1.7320508075688772,1.4142135623730951,1.0,-0.3398,3.168,-1.56,-2.8,-18.6,-121.8,-3.2,-132.88,106.62,-0.22,0.08789,-0.74,1.1102230246300001e-15,-2.0,-17.2,20.541999999999998,-4.4,9.2,13.0,-7.38,-7.24,-6.96,-211.0,0.2208444584,-15.9,-8.448697,-16.8,-26.4597,-29.81,-26.76,-3772.45,-13.36,5.91,-3.83,11.92,-1012.78,-462.46,0.0,0.0,0.0,0.0,0.0,-27.3745,409.46,0.000539,-4.543,4.096,-40.705,-4.518,-168.822,-6.135,-2.927,0.0,-122.96,10.81,-376.35,68.14,219.755,-16.9103601635,-4.188,4.027,-1.568,0.3432,-373.7,-2828.0,-5.235,-17.8,-3214.0,-2.9810000000000003,2.912,-0.7362,-0.4192,0.3479,-345.4,3.513,-6.035,-354.6,-3850.0409590000004,-3897.0248770000003,1224.21,-1380.27,2604.48,0.003,0.0,0.0,0.0,-4.691174,-5.263855,-4.51912,-13.246697,-13.3047494602,2.4205799999999997,0.013109,46
swarm_100_19.pdb,6,3,2,6,5,3,10,4,10,0,0,0,0,3,3,0.4283333333333333,0.5083333333333334,0.45999999999999996,0.5599999999999999,0.52,0.42400000000000004,0.45999999999999996,0.49,0.4749999999999999,0.45333333333333337,0.4066666666666667,0.0,0.0,0.0,0.0,1.38,1.68,1.04,2.12,4.6,1.96,4.749999999999999,1.36,1.22,0.0,0.0,0.0,0.0,20.93,33.49,1405.1900000000005,768.6699999999992,636.5199999999995,2.449489742783178,2.449489742783178,3.1622776601683795,1.7320508075688772,2.0,3.1622776601683795,1.7320508075688772,1.4142135623730951,2.23606797749979,1.7320508075688772,0.0,0.0,0.0,0.0,1.7320508075688772,2.3628,1.074,1.04,-5.8,-12.0,-101.8,4.74,-99.72,114.16,-1.38,0.019864,-2.7,24.4,9.6,-14.0,78.86399999999999,11.0,22.8,27.2,2.08,6.94,1.12,-199.4,-0.25783511,8.5,-5.362499,-8.46,-16.3977,-34.36,-36.76,-2451.25,-12.53,-9.99,9.43,26.2,-615.67,386.02,0.0,0.0,0.0,0.0,0.0,-44.5103,237.707,0.000458,0.992,26.296,22.62,29.549,-27.761,-4.364,-3.8369999999999997,0.0,-80.72,162.28,49.34,-4.39,-2038.404,9.26478032651,-2.329,2.403,1.247,-0.9386,390.0,-3029.0,10.99,24.61,-2626.0,-2.407,2.154,-0.8374,0.8055,102.0,-499.4,1.594,5.992999999999999,-393.0,-2802.515106,-2846.952577,1613.34,-827.68,2441.02,-0.0678,0.0,0.0,0.0,-0.757676,-5.4054910000000005,-6.823278999999999,-11.9566,-12.3705626147,2.83446,0.007455,55
swarm_100_44.pdb,3,1,4,1,2,0,9,3,3,0,1,0,1,1,0,0.3566666666666667,0.54,0.61,0.0,0.48,0.405,0.4266666666666667,0.49333333333333335,0.5866666666666667,0.0,0.48,0.53,0.58,0.0,0.0,0.61,0.0,1.92,0.81,3.8400000000000003,1.48,1.76,0.0,0.48,0.53,0.58,0.0,0.0,20.81,34.39,1049.6000000000004,503.2300000000005,546.3600000000006,1.7320508075688772,1.0,3.0,0.0,1.7320508075688772,1.7320508075688772,1.0,2.0,1.4142135623730951,0.0,1.0,0.0,0.0,1.0,1.0,0.6904,0.42,0.32,-2.4,-10.6,-87.4,4.0,-78.68,78.76,0.06,-0.00864,-0.7,22.0,12.0,-9.0,34.578,5.2,8.8,13.8,-1.04,-3.16,4.9,-138.2,-0.32004905,4.6,-6.520143,-9.7,-15.0441,-32.3,-32.58,-2403.95,-5.72,2.42,-17.23,3.22,-593.84,-249.09,0.0,0.0,0.0,0.0,0.0,-40.6769,-29.3129,0.0006580000000000001,-4.149,10.07,-36.968,2.225,-16.586,-1.791,-1.476,0.0,-97.98,96.64,-166.54,1.12,-807.778,16.9910174622,-2.083,2.155,1.143,-1.469,124.9,-2122.0,6.146,8.837,-1995.0,-1.854,1.764,-0.3091,0.1388,35.15,-234.9,2.4819999999999998,1.83,-200.4,-2620.7164190000003,-2654.4688170000004,217.21,-721.94,939.16,-0.0101,0.0,0.0,0.0,-7.935164,-8.393142,-6.563211,-10.027014,-7.195152951930001,1.09115,0.005034,29
