Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_117.pdb,6,2,7,2,2,0,12,10,1,0,0,3,0,2,2,0.3416666666666666,0.34,0.49,0.0,0.36428571428571427,0.44999999999999996,0.4383333333333333,0.487,0.81,0.55,0.375,0.0,0.0,0.0,0.7166666666666668,0.98,0.0,2.55,0.8999999999999999,5.26,4.87,0.81,1.1,0.75,0.0,0.0,0.0,2.1500000000000004,16.82,35.05,1293.9400000000005,610.4700000000003,683.46,2.449489742783178,1.4142135623730951,3.4641016151377544,1.4142135623730951,3.1622776601683795,1.0,1.4142135623730951,2.6457513110645907,1.4142135623730951,0.0,0.0,0.0,1.7320508075688772,0.0,1.4142135623730951,2.2864,-3.6860000000000004,3.06,-9.0,-11.2,-151.2,2.3,-115.12,115.04,-1.68,0.093356,-1.94,26.4,14.8,-13.8,17.304000000000002,3.4,14.2,22.8,0.96,7.4,-2.34,-201.2,0.4786489908,3.7,-7.654592,-10.49,-18.8611,-60.51,-64.9,-3264.35,6.0,-6.37,-31.11,13.04,-765.93,-154.94,0.0,0.0,0.0,0.0,0.0,-33.465,213.608,0.0005269999999999999,-3.2910000000000004,9.645,-5.399,5.814,-145.694,-7.439,-4.671,0.0,-58.18,81.49,-260.08,-4.4,215.62599999999998,12.7141628284,-3.1319999999999997,3.068,-0.8902,-0.9637,-458.7,-1991.0,-4.755,-4.044,-2449.0,-2.315,2.059,0.8221,3.043,-64.24,-332.2,8.826,-2.736,-408.0,-2972.7545649999997,-3028.874241,1773.59,-1049.52,2823.12,-0.1112,0.0,0.0,0.0,-3.4994959999999997,-3.5524709999999997,-7.373247,-17.737008,-11.352963731,14.9603,0.007898,49
swarm_0_14.pdb,7,6,5,2,3,2,5,11,1,1,0,2,3,2,3,0.61,0.41500000000000004,0.505,0.65,0.47400000000000003,0.4666666666666666,0.44399999999999995,0.5018181818181819,0.53,0.55,0.33999999999999997,0.24,0.0,0.9,0.625,3.0300000000000002,1.3,2.37,1.4,2.2199999999999998,5.520000000000001,0.53,1.6500000000000001,0.6799999999999999,0.72,0.0,0.9,1.25,16.74,34.42,1227.8599999999988,462.34000000000015,765.5200000000004,2.6457513110645907,1.4142135623730951,2.23606797749979,1.7320508075688772,3.3166247903554,1.0,2.449489742783178,2.23606797749979,1.7320508075688772,1.4142135623730951,0.0,1.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,0.8998,1.494,4.52,-6.4,-12.8,-151.6,1.42,-128.0,120.34,0.12,0.07325599999999999,-1.14,11.8,6.6,-15.6,-5.268,2.8,13.6,17.4,-4.86,17.84,12.78,-210.2,0.8278176726,-11.7,-7.155375,-16.81,-24.2354,-53.44,-47.56,-3978.94,-27.42,-5.03,23.67,18.73,-862.83,202.0,0.0,0.0,0.0,0.0,0.0,-11.1435,1023.35,0.000638,-4.52,-8.611,33.609,-9.77,-222.41299999999998,-5.692,-1.466,0.0,-42.02,28.74,-584.53,66.9,-386.24199999999996,0.184385996312,-2.8289999999999997,2.714,-1.3630000000000002,-1.337,-159.6,-2763.0,-9.754,-50.75,-2963.0,-1.8769999999999998,1.609,-1.01,0.5884,34.43,-375.4,3.15,-9.382,-353.5,-3601.893928,-3657.330843,1200.01,-1375.73,2575.75,0.0834,0.0,0.0,0.0,-1.3924159999999999,-8.488304,-4.411199,-16.085721,-14.1953431575,8.123339999999999,0.012264,53
swarm_0_163.pdb,5,6,2,6,1,2,6,2,1,2,0,0,2,0,1,0.502,0.255,0.4816666666666667,0.53,0.48,0.31,0.49333333333333335,0.46499999999999997,0.03,0.44,0.0,0.635,0.0,0.9,0.0,2.89,1.06,0.96,0.31,2.96,0.9299999999999999,0.03,0.44,0.0,1.27,0.0,1.8,0.0,16.2,35.19,965.7700000000004,395.66999999999916,570.1099999999997,2.23606797749979,2.449489742783178,2.449489742783178,1.0,1.4142135623730951,1.0,2.449489742783178,1.4142135623730951,1.0,1.4142135623730951,0.0,1.4142135623730951,0.0,1.4142135623730951,0.0,1.0976,-0.14,2.58,-3.8,-14.4,-137.4,0.82,-126.5,113.64,0.82,-0.022374,1.56,8.8,5.8,-11.0,21.85,1.4,14.8,16.6,-4.8,12.0,5.78,-199.4,0.1635350858,0.9,-8.678728999999999,-12.8,-18.2269,-35.0,-21.14,-2908.2,-29.69,-6.45,-18.19,21.38,-729.34,-344.88,0.0,0.0,0.0,0.0,0.0,-25.2326,42.5723,0.000769,7.651,-3.822,-31.480999999999998,0.6809999999999999,-88.68,-1.829,-0.14400000000000002,0.0,-88.45,61.9,-284.12,-2.58,-55.958,1.05143054319,-3.583,3.5210000000000004,-0.601,-1.0859999999999999,-401.0,-1806.0,-3.033,1.6640000000000001,-2203.0,-1.876,1.857,-0.061220000000000004,0.2218,-48.4,-245.6,5.047,-4.95,-304.0,-2900.326466,-2948.156202,1122.85,-1005.34,2128.2,-0.0106,0.0,0.0,0.0,-4.243447,-8.695175,-1.36608,-8.997124000000001,-10.0993840739,7.22611,0.009082999999999999,36
swarm_0_23.pdb,9,4,8,2,3,0,2,6,0,0,0,0,1,0,1,0.4844444444444444,0.51,0.445,0.0,0.41624999999999995,0.3833333333333333,0.54,0.465,0.0,0.55,0.0,0.24,0.0,0.0,0.0,1.78,0.0,3.3299999999999996,1.15,1.08,2.79,0.0,0.55,0.0,0.24,0.0,0.0,0.0,16.13,35.02,1008.9700000000012,472.75,536.21,3.0,1.4142135623730951,1.4142135623730951,1.0,2.449489742783178,0.0,2.0,2.8284271247461903,1.7320508075688772,0.0,0.0,0.0,0.0,1.0,0.0,0.912,2.352,4.12,-0.4,-4.0,-81.6,-0.22,-73.94,67.68,1.76,0.010168,2.28,3.2,1.4,-9.6,-6.672000000000001,-0.8,9.2,12.2,-2.86,5.44,-2.76,-120.2,0.2911285148,-2.8,-9.551994,-13.6,-19.2583,-30.68,-44.79,-1763.74,7.65,11.25,-8.22,13.93,-639.3,-346.53,0.0,0.0,0.0,0.0,0.0,-23.5776,41.356,0.000642,-1.9180000000000001,0.381,-19.032,-3.44,-234.39,-6.05,-1.5959999999999999,0.0,-3.8,66.62,-190.48,68.55,102.82799999999999,2.5042011139400002,-3.364,3.282,-1.249,-2.639,-245.3,-1872.0,-9.145,-10.46,-2119.0,-2.0180000000000002,2.061,0.3944,0.4906,4.041,-218.9,4.721,-2.32,-221.9,-3044.323864,-3091.4429800000003,913.97,-1062.88,1976.85,-0.01,0.0,0.0,0.0,-0.912114,-2.3721400000000004,-2.397538,-11.27563,-8.18379170964,0.341276,0.010889,36
swarm_0_26.pdb,21,2,3,4,0,2,9,6,0,1,0,0,5,0,1,0.4385714285714287,0.505,0.46499999999999997,0.405,0.49666666666666665,0.0,0.4444444444444444,0.515,0.0,0.55,0.0,0.696,0.0,0.9,0.0,0.9299999999999999,0.81,1.49,0.0,3.9999999999999996,3.09,0.0,0.55,0.0,3.4799999999999995,0.0,0.9,0.0,16.82,35.05,1323.9099999999999,668.2000000000007,655.7200000000003,4.58257569495584,2.0,3.0,1.0,2.449489742783178,0.0,1.4142135623730951,1.7320508075688772,0.0,1.4142135623730951,0.0,1.0,0.0,2.23606797749979,0.0,1.5346,-2.008,3.0,-11.0,-7.4,-120.8,2.9,-85.1,93.12,-0.94,0.124578,-5.06,20.2,13.2,-6.8,5.867999999999999,-1.2,15.4,20.0,-2.52,0.44,-15.72,-163.4,-0.19827916399999998,3.4,-11.300883,-12.38,-19.9493,-70.24,-72.28,-3463.95,10.2,12.2,-14.11,12.33,-771.29,-225.85,0.0,0.0,0.0,0.0,0.0,-25.2148,295.906,0.000588,-0.6990000000000001,5.138999999999999,-11.855,3.255,-230.542,-6.315,-1.9340000000000002,0.0,-151.47,115.96,-447.74,85.49,499.315,13.9835371403,-3.616,3.653,-0.1711,-2.7319999999999998,-449.8,-2083.0,-1.3880000000000001,-10.24,-2542.0,-3.426,3.4610000000000003,-0.1401,-0.7528,-24.31,-313.5,4.921,-3.872,-346.6,-3095.666337,-3152.664323,1550.84,-1139.66,2690.51,0.1834,0.0,0.0,0.0,1.3967120000000002,-0.104986,-0.997283,-5.01666,-9.79492884631,14.2675,0.008278,54
swarm_0_29.pdb,7,5,7,0,1,0,7,7,0,0,1,0,1,5,3,0.42000000000000004,0.0,0.4640000000000001,0.0,0.48000000000000004,0.41,0.45,0.5142857142857143,0.0,0.5733333333333334,0.426,0.24,0.58,0.0,0.0,2.3200000000000003,0.0,3.3600000000000003,0.41,3.15,3.6,0.0,1.7200000000000002,2.13,0.24,0.58,0.0,0.0,16.67,35.19,1285.5899999999983,617.6300000000001,667.960000000001,2.6457513110645907,0.0,2.6457513110645907,1.7320508075688772,2.6457513110645907,0.0,2.23606797749979,2.6457513110645907,1.0,0.0,1.0,0.0,0.0,1.0,2.23606797749979,1.1944,7.002000000000001,2.88,-2.2,-10.4,-139.0,0.18,-125.88,111.88,1.12,0.05924,-0.22,8.0,4.4,-17.0,-1.176,-1.4,12.6,16.4,-3.34,0.66,11.9,-200.4,0.5194487825999999,-12.4,-3.8192190000000004,-12.01,-18.9335,-34.26,-35.98,-2550.0,5.47,-8.43,54.39,27.73,-578.11,412.85,0.0,0.0,0.0,0.0,0.0,38.2093,1454.7,0.000721,1.0170000000000001,3.175,47.418,8.934,-139.089,-3.65,-1.008,0.0,20.33,26.89,-289.2,-2.7,-234.972,3.8131301396099997,-1.975,1.881,-1.357,-1.128,82.38,-2703.0,-9.067,-19.25,-2631.0,-1.0190000000000001,0.6092,0.3635,3.407,1.271,-313.6,7.166,2.095,-317.4,-2996.621596,-3042.930134,1641.01,-1101.88,2742.9,-0.1031,0.0,0.0,0.0,-3.106673,-3.028941,-5.603999,-13.738914999999999,-12.730841735,21.1488,0.009840999999999999,44
swarm_0_68.pdb,4,1,9,1,2,0,8,10,2,0,0,1,0,1,1,0.44499999999999995,0.54,0.61,0.0,0.4222222222222223,0.525,0.4525,0.48900000000000005,0.26,0.55,0.48,0.0,0.0,0.0,0.76,0.61,0.0,3.8000000000000003,1.05,3.62,4.890000000000001,0.52,0.55,0.48,0.0,0.0,0.0,0.76,16.67,35.19,1118.7399999999998,418.8100000000004,699.9300000000003,2.0,1.0,2.8284271247461903,1.0,3.1622776601683795,1.4142135623730951,1.0,3.0,1.4142135623730951,0.0,0.0,0.0,1.0,0.0,1.0,3.5410000000000004,-1.642,5.54,-6.8,-11.8,-154.0,4.66,-119.76,121.26,-0.12,0.09863200000000001,-0.26,28.6,19.4,-9.8,-4.16,5.8,15.0,20.2,3.08,8.16,-1.82,-213.4,0.1399681464,3.1,-5.704403,-13.73,-18.8762,-37.98,-33.05,-2480.76,-2.59,-4.56,27.95,20.72,-712.33,-115.87,0.0,0.0,0.0,0.0,0.0,-13.2791,681.03,0.000668,-7.087999999999999,0.17,26.979,-4.22,-106.86,-4.935,-2.904,0.0,-58.16,18.19,-403.38,-32.41,96.014,19.7626718214,-3.576,3.6180000000000003,-0.1269,-1.9369999999999998,-414.8,-1948.0,0.8655,-15.12,-2379.0,-1.962,2.024,0.4218,0.4371,-70.17,-274.9,8.242,-8.385,-361.7,-2997.268463,-3058.789553,1118.21,-1034.39,2152.61,0.1793,0.0,0.0,0.0,2.072622,-0.610617,-1.819634,-8.091619,-11.6881577829,15.3205,0.0081,40
swarm_0_82.pdb,8,0,5,0,3,1,3,3,0,0,1,3,2,3,1,0.515,0.0,0.0,0.62,0.406,0.48666666666666664,0.4366666666666667,0.48,0.0,0.55,0.5199999999999999,0.59,0.73,0.0,0.7000000000000001,0.0,0.62,2.0300000000000002,1.46,1.31,1.44,0.0,0.55,1.5599999999999998,1.18,0.73,0.0,2.1,16.59,34.56,1007.0799999999999,385.5,621.5799999999999,2.8284271247461903,0.0,1.7320508075688772,1.0,1.7320508075688772,0.0,0.0,2.23606797749979,1.7320508075688772,1.0,1.0,0.0,1.7320508075688772,1.4142135623730951,1.7320508075688772,0.2246,1.996,-1.08,1.8,-16.0,-126.8,-3.86,-130.44,96.02,1.98,-0.034554,2.64,1.4,2.4,-10.6,-13.96,-10.8,2.6,3.8,-8.52,-0.18,-5.9,-200.6,0.939293192,-12.8,-4.995383,-12.04,-16.9819,-36.54,-34.45,-2792.7,-13.2,4.88,0.94,-4.43,-573.08,-154.81,0.0,0.0,0.0,0.0,0.0,-31.2224,480.88300000000004,0.0006,-0.309,-4.937,15.237,-3.7230000000000003,-221.15599999999998,-0.909,3.293,0.0,-17.24,-118.44,-436.29,20.87,188.92,3.9697338603400003,-3.543,3.58,0.8023,-1.446,-117.1,-1803.0,6.955,-20.59,-1948.0,-2.167,2.64,1.097,-1.72,6.525,-213.0,7.379,-5.646,-219.5,-2852.853301,-2896.629531,424.54,-967.09,1391.63,0.039,0.0,0.0,0.0,-0.800934,-1.818789,-1.347887,-7.641939999999999,-12.3832282492,6.6083300000000005,0.013333000000000001,33
swarm_100_68.pdb,8,0,5,1,2,0,2,7,0,1,1,2,1,0,3,0.55,0.34,0.0,0.0,0.41600000000000004,0.3,0.525,0.44,0.0,0.6433333333333334,0.0,0.52,0.58,0.49,0.74,0.0,0.0,2.08,0.6,1.05,3.08,0.0,1.9300000000000002,0.0,0.52,0.58,0.49,1.48,16.44,34.7,935.1700000000001,405.2599999999993,529.9099999999999,2.8284271247461903,1.0,1.4142135623730951,1.7320508075688772,2.6457513110645907,0.0,0.0,2.23606797749979,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,0.6754,-5.02,0.74,-3.2,-4.4,-110.0,-3.04,-108.2,88.52,0.48,0.059974,-0.24,2.8,3.4,-13.2,21.854,-4.8,12.6,17.2,-3.22,0.82,-5.62,-160.8,-0.1185014556,-10.6,-9.462386,-10.38,-14.4765,-40.57,-34.45,-2001.06,12.7,10.96,46.44,22.86,-426.46,-143.73,0.0,0.0,0.0,0.0,0.0,-27.1607,67.0906,0.0006490000000000001,1.531,0.81,-5.767,1.764,-139.799,-6.632000000000001,-3.9760000000000004,0.0,-4.08,3.09,-159.21,74.23,-8.857000000000001,16.2833545359,-2.342,2.303,-0.9897,-1.965,-109.7,-1890.0,-10.82,-9.452,-1998.0,-1.35,1.1840000000000002,0.1419,1.453,22.32,-248.4,3.748,2.927,-226.9,-2556.571638,-2602.894609,-18.29,-806.5,788.2,0.0125,0.0,0.0,0.0,1.093466,1.416648,-4.270716999999999,-12.547500999999999,-10.7433057463,0.282723,0.006939,33
swarm_10_101.pdb,9,4,8,1,1,2,1,7,1,1,1,3,0,4,1,0.5211111111111111,0.54,0.5025,0.65,0.4625,0.47,0.44,0.49142857142857144,0.53,0.55,0.4774999999999999,0.0,0.67,0.9,0.6699999999999999,2.01,1.3,3.7,0.47,0.44,3.44,0.53,0.55,1.9099999999999997,0.0,0.67,0.9,2.01,16.98,34.91,1271.869999999999,628.630000000001,643.2399999999998,3.0,1.0,1.0,1.0,2.6457513110645907,1.0,2.0,2.8284271247461903,1.0,1.4142135623730951,1.0,1.0,1.7320508075688772,0.0,2.0,0.498,1.102,4.36,-2.0,-10.6,-150.4,-0.24,-138.68,117.78,1.28,0.11519800000000001,0.92,10.0,5.8,-15.6,-9.012,3.4,13.0,16.0,-4.26,12.88,8.44,-206.4,0.6842499162000001,-17.5,-11.089336999999999,-17.01,-24.0549,-44.89,-44.78,-3514.49,-25.17,-9.6,-48.67,-26.07,-884.69,-407.47,0.0,0.0,0.0,0.0,0.0,-42.3272,-9.87324,0.0005549999999999999,-4.9639999999999995,0.36,-42.91,-8.895,-188.984,-2.309,1.2819999999999998,0.0,-117.18,26.14,-447.53,-25.29,22.56,1.1986776113,-2.722,2.59,-1.766,-1.5859999999999999,-112.7,-2540.0,-11.82,-42.06,-2683.0,-1.929,1.6569999999999998,-0.2539,1.651,30.93,-360.8,6.18,-5.348,-341.4,-3562.3529840000006,-3614.610236,1167.49,-1290.84,2458.31,-0.1037,0.0,0.0,0.0,0.186611,-2.6343650000000003,-2.027478,-10.48748,-11.9970181424,0.5423939999999999,0.011977,44
