Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_194.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.56,34.32,2927.1400000000067,1504.949999999997,1422.1900000000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0896,-8.908,-8.68,-18.0,-41.4,-222.4,3.64,-216.1,196.74,-8.66,-0.08416,-18.12,47.2,15.2,-34.8,171.72799999999998,6.8,19.0,29.2,5.52,2.48,-2.04,-384.8,-2.9711084854000003,19.6,-13.412607999999999,-17.41,-39.446999999999996,-76.71,-68.62,-7002.23,-22.42,-36.83,-83.5,-9.59,-1775.1,-688.72,0.0,0.0,0.0,0.0,0.0,-66.4638,40.885999999999996,0.00019099999999999998,-4.1339999999999995,28.471,-77.863,16.551,-311.63599999999997,-4.784,1.137,0.0,-310.34,286.55,-478.2,-94.21,-3684.2790000000005,52.495410368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7904.285908,-7986.278670000001,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,-13.874720000000002,-17.072744,-6.379493,-23.031657,-24.7858609556,61.0951,0.0,0
swarm_0_44.pdb,1,0,0,1,0,1,5,2,1,0,0,0,0,0,0,0.46,0.31,0.0,0.41,0.0,0.0,0.43,0.45999999999999996,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,2.15,0.9199999999999999,0.25,0.0,0.0,0.0,0.0,0.0,0.0,30.65,34.23,3230.5800000000017,1574.630000000001,1655.949999999997,1.0,1.0,2.23606797749979,0.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2696,-10.956,0.14,-22.2,-46.4,-253.2,11.14,-201.36,224.74,-5.78,-0.033139999999999996,-8.66,56.6,16.0,-43.6,250.77200000000002,8.6,21.4,35.4,8.76,6.92,4.92,-395.6,-1.6139139848,14.4,-9.671183000000001,-19.72,-41.986000000000004,-87.98,-77.53,-6826.85,-23.36,-17.09,36.15,30.22,-1978.29,-513.21,0.0,0.0,0.0,0.0,0.0,-36.0049,742.039,0.000139,-12.007,14.405999999999999,7.956,3.194,-436.485,-8.876,-0.5820000000000001,0.0,-266.27,219.34,-731.82,-239.33,4979.460999999999,66.40233546510001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8193.946601,-8295.854946,0.0,0.0,0.0,0.0627,0.0,0.0,0.0,-18.97816,-16.965051000000003,-21.591960999999998,-32.526358,-30.8196495006,60.0421,0.0028179999999999998,11
swarm_0_8.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.54,34.2,2379.4199999999983,1072.8700000000026,1306.550000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6396,2.336,4.54,4.4,-19.0,-174.8,4.4,-179.36,151.02,3.88,-0.017902,6.22,34.6,24.8,-10.8,68.512,4.8,12.4,19.6,-2.28,6.86,3.86,-278.6,1.222375558,2.1,-9.192289,-21.12,-38.88,-41.86,-48.12,-4755.83,-29.72,-16.05,-32.52,-10.94,-1567.83,-459.23,0.0,0.0,0.0,0.0,0.0,-26.0783,717.299,0.000234,-12.389000000000001,13.215,-0.054000000000000006,0.821,-203.02599999999998,-4.742,-0.884,0.0,-161.38,83.22,-529.01,14.48,-455.73400000000004,28.0967747161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7743.817781000001,-7819.456389,0.0,0.0,0.0,0.0984,0.0,0.0,0.0,-5.199171,-10.977838,-0.064139,-20.403685,-13.876961181099999,60.7775,0.0,0
swarm_103_194.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.48,34.4,3041.8099999999977,1549.0400000000009,1492.770000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.026,1.982,2.66,-13.4,-32.0,-224.2,10.94,-172.16,194.04,-1.84,0.138658,-2.18,34.2,7.2,-39.0,190.44,1.2,17.2,29.4,9.38,14.38,12.48,-346.2,-0.3117275552,6.8,-11.306284,-18.7,-40.783,-87.7,-68.38,-4996.23,-17.33,-13.33,-23.4,15.68,-1707.2,-580.91,0.0,0.0,0.0,0.0,0.0,-41.5505,477.681,0.000155,-17.733,34.551,-79.46300000000001,8.872,-201.215,-3.451,0.37200000000000005,0.0,-194.32,265.81,-296.25,-265.19,971.797,55.1773547754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8052.195434,-8122.9221689999995,0.0,0.0,0.0,-0.1349,0.0,0.0,0.0,-3.38889,-5.7613970000000005,-10.800516,-18.672651000000002,-24.6093510202,60.6805,0.0,0
swarm_103_79.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.48,33.9,4621.82,2511.6799999999967,2110.1400000000067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7272,-20.718000000000004,-10.88,-38.4,-57.8,-347.6,14.38,-260.2,280.06,-14.94,-0.08154199999999999,-23.6,95.2,37.8,-48.8,316.84,7.2,22.4,51.4,5.84,11.8,6.02,-504.4,-3.2648424092000004,45.9,-16.642065,-20.75,-55.156000000000006,-114.46,-106.51,-9635.59,-28.54,-17.64,-76.8,8.33,-1969.68,183.85,0.0,0.0,0.0,0.0,0.0,-109.344,170.37,0.00011,-57.723,90.059,-83.045,24.031999999999996,-214.545,-7.155,-3.0780000000000003,0.0,-473.01,651.43,-282.55,-243.99,4162.847,93.82266790790001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9570.627028,-9702.946057,0.0,0.0,0.0,0.1287,0.0,0.0,0.0,-18.161534,-17.794898,-15.711804999999998,-37.081799,-34.4564657046,64.2682,0.0,0
swarm_106_93.pdb,8,2,3,11,11,5,25,6,8,0,1,0,0,3,0,0.45249999999999996,0.4090909090909091,0.575,0.6179999999999999,0.45,0.28363636363636363,0.4456,0.5333333333333333,0.32625,0.0,0.4566666666666666,0.0,0.62,0.0,0.0,1.15,3.0899999999999994,1.35,3.12,11.14,3.2,2.61,0.0,1.3699999999999999,0.0,0.62,0.0,0.0,30.6,34.7,3528.7599999999948,1657.989999999998,1870.7699999999968,2.8284271247461903,3.3166247903554,5.0,0.0,2.449489742783178,2.8284271247461903,1.4142135623730951,1.7320508075688772,3.3166247903554,2.23606797749979,1.0,0.0,0.0,0.0,1.7320508075688772,7.983,-5.032,4.52,-24.2,-23.0,-260.8,16.6,-211.32,251.78,-6.6,0.071418,-14.6,93.0,55.2,-10.2,192.092,28.6,45.8,58.0,11.94,30.92,25.82,-424.6,0.99987477,47.2,-10.07443,-17.83,-47.763000000000005,-97.59,-74.1,-4898.77,-1.67,6.82,5.82,19.58,-2009.09,-1071.97,0.0,0.0,0.0,0.0,0.0,-19.9266,223.696,0.00013000000000000002,-1.517,47.717,-113.315,34.868,-80.168,-10.741,-9.218,0.0,-92.04,499.64,-351.59,10.88,-1724.618,111.51602445799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8602.652131,-8726.115770999999,0.0,0.0,0.0,0.1397,0.0,0.0,0.0,-4.073009,-15.523222,3.6269150000000003,-14.079760999999998,-30.559704605500002,63.01,0.0024579999999999997,83
swarm_107_162.pdb,5,0,4,1,0,1,7,3,3,0,0,0,0,1,0,0.45199999999999996,0.34,0.0,0.94,0.5125,0.0,0.5171428571428571,0.48333333333333334,0.58,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.94,2.05,0.0,3.62,1.45,1.74,0.0,0.48,0.0,0.0,0.0,0.0,30.48,34.22,2837.800000000003,1324.4599999999991,1513.3400000000038,2.23606797749979,1.0,2.6457513110645907,0.0,1.7320508075688772,1.7320508075688772,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.3448,-5.5120000000000005,0.96,-17.6,-27.0,-259.8,3.48,-249.32,227.92,-3.54,-0.091058,-10.36,51.6,29.2,-18.8,72.616,18.6,32.4,34.8,-3.78,-1.6,15.3,-413.4,-0.956955153,9.4,-8.03783,-18.41,-40.074,-82.43,-64.88,-6345.96,14.59,-15.35,23.85,36.63,-1461.58,472.78,0.0,0.0,0.0,0.0,0.0,-21.7494,1458.25,0.000162,-28.079,23.396,11.235999999999999,-3.5589999999999997,-89.665,-4.355,-2.6510000000000002,0.0,-145.26,149.7,-890.03,162.3,-31197.139,37.6843242302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7960.86975,-8077.187062000001,0.0,0.0,0.0,-0.115,0.0,0.0,0.0,-7.154869000000001,-10.701528999999999,-14.017616,-27.467334,-21.4328951553,60.2539,0.0018399999999999998,25
swarm_107_2.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.43,34.34,2960.770000000004,1556.3400000000038,1404.4300000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4288,-17.555999999999997,-7.42,-25.4,-34.2,-210.0,9.76,-149.72,173.36,-10.6,0.010931999999999999,-18.2,65.4,26.0,-26.8,168.84799999999998,5.8,16.0,34.2,11.1,9.48,-2.66,-311.4,-1.7181766236000002,36.1,-11.135261,-12.54,-38.666,-69.04,-58.72,-4864.77,-26.23,-14.11,13.09,27.34,-1655.05,-619.6,0.0,0.0,0.0,0.0,0.0,-29.458000000000002,200.233,0.000185,-15.728,54.001999999999995,-38.43,34.431,98.946,-9.035,-10.915,0.0,-176.34,419.51,-251.14,-31.81,-29572.872000000003,86.05049213299999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7707.923598,-7799.576120999999,0.0,0.0,0.0,-0.0603,0.0,0.0,0.0,-0.828026,-0.070099,-1.470277,-10.573795,-18.1024462976,63.0651,0.0,0
swarm_107_42.pdb,3,1,0,0,0,0,5,4,1,0,0,0,0,1,0,0.48666666666666664,0.0,0.54,0.0,0.0,0.0,0.426,0.52,0.25,0.0,0.41,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,2.13,2.08,0.25,0.0,0.41,0.0,0.0,0.0,0.0,30.61,34.34,1896.9400000000023,1076.7800000000025,820.1500000000015,1.7320508075688772,0.0,2.23606797749979,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7652,-0.51,6.3,-7.8,-13.2,-121.0,7.16,-99.66,125.06,-1.14,0.03592,-1.14,27.2,14.2,-10.6,31.53,10.0,20.0,24.0,2.18,3.62,16.42,-209.6,1.1299398,18.2,-6.893194,-10.7,-32.12,-39.68,-39.81,-2936.7,-5.62,-2.78,-16.42,-2.27,-1287.82,-692.5,0.0,0.0,0.0,0.0,0.0,-12.6663,10.169,0.000367,-5.395,35.458,-55.077,24.555999999999997,19.035999999999998,-4.053999999999999,-4.415,0.0,-134.37,229.82,-243.41,25.99,-13529.662,37.4364867849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6909.798862000001,-6984.91525,0.0,0.0,0.0,0.0783,0.0,0.0,0.0,4.157176,1.338992,-1.8726630000000002,-10.831439999999999,-5.54198501822,59.8498,0.003933,15
swarm_109_150.pdb,7,0,6,10,9,6,20,5,20,0,1,1,0,5,3,0.5142857142857143,0.379,0.0,0.5016666666666667,0.4416666666666667,0.3455555555555556,0.44400000000000006,0.492,0.5705,0.4533333333333333,0.4699999999999999,0.0,0.46,0.0,0.7,0.0,3.0100000000000002,2.6500000000000004,3.1100000000000003,8.88,2.46,11.41,1.3599999999999999,2.3499999999999996,0.0,0.46,0.0,0.7,30.28,34.46,3034.949999999997,1574.869999999999,1460.1000000000058,2.6457513110645907,3.1622776601683795,4.47213595499958,1.7320508075688772,2.23606797749979,4.47213595499958,0.0,2.449489742783178,3.0,2.449489742783178,1.0,0.0,1.0,0.0,2.23606797749979,4.4614,-7.736000000000001,0.78,-18.2,-19.2,-186.6,16.16,-134.5,174.48,-5.44,0.042586,-12.3,74.2,40.0,-9.2,163.088,20.0,34.2,47.2,13.54,33.02,20.04,-289.4,-1.1798667148,33.8,-10.020971000000001,-13.77,-38.863,-52.08,-55.93,-5472.0,6.76,0.24,39.77,28.71,-1698.27,-724.1,0.0,0.0,0.0,0.0,0.0,-58.2972,459.95300000000003,0.000151,-15.714,53.576,-25.462,35.316,-54.674,-5.502000000000001,-4.463,0.0,-270.17,321.52,-400.43,-62.69,9879.106,82.7094983315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7712.269914,-7816.198543,0.0,0.0,0.0,-0.1551,0.0,0.0,0.0,-6.487476,-6.267092,-5.106522,-12.763376,-24.7230752033,63.2543,0.00214,93
