Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_100_176.pdb,6,2,9,9,13,6,39,6,22,0,1,0,0,1,0,0.46166666666666667,0.5544444444444444,0.44,0.665,0.3933333333333333,0.3969230769230769,0.4935897435897436,0.46166666666666667,0.5163636363636365,0.0,0.57,0.0,0.58,0.0,0.0,0.88,3.99,3.5399999999999996,5.159999999999999,19.25,2.77,11.360000000000001,0.0,0.57,0.0,0.58,0.0,0.0,27.23,33.33,3393.899999999998,1927.5300000000007,1466.3500000000004,2.449489742783178,3.0,6.244997998398398,0.0,2.449489742783178,4.69041575982343,1.4142135623730951,3.0,3.605551275463989,2.449489742783178,1.0,0.0,0.0,0.0,1.0,0.3624,-8.1,-2.2,-25.4,-44.2,-285.6,8.48,-227.32,238.22,-8.28,-0.0158,-13.98,54.8,18.2,-44.0,218.388,6.0,19.0,34.2,6.68,30.0,3.1,-427.4,-3.299495947,23.1,-12.966279,-23.17,-50.687,-90.92,-89.94,-6413.24,-32.23,-1.95,-33.67,-0.39,-2191.34,-568.11,0.0,0.0,0.0,0.0,0.0,-37.7338,235.257,0.000131,-39.36,60.806999999999995,-92.307,12.216,83.27600000000001,-6.511,-8.094,0.0,-382.0,334.26,-190.68,-312.8,1711.646,90.5671914741,-2.016,2.035,0.1299,-0.7186,653.5,-7213.0,9.599,-83.2,-6652.0,-1.7890000000000001,0.8626,-0.826,4.521,170.8,-1125.0,12.76,-7.34,-974.4,-6915.7796530000005,-7021.5615450000005,7380.38,-2481.07,9861.46,-0.0609,0.0,0.0,0.0,-11.836393,-15.087570999999999,-15.063272,-30.673211,-25.9594801039,16.054000000000002,0.006079,114
swarm_100_28.pdb,12,7,11,19,31,11,46,17,30,0,8,3,3,0,1,0.45249999999999996,0.45526315789473687,0.5814285714285713,0.5463636363636365,0.4,0.3935483870967743,0.46826086956521745,0.4800000000000001,0.5456666666666666,0.51,0.0,0.35666666666666663,0.6212500000000001,0.0,0.6466666666666666,4.069999999999999,6.010000000000002,4.4,12.200000000000003,21.540000000000003,8.160000000000002,16.369999999999997,0.51,0.0,1.0699999999999998,4.970000000000001,0.0,1.94,28.11,32.97,4996.800000000003,2500.170000000002,2496.6099999999988,3.4641016151377544,4.358898943540674,6.782329983125268,1.0,4.123105625617661,5.477225575051661,2.6457513110645907,3.3166247903554,5.5677643628300215,3.3166247903554,2.8284271247461903,0.0,1.7320508075688772,1.7320508075688772,0.0,3.2888,-5.23,5.26,-30.4,-68.2,-526.0,16.44,-431.94,456.88,-7.92,0.147866,-15.14,93.0,33.4,-71.8,345.68800000000005,12.6,49.8,78.8,1.14,24.32,17.62,-808.2,-2.6579804224,16.9,-15.731953,-36.08,-70.76899999999999,-155.91,-153.99,-12248.8,-16.86,-32.04,111.97,110.11,-2879.59,784.76,0.0,0.0,0.0,0.0,0.0,-91.8769,2489.6,9.2e-05,-55.49,44.06,-4.775,-11.907,-162.543,-12.699000000000002,-9.61,0.0,-469.26,539.28,-689.66,-276.27,4434.018,102.24222611,-3.2969999999999997,3.23,0.3123,0.05264,171.3,-10660.0,16.42,-69.57,-10570.0,-2.7039999999999997,1.8769999999999998,-0.2375,4.433,209.2,-1896.0,25.14,-8.488,-1720.0,-9296.040047,-9491.855911,10228.44,-3557.95,13786.39,0.0494,0.0,0.0,0.0,-16.370834,-24.872737,-29.960819,-55.577906000000006,-44.8222646425,19.1401,0.004437,199
swarm_10_101.pdb,6,1,5,4,11,0,9,3,9,0,3,0,0,6,0,0.4483333333333333,0.43250000000000005,0.63,0.0,0.446,0.41363636363636364,0.4222222222222222,0.49,0.4577777777777779,0.0,0.4549999999999999,0.0,0.6,0.0,0.0,0.63,0.0,2.23,4.55,3.8,1.47,4.120000000000001,0.0,2.7299999999999995,0.0,1.8,0.0,0.0,28.5,31.94,1645.1899999999987,696.9500000000007,948.2299999999996,2.449489742783178,2.0,3.0,0.0,1.7320508075688772,3.0,1.0,2.23606797749979,3.3166247903554,0.0,1.7320508075688772,0.0,0.0,0.0,2.449489742783178,1.3126,-1.7280000000000002,-0.56,-2.2,-10.4,-163.8,3.38,-142.3,140.28,-0.62,0.03042,0.12,18.2,13.0,-11.8,15.927999999999999,9.0,20.2,19.4,-3.6,10.94,12.12,-243.0,-0.056755218200000006,7.4,-7.303462,-12.72,-22.905,-31.82,-33.87,-3697.91,-0.52,-8.89,13.68,32.78,-895.65,63.41,0.0,0.0,0.0,0.0,0.0,-49.023999999999994,272.309,0.00042699999999999997,-14.415,17.7,-1.669,3.117,10.52,-3.403,-3.603,0.0,-82.61,40.29,-273.9,7.42,4649.69,33.3347719236,-2.553,2.582,0.2336,-0.3383,-34.82,-3066.0,4.486000000000001,-21.29,-3127.0,-0.812,0.7032,0.4749,1.4880000000000002,16.31,-356.3,7.4639999999999995,-4.945,-352.4,-4174.912531,-4219.110995,2122.05,-1207.51,3329.56,-0.1332,0.0,0.0,0.0,-0.28436100000000003,6.6330100000000005,-4.3255040000000005,-11.291407000000001,-14.727082273299999,14.3059,0.002982,57
swarm_101_160.pdb,9,0,3,3,6,0,11,4,16,0,1,0,0,8,2,0.4555555555555555,0.49,0.0,0.0,0.4333333333333333,0.32999999999999996,0.4327272727272727,0.475,0.528125,0.39,0.42375,0.0,0.58,0.0,0.0,0.0,0.0,1.2999999999999998,1.9799999999999998,4.76,1.9,8.45,0.78,3.39,0.0,0.58,0.0,0.0,27.72,32.43,2020.579999999998,873.8600000000006,1146.6899999999987,3.0,1.7320508075688772,3.3166247903554,1.4142135623730951,2.0,4.0,0.0,1.7320508075688772,2.449489742783178,0.0,1.0,0.0,0.0,0.0,2.8284271247461903,4.272,-3.5780000000000003,1.54,-14.2,-13.2,-149.8,7.78,-156.36,172.08,-3.4,-0.11406600000000001,-5.44,41.6,23.6,-7.4,114.39,24.4,38.0,38.4,8.0,23.82,25.52,-291.8,0.48656202600000004,13.5,-9.100524,-14.55,-26.497,-43.29,-32.72,-2708.79,10.69,-9.62,14.4,3.58,-852.67,-171.07,0.0,0.0,0.0,0.0,0.0,-0.0426161,511.80400000000003,0.000349,-9.761000000000001,13.936,-32.787,0.8959999999999999,9.9,-4.937,-5.125,0.0,-124.57,148.09,-326.89,-87.87,2871.1209999999996,41.3434628133,-4.118,4.0,0.6551,0.4465,-396.8,-3306.0,7.76,18.38,-3692.0,-3.472,2.8939999999999997,-0.9359,2.253,-35.36,-476.1,3.755,2.2119999999999997,-513.0,-4481.131856,-4553.521581,1843.42,-1303.15,3146.57,0.4007,0.0,0.0,0.0,5.419798,8.473953999999999,-6.122537,-9.890544,-12.839182767999999,7.2876199999999995,0.0074129999999999995,63
swarm_10_168.pdb,5,0,2,8,3,1,14,2,11,0,0,0,0,1,4,0.484,0.45999999999999996,0.0,0.56,0.5,0.39999999999999997,0.4071428571428571,0.53,0.5872727272727272,0.4425,0.41,0.0,0.0,0.0,0.0,0.0,0.56,1.0,1.2,5.699999999999999,1.06,6.459999999999999,1.77,0.41,0.0,0.0,0.0,0.0,27.85,32.45,1922.6399999999994,980.3999999999996,942.25,2.23606797749979,2.8284271247461903,3.7416573867739413,2.0,1.4142135623730951,3.3166247903554,0.0,1.4142135623730951,1.7320508075688772,1.0,0.0,0.0,0.0,0.0,1.0,0.743,-7.8,-1.38,-17.4,-23.8,-144.6,10.02,-97.14,134.44,-5.64,0.092852,-5.76,43.2,17.6,-17.8,97.31,3.0,14.8,24.2,9.2,9.86,10.56,-231.0,0.52028456,11.8,-9.602326,-10.7,-24.824,-51.42,-42.64,-3370.83,3.03,-3.24,28.87,8.65,-919.37,-232.57,0.0,0.0,0.0,0.0,0.0,-53.6728,-47.5875,0.00032900000000000003,-13.869000000000002,27.785999999999998,-56.352,8.282,32.292,-2.697,-3.3110000000000004,0.0,-129.95,181.25,55.31,-220.44,5452.644,55.60034632,-3.03,3.036,1.536,0.7673,-167.9,-2926.0,10.09,-3.45,-3108.0,-1.4409999999999998,0.3451,-1.702,3.367,-18.58,-390.1,1.023,-2.298,-412.0,-4225.105349,-4272.575215,3341.64,-1271.43,4613.07,0.1042,0.0,0.0,0.0,0.784618,4.928927,-4.530096,-4.853416,-9.836642378739999,5.53496,0.004137,51
swarm_102_150.pdb,2,0,2,7,13,0,12,5,9,0,2,2,1,8,1,0.4,0.3785714285714286,0.0,0.0,0.43,0.3861538461538461,0.47,0.5120000000000001,0.6088888888888889,0.34,0.38125,0.24,0.46,0.0,0.615,0.0,0.0,0.86,5.02,5.64,2.5600000000000005,5.48,0.34,3.05,0.24,0.92,0.0,1.23,28.25,32.25,1843.9300000000003,753.210000000001,1090.7299999999996,1.4142135623730951,2.6457513110645907,3.4641016151377544,1.0,2.23606797749979,3.0,0.0,1.4142135623730951,3.605551275463989,0.0,1.4142135623730951,0.0,1.4142135623730951,1.0,2.8284271247461903,3.0714,-5.41,-0.64,-12.8,-15.8,-196.8,7.94,-162.84,174.86,-3.48,-0.033616,-7.4,46.6,24.0,-14.2,83.478,17.6,27.6,33.2,0.04,21.3,2.1,-300.8,-0.9461133128,11.3,-7.786289,-15.3,-26.95,-80.19,-61.97,-4642.05,14.25,10.26,2.78,37.04,-1036.69,176.68,0.0,0.0,0.0,0.0,0.0,-86.3996,243.12400000000002,0.000303,-30.179000000000002,12.478,21.545,-15.546,-26.05,-7.622999999999999,-7.127999999999999,0.0,-116.53,154.25,-404.25,39.42,1316.892,43.6567486199,-2.701,2.675,0.2006,-0.1562,-149.1,-4068.0,6.716,-57.03,-4281.0,-2.443,2.2640000000000002,0.03412,1.579,12.89,-550.0,9.935,-6.957000000000001,-554.0,-4637.584521,-4705.150890999999,2881.16,-1433.59,4314.75,-0.0986,0.0,0.0,0.0,-1.842984,-5.397883,-7.56959,-19.995401,-20.7573984403,15.7375,0.007312999999999999,64
swarm_102_21.pdb,3,0,8,10,15,0,7,0,10,0,6,0,0,4,0,0.4566666666666667,0.36200000000000004,0.0,0.0,0.4275,0.37466666666666665,0.4628571428571428,0.0,0.605,0.0,0.44499999999999995,0.0,0.6883333333333334,0.0,0.0,0.0,0.0,3.42,5.62,3.2399999999999998,0.0,6.05,0.0,1.7799999999999998,0.0,4.13,0.0,0.0,28.61,31.34,1682.609999999997,687.989999999998,994.6099999999988,1.7320508075688772,3.1622776601683795,2.6457513110645907,0.0,0.0,3.1622776601683795,0.0,2.8284271247461903,3.872983346207417,0.0,2.449489742783178,0.0,0.0,0.0,2.0,-0.182,-3.0439999999999996,-8.02,-2.6,-12.0,-181.6,0.12,-196.28,177.76,-3.72,-0.162338,-4.58,33.6,20.4,-14.6,59.983999999999995,20.6,30.6,35.8,-10.44,1.88,5.54,-309.4,-1.246585372,7.3,-8.315242999999999,-17.32,-26.046,-54.58,-55.99,-4103.47,10.35,6.71,61.69,43.29,-853.27,51.47,0.0,0.0,0.0,0.0,0.0,-67.933,679.9019999999999,0.000368,-18.953,17.660999999999998,30.235,1.7309999999999999,-53.481,-7.2,-6.184,0.0,-111.52,117.27,-194.96,100.21,705.312,37.1750921626,-2.07,1.9909999999999999,0.2775,0.7836,249.5,-4539.0,9.247,-79.13,-4378.0,-1.065,1.176,0.9528,1.002,103.8,-647.3,14.29,-8.029,-565.8,-4575.282279,-4638.295999999999,1623.09,-1366.43,2989.53,-0.1554,0.0,0.0,0.0,-7.367611,-7.618661,-8.819371,-15.94789,-20.1773331328,12.4904,0.005095000000000001,63
swarm_10_27.pdb,6,0,11,5,3,0,13,5,5,0,1,0,0,1,2,0.5483333333333333,0.472,0.0,0.0,0.48181818181818187,0.5066666666666667,0.46,0.476,0.682,0.48,0.41,0.0,0.58,0.0,0.0,0.0,0.0,5.300000000000001,1.52,5.98,2.38,3.41,0.96,0.41,0.0,0.58,0.0,0.0,28.43,32.6,1295.1599999999999,567.1499999999996,728.0,2.449489742783178,2.23606797749979,3.605551275463989,1.4142135623730951,2.23606797749979,2.23606797749979,0.0,3.3166247903554,1.7320508075688772,0.0,1.0,0.0,0.0,0.0,1.0,1.9762,-1.012,4.2,-5.0,-7.6,-135.0,4.84,-110.32,119.46,-0.94,0.039102,-2.02,13.6,4.6,-17.6,22.31,11.8,21.0,24.6,3.74,12.78,12.74,-194.4,0.051181565199999994,7.6,-8.898749,-12.29,-21.412,-41.21,-33.06,-3293.7,-12.24,-15.35,-11.45,-8.66,-806.39,-207.0,0.0,0.0,0.0,0.0,0.0,-65.918,19.727999999999998,0.000515,-16.183,7.735,-30.055999999999997,-11.454,-7.385,-1.228,-1.087,0.0,-112.05,52.43,-461.68,89.36,5323.149,29.253867019899996,-2.839,2.781,-1.173,-1.736,-461.2,-2576.0,-7.19,-10.18,-3041.0,-1.4269999999999998,1.516,-0.26,-0.8386,-23.65,-286.7,3.762,-6.983,-321.1,-4001.0363340000004,-4055.3584450000003,2272.95,-1103.91,3376.86,0.0838,0.0,0.0,0.0,-0.24704299999999998,-2.526665,-3.5360980000000004,-10.707063,-13.6025845984,7.98605,0.003173,52
swarm_103_11.pdb,0,0,0,9,2,2,4,1,18,0,0,0,0,1,0,0.0,0.36000000000000004,0.0,0.6950000000000001,0.0,0.3,0.4625,0.48,0.46611111111111103,0.0,0.47,0.0,0.0,0.0,0.0,0.0,1.3900000000000001,0.0,0.6,1.85,0.48,8.389999999999999,0.0,0.47,0.0,0.0,0.0,0.0,27.67,32.77,1647.5699999999997,931.1700000000001,716.4099999999999,0.0,3.0,2.0,0.0,1.0,4.242640687119285,0.0,0.0,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,0.0,1.0,0.9982,-9.228,-2.96,-13.2,-14.2,-96.0,8.34,-71.56,93.08,-5.02,0.014986000000000001,-9.64,45.4,24.2,-8.6,123.13,10.4,15.6,22.8,6.42,7.58,4.9,-164.6,-0.692693848,17.9,-8.261538999999999,-3.46,-20.102999999999998,-42.0,-31.14,-2587.47,2.24,0.88,28.53,32.61,-803.99,-501.63,0.0,0.0,0.0,0.0,0.0,33.052,-18.4275,0.000521,-1.265,42.705,-57.608000000000004,35.679,104.27,-5.142,-7.124,0.0,-152.91,222.41,114.93,-126.25,4063.74,42.470045197800005,-1.8980000000000001,1.94,2.552,1.341,197.2,-2659.0,13.31,5.789,-2469.0,-1.699,0.9682,-0.5309,4.048,33.8,-399.4,4.59,3.685,-366.5,-3615.1908710000002,-3648.4764939999995,4981.85,-1018.82,6000.67,0.1738,0.0,0.0,0.0,-7.438275999999999,-4.496985,-7.632099,-4.592318,-11.1499625954,6.901339999999999,0.0054859999999999996,37
swarm_103_158.pdb,1,1,2,3,9,4,28,5,19,0,0,1,0,0,0,0.36,0.34,0.58,0.65,0.34,0.33666666666666667,0.47392857142857137,0.488,0.49894736842105264,0.0,0.0,0.0,0.0,0.0,0.7,0.58,2.6,0.68,3.0300000000000002,13.269999999999998,2.44,9.48,0.0,0.0,0.0,0.0,0.0,0.7,27.65,32.59,2499.0200000000004,1390.2200000000012,1108.800000000001,1.0,1.7320508075688772,5.291502622129181,0.0,2.23606797749979,4.358898943540674,1.0,1.4142135623730951,3.0,2.0,0.0,0.0,1.0,0.0,0.0,4.1394,-2.312,6.64,-12.6,-10.0,-154.4,13.02,-120.94,154.48,-2.34,0.003182,-4.22,54.8,29.6,-14.8,141.842,19.8,30.4,41.4,6.94,27.58,23.28,-244.8,-0.328526802,22.7,-11.267855,-12.52,-33.167,-61.15,-47.17,-3827.3,-5.86,-4.13,-39.58,-20.99,-1356.23,-908.23,0.0,0.0,0.0,0.0,0.0,-16.6506,90.0757,0.000184,-12.57,47.756,-82.445,26.941,68.26100000000001,-8.716000000000001,-10.013,0.0,-240.54,263.52,-103.42,-154.43,2385.676,64.2021026548,-1.994,2.043,0.6544,-0.7773,52.02,-4504.0,10.01,-23.71,-4485.0,-0.5168,-0.41600000000000004,-0.7569,3.87,33.25,-667.0,7.347,-0.6990000000000001,-641.8,-5061.971047999999,-5145.843584,5265.75,-1604.47,6870.22,0.115,0.0,0.0,0.0,-8.740176,-13.619072000000001,-9.600158,-11.849948,-15.517525468299999,10.7925,0.004425,73
