Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_185.pdb,3,1,5,5,8,2,6,5,6,0,1,2,0,1,1,0.48666666666666664,0.388,0.61,0.525,0.458,0.51125,0.445,0.484,0.5433333333333333,0.34,0.41,0.0,0.58,0.0,0.87,0.61,1.05,2.29,4.09,2.67,2.42,3.26,0.34,0.41,0.0,0.58,0.0,1.74,26.71,47.41,1661.869999999999,701.619999999999,960.260000000002,1.7320508075688772,2.23606797749979,2.449489742783178,1.0,2.23606797749979,2.449489742783178,1.0,2.23606797749979,2.8284271247461903,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.892,-2.33,1.68,-3.8,-17.2,-150.6,1.9,-146.64,129.64,1.04,0.026924,-1.22,7.8,1.6,-18.8,74.78,2.16493489802e-15,10.6,13.4,-1.96,0.58,10.42,-239.0,1.0214248912000001,-5.7,-10.994204,-15.26,-26.139,-52.7,-41.12,-3322.81,-4.63,-9.76,-37.75,-16.53,-945.36,-462.64,0.0,0.0,0.0,0.0,0.0,-48.1701,-100.021,0.000471,-15.679,10.341,-54.81100000000001,-10.819,-196.734,-1.8219999999999998,1.916,0.0,-155.42,17.76,-217.94,-161.25,-2352.5879999999997,34.5528663257,-3.353,3.28,-0.2461,-0.9514,121.6,-2948.0,2.406,-31.75,-2861.0,-1.9809999999999999,1.949,0.5592,1.581,76.54,-464.6,7.801,0.46299999999999997,-395.4,-4649.563489,-4699.312597,2128.34,-1327.86,3456.18,-0.0967,0.0,0.0,0.0,-0.505228,0.702613,-1.15265,-12.384153,-16.3798639521,9.88519,0.003435,46
swarm_0_50.pdb,6,2,11,9,10,4,11,0,13,0,6,0,0,8,0,0.4833333333333334,0.41888888888888887,0.44,0.76,0.41363636363636364,0.44000000000000006,0.4063636363636363,0.0,0.5076923076923077,0.0,0.41875,0.0,0.6216666666666667,0.0,0.0,0.88,3.04,4.55,4.4,4.47,0.0,6.6,0.0,3.35,0.0,3.73,0.0,0.0,26.62,47.38,2217.8199999999997,822.8299999999999,1394.9900000000016,2.449489742783178,3.0,3.3166247903554,0.0,0.0,3.605551275463989,1.4142135623730951,3.3166247903554,3.1622776601683795,2.0,2.449489742783178,0.0,0.0,0.0,2.8284271247461903,3.6916,-2.592,2.32,-4.0,-9.4,-196.2,4.42,-205.14,189.48,1.42,0.074914,2.54,31.6,21.2,-7.4,30.548000000000002,17.4,29.0,29.8,5.04,5.22,14.24,-324.2,1.8695404037999999,2.2,-9.304364999999999,-18.6,-31.761,-67.75,-51.79,-5091.55,-1.33,10.0,2.16,7.37,-1153.87,-205.82,0.0,0.0,0.0,0.0,0.0,-47.8218,553.414,0.000306,-9.072000000000001,8.244,2.475,-0.58,-233.89700000000002,-2.3930000000000002,2.051,0.0,-143.93,62.65,-600.57,49.12,-2683.361,51.3062454679,-3.0389999999999997,3.052,1.213,0.044430000000000004,-392.4,-3653.0,20.34,-34.86,-4100.0,-2.345,2.452,1.0290000000000001,1.334,-9.277999999999999,-529.7,13.91,-5.007,-557.9,-5322.132305,-5394.030526,2374.08,-1637.64,4011.73,-0.0937,0.0,0.0,0.0,1.65238,-0.289063,4.533504,-10.160369000000001,-24.781383556199998,18.9119,0.002375,80
swarm_101_13.pdb,1,1,10,2,10,0,5,1,7,0,3,1,0,2,0,0.32,0.29,0.35,0.0,0.37899999999999995,0.434,0.454,0.44,0.5599999999999999,0.0,0.44499999999999995,0.0,0.71,0.0,0.74,0.35,0.0,3.7899999999999996,4.34,2.27,0.44,3.92,0.0,0.8899999999999999,0.0,2.13,0.0,0.74,26.8,47.84,1504.0600000000013,563.6000000000004,940.4699999999975,1.0,1.4142135623730951,2.23606797749979,0.0,1.0,2.6457513110645907,1.0,3.1622776601683795,3.1622776601683795,0.0,1.7320508075688772,0.0,1.0,0.0,1.4142135623730951,0.3908,2.5540000000000003,2.7,0.8,-16.4,-134.2,1.08,-144.26,116.56,2.7,0.051815999999999994,4.5,15.2,6.4,-16.4,60.628,5.2,9.6,10.4,-5.54,19.78,11.36,-205.0,0.1575444852,-3.2,-8.919331,-18.36,-24.01,-37.14,-31.02,-2938.9,-16.39,-4.54,-27.6,-10.44,-841.86,-514.15,0.0,0.0,0.0,0.0,0.0,-24.215999999999998,143.036,0.000484,-1.6019999999999999,6.445,-47.761,0.067,-42.512,-2.888,-2.08,0.0,-142.59,-5.6,-262.62,-63.38,214.731,43.3382747504,-3.2260000000000004,3.216,-0.4731,-1.798,148.0,-2710.0,3.9530000000000003,-57.08,-2623.0,-1.61,1.681,-0.161,-0.3293,72.58,-379.6,5.17,-2.307,-314.5,-4509.764222999999,-4560.001577,732.7,-1236.0,1968.71,-0.0895,0.0,0.0,0.0,-1.20604,-4.445183999999999,0.721731,-2.631321,-13.888503858599998,3.3351300000000004,0.005721,43
swarm_101_165.pdb,1,2,1,2,7,1,6,0,5,0,0,0,0,2,0,0.32,0.53,0.45,0.58,0.43,0.5014285714285714,0.49333333333333335,0.0,0.558,0.0,0.33999999999999997,0.0,0.0,0.0,0.0,0.9,0.58,0.43,3.51,2.96,0.0,2.79,0.0,0.6799999999999999,0.0,0.0,0.0,0.0,26.58,47.24,1151.0499999999993,501.9800000000014,649.0699999999997,1.0,1.4142135623730951,2.449489742783178,0.0,0.0,2.23606797749979,1.4142135623730951,1.0,2.6457513110645907,1.0,0.0,0.0,0.0,0.0,1.4142135623730951,-0.4154,-3.574,-1.98,-3.8,-7.6,-53.0,1.24,-46.98,48.16,-1.7,-0.054265999999999995,-3.24,8.2,0.8,-9.0,22.694000000000003,1.6,3.6,4.4,0.62,3.8,2.46,-89.6,-0.42994395020000004,-1.7,-4.56118,-12.13,-20.91,-19.72,-16.35,-1874.1,-7.23,-4.21,-4.83,-8.08,-829.31,-415.11,0.0,0.0,0.0,0.0,0.0,-25.7177,-44.4403,0.00046699999999999997,-6.272,11.084000000000001,-39.996,0.812,-71.37899999999999,-0.024,1.3330000000000002,0.0,-54.44,27.04,-62.67,-92.73,335.915,34.2299353071,-3.17,3.252,0.5074,-2.105,244.0,-2207.0,6.093,-34.08,-2003.0,-2.6289999999999996,2.472,-0.4379,1.334,75.57,-322.1,1.881,-0.28600000000000003,-248.7,-4080.874846,-4113.151153,1362.37,-1041.58,2403.94,-0.0184,0.0,0.0,0.0,-1.358374,-1.4556360000000002,-2.265863,-5.731486,-12.8346140786,7.613630000000001,0.006778,27
swarm_101_168.pdb,1,0,2,4,4,1,5,0,4,0,2,4,4,0,0,0.48,0.4675,0.0,0.41,0.365,0.33999999999999997,0.472,0.0,0.615,0.0,0.0,0.64,0.8049999999999999,0.0,0.76,0.0,0.41,0.73,1.3599999999999999,2.36,0.0,2.46,0.0,0.0,2.56,1.6099999999999999,0.0,3.04,26.68,47.45,1432.770000000004,596.9599999999991,835.8099999999977,1.0,2.0,2.23606797749979,0.0,0.0,2.0,0.0,1.4142135623730951,2.0,1.0,1.4142135623730951,0.0,2.0,2.0,0.0,-0.2998,-0.032,-0.7,-2.2,-17.8,-90.4,-1.3,-107.94,84.6,0.5,-0.027989999999999998,-0.94,5.4,1.2,-14.4,41.706,1.0,4.0,5.0,-3.74,4.06,7.38,-166.0,-0.9008507,-6.2,-6.958585,-19.45,-25.125,-35.2,-28.66,-3146.06,4.98,4.23,-6.62,-9.58,-880.17,-466.08,0.0,0.0,0.0,0.0,0.0,-57.2314,-152.136,0.00035099999999999997,-7.54,3.845,-38.746,-7.569,-57.05,-0.43700000000000006,0.647,0.0,-24.84,-15.84,-184.77,-82.74,-79.20999999979999,24.782124818299998,-4.205,4.122,-0.6052,-1.5319999999999998,398.9,-2973.0,0.8109999999999999,-36.73,-2611.0,-3.176,2.932,-2.242,-1.4969999999999999,112.7,-398.1,-2.968,-1.3530000000000002,-283.8,-4541.820981,-4583.132648,524.68,-1323.94,1848.62,-0.1747,0.0,0.0,0.0,-3.0888430000000002,-5.146799,-1.9279279999999999,-4.939431,-16.2028351036,7.669739999999999,0.00671,31
swarm_101_172.pdb,1,2,6,2,6,3,9,1,10,0,5,1,1,5,1,0.44,0.49,0.4,0.58,0.4183333333333333,0.4683333333333333,0.48222222222222233,0.56,0.594,0.48,0.39599999999999996,0.88,0.736,0.0,0.84,0.8,1.7399999999999998,2.51,2.81,4.340000000000001,0.56,5.9399999999999995,0.48,1.9799999999999998,0.88,3.68,0.0,0.84,26.73,47.14,2013.9399999999987,773.9300000000003,1240.0,1.0,1.4142135623730951,3.0,1.0,1.0,3.1622776601683795,1.4142135623730951,2.449489742783178,2.449489742783178,1.7320508075688772,2.23606797749979,0.0,1.0,1.0,2.23606797749979,-1.147,-6.007999999999999,-3.6,-6.8,-23.2,-165.6,-0.94,-182.64,140.28,-0.52,-0.051713999999999996,0.12,19.6,9.6,-16.2,64.354,1.4,6.0,8.2,-0.32,7.64,3.14,-262.2,-0.372129064,-8.8,-8.468088,-23.22,-32.391999999999996,-46.33,-41.4,-3812.52,-29.05,-14.65,-20.66,-11.99,-1295.58,-699.6,0.0,0.0,0.0,0.0,0.0,-68.6535,159.95600000000002,0.00021899999999999998,-17.46,9.568,-13.513,-9.243,-110.98700000000001,3.049,5.1579999999999995,0.0,-91.18,-82.15,-564.46,-121.29,1081.52,39.1609816682,-4.444,4.416,1.3,-0.7293,339.9,-3984.0,15.92,-14.73,-3675.0,-3.5469999999999997,2.7569999999999997,-1.521,3.969,103.5,-542.0,-0.1854,8.565,-429.7,-5297.172261,-5365.057293,1625.92,-1628.74,3254.66,-0.1494,0.0,0.0,0.0,-0.413499,-2.65115,-4.767937,-6.664783,-22.9209379569,7.416810000000001,0.004358,53
swarm_101_87.pdb,1,0,8,6,15,1,7,0,12,0,5,0,0,3,0,0.32,0.4833333333333334,0.0,0.58,0.41500000000000004,0.37999999999999995,0.5028571428571429,0.0,0.47416666666666657,0.0,0.43,0.0,0.76,0.0,0.0,0.0,0.58,3.3200000000000003,5.699999999999999,3.52,0.0,5.689999999999999,0.0,1.29,0.0,3.8000000000000003,0.0,0.0,26.97,47.1,2015.300000000003,849.0699999999997,1166.239999999998,1.0,2.449489742783178,2.6457513110645907,0.0,0.0,3.4641016151377544,0.0,2.8284271247461903,3.872983346207417,1.0,2.23606797749979,0.0,0.0,0.0,1.7320508075688772,0.4218,0.292,0.14,-5.8,-19.8,-145.4,3.14,-142.74,129.08,0.02,0.046188,-1.76,19.6,6.2,-21.0,102.874,7.2,11.8,13.6,-3.8,9.4,6.46,-232.0,-0.910550944,-0.6,-8.469588,-18.33,-32.973,-30.53,-23.76,-3997.55,-30.1,-14.18,-50.86,-29.14,-1159.53,-773.93,0.0,0.0,0.0,0.0,0.0,-15.3392,196.47799999999998,0.000354,-2.513,19.47,-36.718,13.285,-150.35,-3.94,-1.084,0.0,-148.17,-49.47,-250.4,-155.99,2844.625,59.0386285856,-4.385,4.452,-0.04343,-2.073,140.1,-3323.0,7.841,-89.71,-3280.0,-3.2110000000000003,3.167,0.3272,1.841,89.75,-529.0,9.054,-1.8980000000000001,-450.2,-5407.190807999999,-5453.48901,1868.66,-1660.12,3528.78,0.0055,0.0,0.0,0.0,-2.3408830000000003,-7.246875,-6.227854,-12.47259,-16.0647709195,10.6154,0.005345,58
swarm_101_8.pdb,1,0,3,7,7,1,6,1,7,0,1,6,2,1,0,0.32,0.4714285714285715,0.0,0.41,0.4566666666666667,0.37285714285714283,0.465,0.49,0.6028571428571426,0.0,0.59,0.6000000000000001,0.73,0.0,0.7466666666666667,0.0,0.41,1.37,2.61,2.79,0.49,4.219999999999999,0.0,0.59,1.2000000000000002,0.73,0.0,4.48,27.12,46.79,1713.8699999999953,671.9000000000015,1041.9700000000012,1.0,2.6457513110645907,2.449489742783178,0.0,1.0,2.6457513110645907,0.0,1.7320508075688772,2.6457513110645907,1.0,1.0,0.0,2.449489742783178,1.4142135623730951,1.0,-1.15,-6.58,-3.42,-3.2,-24.8,-133.4,-3.78,-179.6,141.38,-0.74,-0.041063999999999996,-4.96,9.2,0.2,-22.2,90.31,2.6,11.8,14.0,-8.56,4.04,8.3,-283.8,-0.59762124,-11.3,-7.9028789999999995,-23.53,-28.342,-50.59,-40.81,-4275.02,-22.99,-10.06,17.14,-13.1,-926.37,-300.48,0.0,0.0,0.0,0.0,0.0,-56.1512,49.3023,0.000297,-10.095,3.431,-37.927,-10.457,-65.722,-0.852,0.397,0.0,-124.49,-11.57,-195.82,-65.39,22.4630000002,36.7436754396,-3.895,3.873,0.4893,-0.9038,263.5,-3222.0,10.21,-29.83,-2999.0,-2.623,2.383,-1.544,0.01355,94.16,-468.5,0.5358,-0.9269,-375.8,-4925.120672999999,-4984.420135,150.54,-1487.5,1638.05,-0.1147,0.0,0.0,0.0,-1.156742,-3.897934,-2.628568,-11.795416000000001,-20.0307422629,4.04009,0.005744,43
swarm_101_93.pdb,3,0,7,5,11,1,3,2,8,0,6,1,0,3,0,0.46,0.40800000000000003,0.0,0.41,0.39714285714285713,0.3727272727272728,0.4933333333333334,0.44,0.49375,0.0,0.41,0.0,0.7000000000000001,0.0,0.84,0.0,0.41,2.78,4.1000000000000005,1.4800000000000002,0.88,3.95,0.0,1.23,0.0,4.2,0.0,0.84,26.75,47.33,1725.829999999998,626.0499999999993,1099.7900000000009,1.7320508075688772,2.23606797749979,1.7320508075688772,0.0,1.4142135623730951,2.8284271247461903,0.0,2.6457513110645907,3.3166247903554,1.0,2.449489742783178,0.0,1.0,0.0,1.7320508075688772,0.1244,-0.6679999999999999,-0.02,2.2,-19.0,-173.8,-0.04,-189.2,145.94,1.64,-0.008592,1.24,25.8,16.6,-16.4,76.408,6.4,12.8,13.8,-9.36,15.4,5.24,-270.0,-0.524356564,-6.8,-6.7821679999999995,-20.12,-29.038,-53.64,-40.57,-3250.02,-21.88,1.27,-8.83,10.23,-1046.8,-379.16,0.0,0.0,0.0,0.0,0.0,-27.2174,57.0116,0.00035299999999999996,-1.8559999999999999,9.2,-37.977,3.5460000000000003,-99.042,-3.04,-1.158,0.0,-72.57,1.55,-341.94,1.33,-2613.911,59.9359470657,-4.137,4.2219999999999995,0.9917,-1.354,-18.11,-3235.0,18.91,-86.68,-3359.0,-1.994,2.365,1.3419999999999999,0.6444,62.39,-434.6,13.63,-5.266,-391.1,-5040.314396,-5098.7020729999995,1325.43,-1469.01,2794.45,-0.0827,0.0,0.0,0.0,-2.933938,-5.475869,1.865054,-6.315975,-17.1527349471,7.0203,0.0059,50
swarm_105_131.pdb,2,0,1,5,4,3,13,1,11,0,0,4,2,0,2,0.46,0.304,0.0,0.5166666666666667,0.34,0.31999999999999995,0.46846153846153854,0.43,0.4327272727272727,0.45999999999999996,0.0,0.525,0.0,0.0,0.8,0.0,1.55,0.34,1.2799999999999998,6.090000000000001,0.43,4.76,0.9199999999999999,0.0,1.05,0.0,0.0,3.2,26.49,47.43,2213.310000000005,958.4900000000016,1254.8099999999977,1.4142135623730951,2.23606797749979,3.605551275463989,1.4142135623730951,1.0,3.3166247903554,0.0,1.0,2.0,1.7320508075688772,0.0,0.0,2.0,1.4142135623730951,0.0,-0.4772,-2.602,-0.84,-8.6,-22.0,-150.4,5.48,-143.48,141.36,-2.02,0.09235,-4.94,30.0,12.2,-21.6,173.09799999999998,5.6,16.2,22.6,8.6,19.2,6.44,-255.8,-1.2761427140000001,10.2,-8.79926,-19.74,-28.643,-46.64,-37.48,-5090.07,-8.32,-10.3,-35.52,-8.38,-1011.56,-421.67,0.0,0.0,0.0,0.0,0.0,-37.0901,25.9177,0.00023199999999999997,-7.081,18.097,-46.96,6.32,-227.19,-3.4810000000000003,0.835,0.0,-81.96,102.3,-218.97,-54.18,535.506,39.5861640498,-4.301,4.28,0.1436,-1.7530000000000001,109.1,-3302.0,6.233,-6.7620000000000005,-3205.0,-3.437,3.014,-0.2926,2.955,50.3,-508.8,3.627,6.724,-455.4,-4844.621668,-4912.324922,1762.01,-1474.18,3236.19,-0.1972,0.0,0.0,0.0,-2.958715,-3.16393,-4.041671,-8.332198,-25.0651480174,10.373,0.003854,48
