Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_0.pdb,2,3,3,5,3,5,6,0,9,1,0,1,0,2,0,0.32,0.20400000000000001,0.47000000000000003,0.522,0.4033333333333333,0.3833333333333333,0.45333333333333337,0.0,0.5755555555555555,0.0,0.47,0.0,0.0,0.9,0.53,1.4100000000000001,2.6100000000000003,1.21,1.15,2.72,0.0,5.18,0.0,0.94,0.0,0.0,0.9,0.53,33.33,35.74,1441.579999999998,603.0,838.5699999999979,1.4142135623730951,2.23606797749979,2.449489742783178,0.0,0.0,3.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,2.23606797749979,0.0,1.0,1.0,0.0,1.4142135623730951,0.0076,-2.8819999999999997,-0.6,-5.0,-10.0,-126.4,5.8,-103.32,112.42,-0.58,0.046130000000000004,-1.14,33.2,15.8,-13.0,145.042,3.6,14.4,22.0,2.6,7.14,6.42,-196.4,-1.1071171242,6.6,-8.674847,-13.84,-22.579,-44.7,-49.31,-4260.45,17.42,2.53,-47.39,-6.08,-921.12,-507.47,0.0,0.0,0.0,0.0,0.0,-69.1761,-75.8078,0.000395,-18.027,3.841,-53.528,-19.539,-116.044,-4.876,-2.6710000000000003,0.0,-104.24,135.44,-190.65,49.11,-1148.845,24.5560988332,-2.9160000000000004,2.9760000000000004,1.821,0.6717,-166.8,-2660.0,12.49,-28.49,-2868.0,-2.37,2.2359999999999998,1.181,2.975,14.1,-369.5,5.894,1.097,-360.2,-3942.3359179999998,-4001.289349,1969.71,-1107.81,3077.52,-0.1628,0.0,0.0,0.0,-2.9588509999999997,2.180307,-7.907412,-13.651357999999998,-12.401930476199999,11.8708,0.0088,40
swarm_0_130.pdb,2,2,4,6,9,2,15,1,6,0,1,0,2,2,0,0.39,0.3966666666666667,0.515,0.54,0.43749999999999994,0.3188888888888889,0.4379999999999999,0.56,0.5666666666666667,0.0,0.48,0.585,0.73,0.0,0.0,1.03,1.08,1.7499999999999998,2.87,6.5699999999999985,0.56,3.4,0.0,0.96,1.17,0.73,0.0,0.0,33.68,36.08,1656.619999999999,658.7799999999988,997.8299999999981,1.4142135623730951,2.449489742783178,3.872983346207417,0.0,1.0,2.449489742783178,1.4142135623730951,2.0,3.0,1.4142135623730951,1.0,0.0,0.0,1.4142135623730951,1.4142135623730951,2.635,-4.166,2.42,-2.4,-6.4,-121.4,8.84,-115.4,128.32,-0.1,-0.072862,-2.42,47.0,33.4,-5.6,88.462,19.2,25.4,31.6,1.9,14.68,15.02,-214.0,0.2024351918,20.0,-7.411915,-14.01,-25.648000000000003,-43.62,-38.38,-3440.22,-15.76,12.34,16.8,25.52,-1178.72,-393.26,0.0,0.0,0.0,0.0,0.0,-70.9389,290.76599999999996,0.00042199999999999996,-16.277,14.056,0.115,-2.21,-33.827,-7.417999999999999,-6.775,0.0,-126.37,161.46,-155.22,137.09,-998.721,38.958054535100004,-4.069,4.123,0.5117,-1.056,237.0,-3776.0,17.0,-47.18,-3603.0,-2.693,2.805,0.9887,1.008,71.44,-492.2,9.621,-6.016,-436.4,-4258.097222,-4315.602827000001,2881.78,-1241.55,4123.34,0.1134,0.0,0.0,0.0,-11.512592,-20.1796,-4.952873,-12.669075,-17.470572075299998,12.0957,0.0061920000000000005,52
swarm_0_135.pdb,3,0,6,7,11,3,7,2,10,0,4,2,0,3,3,0.4566666666666666,0.3971428571428572,0.0,0.59,0.4566666666666666,0.32181818181818184,0.46714285714285714,0.51,0.6599999999999999,0.3966666666666667,0.4033333333333333,0.0,0.61,0.0,0.635,0.0,1.77,2.7399999999999998,3.5400000000000005,3.27,1.02,6.6,1.1900000000000002,1.21,0.0,2.44,0.0,1.27,34.27,34.97,2016.1599999999999,877.4899999999998,1138.680000000002,1.7320508075688772,2.6457513110645907,2.6457513110645907,1.7320508075688772,1.4142135623730951,3.1622776601683795,0.0,2.449489742783178,3.3166247903554,1.7320508075688772,2.0,0.0,1.4142135623730951,0.0,1.7320508075688772,2.3136,-2.9419999999999997,-4.18,-3.8,-13.8,-145.4,2.78,-155.42,145.02,-2.68,0.00788,-4.46,35.4,24.0,-10.2,104.038,15.2,24.0,27.6,-1.66,9.96,3.36,-264.0,-0.7146467301999999,8.6,-10.078272,-14.03,-28.093000000000004,-57.82,-41.05,-4568.14,-27.54,-7.75,-14.79,18.51,-1339.29,-483.93,0.0,0.0,0.0,0.0,0.0,-92.4544,-31.4898,0.00027400000000000005,-31.928,21.654,-33.649,-13.639000000000001,-62.801,-4.6739999999999995,-3.48,0.0,-88.92,77.73,-341.32,88.75,-367.431,50.2373473065,-4.431,4.408,0.7304,-0.4878,173.9,-4089.0,12.57,-8.991,-3937.0,-3.299,3.205,-0.9589,-0.3949,69.91,-574.9,3.907,-3.799,-512.7,-4453.129842,-4504.7605140000005,3524.12,-1330.43,4854.56,-0.0804,0.0,0.0,0.0,-0.9632729999999999,-3.750118,-8.508225999999999,-15.388022,-19.9629276474,12.4105,0.005918,61
swarm_0_33.pdb,4,3,5,6,5,9,9,2,9,3,1,5,3,3,0,0.4225,0.29833333333333334,0.5,0.56,0.37999999999999995,0.394,0.49888888888888894,0.46499999999999997,0.708888888888889,0.0,0.51,0.48333333333333334,0.58,0.82,0.6599999999999999,1.5,5.040000000000001,1.8999999999999997,1.97,4.49,0.9299999999999999,6.380000000000001,0.0,1.53,1.45,0.58,2.46,3.3,33.81,36.3,2070.4000000000015,937.3199999999997,1133.1000000000004,2.0,2.449489742783178,3.0,0.0,1.4142135623730951,3.0,1.7320508075688772,2.23606797749979,2.23606797749979,3.0,1.0,1.7320508075688772,2.23606797749979,1.7320508075688772,1.7320508075688772,-4.7424,-12.452,-11.22,-15.2,-46.4,-223.8,-4.1,-212.34,167.98,-5.72,-0.048086000000000004,-10.86,18.2,-0.6,-37.8,149.938,-12.0,0.8,8.0,-9.92,-10.2,-8.34,-334.6,-2.17151927,-14.0,-11.425789,-24.28,-35.42,-76.63,-65.95,-7294.53,-71.56,-26.64,-123.65,-56.35,-1279.27,-108.2,0.0,0.0,0.0,0.0,0.0,-124.381,236.157,0.00028700000000000004,-46.711000000000006,-1.591,-18.483,-50.15,-228.91,-0.078,4.271,0.0,-224.3,-64.99,-680.61,-185.13,643.643,0.73211361553,-3.445,3.4789999999999996,0.4553,0.06458,-239.9,-3717.0,4.553,-40.67,-4002.0,-3.5180000000000002,2.634,-2.404,1.581,-52.43,-490.0,-4.218999999999999,-5.787000000000001,-544.0,-5307.754825999999,-5375.527190999999,2010.18,-1851.42,3861.59,-0.3756,0.0,0.0,0.0,-10.561979,-12.106864999999999,-16.648827,-22.690872,-25.9979976402,16.5992,0.009,67
swarm_0_41.pdb,1,0,3,6,14,9,4,0,17,0,0,0,1,0,0,0.32,0.355,0.0,0.5411111111111111,0.4033333333333333,0.3178571428571429,0.47,0.0,0.5929411764705882,0.0,0.0,0.52,0.0,0.0,0.0,0.0,4.87,1.21,4.45,1.88,0.0,10.08,0.0,0.0,0.52,0.0,0.0,0.0,32.75,36.24,1436.449999999997,759.7999999999993,676.6499999999996,1.0,2.449489742783178,2.0,0.0,0.0,4.123105625617661,0.0,1.7320508075688772,3.7416573867739413,3.0,0.0,0.0,0.0,1.0,0.0,2.8689999999999998,-4.513999999999999,2.12,-4.4,-9.4,-105.8,6.64,-95.28,109.58,-1.1,0.02232,-2.46,37.4,19.4,-8.2,116.488,15.2,20.0,26.8,1.62,0.18,0.12,-183.8,-0.8595281342000001,23.3,-8.960617999999998,-8.32,-21.616999999999997,-31.82,-28.07,-3753.2,-20.43,-2.94,-34.99,-3.32,-1064.79,-386.76,0.0,0.0,0.0,0.0,0.0,-59.656000000000006,615.849,0.00045599999999999997,-33.146,16.386,-23.314,-19.090999999999998,-15.558,-5.444,-5.149,0.0,-117.44,225.61,-163.36,38.7,1590.352,35.841503277,-3.1069999999999998,3.228,1.8459999999999999,-1.824,-54.7,-2765.0,16.79,-7.612,-2845.0,-2.214,1.889,-0.3037,2.577,20.17,-431.7,4.421,-1.646,-417.6,-3774.4360340000003,-3829.9817840000005,2648.03,-1078.63,3726.66,-0.1249,0.0,0.0,0.0,-9.679787,-9.257478,-16.29585,-20.489517000000003,-10.758586768699999,17.8366,0.006764,55
swarm_0_98.pdb,3,1,3,2,3,7,7,0,7,1,2,3,2,2,0,0.42333333333333334,0.17,0.49,0.5957142857142859,0.36000000000000004,0.39666666666666667,0.4428571428571428,0.0,0.7414285714285713,0.0,0.44499999999999995,0.525,0.73,0.78,0.6433333333333333,0.49,4.170000000000001,1.08,1.19,3.0999999999999996,0.0,5.1899999999999995,0.0,0.8899999999999999,1.05,1.46,0.78,1.93,33.91,35.64,1394.3700000000026,610.2700000000004,784.0900000000001,1.7320508075688772,1.4142135623730951,2.6457513110645907,0.0,0.0,2.6457513110645907,1.0,1.7320508075688772,1.7320508075688772,2.6457513110645907,1.4142135623730951,1.0,1.7320508075688772,1.4142135623730951,1.4142135623730951,-0.5864,-7.5360000000000005,-6.2,-10.0,-20.0,-117.2,0.7,-111.86,99.78,-4.52,0.024772,-7.6,22.8,8.6,-16.4,84.48,2.6,8.2,13.0,-3.48,-3.18,1.12,-189.2,-0.659664542,-1.0,-9.375653999999999,-19.26,-26.864,-42.31,-40.66,-4579.78,-35.82,-13.52,-42.63,-11.4,-956.25,-366.51,0.0,0.0,0.0,0.0,0.0,-86.7821,-83.5902,0.000513,-27.45,1.642,-50.723,-30.88,-78.61,0.904,2.398,0.0,-169.71,115.14,-214.53,14.92,2297.8160000000003,12.335276506800001,-3.116,3.161,0.6145,-1.105,-58.41,-2801.0,4.71,-4.0760000000000005,-2868.0,-2.548,2.042,-1.355,1.541,-8.054,-295.4,-0.1435,0.0108,-303.3,-4396.449535,-4448.369487,921.63,-1350.41,2272.05,-0.2108,0.0,0.0,0.0,-14.526036999999999,-7.719246000000001,-11.288506,-15.448068,-14.2807595626,11.6435,0.006790999999999999,43
swarm_100_105.pdb,2,1,1,7,3,5,9,1,8,0,2,1,1,3,1,0.46499999999999997,0.41000000000000003,0.54,0.548,0.42,0.32666666666666666,0.4844444444444444,0.49,0.49249999999999994,0.44,0.38666666666666666,0.68,0.6699999999999999,0.0,0.94,0.54,2.74,0.42,0.98,4.359999999999999,0.49,3.9399999999999995,0.44,1.16,0.68,1.3399999999999999,0.0,0.94,33.68,35.42,1543.7400000000016,724.6599999999999,819.0800000000017,1.4142135623730951,2.6457513110645907,3.0,1.0,1.0,2.8284271247461903,1.0,1.0,1.7320508075688772,2.23606797749979,1.4142135623730951,0.0,1.0,1.0,1.7320508075688772,2.7668,-3.2939999999999996,0.58,-13.6,-18.6,-147.8,5.88,-123.18,129.08,-3.68,-0.008806,-6.26,33.2,14.8,-12.4,112.24799999999999,7.6,17.0,22.2,4.44,10.86,10.38,-224.2,0.3573167324,11.0,-7.947888000000001,-11.18,-20.334,-38.09,-15.0,-2907.82,-9.26,-7.43,-28.38,-6.69,-882.63,-306.85,0.0,0.0,0.0,0.0,0.0,-34.0228,148.41,0.000367,-2.951,6.388999999999999,-50.635,-1.626,-71.166,-3.2680000000000002,-1.916,0.0,-104.87,122.38,-535.68,48.78,543.384,37.596762973800004,-3.0,2.955,1.84,1.278,80.1,-2764.0,11.65,28.45,-2667.0,-2.399,2.174,0.5858,2.539,29.62,-395.3,4.53,6.607,-363.6,-3636.1918299999998,-3672.2595450000003,2730.76,-959.45,3690.21,0.0761,0.0,0.0,0.0,-1.195347,-1.873048,-0.8954620000000001,-9.120111999999999,-8.6026325376,6.709,0.003622,45
swarm_100_115.pdb,2,0,3,1,2,1,8,0,16,0,0,0,0,1,0,0.51,0.29,0.0,0.53,0.35666666666666663,0.26,0.55,0.0,0.47187499999999993,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.53,1.0699999999999998,0.52,4.4,0.0,7.549999999999999,0.0,0.41,0.0,0.0,0.0,0.0,32.99,35.74,1173.2200000000012,538.2600000000002,634.960000000001,1.4142135623730951,1.0,2.8284271247461903,0.0,0.0,4.0,0.0,1.7320508075688772,1.4142135623730951,1.0,0.0,0.0,0.0,0.0,1.0,2.2769999999999997,0.424,2.68,-10.4,-11.4,-106.6,6.76,-76.08,88.28,-3.26,0.036786,-5.12,41.8,18.8,-8.4,145.5,7.6,14.0,21.2,10.22,16.36,-0.96,-148.4,-0.108449034,18.2,-6.899700999999999,-8.55,-15.825999999999999,-26.46,-26.97,-574.56,-3.16,-0.84,-4.04,-4.26,-811.43,-430.19,0.0,0.0,0.0,0.0,0.0,13.1891,58.125,0.00044100000000000004,1.554,11.405,-37.966,9.163,-15.229000000000001,-3.281,-2.992,0.0,-105.4,175.98,-287.24,27.2,188.565,61.997990482700004,-2.549,2.505,1.0959999999999999,0.2214,102.7,-2664.0,10.29,9.748,-2562.0,-2.331,1.706,-0.4234,3.3539999999999996,2.9619999999999997,-292.1,3.0389999999999997,4.777,-287.4,-3176.757739,-3216.193643,2457.31,-713.46,3170.78,0.0882,0.0,0.0,0.0,-1.4634559999999999,-4.077683,-13.658271,-18.515279999999997,-6.69515493906,6.3989,0.0032939999999999996,34
swarm_100_132.pdb,2,2,2,8,2,7,8,1,11,0,2,1,1,2,0,0.585,0.2575,0.495,0.4942857142857144,0.48,0.39,0.46125,0.44,0.48181818181818187,0.0,0.43,0.24,0.5449999999999999,0.0,0.94,0.99,3.460000000000001,0.96,0.78,3.69,0.44,5.300000000000001,0.0,0.86,0.24,1.0899999999999999,0.0,0.94,32.75,36.62,1333.0099999999984,706.619999999999,626.3899999999994,1.4142135623730951,2.8284271247461903,2.8284271247461903,0.0,1.0,3.3166247903554,1.4142135623730951,1.4142135623730951,1.4142135623730951,2.6457513110645907,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,1.261,-1.89,4.38,-5.8,-9.4,-120.6,5.34,-106.24,112.08,0.08,0.067744,0.1,27.4,13.0,-11.6,135.93,5.2,20.2,29.0,2.32,1.26,0.6,-183.0,0.053283963,9.2,-7.73111,-9.88,-22.423000000000002,-54.54,-46.54,-3148.13,-4.92,-4.27,30.25,34.3,-902.43,-193.0,0.0,0.0,0.0,0.0,0.0,-6.63198,213.247,0.0005110000000000001,1.256,7.565,-25.03,6.318,-136.52200000000002,-4.046,-1.452,0.0,-112.61,143.96,-331.68,-55.76,1380.662,34.7673767358,-3.655,3.625,0.8795,1.25,-127.0,-2809.0,11.84,-23.47,-2972.0,-2.3169999999999997,1.92,0.7886,2.8169999999999997,-5.377000000000001,-439.3,9.03,-2.093,-455.8,-3854.214058,-3903.8337850000003,2813.05,-1083.17,3896.22,0.0499,0.0,0.0,0.0,-4.959661,-4.30848,-5.934768,-16.08866,-9.10183064935,17.1663,0.005653,49
swarm_100_148.pdb,3,0,6,6,6,3,9,5,11,0,1,1,2,2,2,0.44333333333333336,0.33,0.0,0.5,0.3933333333333333,0.27666666666666667,0.44333333333333336,0.466,0.34545454545454546,0.39,0.44499999999999995,0.6799999999999999,0.62,0.0,0.67,0.0,1.5,2.36,1.66,3.99,2.33,3.8,0.78,0.8899999999999999,1.3599999999999999,0.62,0.0,0.67,33.8,35.92,1352.7800000000025,656.4699999999993,696.2999999999993,1.7320508075688772,2.449489742783178,3.0,1.4142135623730951,2.23606797749979,3.3166247903554,0.0,2.449489742783178,2.449489742783178,1.7320508075688772,1.0,0.0,1.0,1.4142135623730951,1.4142135623730951,6.1556,-5.312,9.64,-10.2,-10.0,-164.0,11.24,-140.56,159.36,-0.64,0.045748000000000004,-5.52,65.0,38.6,-5.0,132.786,22.2,31.0,40.6,15.12,26.72,12.26,-265.4,-0.241116435,27.2,-5.700785,-8.05,-18.692999999999998,-42.76,-35.28,-1872.84,18.02,5.53,59.51,34.44,-902.36,162.33,0.0,0.0,0.0,0.0,0.0,-9.31546,475.583,0.00043499999999999995,5.086,12.353,5.221,17.961,-40.542,-9.437999999999999,-8.668,0.0,-66.53,219.8,-585.49,154.14,-12.7029999999,58.126231562799994,-3.707,3.688,1.123,-0.1363,109.5,-3359.0,16.75,-2.294,-3268.0,-2.211,2.504,1.806,-0.047889999999999995,98.05,-555.6,12.81,-4.14,-474.5,-3497.339747,-3551.466174,3487.1,-902.54,4389.63,0.091,0.0,0.0,0.0,-7.360347,-10.77042,-6.050979,-14.608329999999999,-4.15288288839,22.8676,0.0038950000000000005,57
